,Concept_ID,et,ml
262,Rede::N,kõne,സംസാരം
263,Sprache::N,keel,ഭാഷ
264,Stimme::N,hääl,സ്വരം
265,Wort::N,sõna,വാക്ക്
266,Zeichen::N,märk,സംജ്ഞ
267,Ruf::N,hüüe,വിളി
268,Lärm::N,müra,ആരവം
269,Laut::N,hääl,ശബ്ദം
270,Ton::N,toon,സ്വരഭേദം
271,Lied::N,laul,പാട്ട്
272,Ruhe::N,rahu,നിശ്ചലത
273,Ruhe::N,vaikus,നിശ്ചലത
274,Leute::N,inimesed,ജനങ്ങൾ
275,Volk::N,rahvas,രാഷ്ടം
276,Arbeit::N,töö,ജോലി
277,Gast::N,külaline,അതിലി
278,Geschenk::N,kingitus,സമ്മാനം
279,Spiel::N,mäng,കളി
280,Gesellschaft::N,selts,കൂട്ടായ്മ
281,Hilfe::N,abi,സഹായം
282,Freund::N,sõber,സുഹൃത്ത്
283,Kamerad::N,sõber,കൂട്ടാളി
284,Angelegenheit::N,asi,കാര്യം
285,Anzahl::N,arv,എണ്ണം
286,Anzahl::N,hulk,എണ്ണം
287,Art::N,liik,തരം
288,Stück::N,tükk,കഷണം
289,Teil::N,osa,ഭാഗം
290,Hälfte::N,pool,പകുതി
291,Kreis::N,ring,വൃത്തം
292,Kreuz::N,rist,കുരിശടയാളം
293,Linie::N,joon,വര
294,Linie::N,joon,രേഖ
295,Strich::N,joon,പക്ഷാഘാതം
296,Abstand::N,vahe,വിടവ്
297,Entfernung::N,kaugus,അകലം
298,Entfernung::N,vahemaa,അകലം
299,Gegend::N,ümbrus,പ്രദേശം
300,Platz::N,ruum,ഇടം
301,Ort::N,paik,സ്ഥലം
302,Seite::N,pool,വശം
303,Mitte::N,keskpaik,മധ്യസ്ഥാനം
304,Gegenstand::N,ese,സാധനം
305,Sache::N,ese,വസ്തു
306,Rand::N,äär,തൊങ്ങൽ
307,Rand::N,serv,തൊങ്ങൽ
308,Kante::N,kant,അറ്റം
309,Ecke::N,nurk,മൂല
310,Spitze::N,teravik,അഗ്രം
311,Ende::N,ots,അവസാനം
312,Ende::N,jupp,അവസാനം
313,Loch::N,auk,ദ്വാരം
314,Winkel::N,nurk,കോൺ
315,Muster::N,muster,ക്രമം
316,Größe::N,suurus,വലുപ്പം
317,Länge::N,pikkus,നീളം
318,Höhe::N,kõrgus,ഉയരം
319,Gewicht::N,kaal,കട്ടി
320,Gewicht::N,raskus,കട്ടി
321,Menge::N,arv,അളവ്
322,Menge::N,hulk,അളവ്
323,Haufen::N,hunnik,കൂമ്പാരം
324,Reihe::N,rivi,വരി
325,Boot::N,paat,ബോട്ട്
326,Ruder::N,aer,പങ്കായം
327,Schlitten::N,saan,ഉരുളില്ലാവണ്ടി
328,Ski::N,suusk,ഹിമപാദുകം
329,Lagerfeuer::N,lõke,തീ
330,Last::N,koorem,ഭാരം
331,Gang::N,käik,നടത്തം
332,Schritt::N,samm,ചുവട്
333,Norden::N,põhi,വടക്ക്
334,Süden::N,lõuna,തെക്ക്
335,Westen::N,lääs,പടിഞ്ഞാറ്
336,Osten::N,ida,കിഴക്ക്
337,Holz::N,puu,തടി
338,Brett::N,saelaud,ബോർഡ്
339,Platte::N,plaat,തകിട്
340,Stütze::N,tugi,താങ്ങ്
341,Stange::N,latt,കമ്പ്
342,Stange::N,teivas,കമ്പ്
343,Stock::N,kepp,വടി
344,Stab::N,varras,കുറുവടി
345,Rohr::N,toru,കുഴൽ
346,Haus::N,maja,വീട്
347,Heim::N,kodu,വീട്
348,Ofen::N,ahi,സ്റ്റൌ
349,Fußboden::N,põrand,തറ
350,Tisch::N,laud,മേശ
351,Stuhl::N,tool,കസേര
352,Wiege::N,häll,തൊട്ടിൽ
353,Wiege::N,kätki,തൊട്ടിൽ
354,Bett::N,voodi,കിടക്ക
355,Regal::N,riiul,ഷെൽഫ്
356,Kiste::N,kast,പെട്ടി
357,Fenster::N,aken,ജനൽ
358,Tür::N,uks,വാതിൽ
359,Tor::N,värav,കവാടം
360,Zaun::N,aed,വേലി
361,Zaun::N,tara,വേലി
362,Dach::N,katus,മേൽക്കുര
363,Leiter::N,redel,ഏണി
364,Besen::N,luud,ചൂല്
365,Spaten::N,labidas,തൂമ്പ
366,Schaufel::N,kühvel,തൂമ്പ
367,Gabel::N,kahvel,മുൾക്കത്തി
368,Löffel::N,lusikas,സ്പൂൺ
369,Messer::N,nuga,കത്തി
370,Nagel::N,nael,ആണി
371,Netz::N,võrk,വല
372,Haken::N,haak,കൊളുത്ത്
373,Haken::N,konks,കൊളുത്ത്
374,Griff::N,sang,കൈപ്പിടി
375,Griff::N,käepide,കൈപ്പിടി
376,Schloss::N,lukk,പൂട്ട്
377,Bild::N,pilt,ചിത്രം
378,Figur::N,kuju,കണക്ക്
379,Figur::N,kujund,കണക്ക്
380,Puppe::N,nukk,പാവ
381,Beutel::N,paun,ബാഗ്
382,Bündel::N,kimp,കെട്ട്
383,Tasche::N,kott,ബാഗ്
384,Eimer::N,pang,ബക്കറ്റ്
385,Eimer::N,ämber,ബക്കറ്റ്
386,Deckel::N,kaas,ഉറ
387,Geschirr::N,nõud,പിഞ്ഞാണം
388,Sack::N,kott,ചാക്ക്
389,Tasse::N,tass,കപ്പ്
390,Topf::N,pada,പാത്രം
391,Kessel::N,pada,കെറ്റ്ല്
392,Essen::N,söök,ആഹാരസമയം
393,Nahrung::N,toit,ഭക്ഷണം
394,Speise::N,roog,ഡിഷ്
395,Fleisch::N,liha,മാംസം
396,Getreide::N,teravili,ചോളം
397,Brei::N,puder,കഞ്ഞി
398,Brot::N,sai,റോട്ടി
399,Brot::N,leib,റോട്ടി
400,Scheibe::N,viil,തുണ്ട്
401,Scheibe::N,viilukas,തുണ്ട്
402,Fett::N,rasv,കൊഴുപ്പ്
403,Butter::N,või,വെണ്ണ
404,Öl::N,õli,എണ്ണ
405,Salz::N,sool,ഉപ്പ്
406,Suppe::N,supp,സൂപ്പ്
407,Honig::N,mesi,തേൻ
408,Milch::N,piim,പാൽ
409,Tee::N,tee,ചായ
410,Leder::N,nahk,തുകൽ
411,Wolle::N,vill,കമ്പിളി
412,Stoff::N,kangas,തുണി
413,Nadel::N,nõel,സൂചി
414,Faden::N,niit,നൂല്
415,Knopf::N,nööp,ബട്ടൺ
416,Knoten::N,sõlm,കുരുക്ക്
417,Farbe::N,värv,പെയിൻറ്
418,Kleidung::N,riided,വസ്ത്രങ്ങൾ
419,Kleidung::N,riietus,വസ്ത്രങ്ങൾ
420,Hemd::N,särk,ഷർട്ട്
421,Kragen::N,krae,കുപ്പായക്കഴുത്ത്
422,Ärmel::N,varrukas,കുപ്പായക്കൈ
423,Hose::N,püksid,ട്രൌസർ
424,Gürtel::N,vöö,ബെൽറ്റ്
425,Mütze::N,müts,തൊപ്പി
426,Schuh::N,king,ഷൂ
427,Stiefel::N,saabas,ബൂട്ട്
428,Ring::N,sõrmus,മോതിരം
429,Band::N,lint,റിബൺ
430,Kamm::N,kamm,ചീപ്പ്
431,Spiegel::N,peegel,കണ്ണാടി
432,Riemen::N,rihm,സ്ട്രാപ്പ്
433,Schnur::N,nöör,ചരട്
434,Leine::N,jalutusrihm,കെട്ടാനുള്ള തോൽവാർ
435,Decke::N,tekk,പുതപ്പ്
436,Kissen::N,padi,തലയിണ
437,Tuch::N,kalev,സ്കാർഫ്
438,Handtuch::N,käterätik,തോർത്ത്
439,Kraft::N,jõud,ശക്തി
440,Stärke::N,tugevus,ശക്തി
441,Gesundheit::N,tervis,ആരോഗ്യം
442,Krankheit::N,haigus,അസുഖം
443,Schmerz::N,valu,വേദന
444,Wunde::N,haav,മുറിവ്
445,Fieber::N,palavik,പനി
446,Arznei::N,ravim,മരുന്ന്
447,Brücke::N,sild,പാലം
448,Brunnen::N,kaev,കിണർ
449,Weide::N,karjamaa,മേച്ചൽ
450,Pfad::N,rada,വഴി
451,Weg::N,tee,വഴി
452,Straße::N,tee,റോഡ്
453,Dorf::N,küla,ഗ്രാമം
454,Stadt::N,linn,നഗരം
455,Brief::N,kiri,കത്ത്
456,Buch::N,raamat,പുസ്തകം
457,Buchstabe::N,täht,അക്ഷരം
458,Zeitung::N,ajaleht,വർത്തമാനപത്രം
459,Leben::N,elu,ജീവൻ
460,Tod::N,surm,മരണം
461,Grab::N,haud,ശവക്കുഴി
462,Kirche::N,kirik,പള്ളി
463,Sünde::N,patt,പാപം
464,Gott::N,jumal,ദൈവം
465,Arbeiter::N,tööline,ജോലിക്കാരൻ
466,Chef::N,ülemus,മേധാവി
467,Chef::N,juhataja,മേധാവി
468,Meister::N,meister,യജമാനൻ
469,Arzt::N,arst,ഡോക്ടർ
470,Lehrer::N,õpetaja,അധ്യാപകൻ
471,Geld::N,raha,പണം
472,Geschäft::N,äri,ബിസിനസ്
473,Laden::N,pood,കട
474,Laden::N,kauplus,കട
475,Preis::N,hind,വില
476,Ware::N,kaup,ചരക്ക്
477,Nutzen::N,tulu,ലാഭം
478,Nutzen::N,kasulikkus,ലാഭം
479,Reichtum::N,rikkus,ധനം
480,Welt::N,maailm,ലോകം
481,Land::N,maa,രാജ്യം
482,Staat::N,riik,രാജ്യം
483,König::N,kuningas,രാജാവ്
484,Macht::N,võim,അധികാരം
485,Grenze::N,piir,അതിർത്തി
486,Krieg::N,sõda,യുദ്ധം
487,Feind::N,vaenlane,ശത്രു
488,Gewalt::N,väevõim,അക്രമം
489,Kampf::N,võitlus,പോരാട്ടം
490,Bogen[Waffe]::N,vibu,വില്ല്
491,Pfeil::N,nool,അമ്പ്
492,Gewehr::N,püss,തോക്ക്
493,Fehler::N,viga,പിശക്
494,Lüge::N,vale,കള്ളം
495,Schaden::N,kahju,കേടുപാട്
496,Unglück::N,häda,ദൌർഭാഗ്യം
497,Unglück::N,õnnetus,ദൌർഭാഗ്യം
498,Schuld::N,süü,തെറ്റ്
499,Alter::N,iga,വയസ്സ്
500,Schluss::N,lõpp,നിഗമനം
501,Zeit::N,aeg,സമയം
502,Tag::N,päev,ദിവസം
503,Morgen::N,hommik,പ്രഭാതം
504,Mittag::N,lõuna,ഉച്ച
505,Mittag::N,keskpäev,ഉച്ച
506,Abend::N,õhtu,സായാഹ്നം
507,Nacht::N,öö,രാത്രി
508,Woche::N,nädal,ആഴ്ച
509,Monat::N,kuu,മാസം
510,Jahr::N,aasta,വർഷം
511,Frühling::N,kevad,വസന്തം
512,Sommer::N,suvi,വേനൽ
513,Herbst::N,sügis,ശരത്കാലം
514,Winter::N,talv,ശൈത്യം
515,Januar::N,jaanuar,ജനുവരി
516,Februar::N,veebruar,ഫെബ്രുവരി
517,März::N,märts,മാർച്ച്
518,April::N,aprill,ഏപ്രിൾ മാസം
519,Mai::N,mai,മെയ് മാസം
520,Juni::N,juuni,ജൂൺ
521,Juli::N,juuli,ജൂലൈ
522,August::N,august,ആഗസ്റ്റ്
523,September::N,september,സെപ്തംബർ
524,Oktober::N,oktoober,ഒക്ടോബർ
525,November::N,november,നവംബർ
526,Dezember::N,detsember,ഡിസംബർ
527,Montag::N,esmaspäev,തിങ്കളാഴ്ച
528,Dienstag::N,teisipäev,ചൊവ്വ
529,Mittwoch::N,kesknädal,ബുധനാഴ്ച
530,Donnerstag::N,neljapäev,വ്യാഴാഴ്ച
531,Freitag::N,reede,വെള്ളിയാഴ്ച
532,Samstag::N,laupäev,ശനിയാഴ്ച
533,Sonntag::N,pühapäev,ഞായറാഴ്ച
534,groß::A,suur,വലിയ
535,klein::A,väike,ചെറിയ
536,klein::A,pisike,ചെറിയ
537,lang::A,pikk,നീണ്ട
538,kurz::A,lühike,ഹ്രസ്വമായ
539,breit::A,lai,വിശാലമായ
540,schmal::A,kitsas,ഇടുങ്ങിയ
541,dicht::A,tihe,നിബിഡമായ
542,dick[Gegenstand]::A,jäme,തടിച്ച
543,dünn::A,õhuke,മെലിഞ്ഞ
544,dünn::A,peenike,മെലിഞ്ഞ
545,fein::A,peen,നേർത്ത
546,fein::A,õhuke,നേർത്ത
547,fest::A,püsiv,ഉറപ്പുള്ള
548,fest::A,kindel,ഉറപ്പുള്ള
549,flach::A,lame,പരന്ന
550,flach::A,tasane,പരന്ന
551,glatt::A,sile,മിനുസമുള്ള
552,hart::A,kõva,കട്ടിയുള്ള
553,weich::A,pehme,മൃദുവായ
554,rund::A,ümar,വട്ടത്തിലുള്ള
555,spitz::A,torkav,മുനയുള്ള
556,scharf::A,terav,മൂർച്ചയുള്ള
557,stumpf::A,nüri,തുറന്നടിക്കുന്ന
558,schwer::A,raske,ഭാരമുള്ള
559,schön::A,kena,മനോഹരമായ
560,heiß::A,kuum,ചൂടുള്ള
561,heiß::A,palav,ചൂടുള്ള
562,warm::A,soe,ചൂടുള്ള
563,kalt::A,külm,തണുത്ത
564,kühl::A,jahe,തണുപ്പുള്ള
565,frisch::A,värske,ശുദ്ധമായ
566,feucht::A,niiske,ഈറനുള്ള
567,nass::A,märg,നനഞ്ഞ
568,trocken::A,kuiv,വരണ്ട
569,voll::A,täis,നിറയെ
570,leer::A,tühi,ഒഴിഞ്ഞ
571,offen::A,avatud,തുറന്ന
572,offen::A,lahtine,തുറന്ന
573,geschlossen::A,suletud,അടച്ച
574,sauber::A,puhas,വൃത്തിയുള്ള
575,schmutzig::A,räpane,അഴുക്കുനിറഞ്ഞ
576,schmutzig::A,määrdunud,അഴുക്കുനിറഞ്ഞ
577,roh::A,toores,അസംസ്കൃതമായ
578,reif::A,küps,പഴുത്ത
579,lecker::A,hõrk,രുചികരമായ
580,lecker::A,maitsev,രുചികരമായ
581,süß::A,magus,മധുരമുള്ള
582,bitter::A,mõru,കടുത്ത
583,sauer::A,hapu,പുളിപ്പുള്ള
584,hell::A,hele,ജ്വലിക്കുന്ന
585,dunkel::A,pime,ഇരുണ്ട
586,schwarz::A,must,കറുത്ത
587,weiß::A,valge,വെളുത്ത
588,rot::A,punane,ചുവന്ന
589,gelb::A,kollane,മഞ്ഞനിറമായ
590,blau::A,sinine,നീലനിറമുള്ള
591,grün::A,roheline,പച്ചനിറമുള്ള
592,grau::A,hall,ചാരനിറത്തിലുള്ള
593,bunt::A,kirju,വർണ്ണശബളമായ
594,bunt::A,värviline,വർണ്ണശബളമായ
595,billig::A,odav,വിലകുറഞ്ഞ
596,teuer::A,kallis,ചെലവേറിയ
597,wertvoll::A,väärtuslik,വിലപിടിപ്പുള്ള
598,blind::A,pime,അന്ധനായ
599,taub::A,kurt,കേൾവിക്കുറവുള്ള
600,kräftig::A,jõuline,ശക്തിയുള്ള
601,stark::A,tugev,ബലമുള്ള
602,schwach::A,nõrk,ക്ഷീണിച്ച
603,schwach::A,jõuetu,ക്ഷീണിച്ച
604,fett::A,rasvane,കൊഴുപ്പുള്ള
605,schlank::A,sale,മെലിഞ്ഞ
606,hübsch::A,kena,മനോഹരമായ
607,böse::A,tige,പാപിയായ
608,dumm::A,juhm,വിവരംകെട്ട
609,dumm::A,rumal,വിവരംകെട്ട
610,faul::A,laisk,അലസനായ
611,fleißig::A,virk,അദ്ധ്വാനശീലമുള്ള
612,fleißig::A,hoolas,അദ്ധ്വാനശീലമുള്ള
613,geizig::A,ihne,പിശുക്കനായ
614,klug::A,tark,ബുദ്ധിസാമർഥ്യമുള്ള
615,klug::A,arukas,ബുദ്ധിസാമർഥ്യമുള്ള
616,klug::A,mõistlik,ബുദ്ധിസാമർഥ്യമുള്ള
617,geschickt::A,osav,പ്രതിഭാശാലി
618,lieb::A,armas,പ്രിയപ്പെട്ട
619,lustig::A,lõbus,ആനന്ദകരമായ
620,sanft::A,õrn,സൌമ്യമായ
621,hungrig::A,näljane,വിശപ്പുള്ള
622,krank::A,haige,അസുഖമുള്ള
623,nackt::A,alasti,നഡമായ
624,traurig::A,kurb,വിഷമമുള്ള
625,lebendig::A,elus,ഉപജീവനം
626,gut::A,hea,നല്ല
627,schlecht::A,halb,മോശമായ
628,richtig::A,õige,ശരിയായ
629,schlimm::A,paha,വൃത്തികെട്ട
630,wahr::A,tõene,ശരിയായ
631,alt::A,vana,പഴയ
632,neu::A,uus,പുതിയ
633,ehemalig::A,endine,മുൻ
634,alt[Lebewesen]::A,vana,വയസ്സുള്ള
635,jung::A,noor,കൌമാരമായ
636,arm::A,vaene,പാവപ്പെട്ട
637,reich::A,rikas,സമ്പന്നമായ
638,bekannt::A,teada,പരിചിതമായ
639,bekannt::A,tuttav,പരിചിതമായ
640,berühmt::A,tuntud,പ്രശസ്തനായ
641,fremd::A,võõras,വൈദേശികമായ
642,verschieden::A,erinev,വ്യത്യസ്തമായ
643,nah::A,lähedane,അരികത്തുള്ള
644,fern::A,kauge,അകലെയുള്ള
645,linker::A,vasak,അവശേഷിച്ച
646,rechter::A,parem,വലത്തേ
