,Concept_ID,kn,cv
925,sausen::V,ಒಗೆ,вӗҫтер
926,rennen::V,ಓಡು,чуп
927,springen::V,ಜಿಗಿ,сик
928,klettern::V,ಏರು,улӑх
929,schaukeln::V,ತೂಗು,йӳрӗн
930,kriechen::V,ತೆವಳು,шу
931,kriechen::V,ತೆವಳು,упален
932,schwimmen::V,ಈಜು,иш
933,tauchen::V,ಕೆಳಗಿಳಿ,чӑм
934,rudern::V,ಸಾಗಿಸು,авӑс
935,fahren::V,ನಡೆಸು,пыр
936,fliegen::V,ಹಾರು,вӗҫ
937,gehen::V,ಹೋಗು,кай
938,weggehen::V,ಹೊರಡು,кай
939,abfahren::V,ತೆರಳು,тапран
940,anhalten::V,ನಿಲ್ಲು,чарӑн
941,hineingehen::V,ಒಳಹೊಗು,кӗр
942,eintreten::V,ಒಳಹೊಗು,кӗр
943,kommen::V,ಬರು,кил
944,ankommen::V,ಬರು,ҫит
945,zurückkommen::V,ಹಿಂದಿರುಗು,таврӑн
946,zurückkommen::V,ಹಿಂದಿರುಗು,каялла кил
947,bleiben::V,ಇರು,юл
948,warten::V,ಇರು,кӗт
949,erwarten::V,ನಿರೀಕ್ಷಿಸು,кӗт
950,suchen::V,ಹುಡುಕು,шыра
951,finden::V,ಕಂಡುಕೊ,туп
952,versuchen::V,ಪ್ರಯತ್ನಿಸು,пикен
953,vorbereiten::V,ಸಿದ್ಧವಾಗು,хатӗрле
954,lieben::V,ಪ್ರೀತಿಸು,юрат
955,mögen::V,ಇಷ್ಟಪಡು,кӑмӑлла
956,mögen::V,ಇಷ್ಟಪಡು,килӗштер
957,lachen::V,ನಗು,кул
958,lachen::V,ನಗು,ахӑлтат
959,rühren::V,ಹೃದಯ ಸ್ಪರ್ಶಕ್ಕೆ,ҫулӑх
960,weinen::V,ಅಳು,йӗр
961,weinen::V,ಅಳು,макӑр
962,schimpfen::V,ಗೊಣಗು,вӑрҫ
963,schimpfen::V,ಗೊಣಗು,ятлаҫ
964,sich ärgern::V,ಗಣಗಾಡು,ҫиллен
965,sich fürchten::V,ನಡುಗು,шиклен
966,fürchten::V,ಹೆದರು,хӑра
967,fliehen::V,ಓಡಿಹೋಗು,тар
968,flüchten::V,ಪಾರಾಗು,чупса тар
969,sehen::V,ಕಾಣು,кур
970,anschauen::V,ನೋಡು,пӑхса ил
971,ansehen::V,ನಿರೀಕ್ಷಿಸು,пӑх
972,hören::V,ಕೇಳು,илт
973,zuhören::V,ಆಲಿಸು,итле
974,zuhören::V,ಆಲಿಸು,тӑнла
975,probieren::V,ರುಚಿ ನೋಡು,астив
976,riechen::V,ಮೂಸು,шӑршла
977,fühlen::V,ಸ್ಪರ್ಯಿಸಿತಿಳಿ,туй
