,Concept_ID,hu,bn
82,Schatten::N,árnyék,ছায়া
83,Wetter::N,idő,আবহাওয়া
84,Wetter::N,időjárás,আবহাওয়া
85,Nebel::N,köd,কুহেলিকা
86,Wolke::N,felhő,মেঘ
87,Regen::N,eső,বৃষ্টি
88,Schnee::N,hó,তুষার
89,Eis::N,jég,বরফ
90,Frost::N,fagy,তুষার
91,Kälte::N,hideg,শৈত্য
92,Hitze::N,hő,তাপ
93,Hitze::N,hőség,তাপ
94,Raureif::N,zúzmara,তুহিন
95,Regenbogen::N,szivárvány,রামধনু
96,Donner::N,dörgés,বজ্রধ্বনি
97,Donner::N,mennydörgés,বজ্রধ্বনি
98,Strömung::N,áramlat,স্রোত
99,Tropfen::N,csepp,ফোঁটা
100,Schaum::N,hab,ফেনা
101,Schaum::N,tajték,ফেনা
102,Schmutz::N,piszok,ধুলা
103,See::N,tó,হ্রদ
104,Sumpf::N,mocsár,জলা
105,Moor::N,láp,মাঠ
106,Wiese::N,rét,তৃণভূমি
107,Wiese::N,mező,তৃণভূমি
108,Wald::N,erdő,বন
109,Hügel::N,domb,পাহাড়
110,Anhöhe::N,magaslat,টিলা
111,Berg::N,hegy,পর্বত
112,Gipfel::N,csúcs,শীর্ষ
113,Höhle::N,barlang,গুহা
114,Abhang::N,lejtő,ঢাল
115,Quelle::N,forrás,উৎস
116,Bach::N,patak,ক্ষুদ্র নদী
117,Fluss::N,folyó,নদী
118,Ufer::N,part,উপকূল
119,Küste::N,tengerpart,তীর
120,Festland::N,szárazföld,ভূমি
121,Meer::N,tenger,সমুদ্র
122,Bucht::N,öböl,উপসাগর
123,Insel::N,sziget,দ্বীপ
124,Blume::N,virág,ফুল
125,Gras::N,fű,ঘাস
126,Wurzel::N,gyökér,শিকড়
127,Baum::N,fa,গাছ
128,Stamm::N,tő,স্কন্ধ
129,Stamm::N,törzs,স্কন্ধ
130,Rinde::N,kéreg,বল্কল
131,Ast::N,ág,শাখা
132,Zweig::N,gally,ডাল
133,Blatt::N,levél,পর্ণ
134,Birke::N,nyír,ভুর্জ
135,Kiefer[Baum]::N,fenyő,পাইন গাছ
136,Weide[Baum]::N,fűz,উইলো
137,Tanne::N,fenyő,দেবদারূ গাছ
138,Horn::N,szarv,শিং
139,Feder::N,toll,পালক
140,Fell::N,szőr,রোম
141,Fell::N,bunda,রোম
142,Flügel::N,szárny,ডানা
143,Klaue::N,köröm,নখর
144,Kralle::N,karom,নখর
145,Schwanz::N,farok,লেজ
146,Ei::N,tojás,ডিম
147,Nest::N,fészek,কুলায়
148,Bau::N,odú,ডেরা
149,Tier::N,állat,জন্তু
150,Herde::N,nyáj,ঝাঁক
151,Herde::N,csorda,ঝাঁক
152,Kuh::N,tehén,গোরু
153,Bulle::N,bika,বৃষ
154,Pferd::N,ló,ঘোড়া
155,Schaf::N,juh,ভেড়া
156,Schaf::N,birka,ভেড়া
157,Schwein::N,sertés,শূকর
158,Hund::N,eb,কুকুর
159,Hund::N,kutya,কুকুর
160,Katze::N,macska,বেড়াল
161,Bär::N,medve,ভল্লুক
162,Eichhörnchen::N,mókus,কাঠবিড়াল
163,Elch::N,jávorszarvas,হরিণবিশেষ
164,Fuchs::N,róka,পাঁতিশিয়াল
165,Hase::N,nyúl,শশক
166,Maus::N,egér,নেংটি ইঁদুর
167,Wolf::N,farkas,নেকড়ে
168,Vogel::N,madár,পক্ষী
169,Schwarm::N,raj,ঝাঁক
170,Huhn::N,tyúk,মোরগ
171,Hahn::N,kakas,কুক্কুট
172,Gans::N,lúd,হংসী
173,Gans::N,liba,হংসী
174,Adler::N,sas,ইগল
175,Ente::N,kacsa,হংসী
176,Eule::N,bagoly,পেচক
177,Kranich::N,daru,সারস
178,Krähe::N,varjú,কাক
179,Kuckuck::N,kakukk,কোকিল
180,Schwan::N,hattyú,মরাল
181,Fisch::N,hal,মাছ
182,Barsch::N,sügér,মৎন্যবিশেষ
183,Hecht::N,csuka,বানমাছ
184,Schlange[Tier]::N,kígyó,সর্প
185,Wurm::N,kukac,কীট
186,Spinne::N,pók,মাকড়সা
187,Ameise::N,hangya,পিপীলিকা
188,Laus::N,tetű,উকুন
189,Mücke::N,szúnyog,মশা
190,Fliege::N,légy,মাছি
191,Schmetterling::N,lepke,প্রজাপতি
192,Schmetterling::N,pillangó,প্রজাপতি
193,Beere::N,bogyó,বেরি
194,Apfel::N,alma,আপেল
195,Pilz::N,gomba,ছত্রক
196,Zwiebel::N,hagyma,পিয়াজ
197,Saat::N,vetőmag,বীজ
198,Korn::N,mag,শস্য
199,Korn::N,szem,শস্য
200,Heu::N,széna,খড়
201,Schale::N,héj,খোসা
202,Grube::N,verem,গর্ত
203,Falle::N,csapda,ফাঁদ
204,Schlinge::N,tőr,পাশ
205,Spur::N,nyom,চিহ্ন
206,Asche::N,hamu,ভস্ম
207,Dreck::N,sár,ময়লা
208,Dreck::N,piszok,ময়লা
209,Eisen::N,vas,লোহা
210,Gold::N,arany,স্বর্ণ
211,Silber::N,ezüst,রৌপ্য
212,Kohle::N,szén,অঙ্গার
213,Glas::N,üveg,কাচ
214,Lehm::N,agyag,মৃত্তিকা
215,Lehm::N,vályog,মৃত্তিকা
216,Sand::N,homok,বালি
217,Mensch::N,ember,নর
218,Mensch::N,ember,মানুষ
219,Mann::N,úr,মানুষ
220,Mann::N,férfi,মানুষ
221,Frau::N,nő,নারী
222,Frau::N,asszony,নারী
223,Kind::N,gyerek,বাচ্চা
224,Kind::N,gyermek,বাচ্চা
225,Junge::N,fiú,ছেলে
226,Mädchen::N,lány,মেয়ে
227,Familie::N,család,পরিবার
228,Großvater::N,nagyapa,মাতামহ
229,Großmutter::N,nagyanya,মাতামহী
230,Eltern::N,szülők,মাতাপিতা
231,Vater::N,apa,পিতা
232,Vater::N,atya,পিতা
233,Mutter::N,anya,মাতা
234,Sohn::N,fiú,ছেলে
235,Tochter::N,lány,মেয়ে
236,Bruder::N,fivér,দাদা
237,Bruder::N,testvér,দাদা
238,Schwester::N,nővér,বোন
239,Schwester::N,nővér,দিদি
240,Schwester::N,lánytestvér,বোন
241,Schwester::N,lánytestvér,দিদি
242,Onkel::N,nagybácsi,মামা
243,Tante::N,nagynéni,মাসী
244,Ehemann::N,férj,স্বামী
245,Ehefrau::N,feleség,পত্নী
246,Freude::N,öröm,উল্লাস
247,Gelächter::N,nevetés,হাসি
248,Gelächter::N,hahotázás,হাসি
249,Glück::N,boldogság,সুখ
250,Kummer::N,bánat,দুঃখ
251,Wunsch::N,óhaj,আকাঙ্ক্ষা
252,Lust::N,kedv,বাসনা
253,Geist::N,elme,আত্না
254,Geist::N,szellem,আত্না
255,Gedanke::N,gondolat,চিন্তা
256,Gedächtnis::N,emlékezet,স্মরণশক্তি
257,Verstand::N,ész,মন
258,Verstand::N,értelem,মন
259,Sinn::N,értelem,পদার্থ
260,Grund::N,ok,কারণ
261,Grund::N,alap,কারণ
262,Wahrheit::N,igaz,সত্য
263,Wahrheit::N,igazság,সত্য
264,Gespräch::N,beszélgetés,কথাবার্তা
265,Märchen::N,mese,রূপকথা
266,Erzählung::N,elbeszélés,গল্প
267,Nachricht::N,hír,তথ্য
268,Nachricht::N,híradás,তথ্য
269,Neuigkeit::N,újság,খবরাখবর
270,Name::N,név,নাম
271,Rätsel::N,rejtvény,ধাঁধা
272,Rede::N,beszéd,বক্তৃতা
273,Rede::N,szónoklat,বক্তৃতা
274,Sprache::N,nyelv,ভাষা
275,Stimme::N,hang,স্বর
276,Wort::N,szó,শব্দ
277,Zeichen::N,jel,প্রতীক
278,Ruf::N,kiáltás,ডাক
279,Lärm::N,zaj,হৈচৈ
280,Laut::N,hang,ধ্বনি
281,Ton::N,hang,স্বর
282,Lied::N,dal,গান
283,Lied::N,ének,গান
284,Ruhe::N,csend,শান্তি
285,Ruhe::N,nyugalom,শান্তি
286,Leute::N,emberek,প্রজাপুঞ্জ
287,Volk::N,nép,জাতি
288,Arbeit::N,dolog,চাকরি
289,Gast::N,vendég,অতিথি
290,Geschenk::N,ajándék,উপহার
291,Spiel::N,játék,খেলা
292,Gesellschaft::N,társaság,সঙ্গিগণ
293,Hilfe::N,segítség,সাহায্য
294,Freund::N,barát,বন্ধু
295,Kamerad::N,társ,সঙ্গী
296,Angelegenheit::N,ügy,বিষয়
297,Anzahl::N,szám,পরিমাণ
298,Art::N,faj,রকম
299,Art::N,fajta,রকম
300,Stück::N,darab,টুকরো
301,Teil::N,rész,অংশ
302,Hälfte::N,fél,অর্ধেক
303,Kreis::N,kör,বৃত্ত
304,Kreuz::N,kereszt,ক্রুশ
305,Linie::N,vonal,রেখা
306,Strich::N,vonás,কষি
307,Abstand::N,köz,ফাঁক
308,Entfernung::N,távolság,ব্যবধান
309,Gegend::N,táj,ক্ষেত্র
310,Gegend::N,vidék,ক্ষেত্র
311,Platz::N,hely,জায়গা
312,Ort::N,hely,স্থান
313,Seite::N,fél,পার্শ্ব
314,Seite::N,oldal,পার্শ্ব
315,Mitte::N,közép,মধ্য
316,Gegenstand::N,tárgy,জিনিস
317,Sache::N,dolog,বস্তু
318,Rand::N,szél,কানা
319,Rand::N,perem,কানা
320,Rand::N,szegély,কানা
321,Kante::N,él,ধার
322,Ecke::N,sarok,কোণ
323,Ecke::N,szöglet,কোণ
324,Spitze::N,csúcs,ডগা
325,Ende::N,vég,প্রান্ত
326,Loch::N,lyuk,গর্ত
327,Winkel::N,szög,কোণ
328,Muster::N,minta,নমুন্
329,Größe::N,nagyság,আয়তন
330,Länge::N,hossz,দৈর্ঘ্য
331,Länge::N,hosszúság,দৈর্ঘ্য
332,Höhe::N,magasság,উচ্চতা
333,Gewicht::N,súly,ওজন
334,Menge::N,sokaság,পরিমাণ
335,Menge::N,mennyiség,পরিমাণ
336,Haufen::N,halom,পুঞ্জ
337,Reihe::N,sor,শ্রেণী
338,Boot::N,csónak,নৌকা
339,Ruder::N,evező,দাঁড়
340,Schlitten::N,szánkó,স্নেজ্-গাড়ি
341,Ski::N,sí,শী
342,Lagerfeuer::N,tábortűz,অগ্নি
343,Last::N,teher,বোঝা
344,Gang::N,járás,হণ্টন
345,Schritt::N,lépés,পদ
346,Norden::N,észak,উত্তরদিক্
347,Süden::N,dél,দক্ষিণদিক
348,Westen::N,nyugat,পশ্চিমদিক্
349,Osten::N,kelet,পূর্বদিক
350,Holz::N,fa,কাঠ
351,Brett::N,deszka,তক্তা
352,Platte::N,lap,ফলক
353,Platte::N,lemez,ফলক
354,Stütze::N,támasz,নাগদণ্ড
355,Stütze::N,támaszték,নাগদণ্ড
356,Stange::N,rúd,দণ্ড
357,Stange::N,pózna,দণ্ড
358,Stock::N,pálca,ছড়ি
359,Stab::N,bot,যষ্টি
360,Rohr::N,cső,নল
361,Haus::N,ház,ঘর
362,Heim::N,otthon,বাসা
363,Ofen::N,kályha,স্টোভ্
364,Fußboden::N,padló,গহতল
365,Tisch::N,asztal,মেজ
366,Tisch::N,asztal,টেবিল
367,Stuhl::N,szék,চেয়ার
368,Stuhl::N,szék,কেদারা
369,Wiege::N,bölcső,দোলনা
370,Bett::N,ágy,শয্যা
371,Regal::N,polc,তাক
372,Regal::N,állvány,তাক
373,Kiste::N,láda,বাক্স
374,Fenster::N,ablak,জানালা
375,Tür::N,ajtó,দ্বার
376,Tor::N,kapu,দ্বার
377,Zaun::N,kerítés,বেড়া
378,Dach::N,tető,ছাদ
379,Leiter::N,létra,মই
380,Besen::N,seprű,গুল্মবিশেষ
381,Spaten::N,ásó,কোদাল
382,Schaufel::N,lapát,বেলচা
383,Gabel::N,villa,কাঁটা
384,Löffel::N,kanál,চামচ
385,Messer::N,kés,ছুরি
386,Nagel::N,szeg,পেরেক
387,Netz::N,háló,জাল
388,Haken::N,kampó,কাচি
389,Griff::N,nyél,হাতল
390,Griff::N,fogantyú,হাতল
391,Schloss::N,zár,তালা
392,Bild::N,kép,ছবি
393,Bild::N,kép,চিত্র
394,Figur::N,alak,আকার
395,Puppe::N,bábu,পুতুল
396,Beutel::N,zacskó,বটুয়া
397,Bündel::N,köteg,আঁটি
398,Tasche::N,táska,থলি
399,Eimer::N,vödör,বাল্তি
400,Deckel::N,fedő,আবরণ
401,Deckel::N,fedél,আবরণ
402,Geschirr::N,edény,থালা-বাসন
403,Sack::N,zsák,বস্তা
404,Tasse::N,csésze,কাপ
405,Topf::N,fazék,পাত্র
406,Kessel::N,üst,কেটলি
407,Kessel::N,bogrács,কেটলি
408,Essen::N,evés,আহার
409,Essen::N,étkezés,আহার
410,Nahrung::N,ennivaló,খাদ্য
411,Speise::N,étel,খাদ্য
412,Fleisch::N,hús,মাংস
413,Getreide::N,gabona,শস্য
414,Brei::N,pép,মণ্ড
415,Brei::N,kása,মণ্ড
416,Brot::N,kenyér,রুটি
417,Scheibe::N,szelet,ফালি
418,Fett::N,háj,মেদ
419,Fett::N,zsír,মেদ
420,Butter::N,vaj,মাখন
421,Öl::N,olaj,তৈল
422,Salz::N,só,নুন
423,Suppe::N,leves,শুরুয়া
424,Honig::N,méz,মধু
425,Milch::N,tej,দুধ
426,Tee::N,tea,চা
427,Leder::N,bőr,পাকা চামড়া
428,Wolle::N,gyapjú,পশম
429,Stoff::N,szövet,বস্ত্র
430,Nadel::N,tű,সুচ
431,Faden::N,fonál,সূত্র
432,Knopf::N,gomb,বোতাম
433,Knoten::N,csomó,গিঁট
434,Farbe::N,szín,রং
435,Farbe::N,festék,রং
436,Kleidung::N,ruha,কাপড়
437,Kleidung::N,ruházat,কাপড়
438,Hemd::N,ing,শার্ট
439,Kragen::N,gallér,গলবন্ধ
440,Ärmel::N,ujj,আস্তিন্
441,Hose::N,gatya,ট্রাউজার
442,Hose::N,nadrág,ট্রাউজার
443,Gürtel::N,öv,কটিবন্ধ
444,Mütze::N,sapka,টুপি
445,Schuh::N,cipő,জুতো
446,Stiefel::N,csizma,বুট
447,Ring::N,gyűrű,আংটি
448,Band::N,szalag,ফিতা
449,Kamm::N,fésű,চিরুনি
450,Spiegel::N,tükör,আয়না
451,Riemen::N,szíj,চাবুক
452,Schnur::N,zsinór,দড়ি
453,Leine::N,póráz,শিকল
454,Decke::N,takaró,কম্বল
455,Kissen::N,párna,উপাধান
456,Tuch::N,kendő,বস্ত্র
457,Handtuch::N,törülköző,তোয়ালে
458,Kraft::N,erő,জোর
459,Stärke::N,erő,শক্তি
460,Stärke::N,erősség,শক্তি
461,Gesundheit::N,egészség,স্বাস্থ্য
462,Krankheit::N,kór,অসুখ
463,Krankheit::N,kór,ব্যামো
464,Krankheit::N,betegség,অসুখ
465,Krankheit::N,betegség,ব্যামো
466,Schmerz::N,fájdalom,যন্ত্রণা
467,Wunde::N,seb,ক্ষত
468,Fieber::N,láz,জ্বর
469,Arznei::N,orvosság,ঔষধ
470,Arznei::N,gyógyszer,ঔষধ
471,Brücke::N,híd,সেতু
472,Brunnen::N,kút,কূপ
473,Weide::N,legelő,পশুচারণভূমি
474,Pfad::N,ösvény,পথ
475,Weg::N,út,পথ
476,Straße::N,út,রাস্তা
477,Dorf::N,falu,গ্রাম
478,Stadt::N,város,শহর
479,Brief::N,levél,চিঠি
480,Buch::N,könyv,বই
481,Buchstabe::N,betű,অক্ষর
482,Zeitung::N,újság,সংবাদপত্র
483,Zeitung::N,hírlap,সংবাদপত্র
484,Leben::N,élet,জীবন
485,Tod::N,halál,মৃত্যু
486,Grab::N,sír,কবর
487,Kirche::N,templom,গির্জা
488,Sünde::N,bűn,পাপ
489,Sünde::N,vétek,পাপ
490,Gott::N,isten,দেবতা
491,Arbeiter::N,munkás,শ্রমিক
492,Chef::N,főnök,নেতা
493,Meister::N,mester,ব্যক্তি
494,Arzt::N,orvos,চিকিৎসক
495,Lehrer::N,tanár,অধ্যাপক
496,Lehrer::N,tanító,অধ্যাপক
497,Geld::N,pénz,মুদ্রা
498,Geld::N,pénz,টাকাপয়সা
499,Geschäft::N,üzlet,ব্যস্ততা
500,Laden::N,bolt,দোকান
501,Preis::N,ár,মূল্য
502,Ware::N,áru,পণ্যদ্রব্য
503,Nutzen::N,haszon,সুবিধা
504,Reichtum::N,gazdagság,ধনদৌলত
505,Welt::N,világ,জগৎ
506,Land::N,ország,খেত
507,Staat::N,állam,রাষ্ট্র
508,König::N,király,রাজা
509,Macht::N,hatalom,প্রভাব
510,Grenze::N,határ,সীমা
511,Krieg::N,háború,যুদ্ধ
512,Feind::N,ellenség,শত্রু
513,Gewalt::N,erőszak,জোর
514,Kampf::N,harc,লড়াই
515,Bogen[Waffe]::N,íj,ধনুক
516,Pfeil::N,nyíl,বাণ
517,Gewehr::N,puska,বন্দুক
518,Gewehr::N,fegyver,বন্দুক
519,Fehler::N,hiba,ভুল
520,Lüge::N,hazugság,মিথ্যা
521,Schaden::N,kár,ক্ষতি
522,Unglück::N,csapás,দুর্ভাগ্য
523,Unglück::N,balszerencse,দুর্ভাগ্য
524,Schuld::N,bűn,অপরাধ
525,Alter::N,kor,আয়ু
526,Schluss::N,vég,শেষ
527,Schluss::N,befejezés,শেষ
528,Zeit::N,idő,সময়
529,Tag::N,nap,দিন
530,Morgen::N,reggel,সকাল
531,Mittag::N,dél,মধ্যাহু
532,Abend::N,este,সন্ধ্যা
533,Nacht::N,éj,রাত্রি
534,Nacht::N,éjszaka,রাত্রি
535,Woche::N,hét,সপ্তাহ
536,Monat::N,hó,মাস
537,Monat::N,hónap,মাস
538,Jahr::N,év,সৌরবর্ষ
539,Frühling::N,tavasz,বসন্তকাল
540,Sommer::N,nyár,গ্রীষ্মকাল
541,Herbst::N,ősz,শরংঋতু
542,Winter::N,tél,শীতকাল
543,Januar::N,január,জানুয়ারী
544,Februar::N,február,ফেব্রুয়ারী
545,März::N,március,মার্চ
546,April::N,április,এপ্রিল
547,Mai::N,május,মে
548,Juni::N,június,জুন
549,Juli::N,július,জুলাই
550,August::N,augusztus,অগাস্ট
551,September::N,szeptember,সেপ্টেম্বর
552,Oktober::N,október,অক্টোবর
553,November::N,november,নভেম্বর
554,Dezember::N,december,ডিসেম্বর
555,Montag::N,hétfő,সোমবার
556,Dienstag::N,kedd,মঙ্গলবার
557,Mittwoch::N,szerda,বুধবার
558,Donnerstag::N,csütörtök,বৃহম্পতিবার
559,Freitag::N,péntek,শুক্রবার
560,Samstag::N,szombat,শনিবার
561,Sonntag::N,vasárnap,রবিবার
562,groß::A,nagy,বৃহৎ
563,klein::A,pici,ছোট
564,klein::A,kicsi,ছোট
565,lang::A,hosszú,দীর্ঘ
566,kurz::A,rövid,খর্ব
567,kurz::A,rövid,হ্রস্ব
568,breit::A,széles,চওড়া
569,schmal::A,keskeny,সরু
570,dicht::A,sűrű,ঘন
571,dick[Gegenstand]::A,vastag,পুরু
572,dünn::A,vékony,কৃশ
573,fein::A,vékony,সূক্ষ্ম
574,fest::A,szilárd,দৃঢ়
575,flach::A,sík,সমতল
576,flach::A,lapos,সমতল
577,glatt::A,sima,মসৃণ
578,hart::A,kemény,শক্ত
579,weich::A,puha,নরম
580,rund::A,kerek,গোলাকার
581,spitz::A,hegyes,তীক্ষ্ন
582,scharf::A,éles,শাণিত
583,stumpf::A,tompa,ভোঁতা
584,stumpf::A,életlen,ভোঁতা
585,schwer::A,nehéz,ভারী
586,schwer::A,súlyos,ভারী
587,schön::A,szép,সুন্দর
588,heiß::A,forró,গরম
589,warm::A,meleg,ঈষদুষ্ণ
590,kalt::A,hideg,ঠাণ্ডা
591,kühl::A,hűs,শীতল
592,kühl::A,hűvös,শীতল
593,frisch::A,üde,তাজা
594,frisch::A,friss,তাজা
595,feucht::A,nedves,ভিজা
596,nass::A,vizes,ভিজা
597,trocken::A,száraz,শুষ্ক
598,voll::A,telt,পূর্ণ
599,leer::A,üres,খালি
600,offen::A,nyílt,খোলা
601,offen::A,nyitott,খোলা
602,geschlossen::A,zárt,বন্ধ
603,geschlossen::A,csukott,বন্ধ
604,sauber::A,tiszta,নির্মল
605,schmutzig::A,piszkos,নোংরা
606,schmutzig::A,szennyes,নোংরা
607,roh::A,nyers,কাঁচা
608,reif::A,érett,পাকা
609,lecker::A,finom,সুস্বাদ
610,süß::A,édes,মিষ্ট
611,bitter::A,keserű,তিক্ত
612,sauer::A,savanyú,টক
613,hell::A,világos,উজ্জ্বল
614,dunkel::A,sötét,অন্ধকারময়
615,schwarz::A,fekete,কালো
616,weiß::A,fehér,সাদা
617,rot::A,vörös,লাল
618,gelb::A,sárga,হলদে
619,blau::A,kék,নীল
620,grün::A,zöld,সবুজ
621,grau::A,ősz,ছাই-রঙা
622,grau::A,szürke,ছাই-রঙা
623,bunt::A,tarka,রঙিন
624,bunt::A,színes,রঙিন
625,billig::A,olcsó,সস্তা
626,teuer::A,drága,আক্রা
627,wertvoll::A,értékes,মহার্ঘ
628,blind::A,vak,কানা
629,taub::A,süket,বধির
630,kräftig::A,erős,বিশাল
631,stark::A,erős,শক্তিশালী
632,schwach::A,gyenge,দুর্বল
633,schwach::A,erőtlen,দুর্বল
634,fett::A,hájas,মোটা
635,schlank::A,karcsú,কৃশ
636,hübsch::A,csinos,সুন্দর
637,böse::A,rossz,খারাপ
638,böse::A,gonosz,খারাপ
639,dumm::A,buta,মূর্খ
640,dumm::A,ostoba,মূর্খ
641,faul::A,lusta,শ্রমবিমুখ
642,fleißig::A,szorgalmas,পরিশ্রমী
643,geizig::A,fukar,ব্যয়কুণ্ঠ
644,geizig::A,fösvény,ব্যয়কুণ্ঠ
645,klug::A,okos,দক্ষ
646,klug::A,eszes,দক্ষ
647,geschickt::A,ügyes,পটু
648,lieb::A,drága,প্রেয়
649,lieb::A,kedves,প্রেয়
650,lustig::A,víg,প্রফুল্ল
651,lustig::A,vidám,প্রফুল্ল
652,sanft::A,enyhe,নম্র
653,hungrig::A,éhes,ক্ষুধার্ত
654,krank::A,beteg,অসুস্থ
655,nackt::A,csupasz,উলঙ্গ
656,nackt::A,meztelen,উলঙ্গ
657,traurig::A,bús,দুঃখিত
658,traurig::A,szomorú,দুঃখিত
659,lebendig::A,élő,জীবিত
660,gut::A,jó,ভালো
661,schlecht::A,rossz,মন্দ
662,richtig::A,helyes,ঠিক
663,schlimm::A,rossz,কদর্য
664,wahr::A,igaz,বাস্তব
665,alt::A,ó,পুরাতন
666,alt::A,régi,পুরাতন
667,neu::A,új,নব
668,neu::A,új,নূতন
669,ehemalig::A,volt,পূর্বকালীন
670,ehemalig::A,egykori,পূর্বকালীন
671,alt[Lebewesen]::A,öreg,বৃদ্ধ
672,jung::A,fiatal,তরুণ
673,arm::A,szegény,ক্ষুদ্র
674,reich::A,gazdag,ধনবান্
675,bekannt::A,ismert,সুপরিচিত
676,bekannt::A,ismeretes,সুপরিচিত
677,berühmt::A,híres,বিখ্যাত
678,fremd::A,idegen,বিদেশি
679,verschieden::A,különböző,বিসদৃশ
680,nah::A,közeli,নিকটবতী
681,fern::A,távoli,দুরবতী
682,linker::A,bal,বাম
683,rechter::A,jobb,ডান
684,rechter::A,jobb,ডাইন
685,anderer::A,más,অন্যতর
686,anderer::A,másik,অন্যতর
687,erster::A,első,প্রথম
688,zweiter::A,második,দ্বিতীয়
689,dritter::A,harmadik,তৃতীয়
690,letzter::A,utolsó,সর্বশেষ
691,allein::ADV,egyedül,একক
692,auf einmal::ADV,egyszerre,জলদি
693,zusammen::ADV,együtt,একসঙ্গে
694,zusammen::ADV,összesen,একসঙ্গে
695,lange::ADV,sokáig,লম্বা
696,lange::ADV,hosszan,লম্বা
697,plötzlich::ADV,hirtelen,হঠাৎ
698,plötzlich::ADV,egyszerre,হঠাৎ
699,sofort::ADV,rögtön,মুহ্ণর্তমধ্যে
700,sofort::ADV,tüstént,মুহ্ণর্তমধ্যে
701,später::ADV,későn,পশ্চাতে
702,jetzt::ADV,most,এখন
703,heute::ADV,ma,আজ
704,morgen::ADV,holnap,আগামিকাল
705,bald::ADV,majd,অস্পকালমধ্যে
706,bald::ADV,nemsokára,অস্পকালমধ্যে
707,dann::ADV,akkor,তখন
708,gestern::ADV,tegnap,গতকাল
709,einst::ADV,hajdan,একবার মাত্র
710,damals::ADV,akkor,তখন
711,damals::ADV,akkoriban,তখন
712,danach::ADV,azután,পরে
713,vorher::ADV,előbb,আগে
714,zuerst::ADV,először,আগে
715,einmal::ADV,egyszer,একবার
716,manchmal::ADV,néha,কখনও কখনও
717,manchmal::ADV,olykor,কখনও কখনও
718,oft::ADV,sokszor,ঘনঘন
719,immer::ADV,mindig,সর্বদা
720,niemals::ADV,sohasem,কখলও নহে
721,hier::ADV,itt,এখানে
722,hierhin::ADV,erre,এখানে
723,von hier::ADV,innen,ত্রই স্তান হইতে
724,dort::ADV,ott,ওখানে
