,Concept_ID,ba,cv
88,Hitze::N,томра,шӑрӑх
89,Hitze::N,эҫелек,вӗри
90,Hitze::N,эҫелек,шӑрӑх
91,Raureif::N,ҡырау,пас
92,Regenbogen::N,йәйғор,асамат кӗперӗ
93,Donner::N,күк күкрәү,аслати
94,Strömung::N,ағым,юхӑ
95,Tropfen::N,тамсы,тумлам
96,Schaum::N,күбек,кӑпӑк
97,Schmutz::N,батҡаҡ,пылчӑк
98,See::N,күл,кӳлӗ
99,Sumpf::N,һаҙлык,шур
100,Sumpf::N,һаҙлык,шурлӑх
101,Moor::N,һаҙ,торфлӑ шурлӑх
102,Wiese::N,болон,улӑх
103,Wiese::N,болон,ҫаран
104,Wald::N,урман,вӑрман
105,Hügel::N,түбә,сӑрт
106,Hügel::N,түбә,тӗмеске
107,Anhöhe::N,түбә,сӑрт
108,Anhöhe::N,ҡалҡыулыҡ,сӑрт
109,Berg::N,тау,ту
110,Gipfel::N,түбә,тӳпе
111,Höhle::N,мәмерйә,ҫӗр хӑвӑлӗ
112,Abhang::N,ипкен,тӑвайкки
113,Quelle::N,шишмә,ҫӑл куҫ
114,Bach::N,шишмә,пӗчӗк шыв
115,Fluss::N,йылға,юхан шыв
116,Ufer::N,яр,ҫыран
117,Küste::N,яр буйы,тинӗс ҫыранӗ
118,Festland::N,ҡоро ер,тип ҫӗр
119,Meer::N,диңгез,тинӗс
120,Bucht::N,бухта,тинӗс кукӑрӗ
121,Insel::N,үтрау,утрав
122,Blume::N,сәскә,чечек
123,Gras::N,үлән,курӑк
124,Wurzel::N,тамыр,тымар
125,Baum::N,ағас,йывӑҫ
126,Stamm::N,олон,вулӑ
127,Stamm::N,көбәк,вулӑ
128,Rinde::N,ҡабыҡ,хуйӑр
129,Ast::N,ботаҡ,турат
130,Zweig::N,ботаҡ,турат
131,Zweig::N,тармаҡ,турат
132,Blatt::N,япраҡ,ҫулҫӑ
133,Birke::N,ҡайын,хурӑн
134,Kiefer[Baum]::N,ҡарғай,хыр
135,Weide[Baum]::N,тал,хӑва
136,Tanne::N,шыршы,чӑрӑш
137,Horn::N,мөғөҙ,мӑйрака
138,Feder::N,ҡауырһын,тӗк
139,Fell::N,тире,ҫӑм
140,Flügel::N,ҡанат,ҫунат
141,Klaue::N,тырнаҡ,чӗрне
142,Kralle::N,аяҡ,ура
143,Schwanz::N,ҡойроҡ,хӳре
144,Ei::N,йомортҡа,ҫӑмарта
145,Nest::N,оя,йӑва
146,Bau::N,оң,йӗнӗ
147,Tier::N,жайуан,выльӑх
148,Tier::N,йыртҡыс,выльӑх
149,Herde::N,көтөү,кӗтӳ
150,Kuh::N,һыйыр,ӗне
151,Bulle::N,үгеҙ,вӑкӑр
152,Pferd::N,ат,лаша
153,Schaf::N,һарыҡ,сурӑх
154,Schwein::N,сусҡа,сысна
155,Hund::N,эт,йытӑ
156,Katze::N,бесәй,кушак
157,Bär::N,айыу,упа
158,Eichhörnchen::N,тейен,пакша
159,Elch::N,мышы,пӑши
160,Fuchs::N,төлкө,тилӗ
161,Hase::N,ҡуян,куян
162,Hase::N,ҡуян,мулкач
163,Maus::N,сысҡан,шӑши
164,Wolf::N,бүре,кашкӑр
165,Vogel::N,ҡош,кайӑк
166,Vogel::N,ҡош,вӗҫен кайӑк
167,Schwarm::N,көтөү,ушкӑн
168,Huhn::N,тауыҡ,чӑх
169,Huhn::N,тауыҡ,чӑхӑ
170,Hahn::N,әтәс,автан
171,Gans::N,ҡаҙ,хур
172,Adler::N,бөркөт,ӑмӑрт кайӑк
173,Ente::N,өйрәк,кӑвакал
174,Eule::N,өкө,тӑмана
175,Eule::N,ябалаҡ,тӑмана
176,Kranich::N,торна,тӑрна
177,Krähe::N,ҡарға,ула курак
178,Kuckuck::N,кәкүк,куккук
179,Schwan::N,аҡҡош,акӑш
180,Fisch::N,балыҡ,пулӑ
181,Barsch::N,алабуға,уланкӑ
182,Hecht::N,суртан,ҫӑрттан
183,Schlange[Tier]::N,йылан,ҫӗлен
184,Wurm::N,селяүсен,ӑман
185,Spinne::N,үрмәксе,эрешмен
186,Ameise::N,ҡырмыҫҡа,кӑткӑ
187,Laus::N,бет,пыйтӑ
188,Mücke::N,серәкәй,вӑрӑм туна
189,Fliege::N,себен,шӑна
190,Schmetterling::N,күбәләк,лӗпӗш
191,Beere::N,еләк,ҫырла
192,Apfel::N,алма,улма
193,Apfel::N,алма,пан улми
194,Pilz::N,бәшмәк,кӑмпа
195,Zwiebel::N,һуган,сухан
196,Saat::N,орлоҡ,вӑрӑ
197,Korn::N,иген,тӗшӗ
198,Korn::N,иген,пӗрчӗ
199,Heu::N,бесән,утӑ
200,Schale::N,ҡабыҡ,хупӑ
201,Grube::N,соҡор,шӑтӑк
202,Falle::N,тоҙак,тапӑ
203,Falle::N,тоҙак,капкӑн
204,Falle::N,ҡапҡан,тапӑ
205,Falle::N,ҡапҡан,капкӑн
206,Schlinge::N,тоҙак,йӑлӑ
207,Spur::N,әҫер,йӗр
208,Asche::N,көл,кӗл
209,Dreck::N,батҡаҡ,пылчӑк
210,Eisen::N,тимер,тимӗр
211,Gold::N,алтын,ылтӑн
212,Silber::N,көмөш,кӗмӗл
213,Kohle::N,күмер,кӑмрӑк
214,Glas::N,быяла,кӗленче
215,Lehm::N,балсыҡ,тӑм
216,Sand::N,ҡом,хӑйӑр
217,Mensch::N,кеше,ҫын
218,Mensch::N,кеше,этем
219,Mann::N,ир,ар
220,Frau::N,ҡатын,хӗрарӑм
221,Kind::N,бала,ача
222,Junge::N,малай,ача
223,Junge::N,малай,ар ҫын ача
224,Mädchen::N,ҡыҙ,хӗр ача
225,Mädchen::N,ҡыҙыҡай,хӗр ача
226,Familie::N,ғаилә,ҫемье
227,Familie::N,ғаилә,кил-йыш
228,Großvater::N,олатай,кукаҫи
229,Großmutter::N,әбәй,кукамай
230,Eltern::N,ата-әсә,аҫа-ама
231,Vater::N,атай,атте
232,Mutter::N,әсә,анне
233,Sohn::N,ул,ывӑл
234,Tochter::N,ҡыҙ,хӗр
235,Bruder::N,агай,ар тӑван
236,Schwester::N,алай,аппа
237,Schwester::N,алай,йӑмӑк
238,Schwester::N,һеңле,аппа
239,Schwester::N,һеңле,йӑмӑк
240,Onkel::N,ағай,мучи
241,Onkel::N,ағай,пичче
242,Tante::N,апай,аппа
243,Ehemann::N,ир,упӑшка
244,Ehefrau::N,ҡатын,арӑм
245,Freude::N,шатлыҡ,савӑнӑҫ
246,Freude::N,шатлыҡ,хаваслӑх
247,Freude::N,ҡыуаныс,савӑнӑҫ
248,Freude::N,ҡыуаныс,хаваслӑх
249,Gelächter::N,көлөү,кулӑ
250,Glück::N,бәхет,телей
251,Glück::N,бәхет,ӑраскал
252,Kummer::N,ҡайғы,хурлӑх
253,Wunsch::N,теләк,ӗмӗт
254,Wunsch::N,теләк,кӑмӑл
255,Lust::N,әүәҫлек,кӑмӑл
256,Geist::N,аң,чун-чӗм
257,Geist::N,аң,ыр-усал
258,Geist::N,аң,чун хавалӗ
259,Geist::N,рух,чун-чӗм
260,Geist::N,рух,ыр-усал
261,Geist::N,рух,чун хавалӗ
262,Gedanke::N,уй,шухӑш
263,Gedanke::N,фекер,шухӑш
264,Gedächtnis::N,хәтер,ас
265,Verstand::N,аҡыл,ӑс
266,Verstand::N,аҡыл,ӑс-тӑн
267,Verstand::N,аҡыл,ӑс-хакӑл
268,Sinn::N,мәғәня,тупсӑм
269,Sinn::N,мәғәня,пӗлтерӗш
270,Grund::N,сәбәп,сӑлтав
271,Wahrheit::N,дөрөҫлөк,чӑнлӑх
272,Gespräch::N,әңгәмә,калаҫу
273,Märchen::N,әкиәт,юмах
274,Erzählung::N,хикәйә,акалав
275,Erzählung::N,хикәйә,каласа пани
276,Nachricht::N,хәбәр,хыпар
277,Neuigkeit::N,яңылыҡ,ҫӗнӗ хыпар
278,Name::N,исем,ят
279,Rätsel::N,йомаҡ,сутмалли юмах
280,Rede::N,телмәр,сӑмах
281,Sprache::N,тел,чӗлхе
282,Sprache::N,телмәр,чӗлхе
283,Stimme::N,тауыш,сасӑ
284,Wort::N,һүҙ,сӑмах
285,Zeichen::N,билдә,паллӑ
286,Ruf::N,саҡырыу,йыхрав
287,Ruf::N,саҡырыу,чӗнӳ
288,Lärm::N,шаулау,шав
289,Laut::N,тауыш,сасӑ
290,Ton::N,яңғырау,сасӑ
291,Lied::N,йыр,юрӑ
292,Ruhe::N,ял,канӑҫлӑх
293,Ruhe::N,ял,лӑпкӑлӑх
294,Ruhe::N,тыныслыҡ,канӑҫлӑх
295,Ruhe::N,тыныслыҡ,лӑпкӑлӑх
296,Leute::N,кешеләр,ҫамрӑксем
297,Leute::N,кешеләр,ҫамрӑк ҫынсем
298,Volk::N,халҡ,халӑх
299,Arbeit::N,эш,ӗҫхӗл
300,Arbeit::N,эш,ӗҫлев
301,Gast::N,ҡунаҡ,хӑна
302,Geschenk::N,бүләк,парне
303,Geschenk::N,бүләк,кучченеҫ
304,Spiel::N,уйын,вӑйӑ
305,Gesellschaft::N,йәмғиәт,общество
306,Hilfe::N,ярҙам,пулӑшу
307,Freund::N,дуҫ,тус
308,Kamerad::N,иптәш,юлташ
309,Kamerad::N,иптәш,тус
310,Angelegenheit::N,әш,ӗҫ
311,Anzahl::N,һан,йыш
312,Anzahl::N,һан,хисеп
313,Art::N,төр,тӗс
314,Stück::N,киҫәк,татӑк
315,Teil::N,өлөш,пай
316,Hälfte::N,ярты,ҫурӑ
317,Kreis::N,түңәрәк,ункӑ
318,Kreis::N,түңәрәк,ҫавракӑш
319,Kreuz::N,тәре,хӗрес
320,Linie::N,һыҙыҡ,йӗр
321,Strich::N,һыҙат,йӗр
322,Abstand::N,ара,хушӑ
323,Entfernung::N,алыҫлыҡ,хушӑ
324,Gegend::N,урын,вырӑн
325,Platz::N,арауыҡ,хутлӑх
326,Ort::N,ерҙәр,вырӑн
327,Ort::N,урындар,вырӑн
328,Ort::N,эш урыны,вырӑн
329,Seite::N,яҡ,ен
330,Seite::N,яҡ,аяк
331,Seite::N,яҡ,айӑк
332,Mitte::N,урталыҡ,варӑ
333,Gegenstand::N,нәмә,япала
334,Sache::N,нәмә,япала
335,Sache::N,әйбер,япала
336,Rand::N,сит,вӗҫ
337,Rand::N,сит,хӗрӗ
338,Rand::N,сит,хӗрри
339,Kante::N,ҡабырға,хайкача
340,Kante::N,ҡабырға,хысак
341,Kante::N,ян,хайкача
342,Kante::N,ян,хысак
343,Ecke::N,мөйөш,кӗтес
344,Spitze::N,ос,вӗҫ
345,Ende::N,аҙаҡ,вӗҫ
346,Loch::N,тишек,шӑтӑк
347,Winkel::N,мөйөш,кӗтес
348,Muster::N,биҙәк,эреш
349,Größe::N,ҙурлыҡ,пысӑкӑш
350,Länge::N,оҙонлоҡ,вӑрӑмӑш
351,Höhe::N,бейеклек,ҫӳллӗш
352,Gewicht::N,үлсәү,виҫе
353,Gewicht::N,үлсәү,йывӑрӑш
354,Menge::N,һан,йыш
355,Haufen::N,өйөм,купа
356,Reihe::N,рәт,рет
357,Boot::N,кәмә,кимӗ
358,Ruder::N,ишкәк,кӗсмен
359,Schlitten::N,сана,ҫуна
360,Ski::N,саңгы,йӗлтӗр
361,Lagerfeuer::N,костер,вут
362,Lagerfeuer::N,костер,кӑвайт
363,Last::N,ауырлыҡ,сулмаклӑх
364,Last::N,ауырлыҡ,йывӑр япала
365,Gang::N,барыу,куҫӑм
366,Schritt::N,аҙым,утӑм
367,Schritt::N,аҙым,пусӑм
368,Norden::N,төньяҡ,ҫурҫӗр
369,Süden::N,көньяҡ,кӑнтӑр
370,Westen::N,көнбайыш,анӑҫ
371,Westen::N,көнбайыш,хӗвел анӑҫ
372,Osten::N,көнсығыш,хӗвел тухӑҫ
373,Holz::N,үағас,йывӑҫ
374,Brett::N,таҡта,хӑма
375,Platte::N,плита,плита
376,Stütze::N,терәк,ура
377,Stange::N,кәртә,шерте
378,Stock::N,таяҡ,патак
379,Stab::N,ҡолға,шӑчӑ
380,Rohr::N,торба,пӑрӑх
381,Haus::N,өй,ҫурт
382,Haus::N,йорт,ҫурт
383,Heim::N,өй,кил
384,Ofen::N,мейес,кӑмака
385,Fußboden::N,енес,урай
386,Tisch::N,өҫтәл,сӗтел
387,Stuhl::N,ултырғыс,пукан
388,Wiege::N,бишек,сӑпка
389,Bett::N,карауат,кравать
390,Regal::N,кәштә,ҫӳлӗк
391,Regal::N,кәштә,сентре
392,Kiste::N,йәшинк,ещӗк
393,Kiste::N,йәшинк,сунтӑх
394,Fenster::N,тәҙрә,чӳрече
395,Tür::N,ишек,алӑк
396,Tor::N,ҡапҡа,хапха
397,Zaun::N,ҡойма,хӳме
398,Dach::N,түбә,тӑрӑ
399,Dach::N,ҡыйыҡ,тӑрӑ
400,Leiter::N,баҫҡыс,пусма
401,Besen::N,һепертке,шӑпӑр
402,Spaten::N,көрәк,кӗреҫе
403,Schaufel::N,көрәк,кӗреҫе
404,Gabel::N,сәнске,вилка
405,Löffel::N,ҡалаҡ,кашӑк
406,Messer::N,бысаҡ,ҫӗҫӗ
407,Nagel::N,сөй,пӑта
408,Netz::N,ау,тетел
409,Haken::N,ыргаҡ,йӑрхах
410,Haken::N,ыргаҡ,ҫекӗл
411,Griff::N,тотҡа,хӑлӑп
412,Schloss::N,йоҙаҡ,ҫӑра
413,Bild::N,картина,сӑн
414,Bild::N,картина,сӑнлӑх
415,Bild::N,картина,картина
416,Figur::N,һын,кӗлетке
417,Puppe::N,ҡурсаҡ,пукане
418,Beutel::N,тоҡ,михӗ
419,Bündel::N,төргәк,ҫыхӑ
420,Bündel::N,төргәк,тӗрке
421,Tasche::N,сумка,сумка
422,Eimer::N,биҙрә,витре
423,Deckel::N,ҡапҡас,хупӑ
424,Geschirr::N,һауыт-һаба,савӑт-сапа
425,Sack::N,тоҡ,михӗ
426,Tasse::N,сынаяҡ,курка
427,Topf::N,кәстрүл,кастрюль
428,Kessel::N,ҡаҙан,хуран
429,Essen::N,ашау,апат
430,Nahrung::N,аҙыҡ,апат-ҫимӗс
431,Speise::N,аш,апат
432,Speise::N,аш,ҫимӗҫ
433,Fleisch::N,ит,аш
434,Fleisch::N,ит,какай
435,Getreide::N,иген,тырӑ
436,Getreide::N,ашлыҡ,тырӑ
437,Brei::N,бутҡа,пӑтӑ
438,Brot::N,икмәк,ҫӑкӑр
439,Scheibe::N,телем,чӗлӗ
440,Scheibe::N,телем,касӑк
441,Fett::N,май,ҫу
442,Butter::N,май,ҫу
443,Öl::N,май буяуы,ҫу
444,Salz::N,тоҙ,тӑвар
445,Suppe::N,һурпа,яшка
446,Honig::N,бал,пыл
447,Milch::N,һөт,сӗт
448,Tee::N,сәй,чей
449,Leder::N,күн,сӑран
450,Wolle::N,йөн,ҫӑм
451,Stoff::N,туҡыма,тӗртӗм
452,Nadel::N,энә,йӗп
453,Faden::N,еп,ҫип
454,Knopf::N,төймә,тӳме
455,Knoten::N,төйөн,йӑлӑ
456,Farbe::N,буяу,сӑрӑ
457,Kleidung::N,кейем,тум
458,Kleidung::N,кейем,ҫипуҫ
459,Kleidung::N,кейем,тум-тир
460,Hemd::N,күлдәк,кӗпе
461,Kragen::N,яға,ҫуха
462,Ärmel::N,ең,ҫанӑ
463,Hose::N,салбар,шӑлавар
464,Gürtel::N,ҡайыш,пиҫиххи
465,Mütze::N,бүрк,ҫӗлӗк
466,Schuh::N,туфли,пушмак
467,Schuh::N,туфли,ботинок
468,Stiefel::N,итек,атӑ
469,Ring::N,йөҙөк,ҫӗрӗ
470,Ring::N,балдаҡ,ҫӗрӗ
471,Band::N,таҫма,хаю
472,Band::N,таҫма,йӗсме
473,Kamm::N,тараҡ,тура
474,Spiegel::N,көзгө,тӗкӗр
475,Spiegel::N,көзгө,куҫ кӗски
476,Riemen::N,ҡайыш,чӗн
477,Schnur::N,бау,кантра
478,Leine::N,бау,касмӑк
479,Decke::N,одеяд,утиял
480,Kissen::N,мендәр,ҫытар
481,Kissen::N,мендәр,минтер
482,Tuch::N,яулыҡ,тутӑр
483,Handtuch::N,таҫтамал,ал шӑлли
484,Kraft::N,көс,вӑй
485,Kraft::N,көс,хӑват
486,Stärke::N,көс,хал
487,Stärke::N,көс,хӑват
488,Gesundheit::N,һаулыҡ,хал
489,Gesundheit::N,һаулыҡ,сывлӑх
490,Krankheit::N,сир,чир
491,Krankheit::N,ауырыу,чир
492,Schmerz::N,һыҙлау,ырату
493,Schmerz::N,әрнеү,ырату
494,Wunde::N,йәрәхәт,суран
495,Fieber::N,тапма,сив чир
496,Fieber::N,биҙгәк,сив чир
497,Arznei::N,дарыу,эмел
498,Brücke::N,күпер,кӗпер
499,Brunnen::N,ҡоҙоҡ,ҫӑл
500,Brunnen::N,ҡоҙоҡ,пусӑ
501,Weide::N,көтөүлек,ҫаран
502,Pfad::N,һуҡмаҡ,йӗр
503,Pfad::N,һуҡмаҡ,сукмак
504,Weg::N,юл,ҫул
505,Weg::N,юл,ҫул-йӗр
506,Straße::N,урам,ҫӳрев
507,Straße::N,урам,ҫул ҫӳрени
508,Dorf::N,ауыл,ял
509,Stadt::N,ҡала,хула
510,Brief::N,хат,ҫыру
511,Buch::N,китап,кӗнеке
512,Buch::N,кенәгә,кӗнеке
513,Buchstabe::N,хәреф,сас палли
514,Zeitung::N,гәзит,хаҫат
515,Leben::N,йәшәү,пурнӑҫ
516,Tod::N,үлем,вилӗм
517,Grab::N,ҡәбер,масар шӑтӑкӗ
518,Kirche::N,сиркәү,чиркӳ
519,Sünde::N,гөнаһ,ҫылӑх
520,Gott::N,алла,турӑ
521,Gott::N,хоҙай,турӑ
522,Arbeiter::N,эшсе,рабочи
523,Chef::N,башлыҡ,пуҫлӑх
524,Meister::N,оҫта,ӑста
525,Meister::N,оҫта,мастер
526,Arzt::N,врач,врач
527,Arzt::N,врач,тухтӑр
528,Lehrer::N,уҡытыусы,учитель
529,Lehrer::N,уҡытыусы,вӗрентекен
530,Geld::N,аҡса,укҫа
531,Geschäft::N,эш,бизнес
532,Laden::N,магазин,магазин
533,Preis::N,хаҡ,хак
534,Ware::N,тауар,тавар
535,Nutzen::N,файҙа,пайта
536,Reichtum::N,байлыҡ,мул
537,Welt::N,донъя,тӗнче
538,Land::N,ил,ҫӗр-шыв
539,Staat::N,дәүләт,патшàлӑх
540,König::N,король,король
541,Macht::N,власть,власть
542,Grenze::N,сик,чикӗ
543,Krieg::N,һуғыш,вӑрҫӑ
544,Feind::N,йылан,тӑшман
545,Gewalt::N,көслөк,ирӗксӗрлӳ
546,Kampf::N,көрәш,кӗрешӳ
547,Bogen[Waffe]::N,йәйә,ухӑ
548,Pfeil::N,уҡ,ҫӗмрен
549,Pfeil::N,уҡ,ухӑ йӗппи
550,Gewehr::N,мылтыҡ,пӑшал
551,Fehler::N,хата,йӑнӑш
552,Lüge::N,ялған,суя
553,Lüge::N,ялған,ултав
554,Schaden::N,зыян,сиен
555,Schaden::N,зарар,сиен
556,Unglück::N,ҡаза,шар
557,Unglück::N,ҡаза,инкек
558,Schuld::N,ғәйеп,айӑп
559,Alter::N,йәш,ҫул шучӗ
560,Schluss::N,һуң,пӗтни
561,Schluss::N,һуң,пӗтмӗш
562,Schluss::N,аҙаҡ,пӗтни
563,Schluss::N,аҙаҡ,пӗтмӗш
564,Zeit::N,мәл,вӑхӑт
565,Zeit::N,заман,вӑхӑт
566,Tag::N,көн,кун
567,Morgen::N,иртә,ир
568,Morgen::N,иртәнсәк,ир
569,Mittag::N,төш,кӑнтӑрла
570,Abend::N,кис,каҫ
571,Nacht::N,төн,каҫ
572,Woche::N,аҙна,эрне
573,Monat::N,ай,уйӑх
574,Jahr::N,йыл,ҫулталӑк
575,Frühling::N,яҙ,ҫур
576,Frühling::N,яҙ,ҫуркунне
577,Sommer::N,йәй,ҫу
578,Sommer::N,йәй,ҫулла
579,Herbst::N,көз,кӗр
580,Herbst::N,көз,кӗркунне
581,Winter::N,ҡыш,хӗл
582,Winter::N,ҡыш,хӗлле
583,Januar::N,ғинуар,январь
584,Februar::N,февраль,февраль
585,Februar::N,февраль,кӗҫӗн кӑрлач
586,März::N,март,март
587,März::N,март,пуш уйӑхӗ
588,April::N,апрель,апрель
589,Mai::N,май,май
590,Juni::N,июнь,июнь
591,Juli::N,июль,июль
592,August::N,август,август
593,September::N,сентябрь,сентябрь
594,September::N,сентябрь,авӑн уйӑхӗ
595,Oktober::N,октябрь,октябрь
596,November::N,ноябрь,ноябрь
597,Dezember::N,декабрь,раштав
598,Dezember::N,декабрь,декабрь
599,Montag::N,дүшәмбе,тунти кун
600,Dienstag::N,шишәмбе,ытлари кун
601,Mittwoch::N,шаршамбы,юн кун
602,Donnerstag::N,кесаҙна,кӗҫнерни кун
603,Freitag::N,йома,эрне кун
604,Samstag::N,шәмбе,шӑмат кун
605,Sonntag::N,йәкшәмбе,вырсарни кун
606,groß::A,ҙур,пысӑк
607,klein::A,бәләкәс,пӗчӗк
608,lang::A,оҙон,вӑрӑм
609,kurz::A,ҡыҫҡа,кӗске
610,breit::A,киң,сарлака
611,schmal::A,тар,ансӑр
612,dicht::A,йыш,йӑвӑ
613,dicht::A,ҡуйы,йӑвӑ
614,dick[Gegenstand]::A,ҡалын,хулӑн
615,dünn::A,йоҡа,ҫинҫе
616,dünn::A,йоҡа,ҫӳхе
617,dünn::A,нәҙек,ҫинҫе
618,dünn::A,нәҙек,ҫӳхе
619,fein::A,нескә,тарай
620,fein::A,нескә,вӗлтӗрти
621,fest::A,ныҡ,тӗреклӗ
622,flach::A,яҫы,лаптак
623,flach::A,ялпаҡ,лаптак
624,glatt::A,шыма,такӑр
625,hart::A,ҡаты,хытӑ
626,weich::A,йомшаҡ,ҫемҫе
627,rund::A,түңәрәк,ҫавра
628,spitz::A,осло түбәле,шӗвӗр
629,scharf::A,үткер,ҫивӗч
630,stumpf::A,утмәҫ,мӑка
631,stumpf::A,утмәҫ,пуклак
632,stumpf::A,утмәҫ,тӗрӗнчӗк
633,stumpf::A,утмәҫ,ӑнкарусӑр
634,schwer::A,ауыр,йывӑр
635,schön::A,матур,илемлӗ
636,heiß::A,эҫе,вӗри
637,warm::A,йылы,ӑшӑ
638,kalt::A,һыуыҡ,сивӗ
639,kühl::A,һалҡынса,уҫӑ
640,frisch::A,һалҡынса,уҫӑ
641,feucht::A,еүеш,йӗпе
642,feucht::A,дымлы,йӗпе
643,nass::A,еүеш,нӳрӗ
644,trocken::A,кипкән,типӗ
645,voll::A,тулы,тулли
646,leer::A,буш,пушӑ
647,offen::A,асыҡ,уҫӑ
648,geschlossen::A,ябыҡ,хупӑ
649,sauber::A,таҙа,таса
650,schmutzig::A,бысраҡ,пылчӑклӑ
651,schmutzig::A,бысраҡ,вараланчӑк
652,roh::A,сей,чӗрӗ
653,reif::A,өлгөрғән,пулнӑ
654,reif::A,өлгөрғән,пиҫӗхнӗ
655,reif::A,өлгөрғән,аталаннӑ
656,reif::A,өлгөрғән,пиҫсе ҫитнӗ
657,lecker::A,тәмле,тутлӑ
658,lecker::A,тәмле,техӗмлӗ
659,süß::A,тямле,пылак
660,süß::A,тәм-том,пылак
661,bitter::A,әсе,йӳҫӗ
662,sauer::A,әсе,йӳҫӗ
663,sauer::A,әсе,йӳҫек
664,sauer::A,әсе,кӑвасак
665,hell::A,яҡты,ҫутӑ
666,dunkel::A,ҡараңғы,тӗттӗм
667,schwarz::A,ҡара,хура
668,weiß::A,аҡ,шурӑ
669,rot::A,матур,хӗрлӗ
670,rot::A,һылыу,хӗрлӗ
671,rot::A,сибәр,хӗрлӗ
672,gelb::A,һары,сарӑ
673,blau::A,күк,кӑвак
674,grün::A,йәшел,симӗс
675,grün::A,йәшел,пиҫмен
676,grün::A,йәшел,ӑс пухман
677,grau::A,буҙ,кӑвак
678,bunt::A,сыбар,чӑпар
679,bunt::A,ала-ҡола,чӑпар
680,billig::A,арзан,йӳнӗ
681,teuer::A,ҡыйбатлы,хаклӑ
682,wertvoll::A,ҡиммәтле,паха
683,blind::A,һуҡыр,суккӑр
684,taub::A,һаңғырау,хӑлхасӑр
685,kräftig::A,көслө,хӑватлӑ
686,kräftig::A,ҡеүәтле,хӑватлӑ
