,Concept_ID,et,mhr
136,Rinde::N,koor,шӱм
137,Ast::N,oks,укш
138,Zweig::N,oks,торма́к
139,Blatt::N,leht,лышта́ш
140,Birke::N,kask,куэ́
141,Kiefer[Baum]::N,mänd,пӱ́нчӧ
142,Weide[Baum]::N,paju,уа́
143,Tanne::N,nulg,кож
144,Horn::N,sarv,шур
145,Feder::N,sulg,пы́стыл
146,Fell::N,karvkate,кова́ште
147,Fell::N,karusnahk,кова́ште
148,Flügel::N,tiib,шу́лдыр
149,Flügel::N,tiivik,шу́лдыр
150,Klaue::N,küüs,кӱч
151,Kralle::N,küünis,ла́па
152,Kralle::N,küünis,копа́
153,Schwanz::N,saba,поч
154,Ei::N,muna,му́но
155,Nest::N,pesa,пыжа́ш
156,Bau::N,urg,пыжа́ш
157,Tier::N,loom,я́нлык
158,Tier::N,loom,живо́тный
159,Herde::N,kari,кӱ́тӱ
160,Herde::N,kari,тӱшка́
161,Kuh::N,lehm,ушка́л
162,Bulle::N,pull,ӱ́шкыж
163,Pferd::N,hobune,и́мне
164,Schaf::N,lammas,шо́рык
165,Schwein::N,siga,сӧсна́
166,Hund::N,koer,пий
167,Katze::N,kass,пы́рыс
168,Bär::N,karu,маска́
169,Eichhörnchen::N,orav,ур
170,Elch::N,põder,шо́рдо
171,Fuchs::N,rebane,ры́выж
172,Hase::N,jänes,мера́ҥ
173,Maus::N,hiir,коля́
174,Wolf::N,hunt,пи́ре
175,Vogel::N,lind,ка́йык
176,Schwarm::N,parv,каша́к
177,Huhn::N,kana,чы́ве
178,Hahn::N,kukk,агыта́н
179,Gans::N,hani,ко́мбо
180,Adler::N,kotkas,карагу́ш
181,Ente::N,part,лу́до
182,Eule::N,kakk,тумна́
183,Eule::N,öökull,тумна́
184,Kranich::N,kurg,турня́
185,Krähe::N,vares,кора́к
186,Kuckuck::N,kägu,куку́
187,Schwan::N,luik,йӱ́ксӧ
188,Fisch::N,kala,кол
189,Barsch::N,ahven,ола́ҥге
190,Hecht::N,haug,нуж
191,Hecht::N,haug,чорта́н
192,Schlange[Tier]::N,uss,ки́шке
193,Wurm::N,uss,шукш
194,Wurm::N,vagel,шукш
195,Spinne::N,ämblik,эҥыре́мыш
196,Ameise::N,sipelgas,ку́тко
197,Laus::N,täi,тий
198,Mücke::N,sääsk,шыҥа́
199,Fliege::N,kärbes,ка́рме
200,Schmetterling::N,liblikas,лы́ве
201,Beere::N,mari,мӧр
202,Apfel::N,õun,олма́
203,Pilz::N,seen,по́ҥго
204,Zwiebel::N,sibul,шога́н
205,Saat::N,seeme,нӧ́шмӧ
206,Saat::N,seeme,туш
207,Korn::N,iva,шу́рно
208,Korn::N,tera,шу́рно
209,Heu::N,hein,шу́до
210,Schale::N,koor,шӱм
211,Grube::N,kaevand,выне́м
212,Falle::N,lõks,лӧ́дӧ
213,Falle::N,püünis,лӧ́дӧ
214,Schlinge::N,aas,о́птыш
215,Schlinge::N,aas,шӧрга́лтыш
216,Spur::N,jälg,кыша́
217,Asche::N,tuhk,ло́мыж
218,Dreck::N,saast,лавыра́
219,Dreck::N,mustus,лавыра́
220,Eisen::N,raud,кӱ́ртньӧ
221,Gold::N,kuld,шӧ́ртньӧ
222,Silber::N,hõbe,ший
223,Kohle::N,süsi,мландышӱ́й
224,Glas::N,klaas,янда́
225,Lehm::N,savi,шун
226,Sand::N,liiv,ошма́
227,Mensch::N,inimene,еҥ
228,Mensch::N,inimene,айде́ме
229,Mann::N,mees,пӧръе́ҥ
230,Frau::N,naine,ӱдырама́ш
231,Kind::N,laps,аза́
232,Junge::N,poiss,рве́зе
233,Mädchen::N,tüdruk,ӱдыра́ш
234,Familie::N,perekond,еш
235,Großvater::N,vanaisa,коча́
236,Großmutter::N,vanaema,кова́
237,Eltern::N,vanemad,ача́-ава́
238,Vater::N,isa,ача́
239,Mutter::N,ema,ава́
240,Sohn::N,poeg,э́рге
241,Tochter::N,tütar,ӱ́дыр
242,Bruder::N,vend,иза́
243,Bruder::N,vend,шо́льо
244,Schwester::N,õde,ака́
245,Onkel::N,onu,иза́
246,Tante::N,tädi,кока́
247,Ehemann::N,mees,мари́й
248,Ehemann::N,abikaasa,мари́й
249,Ehefrau::N,naine,ва́те
250,Ehefrau::N,abikaasa,ва́те
251,Freude::N,rõõm,куа́н
252,Freude::N,rõõm,куаныма́ш
253,Gelächter::N,naer,во́штылтыш
254,Glück::N,õnn,пиа́л
255,Kummer::N,mure,о́йго
256,Kummer::N,kurbus,о́йго
257,Wunsch::N,soov,ку́мыл
258,Lust::N,himu,ку́мыл
259,Geist::N,vaim,ӧрт
260,Geist::N,vaim,чон
261,Gedanke::N,mõte,ой
262,Gedanke::N,mõte,шоныма́ш
263,Gedächtnis::N,mälu,шарныма́ш
264,Verstand::N,aru,уш
265,Verstand::N,mõistus,уш
266,Sinn::N,tähendus,смысл
267,Grund::N,põhjus,ама́л
268,Wahrheit::N,tõde,чын
269,Gespräch::N,kõne,мутланыма́ш
270,Gespräch::N,vestlus,мутланыма́ш
271,Märchen::N,muinasjutt,йома́к
272,Erzählung::N,jutustus,ойлыма́ш
273,Nachricht::N,teade,увертарыма́ш
274,Neuigkeit::N,uudis,уве́р
275,Name::N,nimi,лӱм
276,Rätsel::N,mõistatus,ту́што
277,Rede::N,kõne,ойлыма́ш
278,Sprache::N,keel,йы́лме
279,Stimme::N,hääl,йӱк
280,Wort::N,sõna,ой
281,Wort::N,sõna,мут
282,Zeichen::N,märk,ти́ште
283,Zeichen::N,märk,знак
284,Ruf::N,hüüe,ӱжма́ш
285,Lärm::N,müra,лӱшкыма́ш
286,Lärm::N,müra,йӱк-йӱа́н
287,Laut::N,hääl,йӱк
288,Ton::N,toon,йӱксе́м
289,Lied::N,laul,му́ро
290,Ruhe::N,rahu,ты́мык
291,Ruhe::N,vaikus,ты́мык
292,Leute::N,inimesed,еҥ-влак
293,Volk::N,rahvas,ка́лык
294,Arbeit::N,töö,паша́
295,Gast::N,külaline,уна́
296,Geschenk::N,kingitus,пӧле́к
297,Spiel::N,mäng,мо́дыш
298,Spiel::N,mäng,модма́ш
299,Gesellschaft::N,selts,тӱшка́
300,Hilfe::N,abi,по́лыш
301,Freund::N,sõber,таҥ
302,Freund::N,sõber,йолта́ш
303,Kamerad::N,sõber,таҥ
304,Angelegenheit::N,asi,паша́
305,Anzahl::N,arv,чот
306,Anzahl::N,hulk,чот
307,Art::N,liik,вид
308,Stück::N,tükk,ка́тыш
309,Stück::N,tükk,ла́стык
310,Teil::N,osa,ужа́ш
311,Hälfte::N,pool,пел
312,Hälfte::N,pool,пе́ле
313,Kreis::N,ring,ты́ртыш
314,Kreuz::N,rist,ыре́с
315,Linie::N,joon,ли́ний
316,Strich::N,joon,коре́ш
317,Abstand::N,vahe,кокла́
318,Entfernung::N,kaugus,тора́
319,Entfernung::N,kaugus,ку́жыт
320,Entfernung::N,vahemaa,тора́
321,Entfernung::N,vahemaa,ку́жыт
322,Gegend::N,ümbrus,кунде́м
323,Platz::N,ruum,ку́мдык
324,Ort::N,paik,вер
325,Ort::N,paik,о́лмо
326,Seite::N,pool,ӧ́рдыж
327,Mitte::N,keskpaik,покше́л
328,Gegenstand::N,ese,наста́
329,Sache::N,ese,наста́
330,Rand::N,äär,тӱр
331,Rand::N,serv,тӱр
332,Kante::N,kant,тӱр
333,Ecke::N,nurk,лук
334,Spitze::N,teravik,вуй
335,Ende::N,ots,муча́ш
336,Ende::N,jupp,муча́ш
337,Loch::N,auk,рож
338,Winkel::N,nurk,лук
339,Muster::N,muster,пеза́к
340,Muster::N,muster,узо́р
341,Muster::N,muster,ӱ́лгӧ
342,Größe::N,suurus,кӱ́кшыт
343,Länge::N,pikkus,ку́тыш
344,Höhe::N,kõrgus,кӱ́кшыт
345,Gewicht::N,kaal,не́лыт
346,Gewicht::N,raskus,не́лыт
347,Menge::N,arv,чот
348,Menge::N,hulk,чот
349,Haufen::N,hunnik,кы́шыл
350,Reihe::N,rivi,рада́м
351,Boot::N,paat,пуш
352,Ruder::N,aer,эшка́к
353,Schlitten::N,saan,тер
354,Schlitten::N,saan,изде́р
355,Ski::N,suusk,е́че
356,Lagerfeuer::N,lõke,туло́то
357,Last::N,koorem,нӧ́лтыш
358,Gang::N,käik,ошкылма́ш
359,Schritt::N,samm,о́шкыл
360,Norden::N,põhi,йӱдйыма́л
361,Süden::N,lõuna,кечывалве́л
362,Westen::N,lääs,касве́л
363,Osten::N,ida,эрве́л
364,Holz::N,puu,пу
365,Brett::N,saelaud,оҥа́
366,Platte::N,plaat,аста́р
367,Stütze::N,tugi,чара́к
368,Stange::N,latt,лома́ш
369,Stange::N,teivas,лома́ш
370,Stock::N,kepp,тоя́
371,Stab::N,varras,вара́
372,Stab::N,varras,кашта́
373,Rohr::N,toru,пуч
374,Haus::N,maja,пӧрт
375,Heim::N,kodu,мӧ́ҥгӧ
376,Ofen::N,ahi,комака́
377,Fußboden::N,põrand,кӱва́р
378,Tisch::N,laud,ӱсте́л
379,Stuhl::N,tool,пӱке́н
380,Wiege::N,häll,шепка́
381,Wiege::N,kätki,шепка́
382,Bett::N,voodi,ва́кшыш
383,Regal::N,riiul,шӧ́рлык
384,Kiste::N,kast,шо́ндык
385,Kiste::N,kast,я́шлык
386,Fenster::N,aken,окна́
387,Tür::N,uks,омса́
388,Tor::N,värav,капка́
389,Zaun::N,aed,сава́р
390,Zaun::N,tara,сава́р
391,Dach::N,katus,леве́дыш
392,Leiter::N,redel,тошка́лтыш
393,Besen::N,luud,ӱштерво́штыр
394,Spaten::N,labidas,ко́льмо
395,Schaufel::N,kühvel,сово́к
396,Schaufel::N,kühvel,су́ско
397,Gabel::N,kahvel,ви́лке
398,Löffel::N,lusikas,па́не
399,Löffel::N,lusikas,совла́
400,Messer::N,nuga,кӱ́зӧ
401,Nagel::N,nael,пуда́
402,Netz::N,võrk,вапш
403,Haken::N,haak,са́гыле
404,Haken::N,konks,са́гыле
405,Griff::N,sang,кыл
406,Griff::N,käepide,кыл
407,Schloss::N,lukk,кӧгӧ́н
408,Bild::N,pilt,сӱре́т
409,Figur::N,kuju,фигу́р
410,Figur::N,kujund,фигу́р
411,Puppe::N,nukk,курча́к
412,Beutel::N,paun,меша́к
413,Bündel::N,kimp,арша́ш
414,Tasche::N,kott,сумка́
415,Eimer::N,pang,ведра́
416,Eimer::N,ämber,ведра́
417,Deckel::N,kaas,ко́мдыш
418,Geschirr::N,nõud,а́те
419,Sack::N,kott,куль
420,Sack::N,kott,меша́к
421,Tasse::N,tass,чу́кыр
422,Tasse::N,tass,чашка́
423,Topf::N,pada,ми́ске
424,Kessel::N,pada,под
425,Essen::N,söök,ко́чкыш
426,Nahrung::N,toit,ку́рго
427,Speise::N,roog,ко́чкыш
428,Fleisch::N,liha,шыл
429,Getreide::N,teravili,шу́рно
430,Brei::N,puder,пу́чымыш
431,Brot::N,sai,ки́нде
432,Brot::N,leib,ки́нде
433,Scheibe::N,viil,ка́тыш
434,Scheibe::N,viilukas,ка́тыш
435,Fett::N,rasv,коя́
436,Butter::N,või,ӱй
437,Öl::N,õli,ӱй
438,Salz::N,sool,шинча́л
439,Suppe::N,supp,шӱр
440,Honig::N,mesi,мӱй
441,Milch::N,piim,шӧр
442,Tee::N,tee,чай
443,Leder::N,nahk,сура́н
444,Leder::N,nahk,шӱ́штӧ
445,Wolle::N,vill,пун
446,Stoff::N,kangas,куэ́м
447,Stoff::N,kangas,посто́
448,Nadel::N,nõel,и́ме
449,Faden::N,niit,шӱ́ртӧ
450,Knopf::N,nööp,по́лдыш
451,Knoten::N,sõlm,пышке́м
452,Farbe::N,värv,чия́
453,Kleidung::N,riided,чие́м
454,Kleidung::N,riided,вурге́м
455,Kleidung::N,riietus,чие́м
456,Kleidung::N,riietus,вурге́м
457,Hemd::N,särk,ту́выр
458,Kragen::N,krae,сога́
459,Ärmel::N,varrukas,шокш
460,Hose::N,püksid,йола́ш
461,Gürtel::N,vöö,ӱ́штӧ
462,Mütze::N,müts,упш
463,Schuh::N,king,боти́нке
464,Stiefel::N,saabas,кем
465,Ring::N,sõrmus,шерга́ш
466,Band::N,lint,тасма́
467,Band::N,lint,ле́нте
468,Kamm::N,kamm,шерге́
469,Spiegel::N,peegel,вошто́нчыш
470,Riemen::N,rihm,кӱзанӱ́штӧ
471,Schnur::N,nöör,кере́м
472,Schnur::N,nöör,кандыра́
473,Leine::N,jalutusrihm,вӱра́ҥ
474,Decke::N,tekk,леве́дыш
475,Decke::N,tekk,одея́л
476,Kissen::N,padi,кӱ́пчык
477,Tuch::N,kalev,шо́выч
478,Handtuch::N,käterätik,со́лык
479,Kraft::N,jõud,вий
480,Kraft::N,jõud,куа́т
481,Stärke::N,tugevus,куа́т
482,Stärke::N,tugevus,карма́н
483,Gesundheit::N,tervis,таза́лык
484,Krankheit::N,haigus,чер
485,Schmerz::N,valu,ко́рштыш
486,Wunde::N,haav,су́сыр
487,Fieber::N,palavik,йӱштыму́ж
488,Fieber::N,palavik,лихора́дке
489,Arznei::N,ravim,эм
490,Brücke::N,sild,кӱва́р
491,Brunnen::N,kaev,вӱдвыне́м
492,Weide::N,karjamaa,нурше́р
493,Pfad::N,rada,йолго́рно
494,Pfad::N,rada,сокма́к
495,Weg::N,tee,ко́рно
496,Straße::N,tee,ко́рно
497,Dorf::N,küla,ял
498,Stadt::N,linn,ола́
499,Brief::N,kiri,се́рыш
500,Buch::N,raamat,книга́
501,Buchstabe::N,täht,буква́
502,Zeitung::N,ajaleht,газе́т
503,Leben::N,elu,и́лыш
504,Tod::N,surm,колыма́ш
505,Grab::N,haud,шӱга́р
506,Kirche::N,kirik,че́рке
507,Sünde::N,patt,су́лык
508,Gott::N,jumal,ю́мо
509,Arbeiter::N,tööline,паша́зе
510,Chef::N,ülemus,тӧра́
511,Chef::N,juhataja,тӧра́
512,Meister::N,meister,маста́р
513,Arzt::N,arst,врач
514,Lehrer::N,õpetaja,ту́ныктышо
515,Geld::N,raha,окса́
516,Geschäft::N,äri,сатулыма́ш
517,Laden::N,pood,ке́выт
518,Laden::N,kauplus,ке́выт
519,Preis::N,hind,ак
520,Ware::N,kaup,сату́
521,Nutzen::N,tulu,пайда́
522,Nutzen::N,kasulikkus,пайда́
523,Reichtum::N,rikkus,поя́нлык
524,Welt::N,maailm,тӱня́
525,Land::N,maa,эл
526,Staat::N,riik,кугыжа́ныш
527,König::N,kuningas,кугыжа́
528,Macht::N,võim,власть
529,Grenze::N,piir,грани́ца
530,Krieg::N,sõda,сар
531,Feind::N,vaenlane,тушма́н
532,Gewalt::N,väevõim,виешлыма́ш
533,Kampf::N,võitlus,кредалма́ш
534,Bogen[Waffe]::N,vibu,юҥе́ж
535,Pfeil::N,nool,пикш
536,Gewehr::N,püss,пыча́л
537,Fehler::N,viga,йо́ҥылыш
538,Lüge::N,vale,шоя́к
539,Schaden::N,kahju,зия́н
540,Unglück::N,häda,эҥге́к
541,Unglück::N,õnnetus,эҥге́к
542,Schuld::N,süü,тита́к
543,Schuld::N,süü,йола́
544,Alter::N,iga,ийго́т
545,Schluss::N,lõpp,муча́ш
546,Zeit::N,aeg,жап
547,Zeit::N,aeg,па́гыт
548,Tag::N,päev,ке́че
549,Morgen::N,hommik,эр
550,Mittag::N,lõuna,кечыва́л
551,Mittag::N,keskpäev,кечыва́л
552,Abend::N,õhtu,кас
553,Nacht::N,öö,йӱд
554,Woche::N,nädal,арня́
555,Monat::N,kuu,ты́лзе
556,Jahr::N,aasta,ий
557,Frühling::N,kevad,шо́шо
558,Sommer::N,suvi,кеҥе́ж
559,Herbst::N,sügis,шы́же
560,Winter::N,talv,те́ле
561,Januar::N,jaanuar,шоркыйол
562,Januar::N,jaanuar,идалыкву́й
563,Januar::N,jaanuar,янва́рь
564,Februar::N,veebruar,пургыж
565,Februar::N,veebruar,февра́ль
566,März::N,märts,ӱярня
567,März::N,märts,март
568,April::N,aprill,апре́ль
569,Mai::N,mai,ага
570,Mai::N,mai,май
571,Juni::N,juuni,пеледыш
572,Juni::N,juuni,ию́нь
573,Juli::N,juuli,сӱрем
574,Juli::N,juuli,ию́ль
575,August::N,august,сорла
576,August::N,august,агарма́н
577,August::N,august,а́вгуст
578,September::N,september,идым
579,September::N,september,сентя́брь
580,Oktober::N,oktoober,шыжа
581,Oktober::N,oktoober,октя́брь
582,November::N,november,кылме тылзе
583,November::N,november,ноя́брь
584,Dezember::N,detsember,дека́брь
585,Montag::N,esmaspäev,шо́чмо
586,Dienstag::N,teisipäev,ку́шкыжмо
587,Mittwoch::N,kesknädal,вӱрге́че
588,Donnerstag::N,neljapäev,изарня́
589,Freitag::N,reede,кугарня́
590,Samstag::N,laupäev,шуматке́че
591,Sonntag::N,pühapäev,рушарня́
592,groß::A,suur,кугу́
593,klein::A,väike,изи́
594,klein::A,pisike,изи́
595,lang::A,pikk,кужу́
596,kurz::A,lühike,кӱ́чык
597,breit::A,lai,кумда́
598,schmal::A,kitsas,а́ҥысыр
599,dicht::A,tihe,ну́гыдо
600,dick[Gegenstand]::A,jäme,кӱ́жгӧ
601,dünn::A,õhuke,ви́чкыж
602,dünn::A,peenike,ви́чкыж
603,fein::A,peen,ты́гыде
604,fein::A,õhuke,ты́гыде
605,fest::A,püsiv,чо́ткыдо
606,fest::A,kindel,чо́ткыдо
607,flach::A,lame,лапка́
608,flach::A,tasane,лапка́
609,glatt::A,sile,яклака́
610,hart::A,kõva,пе́ҥгыде
611,weich::A,pehme,пу́шкыдо
612,rund::A,ümar,йырге́шке
613,spitz::A,torkav,коша́р
614,scharf::A,terav,пӱ́сӧ
615,stumpf::A,nüri,токма́к
616,schwer::A,raske,не́ле
617,schön::A,kena,сы́лне
618,heiß::A,kuum,шо́кшо
619,heiß::A,palav,шо́кшо
620,warm::A,soe,ле́ве
621,kalt::A,külm,йӱ́штӧ
622,kühl::A,jahe,юа́лге
623,kühl::A,jahe,южгата́
624,frisch::A,värske,свежа́
625,feucht::A,niiske,вӱ́дыжгӧ
626,nass::A,märg,нӧ́рӧ
627,trocken::A,kuiv,ку́кшо
628,voll::A,täis,тич
629,leer::A,tühi,яра́
630,offen::A,avatud,виш
631,offen::A,lahtine,виш
632,geschlossen::A,suletud,пе́тырыме
633,geschlossen::A,suletud,тӱ́чмӧ
634,sauber::A,puhas,ару́
635,sauber::A,puhas,янда́р
636,schmutzig::A,räpane,лавыра́н
637,schmutzig::A,räpane,ла́выргыше
638,schmutzig::A,määrdunud,лавыра́н
639,schmutzig::A,määrdunud,ла́выргыше
640,roh::A,toores,кӱ́чымӧ
641,reif::A,küps,лӧза́
642,lecker::A,hõrk,ту́тло
643,lecker::A,maitsev,ту́тло
644,süß::A,magus,ше́ре
645,bitter::A,mõru,ко́чо
646,sauer::A,hapu,шо́по
647,hell::A,hele,во́лгыдо
648,dunkel::A,pime,пычке́мыш
649,schwarz::A,must,шола́
650,weiß::A,valge,ош
651,rot::A,punane,йошка́р
652,gelb::A,kollane,сар
653,blau::A,sinine,ка́нде
654,grün::A,roheline,ужа́р
655,grau::A,hall,сур
656,bunt::A,kirju,олача́
657,bunt::A,värviline,олача́
658,billig::A,odav,шу́лдо
659,teuer::A,kallis,ше́рге
660,wertvoll::A,väärtuslik,шергака́н
661,blind::A,pime,со́кыр
662,taub::A,kurt,соҥгыра́
663,kräftig::A,jõuline,куа́тле
664,stark::A,tugev,вия́н
665,schwach::A,nõrk,а́лдыме
666,schwach::A,jõuetu,а́лдыме
667,fett::A,rasvane,коя́
668,schlank::A,sale,йоштката́
669,schlank::A,sale,яжу́
670,hübsch::A,kena,чеве́р
671,böse::A,tige,шы́де
672,dumm::A,juhm,аҥыра́
673,dumm::A,rumal,аҥыра́
674,faul::A,laisk,його
675,fleißig::A,virk,ты́ршыше
676,fleißig::A,hoolas,ты́ршыше
677,geizig::A,ihne,чаҥга́
678,klug::A,tark,уша́н
679,klug::A,arukas,уша́н
680,klug::A,mõistlik,уша́н
681,geschickt::A,osav,уста́
682,lieb::A,armas,ала́л
683,lustig::A,lõbus,весела́
684,sanft::A,õrn,ны́жылге
685,hungrig::A,näljane,шу́жышо
686,krank::A,haige,че́рле
687,nackt::A,alasti,чарама́т
688,traurig::A,kurb,ойга́н
689,lebendig::A,elus,и́лыше
690,gut::A,hea,сай
691,schlecht::A,halb,уда́
692,schlecht::A,halb,шӱ́кшӧ
693,richtig::A,õige,чы́нле
694,schlimm::A,paha,аля́к
695,schlimm::A,paha,тыра́н
696,wahr::A,tõene,чы́нле
697,wahr::A,tõene,настоя́щий
698,alt::A,vana,то́што
699,neu::A,uus,у
700,ehemalig::A,endine,о́нчычсо
701,ehemalig::A,endine,онда́кысе
702,alt[Lebewesen]::A,vana,шо́нто
703,jung::A,noor,са́мырык
704,arm::A,vaene,нужна́
705,reich::A,rikas,поя́н
706,bekannt::A,teada,па́лыме
707,bekannt::A,tuttav,па́лыме
708,berühmt::A,tuntud,лӱ́млӧ
709,fremd::A,võõras,йот
710,verschieden::A,erinev,тӱ́рлӧ
711,nah::A,lähedane,ли́шыл
712,fern::A,kauge,тора́
713,fern::A,kauge,мӱ́ндыр
714,linker::A,vasak,шола́
715,rechter::A,parem,пурла́
716,anderer::A,muu,вес
717,anderer::A,muu,мо́ло
718,anderer::A,teine,вес
719,anderer::A,teine,мо́ло
720,erster::A,esimene,и́кымше
721,zweiter::A,teine,ко́кымшо
722,dritter::A,kolmas,ку́мшо
723,letzter::A,viimane,пыта́ртыш
724,allein::ADV,üksi,шкет
725,auf einmal::ADV,korraga,икана́ште
726,auf einmal::ADV,ühekorraga,икана́ште
727,zusammen::ADV,koos,пырля́
728,zusammen::ADV,üheskoos,пырля́
729,lange::ADV,kaua,кужу́н
730,plötzlich::ADV,äkki,кенета́
731,plötzlich::ADV,järsku,кенета́
732,sofort::ADV,kohe,кызыта́к
733,später::ADV,hiljem,варара́к
734,jetzt::ADV,nüüd,ы́нде
735,jetzt::ADV,nüüd,кы́зыт
736,heute::ADV,täna,та́че
737,morgen::ADV,homme,эрла́
738,bald::ADV,pea,вашке́
739,bald::ADV,varsti,вашке́
740,dann::ADV,siis,вара́
741,gestern::ADV,eile,теҥге́че
742,einst::ADV,vanasti,икана́
743,damals::ADV,tookord,туна́м
744,danach::ADV,seejärel,вара́
745,vorher::ADV,enne,о́нчыч
746,zuerst::ADV,enne,онда́к
747,zuerst::ADV,esmalt,онда́к
748,einmal::ADV,kord,икана́
749,einmal::ADV,üks kord,икана́
750,manchmal::ADV,mõnikord,ка́шын
751,manchmal::ADV,mõnikord,кокла́н
752,oft::ADV,tihti,чӱ́чкыдын
