,Concept_ID,ab,kl
151,Klaue::N,ашьапхыц,kukik
152,Schwanz::N,аҵыхəа,pamioq
153,Schwanz::N,аҵыхəа,paperuusaq
154,Ei::N,акəтаӷь,mannik
155,Nest::N,аҭра,ullut
156,Nest::N,аҵысҭра,ullut
157,Bau::N,аҭыҩра,ini
158,Tier::N,аҧстəы,uumasoq
159,Tier::N,агыгшəыг,uumasoq
160,Herde::N,агəарҭа,unguukkat
161,Kuh::N,ажə,ussik
162,Bulle::N,ацə,angukulak
163,Bulle::N,ацə,anguteralak
164,Bulle::N,ацə,angutikulooq
165,Pferd::N,аҽы,
166,Schaf::N,ауаса,sava
167,Schwein::N,аҳəа,puuluki
168,Hund::N,ала,qimmeq
169,Katze::N,ацгəы,puisaaq
170,Bär::N,амшə,allaq
171,Eichhörnchen::N,аеш,sissinnguaq
172,Elch::N,аҽаҩа,
173,Fuchs::N,абгахəыҷы,terianniaq
174,Hase::N,ажьа,ukaleq
175,Maus::N,аҳəынаҧ,teriannguaq
176,Wolf::N,абгаду,amaroq
177,Vogel::N,аҧсаатə,timmiaq
178,Huhn::N,акəты,kukkukooq
179,Huhn::N,акəты,marloraaqaaq
180,Hahn::N,арбаҕь,kiasiusaq
181,Gans::N,аҟыз,nerleq
182,Adler::N,ауарба,nattoralik
183,Ente::N,акəата,
184,Eule::N,аты,uppik
185,Kranich::N,апҟа,qorlorfik
186,Krähe::N,аҟəараан,tuluatsiaq
187,Kuckuck::N,акəыкəу,kukkooq
188,Schwan::N,агьад,qussuk
189,Fisch::N,аҧсыӡ,aalisagaq
190,Barsch::N,ацəыбла,
191,Hecht::N,ахиаала,
192,Schlange[Tier]::N,амаҭ,pulateriarsuk
193,Schlange[Tier]::N,амаҭ,pulateriaarsuk
194,Wurm::N,ахəа,
195,Wurm::N,ахəац,
196,Spinne::N,абызкаҭаҳа,aasiaq
197,Spinne::N,абызкаҭаҳа,nissavaarsuk
198,Ameise::N,ашышкамс,uniaaluk
199,Laus::N,аҵа,kumak
200,Mücke::N,акəыбры,ippernaq
201,Fliege::N,амҵ,ippernaq
202,Schmetterling::N,аҧарҧалыкь,paluaq
203,Schmetterling::N,аҧарҧалыкь,pakkaluaq
204,Schmetterling::N,аҧарҧалыкь,utsuppaluaq
205,Schmetterling::N,аҧарҧалыкь,taqaleqisaaq
206,Beere::N,аргуц,paarmaq
207,Beere::N,аргуц,paarngaq
208,Apfel::N,аҵəа,iipili
209,Pilz::N,акəкəбаа,anngiusaq
210,Zwiebel::N,аџьымшьы,uanitsoq
211,Zwiebel::N,аџьымшьхы,uanitsoq
212,Saat::N,ажəла,naatsiiassaq
213,Korn::N,арыц,maannineq
214,Heu::N,аҭəа,
215,Schale::N,ацəа,niutsivik
216,Schale::N,ацəа,ilulissaq qaartussaq
217,Grube::N,ажра,itersaq
218,Grube::N,атыша,itersaq
219,Falle::N,арыҧҟьа,pualavoq
220,Schlinge::N,аҟəараҟəантə,orseq
221,Schlinge::N,аҟəараҟəантə,norloq
222,Spur::N,ашьҭа,tumaa
223,Asche::N,ахəа,arsat
224,Dreck::N,аҳəынҵəа,minguk
225,Dreck::N,аҟьамсар,minguk
226,Eisen::N,аиха,savimineq
227,Eisen::N,аиха,saffiugassaq
228,Gold::N,ахьы,kuulti
229,Silber::N,аразны,siilviuvoq
230,Kohle::N,арацəа,aamarsuit aamaruutissat
231,Glas::N,асаркьа,igalaaq
232,Glas::N,асаркьа,imertarfik
233,Glas::N,асаркьа,igalaamineq
234,Lehm::N,анышəаҧшь,marraq
235,Sand::N,аҧслымӡ,sioqqat
236,Mensch::N,ауаҩы,inuk
237,Mensch::N,ауаҩы,silamiu
238,Mann::N,ахаҵа,angut
239,Frau::N,аҧҳəыс,arnaq
240,Kind::N,ахəыҷы,meeraq
241,Junge::N,аҷкəын,nukappiaraq
242,Junge::N,ахаҵарҧыс,nukappiaraq
243,Mädchen::N,аӡӷаб,arnannguaq
244,Familie::N,аҭаацəа,ilaqutakka
245,Familie::N,аҭаацəа,ilaqutariit
246,Großvater::N,абду,aatak
247,Großmutter::N,анду,aanaq
248,Eltern::N,ани аби,angajoqqaat
249,Vater::N,аб,ataata
250,Vater::N,аб,ataataq
251,Mutter::N,ан,anaana
252,Sohn::N,аҧа,erneq
253,Tochter::N,аҧҳа,panik
254,Bruder::N,аиашьа,ani
255,Bruder::N,аиашьа,aqqaluk
256,Bruder::N,аиашьа,qatanngut
257,Schwester::N,Аҳəшьа,naja
258,Schwester::N,Аҳəшьа,aleqa
259,Schwester::N,Аҳəшьа,qatanngut
260,Onkel::N,абиашьа,akkak
261,Onkel::N,аншьа,akkak
262,Tante::N,абиаҳəшьа,aja
263,Tante::N,абиаҳəшьа,ajak
264,Tante::N,абиаҳəшьа,atsak
265,Ehemann::N,ахаҵа,ui
266,Ehemann::N,аҧшəма,ui
267,Ehefrau::N,аҧҳəыс,nuliaq
268,Freude::N,агəырӷьара,tipaatsussuseq
269,Gelächter::N,ачча,illaq
270,Gelächter::N,аччара,illaq
271,Glück::N,аразҟы,usornaat
272,Glück::N,аразҟы,usornarsuseq
273,Kummer::N,агəырҩа,
274,Wunsch::N,агəхəтəы,kissaat
275,Wunsch::N,аҭахра,kissaat
276,Lust::N,агəазыҳəара,illigussuseq
277,Lust::N,агəазыҳəара,piummaseq
278,Geist::N,аҧсы,anerneq
279,Geist::N,аҧсы,toornaq
280,Gedanke::N,ахəыцырҭа,isumassaq
281,Gedächtnis::N,агəынкылара,eqqaamannissuseq
282,Verstand::N,ахшыҩ,isuma
283,Verstand::N,ахшыҩ,sianissut
284,Verstand::N,ахшыҩ,misigissut
285,Verstand::N,ахшыҩ,sianissuseq
286,Verstand::N,ахшыҩ,silaqassuseq
287,Sinn::N,аҵакы,isuma
288,Grund::N,амзыз,patsit
289,Wahrheit::N,аиаша,sallusuissut
290,Gespräch::N,аиҿцәажәара,
291,Märchen::N,алакə,oqalualaarut
292,Märchen::N,алакə,oqaluasaaq
293,Erzählung::N,ажәабжь,oqaluttuaq
294,Nachricht::N,адырраҭара,oqaassut
295,Nachricht::N,адырраҭара,oqqersuut
296,Neuigkeit::N,ажәабжь ҿыц,tusarnartaq
297,Name::N,ахьӡ,ateq
298,Rätsel::N,ацуфара,nalorsitsaarut
299,Rede::N,ажәа,oqaluuseq
300,Sprache::N,абызшəа,oqaatsit
301,Stimme::N,абжьы,erinaq
302,Stimme::N,абжьы,qarluuseq
303,Wort::N,ажәа,oqaasii
304,Zeichen::N,адырга,nalunaaqqut
305,Ruf::N,аҿҭы,qaaqqussut
306,Lärm::N,ашьҭыбжь,perpaluk
307,Laut::N,ашьҭыбжь,torsukattak
308,Ton::N,атон,erinaq
309,Lied::N,ашəа,taalliaq
310,Lied::N,ашəа,erinarsuut
311,Ruhe::N,аҭынчра,qatsunganeq
312,Leute::N,ауаа,inuiak
313,Leute::N,ауаа,inuiaqatigiit
314,Volk::N,ажəлар,inuiaat
315,Arbeit::N,аусура,suliaq
316,Gast::N,асас,qaaqqusaq
317,Geschenk::N,аҳамҭа,pajugut
318,Geschenk::N,аҿанҵа,pajugut
319,Spiel::N,ахəмарра,
320,Gesellschaft::N,агəыҧ,
321,Hilfe::N,ацхыраара,annertoqqut
322,Freund::N,аҩыза,tiliaq
323,Freund::N,аҩыза,ikinngut
324,Kamerad::N,Аҧхнагьла,tiliaq
325,Kamerad::N,Аҧхнагьла,ikinngut
326,Angelegenheit::N,аус,
327,Anzahl::N,ахыҧхьаӡара,
328,Art::N,ахкы,ileqquuseq
329,Stück::N,аҽыҭ,nakkaalaniku
330,Teil::N,ахəҭа,tassiaasat
331,Hälfte::N,абжа,affaq
332,Kreis::N,агьагьа,kaajaluinneq or kaajaluitsoq
333,Kreuz::N,аџьар,sanningasulik
334,Linie::N,аицтәар,tittaq
335,Linie::N,аицтәар,titarneq
336,Strich::N,ацəаҳəа,
337,Abstand::N,абжьара,aku
338,Abstand::N,абжьара,ikiaq
339,Entfernung::N,абжьара,asi
340,Gegend::N,аҭыҧ,nuna
341,Platz::N,аҭыҧ,ini
342,Platz::N,аҭыҧ,inissaq
343,Ort::N,аҭыҧ,sumiiffik
344,Seite::N,аган,saneraq
345,Mitte::N,агəҭа,qiteq
346,Gegenstand::N,амаҭəар,
347,Rand::N,аҵкар,sini
348,Rand::N,аҵкар,akerfineq
349,Kante::N,авардым,akerfineq
350,Ecke::N,акəакь,teqeqqoq
351,Ecke::N,акəакь,tikeqqoq
352,Spitze::N,аҧынҵа,inngik
353,Ende::N,анаӡара,isu
354,Loch::N,акылҵəара,putu
355,Winkel::N,агҿаҩра,teqeqqorissaat
356,Winkel::N,акəындхə,teqeqqorissaat
357,Winkel::N,акəакь,teqeqqorissaat
358,Muster::N,аҟҟа,ilisserut
359,Größe::N,изаҟароу,angissuseq
360,Länge::N,аура,takissuseq
361,Höhe::N,агылара,
362,Gewicht::N,акапан,oqimaalutaq
363,Haufen::N,ачаҟəа,eqimattat
364,Reihe::N,ацəаҳəа,allunaasaq
365,Boot::N,анышь,qajaq
366,Boot::N,анышь,angallat
367,Boot::N,анышь,umiatsiaq
368,Ruder::N,ажəҩа,iput
369,Schlitten::N,ашəаҩауардын,qamutit
370,Schlitten::N,ашəаҩауардын,qimusseq
371,Ski::N,ашəаҩа,ataarut
372,Ski::N,ашьахаха,ataarut
373,Lagerfeuer::N,еиқуу амца,
374,Last::N,ахьанҭара,nammagaq
375,Gang::N,аныҟəара,
376,Schritt::N,ашьаҿа,allorneq
377,Norden::N,аҩада,avannaq
378,Süden::N,алада,qava
379,Süden::N,алада,kujat
380,Süden::N,алада,kujataa
381,Westen::N,амраҭашəара,kitaa
382,Osten::N,амрагылара,kangi
383,Holz::N,амҿымаҭəахə,qisuk
384,Brett::N,аӷəы,salliligaq
385,Platte::N,ахаҳәцәы,qaateq
386,Stütze::N,аҵаргəа,ajagutaq
387,Stütze::N,аҵаргəа,ajaagutaq
388,Stütze::N,агəышьаҟа,ajagutaq
389,Stütze::N,агəышьаҟа,ajaagutaq
390,Stange::N,акьат,kaaviffik
391,Stock::N,алаба,ajaappissat
392,Stab::N,акьат,ajaappissat
393,Rohr::N,абыкь,sullulik
394,Haus::N,аҩны,illu
395,Heim::N,аҭаацəа,
396,Ofen::N,аҳақə,kissarsuut
397,Ofen::N,ауаџьаҟ,kissarsuut
398,Ofen::N,афрына,kissarsuut
399,Fußboden::N,адашьма,nateq
400,Tisch::N,аишәа,allattarfik
401,Stuhl::N,аҟəардə,issiavik
402,Stuhl::N,аҟəардə,issiaffik
403,Wiege::N,агара,uaasoq
404,Bett::N,акаруаҭ,nallavik
405,Regal::N,акыӷəра,ilisivik
406,Kiste::N,аидчаҧала,sakissat
407,Kiste::N,аидчаҧала,illerfiusaq
408,Fenster::N,аҧенџьыр,aki
409,Fenster::N,аҧенџьыр,igalaaq
410,Tür::N,ашə,matu
411,Tor::N,агəашə,isaaffik
412,Zaun::N,аанда,saputit
413,Dach::N,ахыб,qaliaq
414,Leiter::N,амардуан,tummeqqat
415,Leiter::N,амардуан,majuartarfiit
416,Besen::N,аҧссага,saligutit
417,Spaten::N,ажыга,nivaataq
418,Schaufel::N,аҭəарӷəы,nivaataq
419,Gabel::N,ачқьыҧ,qilluaq
420,Gabel::N,ачқьыҧ,ajassaatit
421,Löffel::N,амҳаҵə,alussaat
422,Messer::N,аҳəызба,savik
423,Nagel::N,аҵəымӷ,kukik
424,Netz::N,акаҭа,anguffaseq
425,Haken::N,аҵəаҳə,nissik
426,Haken::N,аҵəаҳə,qarsorsaq
427,Haken::N,аҵəаҳə,qarsorsartoq
428,Griff::N,амаа,ipi
429,Schloss::N,асаҧаҭ,illussaarsuaq
430,Bild::N,асахьа,assiliaq
431,Figur::N,афигура,kisitsit
432,Puppe::N,акьанџьа,inuusaq
433,Beutel::N,асакь,
434,Bündel::N,аҿаҳəара,qilertaq
435,Tasche::N,арҭмаҟ,pooqattaq
436,Eimer::N,аведра,
437,Deckel::N,ахҩа,matu
438,Geschirr::N,ачысмаҭəа,anut
439,Sack::N,асакь,
440,Tasse::N,аҵəца,tiitorfik
441,Tasse::N,аҵəца,tiitorfiup ilorlia
442,Topf::N,акаструлиа,qoqqoq
443,Kessel::N,ачуан,uunnaavik
444,Nahrung::N,афатə,neqissaq
445,Speise::N,афатə,nerisassat
446,Fleisch::N,акəац,neqi
447,Getreide::N,ачакуа,maannineq
448,Brei::N,ақашь,
449,Brot::N,ача,iffit
450,Brot::N,ача,iffiaq
451,Scheibe::N,аҽыҭ,igalaassiaq
452,Scheibe::N,аҿаҵа,igalaassiaq
453,Fett::N,ашша,tarnutissaq
454,Fett::N,ашша,tarnutissiaq
455,Butter::N,ахəша,punneq
456,Öl::N,азеҭ,uulia
457,Salz::N,аџьыка,taratsut
458,Suppe::N,асуҧ,qajoq
459,Honig::N,ацха,tungusunnitsuut
460,Milch::N,ахш,immuk
461,Tee::N,ачаи,tii
462,Tee::N,ачаи,teeq
463,Leder::N,ацəа,
464,Wolle::N,аласа,nuersagassiaq
465,Stoff::N,Аба,milliaq
466,Stoff::N,Аба,qarlissiaq
467,Nadel::N,агəыр,meqqut
468,Faden::N,арахəыц,ujalussiaq
469,Knopf::N,аҳəынҵəра,attat
470,Knoten::N,аиқəҳəала,akeroq
471,Knoten::N,аиқəҳəала,qilerneq
472,Farbe::N,ашəыга,qalipaat
473,Kleidung::N,амаҭəа,atisat
474,Kleidung::N,амаҭəа,annoraaq
475,Hemd::N,акьаҿ,ilupaaq
476,Kragen::N,ахəда,qungasiinnaq
477,Ärmel::N,амаӷра,aaq
478,Hose::N,аиқəа,qarliit
479,Gürtel::N,амаҟа,qiterut
480,Gürtel::N,амаҟа,unngersaq
481,Mütze::N,ахылҧа,nasaq
482,Schuh::N,аимаа,skuu
483,Schuh::N,аимаа,ikernuk
484,Schuh::N,аимаа,ateraasaq
485,Stiefel::N,амагə,kamik
486,Ring::N,амацəаз,assammiu
487,Band::N,алента,qilerutissiaq
488,Kamm::N,ахҳəа,illaagutit
489,Kamm::N,ахҳəа,illaajaatit pl.
490,Spiegel::N,асаркьа,tarrarsuut
491,Riemen::N,аа,allunaaq
492,Schnur::N,ашаха,kujaaq
493,Schnur::N,ашаха,allunaasaq
494,Leine::N,аҕура,aleq
495,Decke::N,ахыза,qipik
496,Kissen::N,ахчы,akit
497,Tuch::N,акасы,qarlissiaq
498,Handtuch::N,ампахьшьы,allarut
499,Handtuch::N,ампахьшьы,allarterut
500,Kraft::N,амч,pissak
501,Stärke::N,амч,qerattarsaat
502,Gesundheit::N,агəабзиара,peqqisusseq
503,Krankheit::N,ачымазара,nappaat
504,Schmerz::N,ахьаа,anniaat
505,Wunde::N,ахəра,iki
506,Fieber::N,ашоура,nappaat qanimanartoq
507,Arznei::N,ахəшə,imigassaq
508,Brücke::N,ацҳа,ikaartarfik
509,Brunnen::N,аҵыџь,tissaluttuliaq
510,Weide::N,аҳəырҭа,masarsuk
511,Pfad::N,амхəасҭа,aqqut
512,Weg::N,амҩа,aggerfik
513,Straße::N,амҩа,aqqusineq
514,Dorf::N,ақыҭа,nunaqarfik
515,Stadt::N,ақалақь,illorpaat
516,Stadt::N,ақалақь,illorpalik
517,Brief::N,ашəҟəы,allagarsiaq
518,Buch::N,ашəҟəы,atuakkat
519,Buch::N,ашəҟəы,mappersagaq
520,Buchstabe::N,анбан,naqinneq
521,Zeitung::N,агазеҭ,aviisi
522,Leben::N,аҧсҭазаара,inuussuseq
523,Tod::N,аҧсра,toqu
524,Tod::N,аҧсра,toquneq
525,Grab::N,анышəынҭра,iliveq
526,Grab::N,анышəынҭра,illissat
527,Kirche::N,ауахəама,oqaluffik
528,Sünde::N,агəнаҳа,ajorti
529,Gott::N,анцəа,
530,Arbeiter::N,аусуҩ,sulisoq
531,Chef::N,Аиҳабы,ittoqut
532,Meister::N,аҟаза,naalagaq
533,Arzt::N,аҳақьым,katsorsaasoq
534,Lehrer::N,арҵаҩы,ilinniartitsisoq
535,Geld::N,аҧара,aningaasat
536,Laden::N,амагазин,niuertarfik
537,Preis::N,ахə,aki
538,Ware::N,атауар,qaliata pii
539,Ware::N,атауар,nioqqutissaq
540,Nutzen::N,ақьар,iluaqut
541,Reichtum::N,абеиара,
542,Welt::N,адунеи,nunarsuaq
543,Land::N,атəыла,nuna
544,Staat::N,аҳəынҭқарра,
545,König::N,акрал,kunngi
546,Macht::N,амчра,pissaassuseq
547,Grenze::N,аҳəаа,killik
548,Krieg::N,аибашьра,sorsunneq
549,Feind::N,Аҕа,akeraq
550,Feind::N,Аҕа,akerartorti
551,Feind::N,Аҕа,qinngarsuisoq
552,Gewalt::N,ақəымчра,
553,Kampf::N,ақəҧара,sorsunneq
554,Bogen[Waffe]::N,ахыц,
555,Pfeil::N,ахəымпал,qalugiusaq
556,Gewehr::N,ашəақь,aallaat
557,Fehler::N,агха,kukkuneq
558,Fehler::N,агха,paarlaappaa
559,Lüge::N,амц,
560,Schaden::N,аҧырхага,
561,Unglück::N,арыцҳара,perluut
562,Schuld::N,ахара,akiitsugaq
563,Schuld::N,ахара,akiligassaq
564,Alter::N,ақəра,utoqqaq
565,Schluss::N,анҵəамҭа,isu
566,Zeit::N,аамта,ulloq
567,Zeit::N,аамта,akuttoqatigiinneq
568,Tag::N,амш,ulloq
569,Morgen::N,ашара,ullaaq
570,Morgen::N,ашьыбжь,ullaaq
571,Mittag::N,шьыбжьон,ulloqeqqa
572,Abend::N,ахəылҧаз,unnuk
573,Abend::N,ахəлбыҽха,unnuk
574,Nacht::N,аҵх,unnuaq
575,Woche::N,амчыбжь,sapaatip akunnera
576,Frühling::N,ааҕын,upernaaq
577,Sommer::N,аҧхын,aasaq
578,Herbst::N,ҭагалан,ukiaq
579,Herbst::N,хкаарачан,ukiaq
580,Winter::N,аӡын,ukioq
581,Januar::N,ианвар,siulleeq
582,Januar::N,ианвар,qaammaliaq
583,Februar::N,февраль,aarlaat
584,März::N,март,marsi
585,März::N,март,martsi
586,April::N,апрель,
587,Mai::N,маи,maaji
588,Juni::N,иуун,juuni
589,Juli::N,иууль,juuli
590,August::N,август,aggusti
591,September::N,сентиабр,septembari
592,Oktober::N,октиабр,oktobari
593,November::N,ноиабр,novembari
594,Dezember::N,декабр,detsembari
595,Montag::N,ашəахьа,ataasinngortoq
596,Dienstag::N,аҩаша,marlunngorneq
597,Mittwoch::N,ахаша,pingasunngorneq
598,Donnerstag::N,аҧшьаша,sisamanngorneq
599,Freitag::N,ахəаша,tallimanngorneq
600,Samstag::N,асабша,arfininngorneq
601,Sonntag::N,амҽыша,sapaat
602,Sonntag::N,амҽыша,sapaati
603,groß::A,аду,angivoq
604,klein::A,амаҷ,mikivoq
605,lang::A,ахəхəа,takisooq
606,kurz::A,акьаҿ,naatsoq
607,breit::A,аиужь,silippoq
608,breit::A,аиҵых,silippoq
609,schmal::A,аҭшəа,amitsoq
610,dicht::A,аилач,torsusooq
611,dick[Gegenstand]::A,ажəпа,issuvoq
612,dick[Gegenstand]::A,ажəпа,issusooq
613,fein::A,апа,mamarpoq
614,fein::A,аҵаӷа,mamarpoq
615,fein::A,аӡа,mamarpoq
616,fest::A,аҟаца,tangeqarpoq
617,fest::A,аӷəӷəаҟаца,tangeqarpoq
618,flach::A,ақəаҟьа,nalimmappoq
619,flach::A,аҧаҟьа,nalimmappoq
620,glatt::A,аимаҩзы,quasak
621,hart::A,акьакьа,mattusooq
622,hart::A,акьакьа,manngerpoq
623,hart::A,акьакьа,titeqquluppoq
624,weich::A,атата,nerumaarpoq
625,rund::A,акəмпыл,ammallorippoq
626,spitz::A,аҵар,qummukujooq
627,scharf::A,аҵар,ipippoq
628,stumpf::A,ацагə,anngerpoq
629,schwer::A,ахьанҭа,oqimaappoq
630,schön::A,аҧшӡа,kusanarpoq
631,heiß::A,ашы,kiappoq
632,warm::A,аҧха,oqorpoq
633,kalt::A,ахьшəашəа,issippoq
634,kühl::A,ахьшəашəа,pueqqortippoq
635,kühl::A,ицәыхьшәашәоу,pueqqortippoq
636,frisch::A,цқьа,
637,feucht::A,ацəаак,isugutavoq
638,feucht::A,ацəаак,qaasernarpoq
639,nass::A,абааӡа,imerorpoq
640,trocken::A,Аба,panerpoq
641,trocken::A,аҩа,panerpoq
642,voll::A,азна,ulikkaarpoq
643,leer::A,аҭацəы,imaattuarpoq
644,offen::A,аарта,ammavoq
645,geschlossen::A,ихҩоу,matuvoq
646,geschlossen::A,иаркыу,matuvoq
647,sauber::A,ацқьа,eqqippoq
648,sauber::A,ацқьа,sukuluippoq
649,sauber::A,ацқьа,ipeqanngilaq
650,schmutzig::A,аҟьашь,tapappoq
651,schmutzig::A,аҟьашь,minguppoq
652,reif::A,Арҭ,qaarulerpoq
653,reif::A,аҟала,qaarulerpoq
654,reif::A,иҟалахьоу,qaarulerpoq
655,lecker::A,ахаа,
656,süß::A,азла,tungusunnippoq
657,bitter::A,аша,qasilippoq
658,sauer::A,аҵəҵəы,
659,hell::A,алаша,qaamavoq
660,dunkel::A,алашьца,qernerpoq
661,schwarz::A,аиқуаҵәа,qernerpoq
662,weiß::A,ашкəакəа,qaqorpoq
663,rot::A,аҟаҧшь,aappaluppoq
664,gelb::A,аҩеижь,sungaarpoq
665,blau::A,аҽҵәа,tungujorpoq
666,grün::A,ашьацҧшҭəала,qorsooqqippoq
667,grün::A,аеҵəа,qorsooqqippoq
668,grau::A,ацəыш,qaserpoq
669,bunt::A,Аилыҕраа,
670,bunt::A,аҕраҷкəын,
671,billig::A,амариа,akikippoq
672,teuer::A,амҩан,
673,wertvoll::A,кыр иаҕсоу,erlinnarpoq
674,wertvoll::A,акыр иаҕсоу,erlinnarpoq
675,blind::A,алашə,tappiippoq
