,Concept_ID,ce,it
128,Insel::N,гӏайре,ìsola
129,Blume::N,зезаг,fiore
130,Gras::N,буц,erba
131,Wurzel::N,орам,radice
132,Baum::N,дитт,àlbero
133,Stamm::N,гӏад,tronco
134,Stamm::N,тайпа,tronco
135,Rinde::N,кевстиг,corteccia
136,Ast::N,га,ramo
137,Zweig::N,га,ramo
138,Blatt::N,гӏа,foglia
139,Birke::N,дакх,betulla
140,Kiefer[Baum]::N,бага,pino
141,Weide[Baum]::N,дак,sàlice
142,Tanne::N,база,abete
143,Horn::N,маӏа,corno
144,Feder::N,пелаг,penna
145,Fell::N,цӏока,manto
146,Fell::N,цӏока,pelame
147,Flügel::N,тӏам,ala
148,Klaue::N,мӏара,grinfia
149,Kralle::N,тlод,unghia
150,Kralle::N,тlод,artiglio
151,Schwanz::N,цӏога,coda
152,Ei::N,xӏoa,uovo
153,Nest::N,бен,nido
154,Bau::N,lуьрг,covo
155,Tier::N,дийнат,bestia
156,Tier::N,дийнат,animale
157,Herde::N,жа,gregge
158,Kuh::N,етт,vacca
159,Bulle::N,сту,toro
160,Pferd::N,говр,cavallo
161,Schaf::N,жий,pècora
162,Schaf::N,уьстагӏ,pècora
163,Schwein::N,хьакха,porco
164,Schwein::N,хьакха,maiale
165,Hund::N,жӏаьла,cane
166,Katze::N,цициг,gatta
167,Bär::N,ча,orso
168,Eichhörnchen::N,тарсал,scoiàttolo
169,Elch::N,сай,alce
170,Fuchs::N,цхьогал,volpe
171,Hase::N,пхьагал,lepre
172,Maus::N,дахка,topo
173,Maus::N,дахка,sorcio
174,Wolf::N,борз,lupo
175,Vogel::N,олхазар,uccello
176,Huhn::N,котам,gallina
177,Hahn::N,нӏаьна,gallo
178,Hahn::N,боргӏал,gallo
179,Gans::N,гӏаз,oca
180,Adler::N,aьрзу,àquila
181,Ente::N,бад,ànatra
182,Eule::N,бухӏа,gufo
183,Eule::N,бухӏа,civetta
184,Kranich::N,гӏаргӏули,gru
185,Krähe::N,къиг,cornacchia
186,Kuckuck::N,aттйокх,cuccù
187,Kuckuck::N,aттйокх,cùculo
188,Schwan::N,гӏургӏаз,cigno
189,Fisch::N,чӏара,pesce
190,Barsch::N,окунь,pèrsico
191,Hecht::N,гӏазкхийн чӏара,luccio
192,Schlange[Tier]::N,лаьхьа,serpente
193,Wurm::N,нӏаьна,baco
194,Wurm::N,нӏаьна,verme
195,Spinne::N,гезг,ragno
196,Ameise::N,зингат,formica
197,Laus::N,меза,pidocchio
198,Laus::N,гӏениг,pidocchio
199,Mücke::N,чуьрк,zanzara
200,Fliege::N,моза,mosca
201,Schmetterling::N,полла,farfalla
202,Beere::N,цӏазам,bacca
203,Apfel::N,ӏаж,mela
204,Pilz::N,жӏаьлин нускал,fungo
205,Zwiebel::N,xох,cipolla
206,Saat::N,чlу,semente
207,Korn::N,буьртиг,grano
208,Heu::N,йол,fieno
209,Schale::N,пардо,buccia
210,Grube::N,ор,cava
211,Grube::N,ор,fossa
212,Falle::N,кӏело,tràppola
213,Spur::N,лар,traccia
214,Asche::N,чим,cenere
215,Dreck::N,мода,fango
216,Eisen::N,эчиг,ferro
217,Gold::N,деши,oro
218,Silber::N,дети,argento
219,Kohle::N,кӏора,carbone
220,Glas::N,aнгали,vetro
221,Lehm::N,поппар,argilla
222,Sand::N,гӏум,arena
223,Sand::N,гӏум,sabbia
224,Mensch::N,адам,uomo
225,Mensch::N,адам,èssere umano
226,Mann::N,майра,uomo
227,Frau::N,зуда,donna
228,Kind::N,бер,bambino
229,Junge::N,жимха,ragazzo
230,Mädchen::N,жима йоӏ,ragazza
231,Familie::N,доьзал,famiglia
232,Großvater::N,ненада,nonno
233,Großmutter::N,денана,nonna
234,Eltern::N,да-нана,genitori
235,Vater::N,да,padre
236,Mutter::N,нана,madre
237,Sohn::N,кӏант,figlio
238,Tochter::N,йоӏ,figlia
239,Bruder::N,ваша,fratello
240,Schwester::N,йиша,sorella
241,Onkel::N,деваша,zio
242,Tante::N,дейиша,zia
243,Ehemann::N,майра,marito
244,Ehefrau::N,зуда,moglie
245,Freude::N,самукъа,gioia
246,Freude::N,самукъа,piacere
247,Freude::N,хазахетар,gioia
248,Freude::N,хазахетар,piacere
249,Gelächter::N,белам,risata
250,Glück::N,ирс,felicità
251,Kummer::N,бала,afflizione
252,Wunsch::N,лаам,desiderio
253,Lust::N,лаам,voglia
254,Geist::N,са,mente
255,Geist::N,са,spìrito
256,Gedanke::N,ойла,idea
257,Gedanke::N,ойла,pensiero
258,Gedächtnis::N,диццадалар,memoria
259,Verstand::N,хьекъал,intelletto
260,Sinn::N,маьӏна,senso
261,Sinn::N,маьӏна,significato
262,Grund::N,бахьана,causa
263,Grund::N,бахьана,motivo
264,Grund::N,бахьана,ragione
265,Wahrheit::N,бакъдерг,verità
266,Gespräch::N,къамел,discorso
267,Gespräch::N,къамел,conversazione
268,Märchen::N,туьйра,fiaba
269,Märchen::N,туьйра,fàvola
270,Erzählung::N,дийцар,racconto
271,Erzählung::N,дийцар,narrazione
272,Nachricht::N,хаам,messaggio
273,Neuigkeit::N,керланиг,notizia
274,Name::N,цӏе,nome
275,Rätsel::N,хӏетал-метал,indovinello
276,Rede::N,къамел,discorso
277,Sprache::N,мотт,lingua
278,Sprache::N,мотт,linguaggio
279,Stimme::N,aз,voce
280,Wort::N,дош,parola
281,Zeichen::N,билгало,segno
282,Zeichen::N,билгало,segnale
283,Ruf::N,кхайкхар,chiamata
284,Lärm::N,гӏовгӏа,chiasso
285,Lärm::N,гӏовгӏа,strèpito
286,Laut::N,аз,suono
287,Ton::N,aз,tono
288,Lied::N,илли,canto
289,Lied::N,илли,canzone
290,Ruhe::N,тийналла,calma
291,Ruhe::N,тийналла,tranquillità
292,Leute::N,нах,gente
293,Volk::N,халкъ,pòpolo
294,Arbeit::N,болх,lavoro
295,Gast::N,хьаша,òspite
296,Gast::N,хьаша,invitato
297,Geschenk::N,совгӏат,regalo
298,Spiel::N,ловзар,gioco
299,Gesellschaft::N,юкъаралла,compagnìa
300,Hilfe::N,гӏо,aiuto
301,Hilfe::N,гӏо,soccorso
302,Freund::N,доттагl,amico
303,Kamerad::N,накъост,camerata
304,Angelegenheit::N,гӏуллакх,affare
305,Angelegenheit::N,гӏуллакх,faccenda
306,Anzahl::N,терахь,nùmero
307,Anzahl::N,терахь,quantità
308,Stück::N,юьхк,pezzo
309,Teil::N,дакъа,parte
310,Hälfte::N,ах,metà
311,Kreis::N,го,cìrcolo
312,Kreuz::N,жӏара,croce
313,Linie::N,сиз,lìnea
314,Strich::N,сиз,tratto
315,Abstand::N,юкъ,distanza
316,Gegend::N,мeттиг,regione
317,Platz::N,майда,posto
318,Platz::N,майда,spazio
319,Ort::N,меттиг,luogo
320,Ort::N,меттиг,località
321,Seite::N,aгӏo,lato
322,Seite::N,aгӏo,parte
323,Mitte::N,юкъ,mezzo
324,Mitte::N,юкъ,centro
325,Gegenstand::N,хӏума,oggetto
326,Sache::N,хӏума,cosa
327,Rand::N,йист,orlo
328,Rand::N,йист,bordo
329,Kante::N,йист,spìgolo
330,Ecke::N,са,canto
331,Spitze::N,ралла,punta
332,Ende::N,юьхьиг,capo
333,Ende::N,юьхьиг,estremità
334,Loch::N,ӏуьрг,buco
335,Winkel::N,са,àngolo
336,Muster::N,дагар,disegno
337,Muster::N,тӏамар,disegno
338,Größe::N,барам,taglia
339,Größe::N,барам,grandezza
340,Länge::N,йохалла,lunghezza
341,Höhe::N,локхалла,altezza
342,Gewicht::N,йозалла,peso
343,Menge::N,дукхалла,quantità
344,Haufen::N,сал,cùmulo
345,Haufen::N,сал,mucchio
346,Haufen::N,оьла,cùmulo
347,Haufen::N,оьла,mucchio
348,Reihe::N,рагӏ,fila
349,Reihe::N,могӏа,fila
350,Boot::N,кема,barca
351,Boot::N,кема,battello
352,Ruder::N,пийсиг,remo
353,Schlitten::N,салаз,slitta
354,Ski::N,когсалаз,sci
355,Lagerfeuer::N,цӏе,falò
356,Lagerfeuer::N,цӏе,fuoco di bivacco
357,Last::N,дукъ,càrico
358,Gang::N,лелар,andata
359,Schritt::N,гӏулч,passo
360,Norden::N,къилбаседе,nord
361,Norden::N,къилбаседе,settentrione
362,Süden::N,къилбе,sud
363,Süden::N,къилбе,meridione
364,Westen::N,малхбузе,òvest
365,Westen::N,малхбузе,occidente
366,Osten::N,малхбале,est
367,Osten::N,малхбале,oriente
368,Holz::N,дечиг,legno
369,Brett::N,у,asse
370,Brett::N,у,tàvola
371,Platte::N,у,lastra
372,Platte::N,у,piastra
373,Stütze::N,гӏopтоp,supporto
374,Stange::N,гӏуркх,sbarra
375,Stange::N,гӏуркх,pèrtica
376,Stock::N,ӏаса,verga
377,Stock::N,ӏаса,bastone
378,Stock::N,ӏаса,bacchetta
379,Stab::N,гӏаж,asta
380,Rohr::N,биргӏа,tubo
381,Haus::N,цӏа,casa
382,Heim::N,кхерч,casa
383,Ofen::N,кхерч,stufa
384,Fußboden::N,цӏенкъа,pavimento
385,Tisch::N,шун,tàvolo
386,Stuhl::N,гӏант,sedia
387,Wiege::N,ага,culla
388,Bett::N,маьнга,letto
389,Regal::N,терхи,scaffale
390,Kiste::N,яьшка,cassa
391,Fenster::N,кор,finestra
392,Tür::N,неӏ,porta
393,Tor::N,ков,portone
394,Zaun::N,керт,recinto
395,Dach::N,тхов,tetto
396,Leiter::N,лами,scala
397,Leiter::N,лами,scala a pioli
398,Besen::N,нуй,scopa
399,Spaten::N,бел,vanga
400,Schaufel::N,аьшкал,pala
401,Gabel::N,мӏара,forchetta
402,Löffel::N,ӏайг,cucchiaio
403,Messer::N,урс,coltello
404,Nagel::N,хьостам,chiodo
405,Netz::N,бой,rete
406,Haken::N,мӏара,uncino
407,Schloss::N,чӏега,serratura
408,Bild::N,сурт,quadro
409,Bild::N,сурт,immàgine
410,Puppe::N,тайниг,bàmbola
411,Beutel::N,гали,borsa
412,Beutel::N,гали,sacchetto
413,Bündel::N,кочар,fascio
414,Bündel::N,кочар,fagotto
415,Tasche::N,тӏоьрмиг,borsa
416,Eimer::N,чийлик,secchio
417,Deckel::N,негӏар,coperchio
418,Geschirr::N,пхьегӏа,stoviglie
419,Sack::N,гали,sacco
420,Tasse::N,кад,tazza
421,Topf::N,яй,pèntola
422,Kessel::N,яй,paiolo
423,Kessel::N,яй,calderone
424,Essen::N,юург,pasto
425,Essen::N,юург,mangiare
426,Nahrung::N,кхача,cibo
427,Nahrung::N,кхача,alimento
428,Speise::N,юург,piatto
429,Fleisch::N,жижиг,carne
430,Getreide::N,буьртиг,cereali
431,Brei::N,xудар,purè
432,Brei::N,xудар,pappa
433,Brot::N,бепиг,pane
434,Brot::N,кхаллар,pane
435,Scheibe::N,цастар,fetta
436,Scheibe::N,цастар,trancia
437,Fett::N,мохь,grasso
438,Butter::N,налха,burro
439,Öl::N,даьтта,olio
440,Salz::N,туьха,sale
441,Suppe::N,чорпа,zuppa
442,Suppe::N,чорпа,minestra
443,Honig::N,моз,miele
444,Milch::N,шура,latte
445,Tee::N,чай,tè
446,Leder::N,цӏока,pelle
447,Wolle::N,тӏapгӏa,lana
448,Stoff::N,кӏади,panno
449,Stoff::N,кӏади,tessuto
450,Nadel::N,маха,ago
451,Faden::N,тай,filo
452,Knopf::N,нуьйда,bottone
453,Knoten::N,шад,nodo
454,Farbe::N,сир,pittura
455,Farbe::N,басар,pittura
456,Kleidung::N,бедар,vestiti
457,Kleidung::N,бедар,vestiario
458,Hemd::N,коч,camicia
459,Kragen::N,кач,bàvero
460,Kragen::N,кач,colletto
461,Ärmel::N,пхьош,mànica
462,Hose::N,хеча,calzoni
463,Gürtel::N,доьхка,cintura
464,Mütze::N,куй,berretto
465,Schuh::N,мача,scarpa
466,Stiefel::N,этка,stivale
467,Ring::N,чӏуг,anello
468,Band::N,лента,nastro
469,Band::N,лента,fettuccia
470,Kamm::N,ехк,pèttine
471,Spiegel::N,куьзга,specchio
472,Riemen::N,доьхка,cinghia
473,Schnur::N,муш,corda
474,Leine::N,кочатосу доьхка,guinzaglio
475,Decke::N,юргӏа,coperta
476,Kissen::N,гIайба,cuscino
477,Kissen::N,гIайба,guanciale
478,Tuch::N,исхар,fazzoletto
479,Handtuch::N,гата,asciugamano
480,Kraft::N,гӏора,forza
481,Stärke::N,гӏап,forza
482,Stärke::N,гӏап,vigore
483,Stärke::N,гӏап,fortezza
484,Gesundheit::N,могашалла,salute
485,Krankheit::N,цамгар,malattìa
486,Schmerz::N,лазар,dolore
487,Wunde::N,чов,piaga
488,Wunde::N,чов,ferita
489,Fieber::N,xорша,febbre
490,Arznei::N,молха,fàrmaco
491,Arznei::N,молха,medicina
492,Brücke::N,тӏай,ponte
493,Brunnen::N,гӏу,pozzo
494,Weide::N,дак,pàscolo
495,Pfad::N,тача,sentiero
496,Weg::N,некъ,via
497,Weg::N,некъ,cammino
498,Straße::N,урам,strada
499,Dorf::N,юрт,paese
500,Dorf::N,юрт,villaggio
501,Stadt::N,гӏала,città
502,Brief::N,кехат,lèttera
503,Buch::N,жайна,libro
504,Buchstabe::N,элп,lèttera
505,Zeitung::N,газет,giornale
506,Leben::N,дахар,vita
507,Tod::N,далар,morte
508,Tod::N,ӏожалла,morte
509,Grab::N,каш,tomba
510,Grab::N,каш,sepolcro
511,Kirche::N,килс,chiesa
512,Sünde::N,къа,peccato
513,Gott::N,дела,dio
514,Arbeiter::N,белхало,operaio
515,Arbeiter::N,белхало,lavoratore
516,Chef::N,хьаькам,capo
517,Chef::N,хьаькам,padrone
518,Meister::N,говзанча,mastro
519,Meister::N,говзанча,maestro
520,Arzt::N,лор,mèdico
521,Arzt::N,лор,dottore
522,Lehrer::N,хьехархо,professore
523,Geld::N,aхча,soldi
524,Geld::N,aхча,denaro
525,Geschäft::N,туька,affare
526,Geschäft::N,туька,negozio
527,Laden::N,туька,negozio
528,Preis::N,мах,prezzo
529,Ware::N,хlума,merce
530,Nutzen::N,пайда,ùtile
531,Nutzen::N,пайда,profitto
532,Reichtum::N,хьал,ricchezza
533,Welt::N,дуьне,mondo
534,Land::N,мохк,paese
535,Staat::N,пачхьалкх,Stato
536,König::N,паччахь,re
537,Macht::N,ӏедал,potere
538,Grenze::N,доза,confine
539,Grenze::N,доза,frontiera
540,Krieg::N,тӏом,guerra
541,Feind::N,мостагӏ,nemico
542,Gewalt::N,гӏело,violenza
543,Kampf::N,къийсам,lotta
544,Pfeil::N,пха,freccia
545,Gewehr::N,топ,fucile
546,Fehler::N,гӏалат,errore
547,Fehler::N,гӏалат,sbaglio
548,Lüge::N,аьшпаш,bugìa
549,Lüge::N,аьшпаш,menzogna
550,Schaden::N,зен,danno
551,Unglück::N,бала,sfortuna
552,Schuld::N,бехк,colpa
553,Alter::N,хан,età
554,Schluss::N,чакхе,fine
555,Zeit::N,хан,tempo
556,Tag::N,де,giorno
557,Tag::N,де,giornata
558,Morgen::N,ӏуьйре,mattina
559,Mittag::N,делкъе,mezzogiorno
560,Abend::N,суьйре,sera
561,Abend::N,суьйре,serata
562,Nacht::N,буьйса,notte
563,Woche::N,кӏира,settimana
564,Monat::N,бутт,mese
565,Jahr::N,шо,anno
566,Frühling::N,бӏаьсте,primavera
567,Sommer::N,аьхке,estate
568,Herbst::N,гуьйре,autunno
569,Winter::N,ӏа,inverno
570,Januar::N,январь,gennaio
571,Februar::N,февраль,febbraio
572,März::N,март,marzo
573,April::N,апрель,aprile
574,Mai::N,май,maggio
575,Juni::N,июнь,giugno
576,Juli::N,июль,luglio
577,August::N,август,agosto
578,September::N,сентябрь,settembre
579,Oktober::N,октябрь,ottobre
580,November::N,ноябрь,novembre
581,Dezember::N,декабрь,dicembre
582,Montag::N,оршот,lunedì
583,Dienstag::N,шинара,martedì
584,Mittwoch::N,кхаара,mercoledì
585,Donnerstag::N,еара,giovedì
586,Freitag::N,пӏераска,venerdì
587,Samstag::N,шот,sàbato
588,Sonntag::N,кӏиранде,domenica
589,groß::A,доккха,grande
590,klein::A,кегий,pìccolo
591,lang::A,еха,lungo
592,kurz::A,доца,corto
593,breit::A,шуьйра,largo
594,schmal::A,готта,stretto
595,dicht::A,луьста,denso
596,dick[Gegenstand]::A,стомма,spesso
597,dünn::A,дуткъа,sottile
598,fein::A,ховха,fine
599,fein::A,ховха,delicato
600,fest::A,чӏогӏа,sodo
601,fest::A,чӏогӏа,fisso
602,flach::A,чӏапа,piano
603,flach::A,чӏапа,piatto
604,glatt::A,шера,liscio
605,hart::A,чӏогӏa,duro
606,weich::A,кӏеда,molle
607,rund::A,горга,rotondo
608,spitz::A,ира,aguzzo
609,spitz::A,ира,appuntito
610,scharf::A,ира,affilato
611,scharf::A,ира,tagliente
612,stumpf::A,аьртa,smussato
613,schwer::A,деза,pesante
614,schön::A,хаза,bello
615,heiß::A,довха,caldo
616,heiß::A,довха,bollente
617,warm::A,довха,caldo
618,kalt::A,шийла,freddo
619,kühl::A,шийла,fresco
620,frisch::A,керла,fresco
621,feucht::A,тӏуьна,ùmido
622,nass::A,тӏеда,bagnato
623,trocken::A,eкъа,secco
624,voll::A,дуьзна,pieno
625,leer::A,яьсса,vuoto
626,offen::A,диллина,aperto
627,geschlossen::A,дӏакъевлина,chiuso
628,geschlossen::A,дӏачӏагӏдина,chiuso
629,sauber::A,цӏена,netto
630,sauber::A,цӏена,pulito
631,schmutzig::A,боьха,sporco
632,schmutzig::A,боьха,sùdicio
633,roh::A,буьйда,crudo
634,reif::A,хилла,maturo
635,lecker::A,чоме,ghiotto
636,lecker::A,чоме,squisito
637,süß::A,мерза,dolce
638,bitter::A,къаьхьа,amaro
639,sauer::A,муьста,aspro
640,sauer::A,муьста,acerbo
641,hell::A,сирла,chiaro
642,dunkel::A,бодане,buio
643,dunkel::A,бодане,oscuro
644,schwarz::A,ӏаьржа,nero
645,weiß::A,кӏайн,bianco
646,rot::A,цӏен,rosso
647,gelb::A,можа,giallo
648,blau::A,сийна,blu
649,blau::A,сийна,azzurro
650,grün::A,баьццара,verde
651,grau::A,cира,grigio
652,grau::A,мокха,grigio
653,bunt::A,къорза,variopinto
654,billig::A,дораха,a buon prezzo
655,billig::A,дораха,a buon mercato
656,teuer::A,деза,caro
657,wertvoll::A,мехала,prezioso
658,blind::A,бӏаьрзе,cieco
659,taub::A,къора,sordo
660,kräftig::A,нуьцкъала,forte
661,kräftig::A,нуьцкъала,robusto
662,stark::A,зоьртала,forte
663,stark::A,зоьртала,vigoroso
664,stark::A,нуьцкъала,forte
665,stark::A,нуьцкъала,vigoroso
666,schwach::A,гӏорасиза,dèbole
667,fett::A,дерстана,grasso
668,schlank::A,куц долу,snello
669,schlank::A,куц долу,slanciato
670,hübsch::A,хаза,bello
671,hübsch::A,хаза,carino
672,böse::A,вон,cattivo
673,dumm::A,сонта,stùpido
674,faul::A,мало ен,pigro
675,fleißig::A,тӏера,diligente
676,geizig::A,пис,avaro
677,geizig::A,сутара,avaro
678,klug::A,хьекъале,intelligente
679,geschickt::A,тӏахъаьлла,àbile
680,lieb::A,хьоме,caro
681,lustig::A,самукъане,gaio
682,lustig::A,самукъане,allegro
683,sanft::A,кlеда,dolce
684,hungrig::A,меца,affamato
685,krank::A,цомгуш долу,malato
686,krank::A,цомгуш долу,infermo
687,nackt::A,дерзана,nudo
688,traurig::A,самукъане воцу,triste
689,lebendig::A,дийна,vivo
690,gut::A,дика,buono
691,schlecht::A,вон,cattivo
692,richtig::A,нийса,giusto
693,schlimm::A,вон,grave
694,wahr::A,бакъдолу,vero
695,alt::A,къена,vecchio
696,neu::A,керла,nuovo
697,ehemalig::A,хилла,vecchio
698,ehemalig::A,хилла,d'una_volta
699,alt[Lebewesen]::A,къена,anziano
700,jung::A,къона,giovane
701,arm::A,къен,pòvero
702,reich::A,хьоле,ricco
703,bekannt::A,девзаш долу,noto
704,bekannt::A,девзаш долу,conosciuto
705,berühmt::A,цӏеяхана,famoso
706,berühmt::A,цӏеяхана,cèlebre
707,fremd::A,нехан,estràneo
708,fremd::A,нехан,straniero
709,verschieden::A,тайп-тайпанара,diverso
710,verschieden::A,тайп-тайпанара,differente
711,nah::A,гергара,vicino
712,nah::A,гергара,propinquo
713,fern::A,гена,lontano
714,fern::A,генара,lontano
715,linker::A,аьрру,sinistro
716,rechter::A,аьтту,destro
717,anderer::A,кхин,altro
718,erster::A,хьалхара,primo
719,zweiter::A,шолгIа,secondo
720,dritter::A,кхоалгӏа,terzo
721,letzter::A,тӏаьххьара,ùltimo
722,allein::ADV,цхьаъ,solo
723,allein::ADV,цхьаъ,da solo
724,auf einmal::ADV,цу сохьтта,insieme
725,zusammen::ADV,цхьана,insieme
726,lange::ADV,дукха,a lungo
727,plötzlich::ADV,цIеххьана,all'improvviso
728,sofort::ADV,цу сохьтта,sùbito
729,sofort::ADV,цу сохьтта,all'istante
730,später::ADV,тӏаьхьо,più tardi
731,jetzt::ADV,хӏинца,ora
732,jetzt::ADV,хӏинца,adesso
733,heute::ADV,тахана,oggi
734,morgen::ADV,кхана,domani
735,bald::ADV,кеста,presto
736,bald::ADV,кеста,tra poco
737,dann::ADV,тӏаккха,allora
738,gestern::ADV,селхана,ieri
739,einst::ADV,цкъа,prima
740,einst::ADV,цкъа,un tempo
741,damals::ADV,хӏетахьь,allora
742,danach::ADV,тӏаккха,poi
743,danach::ADV,тӏаккха,dopo
744,vorher::ADV,хьалхa,prima
745,zuerst::ADV,хьалха,prima
746,zuerst::ADV,хьалха,dapprima
747,einmal::ADV,цкъа,una volta
748,manchmal::ADV,цкъаццкъа,talvolta
749,manchmal::ADV,цкъаццкъа,qualche volta
750,oft::ADV,кест-кеста,spesso
751,immer::ADV,даим,sempre
752,niemals::ADV,цкъа а,non mai
753,hier::ADV,кхузахь,qua
754,hierhin::ADV,кхуза,qua
755,von hier::ADV,кхузара,ne
756,von hier::ADV,кхузара,da qui
757,dort::ADV,цигахь,lì
758,dorthin::ADV,цига,là
759,geradeaus::ADV,нийса дӏа,diritto
760,vorwärts::ADV,хьалха,avanti
761,rückwärts::ADV,юха,all'indietro
762,zurück::ADV,юха,di indietro
763,unten::ADV,лахахь,giù
764,unten::ADV,лахахь,sotto
765,hinab::ADV,охьа,giù
766,hinab::ADV,охьа,in giù
767,oben::ADV,лакхахь,su
768,oben::ADV,лакхахь,sopra
769,hinauf::ADV,хьала,in sù
770,hinauf::ADV,хьала,in alto
771,überall::ADV,массанхьа,dappertutto
772,nicht::ADV,ца,non
773,ein wenig::ADV,кӏеззиг,un po'
774,ein wenig::ADV,кӏеззиг,un poco
775,kaum::ADV,халла,a appena
776,sehr::ADV,вуно,molto
777,noch::ADV,кхин,ancora
778,nur::ADV,бен ...ца,solo
779,nur::ADV,бен ...ца,soltanto
780,schon::ADV,хӏинцале,già
781,wieder::ADV,юха а,di nuovo
782,vergebens::ADV,эрна,invano
783,vor::PRP,хьалха,davanti a
784,hinter::PRP,тӏехьа,dietro
785,unter::PRP,кIелахь,sotto
786,durch::PRP,чекх,per
787,durch::PRP,чекх,attraverso
788,neben::PRP,юххе,a accanto a
789,zwischen::PRP,юккъехь,fra
790,wegen::PRP,дуьхьа,a causa di
791,dies::PRN,и,ciò
792,dies::PRN,и,questo
793,dies::PRN,иза,ciò
794,dies::PRN,иза,questo
795,das::PRN,и,ciò
796,das::PRN,и,quello
797,das::PRN,иза,ciò
