,Concept_ID,eu,fr
321,Erzählung::N,kontakizun,conte
322,Erzählung::N,kontakizun,narration
323,Nachricht::N,albiste,message
324,Neuigkeit::N,berri,nouvelle
325,Name::N,izen,nom
326,Rätsel::N,asmakizun,énigme
327,Rätsel::N,asmakizun,devinette
328,Rede::N,hitzaldi,parole
329,Rede::N,hitzaldi,discours
330,Rede::N,mintzaldi,parole
331,Rede::N,mintzaldi,discours
332,Sprache::N,hizkuntza,langue
333,Sprache::N,hizkuntza,langage
334,Stimme::N,ahots,voix
335,Wort::N,hitz,mot
336,Zeichen::N,agerbide,signe
337,Zeichen::N,agergarri,signe
338,Ruf::N,dei,cri
339,Ruf::N,dei,appel
340,Lärm::N,zarata,bruit
341,Lärm::N,harrabots,bruit
342,Laut::N,hots,son
343,Ton::N,tonu,ton
344,Ton::N,soinu,ton
345,Lied::N,abesti,chant
346,Lied::N,abesti,chanson
347,Ruhe::N,nasaitasun,calme
348,Ruhe::N,nasaitasun,tranquillité
349,Leute::N,jende,gens
350,Volk::N,herri,peuple
351,Volk::N,populu,peuple
352,Arbeit::N,lan,travail
353,Gast::N,arrotz,hôte
354,Gast::N,arrotz,invité
355,Gast::N,apopilo,hôte
356,Gast::N,apopilo,invité
357,Geschenk::N,opari,cadeau
358,Geschenk::N,opari,présent
359,Spiel::N,jolas,jeu
360,Gesellschaft::N,gizarte,compagnie
361,Hilfe::N,helpide,aide
362,Hilfe::N,helpide,secours
363,Hilfe::N,laguntza,aide
364,Hilfe::N,laguntza,secours
365,Freund::N,lagun,ami
366,Kamerad::N,adiskide,copain
367,Kamerad::N,adiskide,camarade
368,Kamerad::N,lagunkide,copain
369,Kamerad::N,lagunkide,camarade
370,Angelegenheit::N,afera,affaire
371,Anzahl::N,kopuru,nombre
372,Art::N,mota,sorte
373,Art::N,mota,espèce
374,Stück::N,puska,morceau
375,Teil::N,atal,part
376,Teil::N,atal,partie
377,Hälfte::N,erdi,moitié
378,Kreis::N,biribilki,cercle
379,Kreuz::N,gurutze,croix
380,Linie::N,linea,ligne
381,Strich::N,marra,trait
382,Abstand::N,tarte,écart
383,Entfernung::N,urrunera,distance
384,Gegend::N,alderdi,région
385,Gegend::N,alderdi,contrée
386,Gegend::N,eskualde,région
387,Gegend::N,eskualde,contrée
388,Platz::N,leku,place
389,Ort::N,toki,lieu
390,Ort::N,toki,endroit
391,Seite::N,albo,côté
392,Mitte::N,erdi,milieu
393,Gegenstand::N,gauzaki,objet
394,Sache::N,gauza,chose
395,Rand::N,ertz,bord
396,Kante::N,ertz,arête
397,Ecke::N,kantoi,coin
398,Ecke::N,kantoi,tournant
399,Spitze::N,punta,cime
400,Spitze::N,punta,pointe
401,Ende::N,buru,bout
402,Ende::N,mutur,bout
403,Loch::N,zulo,trou
404,Winkel::N,zoko,coin
405,Winkel::N,zoko,réduit
406,Winkel::N,bazter,coin
407,Winkel::N,bazter,réduit
408,Muster::N,eredu,dessin
409,Muster::N,marrazki,dessin
410,Größe::N,kaizu,grandeur
411,Größe::N,tamaina,grandeur
412,Länge::N,luzera,longueur
413,Höhe::N,goiera,hauteur
414,Höhe::N,goiera,altitude
415,Höhe::N,garaiera,hauteur
416,Höhe::N,garaiera,altitude
417,Gewicht::N,hazta,poids
418,Menge::N,kopuru,quantité
419,Haufen::N,pila,tas
420,Haufen::N,mendoi,tas
421,Reihe::N,ilara,file
422,Reihe::N,ilara,rangée
423,Reihe::N,errenkada,file
424,Reihe::N,errenkada,rangée
425,Boot::N,potin,canot
426,Boot::N,potin,bateau
427,Boot::N,txalupa,canot
428,Boot::N,txalupa,bateau
429,Ruder::N,arraun,rame
430,Ruder::N,arraun,aviron
431,Schlitten::N,lera,traîneau
432,Schlitten::N,narra,traîneau
433,Ski::N,eski,ski
434,Lagerfeuer::N,su,feu de camp
435,Last::N,zama,charge
436,Last::N,zama,fardeau
437,Last::N,karga,charge
438,Last::N,karga,fardeau
439,Gang::N,ibilera,tour
440,Gang::N,ibilera,marche
441,Schritt::N,pauso,pas
442,Schritt::N,urrats,pas
443,Norden::N,ipar,nord
444,Norden::N,iparralde,nord
445,Süden::N,hego,sud
446,Süden::N,hegoalde,sud
447,Westen::N,sartalde,ouest
448,Westen::N,sartalde,occident
449,Westen::N,mendebalde,ouest
450,Westen::N,mendebalde,occident
451,Osten::N,ekialde,est
452,Osten::N,ekialde,orient
453,Osten::N,sortalde,est
454,Osten::N,sortalde,orient
455,Holz::N,zur,bois
456,Brett::N,ohol,planche
457,Platte::N,lauza,plaque
458,Stütze::N,irozgarri,appui
459,Stütze::N,irozgarri,soutien
460,Stütze::N,bermagailu,appui
461,Stütze::N,bermagailu,soutien
462,Stange::N,haga,barre
463,Stange::N,haga,perche
464,Stock::N,makila,canne
465,Stab::N,makila,bâton
466,Rohr::N,hodi,tube
467,Rohr::N,hodi,tuyau
468,Haus::N,etxe,maison
469,Heim::N,etxe,maison
470,Heim::N,etxaleku,maison
471,Ofen::N,berogailu,poêle
472,Fußboden::N,zoru,plancher
473,Tisch::N,mahai,table
474,Stuhl::N,aulki,chaise
475,Wiege::N,kuma,berceau
476,Wiege::N,sehaska,berceau
477,Bett::N,ohe,lit
478,Bett::N,ohatze,lit
479,Regal::N,apalategi,étagère
480,Kiste::N,kutxa,caisse
481,Fenster::N,leiho,fenêtre
482,Tür::N,ate,porte
483,Tor::N,atari,porte
484,Tor::N,atari,portail
485,Zaun::N,hesi,clôture
486,Dach::N,teilatu,toit
487,Leiter::N,zurubi,échelle
488,Besen::N,erratz,balai
489,Spaten::N,burdinpala,bêche
490,Schaufel::N,pala,pelle
491,Gabel::N,sardexka,fourchette
492,Löffel::N,koilara,cuiller
493,Messer::N,aizto,couteau
494,Nagel::N,iltze,clou
495,Netz::N,sare,filet
496,Haken::N,mako,croc
497,Haken::N,mako,crochet
498,Griff::N,eskutoki,prise
499,Griff::N,eskutoki,manche
500,Schloss::N,sarraila,serrure
501,Bild::N,irudi,image
502,Bild::N,irudi,tableau
503,Figur::N,figura,figure
504,Puppe::N,panpina,poupée
505,Puppe::N,andrakila,poupée
506,Beutel::N,zorro,sac
507,Beutel::N,zorro,petit sac
508,Bündel::N,azao,paquet
509,Bündel::N,azao,faisceau
510,Bündel::N,espal,paquet
511,Bündel::N,espal,faisceau
512,Tasche::N,poltsa,sac
513,Eimer::N,treska,seau
514,Deckel::N,tapa,couvercle
515,Deckel::N,estalki,couvercle
516,Geschirr::N,baxera,vaisselle
517,Geschirr::N,ontziteria,vaisselle
518,Sack::N,zaku,sac
519,Tasse::N,kikara,tasse
520,Topf::N,ontzi,pot
521,Topf::N,ontzi,marmite
522,Topf::N,lapiko,pot
523,Topf::N,lapiko,marmite
524,Kessel::N,pazia,chaudron
525,Essen::N,janaldi,repas
526,Essen::N,janaldi,manger
527,Nahrung::N,jan,nourriture
528,Speise::N,jaki,plat
529,Fleisch::N,okela,viande
530,Fleisch::N,haragi,viande
531,Getreide::N,labore,blé
532,Getreide::N,labore,céréales
533,Brei::N,ahi,purée
534,Brei::N,ahi,bouillie
535,Brei::N,pure,purée
536,Brei::N,pure,bouillie
537,Brot::N,ogi,pain
538,Scheibe::N,xerra,tranche
539,Scheibe::N,pirripita,tranche
540,Fett::N,urin,graisse
541,Fett::N,koipe,graisse
542,Butter::N,gurin,beurre
543,Öl::N,olio,huile
544,Salz::N,gatz,sel
545,Suppe::N,zopa,soupe
546,Suppe::N,zopa,potage
547,Suppe::N,salda,soupe
548,Suppe::N,salda,potage
549,Honig::N,ezti,miel
550,Milch::N,esne,lait
551,Tee::N,te,thé
552,Leder::N,larru,cuir
553,Wolle::N,artile,laine
554,Stoff::N,ehun,tissu
555,Stoff::N,ehun,étoffe
556,Nadel::N,orratz,aiguille
557,Nadel::N,jostorratz,aiguille
558,Faden::N,hari,fil
559,Knopf::N,botoi,bouton
560,Knoten::N,korapilo,nœud
561,Farbe::N,pintura,peinture
562,Kleidung::N,arropa,vêtements
563,Kleidung::N,arropa,habillement
564,Kleidung::N,jantziak,vêtements
565,Kleidung::N,jantziak,habillement
566,Hemd::N,atorra,chemise
567,Hemd::N,alkandora,chemise
568,Kragen::N,idun,col
569,Ärmel::N,mahuka,manche
570,Hose::N,prakak,pantalon
571,Hose::N,galtzak,pantalon
572,Gürtel::N,gerriko,ceinture
573,Mütze::N,txano,bonnet
574,Mütze::N,txano,casquette
575,Mütze::N,txapel,bonnet
576,Mütze::N,txapel,casquette
577,Schuh::N,oski,soulier
578,Schuh::N,oski,chaussure
579,Schuh::N,oinetako,soulier
580,Schuh::N,oinetako,chaussure
581,Stiefel::N,bota,botte
582,Ring::N,uztai,bague
583,Band::N,zinta,ruban
584,Band::N,xingola,ruban
585,Kamm::N,orrazi,peigne
586,Spiegel::N,mirail,glace
587,Spiegel::N,mirail,miroir
588,Riemen::N,uhal,lanière
589,Riemen::N,uhal,courroie
590,Schnur::N,lokailu,corde
591,Schnur::N,lokailu,ficelle
592,Leine::N,lotura,laisse
593,Decke::N,burusi,couverture
594,Kissen::N,kuxin,oreiller
595,Tuch::N,zapi,drap
596,Tuch::N,zapi,fichu
597,Tuch::N,oihal,drap
598,Tuch::N,oihal,fichu
599,Handtuch::N,eskuzapi,serviette
600,Handtuch::N,eskuzapi,essuie-mains
601,Handtuch::N,eskuoihal,serviette
602,Handtuch::N,eskuoihal,essuie-mains
603,Kraft::N,indar,force
604,Stärke::N,indar,vigueur
605,Gesundheit::N,osasun,santé
606,Krankheit::N,eritasun,maladie
607,Krankheit::N,gaixotasun,maladie
608,Schmerz::N,min,douleur
609,Wunde::N,zauri,plaie
610,Wunde::N,zauri,blessure
611,Fieber::N,sukar,fièvre
612,Arznei::N,osagai,remède
613,Arznei::N,osagai,médecine
614,Arznei::N,sendagai,remède
615,Arznei::N,sendagai,médecine
616,Brücke::N,zubi,pont
617,Brunnen::N,putzu,puits
618,Weide::N,alha,pâturage
619,Weide::N,bazkaleku,pâturage
620,Pfad::N,zidor,sentier
621,Pfad::N,bidexka,sentier
622,Weg::N,bide,voie
623,Weg::N,bide,chemin
624,Straße::N,errepide,route
625,Dorf::N,herri,village
626,Stadt::N,hiri,cité
627,Stadt::N,hiri,ville
628,Brief::N,gutun,lettre
629,Brief::N,eskutitz,lettre
630,Buch::N,liburu,livre
631,Buchstabe::N,hizki,lettre
632,Buchstabe::N,hizki,caractère
633,Zeitung::N,egunkari,journal
634,Leben::N,bizi,vie
635,Leben::N,bizitza,vie
636,Tod::N,herio,mort
637,Tod::N,heriotza,mort
638,Grab::N,hobi,tombe
639,Grab::N,hilobi,tombe
640,Kirche::N,eliza,église
641,Sünde::N,hoben,péché
642,Sünde::N,bekatu,péché
643,Gott::N,jainko,dieu
644,Arbeiter::N,langile,ouvrier
645,Arbeiter::N,langile,travailleur
646,Arbeiter::N,behargin,ouvrier
647,Arbeiter::N,behargin,travailleur
648,Chef::N,nagusi,chef
649,Chef::N,nagusi,patron
650,Meister::N,maisu,maître
651,Arzt::N,osagile,médecin
652,Arzt::N,sendagile,médecin
653,Lehrer::N,irakasle,professeur
654,Lehrer::N,irakasle,instituteur
655,Geld::N,diru,argent
656,Geschäft::N,negozio,affaire
657,Geschäft::N,negozio,commerce
658,Laden::N,denda,magasin
659,Laden::N,denda,boutique
660,Laden::N,saltegi,magasin
661,Laden::N,saltegi,boutique
662,Preis::N,prezio,prix
663,Preis::N,salneurri,prix
664,Ware::N,salgai,marchandise
665,Nutzen::N,onura,profit
666,Nutzen::N,probetxu,profit
667,Reichtum::N,aberastasun,richesse
668,Welt::N,ludi,monde
669,Welt::N,mundu,monde
670,Land::N,herrialde,pays
671,Staat::N,estatu,État
672,König::N,errege,roi
673,Macht::N,botere,pouvoir
674,Macht::N,botere,puissance
675,Grenze::N,muga,frontière
676,Krieg::N,guda,guerre
677,Feind::N,etsai,ennemi
678,Feind::N,arerio,ennemi
679,Gewalt::N,bortxa,violence
680,Gewalt::N,bortizkeria,violence
681,Kampf::N,gudu,lutte
682,Kampf::N,gudu,combat
683,Kampf::N,auska,lutte
684,Kampf::N,auska,combat
685,Bogen[Waffe]::N,arku,arc
686,Pfeil::N,gezi,flèche
687,Gewehr::N,fusil,fusil
688,Fehler::N,huts,faute
689,Fehler::N,huts,erreur
690,Fehler::N,hutsegin,faute
691,Fehler::N,hutsegin,erreur
692,Lüge::N,gezur,mensonge
693,Schaden::N,kalte,dégât
694,Schaden::N,kalte,dommage
695,Unglück::N,zoritxar,malheur
696,Unglück::N,zorigaitz,malheur
697,Schuld::N,erru,faute
