,Concept_ID,et,et
319,Spiel::N,mäng,mäng
320,Gesellschaft::N,selts,selts
321,Hilfe::N,abi,abi
322,Freund::N,sõber,sõber
323,Kamerad::N,sõber,sõber
324,Angelegenheit::N,asi,asi
325,Anzahl::N,arv,arv
326,Anzahl::N,arv,hulk
327,Anzahl::N,hulk,arv
328,Anzahl::N,hulk,hulk
329,Art::N,liik,liik
330,Stück::N,tükk,tükk
331,Teil::N,osa,osa
332,Hälfte::N,pool,pool
333,Kreis::N,ring,ring
334,Kreuz::N,rist,rist
335,Linie::N,joon,joon
336,Strich::N,joon,joon
337,Abstand::N,vahe,vahe
338,Entfernung::N,kaugus,kaugus
339,Entfernung::N,kaugus,vahemaa
340,Entfernung::N,vahemaa,kaugus
341,Entfernung::N,vahemaa,vahemaa
342,Gegend::N,ümbrus,ümbrus
343,Platz::N,ruum,ruum
344,Ort::N,paik,paik
345,Seite::N,pool,pool
346,Mitte::N,keskpaik,keskpaik
347,Gegenstand::N,ese,ese
348,Sache::N,ese,ese
349,Rand::N,äär,äär
350,Rand::N,äär,serv
351,Rand::N,serv,äär
352,Rand::N,serv,serv
353,Kante::N,kant,kant
354,Ecke::N,nurk,nurk
355,Spitze::N,teravik,teravik
356,Ende::N,ots,ots
357,Ende::N,ots,jupp
358,Ende::N,jupp,ots
359,Ende::N,jupp,jupp
360,Loch::N,auk,auk
361,Winkel::N,nurk,nurk
362,Muster::N,muster,muster
363,Größe::N,suurus,suurus
364,Länge::N,pikkus,pikkus
365,Höhe::N,kõrgus,kõrgus
366,Gewicht::N,kaal,kaal
367,Gewicht::N,kaal,raskus
368,Gewicht::N,raskus,kaal
369,Gewicht::N,raskus,raskus
370,Menge::N,arv,arv
371,Menge::N,arv,hulk
372,Menge::N,hulk,arv
373,Menge::N,hulk,hulk
374,Haufen::N,hunnik,hunnik
375,Reihe::N,rivi,rivi
376,Boot::N,paat,paat
377,Ruder::N,aer,aer
378,Schlitten::N,saan,saan
379,Ski::N,suusk,suusk
380,Lagerfeuer::N,lõke,lõke
381,Last::N,koorem,koorem
382,Gang::N,käik,käik
383,Schritt::N,samm,samm
384,Norden::N,põhi,põhi
385,Süden::N,lõuna,lõuna
386,Westen::N,lääs,lääs
387,Osten::N,ida,ida
388,Holz::N,puu,puu
389,Brett::N,saelaud,saelaud
390,Platte::N,plaat,plaat
391,Stütze::N,tugi,tugi
392,Stange::N,latt,latt
393,Stange::N,latt,teivas
394,Stange::N,teivas,latt
395,Stange::N,teivas,teivas
396,Stock::N,kepp,kepp
397,Stab::N,varras,varras
398,Rohr::N,toru,toru
399,Haus::N,maja,maja
400,Heim::N,kodu,kodu
401,Ofen::N,ahi,ahi
402,Fußboden::N,põrand,põrand
403,Tisch::N,laud,laud
404,Stuhl::N,tool,tool
405,Wiege::N,häll,häll
406,Wiege::N,häll,kätki
407,Wiege::N,kätki,häll
408,Wiege::N,kätki,kätki
409,Bett::N,voodi,voodi
410,Regal::N,riiul,riiul
411,Kiste::N,kast,kast
412,Fenster::N,aken,aken
413,Tür::N,uks,uks
414,Tor::N,värav,värav
415,Zaun::N,aed,aed
416,Zaun::N,aed,tara
417,Zaun::N,tara,aed
418,Zaun::N,tara,tara
419,Dach::N,katus,katus
420,Leiter::N,redel,redel
421,Besen::N,luud,luud
422,Spaten::N,labidas,labidas
423,Schaufel::N,kühvel,kühvel
424,Gabel::N,kahvel,kahvel
425,Löffel::N,lusikas,lusikas
426,Messer::N,nuga,nuga
427,Nagel::N,nael,nael
428,Netz::N,võrk,võrk
429,Haken::N,haak,haak
430,Haken::N,haak,konks
431,Haken::N,konks,haak
432,Haken::N,konks,konks
433,Griff::N,sang,sang
434,Griff::N,sang,käepide
435,Griff::N,käepide,sang
436,Griff::N,käepide,käepide
437,Schloss::N,lukk,lukk
438,Bild::N,pilt,pilt
439,Figur::N,kuju,kuju
440,Figur::N,kuju,kujund
441,Figur::N,kujund,kuju
442,Figur::N,kujund,kujund
443,Puppe::N,nukk,nukk
444,Beutel::N,paun,paun
445,Bündel::N,kimp,kimp
446,Tasche::N,kott,kott
447,Eimer::N,pang,pang
448,Eimer::N,pang,ämber
449,Eimer::N,ämber,pang
450,Eimer::N,ämber,ämber
451,Deckel::N,kaas,kaas
452,Geschirr::N,nõud,nõud
453,Sack::N,kott,kott
454,Tasse::N,tass,tass
455,Topf::N,pada,pada
456,Kessel::N,pada,pada
457,Essen::N,söök,söök
458,Nahrung::N,toit,toit
459,Speise::N,roog,roog
460,Fleisch::N,liha,liha
461,Getreide::N,teravili,teravili
462,Brei::N,puder,puder
463,Brot::N,sai,sai
464,Brot::N,sai,leib
465,Brot::N,leib,sai
466,Brot::N,leib,leib
467,Scheibe::N,viil,viil
468,Scheibe::N,viil,viilukas
469,Scheibe::N,viilukas,viil
470,Scheibe::N,viilukas,viilukas
471,Fett::N,rasv,rasv
472,Butter::N,või,või
473,Öl::N,õli,õli
474,Salz::N,sool,sool
475,Suppe::N,supp,supp
476,Honig::N,mesi,mesi
477,Milch::N,piim,piim
478,Tee::N,tee,tee
479,Leder::N,nahk,nahk
480,Wolle::N,vill,vill
481,Stoff::N,kangas,kangas
482,Nadel::N,nõel,nõel
483,Faden::N,niit,niit
484,Knopf::N,nööp,nööp
485,Knoten::N,sõlm,sõlm
486,Farbe::N,värv,värv
487,Kleidung::N,riided,riided
488,Kleidung::N,riided,riietus
489,Kleidung::N,riietus,riided
490,Kleidung::N,riietus,riietus
491,Hemd::N,särk,särk
492,Kragen::N,krae,krae
493,Ärmel::N,varrukas,varrukas
494,Hose::N,püksid,püksid
495,Gürtel::N,vöö,vöö
496,Mütze::N,müts,müts
497,Schuh::N,king,king
498,Stiefel::N,saabas,saabas
499,Ring::N,sõrmus,sõrmus
500,Band::N,lint,lint
501,Kamm::N,kamm,kamm
502,Spiegel::N,peegel,peegel
503,Riemen::N,rihm,rihm
504,Schnur::N,nöör,nöör
505,Leine::N,jalutusrihm,jalutusrihm
506,Decke::N,tekk,tekk
507,Kissen::N,padi,padi
508,Tuch::N,kalev,kalev
509,Handtuch::N,käterätik,käterätik
510,Kraft::N,jõud,jõud
511,Stärke::N,tugevus,tugevus
512,Gesundheit::N,tervis,tervis
513,Krankheit::N,haigus,haigus
514,Schmerz::N,valu,valu
515,Wunde::N,haav,haav
516,Fieber::N,palavik,palavik
517,Arznei::N,ravim,ravim
518,Brücke::N,sild,sild
519,Brunnen::N,kaev,kaev
520,Weide::N,karjamaa,karjamaa
521,Pfad::N,rada,rada
522,Weg::N,tee,tee
523,Straße::N,tee,tee
524,Dorf::N,küla,küla
525,Stadt::N,linn,linn
526,Brief::N,kiri,kiri
527,Buch::N,raamat,raamat
528,Buchstabe::N,täht,täht
529,Zeitung::N,ajaleht,ajaleht
530,Leben::N,elu,elu
531,Tod::N,surm,surm
532,Grab::N,haud,haud
533,Kirche::N,kirik,kirik
534,Sünde::N,patt,patt
535,Gott::N,jumal,jumal
536,Arbeiter::N,tööline,tööline
537,Chef::N,ülemus,ülemus
538,Chef::N,ülemus,juhataja
539,Chef::N,juhataja,ülemus
540,Chef::N,juhataja,juhataja
541,Meister::N,meister,meister
542,Arzt::N,arst,arst
543,Lehrer::N,õpetaja,õpetaja
544,Geld::N,raha,raha
545,Geschäft::N,äri,äri
546,Laden::N,pood,pood
547,Laden::N,pood,kauplus
548,Laden::N,kauplus,pood
549,Laden::N,kauplus,kauplus
550,Preis::N,hind,hind
551,Ware::N,kaup,kaup
552,Nutzen::N,tulu,tulu
553,Nutzen::N,tulu,kasulikkus
554,Nutzen::N,kasulikkus,tulu
555,Nutzen::N,kasulikkus,kasulikkus
556,Reichtum::N,rikkus,rikkus
557,Welt::N,maailm,maailm
558,Land::N,maa,maa
559,Staat::N,riik,riik
560,König::N,kuningas,kuningas
561,Macht::N,võim,võim
562,Grenze::N,piir,piir
563,Krieg::N,sõda,sõda
564,Feind::N,vaenlane,vaenlane
565,Gewalt::N,väevõim,väevõim
566,Kampf::N,võitlus,võitlus
567,Bogen[Waffe]::N,vibu,vibu
568,Pfeil::N,nool,nool
569,Gewehr::N,püss,püss
570,Fehler::N,viga,viga
571,Lüge::N,vale,vale
572,Schaden::N,kahju,kahju
573,Unglück::N,häda,häda
574,Unglück::N,häda,õnnetus
575,Unglück::N,õnnetus,häda
576,Unglück::N,õnnetus,õnnetus
577,Schuld::N,süü,süü
578,Alter::N,iga,iga
579,Schluss::N,lõpp,lõpp
580,Zeit::N,aeg,aeg
581,Tag::N,päev,päev
582,Morgen::N,hommik,hommik
583,Mittag::N,lõuna,lõuna
584,Mittag::N,lõuna,keskpäev
585,Mittag::N,keskpäev,lõuna
586,Mittag::N,keskpäev,keskpäev
587,Abend::N,õhtu,õhtu
588,Nacht::N,öö,öö
589,Woche::N,nädal,nädal
590,Monat::N,kuu,kuu
591,Jahr::N,aasta,aasta
592,Frühling::N,kevad,kevad
593,Sommer::N,suvi,suvi
594,Herbst::N,sügis,sügis
595,Winter::N,talv,talv
596,Januar::N,jaanuar,jaanuar
597,Februar::N,veebruar,veebruar
598,März::N,märts,märts
599,April::N,aprill,aprill
600,Mai::N,mai,mai
601,Juni::N,juuni,juuni
602,Juli::N,juuli,juuli
603,August::N,august,august
604,September::N,september,september
605,Oktober::N,oktoober,oktoober
606,November::N,november,november
607,Dezember::N,detsember,detsember
608,Montag::N,esmaspäev,esmaspäev
609,Dienstag::N,teisipäev,teisipäev
610,Mittwoch::N,kesknädal,kesknädal
611,Donnerstag::N,neljapäev,neljapäev
612,Freitag::N,reede,reede
613,Samstag::N,laupäev,laupäev
614,Sonntag::N,pühapäev,pühapäev
615,groß::A,suur,suur
616,klein::A,väike,väike
617,klein::A,väike,pisike
618,klein::A,pisike,väike
619,klein::A,pisike,pisike
620,lang::A,pikk,pikk
621,kurz::A,lühike,lühike
622,breit::A,lai,lai
623,schmal::A,kitsas,kitsas
624,dicht::A,tihe,tihe
625,dick[Gegenstand]::A,jäme,jäme
626,dünn::A,õhuke,õhuke
627,dünn::A,õhuke,peenike
628,dünn::A,peenike,õhuke
629,dünn::A,peenike,peenike
630,fein::A,peen,peen
631,fein::A,peen,õhuke
632,fein::A,õhuke,peen
633,fein::A,õhuke,õhuke
634,fest::A,püsiv,püsiv
635,fest::A,püsiv,kindel
636,fest::A,kindel,püsiv
637,fest::A,kindel,kindel
638,flach::A,lame,lame
639,flach::A,lame,tasane
640,flach::A,tasane,lame
641,flach::A,tasane,tasane
642,glatt::A,sile,sile
643,hart::A,kõva,kõva
644,weich::A,pehme,pehme
645,rund::A,ümar,ümar
646,spitz::A,torkav,torkav
647,scharf::A,terav,terav
648,stumpf::A,nüri,nüri
649,schwer::A,raske,raske
650,schön::A,kena,kena
651,heiß::A,kuum,kuum
652,heiß::A,kuum,palav
653,heiß::A,palav,kuum
654,heiß::A,palav,palav
655,warm::A,soe,soe
656,kalt::A,külm,külm
657,kühl::A,jahe,jahe
658,frisch::A,värske,värske
659,feucht::A,niiske,niiske
660,nass::A,märg,märg
661,trocken::A,kuiv,kuiv
662,voll::A,täis,täis
663,leer::A,tühi,tühi
664,offen::A,avatud,avatud
665,offen::A,avatud,lahtine
666,offen::A,lahtine,avatud
667,offen::A,lahtine,lahtine
668,geschlossen::A,suletud,suletud
669,sauber::A,puhas,puhas
670,schmutzig::A,räpane,räpane
671,schmutzig::A,räpane,määrdunud
672,schmutzig::A,määrdunud,räpane
673,schmutzig::A,määrdunud,määrdunud
674,roh::A,toores,toores
675,reif::A,küps,küps
676,lecker::A,hõrk,hõrk
677,lecker::A,hõrk,maitsev
678,lecker::A,maitsev,hõrk
679,lecker::A,maitsev,maitsev
680,süß::A,magus,magus
681,bitter::A,mõru,mõru
682,sauer::A,hapu,hapu
683,hell::A,hele,hele
684,dunkel::A,pime,pime
685,schwarz::A,must,must
686,weiß::A,valge,valge
687,rot::A,punane,punane
688,gelb::A,kollane,kollane
689,blau::A,sinine,sinine
690,grün::A,roheline,roheline
691,grau::A,hall,hall
692,bunt::A,kirju,kirju
693,bunt::A,kirju,värviline
694,bunt::A,värviline,kirju
695,bunt::A,värviline,värviline
696,billig::A,odav,odav
697,teuer::A,kallis,kallis
698,wertvoll::A,väärtuslik,väärtuslik
699,blind::A,pime,pime
700,taub::A,kurt,kurt
701,kräftig::A,jõuline,jõuline
702,stark::A,tugev,tugev
703,schwach::A,nõrk,nõrk
704,schwach::A,nõrk,jõuetu
705,schwach::A,jõuetu,nõrk
706,schwach::A,jõuetu,jõuetu
707,fett::A,rasvane,rasvane
708,schlank::A,sale,sale
709,hübsch::A,kena,kena
710,böse::A,tige,tige
711,dumm::A,juhm,juhm
712,dumm::A,juhm,rumal
713,dumm::A,rumal,juhm
714,dumm::A,rumal,rumal
715,faul::A,laisk,laisk
716,fleißig::A,virk,virk
717,fleißig::A,virk,hoolas
718,fleißig::A,hoolas,virk
719,fleißig::A,hoolas,hoolas
720,geizig::A,ihne,ihne
721,klug::A,tark,tark
722,klug::A,tark,arukas
723,klug::A,tark,mõistlik
724,klug::A,arukas,tark
725,klug::A,arukas,arukas
726,klug::A,arukas,mõistlik
727,klug::A,mõistlik,tark
728,klug::A,mõistlik,arukas
729,klug::A,mõistlik,mõistlik
730,geschickt::A,osav,osav
731,lieb::A,armas,armas
732,lustig::A,lõbus,lõbus
733,sanft::A,õrn,õrn
734,hungrig::A,näljane,näljane
735,krank::A,haige,haige
736,nackt::A,alasti,alasti
737,traurig::A,kurb,kurb
738,lebendig::A,elus,elus
739,gut::A,hea,hea
740,schlecht::A,halb,halb
741,richtig::A,õige,õige
742,schlimm::A,paha,paha
743,wahr::A,tõene,tõene
744,alt::A,vana,vana
745,neu::A,uus,uus
746,ehemalig::A,endine,endine
747,alt[Lebewesen]::A,vana,vana
748,jung::A,noor,noor
749,arm::A,vaene,vaene
750,reich::A,rikas,rikas
751,bekannt::A,teada,teada
752,bekannt::A,teada,tuttav
753,bekannt::A,tuttav,teada
754,bekannt::A,tuttav,tuttav
755,berühmt::A,tuntud,tuntud
756,fremd::A,võõras,võõras
757,verschieden::A,erinev,erinev
758,nah::A,lähedane,lähedane
759,fern::A,kauge,kauge
760,linker::A,vasak,vasak
761,rechter::A,parem,parem
762,anderer::A,muu,muu
763,anderer::A,muu,teine
764,anderer::A,teine,muu
765,anderer::A,teine,teine
766,erster::A,esimene,esimene
767,zweiter::A,teine,teine
768,dritter::A,kolmas,kolmas
769,letzter::A,viimane,viimane
770,allein::ADV,üksi,üksi
771,auf einmal::ADV,korraga,korraga
772,auf einmal::ADV,korraga,ühekorraga
773,auf einmal::ADV,ühekorraga,korraga
774,auf einmal::ADV,ühekorraga,ühekorraga
775,zusammen::ADV,koos,koos
776,zusammen::ADV,koos,üheskoos
777,zusammen::ADV,üheskoos,koos
778,zusammen::ADV,üheskoos,üheskoos
779,lange::ADV,kaua,kaua
780,plötzlich::ADV,äkki,äkki
781,plötzlich::ADV,äkki,järsku
782,plötzlich::ADV,järsku,äkki
783,plötzlich::ADV,järsku,järsku
784,sofort::ADV,kohe,kohe
785,später::ADV,hiljem,hiljem
786,jetzt::ADV,nüüd,nüüd
787,heute::ADV,täna,täna
788,morgen::ADV,homme,homme
789,bald::ADV,pea,pea
790,bald::ADV,pea,varsti
791,bald::ADV,varsti,pea
792,bald::ADV,varsti,varsti
793,dann::ADV,siis,siis
794,gestern::ADV,eile,eile
795,einst::ADV,vanasti,vanasti
796,damals::ADV,tookord,tookord
797,danach::ADV,seejärel,seejärel
798,vorher::ADV,enne,enne
799,zuerst::ADV,enne,enne
800,zuerst::ADV,enne,esmalt
801,zuerst::ADV,esmalt,enne
802,zuerst::ADV,esmalt,esmalt
803,einmal::ADV,kord,kord
804,einmal::ADV,kord,üks kord
805,einmal::ADV,üks kord,kord
806,einmal::ADV,üks kord,üks kord
807,manchmal::ADV,mõnikord,mõnikord
808,oft::ADV,tihti,tihti
809,oft::ADV,tihti,sageli
810,oft::ADV,sageli,tihti
811,oft::ADV,sageli,sageli
812,immer::ADV,ikka,ikka
813,immer::ADV,ikka,alati
814,immer::ADV,alati,ikka
815,immer::ADV,alati,alati
816,niemals::ADV,mitte kunagi,mitte kunagi
817,hier::ADV,siin,siin
818,hierhin::ADV,siia,siia
819,von hier::ADV,siit,siit
820,dort::ADV,seal,seal
821,dorthin::ADV,sinna,sinna
822,geradeaus::ADV,otse edasi,otse edasi
823,vorwärts::ADV,edasi,edasi
824,rückwärts::ADV,tagurpidi,tagurpidi
825,zurück::ADV,tagasi,tagasi
826,unten::ADV,all,all
827,unten::ADV,all,allpool
828,unten::ADV,allpool,all
829,unten::ADV,allpool,allpool
830,hinab::ADV,alla,alla
831,oben::ADV,ülal,ülal
832,hinauf::ADV,üles,üles
833,überall::ADV,kõikjal,kõikjal
834,nicht::ADV,ei,ei
835,nicht::ADV,ei,mitte
836,nicht::ADV,mitte,ei
837,nicht::ADV,mitte,mitte
838,ein wenig::ADV,veidi,veidi
839,ein wenig::ADV,veidi,natuke
840,ein wenig::ADV,natuke,veidi
841,ein wenig::ADV,natuke,natuke
842,kaum::ADV,vaevalt,vaevalt
