,Concept_ID,be,el
74,Sonne::N,сонца,ήλιος
75,Mond::N,месяц,σελήνη
76,Mond::N,месяц,φεγγάρι
77,Stern::N,зорка,άστρο
78,Stern::N,зорка,αστέρι
79,Luft::N,паветра,αέρας
80,Wind::N,вецер,αέρας
81,Wind::N,вецер,άνεμος
82,Welle::N,хваля,κύμα
83,Wasser::N,вада,νερό
84,Stein::N,камень,πέτρα
85,Boden::N,глеба,χώμα
86,Erde::N,зямля,γη
87,Staub::N,пыл,σκόνη
88,Rauch::N,дым,καπνός
89,Funke::N,іскра,σπίθα
90,Funke::N,іскра,σπινθήρας
91,Feuer::N,агонь,φωτιά
92,Licht::N,святло,φως
93,Schatten::N,цень,σκιά
94,Schatten::N,цень,ίσκιος
95,Wetter::N,пагода,καιρός
96,Wetter::N,надворʼе,καιρός
97,Nebel::N,туман,ομίχλη
98,Wolke::N,воблака,σύννεφο
99,Regen::N,дождж,βροχή
100,Schnee::N,снег,χιόνι
101,Eis::N,лёд,πάγος
102,Frost::N,мароз,παγωνία
103,Kälte::N,холад,κρύο
104,Kälte::N,холад,ψύχος
105,Hitze::N,спёка,ζέστη
106,Raureif::N,іней,πάχνη
107,Regenbogen::N,вясёлка,ουράνιο τόξο
108,Donner::N,гром,βροντή
109,Strömung::N,цячэнне,ρεύμα
110,Tropfen::N,кропля,στάλα
111,Schaum::N,пена,αφρός
112,Schmutz::N,гразь,βρωμιά
113,See::N,возера,λίμνη
114,Sumpf::N,багна,βάλτος
115,Moor::N,балота,έλος
116,Wiese::N,луг,λιβάδι
117,Wald::N,лес,δάσος
118,Hügel::N,узгорак,λόφος
119,Anhöhe::N,узвышша,ύψωμα
120,Berg::N,гара,όρος
121,Berg::N,гара,βουνό
122,Gipfel::N,вяршыня,κορυφή
123,Höhle::N,пячора,σπηλιά
124,Abhang::N,схіл,πλαγιά
125,Quelle::N,крыніца,πηγή
126,Quelle::N,крыніца,βρύση
127,Bach::N,ручай,ρυάκι
128,Fluss::N,рака,ποτάμι
129,Fluss::N,рака,ποταμός
130,Ufer::N,бераг,όχθη
131,Küste::N,узбярэжжа,ακτή
132,Küste::N,узбярэжжа,ακρογιαλιά
133,Festland::N,суша,στεριά
134,Meer::N,мора,θάλασσα
135,Bucht::N,бухта,κόλπος
136,Insel::N,востраў,νησί
137,Insel::N,востраў,νήσος
138,Blume::N,кветка,άνθος
139,Blume::N,кветка,λουλούδι
140,Gras::N,трава,χόρτο
141,Gras::N,трава,χορτάρι
142,Wurzel::N,корань,ρίζα
143,Baum::N,дрэва,δέντρο
144,Stamm::N,ствол,κορμός
145,Rinde::N,кара,φλούδα
146,Ast::N,сук,κλαδί
147,Zweig::N,галіна,κλαδί
148,Zweig::N,галіна,κλάδος
149,Blatt::N,ліст,φύλλο
150,Birke::N,бяроза,σημύδα
151,Kiefer[Baum]::N,хвоя,πεύκο
152,Kiefer[Baum]::N,сасна,πεύκο
153,Weide[Baum]::N,вярба,ιτιά
154,Tanne::N,яліна,έλατο
155,Horn::N,рог,κέρας
156,Horn::N,рог,κέρατο
157,Feder::N,пяро,φτερό
158,Fell::N,шкура,δέρμα
159,Fell::N,шкура,τομάρι
160,Flügel::N,крыло,πτερύγιο
161,Klaue::N,кіпцюр,κουλό
162,Kralle::N,лапа,νύχι
163,Schwanz::N,хвост,ουρά
164,Ei::N,яйка,αβγό
165,Nest::N,гняздо,φωλιά
166,Bau::N,нара,φωλιά
167,Tier::N,жывёла,ζώο
168,Herde::N,статак,κοπάδι
169,Kuh::N,карова,αγελάδα
170,Bulle::N,бык,ταύρος
171,Pferd::N,конь,άλογο
172,Schaf::N,авечка,πρόβατο
173,Schwein::N,свіння,γουρούνι
174,Hund::N,сабака,σκυλί
175,Hund::N,сабака,σκύλος
176,Katze::N,кошка,γάτα
177,Bär::N,мядзведзь,άρκτος
178,Bär::N,мядзведзь,αρκούδα
179,Eichhörnchen::N,вавёрка,βερβερίτσα
180,Elch::N,лось,άλκη
181,Fuchs::N,ліса,αλεπού
182,Hase::N,заяц,λαγός
183,Maus::N,мыш,ποντικός
184,Wolf::N,воўк,λύκος
185,Vogel::N,птах,πουλί
186,Vogel::N,птушка,πουλί
187,Schwarm::N,чарада,σμήνος
188,Huhn::N,курыца,κότα
189,Huhn::N,курыца,όρνιθα
190,Hahn::N,певень,πετεινός
191,Gans::N,гусь,χήνα
192,Adler::N,арол,αετός
193,Ente::N,качка,πάπια
194,Eule::N,сава,κουκουβάγια
195,Kranich::N,жораў,γερανός
196,Kranich::N,журавель,γερανός
197,Krähe::N,варона,καρακάξα
198,Kuckuck::N,зязюля,κούκος
199,Schwan::N,лебедзь,κύκνος
200,Fisch::N,рыба,ψάρι
201,Barsch::N,акунь,πέρκα
202,Hecht::N,шчупак,λούτσος
203,Schlange[Tier]::N,змяя,φίδι
204,Wurm::N,чарвяк,σκουλήκι
205,Spinne::N,павук,αράχνη
206,Ameise::N,мурашка,μυρμήγκι
207,Laus::N,вош,ψείρα
208,Mücke::N,камар,κουνούπι
209,Fliege::N,муха,μύγα
210,Schmetterling::N,матыль,πεταλούδα
211,Beere::N,ягада,ρόγα
212,Apfel::N,яблык,μήλο
213,Pilz::N,грыб,μανιτάρι
214,Zwiebel::N,цыбуля,κρεμμύδι
215,Saat::N,семя,σπόρος
216,Korn::N,зерне,σπυρί
217,Heu::N,сена,σανός
218,Schale::N,шалупінне,τσόφλι
219,Grube::N,яма,λάκκος
220,Falle::N,пастка,παγίδα
221,Schlinge::N,сіло,θηλειά
222,Spur::N,след,ίχνος
223,Asche::N,попел,στάχτη
224,Dreck::N,бруд,βρωμιά
225,Eisen::N,жалеза,σίδερο
226,Gold::N,золата,μάλαμα
227,Gold::N,золата,χρυσάφι
228,Silber::N,сребра,ασήμι
229,Silber::N,сребра,άργυρος
230,Kohle::N,вугаль,κάρβουνο
231,Glas::N,шкло,γυαλί
232,Lehm::N,гліна,πηλός
233,Sand::N,пясок,άμμος
234,Mensch::N,чалавек,άνθρωπος
235,Mann::N,мужчына,άνδρας
236,Frau::N,жанчына,γυναίκα
237,Kind::N,дзіця,παιδί
238,Junge::N,хлопчык,αγόρι
239,Mädchen::N,дзяўчынка,κοπέλα
240,Mädchen::N,дзяўчынка,κορίτσι
241,Familie::N,сямʼя,οικογένεια
242,Großvater::N,дзядуля,παππούς
243,Großmutter::N,бабуля,γιαγιά
244,Eltern::N,бацькі,γονείς
245,Vater::N,бацька,πατέρας
246,Mutter::N,маці,μητέρα
247,Sohn::N,сын,γιος
248,Tochter::N,дачка,κόρη
249,Bruder::N,брат,αδελφός
250,Schwester::N,сястра,αδελφή
251,Onkel::N,дзядзька,θείος
252,Tante::N,цётка,θεία
253,Ehemann::N,муж,σύζυγος
254,Ehefrau::N,жонка,σύζυγος
255,Freude::N,радасць,χαρά
256,Gelächter::N,смех,γέλια
257,Glück::N,шчасце,ευτυχία
258,Kummer::N,гора,έγνοια
259,Wunsch::N,жаданне,επιθυμία
260,Lust::N,цяга,όρεξη
261,Geist::N,дух,πνέυμα
262,Gedanke::N,думка,σκέψη
263,Gedächtnis::N,памяць,μνήμη
264,Verstand::N,розум,νους
265,Sinn::N,сэнс,νόημα
266,Grund::N,зачэпка,λόγος
267,Wahrheit::N,праўда,αλήθεια
268,Gespräch::N,размова,συνομιλία
269,Märchen::N,казка,παραμύθι
270,Erzählung::N,расказ,διήγημα
271,Erzählung::N,апавяданне,διήγημα
272,Nachricht::N,вестка,είδηση
273,Nachricht::N,паведамленне,είδηση
274,Neuigkeit::N,навіна,νέο
275,Name::N,імя,όνομα
276,Rätsel::N,загадка,αίνιγμα
277,Rede::N,прамова,λόγος
278,Rede::N,прамова,ομιλία
279,Sprache::N,мова,γλώσσα
280,Stimme::N,голас,φωνή
281,Wort::N,слова,λέξη
282,Zeichen::N,знак,σημείο
283,Ruf::N,кліч,κραυγή
284,Lärm::N,шум,θόρυβος
285,Laut::N,гук,ήχος
286,Ton::N,гучанне,ήχος
287,Ton::N,гучанне,τόνος
288,Lied::N,песня,τραγούδι
289,Ruhe::N,спакой,ησυχία
290,Leute::N,людзі,κόσμος
291,Leute::N,людзі,άνθρωποι
292,Volk::N,народ,λαός
293,Arbeit::N,праца,εργασία
294,Arbeit::N,работа,εργασία
295,Gast::N,госць,επισκέπτης
296,Geschenk::N,падарунак,δώρο
297,Spiel::N,гульня,παιχνίδι
298,Gesellschaft::N,таварыства,κοινωνία
299,Hilfe::N,дапамога,βοήθεια
300,Freund::N,друг,φίλος
301,Freund::N,сябар,φίλος
302,Kamerad::N,прыяцель,σύντροφος
303,Angelegenheit::N,справа,υπόθεση
304,Anzahl::N,колькасць,αριθμός
305,Art::N,від,είδος
306,Stück::N,кусок,κομμάτι
307,Stück::N,кавалак,κομμάτι
308,Teil::N,частка,μέρος
309,Hälfte::N,палова,μισό
310,Hälfte::N,палавіна,μισό
311,Kreis::N,круг,κύκλος
312,Kreuz::N,крыж,σταυρός
313,Linie::N,лінія,γραμμή
314,Strich::N,рыса,γραμμή
315,Abstand::N,прамежак,απόσταση
316,Entfernung::N,адлегласць,απόσταση
317,Gegend::N,мясцовасць,περιοχή
318,Gegend::N,мясцовасць,τοποθεσία
319,Platz::N,месца,χώρος
320,Ort::N,месца,τόπος
321,Seite::N,бок,πλευρά
322,Mitte::N,сярэдзіна,μέση
323,Gegenstand::N,прадмет,αντικείμενο
324,Sache::N,рэч,πράγμα
325,Rand::N,край,άκρη
326,Rand::N,край,χείλος
327,Kante::N,руб,άκρη
328,Kante::N,кант,άκρη
329,Ecke::N,вугал,γωνιά
330,Spitze::N,кончык,μύτη
331,Ende::N,канец,άκρη
332,Loch::N,дзірка,τρύπα
333,Winkel::N,вугал,γωνία
334,Muster::N,узор,σχέδιο
335,Größe::N,памер,μέγεθος
336,Länge::N,даўжыня,μήκος
337,Höhe::N,вышыня,ύψος
338,Gewicht::N,вага,βάρος
339,Menge::N,колькасць,ποσότητα
340,Haufen::N,куча,σωρός
341,Reihe::N,рад,αράδα
342,Boot::N,лодка,βάρκα
343,Ruder::N,вясло,κουπί
344,Schlitten::N,сані,έλκηθρο
345,Ski::N,лыжа,σκι
346,Lagerfeuer::N,вогнішча,φωτιά
347,Last::N,цяжар,φορτίο
348,Gang::N,ход,δρόμος
349,Schritt::N,шаг,βήμα
350,Schritt::N,крок,βήμα
351,Norden::N,поўнач,βορράς
352,Süden::N,поўдзень,νότος
353,Westen::N,захад,δύση
354,Osten::N,усход,ανατολή
355,Holz::N,дрэва,ξύλο
356,Holz::N,драўніна,ξύλο
357,Brett::N,дошка,σανίδι
358,Platte::N,пліта,πλάκα
359,Stütze::N,падпорка,στήριγμα
360,Stange::N,жэрдка,ραβδί
361,Stange::N,жэрдка,κοντός
362,Stock::N,палка,ξύλο
363,Stock::N,палка,μπαστούνι
364,Stab::N,шост,ραβδί
365,Rohr::N,труба,σωλήνας
366,Haus::N,дом,σπίτι
367,Heim::N,дом,σπίτι
368,Heim::N,хата,σπίτι
369,Ofen::N,печ,σόμπα
370,Ofen::N,печ,θερμάστρα
371,Fußboden::N,падлога,πάτωμα
372,Tisch::N,стол,τραπέζι
373,Stuhl::N,стул,καρέκλα
374,Stuhl::N,крэсла,καρέκλα
375,Wiege::N,калыска,κούνια
376,Bett::N,ложак,κρεβάτι
377,Bett::N,пасцель,κρεβάτι
378,Regal::N,паліца,ράφι
379,Kiste::N,скрынка,κιβώτιο
380,Fenster::N,акно,παράθυρο
381,Tür::N,дзверы,πόρτα
382,Tor::N,вароты,πύλη
383,Zaun::N,агароджа,φράχτης
384,Dach::N,дах,στέγη
385,Leiter::N,лесвіца,σκάλα
386,Leiter::N,лесвіца,κλίμακα
387,Besen::N,мятла,σκούπα
388,Spaten::N,лапата,φτυάρι
389,Spaten::N,жалязняк,φτυάρι
390,Schaufel::N,шуфлік,φτυάρι
391,Schaufel::N,лапатка,φτυάρι
392,Gabel::N,відэлец,πιρούνι
393,Löffel::N,лыжка,κουτάλι
394,Messer::N,нож,μαχαίρι
395,Nagel::N,цвік,καρφί
396,Netz::N,сетка,δίχτυ
397,Haken::N,крук,γάντζος
398,Haken::N,крук,αγκίστρι
399,Griff::N,ручка,λαβή
400,Schloss::N,замок,κλειδαριά
401,Bild::N,карціна,εικόνα
402,Figur::N,фігура,ανάστημα
403,Puppe::N,лялька,κούκλα
404,Beutel::N,мяшок,πουγγί
405,Bündel::N,вязка,δεμάτι
406,Tasche::N,торба,τσάντα
407,Eimer::N,вядро,κουβάς
408,Deckel::N,накрыўка,καπάκι
409,Geschirr::N,пасуда,σκεύη
410,Sack::N,мех,σάκος
411,Tasse::N,кубак,φλιτζάνι
412,Topf::N,каструля,χύτρα
413,Kessel::N,кацёл,καζάνι
414,Essen::N,ежа,φαγητό
415,Nahrung::N,харч,τροφή
416,Speise::N,страва,φαγητό
417,Fleisch::N,мяса,κρέας
418,Getreide::N,збожжа,σιτάρι
419,Brei::N,каша,χυλός
420,Brot::N,хлеб,ψωμί
421,Brot::N,хлеб,άρτος
422,Scheibe::N,луста,φέτα
423,Scheibe::N,скібка,φέτα
424,Fett::N,тлушч,πάχος
425,Butter::N,масла,βούτυρο
426,Öl::N,алей,λάδι
427,Salz::N,соль,αλάτι
428,Suppe::N,суп,σούπα
429,Honig::N,мёд,μέλι
430,Milch::N,малако,γάλα
431,Tee::N,чай,τσάι
432,Tee::N,гарбата,τσάι
433,Leder::N,скура,πετσί
434,Wolle::N,воўна,μαλλί
435,Stoff::N,тканіна,ύφασμα
436,Nadel::N,іголка,βελόνα
437,Faden::N,нітка,κλωστή
438,Knopf::N,гузік,κουμπί
439,Knoten::N,вузел,κόμπος
440,Farbe::N,фарба,μπογιά
441,Kleidung::N,адзенне,ρούχα
442,Kleidung::N,адзенне,ενδυμασία
443,Hemd::N,кашуля,πουκάμισο
444,Kragen::N,каўнер,κολάρο
445,Ärmel::N,рукаў,μανίκι
446,Hose::N,штаны,πανταλόνι
447,Gürtel::N,пояс,ζώνη
448,Mütze::N,шапка,σκούφος
449,Schuh::N,чаравік,παπούτσι
450,Stiefel::N,бот,μπότα
451,Ring::N,кольца,δαχτυλίδι
452,Band::N,стужка,κορδέλα
453,Kamm::N,расчоска,χτένα
454,Spiegel::N,люстра,καθρέφτης
455,Riemen::N,рэмень,λουρί
456,Schnur::N,вяроўка,κορδόνι
457,Leine::N,павадок,σχοινί
458,Decke::N,коўдра,κουβέρτα
459,Kissen::N,падушка,μαξιλάρι
460,Tuch::N,хустка,πανί
461,Tuch::N,хустка,μαντήλι
462,Handtuch::N,ручнік,πετσέτα
463,Kraft::N,сіла,δύναμη
464,Stärke::N,моц,ισχύς
465,Stärke::N,моц,δύναμη
466,Gesundheit::N,здароўе,υγεία
467,Krankheit::N,хвароба,αρρώστια
468,Schmerz::N,боль,πόνος
469,Wunde::N,рана,πληγή
470,Fieber::N,гарачка,πυρετός
471,Fieber::N,ліхаманка,πυρετός
472,Arznei::N,лекі,φάρμακο
473,Brücke::N,мост,γέφυρα
474,Brunnen::N,калодзеж,πηγάδι
475,Weide::N,паша,βοσκή
476,Pfad::N,сцежка,μονοπάτι
477,Weg::N,шлях,δρόμος
478,Weg::N,дарога,δρόμος
479,Straße::N,вуліца,οδός
480,Straße::N,вуліца,δρόμος
481,Dorf::N,вёска,χωριό
482,Stadt::N,горад,πόλη
483,Brief::N,ліст,γράμμα
484,Brief::N,ліст,επιστολή
485,Brief::N,пісьмо,γράμμα
486,Brief::N,пісьмо,επιστολή
487,Buch::N,кніга,βιβλίο
488,Buchstabe::N,літара,γράμμα
489,Zeitung::N,газета,εφημερίδα
490,Leben::N,жыццё,ζωή
491,Leben::N,жыццё,βίος
492,Tod::N,смерць,θάνατος
493,Grab::N,магіла,τάφος
494,Kirche::N,касцёл,εκκλησία
495,Kirche::N,царква,εκκλησία
496,Sünde::N,грэх,αμαρτία
497,Gott::N,бог,θεός
498,Arbeiter::N,рабочы,εργάτης
499,Chef::N,начальнік,προϊστάμενος
500,Meister::N,майстар,μάστορας
501,Meister::N,майстар,αρχιτεχνίτης
502,Arzt::N,урач,γιατρός
503,Lehrer::N,настаўнік,δάσκαλος
504,Geld::N,грошы,λεφτά
505,Geld::N,грошы,χρήματα
506,Geschäft::N,заняцце,συναλλαγή
507,Laden::N,крама,μαγαζί
508,Laden::N,крама,κατάστημα
509,Laden::N,магазін,μαγαζί
510,Laden::N,магазін,κατάστημα
511,Preis::N,цана,τιμή
512,Ware::N,тавар,εμπόρευμα
513,Nutzen::N,выгада,όφελος
514,Reichtum::N,багацце,πλούτος
515,Welt::N,свет,κόσμος
516,Land::N,краіна,χώρα
517,Staat::N,дзяржава,κράτος
518,Staat::N,дзяржава,πολιτεία
519,König::N,кароль,βασιλιάς
520,Macht::N,улада,εξουσία
521,Grenze::N,граніца,σύνορα
522,Krieg::N,вайна,πόλεμος
523,Feind::N,вораг,εχθρός
524,Gewalt::N,насілле,βία
525,Kampf::N,барацьба,αγώνας
526,Bogen[Waffe]::N,лук,τόξο
527,Pfeil::N,страла,σαΐτα
528,Gewehr::N,ружжо,τουφέκι
529,Fehler::N,памылка,λάθος
530,Fehler::N,памылка,σφάλμα
531,Lüge::N,хлусня,ψέμα
532,Lüge::N,хлусня,ψεύδος
533,Schaden::N,шкода,ζημία
534,Unglück::N,ліха,δυστυχία
535,Unglück::N,бядота,δυστυχία
536,Schuld::N,віна,ενοχή
537,Schuld::N,віна,φταίξιμο
538,Alter::N,узрост,ηλικία
539,Schluss::N,канец,τέλος
540,Zeit::N,час,χρόνος
541,Tag::N,дзень,μέρα
542,Tag::N,дзень,ημέρα
543,Morgen::N,ранак,πρωί
544,Morgen::N,раніца,πρωί
545,Mittag::N,паўдня,μεσημέρι
546,Mittag::N,поўдзень,μεσημέρι
547,Abend::N,вечар,βράδυ
548,Nacht::N,ноч,νύχτα
549,Woche::N,тыдзень,εβδομάδα
550,Monat::N,месяц,μήνας
551,Jahr::N,год,έτος
552,Jahr::N,год,χρόνος
553,Frühling::N,вясна,άνοιξη
554,Sommer::N,лета,καλοκαίρι
555,Herbst::N,восень,φθινόπωρο
556,Winter::N,зіма,χειμώνας
557,Januar::N,студзень,Ιανουάριος
558,Februar::N,люты,Φεβρουάριος
559,März::N,сакавік,Μάρτιος
560,April::N,красавік,Απρίλιος
561,Mai::N,май,Μάιος
562,Mai::N,травень,Μάιος
563,Juni::N,чэрвень,Ιούνιος
564,Juli::N,ліпень,Ιούλιος
565,August::N,жнівень,Αύγουστος
566,September::N,верасень,Σεπτέμβριος
567,Oktober::N,кастрычнік,Οκτώβριος
568,November::N,лістапад,Νοέμβριος
569,Dezember::N,снежань,Δεκέμβριος
570,Montag::N,панядзелак,Δευτέρα
571,Dienstag::N,аўторак,Τρίτη
572,Mittwoch::N,серада,Τετάρτη
573,Donnerstag::N,чацвер,Πέμπτη
574,Freitag::N,пятніца,Παρασκευή
575,Samstag::N,субота,Σάββατο
576,Sonntag::N,нядзеля,Κυριακή
577,groß::A,вялікі,μεγάλος
578,klein::A,маленькі,μικρός
579,lang::A,доўгі,μακρύς
580,kurz::A,кароткі,κοντός
581,breit::A,шырокі,φαρδύς
582,schmal::A,вузкі,στενός
583,dicht::A,густы,πυκνός
584,dick[Gegenstand]::A,тоўсты,παχύς
585,dick[Gegenstand]::A,тоўсты,χοντρός
586,dünn::A,тонкі,ψιλός
587,dünn::A,тонкі,λεπτός
588,fein::A,тонкі,ψιλός
589,fest::A,моцны,στερεός
590,flach::A,плоскі,επίπεδος
591,glatt::A,гладкі,λείος
592,glatt::A,гладкі,ομαλός
593,hart::A,цвёрды,σκληρός
594,weich::A,мяккі,μαλακός
595,rund::A,круглы,στρογγυλός
596,spitz::A,спічасты,μυτερός
597,spitz::A,востраканцовы,μυτερός
598,scharf::A,востры,κοφτερός
599,stumpf::A,тупы,αμβλύς
600,schwer::A,цяжкі,βαρύς
601,schön::A,прыгожы,ωραίος
602,schön::A,прыгожы,όμορφος
603,heiß::A,гарачы,ζεστός
604,warm::A,цёплы,θερμός
605,kalt::A,холадны,κρύος
606,kalt::A,холадны,ψυχρός
607,kühl::A,халаднаваты,δροσερός
608,frisch::A,свежы,νωπός
609,frisch::A,свежы,φρέσκος
610,feucht::A,вільготны,υγρός
611,nass::A,мокры,βρεγμένος
612,trocken::A,сухі,ξηρός
613,trocken::A,сухі,στεγνός
614,voll::A,поўны,γεμάτος
615,leer::A,пусты,άδειος
616,offen::A,адкрыты,ανοιχτός
617,offen::A,адчынены,ανοιχτός
618,geschlossen::A,закрыты,κλειστός
619,geschlossen::A,зачынены,κλειστός
620,sauber::A,чысты,καθαρός
621,schmutzig::A,брудны,βρώμικος
622,schmutzig::A,брудны,λερωμένος
623,roh::A,сыры,ωμός
624,reif::A,спелы,ώριμος
625,lecker::A,смачны,νόστιμος
626,süß::A,салодкі,γλυκός
627,bitter::A,горкі,πικρός
628,sauer::A,кіслы,ξινός
629,hell::A,светлы,φωτεινός
630,dunkel::A,цёмны,σκοτεινός
631,schwarz::A,чорны,μαύρος
632,schwarz::A,чорны,μελανός
633,weiß::A,белы,άσπρος
634,rot::A,чырвоны,κόκκινος
635,gelb::A,жоўты,κίτρινος
636,blau::A,сіні,μπλε
637,blau::A,сіні,γαλανός
638,grün::A,зялёны,πράσινος
639,grau::A,шэры,γκρίζος
640,bunt::A,пяресты,ποικιλόχρωπος
641,billig::A,танны,φτηνός
642,teuer::A,дарагі,ακριβός
643,wertvoll::A,цэнны,πολύτιμος
644,wertvoll::A,каштоўны,πολύτιμος
645,blind::A,сляпы,τυφλός
646,taub::A,глухі,κουφός
647,kräftig::A,магутны,δυνατός
648,stark::A,сільны,γερός
649,schwach::A,слабы,αδύνατος
650,fett::A,тлусты,παχύς
651,schlank::A,стройны,λεπτός
652,schlank::A,стройны,λυγερός
653,hübsch::A,чароўны,όμορφος
654,hübsch::A,чароўны,χαριτωμένος
655,böse::A,злы,κακός
656,dumm::A,дурны,κουτός
657,dumm::A,дурны,ανόητος
658,faul::A,лянівы,τεμπέλης
659,fleißig::A,руплівы,εργατικός
660,geizig::A,прагны,τσιγγούνης
661,klug::A,разумны,έξυπνος
662,geschickt::A,умелы,επιδέξιος
663,lieb::A,мілы,φίλος
664,lieb::A,мілы,αγαπητός
665,lustig::A,вясёлы,εύθυμος
666,lustig::A,вясёлы,χαρούμενος
667,sanft::A,ласкавы,ήπιος
668,hungrig::A,галодны,πεινασμένος
669,krank::A,хворы,άρρωστος
670,nackt::A,голы,γυμνός
671,traurig::A,сумны,λυπημένος
672,lebendig::A,жывы,ζωντανός
673,gut::A,добры,καλός
674,schlecht::A,кепскі,κακός
675,richtig::A,правільны,σωστός
676,schlimm::A,агідны,άσχημος
677,wahr::A,сапраўдны,αληθής
678,wahr::A,сапраўдны,αληθινός
679,alt::A,стары,παλιός
680,neu::A,новы,νέος
681,neu::A,новы,καινούργιος
682,ehemalig::A,былы,παλιός
683,alt[Lebewesen]::A,стары,γέρος
684,jung::A,малады,νέος
685,arm::A,бедны,φτωχός
686,reich::A,багаты,πλούσιος
687,bekannt::A,знаёмы,γνωστός
688,berühmt::A,славуты,περίφημος
689,berühmt::A,славуты,ξακουσμένος
690,fremd::A,чужы,ξένος
691,verschieden::A,розны,διαφορετικός
692,nah::A,блізкі,κοντινός
693,fern::A,далёкі,μακριά
694,linker::A,левы,αριστερός
695,rechter::A,правы,δεξιός
696,anderer::A,іншы,άλλος
697,anderer::A,другі,άλλος
698,erster::A,першы,πρώτος
699,zweiter::A,другі,δεύτερος
700,dritter::A,трэці,τρίτος
701,letzter::A,апошні,τελευταίος
702,allein::ADV,сам,μόνος
703,allein::ADV,адзін,μόνος
704,auf einmal::ADV,адразу,εφάπαξ
705,zusammen::ADV,разам,μαζί
706,lange::ADV,доўга,πολύν καιρό
707,plötzlich::ADV,раптам,έξαφνα
708,sofort::ADV,зараз,αμέσως
709,später::ADV,пазней,αργότερα
710,jetzt::ADV,цяпер,τώρα
711,heute::ADV,сёння,σήμερα
712,morgen::ADV,заўтра,αύριο
713,bald::ADV,хутка,σε λίγο
714,bald::ADV,хутка,εντός ολίγου
715,bald::ADV,неўзабаве,σε λίγο
716,bald::ADV,неўзабаве,εντός ολίγου
717,dann::ADV,потым,ύστερα
718,gestern::ADV,учора,χτες
719,einst::ADV,аднойчы,ποτέ
720,einst::ADV,аднойчы,άλλοτε
721,damals::ADV,тады,τότε
722,danach::ADV,затым,μετά
723,danach::ADV,затым,ύστερα
724,vorher::ADV,раней,πριν
725,vorher::ADV,раней,προηγουμένως
726,zuerst::ADV,спярша,πρώτα
727,zuerst::ADV,спачатку,πρώτα
728,einmal::ADV,адзін раз,μία φορά
729,manchmal::ADV,часам,κάποτε
730,oft::ADV,часта,συχνά
731,oft::ADV,часта,πολλές φορές
732,immer::ADV,заўсёды,πάντα
733,immer::ADV,заўсёды,πάντοτε
734,niemals::ADV,ніколі,ποτέ
735,hier::ADV,тут,εδώ
