,Concept_ID,et,ga
177,Klaue::N,küüs,crúb
178,Klaue::N,küüs,crobh
179,Kralle::N,küünis,crobh
180,Schwanz::N,saba,eireaball
181,Ei::N,muna,ubh
182,Nest::N,pesa,nead
183,Bau::N,urg,brocais
184,Tier::N,loom,ainmhí
185,Tier::N,loom,beithíoch
186,Herde::N,kari,tréad
187,Kuh::N,lehm,bó
188,Bulle::N,pull,tarbh
189,Pferd::N,hobune,each
190,Pferd::N,hobune,capall
191,Schaf::N,lammas,caora
192,Schwein::N,siga,muc
193,Hund::N,koer,madra
194,Katze::N,kass,cat
195,Bär::N,karu,béar
196,Eichhörnchen::N,orav,iora
197,Elch::N,põder,eilc
198,Fuchs::N,rebane,sionnach
199,Fuchs::N,rebane,madra rua
200,Hase::N,jänes,giorria
201,Maus::N,hiir,luch
202,Wolf::N,hunt,mac tíre
203,Vogel::N,lind,éan
204,Schwarm::N,parv,saithe
205,Huhn::N,kana,cearc
206,Hahn::N,kukk,coileach
207,Gans::N,hani,gé
208,Adler::N,kotkas,iolar
209,Ente::N,part,lacha
210,Eule::N,kakk,ulchabhán
211,Eule::N,öökull,ulchabhán
212,Kranich::N,kurg,grús
213,Krähe::N,vares,caróg
214,Krähe::N,vares,préachán
215,Kuckuck::N,kägu,cuach
216,Schwan::N,luik,eala
217,Fisch::N,kala,iasc
218,Barsch::N,ahven,péirse
219,Hecht::N,haug,liús
220,Schlange[Tier]::N,uss,nathair
221,Wurm::N,uss,péist
222,Wurm::N,vagel,péist
223,Spinne::N,ämblik,damhán alla
224,Ameise::N,sipelgas,seangán
225,Laus::N,täi,míol
226,Mücke::N,sääsk,muiscít
227,Mücke::N,sääsk,corrmhíol
228,Fliege::N,kärbes,cuil
229,Fliege::N,kärbes,cuileog
230,Schmetterling::N,liblikas,féileacán
231,Beere::N,mari,caor
232,Apfel::N,õun,úll
233,Pilz::N,seen,beacán
234,Pilz::N,seen,muisiriún
235,Zwiebel::N,sibul,oinniún
236,Saat::N,seeme,síol
237,Korn::N,iva,gráinne
238,Korn::N,tera,gráinne
239,Heu::N,hein,féar
240,Schale::N,koor,scaimh
241,Grube::N,kaevand,poll
242,Falle::N,lõks,gaiste
243,Falle::N,püünis,gaiste
244,Schlinge::N,aas,sealán
245,Spur::N,jälg,rian
246,Asche::N,tuhk,luaith
247,Dreck::N,saast,salachar
248,Dreck::N,mustus,salachar
249,Eisen::N,raud,iarann
250,Gold::N,kuld,ór
251,Silber::N,hõbe,airgead
252,Kohle::N,süsi,gual
253,Glas::N,klaas,gloine
254,Lehm::N,savi,cré
255,Sand::N,liiv,gaineamh
256,Mensch::N,inimene,duine
257,Mann::N,mees,fear
258,Frau::N,naine,bean
259,Kind::N,laps,gasúr
260,Kind::N,laps,páiste
261,Junge::N,poiss,buachaill
262,Mädchen::N,tüdruk,cailín
263,Familie::N,perekond,teaghlach
264,Familie::N,perekond,comhluadar
265,Großvater::N,vanaisa,seanathair
266,Großmutter::N,vanaema,seanmháthair
267,Eltern::N,vanemad,tuismitheoirí
268,Vater::N,isa,athair
269,Mutter::N,ema,máthair
270,Sohn::N,poeg,mac
271,Tochter::N,tütar,iníon
272,Bruder::N,vend,deartháir
273,Schwester::N,õde,deirfiúr
274,Onkel::N,onu,uncail
275,Tante::N,tädi,aintín
276,Ehemann::N,mees,fear céile
277,Ehemann::N,abikaasa,fear céile
278,Ehefrau::N,naine,bean chéile
279,Ehefrau::N,abikaasa,bean chéile
280,Freude::N,rõõm,áthas
281,Gelächter::N,naer,gáire
282,Glück::N,õnn,séan
283,Glück::N,õnn,sonas
284,Kummer::N,mure,brón
285,Kummer::N,mure,buairt
286,Kummer::N,kurbus,brón
287,Kummer::N,kurbus,buairt
288,Wunsch::N,soov,guí
289,Wunsch::N,soov,achainí
290,Lust::N,himu,fonn
291,Geist::N,vaim,meon
292,Geist::N,vaim,spiorad
293,Gedanke::N,mõte,smaoineamh
294,Gedächtnis::N,mälu,cuimhne
295,Verstand::N,aru,ciall
296,Verstand::N,aru,intinn
297,Verstand::N,mõistus,ciall
298,Verstand::N,mõistus,intinn
299,Sinn::N,tähendus,brí
300,Sinn::N,tähendus,ciall
301,Grund::N,põhjus,fáth
302,Wahrheit::N,tõde,fírinne
303,Gespräch::N,kõne,comhrá
304,Gespräch::N,vestlus,comhrá
305,Märchen::N,muinasjutt,scéal
306,Erzählung::N,jutustus,scéal
307,Nachricht::N,teade,teachtaireacht
308,Neuigkeit::N,uudis,scéala
309,Name::N,nimi,ainm
310,Rätsel::N,mõistatus,tomhas
311,Rede::N,kõne,óráid
312,Rede::N,kõne,aitheasc
313,Sprache::N,keel,teanga
314,Stimme::N,hääl,guth
315,Wort::N,sõna,focal
316,Zeichen::N,märk,comhartha
317,Ruf::N,hüüe,glaoch
318,Lärm::N,müra,torann
319,Laut::N,hääl,fuaim
320,Ton::N,toon,ton
321,Lied::N,laul,amhrán
322,Ruhe::N,rahu,suaimhneas
323,Ruhe::N,vaikus,suaimhneas
324,Leute::N,inimesed,muintir
325,Volk::N,rahvas,pobal
326,Arbeit::N,töö,obair
327,Gast::N,külaline,aoi
328,Geschenk::N,kingitus,féirín
329,Geschenk::N,kingitus,bronntanas
330,Spiel::N,mäng,cluiche
331,Gesellschaft::N,selts,comhluadar
332,Hilfe::N,abi,cúnamh
333,Hilfe::N,abi,cabhair
334,Freund::N,sõber,cara
335,Kamerad::N,sõber,comrádaí
336,Angelegenheit::N,asi,ábhar
337,Anzahl::N,arv,líon
338,Anzahl::N,hulk,líon
339,Art::N,liik,sórt
340,Art::N,liik,saghas
341,Stück::N,tükk,píosa
342,Teil::N,osa,cuid
343,Teil::N,osa,páirt
344,Hälfte::N,pool,leath
345,Kreis::N,ring,ciorcal
346,Kreuz::N,rist,cros
347,Linie::N,joon,líne
348,Strich::N,joon,stríoc
349,Abstand::N,vahe,achar
350,Entfernung::N,kaugus,fad
351,Entfernung::N,vahemaa,fad
352,Gegend::N,ümbrus,ceantar
353,Platz::N,ruum,áit
354,Platz::N,ruum,spás
355,Ort::N,paik,áit
356,Seite::N,pool,taobh
357,Mitte::N,keskpaik,lár
358,Gegenstand::N,ese,ball
359,Gegenstand::N,ese,ábhar
360,Sache::N,ese,ní
361,Sache::N,ese,rud
362,Rand::N,äär,imeall
363,Rand::N,äär,ciumhais
364,Rand::N,serv,imeall
365,Rand::N,serv,ciumhais
366,Kante::N,kant,corr
367,Kante::N,kant,colbha
368,Ecke::N,nurk,coirnéal
369,Spitze::N,teravik,gob
370,Spitze::N,teravik,barr
371,Ende::N,ots,ceann
372,Ende::N,ots,foirceann
373,Ende::N,jupp,ceann
374,Ende::N,jupp,foirceann
375,Loch::N,auk,poll
376,Winkel::N,nurk,cúinne
377,Winkel::N,nurk,uillinn
378,Muster::N,muster,patrún
379,Größe::N,suurus,méid
380,Größe::N,suurus,toise
381,Länge::N,pikkus,fad
382,Höhe::N,kõrgus,airde
383,Gewicht::N,kaal,meáchan
384,Gewicht::N,raskus,meáchan
385,Menge::N,arv,méid
386,Menge::N,hulk,méid
387,Haufen::N,hunnik,cnap
388,Reihe::N,rivi,líne
389,Reihe::N,rivi,sraith
390,Boot::N,paat,bád
391,Ruder::N,aer,rámh
392,Ruder::N,aer,maide rámha
393,Schlitten::N,saan,carr sleamhnáin
394,Ski::N,suusk,scí
395,Lagerfeuer::N,lõke,tine champa
396,Last::N,koorem,ualach
397,Gang::N,käik,siúlóid
398,Schritt::N,samm,céim
399,Schritt::N,samm,coiscéim
400,Norden::N,põhi,tuaisceart
401,Süden::N,lõuna,deisceart
402,Westen::N,lääs,iarthar
403,Osten::N,ida,oirthear
404,Holz::N,puu,adhmad
405,Brett::N,saelaud,clár
406,Platte::N,plaat,leac
407,Stütze::N,tugi,taca
408,Stange::N,latt,polla
409,Stange::N,latt,cuaille
410,Stange::N,teivas,polla
411,Stange::N,teivas,cuaille
412,Stock::N,kepp,bata
413,Stock::N,kepp,maide
414,Stab::N,varras,maide
415,Stab::N,varras,bachall
416,Rohr::N,toru,píopa
417,Haus::N,maja,teach
418,Heim::N,kodu,baile
419,Ofen::N,ahi,sornóg
420,Fußboden::N,põrand,urlár
421,Tisch::N,laud,bord
422,Tisch::N,laud,tábla
423,Stuhl::N,tool,cathaoir
424,Wiege::N,häll,cliabhán
425,Wiege::N,kätki,cliabhán
426,Bett::N,voodi,leaba
427,Regal::N,riiul,seilf
428,Kiste::N,kast,bosca
429,Fenster::N,aken,fuinneoig
430,Tür::N,uks,doras
431,Tor::N,värav,geata
432,Zaun::N,aed,fál
433,Zaun::N,aed,claí
434,Zaun::N,tara,fál
435,Zaun::N,tara,claí
436,Dach::N,katus,díon
437,Leiter::N,redel,dréimire
438,Besen::N,luud,scuab
439,Spaten::N,labidas,spád
440,Spaten::N,labidas,rámhainn
441,Schaufel::N,kühvel,sluasaid
442,Gabel::N,kahvel,forc
443,Gabel::N,kahvel,gabhlóg
444,Löffel::N,lusikas,spúnóg
445,Messer::N,nuga,scian
446,Nagel::N,nael,tairne
447,Netz::N,võrk,líon
448,Netz::N,võrk,eangach
449,Haken::N,haak,croch
450,Haken::N,konks,croch
451,Griff::N,sang,cos
452,Griff::N,sang,hanla
453,Griff::N,käepide,cos
454,Griff::N,käepide,hanla
455,Schloss::N,lukk,glas
456,Bild::N,pilt,pictiúr
457,Figur::N,kuju,fíor
458,Figur::N,kujund,fíor
459,Puppe::N,nukk,bábóg
460,Beutel::N,paun,mála
461,Beutel::N,paun,mealbhóg
462,Bündel::N,kimp,beart
463,Tasche::N,kott,mála
464,Eimer::N,pang,buicéad
465,Eimer::N,ämber,buicéad
466,Deckel::N,kaas,clár
467,Deckel::N,kaas,claibín
468,Geschirr::N,nõud,soithí
469,Geschirr::N,nõud,gréithe
470,Sack::N,kott,sac
471,Sack::N,kott,mála
472,Tasse::N,tass,cupán
473,Topf::N,pada,pota
474,Kessel::N,pada,citeal
475,Essen::N,söök,béile
476,Nahrung::N,toit,bia
477,Speise::N,roog,mias
478,Fleisch::N,liha,feoil
479,Getreide::N,teravili,grán
480,Getreide::N,teravili,arbhar
481,Brei::N,puder,brúitín
482,Brot::N,sai,arán
483,Brot::N,leib,arán
484,Scheibe::N,viil,píosa
485,Scheibe::N,viil,slisne
486,Scheibe::N,viilukas,píosa
487,Scheibe::N,viilukas,slisne
488,Fett::N,rasv,saill
489,Fett::N,rasv,méathras
490,Butter::N,või,im
491,Öl::N,õli,ola
492,Salz::N,sool,salann
493,Suppe::N,supp,sú
494,Suppe::N,supp,anraith
495,Honig::N,mesi,mil
496,Milch::N,piim,bainne
497,Tee::N,tee,tae
498,Leder::N,nahk,leathar
499,Wolle::N,vill,olann
500,Stoff::N,kangas,éadach
501,Nadel::N,nõel,snáthaid
502,Faden::N,niit,snáth
503,Knopf::N,nööp,cnaipe
504,Knoten::N,sõlm,snaidhm
505,Farbe::N,värv,péint
506,Kleidung::N,riided,éadaí
507,Kleidung::N,riietus,éadaí
508,Hemd::N,särk,léine
509,Kragen::N,krae,bóna
510,Ärmel::N,varrukas,muinchille
511,Hose::N,püksid,bríste
512,Hose::N,püksid,treabhsar
513,Gürtel::N,vöö,crios
514,Mütze::N,müts,caipín
515,Schuh::N,king,bróg
516,Stiefel::N,saabas,buatais
517,Ring::N,sõrmus,fáinne
518,Band::N,lint,ribín
519,Kamm::N,kamm,cíor
520,Spiegel::N,peegel,scáthán
521,Riemen::N,rihm,iall
522,Riemen::N,rihm,strapa
523,Schnur::N,nöör,téad
524,Schnur::N,nöör,sreangán
525,Leine::N,jalutusrihm,iall
526,Decke::N,tekk,pluid
527,Decke::N,tekk,blaincéad
528,Kissen::N,padi,piliúr
529,Kissen::N,padi,adhartán
530,Tuch::N,kalev,scaif
531,Handtuch::N,käterätik,tuáille
532,Kraft::N,jõud,fórsa
533,Stärke::N,tugevus,neart
534,Gesundheit::N,tervis,sláinte
535,Krankheit::N,haigus,tinneas
536,Krankheit::N,haigus,breoiteacht
537,Schmerz::N,valu,pian
538,Wunde::N,haav,goin
539,Fieber::N,palavik,fiabhras
540,Arznei::N,ravim,cógas
541,Brücke::N,sild,droichead
542,Brunnen::N,kaev,tobar
543,Weide::N,karjamaa,féarach
544,Pfad::N,rada,cosán
545,Pfad::N,rada,conair
546,Weg::N,tee,slí
547,Weg::N,tee,bealach
548,Straße::N,tee,bóthar
549,Dorf::N,küla,sráidbhaile
550,Stadt::N,linn,baile
551,Stadt::N,linn,cathair
552,Brief::N,kiri,litir
553,Buch::N,raamat,cín
554,Buch::N,raamat,leabhar
555,Buchstabe::N,täht,litir
556,Zeitung::N,ajaleht,nuachtán
557,Leben::N,elu,saol
558,Leben::N,elu,beatha
559,Tod::N,surm,bás
560,Grab::N,haud,uaigh
561,Kirche::N,kirik,eaglais
562,Sünde::N,patt,peaca
563,Gott::N,jumal,dia
564,Arbeiter::N,tööline,oibrí
565,Chef::N,ülemus,saoiste
566,Chef::N,ülemus,ceannasaí
567,Chef::N,juhataja,saoiste
568,Chef::N,juhataja,ceannasaí
569,Meister::N,meister,máistir
570,Arzt::N,arst,lia
571,Arzt::N,arst,dochtúir
572,Lehrer::N,õpetaja,oide
573,Lehrer::N,õpetaja,múinteoir
574,Geld::N,raha,airgead
575,Geschäft::N,äri,gnó
576,Laden::N,pood,siopa
577,Laden::N,kauplus,siopa
578,Preis::N,hind,praghas
579,Ware::N,kaup,earra
580,Nutzen::N,tulu,tairbhe
581,Nutzen::N,kasulikkus,tairbhe
582,Reichtum::N,rikkus,rachmas
583,Reichtum::N,rikkus,saibhreas
584,Welt::N,maailm,domhan
585,Land::N,maa,tír
586,Staat::N,riik,stát
587,König::N,kuningas,rí
588,Macht::N,võim,cumhacht
589,Grenze::N,piir,críoch
590,Grenze::N,piir,teorainn
591,Krieg::N,sõda,cogadh
592,Feind::N,vaenlane,namhaid
593,Gewalt::N,väevõim,foréigean
594,Kampf::N,võitlus,troid
595,Bogen[Waffe]::N,vibu,bogha
596,Pfeil::N,nool,saighead
597,Gewehr::N,püss,gunna
598,Fehler::N,viga,botún
599,Fehler::N,viga,meancóg
600,Lüge::N,vale,bréag
601,Lüge::N,vale,éitheach
602,Schaden::N,kahju,dochar
603,Schaden::N,kahju,damáiste
604,Unglück::N,häda,drochrath
605,Unglück::N,õnnetus,drochrath
606,Schuld::N,süü,locht
607,Schuld::N,süü,milleán
608,Alter::N,iga,aois
609,Schluss::N,lõpp,deireadh
610,Zeit::N,aeg,am
611,Zeit::N,aeg,aimsir
612,Tag::N,päev,lá
613,Morgen::N,hommik,maidin
614,Mittag::N,lõuna,nóin
615,Mittag::N,keskpäev,nóin
616,Abend::N,õhtu,tráthnóna
617,Nacht::N,öö,oíche
618,Woche::N,nädal,seachtain
619,Monat::N,kuu,mí
620,Jahr::N,aasta,bliain
621,Frühling::N,kevad,earrach
622,Sommer::N,suvi,samhradh
623,Herbst::N,sügis,fómhar
624,Winter::N,talv,geimhreadh
625,Januar::N,jaanuar,Eanáir
626,Februar::N,veebruar,Feabhra
627,März::N,märts,Márta
628,April::N,aprill,Aibreán
629,Mai::N,mai,Bealtaine
630,Juni::N,juuni,Meitheamh
631,Juli::N,juuli,Iúil
632,August::N,august,Lúnasa
633,September::N,september,Meán Fómhair
634,Oktober::N,oktoober,Deireadh Fómhair
635,November::N,november,Samhain
636,November::N,november,Mí na Samhna
637,Dezember::N,detsember,Mí na Nollag
638,Montag::N,esmaspäev,Luan
639,Montag::N,esmaspäev,Dé Luain
640,Dienstag::N,teisipäev,Máirt
641,Dienstag::N,teisipäev,Dé Máirt
642,Mittwoch::N,kesknädal,Céadaoin
643,Mittwoch::N,kesknädal,Dé Céadaoin
644,Donnerstag::N,neljapäev,Déardaoin
645,Freitag::N,reede,Aoine
646,Freitag::N,reede,Dé hAoine
647,Samstag::N,laupäev,Satharn
648,Samstag::N,laupäev,Dé Sathairn
649,Sonntag::N,pühapäev,Domhnach
650,Sonntag::N,pühapäev,Dé Domhnaigh
651,groß::A,suur,mór
652,klein::A,väike,beag
653,klein::A,pisike,beag
654,lang::A,pikk,fada
655,kurz::A,lühike,gearr
656,kurz::A,lühike,gairid
657,breit::A,lai,leathan
658,breit::A,lai,fairsing
659,schmal::A,kitsas,cúng
660,dicht::A,tihe,dlúth
661,dick[Gegenstand]::A,jäme,tiubh
662,dünn::A,õhuke,caol
663,dünn::A,õhuke,tanaí
664,dünn::A,peenike,caol
665,dünn::A,peenike,tanaí
666,fein::A,peen,scáinte
667,fein::A,peen,fíneálta
668,fein::A,õhuke,scáinte
669,fein::A,õhuke,fíneálta
670,fest::A,püsiv,daingean
671,fest::A,kindel,daingean
672,flach::A,lame,cothrom
673,flach::A,tasane,cothrom
674,glatt::A,sile,mín
675,glatt::A,sile,sleamhain
676,hart::A,kõva,crua
677,weich::A,pehme,bog
678,rund::A,ümar,cruinn
679,spitz::A,torkav,gobach
680,spitz::A,torkav,biorach
681,scharf::A,terav,géar
682,scharf::A,terav,faobhrach
683,stumpf::A,nüri,maol
684,schwer::A,raske,trom
685,schön::A,kena,álainn
686,heiß::A,kuum,te
687,heiß::A,palav,te
688,warm::A,soe,te
689,kalt::A,külm,fuar
690,kühl::A,jahe,fionnuar
691,frisch::A,värske,úr
692,frisch::A,värske,friseáilte
693,feucht::A,niiske,tais
694,nass::A,märg,fliuch
695,trocken::A,kuiv,tirim
696,voll::A,täis,lán
697,leer::A,tühi,folamh
698,offen::A,avatud,oscailte
699,offen::A,lahtine,oscailte
700,geschlossen::A,suletud,dúnta
701,geschlossen::A,suletud,druidte
702,sauber::A,puhas,glan
703,schmutzig::A,räpane,salach
704,schmutzig::A,määrdunud,salach
705,roh::A,toores,amh
706,reif::A,küps,aibí
707,lecker::A,hõrk,blasta
708,lecker::A,maitsev,blasta
709,süß::A,magus,milis
710,bitter::A,mõru,searbh
711,sauer::A,hapu,géar
712,sauer::A,hapu,searbh
713,hell::A,hele,geal
714,hell::A,hele,soilseach
715,dunkel::A,pime,dorcha
716,schwarz::A,must,dubh
717,weiß::A,valge,bán
718,rot::A,punane,dearg
719,gelb::A,kollane,buí
720,blau::A,sinine,gorm
721,grün::A,roheline,glas
722,grün::A,roheline,uaine
723,grau::A,hall,liath
724,bunt::A,kirju,ildathach
725,bunt::A,kirju,dathannach
726,bunt::A,värviline,ildathach
727,bunt::A,värviline,dathannach
728,billig::A,odav,saor
729,teuer::A,kallis,daor
730,teuer::A,kallis,costasach
731,wertvoll::A,väärtuslik,luachmhar
732,blind::A,pime,dall
733,blind::A,pime,caoch
734,taub::A,kurt,bodhar
735,kräftig::A,jõuline,cumhachtach
736,stark::A,tugev,tréan
737,stark::A,tugev,láidir
738,schwach::A,nõrk,lag
739,schwach::A,nõrk,fann
740,schwach::A,jõuetu,lag
741,schwach::A,jõuetu,fann
742,fett::A,rasvane,ramhar
743,schlank::A,sale,caol
744,schlank::A,sale,seang
745,hübsch::A,kena,álainn
746,hübsch::A,kena,dathúil
747,böse::A,tige,olc
748,dumm::A,juhm,dúr
749,dumm::A,juhm,amaideach
750,dumm::A,rumal,dúr
751,dumm::A,rumal,amaideach
752,faul::A,laisk,falsa
753,faul::A,laisk,leisciúil
754,fleißig::A,virk,dícheallach
755,fleißig::A,hoolas,dícheallach
756,geizig::A,ihne,barainneach
757,geizig::A,ihne,sprionlaithe
758,klug::A,tark,cliste
759,klug::A,arukas,cliste
760,klug::A,mõistlik,cliste
761,geschickt::A,osav,oilte
762,geschickt::A,osav,ealaíonta
763,lieb::A,armas,dil
764,lieb::A,armas,dílis
765,lustig::A,lõbus,aerach
766,lustig::A,lõbus,meidhreach
767,sanft::A,õrn,bog
768,sanft::A,õrn,séimh
769,hungrig::A,näljane,ocrach
770,krank::A,haige,tinn
771,krank::A,haige,breoite
772,nackt::A,alasti,nocht
773,traurig::A,kurb,brónach
774,lebendig::A,elus,beo
775,gut::A,hea,maith
776,schlecht::A,halb,dona
777,schlecht::A,halb,droch-
778,richtig::A,õige,ceart
779,schlimm::A,paha,gránna
780,schlimm::A,paha,tubaisteach
781,wahr::A,tõene,fíor
782,alt::A,vana,sean
783,neu::A,uus,úr
784,neu::A,uus,nua
785,ehemalig::A,endine,iar-
786,ehemalig::A,endine,sean-
787,alt[Lebewesen]::A,vana,sean
788,alt[Lebewesen]::A,vana,aosta
789,jung::A,noor,óg
790,arm::A,vaene,bocht
791,reich::A,rikas,saibhir
792,reich::A,rikas,rachmasach
793,bekannt::A,teada,atá eolas air
794,bekannt::A,tuttav,atá eolas air
795,berühmt::A,tuntud,cailiúil
796,berühmt::A,tuntud,clúiteach
797,fremd::A,võõras,coimhthíoch
798,verschieden::A,erinev,éagsúil
799,verschieden::A,erinev,difriúil
800,nah::A,lähedane,gar
801,nah::A,lähedane,deas
802,fern::A,kauge,i bhfad uainn
803,fern::A,kauge,i bhfad i gcéin
804,linker::A,vasak,clé
805,rechter::A,parem,deas
806,anderer::A,muu,eile
807,anderer::A,teine,eile
808,erster::A,esimene,céad
809,zweiter::A,teine,dóú
810,zweiter::A,teine,dara
811,dritter::A,kolmas,tríú
812,dritter::A,kolmas,treas
813,letzter::A,viimane,déanach
814,letzter::A,viimane,deireanach
815,allein::ADV,üksi,i d'aonar
816,auf einmal::ADV,korraga,ag an am céanna
817,auf einmal::ADV,ühekorraga,ag an am céanna
818,zusammen::ADV,koos,le chéile
819,zusammen::ADV,koos,in eineacht
820,zusammen::ADV,üheskoos,le chéile
821,zusammen::ADV,üheskoos,in eineacht
822,lange::ADV,kaua,fada
823,plötzlich::ADV,äkki,go tobann
824,plötzlich::ADV,äkki,i dtobainne
825,plötzlich::ADV,järsku,go tobann
826,plötzlich::ADV,järsku,i dtobainne
827,sofort::ADV,kohe,ar an toirt
828,sofort::ADV,kohe,ar an bpointe
829,später::ADV,hiljem,níos déanaí
