,Concept_ID,ba,hr
59,Träne::N,күҙ иәше,suza
60,Geschmack::N,тәм,ukus
61,Geruch::N,еҫ,njuh
62,Geruch::N,еҫ,miris
63,Schlaf::N,йоҡлау,san
64,Traum::N,төш,san
65,Himmel::N,күк,nebo
66,Sonne::N,ҡояш,sunce
67,Mond::N,ай,mjesec
68,Stern::N,йондоҙ,zvijezda
69,Luft::N,һауа,zrak
70,Wind::N,ел,vjetar
71,Welle::N,тулҡын,val
72,Welle::N,тулҡын,talas
73,Wasser::N,һыу,voda
74,Stein::N,таш,kamen
75,Boden::N,тупраҡ,tlo
76,Boden::N,тупраҡ,zemlja
77,Erde::N,балсҡ,zemlja
78,Staub::N,туҙан,prah
79,Staub::N,туҙан,prašina
80,Rauch::N,төтөн,dim
81,Funke::N,осҡон,iskra
82,Funke::N,осҡон,varnica
83,Feuer::N,ут,vatra
84,Licht::N,яҡтылыҡ,svjetlo
85,Schatten::N,күләгә,hlad
86,Schatten::N,күләгә,sjena
87,Wetter::N,һауа торошо,vrijeme
88,Nebel::N,төман,magla
89,Wolke::N,болот,oblak
90,Regen::N,ямғыр,kiša
91,Schnee::N,ҡар,snijeg
92,Eis::N,боҙ,led
93,Frost::N,һалҡын,mraz
94,Kälte::N,һыуыҡ,studen
95,Kälte::N,һыуыҡ,hladnoća
96,Hitze::N,томра,vrućina
97,Hitze::N,эҫелек,vrućina
98,Raureif::N,ҡырау,inje
99,Regenbogen::N,йәйғор,duga
100,Donner::N,күк күкрәү,grom
101,Donner::N,күк күкрәү,grmljavina
102,Strömung::N,ағым,struja
103,Strömung::N,ағым,strujanje
104,Tropfen::N,тамсы,kap
105,Tropfen::N,тамсы,kaplja
106,Schaum::N,күбек,pjena
107,Schmutz::N,батҡаҡ,nečistoća
108,Schmutz::N,батҡаҡ,prljavština
109,See::N,күл,jezero
110,Sumpf::N,һаҙлык,bara
111,Moor::N,һаҙ,močvara
112,Wiese::N,болон,livada
113,Wald::N,урман,šuma
114,Hügel::N,түбә,brijeg
115,Hügel::N,түбә,brežuljak
116,Anhöhe::N,түбә,uzvišica
117,Anhöhe::N,ҡалҡыулыҡ,uzvišica
118,Berg::N,тау,brdo
119,Gipfel::N,түбә,vrh
120,Höhle::N,мәмерйә,pećina
121,Höhle::N,мәмерйә,spilja
122,Abhang::N,ипкен,obronak
123,Abhang::N,ипкен,nizbrdica
124,Quelle::N,шишмә,izvor
125,Quelle::N,шишмә,vrelo
126,Bach::N,шишмә,potok
127,Fluss::N,йылға,rijeka
128,Ufer::N,яр,obala
129,Küste::N,яр буйы,obala
130,Küste::N,яр буйы,morska obala
131,Festland::N,ҡоро ер,kopno
132,Meer::N,диңгез,more
133,Bucht::N,бухта,zaliv
134,Insel::N,үтрау,ada
135,Insel::N,үтрау,otok
136,Blume::N,сәскә,cvijet
137,Gras::N,үлән,trava
138,Wurzel::N,тамыр,korijen
139,Baum::N,ағас,drvo
140,Baum::N,ағас,stablo
141,Stamm::N,олон,deblo
142,Stamm::N,олон,stablo
143,Stamm::N,көбәк,deblo
144,Stamm::N,көбәк,stablo
145,Rinde::N,ҡабыҡ,kora
146,Ast::N,ботаҡ,grana
147,Zweig::N,ботаҡ,grana
148,Zweig::N,тармаҡ,grana
149,Blatt::N,япраҡ,list
150,Birke::N,ҡайын,breza
151,Kiefer[Baum]::N,ҡарғай,bor
152,Weide[Baum]::N,тал,iva
153,Weide[Baum]::N,тал,vŕba
154,Tanne::N,шыршы,jela
155,Horn::N,мөғөҙ,rog
156,Feder::N,ҡауырһын,pero
157,Fell::N,тире,koža
158,Flügel::N,ҡанат,krilo
159,Klaue::N,тырнаҡ,papak
160,Kralle::N,аяҡ,pandža
161,Schwanz::N,ҡойроҡ,rep
162,Ei::N,йомортҡа,jaje
163,Nest::N,оя,gnijezdo
164,Bau::N,оң,jazbina
165,Tier::N,жайуан,životinja
166,Tier::N,йыртҡыс,životinja
167,Herde::N,көтөү,krdo
168,Herde::N,көтөү,stado
169,Kuh::N,һыйыр,krava
170,Bulle::N,үгеҙ,bik
171,Pferd::N,ат,konj
172,Schaf::N,һарыҡ,ovca
173,Schwein::N,сусҡа,svinja
174,Hund::N,эт,pas
175,Hund::N,эт,pseto
176,Katze::N,бесәй,mačka
177,Bär::N,айыу,medvjed
178,Eichhörnchen::N,тейен,vjeverica
179,Elch::N,мышы,los
180,Fuchs::N,төлкө,lisica
181,Hase::N,ҡуян,zec
182,Maus::N,сысҡан,miš
183,Wolf::N,бүре,vuk
184,Wolf::N,бүре,kurjak
185,Vogel::N,ҡош,ptica
186,Schwarm::N,көтөү,roj
187,Schwarm::N,көтөү,jato
188,Huhn::N,тауыҡ,kokoš
189,Hahn::N,әтәс,kokot
190,Hahn::N,әтәс,pijevac
191,Gans::N,ҡаҙ,guska
192,Adler::N,бөркөт,orao
193,Ente::N,өйрәк,patka
194,Eule::N,өкө,sova
195,Eule::N,ябалаҡ,sova
196,Kranich::N,торна,ždral
197,Krähe::N,ҡарға,vrana
198,Kuckuck::N,кәкүк,kukavica
199,Schwan::N,аҡҡош,labud
200,Fisch::N,балыҡ,riba
201,Barsch::N,алабуға,grgeč
202,Hecht::N,суртан,štuka
203,Schlange[Tier]::N,йылан,guja
204,Schlange[Tier]::N,йылан,zmija
205,Wurm::N,селяүсен,crv
206,Spinne::N,үрмәксе,pauk
207,Ameise::N,ҡырмыҫҡа,mrav
208,Laus::N,бет,uš
209,Mücke::N,серәкәй,komarac
210,Fliege::N,себен,muha
211,Schmetterling::N,күбәләк,leptir
212,Beere::N,еләк,boba
213,Beere::N,еләк,bobica
214,Apfel::N,алма,jabuka
215,Pilz::N,бәшмәк,pečurka
216,Zwiebel::N,һуган,luk
217,Zwiebel::N,һуган,kapula
218,Saat::N,орлоҡ,sjemenje
219,Korn::N,иген,zrno
220,Heu::N,бесән,sijeno
221,Schale::N,ҡабыҡ,kora
222,Schale::N,ҡабыҡ,ljuska
223,Grube::N,соҡор,jama
224,Falle::N,тоҙак,zamka
225,Falle::N,тоҙак,klopka
226,Falle::N,ҡапҡан,zamka
227,Falle::N,ҡапҡан,klopka
228,Schlinge::N,тоҙак,uzao
229,Schlinge::N,тоҙак,petlja
230,Spur::N,әҫер,trag
231,Spur::N,әҫер,slijed
232,Asche::N,көл,pepeo
233,Dreck::N,батҡаҡ,blato
234,Eisen::N,тимер,željezo
235,Gold::N,алтын,zlato
236,Silber::N,көмөш,srebro
237,Kohle::N,күмер,ugalj
238,Kohle::N,күмер,ugljen
239,Glas::N,быяла,staklo
240,Lehm::N,балсыҡ,glina
241,Lehm::N,балсыҡ,ilovača
242,Sand::N,ҡом,pijesak
243,Mensch::N,кеше,čovjek
244,Mann::N,ир,muškarac
245,Frau::N,ҡатын,žena
246,Kind::N,бала,čedo
247,Kind::N,бала,dijete
248,Junge::N,малай,momče
249,Junge::N,малай,dječak
250,Mädchen::N,ҡыҙ,djevojka
251,Mädchen::N,ҡыҙ,djevojčica
252,Mädchen::N,ҡыҙыҡай,djevojka
253,Mädchen::N,ҡыҙыҡай,djevojčica
254,Familie::N,ғаилә,obitelj
255,Familie::N,ғаилә,porodica
256,Großvater::N,олатай,djed
257,Großmutter::N,әбәй,baka
258,Eltern::N,ата-әсә,roditelji
259,Vater::N,атай,otac
260,Mutter::N,әсә,majka
261,Sohn::N,ул,sin
262,Tochter::N,ҡыҙ,kći
263,Tochter::N,ҡыҙ,kćerka
264,Bruder::N,агай,brat
265,Schwester::N,алай,sestra
266,Schwester::N,һеңле,sestra
267,Onkel::N,ағай,čika
268,Onkel::N,ағай,ujak
269,Tante::N,апай,ujna
270,Tante::N,апай,tetka
271,Ehemann::N,ир,muž
272,Ehemann::N,ир,suprug
273,Ehefrau::N,ҡатын,žena
274,Ehefrau::N,ҡатын,supruga
275,Freude::N,шатлыҡ,radost
276,Freude::N,ҡыуаныс,radost
277,Gelächter::N,көлөү,grohot
278,Glück::N,бәхет,sreća
279,Kummer::N,ҡайғы,jad
280,Kummer::N,ҡайғы,briga
281,Wunsch::N,теләк,želja
282,Lust::N,әүәҫлек,volja
283,Geist::N,аң,duh
284,Geist::N,рух,duh
285,Gedanke::N,уй,misao
286,Gedanke::N,фекер,misao
287,Gedächtnis::N,хәтер,pamćenje
288,Verstand::N,аҡыл,um
289,Verstand::N,аҡыл,razum
290,Sinn::N,мәғәня,smisao
291,Sinn::N,мәғәня,značenje
292,Grund::N,сәбәп,razlog
293,Wahrheit::N,дөрөҫлөк,istina
294,Gespräch::N,әңгәмә,razgovor
295,Märchen::N,әкиәт,bajka
296,Erzählung::N,хикәйә,priča
297,Erzählung::N,хикәйә,pripovijest
298,Nachricht::N,хәбәр,vijest
299,Neuigkeit::N,яңылыҡ,novost
300,Name::N,исем,ime
301,Rätsel::N,йомаҡ,zagonetka
302,Rede::N,телмәр,govor
303,Rede::N,телмәр,besjeda
304,Sprache::N,тел,jezik
305,Sprache::N,телмәр,jezik
306,Stimme::N,тауыш,glas
307,Wort::N,һүҙ,riječ
308,Zeichen::N,билдә,znak
309,Ruf::N,саҡырыу,povik
310,Ruf::N,саҡырыу,poklik
311,Lärm::N,шаулау,buka
312,Lärm::N,шаулау,galama
313,Laut::N,тауыш,zvuk
314,Ton::N,яңғырау,ton
315,Lied::N,йыр,pjesma
316,Ruhe::N,ял,tišina
317,Ruhe::N,ял,počinak
318,Ruhe::N,тыныслыҡ,tišina
319,Ruhe::N,тыныслыҡ,počinak
320,Leute::N,кешеләр,ljudi
321,Volk::N,халҡ,puk
322,Volk::N,халҡ,narod
323,Arbeit::N,эш,rad
324,Arbeit::N,эш,posao
325,Gast::N,ҡунаҡ,gost
326,Geschenk::N,бүләк,dar
327,Geschenk::N,бүләк,poklon
328,Spiel::N,уйын,igra
329,Gesellschaft::N,йәмғиәт,društvo
330,Gesellschaft::N,йәмғиәт,kompanija
331,Hilfe::N,ярҙам,pomoć
332,Freund::N,дуҫ,prijatelj
333,Kamerad::N,иптәш,drug
334,Kamerad::N,иптәш,drugar
335,Angelegenheit::N,әш,posao
336,Anzahl::N,һан,broj
337,Anzahl::N,һан,brojnost
338,Art::N,төр,vid
339,Art::N,төр,vrst
340,Stück::N,киҫәк,komad
341,Teil::N,өлөш,dio
342,Hälfte::N,ярты,polovina
343,Kreis::N,түңәрәк,krug
344,Kreuz::N,тәре,križ
345,Linie::N,һыҙыҡ,crta
346,Strich::N,һыҙат,crta
347,Abstand::N,ара,razmak
348,Abstand::N,ара,odstojanje
349,Entfernung::N,алыҫлыҡ,udaljenost
350,Gegend::N,урын,kraj
351,Gegend::N,урын,predeo
352,Platz::N,арауыҡ,mjesto
353,Ort::N,ерҙәр,mjesto
354,Ort::N,урындар,mjesto
355,Ort::N,эш урыны,mjesto
356,Seite::N,яҡ,bok
357,Seite::N,яҡ,strana
358,Mitte::N,урталыҡ,sredina
359,Gegenstand::N,нәмә,predmet
360,Sache::N,нәмә,posao
361,Sache::N,әйбер,posao
362,Rand::N,сит,rub
363,Rand::N,сит,kraj
364,Kante::N,ҡабырға,brid
365,Kante::N,ҡабырға,ivica
366,Kante::N,ян,brid
367,Kante::N,ян,ivica
368,Ecke::N,мөйөш,ugao
369,Spitze::N,ос,vrh
370,Spitze::N,ос,šiljak
371,Ende::N,аҙаҡ,konac
372,Loch::N,тишек,rupa
373,Winkel::N,мөйөш,kut
374,Winkel::N,мөйөш,ugao
375,Muster::N,биҙәк,uzor
376,Größe::N,ҙурлыҡ,veličina
377,Länge::N,оҙонлоҡ,duljina
378,Höhe::N,бейеклек,visina
379,Gewicht::N,үлсәү,težina
380,Menge::N,һан,mnoštvo
381,Menge::N,һан,količina
382,Haufen::N,өйөм,hrpa
383,Haufen::N,өйөм,gomila
384,Reihe::N,рәт,red
385,Boot::N,кәмә,čun
386,Boot::N,кәмә,čamac
387,Ruder::N,ишкәк,veslo
388,Schlitten::N,сана,saone
389,Ski::N,саңгы,ski
390,Ski::N,саңгы,smučka
391,Lagerfeuer::N,костер,logorska vatra
392,Last::N,ауырлыҡ,tovar
393,Gang::N,барыу,hod
394,Schritt::N,аҙым,korak
395,Norden::N,төньяҡ,sjever
396,Süden::N,көньяҡ,jug
397,Westen::N,көнбайыш,zapad
398,Osten::N,көнсығыш,istok
399,Holz::N,үағас,drvo
400,Brett::N,таҡта,daska
401,Platte::N,плита,ploča
402,Stütze::N,терәк,potpora
403,Stange::N,кәртә,motka
404,Stock::N,таяҡ,štap
405,Stock::N,таяҡ,palica
406,Stab::N,ҡолға,štap
407,Stab::N,ҡолға,šipka
408,Rohr::N,торба,cijev
409,Haus::N,өй,kuća
410,Haus::N,йорт,kuća
411,Heim::N,өй,dom
412,Ofen::N,мейес,peć
413,Fußboden::N,енес,pod
414,Tisch::N,өҫтәл,stol
415,Tisch::N,өҫтәл,trpeza
416,Stuhl::N,ултырғыс,stolac
417,Stuhl::N,ултырғыс,stolica
418,Wiege::N,бишек,kolijevka
419,Bett::N,карауат,krevet
420,Bett::N,карауат,postelja
421,Regal::N,кәштә,polica
422,Kiste::N,йәшинк,sanduk
423,Fenster::N,тәҙрә,prozor
424,Tür::N,ишек,vrata
425,Tor::N,ҡапҡа,vrata
426,Tor::N,ҡапҡа,kapija
427,Zaun::N,ҡойма,plot
428,Zaun::N,ҡойма,ograda
429,Dach::N,түбә,krov
430,Dach::N,ҡыйыҡ,krov
431,Leiter::N,баҫҡыс,ljestve
432,Leiter::N,баҫҡыс,ljestvice
433,Besen::N,һепертке,metla
434,Spaten::N,көрәк,ašov
435,Schaufel::N,көрәк,lopata
436,Gabel::N,сәнске,viljuška
437,Löffel::N,ҡалаҡ,žlica
438,Messer::N,бысаҡ,nož
439,Nagel::N,сөй,čavao
440,Netz::N,ау,mreža
441,Haken::N,ыргаҡ,kuka
442,Griff::N,тотҡа,držak
443,Griff::N,тотҡа,ručica
444,Schloss::N,йоҙаҡ,brava
445,Bild::N,картина,slika
446,Figur::N,һын,figura
447,Puppe::N,ҡурсаҡ,lutka
448,Beutel::N,тоҡ,kesa
449,Bündel::N,төргәк,snop
450,Bündel::N,төргәк,svežanj
451,Tasche::N,сумка,torba
452,Tasche::N,сумка,taška
453,Eimer::N,биҙрә,kabao
454,Deckel::N,ҡапҡас,poklopac
455,Geschirr::N,һауыт-һаба,suđe
456,Geschirr::N,һауыт-һаба,posuđe
457,Sack::N,тоҡ,džak
458,Sack::N,тоҡ,vreća
459,Tasse::N,сынаяҡ,šalica
460,Topf::N,кәстрүл,lonac
461,Kessel::N,ҡаҙан,kazan
462,Essen::N,ашау,obrok
463,Nahrung::N,аҙыҡ,hrana
464,Speise::N,аш,jelo
465,Fleisch::N,ит,meso
466,Getreide::N,иген,žito
467,Getreide::N,иген,žitarice
468,Getreide::N,ашлыҡ,žito
469,Getreide::N,ашлыҡ,žitarice
470,Brei::N,бутҡа,kaša
471,Brot::N,икмәк,kruh
472,Scheibe::N,телем,kriška
473,Fett::N,май,mast
474,Fett::N,май,salo
475,Butter::N,май,buter
476,Butter::N,май,maslac
477,Öl::N,май буяуы,ulje
478,Salz::N,тоҙ,sol
479,Suppe::N,һурпа,supa
480,Honig::N,бал,med
481,Milch::N,һөт,mlijeko
482,Tee::N,сәй,čaj
483,Leder::N,күн,koža
484,Wolle::N,йөн,vuna
485,Stoff::N,туҡыма,štof
486,Stoff::N,туҡыма,tkanina
487,Nadel::N,энә,igla
488,Faden::N,еп,nit
489,Faden::N,еп,konac
490,Knopf::N,төймә,dugme
491,Knoten::N,төйөн,čvor
492,Knoten::N,төйөн,uzao
493,Farbe::N,буяу,farba
494,Kleidung::N,кейем,odjeća
495,Hemd::N,күлдәк,košulja
496,Kragen::N,яға,ovratnik
497,Ärmel::N,ең,rukav
498,Hose::N,салбар,hlače
499,Gürtel::N,ҡайыш,pas
500,Gürtel::N,ҡайыш,pojas
501,Mütze::N,бүрк,kapa
502,Schuh::N,туфли,cipela
503,Stiefel::N,итек,čizma
504,Ring::N,йөҙөк,prsten
505,Ring::N,балдаҡ,prsten
506,Band::N,таҫма,vrpca
507,Kamm::N,тараҡ,češalj
508,Spiegel::N,көзгө,zrcalo
509,Spiegel::N,көзгө,ogledalo
510,Riemen::N,ҡайыш,kaiš
511,Riemen::N,ҡайыш,remen
512,Schnur::N,бау,vrpca
513,Leine::N,бау,uzica
514,Decke::N,одеяд,ćebe
515,Decke::N,одеяд,pokrivač
516,Kissen::N,мендәр,jastuk
517,Tuch::N,яулыҡ,rubac
518,Tuch::N,яулыҡ,marama
519,Handtuch::N,таҫтамал,ručnik
520,Kraft::N,көс,snaga
521,Stärke::N,көс,jakost
522,Gesundheit::N,һаулыҡ,zdravlje
523,Krankheit::N,сир,bolest
524,Krankheit::N,ауырыу,bolest
525,Schmerz::N,һыҙлау,bol
526,Schmerz::N,әрнеү,bol
527,Wunde::N,йәрәхәт,rana
528,Fieber::N,тапма,groznica
529,Fieber::N,биҙгәк,groznica
530,Arznei::N,дарыу,lijek
531,Brücke::N,күпер,most
532,Brücke::N,күпер,ćuprija
533,Brunnen::N,ҡоҙоҡ,bunar
534,Brunnen::N,ҡоҙоҡ,zdenac
535,Weide::N,көтөүлек,paša
536,Weide::N,көтөүлек,pašnjak
537,Pfad::N,һуҡмаҡ,staza
538,Weg::N,юл,put
539,Straße::N,урам,drum
540,Straße::N,урам,cesta
541,Dorf::N,ауыл,selo
542,Stadt::N,ҡала,grad
543,Stadt::N,ҡала,varoš
544,Brief::N,хат,list
545,Brief::N,хат,pismo
546,Buch::N,китап,knjiga
547,Buch::N,кенәгә,knjiga
548,Buchstabe::N,хәреф,slovo
549,Zeitung::N,гәзит,novine
550,Leben::N,йәшәү,život
551,Tod::N,үлем,smrt
552,Grab::N,ҡәбер,raka
553,Kirche::N,сиркәү,crkva
554,Sünde::N,гөнаһ,grijeh
555,Gott::N,алла,bog
556,Gott::N,хоҙай,bog
557,Arbeiter::N,эшсе,radnik
558,Chef::N,башлыҡ,šef
559,Meister::N,оҫта,majstor
560,Arzt::N,врач,liječnik
561,Lehrer::N,уҡытыусы,učitelj
562,Geld::N,аҡса,novac
563,Geschäft::N,эш,posao
564,Geschäft::N,эш,trgovina
565,Laden::N,магазин,dućan
566,Preis::N,хаҡ,cijena
567,Ware::N,тауар,roba
568,Nutzen::N,файҙа,korist
569,Reichtum::N,байлыҡ,bogatstvo
570,Welt::N,донъя,svijet
571,Land::N,ил,zemlja
572,Staat::N,дәүләт,država
573,König::N,король,kralj
574,Macht::N,власть,moć
575,Macht::N,власть,vlast
576,Grenze::N,сик,granica
577,Krieg::N,һуғыш,rat
578,Feind::N,йылан,neprijatelj
579,Gewalt::N,көслөк,sila
580,Gewalt::N,көслөк,nasilje
581,Kampf::N,көрәш,boj
582,Kampf::N,көрәш,borba
583,Bogen[Waffe]::N,йәйә,luk
584,Pfeil::N,уҡ,strijela
585,Gewehr::N,мылтыҡ,puška
586,Fehler::N,хата,pogreška
587,Fehler::N,хата,griješka
588,Lüge::N,ялған,laž
589,Schaden::N,зыян,šteta
590,Schaden::N,зарар,šteta
591,Unglück::N,ҡаза,nesreća
592,Schuld::N,ғәйеп,krivnja
593,Alter::N,йәш,dob
594,Schluss::N,һуң,kraj
595,Schluss::N,һуң,konac
596,Schluss::N,аҙаҡ,kraj
597,Schluss::N,аҙаҡ,konac
598,Zeit::N,мәл,doba
599,Zeit::N,мәл,vrijeme
600,Zeit::N,заман,doba
601,Zeit::N,заман,vrijeme
602,Tag::N,көн,dan
603,Morgen::N,иртә,jutro
604,Morgen::N,иртәнсәк,jutro
605,Mittag::N,төш,podne
606,Abend::N,кис,veče
607,Abend::N,кис,večer
608,Nacht::N,төн,noć
609,Woche::N,аҙна,sedmica
610,Monat::N,ай,mjesec
611,Jahr::N,йыл,godina
612,Frühling::N,яҙ,proljeće
613,Sommer::N,йәй,ljeto
614,Herbst::N,көз,jesen
615,Winter::N,ҡыш,zima
616,Januar::N,ғинуар,januar
617,Januar::N,ғинуар,siječanj
618,Februar::N,февраль,veljača
619,Februar::N,февраль,februar
620,März::N,март,mart
621,März::N,март,ožujak
622,April::N,апрель,april
623,April::N,апрель,travanj
624,Mai::N,май,maj
625,Mai::N,май,svibanj
626,Juni::N,июнь,juni
627,Juni::N,июнь,lipanj
628,Juli::N,июль,juli
629,Juli::N,июль,srpanj
630,August::N,август,august
631,August::N,август,kolovoz
632,September::N,сентябрь,rujan
633,September::N,сентябрь,septembar
634,Oktober::N,октябрь,oktobar
635,Oktober::N,октябрь,listopad
636,November::N,ноябрь,studeni
637,November::N,ноябрь,novembar
638,Dezember::N,декабрь,prosinac
639,Montag::N,дүшәмбе,ponedjeljak
640,Montag::N,дүшәмбе,ponedjeljnik
641,Dienstag::N,шишәмбе,utorak
642,Dienstag::N,шишәмбе,utornik
643,Mittwoch::N,шаршамбы,srijeda
644,Donnerstag::N,кесаҙна,četvrtak
645,Freitag::N,йома,petak
646,Samstag::N,шәмбе,subota
647,Sonntag::N,йәкшәмбе,nedjelja
648,groß::A,ҙур,velik
649,klein::A,бәләкәс,mali
650,klein::A,бәләкәс,malen
651,lang::A,оҙон,dug
652,lang::A,оҙон,dugačak
653,kurz::A,ҡыҫҡа,kratak
654,breit::A,киң,širok
655,schmal::A,тар,uski
656,schmal::A,тар,uzak
657,dicht::A,йыш,gust
658,dicht::A,ҡуйы,gust
659,dick[Gegenstand]::A,ҡалын,debeo
660,dünn::A,йоҡа,tanak
661,dünn::A,нәҙек,tanak
662,fein::A,нескә,fin
663,fein::A,нескә,tanak
664,fest::A,ныҡ,čvrst
665,flach::A,яҫы,ravan
666,flach::A,яҫы,plosnat
667,flach::A,ялпаҡ,ravan
668,flach::A,ялпаҡ,plosnat
669,glatt::A,шыма,gladak
670,hart::A,ҡаты,tvrd
671,weich::A,йомшаҡ,mek
672,weich::A,йомшаҡ,mekan
673,rund::A,түңәрәк,okrugao
674,spitz::A,осло түбәле,oštar
675,spitz::A,осло түбәле,šiljast
676,scharf::A,үткер,oštar
677,scharf::A,үткер,bridak
678,stumpf::A,утмәҫ,tup
679,schwer::A,ауыр,težak
680,schön::A,матур,krasan
681,heiß::A,эҫе,vruć
682,warm::A,йылы,topao
683,kalt::A,һыуыҡ,hladan
684,kühl::A,һалҡынса,hladan
685,frisch::A,һалҡынса,svjež
686,feucht::A,еүеш,vlažan
687,feucht::A,дымлы,vlažan
688,nass::A,еүеш,mokar
689,trocken::A,кипкән,suh
690,voll::A,тулы,pun
691,leer::A,буш,prazan
692,offen::A,асыҡ,otvoren
693,geschlossen::A,ябыҡ,zatvoren
694,sauber::A,таҙа,čist
695,schmutzig::A,бысраҡ,nečist
696,schmutzig::A,бысраҡ,blatan
697,roh::A,сей,sirov
698,reif::A,өлгөрғән,zreo
699,lecker::A,тәмле,tečan
700,lecker::A,тәмле,ukusan
701,süß::A,тямле,sladak
702,süß::A,тәм-том,sladak
703,bitter::A,әсе,gorak
704,sauer::A,әсе,kiseo
705,hell::A,яҡты,vedar
706,hell::A,яҡты,svijetao
707,dunkel::A,ҡараңғы,taman
708,schwarz::A,ҡара,crn
709,weiß::A,аҡ,bio
710,weiß::A,аҡ,bijel
711,rot::A,матур,crven
712,rot::A,һылыу,crven
713,rot::A,сибәр,crven
714,gelb::A,һары,žut
715,blau::A,күк,plav
716,blau::A,күк,modar
717,grün::A,йәшел,zelen
718,grau::A,буҙ,siv
719,bunt::A,сыбар,šaren
720,bunt::A,ала-ҡола,šaren
721,billig::A,арзан,jeftin
722,teuer::A,ҡыйбатлы,skup
723,wertvoll::A,ҡиммәтле,vrijedan
724,wertvoll::A,ҡиммәтле,dragocjen
725,blind::A,һуҡыр,slijep
726,taub::A,һаңғырау,gluh
727,kräftig::A,көслө,snažan
728,kräftig::A,ҡеүәтле,snažan
729,stark::A,көслө,jak
730,stark::A,көслө,snažan
731,stark::A,ҡеүәтле,jak
732,stark::A,ҡеүәтле,snažan
733,schwach::A,көсһөҙ,slab
734,fett::A,һимеҙ,pretio
735,schlank::A,зифа,vitak
736,hübsch::A,матур,zgodan
737,böse::A,асыулы,zao
738,böse::A,асыулы,opak
739,dumm::A,иҫәр,glup
740,faul::A,иренсәк,lijen
741,fleißig::A,тырыш,radin
742,fleißig::A,тырыш,marljiv
743,geizig::A,һаран,škrt
744,klug::A,аҡыллы,razborit
745,geschickt::A,оҫта,vješt
746,lieb::A,яғымлы,drag
747,lustig::A,күңелле,veseo
748,sanft::A,йыуаш,blag
749,hungrig::A,ас,gladan
750,krank::A,сирле,bolestan
751,krank::A,ауырыу,bolestan
752,nackt::A,яланғас,nag
753,traurig::A,яманһыу,tužan
754,traurig::A,яманһыу,žalostan
755,lebendig::A,тере,živ
756,lebendig::A,йәнле,živ
757,gut::A,яҡшы,dobar
758,schlecht::A,хөрт,loš
759,schlecht::A,хөрт,rđav
760,schlecht::A,алама,loš
761,schlecht::A,алама,rđav
762,richtig::A,дөрөҫ,tačan
763,richtig::A,дөрөҫ,ispravan
764,schlimm::A,хөрт,zao
765,schlimm::A,хөрт,zločest
766,schlimm::A,алама,zao
767,schlimm::A,алама,zločest
768,wahr::A,дөрөҫ,istinit
769,alt::A,иҫке,star
770,alt::A,боронғо,star
771,neu::A,яңы,nov
772,ehemalig::A,элекке,bivši
773,alt[Lebewesen]::A,ҡарт,star
774,jung::A,йәш,mlad
775,arm::A,фәҡир,ubog
776,arm::A,фәҡир,siromašan
777,reich::A,бай,bogat
778,bekannt::A,таныш,poznat
779,berühmt::A,атаҡлы,čuven
780,berühmt::A,атаҡлы,slavan
781,berühmt::A,данлыҡлы,čuven
