,Concept_ID,ml,uk
121,Ast::N,ശാഖ,гілка
122,Zweig::N,ശാഖ,галузь
123,Blatt::N,ഇല,лист
124,Birke::N,പൂവരശ്,береза
125,Kiefer[Baum]::N,പൈൻമരം,сосна
126,Weide[Baum]::N,വില്ലോ,верба
127,Tanne::N,ദേവദാരു,ялиця
128,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,ріг
129,Feder::N,തൂവൽ,перо
130,Fell::N,മൃദുരോമം,хутро
131,Flügel::N,ചിറക്,крило
132,Klaue::N,നഖം,кіготь
133,Kralle::N,നഖം,лапа
134,Schwanz::N,വാൽ,хвіст
135,Ei::N,മുട്ട,яйце
136,Nest::N,കൂട്,гніздо
137,Bau::N,മാളം,лігво
138,Tier::N,മൃഗം,тварина
139,Herde::N,കൂട്ടം,стадо
140,Kuh::N,പശു,корова
141,Bulle::N,കാള,бик
142,Bulle::N,കാള,бугай
143,Pferd::N,കുതിര,кінь
144,Schaf::N,ആട്,вівця
145,Schwein::N,പന്നി,свиня
146,Hund::N,നായ്,собака
147,Katze::N,പൂച്ച,кішка
148,Bär::N,കരടി,ведмідь
149,Eichhörnchen::N,അണ്ണാൻ,білка
150,Elch::N,കടമാന്,лось
151,Fuchs::N,കുറുക്കൻ,лисиця
152,Hase::N,മുയൽ,заєць
153,Maus::N,ചുണ്ടലി,миша
154,Wolf::N,ചെന്നായ,вовк
155,Vogel::N,പക്ഷി,птах
156,Schwarm::N,കൂട്ടം,зграя
157,Huhn::N,കോഴി,курка
158,Hahn::N,പൂവൻകോഴി,півень
159,Gans::N,അരയന്നം,гуска
160,Adler::N,കഴുകൻ,орел
161,Ente::N,താറാവ്,качка
162,Eule::N,മൂങ്ങ,сова
163,Kranich::N,കൊക്ക്,журавель
164,Krähe::N,കാക്ക,ворона
165,Kuckuck::N,കുയിൽ,зозуля
166,Schwan::N,അരയന്നം,лебідь
167,Fisch::N,മത്സ്യം,риба
168,Barsch::N,ഒരിനം മത്സ്യം,окунь
169,Hecht::N,ഒരു മത്സ്യം,щука
170,Schlange[Tier]::N,പാമ്പ്,змія
171,Wurm::N,വിര,черв’як
172,Spinne::N,ചിലന്തി,павук
173,Ameise::N,ഉറുമ്പ്,мурашка
174,Laus::N,പേന്,воша
175,Mücke::N,മശകം,комар
176,Fliege::N,ഈച്ച,муха
177,Schmetterling::N,ചിത്രശലഭം,метелик
178,Beere::N,ബെറി,ягода
179,Apfel::N,ആപ്പിൾ,яблуко
180,Pilz::N,കൂൺ,гриб
181,Zwiebel::N,സവാള,цибуля
182,Saat::N,വിത്ത്,сім’я
183,Korn::N,ധാന്യം,зерно
184,Heu::N,വയ്ക്കോൽ,сіно
185,Schale::N,തൊലി,шкірка
186,Grube::N,കുഴി,яма
187,Falle::N,കെണി,пастка
188,Schlinge::N,കുടുക്ക്,петля
189,Spur::N,ചുവട്,слід
190,Asche::N,ചാരം,зола
191,Asche::N,ചാരം,попіл
192,Dreck::N,അഴുക്ക്,бруд
193,Eisen::N,ഇരുമ്പ്,залізо
194,Gold::N,സ്വർണ്ണം,золото
195,Silber::N,വെള്ളി,срібло
196,Kohle::N,കൽക്കരി,вугілля
197,Glas::N,ഗ്ലാസ്,скло
198,Lehm::N,കളിമണ്ണ്,глина
199,Sand::N,മണൽ,пісок
200,Mensch::N,മനുഷ്യർ,людина
201,Mann::N,പുരുഷൻ,чоловік
202,Frau::N,സ്ത്രീ,жінка
203,Kind::N,കുഞ്ഞ്,дитина
204,Junge::N,ആൺകുട്ടി,хлопець
205,Mädchen::N,പെൺകുട്ടി,дівчина
206,Familie::N,കുടുംബം,сім’я
207,Familie::N,കുടുംബം,родина
208,Großvater::N,അപ്പൂപ്പൻ,дідусь
209,Großmutter::N,അമ്മുമ്മ,бабуся
210,Eltern::N,മാതാപിതാക്കള്,батьки
211,Vater::N,അച്ഛൻ,батько
212,Mutter::N,അമ്മ,мати
213,Sohn::N,മകൻ,син
214,Tochter::N,മകൾ,дочка
215,Bruder::N,ചേട്ടൻ,брат
216,Bruder::N,അനിയൻ,брат
217,Schwester::N,ചേച്ചി,сестра
218,Schwester::N,അനിയത്തി,сестра
219,Onkel::N,അമ്മാവൻ,дядько
220,Tante::N,മാമി,тітка
221,Ehemann::N,ഭർത്താവ്,чоловік
222,Ehefrau::N,ഭാര്യ,жінка
223,Ehefrau::N,ഭാര്യ,дружина
224,Freude::N,ആഹ്ലാദം,радощі
225,Gelächter::N,ചിരിയുടെ ശബ്ദം,сміх
226,Glück::N,സന്തോഷം,щастя
227,Glück::N,സന്തുഷ്ടി,щастя
228,Kummer::N,ശോകം,горе
229,Wunsch::N,ആഗ്രഹം,бажання
230,Lust::N,ആഗ്രഹം,бажання
231,Geist::N,ചുറുചുറുക്ക്,дух
232,Gedanke::N,ചിന്ത,думка
233,Gedächtnis::N,ഓർമ്മശക്തി,пам’ять
234,Verstand::N,മനസ്സ്,розум
235,Sinn::N,അർത്ഥം,зміст
236,Sinn::N,അർത്ഥം,значення
237,Grund::N,കാരണം,причина
238,Wahrheit::N,സത്യം,правда
239,Gespräch::N,സല്ലാപം,розмова
240,Märchen::N,യക്ഷിക്കഥ,байка
241,Erzählung::N,കഥ,повість
242,Erzählung::N,കഥ,оповідання
243,Nachricht::N,സന്ദേശം,повідомлення
244,Neuigkeit::N,വാർത്ത,новина
245,Name::N,പേര്,ім’я
246,Rätsel::N,പ്രഹേളിക,загадка
247,Rede::N,സംസാരം,промова
248,Sprache::N,ഭാഷ,мова
249,Stimme::N,സ്വരം,голос
250,Wort::N,വാക്ക്,слово
251,Zeichen::N,സംജ്ഞ,знак
252,Ruf::N,വിളി,оклик
253,Lärm::N,ആരവം,шум
254,Laut::N,ശബ്ദം,звук
255,Ton::N,സ്വരഭേദം,тон
256,Lied::N,പാട്ട്,пісня
257,Ruhe::N,നിശ്ചലത,спокій
258,Leute::N,ജനങ്ങൾ,люди
259,Volk::N,രാഷ്ടം,народ
260,Arbeit::N,ജോലി,робота
261,Gast::N,അതിലി,гість
262,Geschenk::N,സമ്മാനം,подарунок
263,Spiel::N,കളി,гра
264,Gesellschaft::N,കൂട്ടായ്മ,товариство
265,Hilfe::N,സഹായം,допомога
266,Freund::N,സുഹൃത്ത്,друг
267,Freund::N,സുഹൃത്ത്,приятель
268,Kamerad::N,കൂട്ടാളി,товариш
269,Angelegenheit::N,കാര്യം,справа
270,Anzahl::N,എണ്ണം,число
271,Art::N,തരം,рід
272,Stück::N,കഷണം,кусок
273,Teil::N,ഭാഗം,частина
274,Hälfte::N,പകുതി,половина
275,Kreis::N,വൃത്തം,круг
276,Kreis::N,വൃത്തം,коло
277,Kreuz::N,കുരിശടയാളം,хрест
278,Linie::N,വര,лінія
279,Linie::N,രേഖ,лінія
280,Strich::N,പക്ഷാഘാതം,штрих
281,Abstand::N,വിടവ്,проміжок
282,Entfernung::N,അകലം,відстань
283,Gegend::N,പ്രദേശം,місцевість
284,Platz::N,ഇടം,площа
285,Ort::N,സ്ഥലം,місце
286,Seite::N,വശം,сторона
287,Mitte::N,മധ്യസ്ഥാനം,середина
288,Gegenstand::N,സാധനം,предмет
289,Sache::N,വസ്തു,річ
290,Rand::N,തൊങ്ങൽ,край
291,Kante::N,അറ്റം,ребро
292,Ecke::N,മൂല,ріг
293,Spitze::N,അഗ്രം,кінчик
294,Ende::N,അവസാനം,кінець
295,Loch::N,ദ്വാരം,діра
296,Winkel::N,കോൺ,куток
297,Muster::N,ക്രമം,узор
298,Größe::N,വലുപ്പം,розмір
299,Länge::N,നീളം,довжина
300,Höhe::N,ഉയരം,висота
301,Gewicht::N,കട്ടി,вага
302,Menge::N,അളവ്,кількість
303,Haufen::N,കൂമ്പാരം,купа
304,Reihe::N,വരി,ряд
305,Boot::N,ബോട്ട്,човен
306,Ruder::N,പങ്കായം,весло
307,Schlitten::N,ഉരുളില്ലാവണ്ടി,сани
308,Ski::N,ഹിമപാദുകം,лижа
309,Lagerfeuer::N,തീ,вогнище
310,Last::N,ഭാരം,тягар
311,Last::N,ഭാരം,вантаж
312,Gang::N,നടത്തം,хід
313,Schritt::N,ചുവട്,крок
314,Norden::N,വടക്ക്,північ
315,Süden::N,തെക്ക്,південь
316,Westen::N,പടിഞ്ഞാറ്,захід
317,Osten::N,കിഴക്ക്,схід
318,Holz::N,തടി,дрова
319,Brett::N,ബോർഡ്,дошка
320,Platte::N,തകിട്,плита
321,Stütze::N,താങ്ങ്,підпірка
322,Stange::N,കമ്പ്,жердина
323,Stock::N,വടി,палиця
324,Stab::N,കുറുവടി,палиця
325,Rohr::N,കുഴൽ,труба
326,Haus::N,വീട്,дім
327,Haus::N,വീട്,хата
328,Heim::N,വീട്,житло
329,Ofen::N,സ്റ്റൌ,піч
330,Fußboden::N,തറ,підлога
331,Tisch::N,മേശ,стіл
332,Stuhl::N,കസേര,стілець
333,Wiege::N,തൊട്ടിൽ,колиска
334,Bett::N,കിടക്ക,ліжко
335,Bett::N,കിടക്ക,постіль
336,Regal::N,ഷെൽഫ്,полиця
337,Kiste::N,പെട്ടി,ящик
338,Fenster::N,ജനൽ,вікно
339,Tür::N,വാതിൽ,двері
340,Tor::N,കവാടം,ворота
341,Zaun::N,വേലി,паркан
342,Zaun::N,വേലി,огорожа
343,Dach::N,മേൽക്കുര,дах
344,Leiter::N,ഏണി,драбина
345,Besen::N,ചൂല്,мітла
346,Spaten::N,തൂമ്പ,заступ
347,Schaufel::N,തൂമ്പ,совок
348,Schaufel::N,തൂമ്പ,лопата
349,Gabel::N,മുൾക്കത്തി,виделка
350,Löffel::N,സ്പൂൺ,ложка
351,Messer::N,കത്തി,ніж
352,Nagel::N,ആണി,цвях
353,Netz::N,വല,сіть
354,Haken::N,കൊളുത്ത്,крюк
355,Griff::N,കൈപ്പിടി,ручка
356,Griff::N,കൈപ്പിടി,держак
357,Schloss::N,പൂട്ട്,замок
358,Bild::N,ചിത്രം,картина
359,Figur::N,കണക്ക്,фігура
360,Puppe::N,പാവ,лялька
361,Beutel::N,ബാഗ്,мішечок
362,Beutel::N,ബാഗ്,торбинка
363,Bündel::N,കെട്ട്,в’язка
364,Tasche::N,ബാഗ്,сумка
365,Eimer::N,ബക്കറ്റ്,відро
366,Deckel::N,ഉറ,кришка
367,Geschirr::N,പിഞ്ഞാണം,посуд
368,Sack::N,ചാക്ക്,мішок
369,Tasse::N,കപ്പ്,чашка
370,Topf::N,പാത്രം,горщик
371,Kessel::N,കെറ്റ്ല്,котел
372,Essen::N,ആഹാരസമയം,їжа
373,Nahrung::N,ഭക്ഷണം,харч
374,Speise::N,ഡിഷ്,страва
375,Fleisch::N,മാംസം,м’ясо
376,Getreide::N,ചോളം,хліб
377,Getreide::N,ചോളം,збіжжя
378,Brei::N,കഞ്ഞി,каша
379,Brot::N,റോട്ടി,хліб
380,Scheibe::N,തുണ്ട്,скибочка
381,Fett::N,കൊഴുപ്പ്,жир
382,Butter::N,വെണ്ണ,масло
383,Öl::N,എണ്ണ,олія
384,Salz::N,ഉപ്പ്,сіль
385,Suppe::N,സൂപ്പ്,суп
386,Honig::N,തേൻ,мед
387,Milch::N,പാൽ,молоко
388,Tee::N,ചായ,чай
389,Leder::N,തുകൽ,шкіра
390,Wolle::N,കമ്പിളി,шерсть
391,Stoff::N,തുണി,тканина
392,Nadel::N,സൂചി,голка
393,Faden::N,നൂല്,нитка
394,Knopf::N,ബട്ടൺ,ґудзик
395,Knoten::N,കുരുക്ക്,вузол
396,Farbe::N,പെയിൻറ്,фарба
397,Kleidung::N,വസ്ത്രങ്ങൾ,одяг
398,Kleidung::N,വസ്ത്രങ്ങൾ,убрання
399,Hemd::N,ഷർട്ട്,сорочка
400,Kragen::N,കുപ്പായക്കഴുത്ത്,комір
401,Ärmel::N,കുപ്പായക്കൈ,рукав
402,Hose::N,ട്രൌസർ,брюки
403,Gürtel::N,ബെൽറ്റ്,пояс
404,Mütze::N,തൊപ്പി,шапка
405,Schuh::N,ഷൂ,ботинок
406,Stiefel::N,ബൂട്ട്,чобіт
407,Ring::N,മോതിരം,кільце
408,Band::N,റിബൺ,стрічка
409,Kamm::N,ചീപ്പ്,гребінець
410,Spiegel::N,കണ്ണാടി,дзеркало
411,Riemen::N,സ്ട്രാപ്പ്,ремінь
412,Schnur::N,ചരട്,вірьовка
413,Leine::N,കെട്ടാനുള്ള തോൽവാർ,шворка
414,Decke::N,പുതപ്പ്,ковдра
415,Kissen::N,തലയിണ,подушка
416,Tuch::N,സ്കാർഫ്,хустка
417,Handtuch::N,തോർത്ത്,рушник
418,Kraft::N,ശക്തി,сила
419,Stärke::N,ശക്തി,сила
420,Gesundheit::N,ആരോഗ്യം,здоров’я
421,Krankheit::N,അസുഖം,хвороба
422,Schmerz::N,വേദന,біль
423,Wunde::N,മുറിവ്,рана
424,Fieber::N,പനി,гарячка
425,Arznei::N,മരുന്ന്,ліки
426,Brücke::N,പാലം,міст
427,Brunnen::N,കിണർ,колодязь
428,Weide::N,മേച്ചൽ,пасовище
429,Pfad::N,വഴി,стежка
430,Weg::N,വഴി,шлях
431,Weg::N,വഴി,дорога
432,Straße::N,റോഡ്,вулиця
433,Dorf::N,ഗ്രാമം,село
434,Stadt::N,നഗരം,місто
435,Brief::N,കത്ത്,лист
436,Buch::N,പുസ്തകം,книга
437,Buch::N,പുസ്തകം,книжка
438,Buchstabe::N,അക്ഷരം,буква
439,Buchstabe::N,അക്ഷരം,літера
440,Zeitung::N,വർത്തമാനപത്രം,газета
441,Leben::N,ജീവൻ,життя
442,Tod::N,മരണം,смерть
443,Grab::N,ശവക്കുഴി,могила
444,Kirche::N,പള്ളി,церква
445,Sünde::N,പാപം,гріх
446,Gott::N,ദൈവം,бог
447,Arbeiter::N,ജോലിക്കാരൻ,робітник
448,Chef::N,മേധാവി,хазяїн
449,Meister::N,യജമാനൻ,умілець
450,Arzt::N,ഡോക്ടർ,лікар
451,Lehrer::N,അധ്യാപകൻ,вчитель
452,Geld::N,പണം,гроші
453,Geschäft::N,ബിസിനസ്,заняття
454,Laden::N,കട,магазин
455,Laden::N,കട,крамниця
456,Preis::N,വില,ціна
457,Ware::N,ചരക്ക്,товар
458,Nutzen::N,ലാഭം,вигода
459,Nutzen::N,ലാഭം,користь
460,Reichtum::N,ധനം,багатство
461,Welt::N,ലോകം,світ
462,Land::N,രാജ്യം,країна
463,Staat::N,രാജ്യം,держава
464,König::N,രാജാവ്,король
465,Macht::N,അധികാരം,влада
466,Grenze::N,അതിർത്തി,кордон
467,Krieg::N,യുദ്ധം,війна
468,Feind::N,ശത്രു,ворог
469,Gewalt::N,അക്രമം,насильство
470,Kampf::N,പോരാട്ടം,бій
471,Kampf::N,പോരാട്ടം,боротьба
472,Bogen[Waffe]::N,വില്ല്,лук
473,Pfeil::N,അമ്പ്,стріла
474,Gewehr::N,തോക്ക്,рушниця
475,Gewehr::N,തോക്ക്,гвинтівка
476,Fehler::N,പിശക്,помилка
477,Lüge::N,കള്ളം,брехня
478,Schaden::N,കേടുപാട്,шкода
479,Schaden::N,കേടുപാട്,збиток
480,Unglück::N,ദൌർഭാഗ്യം,нещастя
481,Schuld::N,തെറ്റ്,провина
482,Alter::N,വയസ്സ്,вік
483,Alter::N,വയസ്സ്,літа
484,Schluss::N,നിഗമനം,кінець
485,Zeit::N,സമയം,час
486,Tag::N,ദിവസം,день
487,Morgen::N,പ്രഭാതം,ранок
488,Mittag::N,ഉച്ച,південь
489,Abend::N,സായാഹ്നം,вечір
490,Nacht::N,രാത്രി,ніч
491,Woche::N,ആഴ്ച,тиждень
492,Monat::N,മാസം,місяць
493,Jahr::N,വർഷം,рік
494,Frühling::N,വസന്തം,весна
495,Sommer::N,വേനൽ,літо
496,Herbst::N,ശരത്കാലം,осінь
497,Winter::N,ശൈത്യം,зима
498,Januar::N,ജനുവരി,січень
499,Februar::N,ഫെബ്രുവരി,лютий
500,März::N,മാർച്ച്,березень
501,April::N,ഏപ്രിൾ മാസം,квітень
502,Mai::N,മെയ് മാസം,травень
503,Juni::N,ജൂൺ,червень
504,Juli::N,ജൂലൈ,липень
505,August::N,ആഗസ്റ്റ്,серпень
506,September::N,സെപ്തംബർ,вересень
507,Oktober::N,ഒക്ടോബർ,жовтень
508,November::N,നവംബർ,листопад
509,Dezember::N,ഡിസംബർ,грудень
510,Montag::N,തിങ്കളാഴ്ച,понеділок
511,Dienstag::N,ചൊവ്വ,вівторок
512,Mittwoch::N,ബുധനാഴ്ച,середа
513,Donnerstag::N,വ്യാഴാഴ്ച,четвер
514,Freitag::N,വെള്ളിയാഴ്ച,п’ятниця
515,Samstag::N,ശനിയാഴ്ച,субота
516,Sonntag::N,ഞായറാഴ്ച,неділя
517,groß::A,വലിയ,великий
518,klein::A,ചെറിയ,малий
519,klein::A,ചെറിയ,маленький
520,lang::A,നീണ്ട,довгий
521,kurz::A,ഹ്രസ്വമായ,короткий
522,breit::A,വിശാലമായ,широкий
523,schmal::A,ഇടുങ്ങിയ,вузький
524,dicht::A,നിബിഡമായ,густий
525,dick[Gegenstand]::A,തടിച്ച,товстий
526,dünn::A,മെലിഞ്ഞ,тонкий
527,fein::A,നേർത്ത,дрібний
528,fest::A,ഉറപ്പുള്ള,міцний
529,flach::A,പരന്ന,плоский
530,glatt::A,മിനുസമുള്ള,рівний
531,glatt::A,മിനുസമുള്ള,гладенький
532,hart::A,കട്ടിയുള്ള,твердий
533,weich::A,മൃദുവായ,м’який
534,rund::A,വട്ടത്തിലുള്ള,круглий
535,spitz::A,മുനയുള്ള,гострокінцевий
536,scharf::A,മൂർച്ചയുള്ള,гострий
537,stumpf::A,തുറന്നടിക്കുന്ന,тупий
538,schwer::A,ഭാരമുള്ള,важкий
539,schön::A,മനോഹരമായ,вродливий
540,heiß::A,ചൂടുള്ള,жаркий
541,heiß::A,ചൂടുള്ള,гарячий
542,warm::A,ചൂടുള്ള,теплий
543,kalt::A,തണുത്ത,холодний
544,kühl::A,തണുപ്പുള്ള,прохолодний
545,frisch::A,ശുദ്ധമായ,свіжий
546,feucht::A,ഈറനുള്ള,вогкий
547,nass::A,നനഞ്ഞ,мокрий
548,trocken::A,വരണ്ട,сухий
549,voll::A,നിറയെ,повний
550,leer::A,ഒഴിഞ്ഞ,пустий
551,offen::A,തുറന്ന,відкритий
552,geschlossen::A,അടച്ച,закритий
553,geschlossen::A,അടച്ച,зачинений
554,sauber::A,വൃത്തിയുള്ള,чистий
555,sauber::A,വൃത്തിയുള്ള,охайний
556,schmutzig::A,അഴുക്കുനിറഞ്ഞ,брудний
557,roh::A,അസംസ്കൃതമായ,сирий
558,reif::A,പഴുത്ത,зрілий
559,lecker::A,രുചികരമായ,смачний
560,süß::A,മധുരമുള്ള,солодкий
561,bitter::A,കടുത്ത,гіркий
562,sauer::A,പുളിപ്പുള്ള,кислий
563,hell::A,ജ്വലിക്കുന്ന,світлий
564,dunkel::A,ഇരുണ്ട,темний
565,schwarz::A,കറുത്ത,чорний
566,weiß::A,വെളുത്ത,сивий
567,rot::A,ചുവന്ന,червоний
568,gelb::A,മഞ്ഞനിറമായ,жовтий
569,blau::A,നീലനിറമുള്ള,синій
570,grün::A,പച്ചനിറമുള്ള,зелений
571,grau::A,ചാരനിറത്തിലുള്ള,сірий
572,bunt::A,വർണ്ണശബളമായ,барвистий
573,billig::A,വിലകുറഞ്ഞ,дешевий
574,teuer::A,ചെലവേറിയ,дорогий
575,wertvoll::A,വിലപിടിപ്പുള്ള,цінний
576,blind::A,അന്ധനായ,сліпий
577,taub::A,കേൾവിക്കുറവുള്ള,глухий
578,kräftig::A,ശക്തിയുള്ള,могутній
579,stark::A,ബലമുള്ള,сильний
580,schwach::A,ക്ഷീണിച്ച,слабкий
581,fett::A,കൊഴുപ്പുള്ള,жирний
582,fett::A,കൊഴുപ്പുള്ള,товстий
583,schlank::A,മെലിഞ്ഞ,тонкий
584,schlank::A,മെലിഞ്ഞ,стрункий
585,hübsch::A,മനോഹരമായ,чарівний
586,böse::A,പാപിയായ,злий
587,böse::A,പാപിയായ,лихий
588,dumm::A,വിവരംകെട്ട,дурний
589,faul::A,അലസനായ,ледачий
590,fleißig::A,അദ്ധ്വാനശീലമുള്ള,старанний
591,geizig::A,പിശുക്കനായ,скупий
592,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,мудрий
593,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,розумний
594,geschickt::A,പ്രതിഭാശാലി,умілий
595,lieb::A,പ്രിയപ്പെട്ട,милий
596,lustig::A,ആനന്ദകരമായ,веселий
597,sanft::A,സൌമ്യമായ,лагідний
598,hungrig::A,വിശപ്പുള്ള,голодний
599,krank::A,അസുഖമുള്ള,слабий
600,nackt::A,നഡമായ,голий
601,traurig::A,വിഷമമുള്ള,сумний
602,lebendig::A,ഉപജീവനം,живий
603,gut::A,നല്ല,добрий
604,schlecht::A,മോശമായ,поганий
605,schlecht::A,മോശമായ,кепський
606,richtig::A,ശരിയായ,правильний
607,schlimm::A,വൃത്തികെട്ട,бридкий
608,wahr::A,ശരിയായ,справжній
609,alt::A,പഴയ,старий
610,neu::A,പുതിയ,новий
611,ehemalig::A,മുൻ,колишній
612,alt[Lebewesen]::A,വയസ്സുള്ള,старий
613,jung::A,കൌമാരമായ,молодий
614,arm::A,പാവപ്പെട്ട,бідний
615,reich::A,സമ്പന്നമായ,багатий
616,bekannt::A,പരിചിതമായ,знайомий
617,berühmt::A,പ്രശസ്തനായ,славетний
618,fremd::A,വൈദേശികമായ,чужий
619,verschieden::A,വ്യത്യസ്തമായ,різний
620,nah::A,അരികത്തുള്ള,близький
621,fern::A,അകലെയുള്ള,далекий
622,linker::A,അവശേഷിച്ച,лівий
623,rechter::A,വലത്തേ,правий
624,anderer::A,മറ്റുള്ള,інакший
625,erster::A,ആദ്യത്തെ,перший
626,zweiter::A,രണ്ടാം,другий
627,dritter::A,മൂന്നാമത്,третій
628,letzter::A,അവസാനത്തെ,останній
629,allein::ADV,തനിച്ചുള്ള,сам
630,allein::ADV,തനിച്ചുള്ള,один
631,auf einmal::ADV,ഉടന്,відразу
632,zusammen::ADV,ഒരുമിച്ച,разом
633,zusammen::ADV,ഒരുമിച്ച,спільно
634,lange::ADV,നീണ്ട_കാലത്തേയ്ക്ക്,довго
635,plötzlich::ADV,പെട്ടെന്ന്,раптом
636,sofort::ADV,തത്ക്ഷണം,зараз
637,später::ADV,പിന്നീട്,пізніше
638,jetzt::ADV,ഇപ്പോൾ,тепер
639,heute::ADV,ഇന്ന്,сьогодні
640,morgen::ADV,നാളെ,завтра
641,bald::ADV,ഉടനെ,незабаром
642,dann::ADV,അപ്പോൾ,потім
643,gestern::ADV,ഇന്നലെ,вчора
644,einst::ADV,പണ്ടൊരിക്കല്,колись
