,Concept_ID,no,cy
162,Bulle::N,tyr,tarw
163,Pferd::N,hest,ceffyl
164,Schaf::N,får,dafad
165,Schwein::N,gris,mochyn
166,Hund::N,hund,ci
167,Katze::N,katt,cath
168,Bär::N,bjørn,arth
169,Eichhörnchen::N,ekorn,gwiwer
170,Elch::N,elg,elc
171,Fuchs::N,rev,cadno
172,Hase::N,hare,ysgyfarnog
173,Maus::N,mus,llygoden
174,Wolf::N,ulv,blaidd
175,Wolf::N,varg,blaidd
176,Vogel::N,fugl,aderyn
177,Schwarm::N,sverm,haid
178,Huhn::N,høne,cyw
179,Hahn::N,hane,ceiliog
180,Gans::N,gås,gŵydd
181,Adler::N,ørn,eryr
182,Ente::N,and,hwyad
183,Eule::N,ugle,tylluan
184,Kranich::N,trane,garan
185,Kranich::N,trane,crychydd
186,Krähe::N,kråke,brân
187,Kuckuck::N,gjøk,cog
188,Kuckuck::N,gjøk,cwcw
189,Schwan::N,svane,alarch
190,Fisch::N,fisk,pysgod
191,Barsch::N,abbor,draenog
192,Hecht::N,gjedde,penhwyad
193,Schlange[Tier]::N,orm,neidr
194,Schlange[Tier]::N,slange,neidr
195,Wurm::N,orm,abwydyn
196,Wurm::N,orm,pryf genwair
197,Wurm::N,mark,abwydyn
198,Wurm::N,mark,pryf genwair
199,Spinne::N,edderkopp,cor
200,Spinne::N,edderkopp,pryf copyn
201,Ameise::N,maur,morgrugyn
202,Laus::N,lus,lleuen
203,Mücke::N,mygg,gwybedyn
204,Fliege::N,flue,cleren
205,Schmetterling::N,sommerfugl,glöyn byw
206,Schmetterling::N,sommerfugl,iâr fach yr haf
207,Beere::N,bær,aeronen
208,Apfel::N,eple,afal
209,Pilz::N,sopp,madarch
210,Zwiebel::N,løk,nionyn
211,Zwiebel::N,løk,winwnsyn
212,Saat::N,sæd,had
213,Korn::N,korn,grawn
214,Heu::N,høy,gwair
215,Schale::N,skall,croen
216,Schale::N,skall,plisgyn
217,Grube::N,grop,pwll
218,Grube::N,grop,pydew
219,Falle::N,felle,magl
220,Schlinge::N,snare,cwlwm rhedeg
221,Spur::N,spor,ôl
222,Asche::N,aske,lludw
223,Dreck::N,møkk,baw
224,Dreck::N,møkk,budreddi
225,Dreck::N,skitt,baw
226,Dreck::N,skitt,budreddi
227,Eisen::N,jern,haearn
228,Gold::N,gull,aur
229,Silber::N,sølv,arian
230,Kohle::N,kol,glo
231,Kohle::N,kull,glo
232,Glas::N,glass,gwydr
233,Lehm::N,leire,clai
234,Sand::N,sand,tywod
235,Mensch::N,menneske,dyn
236,Mann::N,mann,dyn
237,Frau::N,kvinne,merch
238,Frau::N,kvinne,gwraig
239,Kind::N,barn,plentyn
240,Junge::N,gutt,hogyn
241,Junge::N,gutt,bachgen
242,Mädchen::N,pike,merch
243,Mädchen::N,pike,geneth
244,Mädchen::N,jente,merch
245,Mädchen::N,jente,geneth
246,Familie::N,familie,teulu
247,Familie::N,familie,tylwyth
248,Großvater::N,bestefar,taid
249,Großvater::N,bestefar,tad-cu
250,Großmutter::N,bestemor,nain
251,Großmutter::N,bestemor,mam-gu
252,Eltern::N,foreldre,rhieni
253,Vater::N,far,tad
254,Mutter::N,mor,mam
255,Sohn::N,sønn,mab
256,Tochter::N,datter,merch
257,Bruder::N,bror,brawd
258,Schwester::N,søster,chwaer
259,Onkel::N,onkel,ewythr
260,Tante::N,tante,modryb
261,Ehemann::N,ektemann,gŵr
262,Ehefrau::N,hustru,gwraig
263,Freude::N,glede,gorfoledd
264,Gelächter::N,latter,chwerthin
265,Glück::N,lykke,hapusrwydd
266,Kummer::N,sorg,galar
267,Wunsch::N,ønske,dymuniad
268,Lust::N,lyst,chwant
269,Geist::N,ånd,ysbryd
270,Gedanke::N,tanke,meddwl
271,Gedächtnis::N,minne,cof
272,Gedächtnis::N,hukommelse,cof
273,Verstand::N,forstand,meddwl
274,Sinn::N,mening,ystyr
275,Sinn::N,betydning,ystyr
276,Grund::N,grunn,achos
277,Grund::N,grunn,rheswm
278,Wahrheit::N,sannhet,gwir
279,Wahrheit::N,sannhet,gwirionedd
280,Gespräch::N,samtale,sgwrs
281,Märchen::N,eventyr,chwedl werin
282,Erzählung::N,fortelling,stori
283,Nachricht::N,melding,neges
284,Neuigkeit::N,nyhet,newydd
285,Name::N,navn,enw
286,Rätsel::N,gåte,pos
287,Rede::N,tale,araith
288,Sprache::N,språk,iaith
289,Stimme::N,stemme,llais
290,Wort::N,ord,gair
291,Zeichen::N,tegn,arwydd
292,Ruf::N,rop,galwad
293,Lärm::N,bråk,trwst
294,Laut::N,lyd,sain
295,Ton::N,tone,tôn
296,Lied::N,vise,cân
297,Ruhe::N,ro,tawelwch
298,Leute::N,folk,pobl
299,Volk::N,folk,pobl
300,Arbeit::N,arbeid,gwaith
301,Gast::N,gjest,gwestai
302,Geschenk::N,gave,rhodd
303,Geschenk::N,gave,anrheg
304,Spiel::N,lek,chwarae
305,Spiel::N,spill,chwarae
306,Gesellschaft::N,selskap,cwmni
307,Hilfe::N,hjelp,cymorth
308,Freund::N,venn,cyfaill
309,Kamerad::N,kamerat,cydymaith
310,Angelegenheit::N,sak,pwnc
311,Angelegenheit::N,anliggende,pwnc
312,Anzahl::N,antall,cyfrif
313,Art::N,art,bath
314,Art::N,slag,bath
315,Stück::N,stykke,darn
316,Teil::N,del,rhan
317,Hälfte::N,halvdel,hanner
318,Kreis::N,ring,cylch
319,Kreis::N,sirkel,cylch
320,Kreuz::N,kors,croes
321,Kreuz::N,kryss,croes
322,Linie::N,linje,llinell
323,Strich::N,strek,strôc
324,Strich::N,strek,trawiad
325,Abstand::N,avstand,bwlch
326,Abstand::N,avstand,pellter
327,Entfernung::N,avstand,pellter
328,Gegend::N,strøk,cylch
329,Platz::N,plass,lle
330,Ort::N,sted,lle
331,Seite::N,side,ochr
332,Mitte::N,midte,canol
333,Gegenstand::N,gjenstand,eitem
334,Sache::N,sak,peth
335,Rand::N,rand,cwr
336,Rand::N,rand,ymyl
337,Kante::N,kant,min
338,Kante::N,kant,ymyl
339,Ecke::N,hjørne,cornel
340,Spitze::N,spiss,blaen
341,Ende::N,ende,pen
342,Loch::N,hull,twll
343,Winkel::N,vinkel,congl
344,Muster::N,mønster,patrwm
345,Größe::N,størrelse,maint
346,Größe::N,størrelse,maintioli
347,Länge::N,lengde,hyd
348,Höhe::N,høyde,uchder
349,Gewicht::N,vekt,pwysau
350,Menge::N,mengde,swm
351,Menge::N,mengde,maint
352,Haufen::N,haug,pentwr
353,Haufen::N,bunke,pentwr
354,Reihe::N,rekke,rhes
355,Boot::N,båt,cwch
356,Ruder::N,åre,rhwyf
357,Schlitten::N,slede,sled
358,Schlitten::N,slede,car llusg
359,Schlitten::N,kjelke,sled
360,Schlitten::N,kjelke,car llusg
361,Ski::N,ski,sgi
362,Lagerfeuer::N,leirbål,coelcerth
363,Last::N,bør,llwyth
364,Last::N,last,llwyth
365,Gang::N,gang,tro
366,Schritt::N,steg,cam
367,Schritt::N,skritt,cam
368,Norden::N,nord,gogledd
369,Süden::N,sør,de
370,Westen::N,vest,gorllewin
371,Osten::N,øst,dwyrain
372,Holz::N,tre,pren
373,Brett::N,fjøl,bwrdd
374,Brett::N,fjøl,astell
375,Brett::N,brett,bwrdd
376,Brett::N,brett,astell
377,Platte::N,plate,llech
378,Stütze::N,støtte,ateg
379,Stütze::N,støtte,cynhalydd
380,Stange::N,stang,polyn
381,Stock::N,pinne,ffon
382,Stock::N,pinne,brigyn
383,Stab::N,stav,ffon
384,Stab::N,kjepp,ffon
385,Rohr::N,rør,pibell
386,Haus::N,hus,tŷ
387,Heim::N,hjem,cartref
388,Ofen::N,ovn,stof
389,Fußboden::N,gulv,llawr
390,Tisch::N,bord,bwrdd
391,Stuhl::N,stol,cadair
392,Wiege::N,vogge,crud
393,Bett::N,seng,gwely
394,Regal::N,reol,silff
395,Regal::N,hylle,silff
396,Kiste::N,kasse,bocs
397,Kiste::N,kasse,blwch
398,Fenster::N,vindu,ffenestr
399,Tür::N,dør,drws
400,Tor::N,port,porth
401,Zaun::N,gjerde,ffens
402,Dach::N,tak,to
403,Leiter::N,stige,ysgol
404,Besen::N,kost,ysgub
405,Spaten::N,spade,rhaw
406,Schaufel::N,skuffe,rhaw
407,Gabel::N,gaffel,fforc
408,Löffel::N,skje,llwy
409,Messer::N,kniv,cyllell
410,Nagel::N,spiker,hoel
411,Netz::N,nett,gwe
412,Netz::N,nett,rhwyd
413,Haken::N,krok,bach
414,Griff::N,tak,carn
415,Griff::N,håndtak,carn
416,Schloss::N,lås,clo
417,Bild::N,bilde,llun
418,Bild::N,bilde,pictiwr
419,Figur::N,figur,ffigur
420,Puppe::N,dukke,dol
421,Beutel::N,pose,cwd
422,Bündel::N,bylt,bwndel
423,Bündel::N,bylt,coflaid
424,Tasche::N,veske,cod
425,Eimer::N,bøtte,bwced
426,Eimer::N,bøtte,cunnog
427,Deckel::N,lokk,caead
428,Geschirr::N,kjøkkentøy,llestri
429,Sack::N,sekk,sach
430,Tasse::N,kopp,cwpan
431,Topf::N,gryte,pot
432,Topf::N,gryte,crochan
433,Kessel::N,kjele,tegell
434,Essen::N,mål,pryd o fwyd
435,Nahrung::N,mat,bwyd
436,Nahrung::N,næring,bwyd
437,Speise::N,matrett,saig
438,Fleisch::N,kjøtt,cig
439,Getreide::N,korn,ŷd
440,Getreide::N,korn,llafur
441,Brei::N,grøt,uwd
442,Brot::N,brød,bara
443,Scheibe::N,skive,tafell
444,Fett::N,fett,saim
445,Fett::N,fett,braster
446,Butter::N,smør,ymenyn
447,Öl::N,olje,olew
448,Salz::N,salt,halen
449,Suppe::N,suppe,cawl
450,Honig::N,honning,mêl
451,Milch::N,melk,llaeth
452,Milch::N,melk,llefrith
453,Tee::N,te,te
454,Leder::N,lær,lledr
455,Leder::N,skinn,lledr
456,Wolle::N,ull,gwlân
457,Stoff::N,tøy,lliain
458,Stoff::N,tøy,brethyn
459,Stoff::N,stoff,lliain
460,Stoff::N,stoff,brethyn
461,Nadel::N,nål,nodwydd
462,Faden::N,tråd,edau
463,Faden::N,tråd,edefyn
464,Knopf::N,knapp,botwm
465,Knoten::N,knute,cwlwm
466,Farbe::N,farge,paent
467,Kleidung::N,påkledning,dillad
468,Kleidung::N,påkledning,gwisgoedd
469,Hemd::N,skjorte,crys
470,Kragen::N,krage,coler
471,Ärmel::N,erme,llawes
472,Hose::N,bukse,trowsus
473,Gürtel::N,belte,gwregys
474,Mütze::N,lue,cap
475,Schuh::N,sko,esgid
476,Stiefel::N,støvel,botasen
477,Ring::N,ring,modrwy
478,Band::N,band,rhuban
479,Kamm::N,kam,crib
480,Spiegel::N,speil,drych
481,Riemen::N,rem,strap
482,Schnur::N,snor,llinyn
483,Leine::N,line,tennyn
484,Decke::N,teppe,blanced
485,Decke::N,teppe,gwrthban
486,Kissen::N,pute,clustog
487,Kissen::N,pute,gobennydd
488,Tuch::N,tøy,sgarff
489,Handtuch::N,håndkle,tywel
490,Handtuch::N,håndkle,lliain sychu
491,Kraft::N,kraft,grym
492,Stärke::N,styrke,nerth
493,Stärke::N,styrke,cryfder
494,Gesundheit::N,helse,iechyd
495,Gesundheit::N,sunnhet,iechyd
496,Krankheit::N,syke,afiechyd
497,Krankheit::N,syke,anhwylder
498,Krankheit::N,sykdom,afiechyd
499,Krankheit::N,sykdom,anhwylder
500,Schmerz::N,smerte,poen
501,Schmerz::N,smerte,gwayw
502,Wunde::N,sår,clwyf
503,Fieber::N,feber,twymyn
504,Arznei::N,medisin,meddyginiaeth
505,Arznei::N,legemiddel,meddyginiaeth
506,Brücke::N,bro,pont
507,Brunnen::N,brønn,ffynnon
508,Weide::N,beite,porfa
509,Pfad::N,sti,llwybr
510,Weg::N,vei,ffordd
511,Straße::N,gate,heol
512,Straße::N,gate,ffordd
513,Dorf::N,landsby,pentref
514,Stadt::N,by,tref
515,Brief::N,brev,llythyr
516,Buch::N,bok,llyfr
517,Buchstabe::N,bokstav,llythyren
518,Zeitung::N,avis,papur newydd
519,Leben::N,liv,bywyd
520,Tod::N,død,marwolaeth
521,Grab::N,grav,bedd
522,Kirche::N,kirke,eglwys
523,Sünde::N,synd,pechod
524,Gott::N,gud,duw
525,Arbeiter::N,arbeider,gweithiwr
526,Chef::N,sjef,pennaeth
527,Meister::N,mester,meistr
528,Arzt::N,lege,meddyg
529,Lehrer::N,lærer,athro
530,Geld::N,penger,pres
531,Geld::N,penger,arian
532,Geschäft::N,forretning,busnes
533,Laden::N,butikk,siop
534,Preis::N,pris,pris
535,Ware::N,vare,nwydd
536,Nutzen::N,nytte,elw
537,Nutzen::N,nytte,budd
538,Reichtum::N,rikdom,cyfoeth
539,Welt::N,verden,byd
540,Land::N,land,gwlad
541,Staat::N,stat,gwladwriaeth
542,König::N,konge,brenin
543,Macht::N,makt,grym
544,Macht::N,makt,awdurdod
545,Grenze::N,grense,ffin
546,Grenze::N,grense,goror
547,Krieg::N,krig,rhyfel
548,Feind::N,fiende,gelyn
549,Gewalt::N,vold,ffyrnigrwydd
550,Kampf::N,kamp,brwydr
551,Bogen[Waffe]::N,bue,bwa
552,Pfeil::N,pil,saeth
553,Gewehr::N,gevær,dryll
554,Fehler::N,feil,gwall
555,Fehler::N,feil,camgymeriad
556,Lüge::N,løgn,celwydd
557,Lüge::N,løgn,anwiredd
558,Schaden::N,skade,niwed
559,Schaden::N,skade,difrod
560,Unglück::N,uhell,anffawd
561,Schuld::N,skyld,bai
562,Alter::N,alder,oed
563,Schluss::N,slutt,diwedd
564,Zeit::N,tid,amser
565,Tag::N,dag,dydd
566,Tag::N,dag,diwrnod
567,Morgen::N,morgen,bore
568,Mittag::N,middag,nawn
569,Abend::N,aften,noswaith
570,Nacht::N,natt,nos
571,Woche::N,uke,wythnos
572,Monat::N,måned,mis
573,Jahr::N,år,blwyddyn
574,Frühling::N,vår,gwanwyn
575,Sommer::N,sommer,haf
576,Herbst::N,høst,hydref
577,Winter::N,vinter,gaeaf
578,Januar::N,januar,Ionawr
579,Februar::N,februar,Chwefror
580,März::N,mars,Mawrth
581,April::N,april,Ebrill
582,Mai::N,mai,Mai
583,Juni::N,juni,Mehefin
584,Juli::N,juli,Gorffennaf
585,August::N,august,Awst
586,September::N,september,Medi
587,Oktober::N,oktober,Hydref
588,November::N,november,Tachwedd
589,Dezember::N,desember,Rhagfyr
590,Montag::N,mandag,dydd Llun
591,Dienstag::N,tirsdag,dydd Mawrth
592,Mittwoch::N,onsdag,dydd Mercher
593,Donnerstag::N,torsdag,dydd Iau
594,Freitag::N,fredag,dydd Gwener
595,Samstag::N,lørdag,dydd Sadwrn
596,Sonntag::N,søndag,dydd Sul
597,groß::A,stor,mawr
598,klein::A,liten,bach
599,lang::A,lang,hir
600,kurz::A,kort,byr
601,kurz::A,kort,cwta
602,breit::A,bred,llydan
603,schmal::A,smal,cul
604,dicht::A,tett,dwys
605,dick[Gegenstand]::A,tykk,trwchus
606,dünn::A,tynn,tenau
607,fein::A,fin,main
608,fest::A,fast,cadarn
609,flach::A,flat,gwastad
610,glatt::A,glatt,llyfn
611,hart::A,hard,caled
612,weich::A,myk,meddal
613,weich::A,bløt,meddal
614,rund::A,rund,crwn
615,spitz::A,spiss,pigfain
616,scharf::A,kvass,miniog
617,stumpf::A,stubb,pŵl
618,schwer::A,tung,trwm
619,schön::A,pen,teg
620,schön::A,pen,hardd
621,schön::A,pen,prydferth
622,schön::A,vakker,teg
623,schön::A,vakker,hardd
624,schön::A,vakker,prydferth
625,heiß::A,het,poeth
626,warm::A,varm,twym
627,warm::A,varm,cynnes
628,kalt::A,kald,oer
629,kühl::A,kjølig,oeraidd
630,frisch::A,fersk,iach
631,feucht::A,fuktig,llaith
632,nass::A,våt,gwlyb
633,trocken::A,tørr,sych
634,voll::A,full,llawn
635,leer::A,tom,gwag
636,offen::A,åpen,agored
637,geschlossen::A,lukket,caead
638,geschlossen::A,lukket,caeëdig
639,sauber::A,ren,glân
640,schmutzig::A,skitten,budr
641,schmutzig::A,skitten,brwnt
642,roh::A,rå,amrwd
643,reif::A,moden,aeddfed
644,lecker::A,lekker,blasus
645,lecker::A,lekker,danteithiol
646,süß::A,søt,melys
647,bitter::A,besk,chwerw
648,bitter::A,bitter,chwerw
649,sauer::A,sur,sur
650,hell::A,lys,disglair
651,dunkel::A,mørk,tywyll
652,schwarz::A,svart,du
653,weiß::A,hvit,gwyn
654,rot::A,rød,coch
655,gelb::A,gul,melyn
656,blau::A,blå,glas
657,grün::A,grønn,gwyrdd
658,grau::A,grå,llwyd
659,bunt::A,broket,lliwgar
660,billig::A,billig,rhad
661,teuer::A,dyr,drud
662,wertvoll::A,verdifull,gwerthfawr
663,blind::A,blind,dall
664,taub::A,døv,byddar
665,kräftig::A,kraftig,nerthol
666,kräftig::A,kraftig,grymus
667,stark::A,sterk,cryf
668,stark::A,sterk,cadarn
669,schwach::A,svak,gwan
670,fett::A,fet,tew
671,schlank::A,slank,main
672,hübsch::A,pen,tlws
673,böse::A,slem,drwg
674,dumm::A,dum,twp
675,faul::A,lat,diog
676,faul::A,doven,diog
677,fleißig::A,flittig,dyfal
678,geizig::A,gjerrig,crintach
679,geizig::A,gjerrig,cybyddlyd
680,klug::A,klok,deallus
681,geschickt::A,hendig,medrus
682,geschickt::A,hendig,deheuig
683,geschickt::A,skikket,medrus
684,geschickt::A,skikket,deheuig
685,lieb::A,kjær,hoff
686,lieb::A,kjær,annwyl
687,lieb::A,snill,hoff
688,lieb::A,snill,annwyl
689,lustig::A,morsom,llon
690,sanft::A,blid,mwyn
691,hungrig::A,sulten,newynog
692,krank::A,syk,sâl
693,krank::A,syk,gwael
694,nackt::A,naken,noeth
695,traurig::A,sørgmodig,trist
696,lebendig::A,levende,yn fyw
697,gut::A,god,da
698,schlecht::A,dårlig,drwg
699,schlecht::A,dårlig,gwael
700,richtig::A,riktig,cywir
701,schlimm::A,slem,enbyd
702,wahr::A,sann,gwir
703,alt::A,gammel,hen
704,neu::A,ny,newydd
705,ehemalig::A,forhenværende,blaenorol
706,alt[Lebewesen]::A,gammel,oedrannus
707,jung::A,ung,ifanc
708,arm::A,fattig,tlawd
709,reich::A,rik,cyfoethog
710,bekannt::A,kjent,cynefin
711,bekannt::A,kjent,cyfarwydd
712,berühmt::A,berømt,enwog
713,fremd::A,fremmed,estron
714,verschieden::A,forskjellig,gwahanol
715,nah::A,nær,agos
716,fern::A,fjern,pell
717,linker::A,venstre,aswy
718,linker::A,venstre,chwith
719,rechter::A,høyre,de
720,rechter::A,høyre,deau
721,anderer::A,annen,arall
722,erster::A,første,cyntaf
723,zweiter::A,annen,ail
724,dritter::A,tredje,trydydd
725,letzter::A,sist,olaf
726,allein::ADV,alene,unig
727,allein::ADV,alene,ar ei ben ei hun
728,auf einmal::ADV,med ett,ar yr un pryd
729,zusammen::ADV,sammen,ynghyd
730,zusammen::ADV,sammen,gyda'i gilydd
731,lange::ADV,lenge,amser hir
732,plötzlich::ADV,plutselig,yn sydyn
733,sofort::ADV,straks,ar unwaith
734,später::ADV,senere,yn ddiweddarach
735,jetzt::ADV,nå,yn awr
736,heute::ADV,i dag,heddiw
737,morgen::ADV,i morgen,yfory
738,bald::ADV,snart,yn fuan
739,bald::ADV,snart,gyda hyn
740,dann::ADV,så,yna
741,dann::ADV,så,y pryd hwnnw
742,gestern::ADV,i går,ddoe
743,einst::ADV,engang,gynt
744,damals::ADV,den gang,ar y pryd
745,damals::ADV,den gang,bryd hynny
746,danach::ADV,deretter,wedyn
747,vorher::ADV,før,o'r blaen
748,vorher::ADV,i forveien,o'r blaen
749,zuerst::ADV,først,yn gyntaf
750,einmal::ADV,en gang,unwaith
751,manchmal::ADV,somme tider,weithiau
752,manchmal::ADV,somme tider,ar brydiau
753,oft::ADV,ofte,yn aml
754,oft::ADV,ofte,yn fynych
755,immer::ADV,alltid,bob amser
756,niemals::ADV,aldri,ni ... byth
757,niemals::ADV,aldri,ni ... erioed
758,hier::ADV,her,yma
759,hierhin::ADV,hit,hyd yma
760,von hier::ADV,herfra,oddi yma
761,dort::ADV,der,acw
762,dorthin::ADV,dit,tuag yno
763,geradeaus::ADV,rett fram,syth ymlaen
764,vorwärts::ADV,fram,ymlaen
765,vorwärts::ADV,framover,ymlaen
766,rückwärts::ADV,baklengs,yn ôl
767,zurück::ADV,tilbake,yn ôl
768,unten::ADV,nede,isod
769,unten::ADV,nede,oddi tanodd
770,hinab::ADV,ned,i lawr
771,hinab::ADV,ned,i waered
772,hinab::ADV,nedover,i lawr
773,hinab::ADV,nedover,i waered
774,oben::ADV,oppe,fry
775,oben::ADV,ovenpå,fry
776,hinauf::ADV,opp,i fyny
777,hinauf::ADV,opp,i'r lan
778,hinauf::ADV,oppover,i fyny
779,hinauf::ADV,oppover,i'r lan
780,überall::ADV,overalt,ym mhobman
781,nicht::ADV,ikke,ni
782,nicht::ADV,ikke,nid
783,ein wenig::ADV,litt,tipyn
784,ein wenig::ADV,litt,ychydig
785,kaum::ADV,neppe,prin
786,sehr::ADV,svært,iawn
787,so::ADV,så,fel
788,so::ADV,så,felly
789,noch::ADV,enda,eto
790,nur::ADV,bare,yn unig
791,schon::ADV,alt,eisoes
792,schon::ADV,alt,yn barod
793,schon::ADV,allerede,eisoes
794,schon::ADV,allerede,yn barod
795,wieder::ADV,igjen,drachefn
796,vergebens::ADV,forgjeves,yn ofer
797,vor::PRP,foran,o flaen
798,vor::PRP,utenfor,o flaen
799,hinter::PRP,bak,ar ôl
800,hinter::PRP,bakom,ar ôl
801,unter::PRP,under,islaw
802,durch::PRP,gjennom,trwy
803,durch::PRP,igjennom,trwy
804,neben::PRP,ved siden av,ar bwys
805,zwischen::PRP,mellom,rhwng
806,zwischen::PRP,mellom,cydrhwng
807,wegen::PRP,på grunn av,o achos
808,wegen::PRP,på grunn av,oherwydd
809,dies::PRN,dette,hyn
810,das::PRN,det,hynny
811,alles::PRN,alt,popeth
812,ich::PRN,jeg,fi
813,du::PRN,du,ti
814,er::PRN,han,fe
815,wir::PRN,vi,ni
816,ihr::PRN,dere,chi
817,sie::PRN,de,hwy
818,was::FPRN,hva,pa beth
819,wer::FPRN,hvem,pwy
820,wo::FADV,hvor,ble
821,wo::FADV,hvor,ym mha le
822,wohin::FADV,hvor ... hen,i ble
823,wohin::FADV,hvor ... hen,i ba le
824,wie::FADV,hvordan,sut
