,Concept_ID,ml,mdf
49,Gehirn::N,തലച്ചോറ്,уй
50,Herz::N,ഹൃദയം,седи
51,Magen::N,വയർ,коткърдазь
52,Leber::N,കരൾ,макса
53,Atem::N,ശ്വാസം,лекома
54,Atem::N,ശ്വാസം,ваймонь тарксема
55,Hunger::N,വിശപ്പ്,вачеши
56,Träne::N,കണ്ണീർ,сельмове́дь
57,Geschmack::N,രുചി,таньф
58,Geruch::N,ഗന്ധം,шине
59,Schlaf::N,ഉറകും,удома́
60,Traum::N,സ്വപ്നം,он
61,Himmel::N,ആകാശം,менель
62,Sonne::N,സൂര്യൻ,ши
63,Mond::N,ചന്ദ്രൻ,ков
64,Stern::N,നക്ഷത്രം,тяште
65,Luft::N,കാറ്റ്,кожф
66,Wind::N,കാറ്റ്,варма
67,Welle::N,തിരമാല,тавла
68,Wasser::N,വെള്ളം,ведь
69,Stein::N,ശില,кев
70,Stein::N,കല്ല്,кев
71,Boden::N,തറ,мода
72,Boden::N,തറ,потмакс
73,Boden::N,നിലം,мода
74,Boden::N,നിലം,потмакс
75,Erde::N,മണ്ണ്,мода
76,Erde::N,മണ്ണ്,мастор
77,Staub::N,പൊടി,пуль
78,Rauch::N,പുക,качам
79,Funke::N,തീപ്പൊരി,ця́тка
80,Feuer::N,തീ,тол
81,Licht::N,വിളക്ക്,ва́лда
82,Licht::N,സൂര്യപ്രകാശം,ва́лда
83,Schatten::N,തണൽ,цильф
84,Wetter::N,കാലാവസ്ഥ,уша
85,Nebel::N,മൂടൽമഞ്ഞ്,тума́н
86,Wolke::N,മേഘം,ковол
87,Regen::N,മഴ,пизем
88,Schnee::N,മഞ്ഞ്,лов
89,Eis::N,ഐസ്,эй
90,Frost::N,മൂടൽമഞ്ഞ്,ке́льме
91,Kälte::N,തണുപ്പ്,якшама
92,Hitze::N,ചൂട്,пси
93,Raureif::N,കോടമഞ്ഞ്,леш
94,Regenbogen::N,മഴവില്ല്,а́тямъёнга
95,Donner::N,ഇടി,атям
96,Strömung::N,പ്രവാഹം,шудема́
97,Tropfen::N,തുള്ളി,путькс
98,Tropfen::N,തുള്ളി,пътняфкс
99,Schaum::N,നുര,шов
100,Schmutz::N,അഴുക്ക്,ърда́з
101,See::N,തടാകം,эрьхке
102,Sumpf::N,ചതുപ്പുനിലം,шяй
103,Moor::N,പാഴ്നിലം,шяй
104,Wiese::N,പുൽത്തകിടി,луга
105,Wald::N,വനം,вирь
106,Wald::N,കാട്,вирь
107,Hügel::N,കുന്ന്,губо́р
108,Hügel::N,കുന്ന്,пандоня
109,Anhöhe::N,ഉയർന്ന ഭൂമി,губо́р
110,Berg::N,പർവ്വതം,панда
111,Gipfel::N,ഉച്ചകോടി,пря
112,Höhle::N,ഗുഹ,у́нда
113,Abhang::N,ചരിവ്,па́нда ша́ма
114,Quelle::N,ഉറവിടം,эшиня
115,Bach::N,അരുവി,шудерькс
116,Fluss::N,നദി,ляй
117,Ufer::N,തീരം,търва́
118,Küste::N,കടൽത്തീരം,ляйтърва́
119,Festland::N,കര,мода
120,Meer::N,കടൽ,моря
121,Bucht::N,ഉൾക്കടല്,ведьуське
122,Insel::N,ദ്വീപ്,цёнга
123,Blume::N,പൂവ്,панчф
124,Gras::N,പുല്ല്,тише
125,Wurzel::N,വേര്,юр
126,Wurzel::N,വേര്,ункс
127,Baum::N,മരം,шуфта
128,Stamm::N,തായ്ത്തടി,ро́нга
129,Rinde::N,പട്ട,кер
130,Ast::N,ശാഖ,морга
131,Zweig::N,ശാഖ,тарад
132,Blatt::N,ഇല,лопа
133,Birke::N,പൂവരശ്,ке́лу
134,Kiefer[Baum]::N,പൈൻമരം,пиче
135,Weide[Baum]::N,വില്ലോ,каль
136,Tanne::N,ദേവദാരു,куз
137,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,сюра
138,Feder::N,തൂവൽ,толга
139,Fell::N,മൃദുരോമം,кедь
140,Flügel::N,ചിറക്,паця
141,Klaue::N,നഖം,кенже
142,Kralle::N,നഖം,кенже
143,Schwanz::N,വാൽ,пула
144,Ei::N,മുട്ട,ал
145,Nest::N,കൂട്,пиза
146,Bau::N,മാളം,пиза
147,Tier::N,മൃഗം,жува́та
148,Herde::N,കൂട്ടം,нал
149,Herde::N,കൂട്ടം,стада
150,Kuh::N,പശു,скал
151,Kuh::N,പശു,тракс
152,Bulle::N,കാള,бука
153,Pferd::N,കുതിര,лишме
154,Schaf::N,ആട്,уча́
155,Schwein::N,പന്നി,тува
156,Hund::N,നായ്,пине
157,Katze::N,പൂച്ച,катоня
158,Katze::N,പൂച്ച,аваката
159,Bär::N,കരടി,офта
160,Eichhörnchen::N,അണ്ണാൻ,ур
161,Elch::N,കടമാന്,ся́рда
162,Fuchs::N,കുറുക്കൻ,келазь
163,Hase::N,മുയൽ,ну́мол
164,Maus::N,ചുണ്ടലി,шеер
165,Wolf::N,ചെന്നായ,върьгаз
166,Vogel::N,പക്ഷി,нармонь
167,Schwarm::N,കൂട്ടം,ко́вол
168,Schwarm::N,കൂട്ടം,ме́швеле
169,Huhn::N,കോഴി,сараз
170,Hahn::N,പൂവൻകോഴി,а́тякш
171,Gans::N,അരയന്നം,маци
172,Adler::N,കഴുകൻ,куцькан
173,Ente::N,താറാവ്,яксярга
174,Eule::N,മൂങ്ങ,ко́рож
175,Kranich::N,കൊക്ക്,ка́рга
176,Krähe::N,കാക്ക,ва́рси
177,Kuckuck::N,കുയിൽ,ку́ку
178,Schwan::N,അരയന്നം,ло́ксти
179,Fisch::N,മത്സ്യം,кал
180,Barsch::N,ഒരിനം മത്സ്യം,о́кунь
181,Hecht::N,ഒരു മത്സ്യം,щу́ка
182,Schlange[Tier]::N,പാമ്പ്,куй
183,Wurm::N,വിര,сукс
184,Spinne::N,ചിലന്തി,унжа́
185,Ameise::N,ഉറുമ്പ്,панжам
186,Laus::N,പേന്,си
187,Mücke::N,മശകം,ся́ське
188,Fliege::N,ഈച്ച,кару
189,Schmetterling::N,ചിത്രശലഭം,ме́лав
190,Beere::N,ബെറി,и́мож
191,Apfel::N,ആപ്പിൾ,марь
192,Pilz::N,കൂൺ,панга
193,Zwiebel::N,സവാള,шурьхкя́
194,Saat::N,വിത്ത്,видьмот
195,Korn::N,ധാന്യം,сёра
196,Heu::N,വയ്ക്കോൽ,тише
197,Schale::N,തൊലി,кедь
198,Grube::N,കുഴി,лотка
199,Falle::N,കെണി,туфкс
200,Falle::N,കെണി,кунда́ма
201,Schlinge::N,കുടുക്ക്,килькш
202,Spur::N,ചുവട്,пильгоки́
203,Asche::N,ചാരം,кулу
204,Dreck::N,അഴുക്ക്,ърда́з
205,Eisen::N,ഇരുമ്പ്,кшни
206,Gold::N,സ്വർണ്ണം,ока
207,Gold::N,സ്വർണ്ണം,золота
208,Silber::N,വെള്ളി,сия́
209,Kohle::N,കൽക്കരി,седь
210,Kohle::N,കൽക്കരി,седьвальмя
211,Glas::N,ഗ്ലാസ്,кля́нцек
212,Lehm::N,കളിമണ്ണ്,сёвонь
213,Sand::N,മണൽ,шува́р
214,Mensch::N,മനുഷ്യർ,ломань
215,Mann::N,പുരുഷൻ,аля
216,Mann::N,പുരുഷൻ,цёраломань
217,Frau::N,സ്ത്രീ,ава
218,Kind::N,കുഞ്ഞ്,идь
219,Kind::N,കുഞ്ഞ്,шаба
220,Junge::N,ആൺകുട്ടി,цёраня
221,Mädchen::N,പെൺകുട്ടി,стирня́
222,Familie::N,കുടുംബം,тнал
223,Familie::N,കുടുംബം,семья
224,Großvater::N,അപ്പൂപ്പൻ,атя
225,Großvater::N,അപ്പൂപ്പൻ,щя́тя
226,Großmutter::N,അമ്മുമ്മ,баба
227,Eltern::N,മാതാപിതാക്കള്,тя́дят-а́лят
228,Vater::N,അച്ഛൻ,аля
229,Mutter::N,അമ്മ,ава
230,Mutter::N,അമ്മ,тядя
231,Sohn::N,മകൻ,цёра
232,Tochter::N,മകൾ,стирь
233,Bruder::N,ചേട്ടൻ,дуган
234,Bruder::N,ചേട്ടൻ,пяльне
235,Bruder::N,അനിയൻ,дуган
236,Bruder::N,അനിയൻ,пяльне
237,Schwester::N,ചേച്ചി,ака
238,Schwester::N,ചേച്ചി,сазор
239,Schwester::N,അനിയത്തി,ака
240,Schwester::N,അനിയത്തി,сазор
241,Onkel::N,അമ്മാവൻ,оця
242,Onkel::N,അമ്മാവൻ,патя
243,Onkel::N,അമ്മാവൻ,щеня́
244,Tante::N,മാമി,ака
245,Tante::N,മാമി,щака
246,Ehemann::N,ഭർത്താവ്,мирде
247,Ehefrau::N,ഭാര്യ,ърьвя́
248,Freude::N,ആഹ്ലാദം,ке́нярдема
249,Gelächter::N,ചിരിയുടെ ശബ്ദം,рахсема
250,Glück::N,സന്തോഷം,паваз
251,Glück::N,സന്തുഷ്ടി,паваз
252,Kummer::N,ശോകം,ризф
253,Kummer::N,ശോകം,пичефкс
254,Wunsch::N,ആഗ്രഹം,мяль
255,Wunsch::N,ആഗ്രഹം,таколдома
256,Lust::N,ആഗ്രഹം,таколдома
257,Geist::N,ചുറുചുറുക്ക്,вайме
258,Gedanke::N,ചിന്ത,мяль
259,Gedächtnis::N,ഓർമ്മശക്തി,прявий
260,Verstand::N,മനസ്സ്,прявий
261,Sinn::N,അർത്ഥം,ён
262,Grund::N,കാരണം,туфта́л
263,Wahrheit::N,സത്യം,ви́де
264,Wahrheit::N,സത്യം,видеши́
265,Gespräch::N,സല്ലാപം,корхтама
266,Märchen::N,യക്ഷിക്കഥ,ёфкс
267,Erzählung::N,കഥ,азкс
268,Nachricht::N,സന്ദേശം,куля́
269,Neuigkeit::N,വാർത്ത,куля́
270,Name::N,പേര്,лем
271,Rätsel::N,പ്രഹേളിക,со́дама ёфкс
272,Rede::N,സംസാരം,вал
273,Rede::N,സംസാരം,корхтама
274,Sprache::N,ഭാഷ,кяль
275,Stimme::N,സ്വരം,вайгяль
276,Wort::N,വാക്ക്,вал
277,Zeichen::N,സംജ്ഞ,тя́ште
278,Zeichen::N,സംജ്ഞ,тя́штькс
279,Ruf::N,വിളി,тердема
280,Lärm::N,ആരവം,гайф
281,Lärm::N,ആരവം,жалакодома
282,Laut::N,ശബ്ദം,вайгяль
283,Ton::N,സ്വരഭേദം,вайгяль
284,Lied::N,പാട്ട്,мора
285,Ruhe::N,നിശ്ചലത,сетьме
286,Leute::N,ജനങ്ങൾ,ломатть
287,Volk::N,രാഷ്ടം,наро́д
288,Arbeit::N,ജോലി,тев
289,Gast::N,അതിലി,и́нжи
290,Gast::N,അതിലി,ко́нак
291,Geschenk::N,സമ്മാനം,казне
292,Spiel::N,കളി,налхкома
293,Spiel::N,കളി,налхксема
294,Gesellschaft::N,കൂട്ടായ്മ,кружок
295,Hilfe::N,സഹായം,лездома
296,Freund::N,സുഹൃത്ത്,я́лга
297,Kamerad::N,കൂട്ടാളി,я́лга
298,Angelegenheit::N,കാര്യം,тев
299,Anzahl::N,എണ്ണം,лувкс
300,Art::N,തരം,вид
301,Stück::N,കഷണം,пакш
302,Teil::N,ഭാഗം,часть
303,Teil::N,ഭാഗം,пялькс
304,Hälfte::N,പകുതി,пяле
305,Kreis::N,വൃത്തം,шаркс
306,Kreuz::N,കുരിശടയാളം,крёз
307,Linie::N,വര,межа
308,Linie::N,വര,китькс
309,Linie::N,രേഖ,межа
310,Linie::N,രേഖ,китькс
311,Strich::N,പക്ഷാഘാതം,межа
312,Abstand::N,വിടവ്,ётка
313,Entfernung::N,അകലം,ётка
314,Gegend::N,പ്രദേശം,ва́ста
315,Gegend::N,പ്രദേശം,перьфпя́ль
316,Platz::N,ഇടം,ва́ста
317,Ort::N,സ്ഥലം,ва́ста
318,Seite::N,വശം,пяле
319,Mitte::N,മധ്യസ്ഥാനം,кучка́
320,Gegenstand::N,സാധനം,веща
321,Sache::N,വസ്തു,тев
322,Sache::N,വസ്തു,веща
323,Rand::N,തൊങ്ങൽ,пе
324,Kante::N,അറ്റം,и́рдез
325,Ecke::N,മൂല,ужа
326,Spitze::N,അഗ്രം,пря
327,Ende::N,അവസാനം,пе
328,Loch::N,ദ്വാരം,варя
329,Winkel::N,കോൺ,ужа
330,Muster::N,ക്രമം,сёрма
331,Größe::N,വലുപ്പം,серь
332,Länge::N,നീളം,кува́лма
333,Höhe::N,ഉയരം,серь
334,Gewicht::N,കട്ടി,сталма
335,Menge::N,അളവ്,лувкс
336,Haufen::N,കൂമ്പാരം,мар
337,Reihe::N,വരി,ряд
338,Boot::N,ബോട്ട്,венеж
339,Ruder::N,പങ്കായം,миле
340,Schlitten::N,ഉരുളില്ലാവണ്ടി,ну́рда
341,Ski::N,ഹിമപാദുകം,сокс
342,Lagerfeuer::N,തീ,то́лмар
343,Last::N,ഭാരം,канкс
344,Last::N,ഭാരം,сталма
345,Gang::N,നടത്തം,молема
346,Schritt::N,ചുവട്,аськолкс
347,Norden::N,വടക്ക്,якшама шире
348,Süden::N,തെക്ക്,ля́мбе ши́ре
349,Westen::N,പടിഞ്ഞാറ്,ши валгома шире
350,Osten::N,കിഴക്ക്,шинь стяма шире
351,Holz::N,തടി,вирь
352,Holz::N,തടി,шуфта
353,Brett::N,ബോർഡ്,лавця
354,Platte::N,തകിട്,плита́
355,Stütze::N,താങ്ങ്,неже
356,Stange::N,കമ്പ്,олга
357,Stock::N,വടി,байдек
358,Stab::N,കുറുവടി,олгоня
359,Rohr::N,കുഴൽ,турама
360,Haus::N,വീട്,куд
361,Heim::N,വീട്,куд
362,Ofen::N,സ്റ്റൌ,пянакуд
363,Fußboden::N,തറ,кия́кс
364,Tisch::N,മേശ,шра
365,Tisch::N,മേശ,моркш
366,Stuhl::N,കസേര,стул
367,Wiege::N,തൊട്ടിൽ,нюря́м
368,Bett::N,കിടക്ക,ацам
369,Regal::N,ഷെൽഫ്,лавцяланга
370,Kiste::N,പെട്ടി,парга
371,Fenster::N,ജനൽ,валмья
372,Tür::N,വാതിൽ,кенкш
373,Tor::N,കവാടം,ортат
374,Zaun::N,വേലി,перяфкс
375,Dach::N,മേൽക്കുര,кудпря
376,Leiter::N,ഏണി,куцема
377,Besen::N,ചൂല്,тяльме
378,Spaten::N,തൂമ്പ,ка́йме
379,Schaufel::N,തൂമ്പ,ко́поня
380,Schaufel::N,തൂമ്പ,ця́рдом
381,Gabel::N,മുൾക്കത്തി,ця́нгоня
382,Löffel::N,സ്പൂൺ,куцю
383,Messer::N,കത്തി,пеель
384,Nagel::N,ആണി,эска
385,Netz::N,വല,
386,Haken::N,കൊളുത്ത്,кя́чказ
387,Griff::N,കൈപ്പിടി,недь
388,Griff::N,കൈപ്പിടി,кунда́мка
389,Schloss::N,പൂട്ട്,замо́к
390,Bild::N,ചിത്രം,карти́на
391,Figur::N,കണക്ക്,ронга-понда
392,Puppe::N,പാവ,ня́ка
393,Beutel::N,ബാഗ്,кяскав
394,Bündel::N,കെട്ട്,кярьме
395,Tasche::N,ബാഗ്,кошяльня
396,Eimer::N,ബക്കറ്റ്,ве́дарка
397,Deckel::N,ഉറ,тавадкс
398,Deckel::N,ഉറ,вельхкс
399,Geschirr::N,പിഞ്ഞാണം,кядьге
400,Sack::N,ചാക്ക്,кяскав
401,Tasse::N,കപ്പ്,ша́ваня
402,Topf::N,പാത്രം,кавозь
403,Kessel::N,കെറ്റ്ല്,сргавозь
404,Essen::N,ആഹാരസമയം,ярхцама
405,Nahrung::N,ഭക്ഷണം,ярхцампяль
406,Speise::N,ഡിഷ്,ярхцама
407,Fleisch::N,മാംസം,пал
408,Fleisch::N,മാംസം,сиволь
409,Getreide::N,ചോളം,сёра
410,Brei::N,കഞ്ഞി,ям
411,Brot::N,റോട്ടി,кши
412,Scheibe::N,തുണ്ട്,кочам
413,Fett::N,കൊഴുപ്പ്,куя́
414,Butter::N,വെണ്ണ,вай
415,Öl::N,എണ്ണ,вай
416,Salz::N,ഉപ്പ്,сал
417,Suppe::N,സൂപ്പ്,шонгарям
418,Suppe::N,സൂപ്പ്,коршампяль
419,Honig::N,തേൻ,медь
420,Milch::N,പാൽ,лофца
421,Tee::N,ചായ,чай
422,Leder::N,തുകൽ,кедь
423,Wolle::N,കമ്പിളി,пона
424,Stoff::N,തുണി,котф
425,Nadel::N,സൂചി,салмокс
426,Faden::N,നൂല്,сюре
427,Knopf::N,ബട്ടൺ,пуня
428,Knoten::N,കുരുക്ക്,сюлма
429,Farbe::N,പെയിൻറ്,архтомбяль
430,Kleidung::N,വസ്ത്രങ്ങൾ,щам
431,Hemd::N,ഷർട്ട്,па́нар
432,Kragen::N,കുപ്പായക്കഴുത്ത്,сиве
433,Ärmel::N,കുപ്പായക്കൈ,ожа
434,Hose::N,ട്രൌസർ,понкст
435,Gürtel::N,ബെൽറ്റ്,каркс
436,Mütze::N,തൊപ്പി,вазь
437,Schuh::N,ഷൂ,башма́к
438,Stiefel::N,ബൂട്ട്,кя́ме
439,Ring::N,മോതിരം,суркс
440,Band::N,റിബൺ,керькс
441,Band::N,റിബൺ,лента
442,Kamm::N,ചീപ്പ്,сюрьхцем
443,Spiegel::N,കണ്ണാടി,ванома
444,Riemen::N,സ്ട്രാപ്പ്,шнань каркс
445,Schnur::N,ചരട്,пикс
446,Schnur::N,ചരട്,карькскя
447,Leine::N,കെട്ടാനുള്ള തോൽവാർ,вядьме
448,Decke::N,പുതപ്പ്,вельхкс
449,Kissen::N,തലയിണ,тоду
450,Tuch::N,സ്കാർഫ്,руця́
451,Handtuch::N,തോർത്ത്,на́рдама
452,Kraft::N,ശക്തി,вий
453,Stärke::N,ശക്തി,вииши
454,Gesundheit::N,ആരോഗ്യം,шумбраши́
455,Krankheit::N,അസുഖം,урма́
456,Krankheit::N,അസുഖം,сярядема
457,Schmerz::N,വേദന,маряма
458,Wunde::N,മുറിവ്,керф
459,Fieber::N,പനി,маштыкс
460,Arznei::N,മരുന്ന്,надо́бья
461,Arznei::N,മരുന്ന്,пъчка́фтома
462,Brücke::N,പാലം,седь
463,Brunnen::N,കിണർ,эши
464,Weide::N,മേച്ചൽ,ванома васта
465,Pfad::N,വഴി,ян
466,Pfad::N,വഴി,киня́
467,Weg::N,വഴി,ки
468,Straße::N,റോഡ്,ки
469,Dorf::N,ഗ്രാമം,веле
470,Stadt::N,നഗരം,ош
471,Brief::N,കത്ത്,сёрма
472,Buch::N,പുസ്തകം,книга
473,Buchstabe::N,അക്ഷരം,бу́ква
474,Zeitung::N,വർത്തമാനപത്രം,газе́та
475,Leben::N,ജീവൻ,эряф
476,Leben::N,ജീവൻ,эряма
477,Tod::N,മരണം,кулома́
478,Grab::N,ശവക്കുഴി,калма
479,Kirche::N,പള്ളി,це́рькав
480,Sünde::N,പാപം,пежеть
481,Sünde::N,പാപം,муворкс
482,Gott::N,ദൈവം,шкай
483,Arbeiter::N,ജോലിക്കാരൻ,трудендай
484,Arbeiter::N,ജോലിക്കാരൻ,работник
485,Chef::N,മേധാവി,азор
486,Chef::N,മേധാവി,оцюня
487,Meister::N,യജമാനൻ,мастяр
488,Arzt::N,ഡോക്ടർ,врач
489,Arzt::N,ഡോക്ടർ,доктор
490,Lehrer::N,അധ്യാപകൻ,учи́тель
491,Geld::N,പണം,ярмакт
492,Geschäft::N,ബിസിനസ്,ладяфкс
493,Geschäft::N,ബിസിനസ്,ладяф тев
494,Laden::N,കട,ла́вка
495,Preis::N,വില,питне
496,Ware::N,ചരക്ക്,миф
497,Ware::N,ചരക്ക്,ра́маф
498,Nutzen::N,ലാഭം,пара
499,Nutzen::N,ലാഭം,лезкс
500,Reichtum::N,ധനം,ко́зяши
501,Welt::N,ലോകം,свет
502,Land::N,രാജ്യം,мастор
503,Staat::N,രാജ്യം,государства
504,König::N,രാജാവ്,король
505,Macht::N,അധികാരം,азорондама
506,Macht::N,അധികാരം,азорксши
507,Grenze::N,അതിർത്തി,ёткаян
508,Krieg::N,യുദ്ധം,война́
509,Feind::N,ശത്രു,душман
510,Feind::N,ശത്രു,каршек тюри
511,Gewalt::N,അക്രമം,наругама
512,Kampf::N,പോരാട്ടം,тюрема́
513,Bogen[Waffe]::N,വില്ല്,нал
514,Pfeil::N,അമ്പ്,нал
515,Gewehr::N,തോക്ക്,винто́вка
516,Fehler::N,പിശക്,эльбядькс
517,Lüge::N,കള്ളം,васькафнема
518,Schaden::N,കേടുപാട്,зия́н
519,Unglück::N,ദൌർഭാഗ്യം,зия́н
520,Schuld::N,തെറ്റ്,муворши
521,Alter::N,വയസ്സ്,эряф кизот
522,Alter::N,വയസ്സ്,эряфонь пинге
523,Schluss::N,നിഗമനം,пе
524,Zeit::N,സമയം,пинге
525,Tag::N,ദിവസം,ши
526,Morgen::N,പ്രഭാതം,шобдава
527,Mittag::N,ഉച്ച,шикучка
528,Abend::N,സായാഹ്നം,иля́дь
529,Nacht::N,രാത്രി,ве
530,Woche::N,ആഴ്ച,недя́ля
531,Monat::N,മാസം,ков
532,Jahr::N,വർഷം,киза
533,Frühling::N,വസന്തം,тунда́
534,Sommer::N,വേനൽ,киза
535,Herbst::N,ശരത്കാലം,сёксе
536,Winter::N,ശൈത്യം,тяла
537,Januar::N,ജനുവരി,кельмеков
538,Februar::N,ഫെബ്രുവരി,уфайков
539,März::N,മാർച്ച്,марайков
540,April::N,ഏപ്രിൾ മാസം,шудиков
541,Mai::N,മെയ് മാസം,панжиков
542,Juni::N,ജൂൺ,лямбеков
543,Juli::N,ജൂലൈ,псиков
544,August::N,ആഗസ്റ്റ്,сёроньков
545,September::N,സെപ്തംബർ,тюжягов
546,Oktober::N,ഒക്ടോബർ,кельмазаков
547,November::N,നവംബർ,эйндамков
548,Dezember::N,ഡിസംബർ,кучкаков
549,Montag::N,തിങ്കളാഴ്ച,одговши
550,Dienstag::N,ചൊവ്വ,ша́вши
551,Mittwoch::N,ബുധനാഴ്ച,вержи
552,Donnerstag::N,വ്യാഴാഴ്ച,шува́ланя
553,Freitag::N,വെള്ളിയാഴ്ച,пя́денця
554,Samstag::N,ശനിയാഴ്ച,ёткши
555,Sonntag::N,ഞായറാഴ്ച,таргоши
556,groß::A,വലിയ,оцю
557,klein::A,ചെറിയ,ёмла
558,lang::A,നീണ്ട,кува́ка
559,kurz::A,ഹ്രസ്വമായ,нюрьхкя́ня
560,breit::A,വിശാലമായ,кели
561,schmal::A,ഇടുങ്ങിയ,тяйня
562,dicht::A,നിബിഡമായ,сиде
563,dicht::A,നിബിഡമായ,туста
564,dick[Gegenstand]::A,തടിച്ച,эчке
565,dünn::A,മെലിഞ്ഞ,шува́ня
566,fein::A,നേർത്ത,шува́ня
567,fest::A,ഉറപ്പുള്ള,кеме
568,flach::A,പരന്ന,лапш
569,glatt::A,മിനുസമുള്ള,вадяв
570,glatt::A,മിനുസമുള്ള,такор
571,hart::A,കട്ടിയുള്ള,калгода
572,weich::A,മൃദുവായ,ляпе
573,rund::A,വട്ടത്തിലുള്ള,кру́глай
574,spitz::A,മുനയുള്ള,ботаз
575,spitz::A,മുനയുള്ള,оржа
576,scharf::A,മൂർച്ചയുള്ള,оржа
577,stumpf::A,തുറന്നടിക്കുന്ന,ношка
578,schwer::A,ഭാരമുള്ള,стака
579,schön::A,മനോഹരമായ,мазы
580,heiß::A,ചൂടുള്ള,пси
581,warm::A,ചൂടുള്ള,лямбе
582,kalt::A,തണുത്ത,кельме
583,kühl::A,തണുപ്പുള്ള,эше
584,frisch::A,ശുദ്ധമായ,свежай
585,feucht::A,ഈറനുള്ള,летьке
586,nass::A,നനഞ്ഞ,начка
587,trocken::A,വരണ്ട,коське
588,voll::A,നിറയെ,пяшксе
589,leer::A,ഒഴിഞ്ഞ,шава
590,offen::A,തുറന്ന,панжада
591,offen::A,തുറന്ന,виде
592,geschlossen::A,അടച്ച,пякстаф
593,geschlossen::A,അടച്ച,сёлгф
594,sauber::A,വൃത്തിയുള്ള,ару
595,schmutzig::A,അഴുക്കുനിറഞ്ഞ,рда́зу
596,schmutzig::A,അഴുക്കുനിറഞ്ഞ,пя́ндра
597,roh::A,അസംസ്കൃതമായ,верок
598,reif::A,പഴുത്ത,ке́нерьф
599,lecker::A,രുചികരമായ,танцти
600,süß::A,മധുരമുള്ള,ламбама
601,bitter::A,കടുത്ത,сяпи
602,sauer::A,പുളിപ്പുള്ള,шапама
603,hell::A,ജ്വലിക്കുന്ന,валда
604,dunkel::A,ഇരുണ്ട,шобда
605,schwarz::A,കറുത്ത,равжа
606,weiß::A,വെളുത്ത,акша
607,rot::A,ചുവന്ന,якстерь
608,gelb::A,മഞ്ഞനിറമായ,тюжя́
609,blau::A,നീലനിറമുള്ള,сенем
610,grün::A,പച്ചനിറമുള്ള,пиже
611,grün::A,പച്ചനിറമുള്ള,сянгяря
612,grau::A,ചാരനിറത്തിലുള്ള,уле
613,bunt::A,വർണ്ണശബളമായ,сёрмав
614,billig::A,വിലകുറഞ്ഞ,у́цез
615,billig::A,വിലകുറഞ്ഞ,аф пи́тни
616,teuer::A,ചെലവേറിയ,пи́тни
617,wertvoll::A,വിലപിടിപ്പുള്ള,питни
618,blind::A,അന്ധനായ,сокор
619,taub::A,കേൾവിക്കുറവുള്ള,пярав
620,kräftig::A,ശക്തിയുള്ള,пяк вии
621,stark::A,ബലമുള്ള,вии
622,schwach::A,ക്ഷീണിച്ച,лафча
623,fett::A,കൊഴുപ്പുള്ള,куя́
624,schlank::A,മെലിഞ്ഞ,виде ронга
625,hübsch::A,മനോഹരമായ,мазы
626,böse::A,പാപിയായ,кяжи
627,dumm::A,വിവരംകെട്ട,аф ёню
628,dumm::A,വിവരംകെട്ട,шава пря
629,faul::A,അലസനായ,нола
630,fleißig::A,അദ്ധ്വാനശീലമുള്ള,ку́лхцонды
