,Concept_ID,zh,zh
71,Schatten::N,影子,影子
72,Wetter::N,天气,天气
73,Nebel::N,雾,雾
74,Wolke::N,云,云
75,Regen::N,雨,雨
76,Schnee::N,雪,雪
77,Eis::N,冰,冰
78,Frost::N,霜冻,霜冻
79,Kälte::N,寒冷,寒冷
80,Hitze::N,炎热,炎热
81,Raureif::N,霜,霜
82,Regenbogen::N,虹,虹
83,Donner::N,雷,雷
84,Strömung::N,水流,水流
85,Tropfen::N,滴,滴
86,Schaum::N,泡沫,泡沫
87,Schmutz::N,赃物,赃物
88,See::N,湖,湖
89,Sumpf::N,沼泽,沼泽
90,Moor::N,沼泽,沼泽
91,Wiese::N,草地,草地
92,Wald::N,森林,森林
93,Hügel::N,丘陵,丘陵
94,Anhöhe::N,山丘,山丘
95,Berg::N,山,山
96,Gipfel::N,峰,峰
97,Höhle::N,洞穴,洞穴
98,Abhang::N,斜坡,斜坡
99,Quelle::N,泉,泉
100,Bach::N,溪,溪
101,Fluss::N,河流,河流
102,Ufer::N,岸,岸
103,Küste::N,海岸,海岸
104,Festland::N,大陆,大陆
105,Meer::N,海,海
106,Bucht::N,海湾,海湾
107,Insel::N,岛,岛
108,Blume::N,花,花
109,Gras::N,草,草
110,Wurzel::N,根,根
111,Baum::N,树,树
112,Stamm::N,树干,树干
113,Rinde::N,树皮,树皮
114,Ast::N,树枝,树枝
115,Zweig::N,树枝,树枝
116,Blatt::N,叶子,叶子
117,Birke::N,桦木,桦木
118,Kiefer[Baum]::N,松树,松树
119,Weide[Baum]::N,柳树,柳树
120,Tanne::N,冷杉,冷杉
121,Horn::N,角,角
122,Feder::N,羽毛,羽毛
123,Fell::N,皮毛,皮毛
124,Flügel::N,翅膀,翅膀
125,Klaue::N,爪子,爪子
126,Kralle::N,爪子,爪子
127,Schwanz::N,尾巴,尾巴
128,Ei::N,蛋,蛋
129,Nest::N,巢,巢
130,Bau::N,穴,穴
131,Tier::N,动物,动物
132,Herde::N,群,群
133,Kuh::N,母牛,母牛
134,Bulle::N,公牛,公牛
135,Pferd::N,马,马
136,Schaf::N,羊,羊
137,Schwein::N,猪,猪
138,Hund::N,狗,狗
139,Katze::N,猫,猫
140,Bär::N,熊,熊
141,Eichhörnchen::N,松鼠,松鼠
142,Elch::N,麋鹿,麋鹿
143,Fuchs::N,狐狸,狐狸
144,Hase::N,兔子,兔子
145,Maus::N,老鼠,老鼠
146,Wolf::N,狼,狼
147,Vogel::N,鸟,鸟
148,Schwarm::N,群,群
149,Huhn::N,鸡,鸡
150,Hahn::N,公鸡,公鸡
151,Gans::N,鹅,鹅
152,Adler::N,鹰,鹰
153,Ente::N,鸭,鸭
154,Eule::N,猫头鹰,猫头鹰
155,Kranich::N,鹤,鹤
156,Krähe::N,乌鸦,乌鸦
157,Kuckuck::N,布谷鸟,布谷鸟
158,Schwan::N,天鹅,天鹅
159,Fisch::N,鱼,鱼
160,Barsch::N,鲈鱼,鲈鱼
161,Hecht::N,狗鱼,狗鱼
162,Schlange[Tier]::N,蛇,蛇
163,Wurm::N,蠕虫,蠕虫
164,Spinne::N,蜘蛛,蜘蛛
165,Ameise::N,蚂蚁,蚂蚁
166,Laus::N,虱子,虱子
167,Mücke::N,蚊子,蚊子
168,Fliege::N,苍蝇,苍蝇
169,Schmetterling::N,蝴蝶,蝴蝶
170,Beere::N,将果,将果
171,Apfel::N,苹果,苹果
172,Pilz::N,蘑菇,蘑菇
173,Zwiebel::N,洋葱,洋葱
174,Saat::N,种子,种子
175,Korn::N,谷粒,谷粒
176,Heu::N,干草,干草
177,Schale::N,壳,壳
178,Grube::N,坑,坑
179,Falle::N,圈套,圈套
180,Schlinge::N,活扣,活扣
181,Spur::N,踪迹,踪迹
182,Asche::N,灰烬,灰烬
183,Dreck::N,污垢,污垢
184,Eisen::N,铁,铁
185,Gold::N,金子,金子
186,Silber::N,银,银
187,Kohle::N,煤,煤
188,Glas::N,玻璃,玻璃
189,Lehm::N,粘土,粘土
190,Sand::N,沙,沙
191,Mensch::N,人,人
192,Mann::N,男子,男子
193,Frau::N,妇女,妇女
194,Kind::N,小孩,小孩
195,Junge::N,男孩,男孩
196,Mädchen::N,女孩,女孩
197,Familie::N,家庭,家庭
198,Großvater::N,祖父,祖父
199,Großmutter::N,祖母,祖母
200,Eltern::N,父母,父母
201,Vater::N,父亲,父亲
202,Mutter::N,母亲,母亲
203,Sohn::N,儿子,儿子
204,Tochter::N,女儿,女儿
205,Bruder::N,兄弟,兄弟
206,Schwester::N,姐妹,姐妹
207,Onkel::N,伯父,伯父
208,Tante::N,阿姨,阿姨
209,Ehemann::N,丈夫,丈夫
210,Ehefrau::N,妻子,妻子
211,Freude::N,愉快,愉快
212,Gelächter::N,大笑,大笑
213,Glück::N,运气,运气
214,Kummer::N,苦恼,苦恼
215,Wunsch::N,愿望,愿望
216,Lust::N,乐趣,乐趣
217,Geist::N,精神,精神
218,Gedanke::N,思想,思想
219,Gedächtnis::N,记性,记性
220,Verstand::N,理智,理智
221,Sinn::N,感觉,感觉
222,Grund::N,理由,理由
223,Wahrheit::N,真理,真理
224,Gespräch::N,谈话,谈话
225,Märchen::N,童话,童话
226,Erzählung::N,故事,故事
227,Nachricht::N,消息,消息
228,Neuigkeit::N,新闻,新闻
229,Name::N,名字,名字
230,Rätsel::N,谜语,谜语
231,Rede::N,讲话,讲话
232,Sprache::N,语言,语言
233,Stimme::N,声音,声音
234,Wort::N,词,词
235,Zeichen::N,标记,标记
236,Ruf::N,呼喊,呼喊
237,Lärm::N,噪音,噪音
238,Laut::N,响声,响声
239,Ton::N,声音,声音
240,Lied::N,歌曲,歌曲
241,Ruhe::N,安静,安静
242,Leute::N,人们,人们
243,Volk::N,人民,人民
244,Arbeit::N,劳动,劳动
245,Gast::N,客人,客人
246,Geschenk::N,礼物,礼物
247,Spiel::N,游戏,游戏
248,Gesellschaft::N,陪同,陪同
249,Hilfe::N,帮助,帮助
250,Freund::N,朋友,朋友
251,Kamerad::N,同志,同志
252,Angelegenheit::N,事情,事情
253,Anzahl::N,数目,数目
254,Art::N,种类,种类
255,Stück::N,块,块
256,Teil::N,部分,部分
257,Hälfte::N,一半,一半
258,Kreis::N,圆,圆
259,Kreuz::N,十字架,十字架
260,Linie::N,线条,线条
261,Strich::N,划,划
262,Abstand::N,距离,距离
263,Entfernung::N,距离,距离
264,Gegend::N,地区,地区
265,Platz::N,场所,场所
266,Ort::N,地点,地点
267,Seite::N,面,面
268,Mitte::N,中间,中间
269,Gegenstand::N,物品,物品
270,Sache::N,物,物
271,Rand::N,边,边
272,Kante::N,棱,棱
273,Ecke::N,角,角
274,Spitze::N,尖,尖
275,Ende::N,结尾,结尾
276,Loch::N,洞,洞
277,Winkel::N,角度,角度
278,Muster::N,模型,模型
279,Größe::N,大小,大小
280,Länge::N,长度,长度
281,Höhe::N,高度,高度
282,Gewicht::N,重量,重量
283,Menge::N,数量,数量
284,Haufen::N,堆,堆
285,Reihe::N,行,行
286,Boot::N,小船,小船
287,Ruder::N,奖,奖
288,Schlitten::N,雪橇,雪橇
289,Ski::N,雪板,雪板
290,Lagerfeuer::N,营火,营火
291,Last::N,负担,负担
292,Gang::N,行走,行走
293,Schritt::N,步伐,步伐
294,Norden::N,北,北
295,Süden::N,南,南
296,Westen::N,西,西
297,Osten::N,东,东
298,Holz::N,木材,木材
299,Brett::N,木板,木板
300,Platte::N,平板,平板
301,Stütze::N,支架,支架
302,Stange::N,杆,杆
303,Stock::N,棒,棒
304,Stab::N,棍,棍
305,Rohr::N,管子,管子
306,Haus::N,房屋,房屋
307,Heim::N,家,家
308,Ofen::N,炉子,炉子
309,Fußboden::N,地板,地板
310,Tisch::N,桌子,桌子
311,Stuhl::N,椅子,椅子
312,Wiege::N,摇蓝,摇蓝
313,Bett::N,床,床
314,Regal::N,架子,架子
315,Kiste::N,箱子,箱子
316,Fenster::N,窗户,窗户
317,Tür::N,门,门
318,Tor::N,大门,大门
319,Zaun::N,篱笆,篱笆
320,Dach::N,屋顶,屋顶
321,Leiter::N,梯子,梯子
322,Besen::N,扫帚,扫帚
323,Spaten::N,铁锹,铁锹
324,Schaufel::N,铁锹,铁锹
325,Gabel::N,叉,叉
326,Löffel::N,食匙,食匙
327,Messer::N,刀,刀
328,Nagel::N,钉子,钉子
329,Netz::N,网,网
330,Haken::N,钩子,钩子
331,Griff::N,把柄,把柄
332,Schloss::N,锁,锁
333,Bild::N,图画,图画
334,Figur::N,人像,人像
335,Puppe::N,娃娃,娃娃
336,Beutel::N,袋子,袋子
337,Bündel::N,捆,捆
338,Tasche::N,手提包,手提包
339,Eimer::N,桶,桶
340,Deckel::N,盖子,盖子
341,Geschirr::N,餐具,餐具
342,Sack::N,袋子,袋子
343,Tasse::N,杯子,杯子
344,Topf::N,锅,锅
345,Kessel::N,水壶,水壶
346,Essen::N,进餐,进餐
347,Nahrung::N,食物,食物
348,Speise::N,菜肴,菜肴
349,Fleisch::N,肉,肉
350,Getreide::N,谷物,谷物
351,Brei::N,粥,粥
352,Brot::N,面包,面包
353,Scheibe::N,片,片
354,Fett::N,脂肪,脂肪
355,Butter::N,黄油,黄油
356,Öl::N,油,油
357,Salz::N,盐,盐
358,Suppe::N,汤,汤
359,Honig::N,蜂蜜,蜂蜜
360,Milch::N,奶,奶
361,Tee::N,茶,茶
362,Leder::N,皮革,皮革
363,Wolle::N,毛线,毛线
364,Stoff::N,织物,织物
365,Nadel::N,针,针
366,Faden::N,线,线
367,Knopf::N,纽扣,纽扣
368,Knoten::N,结,结
369,Farbe::N,颜色,颜色
370,Kleidung::N,衣服,衣服
371,Hemd::N,衬衫,衬衫
372,Kragen::N,领子,领子
373,Ärmel::N,袖子,袖子
374,Hose::N,裤子,裤子
375,Gürtel::N,腰带,腰带
376,Mütze::N,帽子,帽子
377,Schuh::N,鞋,鞋
378,Stiefel::N,靴子,靴子
379,Ring::N,戒指,戒指
380,Band::N,带子,带子
381,Kamm::N,梳子,梳子
382,Spiegel::N,镜子,镜子
383,Riemen::N,皮带,皮带
384,Schnur::N,绳子,绳子
385,Leine::N,皮带,皮带
386,Decke::N,被子,被子
387,Kissen::N,软垫,软垫
388,Tuch::N,巾,巾
389,Handtuch::N,手巾,手巾
390,Kraft::N,力,力
391,Stärke::N,力量,力量
392,Gesundheit::N,健康,健康
393,Krankheit::N,病,病
394,Schmerz::N,痛,痛
395,Wunde::N,伤口,伤口
396,Fieber::N,发烧,发烧
397,Arznei::N,药,药
398,Brücke::N,桥,桥
399,Brunnen::N,井,井
400,Weide::N,牧场,牧场
401,Pfad::N,小路,小路
402,Weg::N,路,路
403,Straße::N,街,街
404,Dorf::N,村庄,村庄
405,Stadt::N,城市,城市
406,Brief::N,信,信
407,Buch::N,书,书
408,Buchstabe::N,字母,字母
409,Zeitung::N,报纸,报纸
410,Leben::N,生命,生命
411,Tod::N,死亡,死亡
412,Grab::N,坟墓,坟墓
413,Kirche::N,教堂,教堂
414,Sünde::N,罪,罪
415,Gott::N,上帝,上帝
416,Arbeiter::N,工人,工人
417,Chef::N,上司,上司
418,Meister::N,师傅,师傅
419,Arzt::N,医生,医生
420,Lehrer::N,教师,教师
421,Geld::N,钱,钱
422,Geschäft::N,交易,交易
423,Laden::N,商店,商店
424,Preis::N,价格,价格
425,Ware::N,商品,商品
426,Nutzen::N,好处,好处
427,Reichtum::N,财富,财富
428,Welt::N,世界,世界
429,Land::N,国家,国家
430,Staat::N,国家,国家
431,König::N,国王,国王
432,Macht::N,权力,权力
433,Grenze::N,边界,边界
434,Krieg::N,战争,战争
435,Feind::N,敌人,敌人
436,Gewalt::N,暴力,暴力
437,Kampf::N,战斗,战斗
438,Bogen[Waffe]::N,弓,弓
439,Pfeil::N,箭,箭
440,Gewehr::N,枪,枪
441,Fehler::N,错误,错误
442,Lüge::N,谎话,谎话
443,Schaden::N,损失,损失
444,Unglück::N,不幸,不幸
445,Schuld::N,过错,过错
446,Alter::N,年龄,年龄
447,Schluss::N,结束,结束
448,Zeit::N,时间,时间
449,Tag::N,天,天
450,Morgen::N,早晨,早晨
451,Mittag::N,中午,中午
452,Abend::N,晚上,晚上
453,Nacht::N,夜,夜
454,Woche::N,星期,星期
455,Monat::N,月,月
456,Jahr::N,年,年
457,Frühling::N,春天,春天
458,Sommer::N,夏天,夏天
459,Herbst::N,秋天,秋天
460,Winter::N,冬天,冬天
461,Januar::N,一月,一月
462,Februar::N,二月,二月
463,März::N,三月,三月
464,April::N,四月,四月
465,Mai::N,五月,五月
466,Juni::N,六月,六月
467,Juli::N,七月,七月
468,August::N,八月,八月
469,September::N,九月,九月
470,Oktober::N,十月,十月
471,November::N,十一月,十一月
472,Dezember::N,十二月,十二月
473,Montag::N,星期一,星期一
474,Dienstag::N,星期二,星期二
475,Mittwoch::N,星期三,星期三
476,Donnerstag::N,星期四,星期四
477,Freitag::N,星期五,星期五
478,Samstag::N,星期六,星期六
479,Sonntag::N,星期日,星期日
480,groß::A,大,大
481,klein::A,小,小
482,lang::A,长,长
483,kurz::A,短,短
484,breit::A,宽,宽
485,schmal::A,细长的,细长的
486,dicht::A,密,密
487,dick[Gegenstand]::A,厚,厚
488,dünn::A,薄,薄
489,fein::A,细小,细小
490,fest::A,固体,固体
491,flach::A,平坦,平坦
492,glatt::A,光滑,光滑
493,hart::A,硬,硬
494,weich::A,软,软
495,rund::A,圆,圆
496,spitz::A,尖,尖
497,scharf::A,锋利,锋利
498,stumpf::A,钝,钝
499,schwer::A,重,重
500,schön::A,美丽,美丽
501,heiß::A,烫,烫
502,warm::A,暖和,暖和
503,kalt::A,冷,冷
504,kühl::A,凉,凉
505,frisch::A,新鲜,新鲜
506,feucht::A,潮湿,潮湿
507,nass::A,湿,湿
508,trocken::A,干,干
509,voll::A,满,满
510,leer::A,空,空
511,offen::A,敞开,敞开
512,geschlossen::A,关闭,关闭
513,sauber::A,干净,干净
514,schmutzig::A,肮脏,肮脏
515,roh::A,生,生
516,reif::A,成熟,成熟
517,lecker::A,好吃,好吃
518,süß::A,甜,甜
519,bitter::A,苦,苦
520,sauer::A,酸,酸
521,hell::A,亮,亮
522,dunkel::A,阴暗,阴暗
523,schwarz::A,黑,黑
524,weiß::A,白,白
525,rot::A,红,红
526,gelb::A,黄,黄
527,blau::A,蓝,蓝
528,grün::A,绿,绿
529,grau::A,灰色,灰色
530,bunt::A,五彩,五彩
531,billig::A,便宜,便宜
532,teuer::A,贵,贵
533,wertvoll::A,贵重,贵重
534,blind::A,瞎,瞎
535,taub::A,聋,聋
536,kräftig::A,强壮,强壮
537,stark::A,强壮,强壮
538,schwach::A,弱,弱
539,fett::A,胖,胖
540,schlank::A,苗条,苗条
541,hübsch::A,漂亮,漂亮
542,böse::A,邪恶,邪恶
543,dumm::A,笨,笨
544,faul::A,懒惰,懒惰
545,fleißig::A,勤奋,勤奋
546,geizig::A,吝啬,吝啬
547,klug::A,聪明,聪明
548,geschickt::A,灵巧,灵巧
549,lieb::A,可爱,可爱
550,lustig::A,快乐,快乐
551,sanft::A,柔和,柔和
552,hungrig::A,饥饿,饥饿
553,krank::A,患病,患病
554,nackt::A,裸体,裸体
555,traurig::A,悲哀,悲哀
556,lebendig::A,活,活
557,gut::A,好,好
558,schlecht::A,坏,坏
559,richtig::A,正确,正确
560,schlimm::A,糟糕,糟糕
561,wahr::A,真,真
562,alt::A,旧,旧
563,neu::A,新,新
564,ehemalig::A,以前,以前
565,alt[Lebewesen]::A,老,老
566,jung::A,年轻,年轻
567,arm::A,贫穷,贫穷
568,reich::A,富裕,富裕
569,bekannt::A,出名,出名
570,berühmt::A,著名,著名
571,fremd::A,陌生,陌生
572,verschieden::A,不同,不同
573,nah::A,近,近
574,fern::A,遥远,遥远
575,linker::A,左,左
576,rechter::A,右,右
577,anderer::A,别的,别的
578,erster::A,第一,第一
579,zweiter::A,第二,第二
580,dritter::A,第三,第三
581,letzter::A,最后,最后
582,allein::ADV,单独,单独
583,auf einmal::ADV,同时,同时
584,zusammen::ADV,一起,一起
585,lange::ADV,许久,许久
586,plötzlich::ADV,忽然,忽然
587,sofort::ADV,立刻,立刻
588,später::ADV,以后,以后
589,jetzt::ADV,现在,现在
590,heute::ADV,今天,今天
591,morgen::ADV,明天,明天
592,bald::ADV,即将,即将
593,dann::ADV,然后,然后
594,gestern::ADV,昨天,昨天
595,einst::ADV,曾经,曾经
596,damals::ADV,当时,当时
597,danach::ADV,随后,随后
598,vorher::ADV,事先,事先
599,zuerst::ADV,首先,首先
600,einmal::ADV,一次,一次
601,manchmal::ADV,有时,有时
602,oft::ADV,时常,时常
603,immer::ADV,总是,总是
604,niemals::ADV,从未,从未
605,hier::ADV,这里,这里
606,hierhin::ADV,到这里,到这里
607,von hier::ADV,由此,由此
608,dort::ADV,那里,那里
609,dorthin::ADV,到那里,到那里
610,geradeaus::ADV,一直往前,一直往前
611,vorwärts::ADV,向前,向前
612,rückwärts::ADV,向后,向后
613,zurück::ADV,退后,退后
614,unten::ADV,下面,下面
615,hinab::ADV,向下,向下
616,oben::ADV,上面,上面
617,hinauf::ADV,向上,向上
618,überall::ADV,到处,到处
619,nicht::ADV,不,不
620,ein wenig::ADV,一点儿,一点儿
621,kaum::ADV,几乎不,几乎不
622,sehr::ADV,很,很
623,so::ADV,如此,如此
624,noch::ADV,还,还
625,nur::ADV,只,只
626,schon::ADV,已经,已经
627,wieder::ADV,又,又
628,vor::PRP,在...面前,在...面前
629,hinter::PRP,在...背后,在...背后
630,unter::PRP,在...下面,在...下面
631,durch::PRP,穿过,穿过
632,neben::PRP,在...旁,在...旁
633,zwischen::PRP,在...之间,在...之间
634,wegen::PRP,由于,由于
635,dies::PRN,这,这
636,das::PRN,那,那
637,alles::PRN,一切,一切
638,ich::PRN,我,我
639,du::PRN,你,你
640,er::PRN,他,他
641,wir::PRN,我们,我们
642,ihr::PRN,你们,你们
643,sie::PRN,她,她
644,was::FPRN,什么,什么
645,wer::FPRN,谁,谁
646,wo::FADV,哪里,哪里
647,wohin::FADV,去哪里,去哪里
648,wie::FADV,怎么,怎么
649,warum::FADV,为什么,为什么
650,wieviel::FNUM,多少,多少
651,eins::NUM,一,一
652,zwei::NUM,二,二
653,drei::NUM,三,三
654,vier::NUM,四,四
655,fünf::NUM,五,五
656,sechs::NUM,六,六
657,sieben::NUM,七,七
658,acht::NUM,八,八
659,neun::NUM,九,九
660,zehn::NUM,十,十
661,elf::NUM,十一,十一
662,zwölf::NUM,十二,十二
663,zwanzig::NUM,二十,二十
664,dreißig::NUM,三十,三十
665,vierzig::NUM,四十,四十
666,fünfzig::NUM,五十,五十
667,sechzig::NUM,六十,六十
668,siebzig::NUM,七十,七十
669,achtzig::NUM,八十,八十
670,neunzig::NUM,九十,九十
671,hundert::NUM,百,百
672,tausend::NUM,千,千
673,und::CNJ,和,和
674,oder::CNJ,或者,或者
675,stehen::V,站,站
676,sitzen::V,坐,坐
677,liegen::V,躺着,躺着
678,hängen::V,挂着,挂着
679,werden::V,成为,成为
680,passieren::V,发生,发生
681,beginnen::V,开始,开始
682,enden::V,终止,终止
683,wechseln::V,变迁,变迁
684,aufgehen[Sonne]::V,升起,升起
685,untergehen[Sonne]::V,下落,下落
686,scheinen[Sonne]::V,照射,照射
687,donnern::V,打雷,打雷
688,wehen::V,飘扬,飘扬
689,strömen::V,流,流
690,fließen::V,流动,流动
691,sich drehen::V,转动,转动
692,schwanken::V,摇摆,摇摆
693,schwingen::V,摇,摇
694,fallen::V,坠落,坠落
695,brennen::V,燃烧,燃烧
696,rauchen::V,冒烟,冒烟
697,regnen::V,下雨,下雨
698,gefrieren::V,结冰,结冰
699,tauen::V,融化,融化
700,schmelzen::V,溶化,溶化
701,trocknen::V,变干,变干
702,sieden::V,煮,煮
703,faulen::V,腐烂,腐烂
704,verfaulen::V,腐烂,腐烂
705,reißen::V,撕,撕
706,versinken::V,下沉,下沉
707,vergehen::V,流逝,流逝
708,erscheinen::V,出现,出现
709,verschwinden::V,消失,消失
710,sinken::V,下降,下降
711,abnehmen::V,减少,减少
712,zunehmen::V,增加,增加
713,steigen::V,上升,上升
714,wachsen::V,生长,生长
715,glänzen::V,发光,发光
716,funkeln::V,闪烁,闪烁
717,lärmen::V,吵闹,吵闹
718,läuten::V,响,响
719,klingeln::V,按铃,按铃
720,brausen::V,疾驶,疾驶
721,klingen::V,听起来,听起来
722,bellen::V,吠,吠
723,heulen::V,嗥,嗥
724,blasen::V,吹,吹
725,pfeifen::V,吹口哨,吹口哨
726,schreien::V,叫喊,叫喊
727,stöhnen::V,呻吟,呻吟
728,zittern::V,颤抖,颤抖
729,leben::V,生存,生存
730,geboren werden::V,出生,出生
731,atmen::V,呼吸,呼吸
732,trinken::V,喝,喝
733,essen::V,吃,吃
734,schlucken::V,咽,咽
735,müde werden::V,疲倦,疲倦
736,einschlafen::V,入睡,入睡
737,schlafen::V,睡觉,睡觉
738,aufwachen::V,睡醒,睡醒
739,aufstehen::V,起床,起床
740,sich erholen::V,休养,休养
741,krank werden::V,生病,生病
742,krank sein::V,生病,生病
743,schmerzen::V,疼痛,疼痛
744,husten::V,咳,咳
745,genesen::V,痊愈,痊愈
746,sterben::V,死,死
747,umkommen::V,丧命,丧命
748,sich bewegen::V,移动,移动
749,sich rühren::V,动弹,动弹
750,sich erheben::V,站起,站起
751,sich setzen::V,坐,坐
752,hinfallen::V,跌倒,跌倒
753,laufen::V,步行,步行
754,schreiten::V,迈步,迈步
755,spazierengehen::V,散步,散步
756,eilen::V,急忙,急忙
757,sich beeilen::V,赶快,赶快
758,sausen::V,疾驰,疾驰
759,rennen::V,奔跑,奔跑
760,springen::V,跳,跳
761,klettern::V,攀缘,攀缘
762,schaukeln::V,荡秋千,荡秋千
763,kriechen::V,爬行,爬行
764,schwimmen::V,游泳,游泳
765,tauchen::V,潜水,潜水
766,rudern::V,划船,划船
767,fahren::V,行驶,行驶
768,fliegen::V,飞,飞
769,gehen::V,走,走
770,weggehen::V,离去,离去
771,abfahren::V,出发,出发
772,anhalten::V,停住,停住
773,hineingehen::V,进去,进去
774,eintreten::V,进入,进入
775,kommen::V,来,来
776,ankommen::V,到达,到达
777,zurückkommen::V,回来,回来
778,bleiben::V,停留,停留
779,warten::V,等,等
780,erwarten::V,等候,等候
781,suchen::V,找,找
782,finden::V,找到,找到
783,versuchen::V,尝试,尝试
784,vorbereiten::V,预备,预备
785,lieben::V,爱,爱
786,mögen::V,喜欢,喜欢
787,lachen::V,笑,笑
788,weinen::V,哭,哭
789,schimpfen::V,骂,骂
790,sich ärgern::V,生气,生气
791,sich fürchten::V,害怕,害怕
792,fürchten::V,害怕,害怕
793,fliehen::V,逃走,逃走
794,flüchten::V,逃跑,逃跑
795,sehen::V,看,看
796,anschauen::V,注视,注视
797,ansehen::V,注视,注视
798,hören::V,听,听
799,zuhören::V,倾听,倾听
800,probieren::V,尝,尝
801,riechen::V,闻,闻
802,fühlen::V,感到,感到
803,scheinen::V,照耀,照耀
804,zu sehen sein::V,可以看到,可以看到
805,vernehmen::V,审讯,审讯
806,frieren::V,觉得冷,觉得冷
807,tun::V,作,作
808,können::V,能,能
809,wollen::V,要,要
810,anfangen::V,开始,开始
811,beenden::V,结束,结束
812,aufhören::V,停止,停止
813,gelingen::V,成功,成功
814,geraten::V,陷于,陷于
815,öffnen::V,打开,打开
816,schließen::V,关,关
817,stellen::V,放,放
818,setzen::V,放,放
819,legen::V,摆,摆
820,berühren::V,触,触
821,verbinden::V,联结,联结
822,bedecken::V,覆盖,覆盖
823,aufhängen::V,挂,挂
824,anzünden::V,点,点
825,aufheben::V,拾起,拾起
826,zurücklassen::V,遗留,遗留
827,verlieren::V,丧失,丧失
828,fallen lassen::V,让掉下,让掉下
829,machen::V,做,做
830,herstellen::V,生产,生产
831,bauen::V,建造,建造
832,reparieren::V,修理,修理
833,verbessern::V,改进,改进
834,ändern::V,改变,改变
835,graben::V,挖,挖
836,beugen::V,弯下,弯下
837,biegen::V,弯,弯
838,drehen::V,转动,转动
839,wenden::V,转动,转动
840,umdrehen::V,转动,转动
841,heben::V,举起,举起
842,hochheben::V,抬高,抬高
843,ergreifen::V,抓住,抓住
844,halten::V,拿着,拿着
845,drücken::V,压,压
846,schieben::V,推,推
847,kratzen::V,搔,搔
848,lecken::V,舔,舔
849,beißen::V,咬,咬
850,abreißen::V,撕下,撕下
851,abschneiden::V,切断,切断
852,binden::V,捆,捆
853,stecken::V,插,插
854,brechen::V,断裂,断裂
855,klopfen::V,敲,敲
856,hauen::V,揍,揍
857,kleben::V,粘,粘
858,reiben::V,摩擦,摩擦
859,streichen::V,涂,涂
860,schleifen::V,拖曳,拖曳
861,schneiden::V,切,切
862,rütteln::V,颠簸,颠簸
863,schütteln::V,摇动,摇动
864,schwenken::V,摇动,摇动
865,schütten::V,倒,倒
866,füllen::V,填满,填满
867,einwickeln::V,包,包
868,tragen::V,提,提
869,schleppen::V,扛,扛
870,ziehen::V,拉,拉
871,aufbewahren::V,保存,保存
872,werfen::V,扔,扔
873,fangen::V,捕捉,捕捉
874,packen::V,抓住,抓住
875,verstecken::V,藏,藏
876,teilen::V,分,分
877,schicken::V,派遣,派遣
878,bringen::V,带来,带来
879,hinzufügen::V,添加,添加
880,bekommen::V,得到,得到
881,erhalten::V,接到,接到
882,nehmen::V,拿,拿
883,wählen::V,挑选,挑选
884,auswählen::V,选择,选择
885,bewahren::V,保持,保持
886,behindern::V,防碍,防碍
887,verderben::V,败坏,败坏
888,beschädigen::V,损坏,损坏
