,Concept_ID,sk,ml
202,Falle::N,klepec,കെണി
203,Schlinge::N,slučka,കുടുക്ക്
204,Spur::N,stopa,ചുവട്
205,Asche::N,popol,ചാരം
206,Dreck::N,kal,അഴുക്ക്
207,Dreck::N,blato,അഴുക്ക്
208,Eisen::N,železo,ഇരുമ്പ്
209,Gold::N,zlato,സ്വർണ്ണം
210,Silber::N,striebro,വെള്ളി
211,Kohle::N,uhlie,കൽക്കരി
212,Glas::N,sklo,ഗ്ലാസ്
213,Lehm::N,íl,കളിമണ്ണ്
214,Lehm::N,hlina,കളിമണ്ണ്
215,Sand::N,piesok,മണൽ
216,Mensch::N,človek,മനുഷ്യർ
217,Mann::N,muž,പുരുഷൻ
218,Mann::N,chlap,പുരുഷൻ
219,Frau::N,žena,സ്ത്രീ
220,Kind::N,dieťa,കുഞ്ഞ്
221,Junge::N,chlapec,ആൺകുട്ടി
222,Mädchen::N,dievka,പെൺകുട്ടി
223,Familie::N,rodina,കുടുംബം
224,Großvater::N,dedo,അപ്പൂപ്പൻ
225,Großvater::N,starý otec,അപ്പൂപ്പൻ
226,Großmutter::N,babička,അമ്മുമ്മ
227,Großmutter::N,stará mať,അമ്മുമ്മ
228,Eltern::N,rodičia,മാതാപിതാക്കള്
229,Vater::N,otec,അച്ഛൻ
230,Mutter::N,mať,അമ്മ
231,Mutter::N,matka,അമ്മ
232,Sohn::N,syn,മകൻ
233,Tochter::N,dcéra,മകൾ
234,Bruder::N,brat,ചേട്ടൻ
235,Bruder::N,brat,അനിയൻ
236,Schwester::N,sestra,ചേച്ചി
237,Schwester::N,sestra,അനിയത്തി
238,Onkel::N,ujo,അമ്മാവൻ
239,Onkel::N,strýko,അമ്മാവൻ
240,Tante::N,teta,മാമി
241,Tante::N,tetka,മാമി
242,Ehemann::N,muž,ഭർത്താവ്
243,Ehemann::N,manžel,ഭർത്താവ്
244,Ehefrau::N,žena,ഭാര്യ
245,Ehefrau::N,manželka,ഭാര്യ
246,Freude::N,radosť,ആഹ്ലാദം
247,Gelächter::N,smiech,ചിരിയുടെ ശബ്ദം
248,Glück::N,šťastie,സന്തോഷം
249,Glück::N,šťastie,സന്തുഷ്ടി
250,Kummer::N,žiaľ,ശോകം
251,Kummer::N,zármutok,ശോകം
252,Wunsch::N,prianie,ആഗ്രഹം
253,Lust::N,chuť,ആഗ്രഹം
254,Geist::N,duch,ചുറുചുറുക്ക്
255,Gedanke::N,myšlienka,ചിന്ത
256,Gedächtnis::N,pamäť,ഓർമ്മശക്തി
257,Verstand::N,rozum,മനസ്സ്
258,Sinn::N,zmysel,അർത്ഥം
259,Grund::N,dôvod,കാരണം
260,Grund::N,príčina,കാരണം
261,Wahrheit::N,pravda,സത്യം
262,Gespräch::N,reč,സല്ലാപം
263,Gespräch::N,rozhovor,സല്ലാപം
264,Märchen::N,rozprávka,യക്ഷിക്കഥ
265,Erzählung::N,poviedka,കഥ
266,Nachricht::N,správa,സന്ദേശം
267,Neuigkeit::N,novinka,വാർത്ത
268,Name::N,meno,പേര്
269,Rätsel::N,záhada,പ്രഹേളിക
270,Rätsel::N,hádanka,പ്രഹേളിക
271,Rede::N,reč,സംസാരം
272,Sprache::N,reč,ഭാഷ
273,Sprache::N,jazyk,ഭാഷ
274,Stimme::N,hlas,സ്വരം
275,Wort::N,slovo,വാക്ക്
276,Zeichen::N,znak,സംജ്ഞ
277,Ruf::N,volanie,വിളി
278,Ruf::N,zavolanie,വിളി
279,Lärm::N,hluk,ആരവം
280,Lärm::N,hurhaj,ആരവം
281,Laut::N,zvuk,ശബ്ദം
282,Ton::N,tón,സ്വരഭേദം
283,Ton::N,zvuk,സ്വരഭേദം
284,Lied::N,pieseň,പാട്ട്
285,Ruhe::N,pokoj,നിശ്ചലത
286,Leute::N,ľudia,ജനങ്ങൾ
287,Volk::N,ľud,രാഷ്ടം
288,Volk::N,národ,രാഷ്ടം
289,Arbeit::N,práca,ജോലി
290,Arbeit::N,robota,ജോലി
291,Gast::N,hosť,അതിലി
292,Geschenk::N,dar,സമ്മാനം
293,Spiel::N,hra,കളി
294,Gesellschaft::N,spoločnosť,കൂട്ടായ്മ
295,Hilfe::N,pomoc,സഹായം
296,Freund::N,priateľ,സുഹൃത്ത്
297,Kamerad::N,kamarát,കൂട്ടാളി
298,Angelegenheit::N,vec,കാര്യം
299,Angelegenheit::N,záležitosť,കാര്യം
300,Anzahl::N,počet,എണ്ണം
301,Anzahl::N,množstvo,എണ്ണം
302,Art::N,druh,തരം
303,Stück::N,kus,കഷണം
304,Stück::N,kúsok,കഷണം
305,Teil::N,časť,ഭാഗം
306,Hälfte::N,polka,പകുതി
307,Hälfte::N,polovica,പകുതി
308,Kreis::N,kruh,വൃത്തം
309,Kreuz::N,kríž,കുരിശടയാളം
310,Linie::N,línia,വര
311,Linie::N,línia,രേഖ
312,Strich::N,čiara,പക്ഷാഘാതം
313,Abstand::N,vzdialenosť,വിടവ്
314,Entfernung::N,vzdialenosť,അകലം
315,Gegend::N,kraj,പ്രദേശം
316,Gegend::N,krajina,പ്രദേശം
317,Platz::N,miesto,ഇടം
318,Ort::N,miesto,സ്ഥലം
319,Seite::N,bok,വശം
320,Seite::N,strana,വശം
321,Mitte::N,stred,മധ്യസ്ഥാനം
322,Gegenstand::N,predmet,സാധനം
323,Sache::N,vec,വസ്തു
324,Rand::N,kraj,തൊങ്ങൽ
325,Rand::N,okraj,തൊങ്ങൽ
326,Kante::N,hrana,അറ്റം
327,Ecke::N,roh,മൂല
328,Spitze::N,hrot,അഗ്രം
329,Spitze::N,špička,അഗ്രം
330,Ende::N,koniec,അവസാനം
331,Loch::N,diera,ദ്വാരം
332,Winkel::N,kút,കോൺ
333,Muster::N,vzor,ക്രമം
334,Muster::N,vzorka,ക്രമം
335,Größe::N,veľkosť,വലുപ്പം
336,Länge::N,dĺžka,നീളം
337,Höhe::N,výška,ഉയരം
338,Gewicht::N,váha,കട്ടി
339,Menge::N,množstvo,അളവ്
340,Haufen::N,hŕba,കൂമ്പാരം
341,Reihe::N,rad,വരി
342,Boot::N,čln,ബോട്ട്
343,Ruder::N,veslo,പങ്കായം
344,Schlitten::N,sane,ഉരുളില്ലാവണ്ടി
345,Ski::N,lyža,ഹിമപാദുകം
346,Lagerfeuer::N,táborák,തീ
347,Last::N,ťarcha,ഭാരം
348,Last::N,bremeno,ഭാരം
349,Gang::N,chôdza,നടത്തം
350,Schritt::N,krok,ചുവട്
351,Norden::N,sever,വടക്ക്
352,Süden::N,juh,തെക്ക്
353,Westen::N,západ,പടിഞ്ഞാറ്
354,Osten::N,východ,കിഴക്ക്
355,Holz::N,drevo,തടി
356,Brett::N,doska,ബോർഡ്
357,Platte::N,doska,തകിട്
358,Platte::N,platňa,തകിട്
359,Stütze::N,opora,താങ്ങ്
360,Stange::N,tyč,കമ്പ്
361,Stock::N,palica,വടി
362,Stab::N,palica,കുറുവടി
363,Rohr::N,rúra,കുഴൽ
364,Haus::N,dom,വീട്
365,Heim::N,domov,വീട്
366,Ofen::N,pec,സ്റ്റൌ
367,Ofen::N,kachle,സ്റ്റൌ
368,Fußboden::N,dlážka,തറ
369,Fußboden::N,podlaha,തറ
370,Tisch::N,stôl,മേശ
371,Stuhl::N,stolička,കസേര
372,Wiege::N,kolíska,തൊട്ടിൽ
373,Bett::N,lôžko,കിടക്ക
374,Bett::N,posteľ,കിടക്ക
375,Regal::N,regál,ഷെൽഫ്
376,Regal::N,polica,ഷെൽഫ്
377,Kiste::N,debna,പെട്ടി
378,Fenster::N,okno,ജനൽ
379,Fenster::N,oblok,ജനൽ
380,Tür::N,dvere,വാതിൽ
381,Tor::N,vráta,കവാടം
382,Zaun::N,plot,വേലി
383,Zaun::N,ohrada,വേലി
384,Dach::N,krov,മേൽക്കുര
385,Dach::N,strecha,മേൽക്കുര
386,Leiter::N,rebrík,ഏണി
387,Leiter::N,rebrina,ഏണി
388,Besen::N,metla,ചൂല്
389,Spaten::N,rýľ,തൂമ്പ
390,Schaufel::N,lopata,തൂമ്പ
391,Gabel::N,vidlička,മുൾക്കത്തി
392,Löffel::N,lyžica,സ്പൂൺ
393,Messer::N,nôž,കത്തി
394,Nagel::N,klinec,ആണി
395,Netz::N,sieť,വല
396,Haken::N,hák,കൊളുത്ത്
397,Haken::N,háčik,കൊളുത്ത്
398,Griff::N,rukoväť,കൈപ്പിടി
399,Schloss::N,zámka,പൂട്ട്
400,Bild::N,obraz,ചിത്രം
401,Figur::N,figúra,കണക്ക്
402,Puppe::N,bábka,പാവ
403,Puppe::N,bábika,പാവ
404,Beutel::N,vrece,ബാഗ്
405,Beutel::N,vrecko,ബാഗ്
406,Bündel::N,uzlík,കെട്ട്
407,Bündel::N,zväzok,കെട്ട്
408,Tasche::N,taška,ബാഗ്
409,Tasche::N,kabelka,ബാഗ്
410,Eimer::N,vedro,ബക്കറ്റ്
411,Deckel::N,vrchnák,ഉറ
412,Deckel::N,pokrývka,ഉറ
413,Geschirr::N,nádoba,പിഞ്ഞാണം
414,Sack::N,mech,ചാക്ക്
415,Sack::N,vrece,ചാക്ക്
416,Tasse::N,šálka,കപ്പ്
417,Topf::N,hrniec,പാത്രം
418,Kessel::N,kotol,കെറ്റ്ല്
419,Essen::N,jedlo,ആഹാരസമയം
420,Nahrung::N,strava,ഭക്ഷണം
421,Nahrung::N,potrava,ഭക്ഷണം
422,Speise::N,jedlo,ഡിഷ്
423,Fleisch::N,mäso,മാംസം
424,Getreide::N,obilie,ചോളം
425,Brei::N,kaša,കഞ്ഞി
426,Brot::N,chlieb,റോട്ടി
427,Scheibe::N,kotúč,തുണ്ട്
428,Scheibe::N,krajec,തുണ്ട്
429,Fett::N,tuk,കൊഴുപ്പ്
430,Fett::N,masť,കൊഴുപ്പ്
431,Butter::N,maslo,വെണ്ണ
432,Öl::N,olej,എണ്ണ
433,Salz::N,soľ,ഉപ്പ്
434,Suppe::N,polievka,സൂപ്പ്
435,Honig::N,med,തേൻ
436,Milch::N,mlieko,പാൽ
437,Tee::N,čaj,ചായ
438,Leder::N,koža,തുകൽ
439,Wolle::N,vlna,കമ്പിളി
440,Stoff::N,súkno,തുണി
441,Nadel::N,ihla,സൂചി
442,Faden::N,niť,നൂല്
443,Faden::N,vlákno,നൂല്
444,Knopf::N,gombík,ബട്ടൺ
445,Knoten::N,uzol,കുരുക്ക്
446,Farbe::N,farba,പെയിൻറ്
447,Kleidung::N,šaty,വസ്ത്രങ്ങൾ
448,Kleidung::N,šatstvo,വസ്ത്രങ്ങൾ
449,Hemd::N,košeľa,ഷർട്ട്
450,Kragen::N,golier,കുപ്പായക്കഴുത്ത്
451,Ärmel::N,rukáv,കുപ്പായക്കൈ
452,Hose::N,nohavice,ട്രൌസർ
453,Gürtel::N,pás,ബെൽറ്റ്
454,Gürtel::N,opasok,ബെൽറ്റ്
455,Mütze::N,čiapka,തൊപ്പി
456,Schuh::N,obuv,ഷൂ
457,Schuh::N,topánka,ഷൂ
458,Stiefel::N,čižma,ബൂട്ട്
459,Ring::N,prsteň,മോതിരം
460,Band::N,stuha,റിബൺ
461,Kamm::N,hrebeň,ചീപ്പ്
462,Spiegel::N,zrkadlo,കണ്ണാടി
463,Riemen::N,remeň,സ്ട്രാപ്പ്
464,Schnur::N,šnúra,ചരട്
465,Leine::N,vodidlo,കെട്ടാനുള്ള തോൽവാർ
466,Decke::N,deka,പുതപ്പ്
467,Decke::N,prikrývka,പുതപ്പ്
468,Kissen::N,poduška,തലയിണ
469,Tuch::N,šatka,സ്കാർഫ്
470,Handtuch::N,uterák,തോർത്ത്
471,Kraft::N,moc,ശക്തി
472,Stärke::N,sila,ശക്തി
473,Gesundheit::N,zdravie,ആരോഗ്യം
474,Krankheit::N,nemoc,അസുഖം
475,Krankheit::N,choroba,അസുഖം
476,Schmerz::N,bolesť,വേദന
477,Wunde::N,rana,മുറിവ്
478,Fieber::N,horúčka,പനി
479,Arznei::N,liek,മരുന്ന്
480,Brücke::N,most,പാലം
481,Brunnen::N,studňa,കിണർ
482,Weide::N,pastva,മേച്ചൽ
483,Pfad::N,chodník,വഴി
484,Weg::N,cesta,വഴി
485,Straße::N,hradská,റോഡ്
486,Dorf::N,dedina,ഗ്രാമം
487,Stadt::N,mesto,നഗരം
488,Brief::N,list,കത്ത്
489,Buch::N,kniha,പുസ്തകം
490,Buchstabe::N,litera,അക്ഷരം
491,Buchstabe::N,písmeno,അക്ഷരം
492,Zeitung::N,noviny,വർത്തമാനപത്രം
493,Leben::N,život,ജീവൻ
494,Tod::N,smrť,മരണം
495,Grab::N,hrob,ശവക്കുഴി
496,Kirche::N,kostol,പള്ളി
497,Sünde::N,hriech,പാപം
498,Gott::N,boh,ദൈവം
499,Arbeiter::N,robotník,ജോലിക്കാരൻ
500,Arbeiter::N,pracnovík,ജോലിക്കാരൻ
501,Chef::N,šéf,മേധാവി
502,Chef::N,riaditeľ,മേധാവി
503,Meister::N,majster,യജമാനൻ
504,Arzt::N,lekár,ഡോക്ടർ
505,Lehrer::N,učiteľ,അധ്യാപകൻ
506,Geld::N,peniaze,പണം
507,Geschäft::N,obchod,ബിസിനസ്
508,Laden::N,obchod,കട
509,Preis::N,cena,വില
510,Ware::N,tovar,ചരക്ക്
511,Nutzen::N,osoh,ലാഭം
512,Nutzen::N,úžitok,ലാഭം
513,Reichtum::N,bohatstvo,ധനം
514,Welt::N,svet,ലോകം
515,Land::N,územie,രാജ്യം
516,Land::N,krajina,രാജ്യം
517,Staat::N,štát,രാജ്യം
518,König::N,kráľ,രാജാവ്
519,Macht::N,moc,അധികാരം
520,Macht::N,mocnosť,അധികാരം
521,Grenze::N,hranica,അതിർത്തി
522,Krieg::N,vojna,യുദ്ധം
523,Feind::N,nepriateľ,ശത്രു
524,Gewalt::N,násilie,അക്രമം
525,Kampf::N,boj,പോരാട്ടം
526,Bogen[Waffe]::N,luk,വില്ല്
527,Pfeil::N,šíp,അമ്പ്
528,Pfeil::N,strela,അമ്പ്
529,Gewehr::N,puška,തോക്ക്
530,Fehler::N,omyl,പിശക്
531,Fehler::N,chyba,പിശക്
532,Lüge::N,lož,കള്ളം
533,Schaden::N,ujma,കേടുപാട്
534,Schaden::N,škoda,കേടുപാട്
535,Unglück::N,nešťastie,ദൌർഭാഗ്യം
536,Schuld::N,vina,തെറ്റ്
537,Schuld::N,previnenie,തെറ്റ്
538,Alter::N,vek,വയസ്സ്
539,Schluss::N,záver,നിഗമനം
540,Schluss::N,koniec,നിഗമനം
541,Zeit::N,čas,സമയം
542,Tag::N,deň,ദിവസം
543,Morgen::N,ráno,പ്രഭാതം
544,Mittag::N,poludnie,ഉച്ച
545,Abend::N,večer,സായാഹ്നം
546,Nacht::N,noc,രാത്രി
547,Woche::N,týždeň,ആഴ്ച
548,Monat::N,mesiac,മാസം
549,Jahr::N,rok,വർഷം
550,Frühling::N,jar,വസന്തം
551,Sommer::N,leto,വേനൽ
552,Herbst::N,jeseň,ശരത്കാലം
553,Winter::N,zima,ശൈത്യം
554,Januar::N,január,ജനുവരി
555,Februar::N,február,ഫെബ്രുവരി
556,März::N,marec,മാർച്ച്
557,April::N,apríl,ഏപ്രിൾ മാസം
558,Mai::N,máj,മെയ് മാസം
559,Juni::N,jún,ജൂൺ
560,Juli::N,júl,ജൂലൈ
561,August::N,august,ആഗസ്റ്റ്
562,September::N,september,സെപ്തംബർ
563,Oktober::N,október,ഒക്ടോബർ
564,November::N,november,നവംബർ
565,Dezember::N,december,ഡിസംബർ
566,Montag::N,pondelok,തിങ്കളാഴ്ച
567,Dienstag::N,utorok,ചൊവ്വ
568,Mittwoch::N,streda,ബുധനാഴ്ച
569,Donnerstag::N,štvrtok,വ്യാഴാഴ്ച
570,Freitag::N,piatok,വെള്ളിയാഴ്ച
571,Samstag::N,sobota,ശനിയാഴ്ച
572,Sonntag::N,nedeľa,ഞായറാഴ്ച
573,groß::A,veľký,വലിയ
574,klein::A,malý,ചെറിയ
575,lang::A,dlhý,നീണ്ട
576,kurz::A,krátky,ഹ്രസ്വമായ
577,breit::A,široký,വിശാലമായ
578,schmal::A,úzky,ഇടുങ്ങിയ
579,dicht::A,hustý,നിബിഡമായ
580,dick[Gegenstand]::A,tlstý,തടിച്ച
581,dünn::A,tenký,മെലിഞ്ഞ
582,fein::A,jemný,നേർത്ത
583,fest::A,pevný,ഉറപ്പുള്ള
584,flach::A,rovný,പരന്ന
585,flach::A,plochý,പരന്ന
586,glatt::A,hladký,മിനുസമുള്ള
587,hart::A,tvrdý,കട്ടിയുള്ള
588,weich::A,mäkký,മൃദുവായ
589,rund::A,guľatý,വട്ടത്തിലുള്ള
590,rund::A,okrúhly,വട്ടത്തിലുള്ള
591,spitz::A,končitý,മുനയുള്ള
592,scharf::A,ostrý,മൂർച്ചയുള്ള
593,stumpf::A,tupý,തുറന്നടിക്കുന്ന
594,schwer::A,ťažký,ഭാരമുള്ള
595,schön::A,pekný,മനോഹരമായ
596,schön::A,krásny,മനോഹരമായ
597,heiß::A,horúci,ചൂടുള്ള
598,warm::A,teplý,ചൂടുള്ള
599,kalt::A,studený,തണുത്ത
600,kühl::A,chladný,തണുപ്പുള്ള
601,frisch::A,svieži,ശുദ്ധമായ
602,feucht::A,vlhký,ഈറനുള്ള
603,feucht::A,zvlhnutý,ഈറനുള്ള
604,nass::A,mokrý,നനഞ്ഞ
605,trocken::A,suchý,വരണ്ട
606,voll::A,plný,നിറയെ
607,leer::A,prázdny,ഒഴിഞ്ഞ
608,offen::A,otvorený,തുറന്ന
609,geschlossen::A,zavretý,അടച്ച
610,sauber::A,čistý,വൃത്തിയുള്ള
611,schmutzig::A,špinavý,അഴുക്കുനിറഞ്ഞ
612,roh::A,surový,അസംസ്കൃതമായ
613,reif::A,zrelý,പഴുത്ത
614,lecker::A,chutný,രുചികരമായ
615,süß::A,sladký,മധുരമുള്ള
616,bitter::A,horký,കടുത്ത
617,sauer::A,kyslý,പുളിപ്പുള്ള
618,hell::A,jasný,ജ്വലിക്കുന്ന
619,hell::A,svetlý,ജ്വലിക്കുന്ന
620,dunkel::A,temný,ഇരുണ്ട
621,schwarz::A,čierny,കറുത്ത
622,weiß::A,biely,വെളുത്ത
623,rot::A,červený,ചുവന്ന
624,gelb::A,žltý,മഞ്ഞനിറമായ
625,blau::A,modrý,നീലനിറമുള്ള
626,blau::A,belasý,നീലനിറമുള്ള
627,grün::A,zelený,പച്ചനിറമുള്ള
628,grau::A,šedý,ചാരനിറത്തിലുള്ള
629,bunt::A,pestrý,വർണ്ണശബളമായ
630,billig::A,lacný,വിലകുറഞ്ഞ
631,teuer::A,drahý,ചെലവേറിയ
632,wertvoll::A,cenný,വിലപിടിപ്പുള്ള
633,blind::A,slepý,അന്ധനായ
634,taub::A,hluchý,കേൾവിക്കുറവുള്ള
635,kräftig::A,silný,ശക്തിയുള്ള
636,stark::A,silný,ബലമുള്ള
637,schwach::A,slabý,ക്ഷീണിച്ച
638,schwach::A,bezvládny,ക്ഷീണിച്ച
639,fett::A,tučný,കൊഴുപ്പുള്ള
640,schlank::A,štíhly,മെലിഞ്ഞ
641,hübsch::A,šumný,മനോഹരമായ
642,hübsch::A,švárny,മനോഹരമായ
643,böse::A,zlý,പാപിയായ
644,dumm::A,hlúpy,വിവരംകെട്ട
645,faul::A,lenivý,അലസനായ
