,Concept_ID,ro,ku
384,Schlitten::N,sanie,xîjik
385,Ski::N,schi,lakan
386,Lagerfeuer::N,foc de tabără,agir
387,Last::N,povară,bar
388,Last::N,sarcină,bar
389,Gang::N,mers,fîtêz
390,Gang::N,umblet,fîtêz
391,Schritt::N,pas,gav
392,Norden::N,nord,bakur
393,Norden::N,miazănoapte,bakur
394,Süden::N,sud,başur
395,Süden::N,miazăzi,başur
396,Westen::N,apus,rojava
397,Osten::N,est,rojhilat
398,Osten::N,răsărit,rojhilat
399,Holz::N,lemn,dep
400,Brett::N,scândură,dep
401,Platte::N,placă,dep
402,Stütze::N,proptea,destek
403,Stange::N,bară,sing
404,Stange::N,prăjină,sing
405,Stock::N,băț,çam
406,Stock::N,baston,çam
407,Stab::N,baston,qat
408,Stab::N,prăjină,qat
409,Rohr::N,tub,borî
410,Rohr::N,țeavă,borî
411,Haus::N,casă,mal
412,Haus::N,casă,xanî
413,Heim::N,casă,mal
414,Heim::N,cămin,mal
415,Ofen::N,sobă,sobe
416,Fußboden::N,podea,binpê
417,Fußboden::N,dușumea,binpê
418,Tisch::N,masă,mase
419,Stuhl::N,scaun,kursî
420,Wiege::N,leagăn,derguş
421,Bett::N,pat,qerewêle
422,Regal::N,rafturi,rêbaz
423,Kiste::N,ladă,sindoq
424,Kiste::N,cutie,sindoq
425,Fenster::N,fereastră,çam
426,Fenster::N,fereastră,şibeke
427,Tür::N,ușă,derî
428,Tor::N,poartă,derge
429,Zaun::N,gard,hejik
430,Dach::N,acoperiș,sere xanî
431,Leiter::N,scară,pêling
432,Besen::N,mătură,melkes
433,Spaten::N,cazma,mer
434,Spaten::N,hârleț,mer
435,Schaufel::N,lopată,bêr
436,Gabel::N,furculiță,çetel
437,Löffel::N,lingură,kevçî
438,Messer::N,cuțit,kêr
439,Nagel::N,cui,bizmar
440,Netz::N,plasă,tor
441,Haken::N,cârlig,çenqel
442,Griff::N,mâner,destî
443,Schloss::N,lacăt,qonax
444,Bild::N,tablou,dimen
445,Bild::N,imagine,dimen
446,Figur::N,chip,figûr
447,Figur::N,figură,figûr
448,Puppe::N,păpușă,bûk
449,Beutel::N,pungă,kîsik
450,Beutel::N,săculeț,kîsik
451,Bündel::N,mănunchi,pêçek
452,Tasche::N,geantă,bêrîk
453,Eimer::N,găleată,dewl
454,Deckel::N,capac,devik
455,Geschirr::N,vase,ferax
456,Geschirr::N,tacâmuri,ferax
457,Sack::N,sac,tûr
458,Tasse::N,ceașcă,kada
459,Topf::N,oală,beroş
460,Kessel::N,cazan,şîril
461,Kessel::N,căldare,şîril
462,Essen::N,mâncare,xwarin
463,Nahrung::N,hrană,xwarin
464,Nahrung::N,aliment,xwarin
465,Speise::N,bucate,xwarin
466,Speise::N,fel de bucate,xwarin
467,Fleisch::N,carne,goşt
468,Getreide::N,cereale,zad
469,Brei::N,pireu,hewdêl
470,Brot::N,pâine,
471,Scheibe::N,felie,parçe
472,Scheibe::N,bucată,parçe
473,Fett::N,untură,rûn
474,Fett::N,grăsime,rûn
475,Butter::N,unt,rûn
476,Öl::N,ulei,rûn
477,Salz::N,sare,xwe
478,Suppe::N,supă,şorbe
479,Suppe::N,ciorbă,şorbe
480,Honig::N,miere,hingiv
481,Milch::N,lapte,şîr
