,Concept_ID,bn,ku
101,Anhöhe::N,টিলা,sere gir
102,Berg::N,পর্বত,kaş
103,Gipfel::N,শীর্ষ,sere gir
104,Höhle::N,গুহা,şikeft
105,Abhang::N,ঢাল,kaş
106,Quelle::N,উৎস,kanî
107,Bach::N,ক্ষুদ্র নদী,çem
108,Fluss::N,নদী,çem
109,Fluss::N,নদী,rûbar
110,Ufer::N,উপকূল,kevî
111,Küste::N,তীর,berav
112,Festland::N,ভূমি,bejahî
113,Meer::N,সমুদ্র,behr
114,Bucht::N,উপসাগর,derav
115,Insel::N,দ্বীপ,girav
116,Blume::N,ফুল,kulînk
117,Gras::N,ঘাস,giha
118,Wurzel::N,শিকড়,reh
119,Baum::N,গাছ,dar
120,Stamm::N,স্কন্ধ,bavik
121,Rinde::N,বল্কল,qaqil
122,Ast::N,শাখা,gulî
123,Zweig::N,ডাল,şax
124,Blatt::N,পর্ণ,pel
125,Birke::N,ভুর্জ,dara sipî
126,Kiefer[Baum]::N,পাইন গাছ,dara bî
127,Weide[Baum]::N,উইলো,dara belalûk
128,Tanne::N,দেবদারূ গাছ,merx
129,Horn::N,শিং,strô
130,Feder::N,পালক,pîrtîk
131,Fell::N,রোম,heyar
132,Flügel::N,ডানা,per
133,Klaue::N,নখর,napîk
134,Kralle::N,নখর,dinik
135,Kralle::N,নখর,dirnax
136,Schwanz::N,লেজ,dûv
137,Ei::N,ডিম,hêk
138,Nest::N,কুলায়,hêlîn
139,Bau::N,ডেরা,avahî
140,Tier::N,জন্তু,heywan
141,Herde::N,ঝাঁক,hoz
142,Kuh::N,গোরু,çêlek
143,Bulle::N,বৃষ,ga
144,Pferd::N,ঘোড়া,hesp
145,Schaf::N,ভেড়া,mîh
146,Schwein::N,শূকর,beraz
147,Hund::N,কুকুর,seh
148,Katze::N,বেড়াল,pişîk
149,Bär::N,ভল্লুক,hirç
150,Eichhörnchen::N,কাঠবিড়াল,pilûr
151,Elch::N,হরিণবিশেষ,pazkovî
152,Fuchs::N,পাঁতিশিয়াল,rovî
153,Hase::N,শশক,kîroşk
154,Maus::N,নেংটি ইঁদুর,mişk
155,Wolf::N,নেকড়ে,gur
156,Vogel::N,পক্ষী,çûk
157,Schwarm::N,ঝাঁক,lufik
158,Huhn::N,মোরগ,mirîşk
159,Hahn::N,কুক্কুট,dîk
160,Gans::N,হংসী,qaz
161,Adler::N,ইগল,eylo
162,Ente::N,হংসী,werdek
163,Eule::N,পেচক,bûm
164,Eule::N,পেচক,kund
165,Kranich::N,সারস,quling
166,Krähe::N,কাক,qijik
167,Kuckuck::N,কোকিল,pepûk
168,Schwan::N,মরাল,qû
169,Fisch::N,মাছ,masî
170,Barsch::N,মৎন্যবিশেষ,okûn
171,Hecht::N,বানমাছ,mesîyê lûf
172,Schlange[Tier]::N,সর্প,mar
173,Wurm::N,কীট,kurm
174,Spinne::N,মাকড়সা,pîrê
175,Ameise::N,পিপীলিকা,mîro
176,Ameise::N,পিপীলিকা,gêrîk
177,Laus::N,উকুন,spi
178,Mücke::N,মশা,mêş
179,Fliege::N,মাছি,mêş
180,Schmetterling::N,প্রজাপতি,perperîk
181,Beere::N,বেরি,hirç
182,Apfel::N,আপেল,sêv
183,Pilz::N,ছত্রক,bîrov
184,Zwiebel::N,পিয়াজ,pîvaz
185,Saat::N,বীজ,tov
186,Korn::N,শস্য,dexl
187,Heu::N,খড়,sap
188,Schale::N,খোসা,qaşik
189,Grube::N,গর্ত,çahl
190,Falle::N,ফাঁদ,dafik
191,Schlinge::N,পাশ,dahf
192,Spur::N,চিহ্ন,rêç
193,Asche::N,ভস্ম,xweli
194,Dreck::N,ময়লা,gemarî
195,Eisen::N,লোহা,hesing
196,Gold::N,স্বর্ণ,zêr
197,Silber::N,রৌপ্য,zîv
198,Kohle::N,অঙ্গার,komir
199,Glas::N,কাচ,qedeh
200,Lehm::N,মৃত্তিকা,kelpîç
201,Sand::N,বালি,qûm
202,Mensch::N,নর,mirov
203,Mensch::N,মানুষ,mirov
204,Mann::N,মানুষ,mêr
205,Frau::N,নারী,jin
206,Kind::N,বাচ্চা,zarok
207,Junge::N,ছেলে,kur
208,Mädchen::N,মেয়ে,keç
209,Mädchen::N,মেয়ে,keçik
210,Familie::N,পরিবার,malbat
211,Großvater::N,মাতামহ,bapîr
212,Großmutter::N,মাতামহী,pîrik
213,Eltern::N,মাতাপিতা,bavudê
214,Vater::N,পিতা,bav
215,Mutter::N,মাতা,dê
216,Mutter::N,মাতা,dayik
217,Sohn::N,ছেলে,kur
218,Tochter::N,মেয়ে,keç
219,Bruder::N,দাদা,bira
220,Schwester::N,বোন,xweh
221,Schwester::N,দিদি,xweh
222,Onkel::N,মামা,am
223,Onkel::N,মামা,xal
224,Tante::N,মাসী,metik
225,Tante::N,মাসী,xaltîk
226,Ehemann::N,স্বামী,mêr
227,Ehefrau::N,পত্নী,kulfet
228,Freude::N,উল্লাস,kêfxweşî
229,Gelächter::N,হাসি,pîrqînî
230,Glück::N,সুখ,bext
231,Kummer::N,দুঃখ,derd
232,Wunsch::N,আকাঙ্ক্ষা,daxwaz
233,Wunsch::N,আকাঙ্ক্ষা,xwestek
234,Lust::N,বাসনা,şewq
235,Geist::N,আত্না,aqil
236,Gedanke::N,চিন্তা,fikir
237,Gedächtnis::N,স্মরণশক্তি,aqil
238,Verstand::N,মন,fêm
239,Sinn::N,পদার্থ,aqil
240,Grund::N,কারণ,asas
241,Wahrheit::N,সত্য,rastî
242,Gespräch::N,কথাবার্তা,guftûgo
243,Märchen::N,রূপকথা,çirok
244,Erzählung::N,গল্প,çirok
245,Erzählung::N,গল্প,vegotin
246,Nachricht::N,তথ্য,nûçe
247,Neuigkeit::N,খবরাখবর,hewal
248,Name::N,নাম,nav
249,Name::N,নাম,paşnav
250,Rätsel::N,ধাঁধা,tiştonek
251,Rede::N,বক্তৃতা,gotar
252,Rede::N,বক্তৃতা,axavtin
253,Sprache::N,ভাষা,ziman
254,Stimme::N,স্বর,pejn
255,Wort::N,শব্দ,gotin
256,Zeichen::N,প্রতীক,şanek
257,Ruf::N,ডাক,hawar
258,Lärm::N,হৈচৈ,xarbalix
259,Laut::N,ধ্বনি,deng
260,Laut::N,ধ্বনি,hês
261,Ton::N,স্বর,awaz
262,Lied::N,গান,sitran
263,Ruhe::N,শান্তি,rihetî
264,Leute::N,প্রজাপুঞ্জ,xelk
265,Volk::N,জাতি,xelk
266,Arbeit::N,চাকরি,xebat
267,Gast::N,অতিথি,mêvan
268,Geschenk::N,উপহার,diyarî
269,Spiel::N,খেলা,lîstik
270,Gesellschaft::N,সঙ্গিগণ,komal
271,Hilfe::N,সাহায্য,alîkarî
272,Freund::N,বন্ধু,heval
273,Kamerad::N,সঙ্গী,heval
274,Angelegenheit::N,বিষয়,pirsgirêk
275,Anzahl::N,পরিমাণ,çend
276,Art::N,রকম,çeh
277,Stück::N,টুকরো,lib
278,Stück::N,টুকরো,parçe
279,Teil::N,অংশ,parçe
280,Hälfte::N,অর্ধেক,nîvî
281,Kreis::N,বৃত্ত,çemil
282,Kreuz::N,ক্রুশ,xaç
283,Linie::N,রেখা,xezik
284,Strich::N,কষি,xezik
285,Abstand::N,ফাঁক,dûrahî
286,Entfernung::N,ব্যবধান,dûrahî
287,Gegend::N,ক্ষেত্র,dever
288,Platz::N,জায়গা,çih
289,Ort::N,স্থান,dever
290,Seite::N,পার্শ্ব,rûpel
291,Mitte::N,মধ্য,nav
292,Mitte::N,মধ্য,nabênê
293,Gegenstand::N,জিনিস,tişt
294,Sache::N,বস্তু,tişt
295,Rand::N,কানা,kevî
296,Kante::N,ধার,kevî
297,Ecke::N,কোণ,qunç
298,Spitze::N,ডগা,derzî
299,Ende::N,প্রান্ত,talî
300,Loch::N,গর্ত,qul
301,Winkel::N,কোণ,kurnîşk
302,Muster::N,নমুন্,desen
303,Größe::N,আয়তন,mezinî
304,Länge::N,দৈর্ঘ্য,dirêjahî
305,Höhe::N,উচ্চতা,bilindayî
306,Gewicht::N,ওজন,giranî
307,Menge::N,পরিমাণ,qas
308,Haufen::N,পুঞ্জ,lod
309,Reihe::N,শ্রেণী,rêz
310,Boot::N,নৌকা,kelek
311,Ruder::N,দাঁড়,bêrik
312,Schlitten::N,স্নেজ্-গাড়ি,xîjik
313,Ski::N,শী,lakan
314,Lagerfeuer::N,অগ্নি,agir
315,Last::N,বোঝা,bar
316,Gang::N,হণ্টন,fîtêz
317,Schritt::N,পদ,gav
318,Norden::N,উত্তরদিক্,bakur
319,Süden::N,দক্ষিণদিক,başur
320,Westen::N,পশ্চিমদিক্,rojava
321,Osten::N,পূর্বদিক,rojhilat
322,Holz::N,কাঠ,dep
323,Brett::N,তক্তা,dep
324,Platte::N,ফলক,dep
325,Stütze::N,নাগদণ্ড,destek
326,Stange::N,দণ্ড,sing
327,Stock::N,ছড়ি,çam
328,Stab::N,যষ্টি,qat
329,Rohr::N,নল,borî
330,Haus::N,ঘর,mal
331,Haus::N,ঘর,xanî
332,Heim::N,বাসা,mal
333,Ofen::N,স্টোভ্,sobe
334,Fußboden::N,গহতল,binpê
335,Tisch::N,মেজ,mase
336,Tisch::N,টেবিল,mase
337,Stuhl::N,চেয়ার,kursî
338,Stuhl::N,কেদারা,kursî
339,Wiege::N,দোলনা,derguş
340,Bett::N,শয্যা,qerewêle
341,Regal::N,তাক,rêbaz
342,Kiste::N,বাক্স,sindoq
343,Fenster::N,জানালা,çam
344,Fenster::N,জানালা,şibeke
345,Tür::N,দ্বার,derî
346,Tor::N,দ্বার,derge
347,Zaun::N,বেড়া,hejik
348,Dach::N,ছাদ,sere xanî
349,Leiter::N,মই,pêling
350,Besen::N,গুল্মবিশেষ,melkes
351,Spaten::N,কোদাল,mer
352,Schaufel::N,বেলচা,bêr
353,Gabel::N,কাঁটা,çetel
354,Löffel::N,চামচ,kevçî
355,Messer::N,ছুরি,kêr
356,Nagel::N,পেরেক,bizmar
357,Netz::N,জাল,tor
358,Haken::N,কাচি,çenqel
359,Griff::N,হাতল,destî
360,Schloss::N,তালা,qonax
361,Bild::N,ছবি,dimen
362,Bild::N,চিত্র,dimen
363,Figur::N,আকার,figûr
364,Puppe::N,পুতুল,bûk
365,Beutel::N,বটুয়া,kîsik
366,Bündel::N,আঁটি,pêçek
367,Tasche::N,থলি,bêrîk
368,Eimer::N,বাল্তি,dewl
369,Deckel::N,আবরণ,devik
370,Geschirr::N,থালা-বাসন,ferax
371,Sack::N,বস্তা,tûr
372,Tasse::N,কাপ,kada
373,Topf::N,পাত্র,beroş
374,Kessel::N,কেটলি,şîril
375,Essen::N,আহার,xwarin
376,Nahrung::N,খাদ্য,xwarin
377,Speise::N,খাদ্য,xwarin
378,Fleisch::N,মাংস,goşt
379,Getreide::N,শস্য,zad
380,Brei::N,মণ্ড,hewdêl
381,Brot::N,রুটি,
382,Scheibe::N,ফালি,parçe
383,Fett::N,মেদ,rûn
384,Butter::N,মাখন,rûn
385,Öl::N,তৈল,rûn
386,Salz::N,নুন,xwe
387,Suppe::N,শুরুয়া,şorbe
388,Honig::N,মধু,hingiv
389,Milch::N,দুধ,şîr
390,Tee::N,চা,çay
391,Leder::N,পাকা চামড়া,çerm
392,Wolle::N,পশম,herî
393,Stoff::N,বস্ত্র,paç
394,Nadel::N,সুচ,derzî
395,Faden::N,সূত্র,ta
396,Knopf::N,বোতাম,bişkok
397,Knoten::N,গিঁট,girêk
398,Farbe::N,রং,boyax
399,Kleidung::N,কাপড়,çil
400,Hemd::N,শার্ট,qutik
401,Hemd::N,শার্ট,miltan
402,Kragen::N,গলবন্ধ,stûvang
403,Ärmel::N,আস্তিন্,hûçik
404,Hose::N,ট্রাউজার,şewel
405,Gürtel::N,কটিবন্ধ,qayiş
406,Mütze::N,টুপি,fîno
407,Schuh::N,জুতো,şêkal
408,Stiefel::N,বুট,gizme
409,Stiefel::N,বুট,çizme
410,Ring::N,আংটি,xelek
411,Band::N,ফিতা,band
412,Kamm::N,চিরুনি,şeh
413,Spiegel::N,আয়না,eynik
414,Riemen::N,চাবুক,qayiş
415,Schnur::N,দড়ি,doxin
416,Leine::N,শিকল,şirît
417,Decke::N,কম্বল,bataniye
418,Kissen::N,উপাধান,balgî
419,Tuch::N,বস্ত্র,şar
420,Handtuch::N,তোয়ালে,dezmal
421,Kraft::N,জোর,hêz
422,Kraft::N,জোর,qewet
423,Stärke::N,শক্তি,xurtî
424,Gesundheit::N,স্বাস্থ্য,nojdarî
425,Krankheit::N,অসুখ,nexweşî
426,Krankheit::N,ব্যামো,nexweşî
427,Schmerz::N,যন্ত্রণা,êş
428,Wunde::N,ক্ষত,kul
429,Fieber::N,জ্বর,ta
430,Arznei::N,ঔষধ,derman
431,Brücke::N,সেতু,kopî
432,Brunnen::N,কূপ,çal
433,Brunnen::N,কূপ,kani
434,Weide::N,পশুচারণভূমি,beyar
435,Pfad::N,পথ,xaçirek
436,Weg::N,পথ,rê
437,Straße::N,রাস্তা,rê
438,Dorf::N,গ্রাম,gund
439,Stadt::N,শহর,baçar
440,Brief::N,চিঠি,name
441,Buch::N,বই,kitêb
442,Buch::N,বই,pirtûk
443,Buchstabe::N,অক্ষর,herf
444,Zeitung::N,সংবাদপত্র,rojname
445,Leben::N,জীবন,jiyan
446,Tod::N,মৃত্যু,mirin
447,Grab::N,কবর,mezel
448,Kirche::N,গির্জা,gilyas
449,Sünde::N,পাপ,guneh
450,Gott::N,দেবতা,xwedê
451,Arbeiter::N,শ্রমিক,hîşçî
452,Chef::N,নেতা,bêg
453,Meister::N,ব্যক্তি,hoste
454,Arzt::N,চিকিৎসক,doktor
455,Lehrer::N,অধ্যাপক,mamoste
456,Geld::N,মুদ্রা,pere
457,Geld::N,টাকাপয়সা,pere
458,Geschäft::N,ব্যস্ততা,firoşgeh
459,Laden::N,দোকান,dikan
460,Preis::N,মূল্য,buha
461,Ware::N,পণ্যদ্রব্য,tişt
462,Nutzen::N,সুবিধা,fêde
463,Reichtum::N,ধনদৌলত,serwet
464,Welt::N,জগৎ,dinya
465,Land::N,খেত,welat
466,Staat::N,রাষ্ট্র,dewlet
467,König::N,রাজা,şah
468,König::N,রাজা,qral
469,Macht::N,প্রভাব,qewet
470,Macht::N,প্রভাব,destihilat
471,Grenze::N,সীমা,kevî
472,Krieg::N,যুদ্ধ,çeng
473,Krieg::N,যুদ্ধ,sêwaş
474,Feind::N,শত্রু,dijmin
475,Gewalt::N,জোর,zor
476,Kampf::N,লড়াই,şer
477,Bogen[Waffe]::N,ধনুক,kêvan
478,Pfeil::N,বাণ,çîrik
479,Gewehr::N,বন্দুক,tifing
480,Fehler::N,ভুল,şaşî
481,Lüge::N,মিথ্যা,derew
482,Schaden::N,ক্ষতি,xisar
483,Unglück::N,দুর্ভাগ্য,bêbextî
484,Schuld::N,অপরাধ,suç
485,Alter::N,আয়ু,temen
486,Schluss::N,শেষ,girtin
487,Zeit::N,সময়,çax
488,Tag::N,দিন,roj
489,Morgen::N,সকাল,sibeh
490,Mittag::N,মধ্যাহু,nîro
491,Abend::N,সন্ধ্যা,êvar
492,Nacht::N,রাত্রি,şev
493,Woche::N,সপ্তাহ,heftî
494,Monat::N,মাস,meh
495,Jahr::N,সৌরবর্ষ,sal
496,Frühling::N,বসন্তকাল,bihar
497,Sommer::N,গ্রীষ্মকাল,havîn
498,Herbst::N,শরংঋতু,payîz
499,Winter::N,শীতকাল,zistan
500,Januar::N,জানুয়ারী,çile
501,Februar::N,ফেব্রুয়ারী,sibat
502,März::N,মার্চ,adar
503,April::N,এপ্রিল,nîsan
504,Mai::N,মে,gûlan
505,Juni::N,জুন,hezîran
506,Juli::N,জুলাই,tîmeh
507,August::N,অগাস্ট,tebax
508,September::N,সেপ্টেম্বর,îlon
509,Oktober::N,অক্টোবর,çotmeh
510,November::N,নভেম্বর,mijdar
511,Dezember::N,ডিসেম্বর,kanûn
512,Montag::N,সোমবার,duşemb
513,Dienstag::N,মঙ্গলবার,sêşem
514,Mittwoch::N,বুধবার,çarşemb
515,Donnerstag::N,বৃহম্পতিবার,pêşemb
516,Freitag::N,শুক্রবার,în
517,Samstag::N,শনিবার,şemî
518,Sonntag::N,রবিবার,yekşemb
519,groß::A,বৃহৎ,mezin
520,klein::A,ছোট,çûçik
521,lang::A,দীর্ঘ,dirêj
522,kurz::A,খর্ব,kin
523,kurz::A,হ্রস্ব,kin
524,breit::A,চওড়া,fireh
525,schmal::A,সরু,tenik
526,dicht::A,ঘন,gir
527,dick[Gegenstand]::A,পুরু,şîşman
528,dünn::A,কৃশ,zirav
529,fein::A,সূক্ষ্ম,tenik
530,fest::A,দৃঢ়,saxlem
531,flach::A,সমতল,pahn
532,glatt::A,মসৃণ,dûz
533,glatt::A,মসৃণ,şayîk
534,hart::A,শক্ত,hişk
535,weich::A,নরম,nerm
536,rund::A,গোলাকার,gilover
537,spitz::A,তীক্ষ্ন,pîj
538,scharf::A,শাণিত,tûj
539,stumpf::A,ভোঁতা,ne tûj
540,schwer::A,ভারী,giran
541,schön::A,সুন্দর,xweş
542,schön::A,সুন্দর,xweşik
543,heiß::A,গরম,kelandî
544,warm::A,ঈষদুষ্ণ,germ
545,kalt::A,ঠাণ্ডা,sar
546,kühl::A,শীতল,jemîrî
547,frisch::A,তাজা,ter
548,feucht::A,ভিজা,şil
549,nass::A,ভিজা,şilek
550,trocken::A,শুষ্ক,zuwa
551,voll::A,পূর্ণ,tijî
552,leer::A,খালি,vala
553,offen::A,খোলা,vekirî
554,geschlossen::A,বন্ধ,asê
555,sauber::A,নির্মল,pakij
556,schmutzig::A,নোংরা,lewitî
557,roh::A,কাঁচা,xav
558,reif::A,পাকা,gihaştî
559,lecker::A,সুস্বাদ,xweş
560,süß::A,মিষ্ট,şîrîn
561,bitter::A,তিক্ত,tahl
562,sauer::A,টক,tirş
563,hell::A,উজ্জ্বল,ronî
564,dunkel::A,অন্ধকারময়,tarî
565,schwarz::A,কালো,reş
566,weiß::A,সাদা,sipî
567,rot::A,লাল,sor
568,gelb::A,হলদে,zer
569,blau::A,নীল,şîn
570,grün::A,সবুজ,şîn
571,grau::A,ছাই-রঙা,gewr
572,bunt::A,রঙিন,rengîn
573,billig::A,সস্তা,erzan
574,teuer::A,আক্রা,biha
575,wertvoll::A,মহার্ঘ,hêja
576,wertvoll::A,মহার্ঘ,giranbiha
577,blind::A,কানা,kor
578,taub::A,বধির,kerr
579,kräftig::A,বিশাল,gir
580,kräftig::A,বিশাল,xurt
581,stark::A,শক্তিশালী,xurt
582,schwach::A,দুর্বল,kesad
583,fett::A,মোটা,qelew
584,schlank::A,কৃশ,zirav
585,hübsch::A,সুন্দর,xweşik
586,böse::A,খারাপ,xerab
587,böse::A,খারাপ,aciz
588,dumm::A,মূর্খ,gêj
589,faul::A,শ্রমবিমুখ,têmbêl
590,fleißig::A,পরিশ্রমী,jêhatî
591,geizig::A,ব্যয়কুণ্ঠ,destgirtî
592,klug::A,দক্ষ,baqil
593,geschickt::A,পটু,zîrek
594,geschickt::A,পটু,ziring
595,lieb::A,প্রেয়,delal
596,lustig::A,প্রফুল্ল,kêfxweş
597,sanft::A,নম্র,nazenîn
598,hungrig::A,ক্ষুধার্ত,birçî
599,krank::A,অসুস্থ,nexweş
600,nackt::A,উলঙ্গ,rût
601,nackt::A,উলঙ্গ,tazî
602,traurig::A,দুঃখিত,xemgîn
603,lebendig::A,জীবিত,bisaxî
604,gut::A,ভালো,baş
605,schlecht::A,মন্দ,xerab
606,richtig::A,ঠিক,rast
607,richtig::A,ঠিক,saxlem
608,schlimm::A,কদর্য,nebaş
609,wahr::A,বাস্তব,rast
610,alt::A,পুরাতন,pîr
611,alt::A,পুরাতন,kevn
612,neu::A,নব,nû
613,neu::A,নূতন,nû
614,ehemalig::A,পূর্বকালীন,kevnar
615,ehemalig::A,পূর্বকালীন,peşidar
616,alt[Lebewesen]::A,বৃদ্ধ,pîr
617,jung::A,তরুণ,xort
618,arm::A,ক্ষুদ্র,feqîr
619,arm::A,ক্ষুদ্র,desteng
620,reich::A,ধনবান্,dewlemend
621,bekannt::A,সুপরিচিত,naskirî
622,berühmt::A,বিখ্যাত,navdar
623,fremd::A,বিদেশি,xerîb
624,verschieden::A,বিসদৃশ,çîhê
625,nah::A,নিকটবতী,nêzîk
626,fern::A,দুরবতী,dûr
627,linker::A,বাম,çepê
628,rechter::A,ডান,rastê
629,rechter::A,ডাইন,rastê
630,anderer::A,অন্যতর,yê din
631,erster::A,প্রথম,yekemîn
632,zweiter::A,দ্বিতীয়,duda
633,dritter::A,তৃতীয়,sisêya
634,letzter::A,সর্বশেষ,paşîn
635,allein::ADV,একক,tenê
636,auf einmal::ADV,জলদি,jar kê
637,zusammen::ADV,একসঙ্গে,tev
638,zusammen::ADV,একসঙ্গে,bi hev re
639,lange::ADV,লম্বা,dirêj
640,plötzlich::ADV,হঠাৎ,ji nişkave
641,sofort::ADV,মুহ্ণর্তমধ্যে,yekser
642,später::ADV,পশ্চাতে,paşiyê
643,jetzt::ADV,এখন,nuha
644,heute::ADV,আজ,îro
645,morgen::ADV,আগামিকাল,sibeh
646,bald::ADV,অস্পকালমধ্যে,nêzîk
647,dann::ADV,তখন,paşê
648,gestern::ADV,গতকাল,do
649,einst::ADV,একবার মাত্র,jar ke
650,damals::ADV,তখন,hîngî
651,danach::ADV,পরে,piştra
652,vorher::ADV,আগে,pîşî
653,zuerst::ADV,আগে,bere
654,einmal::ADV,একবার,çarik
655,manchmal::ADV,কখনও কখনও,çarna
656,oft::ADV,ঘনঘন,gelek çaran
657,immer::ADV,সর্বদা,daîm
658,niemals::ADV,কখলও নহে,tu çar
659,hier::ADV,এখানে,li vir
660,hierhin::ADV,এখানে,vir
661,von hier::ADV,ত্রই স্তান হইতে,ji vir
662,dort::ADV,ওখানে,li wê derê
663,dorthin::ADV,ওখানে,wêda
664,geradeaus::ADV,অগ্রগামী,rastê rast
665,vorwärts::ADV,সন্মুখিকে,ber bi pêş
666,rückwärts::ADV,খিরিয়া,paşpê
667,zurück::ADV,পিঠ,paşdo
668,zurück::ADV,পিঠ,paşvê
669,unten::ADV,নীচে,jêrî
670,hinab::ADV,নিম্নগামী,berjêr
671,oben::ADV,উপরে,banî
672,hinauf::ADV,উচ্চতর অংশে,banî
673,überall::ADV,সর্বত্র,li her derê
674,nicht::ADV,না,ne
675,nicht::ADV,না,nîn
676,nicht::ADV,না,tine
677,ein wenig::ADV,অল্প,hebkî
678,kaum::ADV,কষ্টসহকাবে,tema
679,kaum::ADV,কষ্টসহকাবে,himangi
680,sehr::ADV,খুব,gelek
681,so::ADV,তত,weha
682,noch::ADV,এখন পর্যস্ত,hêj
683,noch::ADV,এখন পর্যস্ত,dîsa
684,nur::ADV,শুধু,tenê
685,nur::ADV,শুধু,bes
686,schon::ADV,ইতঃপুর্বে,hew
687,wieder::ADV,আবার,jar din
688,wieder::ADV,আবার,dîsa
689,vergebens::ADV,বিফলে,deya çun
690,vergebens::ADV,বিফলে,îfleh bûn
691,vor::PRP,সম্মুখে,li ber
692,hinter::PRP,পশ্চাতে,li pişt
693,unter::PRP,নীচে,li bin
694,durch::PRP,দ্বারা,kura
695,neben::PRP,কাছে,li ba
696,zwischen::PRP,মধ্যে,nabeyne
697,zwischen::PRP,মধ্যে,di nav...da
698,wegen::PRP,জন্য,ji bo
699,wegen::PRP,জন্য,ji ber
700,dies::PRN,এটা,ev
701,das::PRN,ওটা,ev
702,alles::PRN,সব,hemû
703,ich::PRN,আমি,ez
704,du::PRN,তুমি,tu
705,er::PRN,উনি,wî
706,wir::PRN,আমরা,êm
707,ihr::PRN,তোমরা,hûn
708,sie::PRN,তারা,we
709,was::FPRN,কি,çi
710,wer::FPRN,কে,ki
711,wo::FADV,কোথায়,li ku dere
712,wohin::FADV,কোথায়,li ku dere
713,wie::FADV,কেমন,çawa
714,warum::FADV,কেন,çima
