,Concept_ID,no,eu
88,Nebel::N,tåke,laino
89,Wolke::N,sky,hodei
90,Regen::N,regn,euri
91,Schnee::N,snø,elur
92,Eis::N,is,horma
93,Frost::N,frost,izotzaldi
94,Kälte::N,kulde,hotz
95,Hitze::N,hete,bero
96,Raureif::N,rimfrost,antzigar
97,Regenbogen::N,regnbue,ostadar
98,Regenbogen::N,regnbue,ortzadar
99,Donner::N,torden,ostots
100,Donner::N,torden,ihurtzuri
101,Strömung::N,strømning,laster
102,Tropfen::N,dråpe,xorta
103,Schaum::N,skum,bits
104,Schmutz::N,søl,lohi
105,Schmutz::N,søl,zikin
106,Schmutz::N,skitt,lohi
107,Schmutz::N,skitt,zikin
108,See::N,sjø,laku
109,See::N,sjø,aintzira
110,Sumpf::N,sump,zingira
111,Sumpf::N,myrlende,zingira
112,Moor::N,myr,zohikaztegi
113,Moor::N,myrhei,zohikaztegi
114,Wiese::N,eng,larre
115,Wiese::N,eng,belardi
116,Wald::N,skog,baso
117,Wald::N,skog,oihan
118,Hügel::N,haug,muino
119,Hügel::N,haug,pentoka
120,Hügel::N,bakke,muino
121,Hügel::N,bakke,pentoka
122,Anhöhe::N,haug,garai
123,Anhöhe::N,haug,goragune
124,Anhöhe::N,bakke,garai
125,Anhöhe::N,bakke,goragune
126,Berg::N,berg,mendi
127,Berg::N,fjell,mendi
128,Gipfel::N,topp,gain
129,Gipfel::N,topp,tontor
130,Höhle::N,hule,kobazulo
131,Abhang::N,li,aldapa
132,Abhang::N,skråning,aldapa
133,Quelle::N,kilde,iturri
134,Quelle::N,kilde,iturbegi
135,Bach::N,bekk,lats
136,Bach::N,bekk,erreka
137,Fluss::N,elv,ibai
138,Fluss::N,elv,uhaitz
139,Ufer::N,bredd,bazter
140,Küste::N,kyst,itsasalde
141,Festland::N,fastland,lehor
142,Meer::N,hav,itsaso
143,Bucht::N,bukt,golko
144,Insel::N,øy,irla
145,Insel::N,øy,uharte
146,Blume::N,blomst,lili
147,Gras::N,gress,belar
148,Wurzel::N,rot,zuztar
149,Wurzel::N,rot,sustrai
150,Baum::N,tre,zuhaitz
151,Stamm::N,stamme,enbor
152,Rinde::N,bark,azal
153,Ast::N,gren,adar
154,Zweig::N,kvist,abar
155,Blatt::N,blad,hosto
156,Birke::N,bjørk,urki
157,Kiefer[Baum]::N,furu,ler
158,Weide[Baum]::N,selje,zume
159,Weide[Baum]::N,selje,sahats
160,Weide[Baum]::N,piletre,zume
161,Weide[Baum]::N,piletre,sahats
162,Tanne::N,gran,izei
163,Horn::N,horn,adar
164,Feder::N,fjær,luma
165,Feder::N,fjær,hegaki
166,Fell::N,skinn,ile
167,Fell::N,skinn,larru
168,Flügel::N,vinge,hego
169,Klaue::N,klauv,atzapar
170,Kralle::N,klo,erpe
171,Kralle::N,klo,atzapar
172,Schwanz::N,hale,isats
173,Schwanz::N,hale,buztan
174,Ei::N,egg,arrautza
175,Nest::N,rede,habia
176,Bau::N,hi,ohantze
177,Tier::N,dyr,abere
178,Tier::N,dyr,piztia
179,Herde::N,flokk,saldo
180,Herde::N,flokk,abere talde
181,Kuh::N,ku,behi
182,Bulle::N,tyr,zezen
183,Pferd::N,hest,zaldi
184,Schaf::N,får,ardi
185,Schwein::N,gris,urde
186,Schwein::N,gris,txerri
187,Hund::N,hund,txakur
188,Katze::N,katt,katu
189,Bär::N,bjørn,hartz
190,Eichhörnchen::N,ekorn,urtxintxa
191,Elch::N,elg,altze
192,Fuchs::N,rev,azeri
193,Hase::N,hare,erbi
194,Maus::N,mus,sagu
195,Wolf::N,ulv,otso
196,Wolf::N,varg,otso
197,Vogel::N,fugl,txori
198,Vogel::N,fugl,hegazti
199,Schwarm::N,sverm,aldra
200,Huhn::N,høne,oilo
201,Hahn::N,hane,oilar
202,Gans::N,gås,antzara
203,Adler::N,ørn,arrano
204,Ente::N,and,ahate
205,Eule::N,ugle,hontza
206,Kranich::N,trane,kurrilo
207,Krähe::N,kråke,bele
208,Kuckuck::N,gjøk,kuku
209,Schwan::N,svane,beltxarga
210,Fisch::N,fisk,arrain
211,Barsch::N,abbor,perka
212,Hecht::N,gjedde,lutxo
213,Schlange[Tier]::N,orm,suge
214,Schlange[Tier]::N,slange,suge
215,Wurm::N,orm,har
216,Wurm::N,mark,har
217,Spinne::N,edderkopp,armiarma
218,Ameise::N,maur,inurri
219,Laus::N,lus,zorri
220,Mücke::N,mygg,eltxo
221,Fliege::N,flue,euli
222,Schmetterling::N,sommerfugl,pinpirin
223,Schmetterling::N,sommerfugl,tximeleta
224,Beere::N,bær,baia
225,Apfel::N,eple,sagar
226,Pilz::N,sopp,onddo
227,Pilz::N,sopp,perretxiko
228,Zwiebel::N,løk,tipula
229,Saat::N,sæd,haziak
230,Korn::N,korn,ale
231,Korn::N,korn,pikor
232,Heu::N,høy,belar ondu
233,Schale::N,skall,azal
234,Grube::N,grop,hobi
235,Falle::N,felle,harrapagailu
236,Schlinge::N,snare,bilur
237,Schlinge::N,snare,xedera
238,Spur::N,spor,lorratz
239,Asche::N,aske,errauts
240,Dreck::N,møkk,satsukeria
241,Dreck::N,skitt,satsukeria
242,Eisen::N,jern,burdina
243,Gold::N,gull,urre
244,Gold::N,gull,urregorri
245,Silber::N,sølv,zilar
246,Silber::N,sølv,urrezuri
247,Kohle::N,kol,ikatz
248,Kohle::N,kull,ikatz
249,Glas::N,glass,beira
250,Lehm::N,leire,buztin
251,Sand::N,sand,harea
252,Sand::N,sand,hondar
253,Mensch::N,menneske,gizaki
254,Mann::N,mann,gizon
255,Frau::N,kvinne,andere
256,Frau::N,kvinne,emakume
257,Kind::N,barn,haur
258,Junge::N,gutt,mutil
259,Mädchen::N,pike,neska
260,Mädchen::N,jente,neska
261,Familie::N,familie,sendi
262,Familie::N,familie,familia
263,Großvater::N,bestefar,aitona
264,Großvater::N,bestefar,aitatxi
265,Großmutter::N,bestemor,amona
266,Großmutter::N,bestemor,amatxi
267,Eltern::N,foreldre,gurasoak
268,Vater::N,far,aita
269,Mutter::N,mor,ama
270,Sohn::N,sønn,seme
271,Tochter::N,datter,alaba
272,Bruder::N,bror,neba
273,Bruder::N,bror,anaia
274,Schwester::N,søster,ahizpa
275,Onkel::N,onkel,osaba
276,Tante::N,tante,izeba
277,Ehemann::N,ektemann,senar
278,Ehefrau::N,hustru,emazte
279,Freude::N,glede,poz
280,Freude::N,glede,pozkari
281,Gelächter::N,latter,barre
282,Gelächter::N,latter,karkara
283,Glück::N,lykke,zori
284,Kummer::N,sorg,xangrin
285,Kummer::N,sorg,atsekabe
286,Wunsch::N,ønske,nahi
287,Wunsch::N,ønske,nahikunde
288,Lust::N,lyst,gogo
289,Geist::N,ånd,gogo
290,Gedanke::N,tanke,gogoeta
291,Gedächtnis::N,minne,oroimen
292,Gedächtnis::N,minne,gogoramen
293,Gedächtnis::N,hukommelse,oroimen
294,Gedächtnis::N,hukommelse,gogoramen
295,Verstand::N,forstand,adimen
296,Verstand::N,forstand,ulermen
297,Sinn::N,mening,zentzu
298,Sinn::N,betydning,zentzu
299,Grund::N,grunn,zergati
300,Wahrheit::N,sannhet,egia
301,Gespräch::N,samtale,hizketa
302,Gespräch::N,samtale,elkarrizketa
303,Märchen::N,eventyr,ipuin
304,Erzählung::N,fortelling,edesti
305,Erzählung::N,fortelling,kontakizun
306,Nachricht::N,melding,albiste
307,Neuigkeit::N,nyhet,berri
308,Name::N,navn,izen
309,Rätsel::N,gåte,asmakizun
310,Rede::N,tale,hitzaldi
311,Rede::N,tale,mintzaldi
312,Sprache::N,språk,hizkuntza
313,Stimme::N,stemme,ahots
314,Wort::N,ord,hitz
315,Zeichen::N,tegn,agerbide
316,Zeichen::N,tegn,agergarri
317,Ruf::N,rop,dei
318,Lärm::N,bråk,zarata
319,Lärm::N,bråk,harrabots
320,Laut::N,lyd,hots
321,Ton::N,tone,tonu
322,Ton::N,tone,soinu
323,Lied::N,vise,abesti
324,Ruhe::N,ro,nasaitasun
325,Leute::N,folk,jende
326,Volk::N,folk,herri
327,Volk::N,folk,populu
328,Arbeit::N,arbeid,lan
329,Gast::N,gjest,arrotz
330,Gast::N,gjest,apopilo
331,Geschenk::N,gave,opari
332,Spiel::N,lek,jolas
333,Spiel::N,spill,jolas
334,Gesellschaft::N,selskap,gizarte
335,Hilfe::N,hjelp,helpide
336,Hilfe::N,hjelp,laguntza
337,Freund::N,venn,lagun
338,Kamerad::N,kamerat,adiskide
339,Kamerad::N,kamerat,lagunkide
340,Angelegenheit::N,sak,afera
341,Angelegenheit::N,anliggende,afera
342,Anzahl::N,antall,kopuru
343,Art::N,art,mota
344,Art::N,slag,mota
345,Stück::N,stykke,puska
346,Teil::N,del,atal
347,Hälfte::N,halvdel,erdi
348,Kreis::N,ring,biribilki
349,Kreis::N,sirkel,biribilki
350,Kreuz::N,kors,gurutze
351,Kreuz::N,kryss,gurutze
352,Linie::N,linje,linea
353,Strich::N,strek,marra
354,Abstand::N,avstand,tarte
355,Entfernung::N,avstand,urrunera
356,Gegend::N,strøk,alderdi
357,Gegend::N,strøk,eskualde
358,Platz::N,plass,leku
359,Ort::N,sted,toki
360,Seite::N,side,albo
361,Mitte::N,midte,erdi
362,Gegenstand::N,gjenstand,gauzaki
363,Sache::N,sak,gauza
364,Rand::N,rand,ertz
365,Kante::N,kant,ertz
366,Ecke::N,hjørne,kantoi
367,Spitze::N,spiss,punta
368,Ende::N,ende,buru
369,Ende::N,ende,mutur
370,Loch::N,hull,zulo
371,Winkel::N,vinkel,zoko
372,Winkel::N,vinkel,bazter
373,Muster::N,mønster,eredu
374,Muster::N,mønster,marrazki
375,Größe::N,størrelse,kaizu
376,Größe::N,størrelse,tamaina
377,Länge::N,lengde,luzera
378,Höhe::N,høyde,goiera
379,Höhe::N,høyde,garaiera
380,Gewicht::N,vekt,hazta
381,Menge::N,mengde,kopuru
382,Haufen::N,haug,pila
383,Haufen::N,haug,mendoi
384,Haufen::N,bunke,pila
385,Haufen::N,bunke,mendoi
386,Reihe::N,rekke,ilara
387,Reihe::N,rekke,errenkada
388,Boot::N,båt,potin
389,Boot::N,båt,txalupa
390,Ruder::N,åre,arraun
391,Schlitten::N,slede,lera
392,Schlitten::N,slede,narra
393,Schlitten::N,kjelke,lera
394,Schlitten::N,kjelke,narra
395,Ski::N,ski,eski
396,Lagerfeuer::N,leirbål,su
397,Last::N,bør,zama
398,Last::N,bør,karga
399,Last::N,last,zama
400,Last::N,last,karga
401,Gang::N,gang,ibilera
402,Schritt::N,steg,pauso
403,Schritt::N,steg,urrats
404,Schritt::N,skritt,pauso
405,Schritt::N,skritt,urrats
406,Norden::N,nord,ipar
407,Norden::N,nord,iparralde
408,Süden::N,sør,hego
409,Süden::N,sør,hegoalde
410,Westen::N,vest,sartalde
411,Westen::N,vest,mendebalde
412,Osten::N,øst,ekialde
413,Osten::N,øst,sortalde
414,Holz::N,tre,zur
415,Brett::N,fjøl,ohol
416,Brett::N,brett,ohol
417,Platte::N,plate,lauza
418,Stütze::N,støtte,irozgarri
419,Stütze::N,støtte,bermagailu
420,Stange::N,stang,haga
421,Stock::N,pinne,makila
422,Stab::N,stav,makila
423,Stab::N,kjepp,makila
424,Rohr::N,rør,hodi
425,Haus::N,hus,etxe
426,Heim::N,hjem,etxe
427,Heim::N,hjem,etxaleku
428,Ofen::N,ovn,berogailu
429,Fußboden::N,gulv,zoru
430,Tisch::N,bord,mahai
431,Stuhl::N,stol,aulki
432,Wiege::N,vogge,kuma
433,Wiege::N,vogge,sehaska
434,Bett::N,seng,ohe
435,Bett::N,seng,ohatze
436,Regal::N,reol,apalategi
437,Regal::N,hylle,apalategi
438,Kiste::N,kasse,kutxa
439,Fenster::N,vindu,leiho
440,Tür::N,dør,ate
441,Tor::N,port,atari
442,Zaun::N,gjerde,hesi
443,Dach::N,tak,teilatu
444,Leiter::N,stige,zurubi
445,Besen::N,kost,erratz
446,Spaten::N,spade,burdinpala
447,Schaufel::N,skuffe,pala
448,Gabel::N,gaffel,sardexka
449,Löffel::N,skje,koilara
450,Messer::N,kniv,aizto
451,Nagel::N,spiker,iltze
452,Netz::N,nett,sare
453,Haken::N,krok,mako
454,Griff::N,tak,eskutoki
455,Griff::N,håndtak,eskutoki
456,Schloss::N,lås,sarraila
457,Bild::N,bilde,irudi
458,Figur::N,figur,figura
459,Puppe::N,dukke,panpina
460,Puppe::N,dukke,andrakila
461,Beutel::N,pose,zorro
462,Bündel::N,bylt,azao
463,Bündel::N,bylt,espal
464,Tasche::N,veske,poltsa
465,Eimer::N,bøtte,treska
466,Deckel::N,lokk,tapa
467,Deckel::N,lokk,estalki
468,Geschirr::N,kjøkkentøy,baxera
469,Geschirr::N,kjøkkentøy,ontziteria
470,Sack::N,sekk,zaku
471,Tasse::N,kopp,kikara
472,Topf::N,gryte,ontzi
473,Topf::N,gryte,lapiko
474,Kessel::N,kjele,pazia
475,Essen::N,mål,janaldi
476,Nahrung::N,mat,jan
477,Nahrung::N,næring,jan
478,Speise::N,matrett,jaki
479,Fleisch::N,kjøtt,okela
480,Fleisch::N,kjøtt,haragi
481,Getreide::N,korn,labore
482,Brei::N,grøt,ahi
483,Brei::N,grøt,pure
484,Brot::N,brød,ogi
485,Scheibe::N,skive,xerra
486,Scheibe::N,skive,pirripita
487,Fett::N,fett,urin
488,Fett::N,fett,koipe
489,Butter::N,smør,gurin
490,Öl::N,olje,olio
491,Salz::N,salt,gatz
492,Suppe::N,suppe,zopa
493,Suppe::N,suppe,salda
494,Honig::N,honning,ezti
495,Milch::N,melk,esne
496,Tee::N,te,te
497,Leder::N,lær,larru
498,Leder::N,skinn,larru
499,Wolle::N,ull,artile
500,Stoff::N,tøy,ehun
501,Stoff::N,stoff,ehun
502,Nadel::N,nål,orratz
503,Nadel::N,nål,jostorratz
504,Faden::N,tråd,hari
505,Knopf::N,knapp,botoi
506,Knoten::N,knute,korapilo
507,Farbe::N,farge,pintura
508,Kleidung::N,påkledning,arropa
509,Kleidung::N,påkledning,jantziak
510,Hemd::N,skjorte,atorra
511,Hemd::N,skjorte,alkandora
512,Kragen::N,krage,idun
513,Ärmel::N,erme,mahuka
514,Hose::N,bukse,prakak
515,Hose::N,bukse,galtzak
516,Gürtel::N,belte,gerriko
517,Mütze::N,lue,txano
518,Mütze::N,lue,txapel
519,Schuh::N,sko,oski
520,Schuh::N,sko,oinetako
521,Stiefel::N,støvel,bota
522,Ring::N,ring,uztai
523,Band::N,band,zinta
524,Band::N,band,xingola
525,Kamm::N,kam,orrazi
526,Spiegel::N,speil,mirail
527,Riemen::N,rem,uhal
528,Schnur::N,snor,lokailu
529,Leine::N,line,lotura
530,Decke::N,teppe,burusi
531,Kissen::N,pute,kuxin
532,Tuch::N,tøy,zapi
533,Tuch::N,tøy,oihal
534,Handtuch::N,håndkle,eskuzapi
535,Handtuch::N,håndkle,eskuoihal
536,Kraft::N,kraft,indar
537,Stärke::N,styrke,indar
538,Gesundheit::N,helse,osasun
539,Gesundheit::N,sunnhet,osasun
540,Krankheit::N,syke,eritasun
541,Krankheit::N,syke,gaixotasun
542,Krankheit::N,sykdom,eritasun
543,Krankheit::N,sykdom,gaixotasun
544,Schmerz::N,smerte,min
545,Wunde::N,sår,zauri
546,Fieber::N,feber,sukar
547,Arznei::N,medisin,osagai
548,Arznei::N,medisin,sendagai
549,Arznei::N,legemiddel,osagai
550,Arznei::N,legemiddel,sendagai
551,Brücke::N,bro,zubi
552,Brunnen::N,brønn,putzu
553,Weide::N,beite,alha
554,Weide::N,beite,bazkaleku
555,Pfad::N,sti,zidor
556,Pfad::N,sti,bidexka
557,Weg::N,vei,bide
558,Straße::N,gate,errepide
559,Dorf::N,landsby,herri
560,Stadt::N,by,hiri
561,Brief::N,brev,gutun
562,Brief::N,brev,eskutitz
563,Buch::N,bok,liburu
564,Buchstabe::N,bokstav,hizki
565,Zeitung::N,avis,egunkari
566,Leben::N,liv,bizi
567,Leben::N,liv,bizitza
568,Tod::N,død,herio
569,Tod::N,død,heriotza
570,Grab::N,grav,hobi
571,Grab::N,grav,hilobi
572,Kirche::N,kirke,eliza
573,Sünde::N,synd,hoben
574,Sünde::N,synd,bekatu
575,Gott::N,gud,jainko
576,Arbeiter::N,arbeider,langile
577,Arbeiter::N,arbeider,behargin
578,Chef::N,sjef,nagusi
579,Meister::N,mester,maisu
580,Arzt::N,lege,osagile
581,Arzt::N,lege,sendagile
582,Lehrer::N,lærer,irakasle
583,Geld::N,penger,diru
584,Geschäft::N,forretning,negozio
585,Laden::N,butikk,denda
586,Laden::N,butikk,saltegi
587,Preis::N,pris,prezio
588,Preis::N,pris,salneurri
589,Ware::N,vare,salgai
590,Nutzen::N,nytte,onura
591,Nutzen::N,nytte,probetxu
592,Reichtum::N,rikdom,aberastasun
593,Welt::N,verden,ludi
594,Welt::N,verden,mundu
595,Land::N,land,herrialde
596,Staat::N,stat,estatu
597,König::N,konge,errege
598,Macht::N,makt,botere
599,Grenze::N,grense,muga
600,Krieg::N,krig,guda
601,Feind::N,fiende,etsai
602,Feind::N,fiende,arerio
603,Gewalt::N,vold,bortxa
604,Gewalt::N,vold,bortizkeria
605,Kampf::N,kamp,gudu
606,Kampf::N,kamp,auska
607,Bogen[Waffe]::N,bue,arku
608,Pfeil::N,pil,gezi
609,Gewehr::N,gevær,fusil
610,Fehler::N,feil,huts
611,Fehler::N,feil,hutsegin
612,Lüge::N,løgn,gezur
613,Schaden::N,skade,kalte
614,Unglück::N,uhell,zoritxar
615,Unglück::N,uhell,zorigaitz
616,Schuld::N,skyld,erru
617,Alter::N,alder,adin
618,Schluss::N,slutt,bukaera
619,Zeit::N,tid,aldi
620,Zeit::N,tid,denbora
621,Tag::N,dag,egun
622,Morgen::N,morgen,goiz
623,Mittag::N,middag,eguerdi
624,Abend::N,aften,arrats
625,Nacht::N,natt,gau
626,Woche::N,uke,aste
627,Monat::N,måned,hil
628,Jahr::N,år,urte
629,Frühling::N,vår,udalehen
630,Sommer::N,sommer,uda
631,Herbst::N,høst,udazken
632,Herbst::N,høst,neguantz
633,Winter::N,vinter,negu
634,Januar::N,januar,urtarril
635,Februar::N,februar,otsail
636,März::N,mars,martxo
637,April::N,april,apiril
638,Mai::N,mai,maiatz
639,Juni::N,juni,ekain
640,Juli::N,juli,uztail
641,August::N,august,abuztu
642,September::N,september,irail
643,Oktober::N,oktober,urri
644,November::N,november,azaro
645,Dezember::N,desember,abendu
646,Montag::N,mandag,astelehen
647,Dienstag::N,tirsdag,astearte
648,Mittwoch::N,onsdag,asteazken
649,Donnerstag::N,torsdag,ostegun
650,Freitag::N,fredag,ostiral
651,Samstag::N,lørdag,larunbat
652,Sonntag::N,søndag,igande
653,groß::A,stor,handi
654,klein::A,liten,txiki
655,lang::A,lang,luze
656,kurz::A,kort,labur
657,breit::A,bred,zabal
658,schmal::A,smal,mehar
659,dicht::A,tett,sarri
660,dicht::A,tett,trinko
661,dick[Gegenstand]::A,tykk,lodi
662,dünn::A,tynn,mehe
663,fein::A,fin,fin
664,fest::A,fast,tinko
665,flach::A,flat,lau
666,flach::A,flat,ordoki
667,glatt::A,glatt,leun
668,hart::A,hard,gogor
669,weich::A,myk,bigun
670,weich::A,myk,beratz
671,weich::A,bløt,bigun
672,weich::A,bløt,beratz
673,rund::A,rund,biribil
674,spitz::A,spiss,puntadun
675,scharf::A,kvass,zorrotz
676,stumpf::A,stubb,kamuts
677,schwer::A,tung,astun
678,schwer::A,tung,pisutsu
679,schön::A,pen,eder
680,schön::A,vakker,eder
681,heiß::A,het,bero
682,heiß::A,het,oso bero
683,warm::A,varm,bero
684,kalt::A,kald,hotz
685,kühl::A,kjølig,hotzil
686,frisch::A,fersk,fresko
687,frisch::A,fersk,hozkirri
688,feucht::A,fuktig,heze
689,nass::A,våt,busti
690,trocken::A,tørr,siku
691,trocken::A,tørr,lehor
692,voll::A,full,bete
693,leer::A,tom,huts
694,offen::A,åpen,ireki
695,geschlossen::A,lukket,itxita
696,sauber::A,ren,xahu
697,sauber::A,ren,garbi
698,schmutzig::A,skitten,lohi
699,schmutzig::A,skitten,zikin
700,roh::A,rå,gordin
701,reif::A,moden,umo
702,reif::A,moden,heldu
703,lecker::A,lekker,goxo
704,süß::A,søt,goxo
705,bitter::A,besk,karmin
706,bitter::A,besk,garratz
707,bitter::A,bitter,karmin
708,bitter::A,bitter,garratz
709,sauer::A,sur,mingots
710,hell::A,lys,argi
711,dunkel::A,mørk,ilun
712,schwarz::A,svart,beltz
713,weiß::A,hvit,zuri
714,rot::A,rød,gorri
715,gelb::A,gul,hori
716,blau::A,blå,urdin
717,grün::A,grønn,berde
718,grün::A,grønn,musker
719,grau::A,grå,urdin
720,grau::A,grå,urdinabar
721,bunt::A,broket,koloretsu
722,billig::A,billig,merke
723,teuer::A,dyr,garesti
724,wertvoll::A,verdifull,baliotsu
725,blind::A,blind,itsu
726,taub::A,døv,gor
727,kräftig::A,kraftig,kementsu
728,stark::A,sterk,bizkor
729,stark::A,sterk,indartsu
730,schwach::A,svak,ahul
731,schwach::A,svak,indargabe
732,fett::A,fet,gizen
733,schlank::A,slank,lerden
734,hübsch::A,pen,polit
735,böse::A,slem,tzar
736,böse::A,slem,gaizto
737,dumm::A,dum,lelo
738,dumm::A,dum,pello
739,faul::A,lat,nagi
740,faul::A,lat,alfer
741,faul::A,doven,nagi
742,faul::A,doven,alfer
743,fleißig::A,flittig,maratz
744,fleißig::A,flittig,lanzale
745,geizig::A,gjerrig,zeken
746,geizig::A,gjerrig,zikoitz
747,klug::A,klok,zuhur
748,geschickt::A,hendig,trebe
749,geschickt::A,hendig,antzetsu
750,geschickt::A,skikket,trebe
751,geschickt::A,skikket,antzetsu
752,lieb::A,kjær,maite
753,lieb::A,kjær,laztan
754,lieb::A,snill,maite
755,lieb::A,snill,laztan
756,lustig::A,morsom,alaitsu
757,sanft::A,blid,eme
758,sanft::A,blid,ezti
759,hungrig::A,sulten,gose
760,krank::A,syk,eri
761,krank::A,syk,gaixo
762,nackt::A,naken,biluzi
763,traurig::A,sørgmodig,itun
764,traurig::A,sørgmodig,betilun
765,lebendig::A,levende,bizirik
766,gut::A,god,on
767,schlecht::A,dårlig,txar
768,richtig::A,riktig,zuzen
769,schlimm::A,slem,larri
770,wahr::A,sann,egiazko
771,alt::A,gammel,zahar
772,neu::A,ny,berri
773,ehemalig::A,forhenværende,lehengo
774,alt[Lebewesen]::A,gammel,adindun
775,jung::A,ung,gazte
776,arm::A,fattig,txiro
777,arm::A,fattig,behartsu
778,reich::A,rik,dirudun
779,bekannt::A,kjent,ezagun
780,berühmt::A,berømt,entzun
781,berühmt::A,berømt,ospetsu
782,fremd::A,fremmed,arrotz
783,verschieden::A,forskjellig,ezberdin
784,verschieden::A,forskjellig,desberdin
785,nah::A,nær,hurre
786,nah::A,nær,hurbil
787,fern::A,fjern,urrun
788,linker::A,venstre,ezker
789,rechter::A,høyre,eskuin
790,anderer::A,annen,beste
791,erster::A,første,lehen
792,erster::A,første,aurren
793,zweiter::A,annen,bigarren
794,dritter::A,tredje,hirugarren
795,letzter::A,sist,azken
796,letzter::A,sist,hondar
797,allein::ADV,alene,bakarrik
798,auf einmal::ADV,med ett,batera
799,zusammen::ADV,sammen,elkarrekin
800,lange::ADV,lenge,luzaro
801,plötzlich::ADV,plutselig,bat-batean
802,sofort::ADV,straks,berehala
803,später::ADV,senere,gero
804,jetzt::ADV,nå,orain
805,heute::ADV,i dag,gaur
806,morgen::ADV,i morgen,bihar
807,bald::ADV,snart,aurki
808,bald::ADV,snart,laster
809,dann::ADV,så,ondoren
810,gestern::ADV,i går,atzo
811,einst::ADV,engang,antzina
812,damals::ADV,den gang,orduan
813,danach::ADV,deretter,gerora
814,danach::ADV,deretter,ondoren
815,vorher::ADV,før,lehenago
816,vorher::ADV,i forveien,lehenago
817,zuerst::ADV,først,aurrena
818,zuerst::ADV,først,lehenbizi
819,einmal::ADV,en gang,behin
820,einmal::ADV,en gang,aldi bat
821,manchmal::ADV,somme tider,batzuetan
822,manchmal::ADV,somme tider,zenbaitetan
823,oft::ADV,ofte,maiz
824,oft::ADV,ofte,askotan
825,immer::ADV,alltid,beti
826,niemals::ADV,aldri,inoiz ez
827,niemals::ADV,aldri,sekula ez
828,hier::ADV,her,hemen
829,hierhin::ADV,hit,hona
830,von hier::ADV,herfra,hemendik
831,von hier::ADV,herfra,honetatik
832,dort::ADV,der,han
833,dorthin::ADV,dit,hara
834,geradeaus::ADV,rett fram,artez
835,vorwärts::ADV,fram,aurrera
836,vorwärts::ADV,framover,aurrera
837,rückwärts::ADV,baklengs,atzera
838,rückwärts::ADV,baklengs,atzerantz
839,zurück::ADV,tilbake,atzera
840,unten::ADV,nede,behean
841,hinab::ADV,ned,behera
842,hinab::ADV,ned,beherantz
843,hinab::ADV,nedover,behera
844,hinab::ADV,nedover,beherantz
845,oben::ADV,oppe,goian
