,Concept_ID,udm,da
89,Regenbogen::N,вуюись,regnbue
90,Donner::N,гудыри,torden
91,Strömung::N,бызён,strømning
92,Tropfen::N,шапык,dråbe
93,Schaum::N,шукы,skum
94,Schmutz::N,нӧд,snavs
95,Schmutz::N,дэри,snavs
96,See::N,ты,sø
97,Sumpf::N,нюр,sump
98,Moor::N,нюр,mose
99,Wiese::N,возь,eng
100,Wiese::N,возьвыл,eng
101,Wald::N,сик,skov
102,Wald::N,нюлэс,skov
103,Hügel::N,выр,høj
104,Hügel::N,выр,bakke
105,Hügel::N,вырйыл,høj
106,Hügel::N,вырйыл,bakke
107,Anhöhe::N,выр,høj
108,Anhöhe::N,выр,bakke
109,Anhöhe::N,вырйыл,høj
110,Anhöhe::N,вырйыл,bakke
111,Berg::N,гурезь,bjerg
112,Gipfel::N,йыл,top
113,Höhle::N,гу,hule
114,Abhang::N,бам,skrænt
115,Abhang::N,бам,skråning
116,Quelle::N,ошмес,kilde
117,Bach::N,пичи шур,bæk
118,Fluss::N,шур,flod
119,Ufer::N,ярдур,bred
120,Küste::N,вудур,kyst
121,Festland::N,мувыр,fastland
122,Meer::N,зарезь,hav
123,Bucht::N,вукож,bugt
124,Insel::N,вумуӵ,ø
125,Insel::N,шормуӵ,ø
126,Blume::N,сяська,blomst
127,Gras::N,турын,græs
128,Wurzel::N,выжы,rod
129,Baum::N,пу,træ
130,Stamm::N,модос,stamme
131,Rinde::N,сул,bark
132,Ast::N,ул,gren
133,Zweig::N,вай,kvist
134,Blatt::N,куар,blad
135,Birke::N,кызьпу,birk
136,Kiefer[Baum]::N,пужым,fyrretræ
137,Weide[Baum]::N,бадьпу,piletræ
138,Tanne::N,кыз,gran
139,Horn::N,сюр,horn
140,Feder::N,тылы,fjer
141,Fell::N,ку,skind
142,Flügel::N,бурд,vinge
143,Klaue::N,гижы,klov
144,Kralle::N,пыд,klo
145,Schwanz::N,быж,hale
146,Ei::N,пуз,æg
147,Ei::N,кукей,æg
148,Nest::N,кар,rede
149,Nest::N,пузкар,rede
150,Bau::N,кар,bo
151,Bau::N,гу,bo
152,Tier::N,пӧйшур,dyr
153,Herde::N,уллё,flok
154,Kuh::N,скал,ko
155,Bulle::N,ош,tyr
156,Bulle::N,пороз,tyr
157,Pferd::N,вал,hest
158,Schaf::N,ыж,får
159,Schwein::N,парсь,gris
160,Hund::N,пуны,hund
161,Katze::N,коӵыш,kat
162,Bär::N,гондыр,bjørn
163,Eichhörnchen::N,коньы,egern
164,Elch::N,койык,elg
165,Fuchs::N,ӟичы,ræv
166,Hase::N,кеч,hare
167,Maus::N,шыр,mus
168,Wolf::N,кион,ulv
169,Vogel::N,тылобурдо,fugl
170,Schwarm::N,уллё,sværm
171,Huhn::N,курег,høne
172,Hahn::N,атас,hane
173,Gans::N,ӟазег,gås
174,Adler::N,ӧрзи,ørn
175,Ente::N,ӵӧж,and
176,Eule::N,кучыран,ugle
177,Kranich::N,тури,trane
178,Krähe::N,куака,krage
179,Kuckuck::N,кикы,gøg
180,Schwan::N,юсь,svane
181,Fisch::N,чорыг,fisk
182,Barsch::N,юш,aborre
183,Hecht::N,чипей,gedde
184,Schlange[Tier]::N,кый,slange
185,Wurm::N,нумыр,orm
186,Spinne::N,чонари,edderkop
187,Ameise::N,кузьыли,myre
188,Laus::N,тэй,lus
189,Mücke::N,нымы,myg
190,Mücke::N,чибинь,myg
191,Fliege::N,кут,flue
192,Schmetterling::N,бубыли,sommerfugl
193,Beere::N,узы-боры,bær
194,Apfel::N,яблок,æble
195,Pilz::N,губи,svamp
196,Zwiebel::N,сугон,løg
197,Saat::N,кидыс,sæd
198,Korn::N,тысь,korn
199,Heu::N,турын,hø
200,Schale::N,кыд,skræl
201,Grube::N,гу,grav
202,Grube::N,гоп,grav
203,Falle::N,налик,fælde
204,Schlinge::N,гиӟ,snare
205,Schlinge::N,герд,snare
206,Spur::N,пытьы,spor
207,Spur::N,бервыл,spor
208,Asche::N,пень,aske
209,Dreck::N,дэри,snavs
210,Eisen::N,корт,jern
211,Gold::N,зарни,guld
212,Silber::N,азвесь,sølv
213,Kohle::N,эгыр,kul
214,Glas::N,стекло,glas
215,Glas::N,пияла,glas
216,Lehm::N,сюй,ler
217,Sand::N,луо,sand
218,Mensch::N,мурт,mennesge
219,Mensch::N,адями,mennesge
220,Mann::N,воргорон,mand
221,Frau::N,кышномурт,kvinde
222,Kind::N,нуны,barn
223,Kind::N,пинал,barn
224,Junge::N,пи,dreng
225,Mädchen::N,ныл,pige
226,Familie::N,семья,familie
227,Großvater::N,песятай,bedstefar
228,Großvater::N,пересь атай,bedstefar
229,Großmutter::N,песянай,bedstemor
230,Großmutter::N,пересь анай,bedstemor
231,Eltern::N,атай-анай,forældre
232,Eltern::N,бубы-мумы,forældre
233,Vater::N,айы,far
234,Vater::N,атай,far
235,Mutter::N,мумы,mor
236,Sohn::N,пи,søn
237,Tochter::N,ныл,datter
238,Bruder::N,агай,bror
239,Schwester::N,апа,søster
240,Schwester::N,сузэр,søster
241,Onkel::N,агай,onkel
242,Tante::N,апа,tante
243,Tante::N,кенак,tante
244,Ehemann::N,карт,ægtemand
245,Ehefrau::N,кышно,hustru
246,Freude::N,шумпотон,glæde
247,Gelächter::N,горем,latter
248,Glück::N,шуд,lykke
249,Kummer::N,кайгу,sorg
250,Kummer::N,куректон,sorg
251,Wunsch::N,мылпотон,ønske
252,Lust::N,потон,lyst
253,Geist::N,лул,ånd
254,Gedanke::N,малпан,tanke
255,Gedächtnis::N,йырсазь,hukommelse
256,Gedächtnis::N,тодэваён,hukommelse
257,Verstand::N,йырвизь,forstand
258,Sinn::N,смысл,mening
259,Sinn::N,смысл,betydning
260,Grund::N,муг,grund
261,Grund::N,ньӧм,grund
262,Wahrheit::N,зэм,sandhed
263,Wahrheit::N,шонер,sandhed
264,Gespräch::N,вераськон,samtale
265,Märchen::N,выжыкыл,eventyr
266,Erzählung::N,верос,fortælling
267,Nachricht::N,ивор,efterretning
268,Neuigkeit::N,выльивор,nyhed
269,Name::N,ним,navn
270,Rätsel::N,мадькыл,gåde
271,Rede::N,верам,tale
272,Sprache::N,кыл,sprog
273,Stimme::N,куара,stemme
274,Wort::N,кыл,ord
275,Zeichen::N,пус,tegn
276,Zeichen::N,тодмет,tegn
277,Ruf::N,ӧтён,råb
278,Ruf::N,чортон,råb
279,Lärm::N,ӵашетон,larm
280,Laut::N,куара,lyd
281,Ton::N,куара,tone
282,Lied::N,кырӟан,sang
283,Ruhe::N,чалмыт улон,ro
284,Ruhe::N,чалмыт улон,hvile
285,Leute::N,адямиос,folk
286,Leute::N,адямиос,mennesker
287,Volk::N,калык,folk
288,Arbeit::N,уж,arbejde
289,Gast::N,куно,gæst
290,Geschenk::N,салам,gave
291,Geschenk::N,кузьым,gave
292,Spiel::N,шудон,leg
293,Gesellschaft::N,калык,selskab
294,Hilfe::N,юрттон,hjælp
295,Freund::N,эш,ven
296,Freund::N,юлтош,ven
297,Kamerad::N,тодмо,kammerat
298,Angelegenheit::N,уж,sag
299,Angelegenheit::N,уж,anliggende
300,Anzahl::N,лыд,antal
301,Art::N,тус,art
302,Stück::N,юдэс,stykke
303,Teil::N,люкет,del
304,Hälfte::N,ӝыны,halvdel
305,Kreis::N,котырес,cirkel
306,Kreuz::N,крест,kors
307,Kreuz::N,крест,kryds
308,Linie::N,гож,linie
309,Strich::N,гож,streg
310,Abstand::N,вис,afstand
311,Abstand::N,кусып,afstand
312,Entfernung::N,кусып,afstand
313,Gegend::N,инты,egn
314,Platz::N,инты,plads
315,Ort::N,инты,sted
316,Ort::N,места,sted
317,Seite::N,пал,side
318,Mitte::N,шор,midte
319,Gegenstand::N,арбери,genstand
320,Sache::N,котыр,sag
321,Rand::N,дур,rand
322,Rand::N,шаер,rand
323,Kante::N,дур,kant
324,Ecke::N,сэрег,hjørne
325,Spitze::N,йыл,spids
326,Ende::N,пум,ende
327,Loch::N,пась,hul
328,Winkel::N,сэрег,vinkel
329,Muster::N,пужы,mønster
330,Größe::N,быдӟала,størrelse
331,Länge::N,кузьдала,længde
332,Höhe::N,ӝуждала,højde
333,Gewicht::N,сектала,vægt
334,Gewicht::N,секытлык,vægt
335,Menge::N,лыд,mængde
336,Menge::N,лыдпус,mængde
337,Haufen::N,люк,bunke
338,Reihe::N,чур,række
339,Boot::N,пыж,båd
340,Boot::N,лодка,båd
341,Ruder::N,полыс,åre
342,Schlitten::N,додьы,kælk
343,Schlitten::N,додьы,slæde
344,Ski::N,куас,ski
345,Lagerfeuer::N,тылскем,lejrbål
346,Last::N,секыт,last
347,Last::N,секыт,byrde
348,Gang::N,ветлон,gang
349,Schritt::N,вамыш,skridt
350,Norden::N,уйпал,nord
351,Süden::N,лымшор,syd
352,Westen::N,шунды пуксён,vest
353,Osten::N,шунды ӝужан,øst
354,Holz::N,пу,træ
355,Brett::N,пул,bræt
356,Platte::N,плита,plade
357,Stütze::N,пыкет,støtte
358,Stange::N,пуӵ,stang
359,Stock::N,боды,stok
360,Stab::N,пуӵ,stav
361,Stab::N,боды,stav
362,Rohr::N,труба,rør
363,Haus::N,юрт,hus
364,Heim::N,корка,hjem
365,Ofen::N,гур,ovn
366,Fußboden::N,выж,gulv
367,Tisch::N,ӝӧк,bord
368,Stuhl::N,пукон,stol
369,Wiege::N,кӧкы,vugge
370,Wiege::N,зыбка,vugge
371,Bett::N,валес,seng
372,Regal::N,ӝажы,reol
373,Kiste::N,ящик,kasse
374,Fenster::N,укно,vindue
375,Fenster::N,косяк,vindue
376,Tür::N,ӧс,dør
377,Tor::N,ӟезьы,port
378,Zaun::N,забор,stakit
379,Dach::N,липет,tag
380,Leiter::N,падӟа,stige
381,Besen::N,ӵужон,kost
382,Besen::N,исьнер,kost
383,Spaten::N,лопатка,spade
384,Schaufel::N,ютырон,skovl
385,Gabel::N,тэчы,gaffel
386,Gabel::N,вилка,gaffel
387,Löffel::N,пуньы,ske
388,Messer::N,пурт,kniv
389,Nagel::N,кортӵог,søm
390,Netz::N,сеть,net
391,Haken::N,курик,krog
392,Griff::N,ныд,tag
393,Griff::N,ныд,håndtag
394,Schloss::N,тунгон,lås
395,Bild::N,суред,billede
396,Figur::N,фигура,figur
397,Puppe::N,мунё,dukke
398,Beutel::N,пуйы,pose
399,Bündel::N,керттэт,bylt
400,Bündel::N,керттэт,bundt
401,Tasche::N,пуйы,taske
402,Tasche::N,сумка,taske
403,Eimer::N,ведра,spand
404,Deckel::N,ӵоксэт,låg
405,Geschirr::N,тусьты-пуньы,husgeråd
406,Sack::N,пуйы,sæk
407,Tasse::N,ӵаша,kop
408,Topf::N,миска,gryde
409,Kessel::N,пурты,kedel
410,Essen::N,сиськон,måltid
411,Nahrung::N,сион,mad
412,Nahrung::N,сион,næring
413,Speise::N,сиён,ret
414,Fleisch::N,сӥль,kød
415,Getreide::N,ю тысь,korn
416,Brei::N,ӝук,grød
417,Brot::N,нянь,brød
418,Scheibe::N,шорем,skive
419,Fett::N,кӧй,fedt
420,Butter::N,вӧй,smør
421,Öl::N,вӧй,olie
422,Salz::N,сылал,salt
423,Suppe::N,шыд,suppe
424,Honig::N,чечы,honning
425,Milch::N,йӧл,mælk
426,Tee::N,чай,te
427,Leder::N,сурон,skind
428,Wolle::N,гон,uld
429,Wolle::N,ыжгон,uld
430,Stoff::N,куэм,stof
431,Nadel::N,вень,nål
432,Faden::N,сӥньыс,tråd
433,Knopf::N,бирды,knap
434,Knoten::N,герд,knude
435,Farbe::N,буёл,farve
436,Kleidung::N,дӥсь,påklædning
437,Hemd::N,дэрем,skjorte
438,Kragen::N,сирес,krave
439,Ärmel::N,саес,ærme
440,Hose::N,брюки,bukser
441,Hose::N,штань,bukser
442,Gürtel::N,кускерттон,bælte
443,Mütze::N,ызьы,hue
444,Schuh::N,ботинка,sko
445,Stiefel::N,сапег,støvle
446,Ring::N,зундэс,ring
447,Band::N,лента,bånd
448,Kamm::N,сын,kam
449,Spiegel::N,синучкон,spejl
450,Riemen::N,е,rem
451,Schnur::N,гозы,snor
452,Leine::N,думет,snor
453,Decke::N,шобрет,tæppe
454,Kissen::N,миндэр,pude
455,Tuch::N,кышет,sjaltørklæde
456,Handtuch::N,ӵушкон,håndklæde
457,Kraft::N,кать,kraft
458,Kraft::N,ӟигар,kraft
459,Stärke::N,юнлык,styrke
460,Gesundheit::N,тазалык,sundhed
461,Krankheit::N,висён,sygdom
462,Schmerz::N,висён,smerte
463,Wunde::N,яра,sår
464,Fieber::N,кезег,feber
465,Arznei::N,эмъюм,medicin
466,Arznei::N,эмъюм,lægemiddel
467,Brücke::N,выж,bro
468,Brunnen::N,колдэч,brønd
469,Weide::N,возь,græsgang
470,Pfad::N,сюрес,sti
471,Weg::N,сюрес,vej
472,Straße::N,сюрес,gade
473,Dorf::N,гурт,landsby
474,Stadt::N,кар,by
475,Stadt::N,город,by
476,Brief::N,гожтэт,brev
477,Buch::N,книга,bog
478,Buchstabe::N,буква,bogstav
479,Zeitung::N,газет,avis
480,Leben::N,улон,liv
481,Tod::N,кулон,død
482,Grab::N,шайгу,grav
483,Kirche::N,черк,kirke
484,Sünde::N,сьӧлык,synd
485,Gott::N,ӥнмар,gud
486,Arbeiter::N,рабочий,arbejder
487,Chef::N,начальник,chef
488,Meister::N,кибашлы,mester
489,Arzt::N,врач,læge
490,Lehrer::N,дышетӥсь,lærer
491,Geld::N,уксё,penge
492,Geld::N,коньдон,penge
493,Geschäft::N,уж,forretning
494,Laden::N,магазин,butik
495,Laden::N,магазин,forretning
496,Preis::N,дун,pris
497,Ware::N,вуз,vare
498,Nutzen::N,пайда,nytte
499,Reichtum::N,узырлык,rigdom
500,Welt::N,дунне,verden
501,Land::N,шаер,land
502,Staat::N,кун,stat
503,König::N,эксэй,konge
504,Macht::N,власть,magt
505,Grenze::N,кунгож,grænse
506,Krieg::N,ож,krig
507,Feind::N,тушмон,fjende
508,Gewalt::N,эриктэман,vold
509,Kampf::N,нюръяськон,kamp
510,Bogen[Waffe]::N,пукыӵ,bue
511,Pfeil::N,пукыӵ вень,pil
512,Gewehr::N,пыӵал,gevær
513,Fehler::N,янгыш,fejl
514,Lüge::N,пӧян,løgn
515,Lüge::N,алдан,løgn
516,Lüge::N,ӧрекчан,løgn
517,Schaden::N,изъян,skade
518,Unglück::N,куректон,uheld
519,Unglück::N,куректон,ulykke
520,Unglück::N,шудтэме усён,uheld
521,Unglück::N,шудтэме усён,ulykke
522,Schuld::N,янгыш,skyld
523,Alter::N,арлыд,alder
524,Schluss::N,пум,slut
525,Schluss::N,пум,slutning
526,Zeit::N,дыр,tid
527,Tag::N,нунал,dag
528,Morgen::N,ӵукна,morgen
529,Mittag::N,лымшор,middag
530,Abend::N,ӝыт,aften
531,Abend::N,акшан,aften
532,Nacht::N,уй,nat
533,Woche::N,арня,uge
534,Monat::N,толэзь,måned
535,Jahr::N,ар,år
536,Frühling::N,тулыс,forår
537,Sommer::N,гужем,sommer
538,Herbst::N,сӥзьыл,efterår
539,Winter::N,тол,vinter
540,Januar::N,выльартолэзь,januar
541,Februar::N,тулыспал,februar
542,März::N,южтолэзь,marts
543,April::N,оштолэзь,april
544,Mai::N,куартолэзь,maj
545,Juni::N,вожотолэзь,juni
546,Juli::N,пӧсьтолэзь,juli
547,August::N,гудырикошкон,august
548,September::N,куарусён,september
549,Oktober::N,выльӝуктолэзь,oktober
550,November::N,шуркынмон,november
551,Dezember::N,толсур,december
552,Montag::N,вордӥськон,mandag
553,Dienstag::N,вторник,tirsdag
554,Mittwoch::N,вирнунал,onsdag
555,Donnerstag::N,покчиарня,torsdag
556,Freitag::N,удмуртарня,fredag
557,Samstag::N,кӧснунал,lørdag
558,Sonntag::N,арня,søndag
559,groß::A,бадӟым,stor
560,klein::A,пичи,lille
561,lang::A,кузь,lang
562,kurz::A,вакчи,kort
563,breit::A,паськыт,bred
564,schmal::A,сюлэг,smal
565,dicht::A,ӵем,tæt
566,dick[Gegenstand]::A,зӧк,tyk
567,dünn::A,векчи,tynd
568,fein::A,векчи,fin
569,fest::A,юн,fast
570,fest::A,чурыт,fast
571,flach::A,ӵошкыт,flad
572,glatt::A,гылыт,glat
573,glatt::A,вольыт,glat
574,hart::A,чурыт,hård
575,weich::A,небыт,blød
576,rund::A,котырес,rund
577,spitz::A,йылсо,spids
578,scharf::A,лэчыт,skarp
579,stumpf::A,ныж,sløv
580,stumpf::A,ныж,stump
581,schwer::A,секыт,tung
582,schön::A,чебер,skøn
583,heiß::A,пӧсь,hed
584,warm::A,шуныт,varm
585,kalt::A,кезьыт,kold
586,kühl::A,юзмыт,kølig
587,kühl::A,салкым,kølig
588,frisch::A,выль,frisk
589,feucht::A,мускыт,fugtig
590,nass::A,котмем,våd
591,trocken::A,кӧс,tør
592,voll::A,тыр,fuld
593,leer::A,буш,tom
594,leer::A,тырттэм,tom
595,offen::A,усьтэм,åben
596,geschlossen::A,ӵогам,lukket
597,geschlossen::A,пунням,lukket
598,sauber::A,ӝикыт,ren
599,sauber::A,чылкыт,ren
600,schmutzig::A,нӧд,snavset
601,roh::A,ыль,rå
602,reif::A,вуэм,moden
603,lecker::A,ческыт,lækker
604,süß::A,ческыт,sød
605,bitter::A,курыт,bitter
606,sauer::A,чырс,sur
607,hell::A,югыт,lys
608,dunkel::A,пеймыт,mørk
609,schwarz::A,сьӧд,sort
610,weiß::A,тӧдьы,hvid
611,rot::A,горд,rød
612,gelb::A,ӵуж,gul
613,blau::A,лыз,blå
614,grün::A,вож,grøn
615,grau::A,пурысь,grå
616,bunt::A,куӵо,broget
617,billig::A,дунтэм,billig
618,teuer::A,дуно,dyr
619,wertvoll::A,дуно,værdifuld
620,blind::A,сукыр,blind
621,blind::A,синтэм,blind
622,taub::A,пельтэм,døv
623,kräftig::A,кужмо,kraftig
624,stark::A,юн,stærk
625,stark::A,кужмо,stærk
626,schwach::A,ляб,svag
627,schwach::A,начар,svag
628,fett::A,кӧй,fed
629,schlank::A,веськыт,slank
630,schlank::A,веськрес,slank
631,hübsch::A,чебер,køn
632,hübsch::A,синмаськымон,køn
633,böse::A,лек,ond
634,böse::A,лек,slem
635,dumm::A,шузи,dum
636,dumm::A,визьтэм,dum
637,faul::A,азьтэм,doven
638,fleißig::A,сюлмо,flittig
639,geizig::A,сук,gerrig
640,klug::A,визьмо,klog
641,geschickt::A,усто,dygtig
642,geschickt::A,усто,behændig
643,geschickt::A,быгатӥсь,dygtig
644,geschickt::A,быгатӥсь,behændig
645,lieb::A,мусо,rar
646,lustig::A,шулдыр,lystig
647,sanft::A,мусо,blid
648,sanft::A,эрке,blid
649,hungrig::A,сютэм,sulten
650,krank::A,висись,syg
651,nackt::A,гольык,nøgen
652,traurig::A,мӧзмыт,bedrøvet
653,lebendig::A,улэп,levende
654,gut::A,ӟеч,god
655,gut::A,умой,god
656,schlecht::A,урод,dårlig
657,schlecht::A,алама,dårlig
658,richtig::A,шонер,rigtig
659,schlimm::A,алама,slem
660,wahr::A,зэмос,sand
661,alt::A,вуж,gammel
662,neu::A,выль,ny
663,ehemalig::A,азьвылэз,forhenværende
664,alt[Lebewesen]::A,пересь,gammel
665,jung::A,егит,ung
666,jung::A,пинал,ung
667,arm::A,начар,fattig
668,arm::A,куанер,fattig
669,reich::A,узыр,rig
670,bekannt::A,тодмо,kendt
671,berühmt::A,дано,berømt
672,fremd::A,ят,fremmed
673,verschieden::A,пӧртэм,forskellig
674,nah::A,матысь,nær
675,fern::A,кыдёкысь,fjern
676,linker::A,паллян,venstre
677,rechter::A,бур,højre
678,rechter::A,бурпал,højre
679,anderer::A,мукет,anden
680,erster::A,нырысетӥез,første
681,zweiter::A,кыктэтӥез,anden
682,dritter::A,кунньметӥез,tredje
683,letzter::A,берло,sidste
684,letzter::A,берпум,sidste
685,allein::ADV,огназ,alene
686,auf einmal::ADV,огдыре,på én gang
687,zusammen::ADV,ӵош,sammen
688,zusammen::ADV,валче,sammen
689,lange::ADV,кема,længe
690,plötzlich::ADV,мапламтэ шорысь,pludselig
691,sofort::ADV,али ик,straks
692,später::ADV,бергес,senere
693,später::ADV,берлогес,senere
694,jetzt::ADV,али,nu
695,jetzt::ADV,табере,nu
696,heute::ADV,туннэ,i dag
697,morgen::ADV,ӵуказе,i morgen
698,bald::ADV,ӝоген,snart
699,dann::ADV,берло,så
700,gestern::ADV,толон,i går
701,einst::ADV,огпол,engang
702,einst::ADV,одӥг пол,engang
703,damals::ADV,соку,dengang
704,danach::ADV,собере,derefter
705,vorher::ADV,азьло,før
706,vorher::ADV,азьло,forud
707,vorher::ADV,азьвыл,før
708,vorher::ADV,азьвыл,forud
709,zuerst::ADV,азьло,først
710,einmal::ADV,огпол,en gang
711,manchmal::ADV,куддыръя,sommetider
712,oft::ADV,ӵем,ofte
713,immer::ADV,пыр,altid
714,immer::ADV,котьку,altid
715,niemals::ADV,уз ноку,aldrig
716,hier::ADV,татын,her
717,hierhin::ADV,татчы,hid
718,hierhin::ADV,татчы,herhen
719,von hier::ADV,татысь,herfra
720,dort::ADV,отӥ,der
721,dort::ADV,отын,der
722,dorthin::ADV,отчы,derhen
723,geradeaus::ADV,меӵак,lige ud
724,vorwärts::ADV,азьлань,fremad
725,rückwärts::ADV,берлань,baglæns
726,zurück::ADV,берен,tilbage
727,zurück::ADV,берлань,tilbage
728,unten::ADV,улын,nede
729,unten::ADV,улын,forneden
730,hinab::ADV,улэ,ned
731,hinab::ADV,улэ,nedad
732,oben::ADV,вылын,oppe
733,oben::ADV,вылын,ovenpå
734,oben::ADV,вылӥын,oppe
735,oben::ADV,вылӥын,ovenpå
736,hinauf::ADV,вылэ,op
737,hinauf::ADV,вылэ,opad
738,hinauf::ADV,вылӥе,op
739,hinauf::ADV,вылӥе,opad
740,hinauf::ADV,выллань,op
741,hinauf::ADV,выллань,opad
742,überall::ADV,котькытын,overalt
743,überall::ADV,пасьтана,overalt
744,nicht::ADV,уз,ikke
745,ein wenig::ADV,ичи,lidt
746,ein wenig::ADV,ӧжыт,lidt
747,ein wenig::ADV,огшап,lidt
748,kaum::ADV,муртса,knap
749,kaum::ADV,муртса,næppe
750,sehr::ADV,туж,meget
751,sehr::ADV,лекос,meget
752,so::ADV,озьы,så
753,so::ADV,тазьы,så
754,noch::ADV,на,endnu
755,nur::ADV,гинэ,kun
756,nur::ADV,гинэ,bare
757,schon::ADV,ни,alt
758,schon::ADV,ни,allerede
759,schon::ADV,ини,alt
760,schon::ADV,ини,allerede
761,wieder::ADV,нош,igen
762,wieder::ADV,кайта,igen
763,vergebens::ADV,юнме,forgæves
764,vor::PRP,азьын,foran
765,vor::PRP,азьын,uden for
766,hinter::PRP,берын,bag
767,hinter::PRP,берын,bagved
768,hinter::PRP,бӧрсьы,bag
769,hinter::PRP,бӧрсьы,bagved
770,unter::PRP,улын,under
771,durch::PRP,пыр,gennem
772,durch::PRP,пыр,igennem
773,durch::PRP,пыртӥ,gennem
774,durch::PRP,пыртӥ,igennem
775,neben::PRP,бордын,ved siden af
776,zwischen::PRP,вискын,mellem
777,wegen::PRP,сэрен,på grund af
778,dies::PRN,та,dette
779,das::PRN,со,det
780,alles::PRN,ваньмыз,alt
781,ich::PRN,мон,jeg
782,du::PRN,тон,du
783,er::PRN,со,han
784,wir::PRN,ми,vi
785,ihr::PRN,тӥ,I
786,sie::PRN,соос,de
787,was::FPRN,ма,hvad
788,wer::FPRN,кин,hvem
789,wo::FADV,кытын,hvor
790,wohin::FADV,кытчы,hvorhen
791,wie::FADV,кызьы,hvordan
792,warum::FADV,малы,hvorfor
793,wieviel::FNUM,кӧня,hvor meget
794,eins::NUM,одӥг,én
795,zwei::NUM,кык,to
796,drei::NUM,куинь,tre
797,vier::NUM,ньыль,fire
798,fünf::NUM,вить,fem
799,sechs::NUM,куать,seks
800,sieben::NUM,сизьым,syv
801,acht::NUM,тямыс,otte
802,neun::NUM,укмыс,ni
803,zehn::NUM,дас,ti
804,elf::NUM,дас одӥг,elleve
805,zwölf::NUM,дас кык,tolv
806,zwanzig::NUM,кызь,tyve
807,dreißig::NUM,куамын,tredive
808,vierzig::NUM,ньыльдон,fyrre
809,vierzig::NUM,ньыльдон,fyrretyve
810,fünfzig::NUM,витьтон,halvtreds
811,sechzig::NUM,куатьтон,tres
812,siebzig::NUM,сизьымдон,halvfjerds
813,achtzig::NUM,тямыстон,firs
814,neunzig::NUM,укмыстон,halvfems
815,hundert::NUM,сю,hundrede
816,tausend::NUM,сюрс,tusind
817,und::CNJ,и,og
818,und::CNJ,но,og
819,oder::CNJ,яке,eller
820,stehen::V,сылыны,stå
821,sitzen::V,пукыны,sidde
822,liegen::V,кылльыны,ligge
823,hängen::V,ошкыса улыны,hænge
824,werden::V,луыны,blive
825,passieren::V,луыны,ske
