,Concept_ID,az,be
138,Fell::N,xəz,шкура
139,Flügel::N,qanad,крыло
140,Klaue::N,pəncə,кіпцюр
141,Kralle::N,dırnaq,лапа
142,Schwanz::N,quyruq,хвост
143,Ei::N,yumurta,яйка
144,Nest::N,yuva,гняздо
145,Bau::N,yuva,нара
146,Tier::N,heyvan,жывёла
147,Herde::N,sürü,статак
148,Kuh::N,inək,карова
149,Bulle::N,öküz,бык
150,Pferd::N,at,конь
151,Schaf::N,qoyun,авечка
152,Schwein::N,donuz,свіння
153,Hund::N,it,сабака
154,Hund::N,köpək,сабака
155,Katze::N,pişik,кошка
156,Bär::N,ayı,мядзведзь
157,Eichhörnchen::N,dələ,вавёрка
158,Elch::N,sığın,лось
159,Fuchs::N,tülkü,ліса
160,Hase::N,dovşan,заяц
161,Maus::N,siçan,мыш
162,Wolf::N,qurd,воўк
163,Vogel::N,quş,птах
164,Vogel::N,quş,птушка
165,Schwarm::N,sürü,чарада
166,Huhn::N,toyuq,курыца
167,Hahn::N,xoruz,певень
168,Gans::N,qaz,гусь
169,Adler::N,qartal,арол
170,Adler::N,qaraquş,арол
171,Ente::N,ördək,качка
172,Eule::N,bayquş,сава
173,Kranich::N,durna,жораў
174,Kranich::N,durna,журавель
175,Krähe::N,qarğa,варона
176,Kuckuck::N,ququ,зязюля
177,Schwan::N,qu quşu,лебедзь
178,Fisch::N,balıq,рыба
179,Barsch::N,tar,акунь
180,Hecht::N,durnabalığı,шчупак
181,Schlange[Tier]::N,ilan,змяя
182,Wurm::N,qurd,чарвяк
183,Spinne::N,hörümçək,павук
184,Ameise::N,qarışqa,мурашка
185,Laus::N,bit,вош
186,Mücke::N,ağcaqanad,камар
187,Fliege::N,milçək,муха
188,Schmetterling::N,kəpənək,матыль
189,Beere::N,gilə,ягада
190,Apfel::N,alma,яблык
191,Pilz::N,göbələk,грыб
192,Zwiebel::N,soğan,цыбуля
193,Saat::N,əkin,семя
194,Korn::N,taxıl,зерне
195,Heu::N,quru ot,сена
196,Schale::N,qabıq,шалупінне
197,Grube::N,çuxur,яма
198,Falle::N,tələ,пастка
199,Falle::N,duzaq,пастка
200,Schlinge::N,ilmək,сіло
201,Spur::N,iz,след
202,Asche::N,kül,попел
203,Dreck::N,kir,бруд
204,Eisen::N,dəmir,жалеза
205,Gold::N,altun,золата
206,Silber::N,gümüş,сребра
207,Kohle::N,kömür,вугаль
208,Glas::N,şüşə,шкло
209,Lehm::N,gil,гліна
210,Lehm::N,palçıq,гліна
211,Sand::N,qum,пясок
212,Mensch::N,adam,чалавек
213,Mensch::N,insan,чалавек
214,Mann::N,kişi,мужчына
215,Frau::N,qadın,жанчына
216,Kind::N,uşaq,дзіця
217,Junge::N,oğlan,хлопчык
218,Mädchen::N,qız,дзяўчынка
219,Familie::N,ailə,сямʼя
220,Großvater::N,baba,дзядуля
221,Großmutter::N,nənə,бабуля
222,Eltern::N,valideyn,бацькі
223,Vater::N,ata,бацька
224,Mutter::N,ana,маці
225,Sohn::N,oğul,сын
226,Tochter::N,qız,дачка
227,Bruder::N,qardaş,брат
228,Schwester::N,bacı,сястра
229,Onkel::N,əmi,дзядзька
230,Onkel::N,dayı,дзядзька
231,Tante::N,bibi,цётка
232,Ehemann::N,ər,муж
233,Ehefrau::N,arvad,жонка
234,Freude::N,nəşə,радасць
235,Freude::N,sevinc,радасць
236,Gelächter::N,gülüş,смех
237,Gelächter::N,qəhqəhə,смех
238,Glück::N,səadət,шчасце
239,Glück::N,xoşbəxtlik,шчасце
240,Kummer::N,qəm,гора
241,Kummer::N,kədər,гора
242,Wunsch::N,arzu,жаданне
243,Lust::N,həvəs,цяга
244,Geist::N,ruh,дух
245,Gedanke::N,fikir,думка
246,Gedanke::N,düşüncə,думка
247,Gedächtnis::N,xatir,памяць
248,Gedächtnis::N,hafizə,памяць
249,Verstand::N,ağıl,розум
250,Sinn::N,məna,сэнс
251,Grund::N,səbəb,зачэпка
252,Wahrheit::N,haqq,праўда
253,Wahrheit::N,doğruluq,праўда
254,Gespräch::N,söhbət,размова
255,Gespräch::N,qonuşma,размова
256,Märchen::N,nağıl,казка
257,Erzählung::N,hekayə,расказ
258,Erzählung::N,hekayə,апавяданне
259,Nachricht::N,xəbər,вестка
260,Nachricht::N,xəbər,паведамленне
261,Neuigkeit::N,xəbər,навіна
262,Neuigkeit::N,yenilik,навіна
263,Name::N,ad,імя
264,Rätsel::N,tapmaca,загадка
265,Rede::N,nitq,прамова
266,Sprache::N,dil,мова
267,Stimme::N,səs,голас
268,Wort::N,söz,слова
269,Wort::N,kəlmə,слова
270,Zeichen::N,nişan,знак
271,Ruf::N,çığırtı,кліч
272,Lärm::N,gurultu,шум
273,Laut::N,səs,гук
274,Ton::N,ton,гучанне
275,Lied::N,mahnı,песня
276,Ruhe::N,sakitlik,спакой
277,Leute::N,xalq,людзі
278,Volk::N,millət,народ
279,Arbeit::N,iş,праца
280,Arbeit::N,iş,работа
281,Arbeit::N,əmək,праца
282,Arbeit::N,əmək,работа
283,Gast::N,qonaq,госць
284,Gast::N,müsafir,госць
285,Geschenk::N,hədiyyə,падарунак
286,Spiel::N,oyun,гульня
287,Spiel::N,tamaşa,гульня
288,Gesellschaft::N,cəmiyyet,таварыства
289,Hilfe::N,kömək,дапамога
290,Hilfe::N,yardım,дапамога
291,Freund::N,dost,друг
292,Freund::N,dost,сябар
293,Kamerad::N,yoldaş,прыяцель
294,Angelegenheit::N,iş,справа
295,Anzahl::N,say,колькасць
296,Art::N,çeşid,від
297,Stück::N,dənə,кусок
298,Stück::N,dənə,кавалак
299,Stück::N,parça,кусок
300,Stück::N,parça,кавалак
301,Teil::N,qisim,частка
302,Hälfte::N,yarım,палова
303,Hälfte::N,yarım,палавіна
304,Kreis::N,dairə,круг
305,Kreuz::N,xaç,крыж
306,Linie::N,xətt,лінія
307,Strich::N,cızıq,рыса
308,Abstand::N,məsafə,прамежак
309,Entfernung::N,məsafə,адлегласць
310,Entfernung::N,uzaqlıq,адлегласць
311,Gegend::N,bölgə,мясцовасць
312,Platz::N,yer,месца
313,Ort::N,yer,месца
314,Seite::N,yan,бок
315,Seite::N,tərəf,бок
316,Mitte::N,orta,сярэдзіна
317,Gegenstand::N,şey,прадмет
318,Sache::N,şey,рэч
319,Rand::N,kənar,край
320,Kante::N,tiyə,руб
321,Kante::N,tiyə,кант
322,Kante::N,kənar,руб
323,Kante::N,kənar,кант
324,Ecke::N,bucaq,вугал
325,Spitze::N,uc,кончык
326,Ende::N,son,канец
327,Ende::N,axır,канец
328,Loch::N,deşik,дзірка
329,Winkel::N,guşə,вугал
330,Muster::N,ülgü,узор
331,Größe::N,böyüklük,памер
332,Länge::N,uzunluq,даўжыня
333,Höhe::N,yüksəklik,вышыня
334,Gewicht::N,çəki,вага
335,Gewicht::N,ağırlıq,вага
336,Menge::N,miqdar,колькасць
337,Haufen::N,yığın,куча
338,Reihe::N,səf,рад
339,Reihe::N,sıra,рад
340,Boot::N,qayıq,лодка
341,Ruder::N,kürək,вясло
342,Schlitten::N,kirşə,сані
343,Ski::N,xizək,лыжа
344,Lagerfeuer::N,düşərgə tonqalı,вогнішча
345,Last::N,yük,цяжар
346,Gang::N,yeriş,ход
347,Schritt::N,addım,шаг
348,Schritt::N,addım,крок
349,Norden::N,şimal,поўнач
350,Süden::N,cənub,поўдзень
351,Westen::N,qərb,захад
352,Osten::N,şərq,усход
353,Holz::N,ağac,дрэва
354,Holz::N,ağac,драўніна
355,Holz::N,taxta,дрэва
356,Holz::N,taxta,драўніна
357,Brett::N,taxta,дошка
358,Platte::N,lövhə,пліта
359,Stütze::N,dayaq,падпорка
360,Stütze::N,dəstək,падпорка
361,Stange::N,şüvül,жэрдка
362,Stock::N,dəyənək,палка
363,Stab::N,əsa,шост
364,Stab::N,şüvül,шост
365,Rohr::N,boru,труба
366,Rohr::N,truba,труба
367,Haus::N,ev,дом
368,Heim::N,ev,дом
369,Heim::N,ev,хата
370,Ofen::N,peç,печ
371,Ofen::N,soba,печ
372,Fußboden::N,döşəmə,падлога
373,Tisch::N,masa,стол
374,Stuhl::N,stul,стул
375,Stuhl::N,stul,крэсла
376,Wiege::N,beşik,калыска
377,Bett::N,yataq,ложак
378,Bett::N,yataq,пасцель
379,Regal::N,rəf,паліца
380,Kiste::N,yeşik,скрынка
381,Kiste::N,sandıq,скрынка
382,Fenster::N,pəncərə,акно
383,Tür::N,qapı,дзверы
384,Tor::N,darvaza,вароты
385,Zaun::N,çəpər,агароджа
386,Dach::N,dam,дах
387,Leiter::N,nərdivan,лесвіца
388,Besen::N,süpürgə,мятла
389,Spaten::N,kürək,лапата
390,Spaten::N,kürək,жалязняк
391,Schaufel::N,kürək,шуфлік
392,Schaufel::N,kürək,лапатка
393,Gabel::N,çəngəl,відэлец
394,Löffel::N,qaşıq,лыжка
395,Messer::N,bıçaq,нож
396,Nagel::N,mıx,цвік
397,Netz::N,tor,сетка
398,Haken::N,çəngəl,крук
399,Griff::N,qulp,ручка
400,Griff::N,tutacaq,ручка
401,Schloss::N,qıfıl,замок
402,Bild::N,rəsm,карціна
403,Figur::N,şəkil,фігура
404,Figur::N,heykəl,фігура
405,Puppe::N,kukla,лялька
406,Puppe::N,gəlincik,лялька
407,Beutel::N,kisə,мяшок
408,Beutel::N,torba,мяшок
409,Bündel::N,bağlama,вязка
410,Tasche::N,çanta,торба
411,Eimer::N,vedrə,вядро
412,Eimer::N,çəllək,вядро
413,Deckel::N,qapaq,накрыўка
414,Geschirr::N,qab-qazan,пасуда
415,Sack::N,çuval,мех
416,Tasse::N,fincan,кубак
417,Topf::N,qazan,каструля
418,Kessel::N,qazan,кацёл
419,Essen::N,yemək,ежа
420,Nahrung::N,qida,харч
421,Speise::N,xörək,страва
422,Fleisch::N,ət,мяса
423,Getreide::N,taxıl,збожжа
424,Brei::N,aş,каша
425,Brei::N,sıyıq,каша
426,Brot::N,çörək,хлеб
427,Scheibe::N,dilim,луста
428,Scheibe::N,dilim,скібка
429,Fett::N,yağ,тлушч
430,Butter::N,kərə yağı,масла
431,Öl::N,yağ,алей
432,Salz::N,duz,соль
433,Suppe::N,şorba,суп
434,Honig::N,bal,мёд
435,Milch::N,süd,малако
436,Tee::N,çay,чай
437,Tee::N,çay,гарбата
438,Leder::N,dəri,скура
439,Wolle::N,yun,воўна
440,Stoff::N,qumaş,тканіна
441,Nadel::N,iynə,іголка
442,Faden::N,sap,нітка
443,Knopf::N,düymə,гузік
444,Knoten::N,düyün,вузел
445,Farbe::N,boya,фарба
446,Kleidung::N,geyim,адзенне
447,Hemd::N,köynək,кашуля
448,Kragen::N,yaxa,каўнер
449,Ärmel::N,qol,рукаў
450,Hose::N,şalvar,штаны
451,Gürtel::N,kəmər,пояс
452,Mütze::N,şapka,шапка
453,Schuh::N,tufli,чаравік
454,Schuh::N,ayaqqabı,чаравік
455,Stiefel::N,çəkmə,бот
456,Ring::N,üzük,кольца
457,Band::N,lent,стужка
458,Kamm::N,daraq,расчоска
459,Spiegel::N,güzgü,люстра
460,Riemen::N,qayış,рэмень
461,Schnur::N,ip,вяроўка
462,Leine::N,kəmsik,павадок
463,Decke::N,ədyal,коўдра
464,Decke::N,yorğan,коўдра
465,Kissen::N,yastıq,падушка
466,Tuch::N,şarf,хустка
467,Tuch::N,kaşne,хустка
468,Handtuch::N,dəsmal,ручнік
469,Kraft::N,güc,сіла
470,Stärke::N,qüvvət,моц
471,Gesundheit::N,sağlamlıq,здароўе
472,Krankheit::N,xəstəlik,хвароба
473,Schmerz::N,ağrı,боль
474,Schmerz::N,sancı,боль
475,Wunde::N,yara,рана
476,Fieber::N,isitmə,гарачка
477,Fieber::N,isitmə,ліхаманка
478,Fieber::N,qızdırma,гарачка
479,Fieber::N,qızdırma,ліхаманка
480,Arznei::N,ilaç,лекі
481,Arznei::N,dərman,лекі
482,Brücke::N,körpü,мост
483,Brunnen::N,quyu,калодзеж
484,Weide::N,otlaq,паша
485,Pfad::N,cığır,сцежка
486,Weg::N,yol,шлях
487,Weg::N,yol,дарога
488,Straße::N,küçə,вуліца
489,Dorf::N,kənd,вёска
490,Stadt::N,şəhər,горад
491,Brief::N,məktub,ліст
492,Brief::N,məktub,пісьмо
493,Buch::N,kitab,кніга
494,Buchstabe::N,hərf,літара
495,Zeitung::N,qəzet,газета
496,Leben::N,həyat,жыццё
497,Tod::N,ölüm,смерць
498,Grab::N,qəbir,магіла
499,Kirche::N,kilsə,касцёл
500,Kirche::N,kilsə,царква
501,Sünde::N,günah,грэх
502,Gott::N,tanrı,бог
503,Arbeiter::N,işçi,рабочы
504,Chef::N,şef,начальнік
505,Chef::N,rəis,начальнік
506,Meister::N,usta,майстар
507,Arzt::N,həkim,урач
508,Arzt::N,doktor,урач
509,Lehrer::N,müəllim,настаўнік
510,Geld::N,pul,грошы
511,Geschäft::N,ticarət,заняцце
512,Laden::N,dükan,крама
513,Laden::N,dükan,магазін
514,Preis::N,qiymət,цана
515,Ware::N,mal,тавар
516,Nutzen::N,fayda,выгада
517,Reichtum::N,zənginlik,багацце
518,Welt::N,aləm,свет
519,Welt::N,dünya,свет
520,Land::N,ölkə,краіна
521,Staat::N,dövlət,дзяржава
522,König::N,kral,кароль
523,König::N,məlik,кароль
524,Macht::N,qüdrət,улада
525,Grenze::N,hüdud,граніца
526,Grenze::N,sərhət,граніца
527,Krieg::N,hərb,вайна
528,Krieg::N,müharibə,вайна
529,Feind::N,düşmən,вораг
530,Gewalt::N,cəbr,насілле
531,Kampf::N,savaş,барацьба
532,Bogen[Waffe]::N,yay,лук
533,Pfeil::N,ox,страла
534,Gewehr::N,tüfəng,ружжо
535,Fehler::N,xəta,памылка
536,Lüge::N,yalan,хлусня
537,Schaden::N,ziyan,шкода
538,Unglück::N,bəla,ліха
539,Unglück::N,bəla,бядота
540,Schuld::N,təqsir,віна
541,Alter::N,yaş,узрост
542,Schluss::N,son,канец
543,Zeit::N,vaxt,час
544,Zeit::N,zaman,час
545,Tag::N,gün,дзень
546,Morgen::N,sabah,ранак
547,Morgen::N,sabah,раніца
548,Mittag::N,günorta,паўдня
549,Mittag::N,günorta,поўдзень
550,Abend::N,axşam,вечар
551,Nacht::N,gecə,ноч
552,Woche::N,həftə,тыдзень
553,Monat::N,ay,месяц
554,Jahr::N,il,год
555,Frühling::N,yaz,вясна
556,Frühling::N,bahar,вясна
557,Sommer::N,yay,лета
558,Herbst::N,payız,восень
559,Winter::N,qış,зіма
560,Januar::N,Janvar,студзень
561,Februar::N,Fevral,люты
562,März::N,Mart,сакавік
563,April::N,Aprel,красавік
564,Mai::N,May,май
565,Mai::N,May,травень
566,Juni::N,İyun,чэрвень
567,Juli::N,İyul,ліпень
568,August::N,Avqust,жнівень
569,September::N,Sentyabr,верасень
570,Oktober::N,Oktyabr,кастрычнік
571,November::N,Noyabr,лістапад
572,Dezember::N,Dekabr,снежань
573,Montag::N,bazar ertəsi,панядзелак
574,Dienstag::N,çərşənbə axşamı,аўторак
575,Mittwoch::N,çərşənbə,серада
576,Donnerstag::N,cüme axşamı,чацвер
577,Freitag::N,cüme,пятніца
578,Samstag::N,şənbə,субота
579,Sonntag::N,bazar,нядзеля
580,groß::A,böyük,вялікі
581,klein::A,kiçik,маленькі
582,lang::A,uzun,доўгі
583,kurz::A,qısa,кароткі
584,breit::A,enli,шырокі
585,breit::A,geniş,шырокі
586,schmal::A,dar,вузкі
587,dicht::A,sıx,густы
588,dick[Gegenstand]::A,qalın,тоўсты
589,dünn::A,nazik,тонкі
590,fein::A,incə,тонкі
591,fest::A,bərk,моцны
592,fest::A,möhkəm,моцны
593,flach::A,düz,плоскі
594,glatt::A,hamar,гладкі
595,hart::A,sərt,цвёрды
596,weich::A,yumşaq,мяккі
597,rund::A,yuvarlaq,круглы
598,spitz::A,uclu,спічасты
599,spitz::A,uclu,востраканцовы
600,spitz::A,sivri,спічасты
601,spitz::A,sivri,востраканцовы
602,scharf::A,kəskin,востры
603,stumpf::A,küt,тупы
604,schwer::A,ağır,цяжкі
605,schön::A,gözəl,прыгожы
606,schön::A,gəşəng,прыгожы
607,heiß::A,isti,гарачы
608,warm::A,ilıq,цёплы
609,kalt::A,soyuq,холадны
610,kühl::A,sərin,халаднаваты
611,frisch::A,təzə,свежы
612,feucht::A,nəm,вільготны
613,nass::A,yaş,мокры
614,trocken::A,quru,сухі
615,voll::A,dolu,поўны
616,leer::A,boş,пусты
617,offen::A,açıq,адкрыты
618,offen::A,açıq,адчынены
619,geschlossen::A,qapalı,закрыты
620,geschlossen::A,qapalı,зачынены
621,sauber::A,təmiz,чысты
622,schmutzig::A,kirli,брудны
623,roh::A,çiy,сыры
624,reif::A,yetişmiş,спелы
625,lecker::A,dadlı,смачны
626,lecker::A,ləzzətli,смачны
627,süß::A,şirin,салодкі
628,bitter::A,acı,горкі
629,sauer::A,turş,кіслы
630,hell::A,aydın,светлы
631,dunkel::A,qaranlıq,цёмны
632,schwarz::A,qara,чорны
633,weiß::A,ağ,белы
634,rot::A,qırmızı,чырвоны
635,gelb::A,sarı,жоўты
636,blau::A,göy,сіні
637,blau::A,mavi,сіні
638,grün::A,yaşıl,зялёны
639,grau::A,boz,шэры
640,bunt::A,əlvan,пяресты
641,bunt::A,rəngli,пяресты
642,billig::A,ucuz,танны
643,teuer::A,bahalı,дарагі
644,wertvoll::A,qiymətli,цэнны
645,wertvoll::A,qiymətli,каштоўны
646,blind::A,kor,сляпы
647,taub::A,kar,глухі
648,kräftig::A,güclü,магутны
649,stark::A,qüvvətli,сільны
650,schwach::A,zəif,слабы
651,schwach::A,gücsüz,слабы
652,fett::A,şişman,тлусты
653,schlank::A,zərif,стройны
654,hübsch::A,göyçək,чароўны
655,böse::A,fəna,злы
656,dumm::A,axmaq,дурны
657,faul::A,tənbəl,лянівы
658,fleißig::A,çalışqan,руплівы
659,geizig::A,xəsis,прагны
660,klug::A,ağıllı,разумны
661,geschickt::A,bacarıqlı,умелы
662,lieb::A,əziz,мілы
663,lieb::A,sevimli,мілы
664,lustig::A,məzəli,вясёлы
665,lustig::A,gülməli,вясёлы
666,sanft::A,mülayim,ласкавы
667,hungrig::A,ac,галодны
668,krank::A,xəstə,хворы
669,nackt::A,çılpaq,голы
670,traurig::A,qəmgin,сумны
671,traurig::A,kədərli,сумны
672,lebendig::A,canlı,жывы
673,gut::A,yaxşı,добры
674,schlecht::A,pis,кепскі
675,richtig::A,doğru,правільны
676,schlimm::A,fəna,агідны
677,wahr::A,gərçək,сапраўдны
678,alt::A,əski,стары
679,alt::A,köhnə,стары
680,neu::A,yeni,новы
681,ehemalig::A,əvvəlki,былы
682,alt[Lebewesen]::A,qoca,стары
683,jung::A,gənc,малады
684,arm::A,kasıb,бедны
685,arm::A,yoxsul,бедны
686,reich::A,zəngin,багаты
687,bekannt::A,tanış,знаёмы
688,berühmt::A,məşhur,славуты
689,fremd::A,yad,чужы
690,verschieden::A,dürlü,розны
691,nah::A,yaxın,блізкі
692,fern::A,uzaq,далёкі
693,linker::A,sol,левы
694,rechter::A,sağ,правы
695,anderer::A,başqa,іншы
696,anderer::A,başqa,другі
697,erster::A,birinci,першы
698,zweiter::A,ikinci,другі
699,dritter::A,üçüncü,трэці
700,letzter::A,sonuncu,апошні
701,letzter::A,axırıncı,апошні
702,allein::ADV,tək,сам
703,allein::ADV,tək,адзін
704,allein::ADV,yalqız,сам
705,allein::ADV,yalqız,адзін
706,auf einmal::ADV,birdən,адразу
707,zusammen::ADV,birlikdə,разам
708,lange::ADV,uzun,доўга
709,plötzlich::ADV,qəfildən,раптам
710,sofort::ADV,həmən,зараз
711,sofort::ADV,dərhal,зараз
712,später::ADV,sonra,пазней
713,jetzt::ADV,indi,цяпер
714,heute::ADV,bugün,сёння
715,morgen::ADV,sabah,заўтра
716,bald::ADV,yaxında,хутка
717,bald::ADV,yaxında,неўзабаве
718,bald::ADV,tezliklə,хутка
719,bald::ADV,tezliklə,неўзабаве
720,dann::ADV,onda,потым
721,gestern::ADV,dünən,учора
722,einst::ADV,əvvəllər,аднойчы
723,damals::ADV,o vaxt,тады
724,danach::ADV,sonra,затым
725,vorher::ADV,qabaqcadan,раней
726,zuerst::ADV,əvvəl,спярша
727,zuerst::ADV,əvvəl,спачатку
728,einmal::ADV,bir dəfə,адзін раз
729,manchmal::ADV,hərdənbir,часам
730,oft::ADV,tez-tez,часта
731,oft::ADV,çox vaxt,часта
732,immer::ADV,daimi,заўсёды
733,immer::ADV,həmişə,заўсёды
734,niemals::ADV,əsla,ніколі
735,niemals::ADV,heç bir zaman,ніколі
736,hier::ADV,bura,тут
737,hier::ADV,burada,тут
738,hierhin::ADV,buraya,сюды
739,von hier::ADV,buradan,адсюль
740,von hier::ADV,buradan,адгэтуль
741,dort::ADV,ora,там
742,dort::ADV,orada,там
743,dorthin::ADV,oraya,туды
744,geradeaus::ADV,düz,прама
745,vorwärts::ADV,irəli,наперад
746,rückwärts::ADV,geri,назад
747,zurück::ADV,geriyə,назад
748,unten::ADV,aşağıda,унізе
749,hinab::ADV,aşağı,уніз
750,oben::ADV,yuxarıda,угары
751,oben::ADV,yuxarıda,наверсе
752,hinauf::ADV,yuxarı,угару
753,überall::ADV,hər yerdə,усюды
754,nicht::ADV,-ma-,не
755,ein wenig::ADV,bir az,трошкі
756,kaum::ADV,güclə,ледзьве
757,sehr::ADV,çox,вельмі
758,so::ADV,belə,так
759,noch::ADV,hələ,яшчэ
760,nur::ADV,yalnız,толькі
761,schon::ADV,artıq,ужо
762,wieder::ADV,yenə,зноў
763,vergebens::ADV,boş yerə,дарма
764,vergebens::ADV,boş yerə,дарэмна
765,vor::PRP,önündə,перад
766,hinter::PRP,arxasında,за
767,hinter::PRP,arxasında,ззаду
768,unter::PRP,altında,пад
769,durch::PRP,içindən,праз
770,neben::PRP,yanında,каля
771,zwischen::PRP,arasında,між
772,zwischen::PRP,arasında,паміж
773,wegen::PRP,üçün,з-за
774,wegen::PRP,ötəri,з-за
775,dies::PRN,bu,гэта
776,das::PRN,o,тое
777,alles::PRN,hər şey,усё
778,ich::PRN,mən,я
779,du::PRN,sən,ты
780,er::PRN,o,ён
781,wir::PRN,biz,мы
782,ihr::PRN,siz,вы
783,sie::PRN,onlar,яны
784,was::FPRN,nə,што
785,wer::FPRN,kim,хто
786,wo::FADV,harada,дзе
787,wohin::FADV,haraya,куды
788,wie::FADV,necə,як
789,warum::FADV,niyə,чаму
790,warum::FADV,nə üçün,чаму
791,wieviel::FNUM,neçə,колькі
792,wieviel::FNUM,nə qədər,колькі
793,eins::NUM,bir,адзін
794,zwei::NUM,iki,два
795,drei::NUM,üç,тры
796,vier::NUM,dörd,чатыры
797,fünf::NUM,beş,пяць
798,sechs::NUM,altı,шесць
799,sieben::NUM,yeddi,сем
800,acht::NUM,səkkiz,восем
801,neun::NUM,doqquz,дзевяць
802,zehn::NUM,on,дзесяць
803,elf::NUM,on bir,адзінаццаць
804,zwölf::NUM,on iki,дванаццаць
805,zwanzig::NUM,iyirmi,дваццаць
806,dreißig::NUM,otuz,трыццаць
