,Concept_ID,fa,no
110,Schmutz::N,کثافت,søl
111,Schmutz::N,کثافت,skitt
112,See::N,دریاچه,sjø
113,Sumpf::N,مرداب,sump
114,Sumpf::N,مرداب,myrlende
115,Sumpf::N,باتلاق,sump
116,Sumpf::N,باتلاق,myrlende
117,Moor::N,باتلاق,myr
118,Moor::N,باتلاق,myrhei
119,Wiese::N,چمن,eng
120,Wald::N,جنگل,skog
121,Hügel::N,تل,haug
122,Hügel::N,تل,bakke
123,Hügel::N,تپه,haug
124,Hügel::N,تپه,bakke
125,Anhöhe::N,بلندی,haug
126,Anhöhe::N,بلندی,bakke
127,Berg::N,کوه,berg
128,Berg::N,کوه,fjell
129,Gipfel::N,قله,topp
130,Höhle::N,غار,hule
131,Abhang::N,سرازیری,li
132,Abhang::N,سرازیری,skråning
133,Quelle::N,چشمه,kilde
134,Bach::N,نهر,bekk
135,Fluss::N,رود,elv
136,Ufer::N,ساحل,bredd
137,Ufer::N,کرانه,bredd
138,Küste::N,ساحل,kyst
139,Festland::N,خشکی,fastland
140,Meer::N,دریا,hav
141,Bucht::N,خلیج,bukt
142,Insel::N,جزیره,øy
143,Blume::N,گل,blomst
144,Gras::N,علف,gress
145,Wurzel::N,ریشه,rot
146,Baum::N,درخت,tre
147,Stamm::N,تنه,stamme
148,Rinde::N,توژ,bark
149,Rinde::N,پوست,bark
150,Ast::N,شاخه,gren
151,Zweig::N,شاخه,kvist
152,Blatt::N,برگ,blad
153,Birke::N,غان,bjørk
154,Kiefer[Baum]::N,کاج,furu
155,Weide[Baum]::N,بید,selje
156,Weide[Baum]::N,بید,piletre
157,Tanne::N,صنوبر,gran
158,Horn::N,شاخ,horn
159,Feder::N,پر,fjær
160,Fell::N,خز,skinn
161,Flügel::N,پر,vinge
162,Flügel::N,بال,vinge
163,Klaue::N,چنگ,klauv
164,Klaue::N,پنجه,klauv
165,Kralle::N,پنجه,klo
166,Schwanz::N,دم,hale
167,Ei::N,تخم,egg
168,Nest::N,لانه,rede
169,Bau::N,بنا,hi
170,Bau::N,ساختمان,hi
171,Tier::N,هیوان,dyr
172,Herde::N,رمه,flokk
173,Kuh::N,گاو,ku
174,Bulle::N,گاو نر,tyr
175,Pferd::N,اسب,hest
176,Schaf::N,گوسفند,får
177,Schwein::N,خوک,gris
178,Hund::N,سگ,hund
179,Katze::N,گربه,katt
180,Bär::N,خرس,bjørn
181,Eichhörnchen::N,سنجاب,ekorn
182,Elch::N,گوزن شمالی,elg
183,Fuchs::N,روباه,rev
184,Hase::N,خرگوش,hare
185,Maus::N,موش,mus
186,Wolf::N,گرگ,ulv
187,Wolf::N,گرگ,varg
188,Vogel::N,پرنده,fugl
189,Schwarm::N,دسته,sverm
190,Huhn::N,مرغ,høne
191,Hahn::N,خروس,hane
192,Gans::N,غاز,gås
193,Adler::N,عقاب,ørn
194,Ente::N,اردک,and
195,Ente::N,مرغابی,and
196,Eule::N,جغد,ugle
197,Kranich::N,درنا,trane
198,Krähe::N,زاغ,kråke
199,Krähe::N,کلاغ,kråke
200,Kuckuck::N,فاخته,gjøk
201,Schwan::N,قو,svane
202,Fisch::N,ماهی,fisk
203,Barsch::N,ماهی خاردار,abbor
204,Hecht::N,اردک ماهی,gjedde
205,Schlange[Tier]::N,مار,orm
206,Schlange[Tier]::N,مار,slange
207,Wurm::N,کرم,orm
208,Wurm::N,کرم,mark
209,Spinne::N,عنکبوت,edderkopp
210,Ameise::N,مورچه,maur
211,Laus::N,شپش,lus
212,Mücke::N,پشه,mygg
213,Fliege::N,مگس,flue
214,Schmetterling::N,پروانه,sommerfugl
215,Beere::N,گیله,bær
216,Apfel::N,سیب,eple
217,Pilz::N,قارچ,sopp
218,Zwiebel::N,پیاز,løk
219,Saat::N,بذر,sæd
220,Korn::N,تخم,korn
221,Korn::N,دانه,korn
222,Heu::N,علف خشک,høy
223,Schale::N,پوست,skall
224,Grube::N,گودال,grop
225,Falle::N,دام,felle
226,Schlinge::N,حلقه,snare
227,Spur::N,رد,spor
228,Asche::N,خاکستر,aske
229,Dreck::N,کثافت,møkk
230,Dreck::N,کثافت,skitt
231,Eisen::N,آهن,jern
232,Gold::N,زر,gull
233,Gold::N,طلا,gull
234,Silber::N,نقره,sølv
235,Kohle::N,زغال,kol
236,Kohle::N,زغال,kull
237,Glas::N,شیشه,glass
238,Lehm::N,گل,leire
239,Sand::N,شن,sand
240,Sand::N,ماسه,sand
241,Mensch::N,آدم,menneske
242,Mensch::N,انسان,menneske
243,Mann::N,مرد,mann
244,Frau::N,زن,kvinne
245,Kind::N,بچه,barn
246,Kind::N,کودک,barn
247,Junge::N,پسر,gutt
248,Mädchen::N,دختر,pike
249,Mädchen::N,دختر,jente
250,Familie::N,فامیل,familie
251,Familie::N,خانواده,familie
252,Großvater::N,پدربزرگ,bestefar
253,Großmutter::N,مادر‌بزرگ,bestemor
254,Eltern::N,والدین,foreldre
255,Eltern::N,پدر‌و‌مادر,foreldre
256,Vater::N,پدر,far
257,Mutter::N,مادر,mor
258,Sohn::N,پسر,sønn
259,Tochter::N,دختر,datter
260,Bruder::N,برادر,bror
261,Schwester::N,خواهر,søster
262,Onkel::N,عمو,onkel
263,Onkel::N,دایی,onkel
264,Tante::N,عمه,tante
265,Tante::N,خاله,tante
266,Ehemann::N,همسر,ektemann
267,Ehefrau::N,همسر,hustru
268,Freude::N,شادی,glede
269,Gelächter::N,خنده,latter
270,Gelächter::N,قاه‌قاه,latter
271,Glück::N,اقبال,lykke
272,Kummer::N,غم,sorg
273,Kummer::N,غصه,sorg
274,Wunsch::N,آرزو,ønske
275,Lust::N,هوس,lyst
276,Geist::N,روح,ånd
277,Gedanke::N,فکر,tanke
278,Gedächtnis::N,حافظه,minne
279,Gedächtnis::N,حافظه,hukommelse
280,Verstand::N,هوش,forstand
281,Sinn::N,معنا,mening
282,Sinn::N,معنا,betydning
283,Sinn::N,مفهوم,mening
284,Sinn::N,مفهوم,betydning
285,Grund::N,سبب,grunn
286,Grund::N,دلیل,grunn
287,Wahrheit::N,حقیقت,sannhet
288,Gespräch::N,صحبت,samtale
289,Gespräch::N,گفتگو,samtale
290,Märchen::N,قصه,eventyr
291,Märchen::N,افسانه,eventyr
292,Erzählung::N,داستان,fortelling
293,Nachricht::N,خبر,melding
294,Neuigkeit::N,خبر تازه,nyhet
295,Name::N,اسم,navn
296,Rätsel::N,معما,gåte
297,Rede::N,سخن,tale
298,Sprache::N,زبان,språk
299,Stimme::N,صدا,stemme
300,Wort::N,کلمه,ord
301,Zeichen::N,نشان,tegn
302,Zeichen::N,علامت,tegn
303,Ruf::N,صدا,rop
304,Lärm::N,هیاهو,bråk
305,Laut::N,صدا,lyd
306,Ton::N,آهنگ,tone
307,Lied::N,آواز,vise
308,Lied::N,ترانه,vise
309,Ruhe::N,آرامش,ro
310,Leute::N,مردم,folk
311,Volk::N,خلق,folk
312,Arbeit::N,کار,arbeid
313,Gast::N,مهمان,gjest
314,Geschenk::N,هدیه,gave
315,Spiel::N,بازی,lek
316,Spiel::N,بازی,spill
317,Gesellschaft::N,جمعیت,selskap
318,Hilfe::N,کمک,hjelp
319,Freund::N,دوست,venn
320,Kamerad::N,رفیق,kamerat
321,Angelegenheit::N,امر,sak
322,Angelegenheit::N,امر,anliggende
323,Angelegenheit::N,قضیه,sak
324,Angelegenheit::N,قضیه,anliggende
325,Anzahl::N,عده,antall
326,Anzahl::N,شمار,antall
327,Art::N,نوع,art
328,Art::N,نوع,slag
329,Stück::N,تکه,stykke
330,Stück::N,قطعه,stykke
331,Teil::N,بخش,del
332,Teil::N,قسمت,del
333,Hälfte::N,نیم,halvdel
334,Kreis::N,حلقه,ring
335,Kreis::N,حلقه,sirkel
336,Kreis::N,دایره,ring
337,Kreis::N,دایره,sirkel
338,Kreuz::N,صلیب,kors
339,Kreuz::N,صلیب,kryss
340,Linie::N,خط,linje
341,Linie::N,سطر,linje
342,Strich::N,خط,strek
343,Abstand::N,فاصله,avstand
344,Entfernung::N,مسافت,avstand
345,Gegend::N,منطقه,strøk
346,Platz::N,گنجایش,plass
347,Ort::N,جا,sted
348,Ort::N,محل,sted
349,Ort::N,مکان,sted
350,Seite::N,طرف,side
351,Mitte::N,وسط,midte
352,Mitte::N,میان,midte
353,Gegenstand::N,چیز,gjenstand
354,Sache::N,چیز,sak
355,Rand::N,کنار,rand
356,Rand::N,حاشیه,rand
357,Kante::N,لبه,kant
358,Ecke::N,گوشه,hjørne
359,Spitze::N,سر,spiss
360,Spitze::N,نوک,spiss
361,Ende::N,ته,ende
362,Ende::N,آخر,ende
363,Loch::N,سوراخ,hull
364,Winkel::N,کنج,vinkel
365,Muster::N,نقش,mønster
366,Größe::N,قد,størrelse
367,Größe::N,بزرگی,størrelse
368,Länge::N,طول,lengde
369,Höhe::N,بلندی,høyde
370,Gewicht::N,وزن,vekt
371,Menge::N,مقدار,mengde
372,Menge::N,اندازه,mengde
373,Haufen::N,توده,haug
374,Haufen::N,توده,bunke
375,Reihe::N,ردیف,rekke
376,Boot::N,قایق,båt
377,Ruder::N,پارو,åre
378,Schlitten::N,سورتمه,slede
379,Schlitten::N,سورتمه,kjelke
380,Ski::N,اسکی,ski
381,Lagerfeuer::N,آتش,leirbål
382,Last::N,بار,bør
383,Last::N,بار,last
384,Last::N,سنگینی,bør
385,Last::N,سنگینی,last
386,Gang::N,راه رفتن,gang
387,Schritt::N,قدم,steg
388,Schritt::N,قدم,skritt
389,Norden::N,شمال,nord
390,Süden::N,جنوب,sør
391,Westen::N,غرب,vest
392,Osten::N,شرق,øst
393,Holz::N,چوب,tre
394,Brett::N,تخته,fjøl
395,Brett::N,تخته,brett
396,Platte::N,صفحه,plate
397,Stütze::N,تکیه,støtte
398,Stange::N,میله,stang
399,Stock::N,چوب,pinne
400,Stab::N,عصا,stav
401,Stab::N,عصا,kjepp
402,Rohr::N,لوله,rør
403,Haus::N,منزل,hus
404,Heim::N,خانه,hjem
405,Heim::N,کاشانه,hjem
406,Ofen::N,بخاری,ovn
407,Fußboden::N,کف اتاق,gulv
408,Tisch::N,میز,bord
409,Stuhl::N,صندلی,stol
410,Wiege::N,گهواره,vogge
411,Bett::N,تختخواب,seng
412,Regal::N,قفسه,reol
413,Regal::N,قفسه,hylle
414,Kiste::N,صندوق,kasse
415,Fenster::N,پنجره,vindu
416,Tür::N,در,dør
417,Tür::N,درب,dør
418,Tor::N,دروازه,port
419,Zaun::N,حصار,gjerde
420,Dach::N,بام,tak
421,Leiter::N,نردبان,stige
422,Besen::N,جارو,kost
423,Spaten::N,بیل,spade
424,Schaufel::N,بیل,skuffe
425,Schaufel::N,پارو,skuffe
426,Gabel::N,چنگال,gaffel
427,Löffel::N,قاشق,skje
428,Messer::N,کارد,kniv
429,Nagel::N,میخ,spiker
430,Netz::N,تور,nett
431,Netz::N,شبکه,nett
432,Haken::N,قلاب,krok
433,Griff::N,دسته,tak
434,Griff::N,دسته,håndtak
435,Schloss::N,قفل,lås
436,Bild::N,عکس,bilde
437,Bild::N,تصویر,bilde
438,Figur::N,تندیس,figur
439,Puppe::N,عروسک,dukke
440,Beutel::N,کیسه,pose
441,Bündel::N,بسته,bylt
442,Tasche::N,کیف,veske
443,Eimer::N,سطل,bøtte
444,Deckel::N,در,lokk
445,Geschirr::N,ظرف,kjøkkentøy
446,Sack::N,گونی,sekk
447,Tasse::N,فنجان,kopp
448,Topf::N,دیگ,gryte
449,Topf::N,قابلمه,gryte
450,Kessel::N,دیگ,kjele
451,Essen::N,خوراک,mål
452,Nahrung::N,غذا,mat
453,Nahrung::N,غذا,næring
454,Speise::N,خوراک,matrett
455,Fleisch::N,گوشت,kjøtt
456,Getreide::N,غله,korn
457,Brei::N,فرنی,grøt
458,Brei::N,حریره,grøt
459,Brot::N,نان,brød
460,Scheibe::N,قاچ,skive
461,Scheibe::N,لزگه,skive
462,Fett::N,چربی,fett
463,Butter::N,کره,smør
464,Öl::N,روغن,olje
465,Salz::N,نمک,salt
466,Suppe::N,آش,suppe
467,Suppe::N,سوپ,suppe
468,Honig::N,عسل,honning
469,Milch::N,شیر,melk
470,Tee::N,چای,te
471,Leder::N,چرم,lær
472,Leder::N,چرم,skinn
473,Wolle::N,پشم,ull
474,Stoff::N,پارچه,tøy
475,Stoff::N,پارچه,stoff
476,Nadel::N,سوزن,nål
477,Faden::N,نخ,tråd
478,Knopf::N,دکمه,knapp
479,Knoten::N,گره,knute
480,Farbe::N,رنگ,farge
481,Kleidung::N,لباس,påkledning
482,Kleidung::N,پوشاک,påkledning
483,Hemd::N,پیراهن,skjorte
484,Kragen::N,یقه,krage
485,Ärmel::N,آستین,erme
486,Hose::N,شلوار,bukse
487,Gürtel::N,کمر‌بند,belte
488,Mütze::N,کلاه,lue
489,Schuh::N,کفش,sko
490,Stiefel::N,چکمه,støvel
491,Ring::N,حلقه,ring
492,Ring::N,انگشتر,ring
493,Band::N,نوار,band
494,Band::N,روبان,band
495,Kamm::N,شانه,kam
496,Spiegel::N,آینه,speil
497,Riemen::N,تسمه,rem
498,Schnur::N,ریسمان,snor
499,Leine::N,قلاده,line
500,Decke::N,پتو,teppe
501,Kissen::N,بالش,pute
502,Tuch::N,شال,tøy
503,Handtuch::N,حوله,håndkle
504,Kraft::N,نیرو,kraft
505,Stärke::N,زور,styrke
506,Gesundheit::N,سلامتی,helse
507,Gesundheit::N,سلامتی,sunnhet
508,Gesundheit::N,تندرستی,helse
509,Gesundheit::N,تندرستی,sunnhet
510,Krankheit::N,بیماری,syke
511,Krankheit::N,بیماری,sykdom
512,Schmerz::N,درد,smerte
513,Wunde::N,زخم,sår
514,Fieber::N,تب,feber
515,Arznei::N,دارو,medisin
516,Arznei::N,دارو,legemiddel
517,Brücke::N,پل,bro
518,Brunnen::N,چاه,brønn
519,Weide::N,چراگاه,beite
520,Pfad::N,راه,sti
521,Weg::N,راه,vei
522,Weg::N,طریق,vei
523,Straße::N,راه,gate
524,Straße::N,جاده,gate
525,Dorf::N,ده,landsby
526,Dorf::N,روستا,landsby
527,Stadt::N,شهر,by
528,Brief::N,نامه,brev
529,Buch::N,کتاب,bok
530,Buchstabe::N,حرف,bokstav
531,Zeitung::N,روزنامه,avis
532,Leben::N,عمر,liv
533,Leben::N,زندگی,liv
534,Tod::N,مرگ,død
535,Grab::N,گور,grav
536,Grab::N,مزار,grav
537,Kirche::N,کلیسا,kirke
538,Sünde::N,بزه,synd
539,Sünde::N,گناه,synd
540,Gott::N,خدا,gud
541,Arbeiter::N,کارگر,arbeider
542,Chef::N,رئیس,sjef
543,Meister::N,استاد,mester
544,Arzt::N,پزشک,lege
545,Lehrer::N,معلم,lærer
546,Lehrer::N,آموزگار,lærer
547,Geld::N,پول,penger
548,Geschäft::N,کار,forretning
549,Geschäft::N,بیزنس,forretning
550,Laden::N,دکان,butikk
551,Laden::N,مغازه,butikk
552,Preis::N,بها,pris
553,Preis::N,قیمت,pris
554,Ware::N,جنس,vare
555,Ware::N,کالا,vare
556,Nutzen::N,مزیت,nytte
557,Nutzen::N,امتیاز,nytte
558,Reichtum::N,مال,rikdom
559,Reichtum::N,ثروت,rikdom
560,Welt::N,دنیا,verden
561,Land::N,کشور,land
562,Land::N,مملکت,land
563,Staat::N,دولت,stat
564,König::N,شاه,konge
565,König::N,پادشاه,konge
566,Macht::N,قدرت,makt
567,Macht::N,اختیار,makt
568,Grenze::N,مرز,grense
569,Krieg::N,جنگ,krig
570,Feind::N,دشمن,fiende
571,Gewalt::N,زور,vold
572,Gewalt::N,خشونت,vold
573,Kampf::N,نبرد,kamp
574,Kampf::N,مبارزه,kamp
575,Bogen[Waffe]::N,کمان,bue
576,Pfeil::N,تیر,pil
577,Gewehr::N,تفنگ,gevær
578,Fehler::N,غلط,feil
579,Fehler::N,اشتباه,feil
580,Lüge::N,دروغ,løgn
581,Schaden::N,آسیب,skade
582,Schaden::N,خسارت,skade
583,Unglück::N,بلا,uhell
584,Schuld::N,گناه,skyld
585,Schuld::N,تقصیر,skyld
586,Alter::N,سن,alder
587,Alter::N,عمر,alder
588,Schluss::N,انتها,slutt
589,Zeit::N,وقت,tid
590,Zeit::N,زمان,tid
591,Tag::N,روز,dag
592,Morgen::N,صبح,morgen
593,Mittag::N,ظهر,middag
594,Abend::N,شب,aften
595,Abend::N,عصر,aften
596,Nacht::N,شب,natt
597,Woche::N,هفته,uke
598,Monat::N,ماه,måned
599,Jahr::N,سال,år
600,Frühling::N,بهار,vår
601,Sommer::N,تابستان,sommer
602,Herbst::N,پاییز,høst
603,Winter::N,زمستان,vinter
604,Januar::N,ژانویه,januar
605,Februar::N,فوریه,februar
606,März::N,مارس,mars
607,April::N,آوریل,april
608,Mai::N,مه,mai
609,Juni::N,ژوئن,juni
610,Juli::N,ژویه,juli
611,August::N,اوت,august
612,September::N,سپتامبر,september
613,Oktober::N,اکتبر,oktober
614,November::N,نوامبر,november
615,Dezember::N,دسامبر,desember
616,Montag::N,دو‌شنبه,mandag
617,Dienstag::N,سه‌شنبه,tirsdag
618,Mittwoch::N,چهار‌شنبه,onsdag
619,Donnerstag::N,پنج شنبه,torsdag
620,Freitag::N,جمعه,fredag
621,Samstag::N,شنبه,lørdag
622,Sonntag::N,یکشنبه,søndag
623,groß::A,بزرگ,stor
624,klein::A,کوچک,liten
625,lang::A,بلند,lang
626,kurz::A,کوتاه,kort
627,breit::A,پهن,bred
628,schmal::A,تنگ,smal
629,schmal::A,نازک,smal
630,dicht::A,چگال,tett
631,dicht::A,انبوه,tett
632,dick[Gegenstand]::A,ضخیم,tykk
633,dünn::A,نازک,tynn
634,fein::A,ریز,fin
635,fein::A,باریک,fin
636,fest::A,محکم,fast
637,flach::A,صاف,flat
638,flach::A,مسطح,flat
639,glatt::A,لیز,glatt
640,hart::A,سفت,hard
641,weich::A,نرم,myk
642,weich::A,نرم,bløt
643,weich::A,ملایم,myk
644,weich::A,ملایم,bløt
645,rund::A,گرد,rund
646,spitz::A,تیز,spiss
647,spitz::A,نوک‌تیز,spiss
648,scharf::A,تیز,kvass
649,scharf::A,برنده,kvass
650,stumpf::A,کند,stubb
651,schwer::A,سنگین,tung
652,schön::A,زیبا,pen
653,schön::A,زیبا,vakker
654,heiß::A,داغ,het
655,warm::A,گرم,varm
656,kalt::A,سرد,kald
657,kühl::A,خنک,kjølig
658,frisch::A,تازه,fersk
659,feucht::A,مرطوب,fuktig
660,nass::A,تر,våt
661,nass::A,خیش,våt
662,trocken::A,خشک,tørr
663,voll::A,پر,full
664,leer::A,خالی,tom
665,offen::A,باز,åpen
666,geschlossen::A,بسته,lukket
667,sauber::A,پاک,ren
668,sauber::A,تمیز,ren
669,schmutzig::A,کثیف,skitten
670,schmutzig::A,آلوده,skitten
671,roh::A,خام,rå
672,reif::A,رسیده,moden
673,lecker::A,لذیذ,lekker
674,lecker::A,خوشمزه,lekker
675,süß::A,شیرین,søt
676,bitter::A,تلخ,besk
677,bitter::A,تلخ,bitter
678,sauer::A,ترش,sur
679,hell::A,روشن,lys
680,dunkel::A,تاریک,mørk
681,schwarz::A,سیاه,svart
682,weiß::A,سفید,hvit
683,rot::A,سرخ,rød
684,rot::A,قرمز,rød
685,gelb::A,زرد,gul
686,blau::A,آبی,blå
687,grün::A,سبز,grønn
688,grau::A,طوسی,grå
689,grau::A,خاکستری,grå
690,bunt::A,رنگارنگ,broket
691,billig::A,ارزان,billig
692,teuer::A,گران,dyr
693,wertvoll::A,قیمتی,verdifull
694,wertvoll::A,گرانبها,verdifull
695,blind::A,کور,blind
696,blind::A,نابینا,blind
697,taub::A,کر,døv
698,taub::A,ناشنوا,døv
699,kräftig::A,قوی,kraftig
700,stark::A,قوی,sterk
701,stark::A,نیرومند,sterk
702,schwach::A,ضعیف,svak
703,fett::A,چرب,fet
704,schlank::A,باریک‌اندام,slank
705,hübsch::A,قشنگ,pen
706,hübsch::A,خوشگل,pen
707,böse::A,بد,slem
708,dumm::A,احمق,dum
709,faul::A,لش,lat
710,faul::A,لش,doven
711,faul::A,تنبل,lat
712,faul::A,تنبل,doven
713,fleißig::A,زرنگ,flittig
714,geizig::A,خسیس,gjerrig
715,klug::A,عاقل,klok
716,klug::A,باهوش,klok
717,geschickt::A,ماهر,hendig
718,geschickt::A,ماهر,skikket
719,lieb::A,عزیز,kjær
720,lieb::A,عزیز,snill
721,lustig::A,شاد,morsom
722,lustig::A,خوشحال,morsom
723,sanft::A,لطیف,blid
724,hungrig::A,گرسنه,sulten
725,krank::A,مریض,syk
726,krank::A,بیمار,syk
727,nackt::A,لخت,naken
728,nackt::A,برهنه,naken
729,traurig::A,غمگین,sørgmodig
730,lebendig::A,زنده,levende
731,gut::A,خوب,god
732,schlecht::A,بد,dårlig
733,richtig::A,درست,riktig
734,schlimm::A,وخيم,slem
735,wahr::A,درست,sann
736,wahr::A,حقیقی,sann
737,alt::A,کهنه,gammel
738,neu::A,نو,ny
739,ehemalig::A,قبلی,forhenværende
740,alt[Lebewesen]::A,پیر,gammel
741,jung::A,جوان,ung
742,arm::A,فقیر,fattig
743,reich::A,پولدار,rik
744,reich::A,ثروتمند,rik
745,bekannt::A,آشنا,kjent
746,bekannt::A,معلوم,kjent
747,berühmt::A,مشهور,berømt
748,fremd::A,خارجی,fremmed
749,fremd::A,بیگانه,fremmed
750,verschieden::A,مختلف,forskjellig
751,verschieden::A,متفاوت,forskjellig
752,nah::A,نزدیک,nær
753,fern::A,دور,fjern
754,linker::A,چپ,venstre
755,rechter::A,راست,høyre
756,anderer::A,دیگر,annen
757,erster::A,اول,første
758,zweiter::A,دوم,annen
759,dritter::A,سوم,tredje
760,letzter::A,آخر,sist
761,allein::ADV,تنها,alene
762,auf einmal::ADV,همزمان,med ett
763,zusammen::ADV,باهم,sammen
764,lange::ADV,مدت‌ها,lenge
765,lange::ADV,مدت زیادی,lenge
766,plötzlich::ADV,ناگهان,plutselig
767,sofort::ADV,فوراً,straks
768,später::ADV,بعدها,senere
769,jetzt::ADV,حالا,nå
770,jetzt::ADV,اکنون,nå
771,heute::ADV,امروز,i dag
772,morgen::ADV,فردا,i morgen
773,bald::ADV,زود,snart
774,bald::ADV,بزودی,snart
775,dann::ADV,سپس,så
776,dann::ADV,آنوقت,så
777,gestern::ADV,دیروز,i går
778,einst::ADV,وقتی,engang
779,einst::ADV,زمانی,engang
780,damals::ADV,آنوقت,den gang
781,damals::ADV,آنزمان,den gang
782,danach::ADV,بعد,deretter
783,vorher::ADV,قبلاً,før
784,vorher::ADV,قبلاً,i forveien
785,zuerst::ADV,اول,først
786,zuerst::ADV,ابتداء,først
787,einmal::ADV,یکدفعه,en gang
788,manchmal::ADV,گاهی,somme tider
789,manchmal::ADV,بعضی اوقات,somme tider
790,oft::ADV,اغلب,ofte
791,immer::ADV,همیشه,alltid
792,niemals::ADV,هرگز,aldri
793,hier::ADV,اینجا,her
794,hierhin::ADV,به اینجا,hit
795,von hier::ADV,از اینجا,herfra
796,dort::ADV,آنجا,der
797,dorthin::ADV,به آنجا,dit
798,geradeaus::ADV,راست,rett fram
799,vorwärts::ADV,جلو,fram
800,vorwärts::ADV,جلو,framover
801,vorwärts::ADV,به پیش,fram
802,vorwärts::ADV,به پیش,framover
803,rückwärts::ADV,عقب,baklengs
804,zurück::ADV,پس,tilbake
805,zurück::ADV,عقب,tilbake
806,zurück::ADV,بالعکس,tilbake
807,unten::ADV,زیر,nede
808,unten::ADV,پایین,nede
809,hinab::ADV,به پایین,ned
810,hinab::ADV,به پایین,nedover
811,oben::ADV,بالا,oppe
812,oben::ADV,بالا,ovenpå
813,hinauf::ADV,به بالا,opp
814,hinauf::ADV,به بالا,oppover
815,überall::ADV,همه‌جا,overalt
816,nicht::ADV,نه,ikke
817,ein wenig::ADV,کمی,litt
818,kaum::ADV,به سختی,neppe
819,sehr::ADV,خیلی,svært
820,sehr::ADV,بسیار,svært
821,so::ADV,چنین,så
822,so::ADV,اینطور,så
823,noch::ADV,هنوز,enda
824,nur::ADV,فقط,bare
825,nur::ADV,تنها,bare
826,schon::ADV,قبلاً,alt
827,schon::ADV,قبلاً,allerede
