,Concept_ID,be,no
245,Wunsch::N,жаданне,ønske
246,Lust::N,цяга,lyst
247,Geist::N,дух,ånd
248,Gedanke::N,думка,tanke
249,Gedächtnis::N,памяць,minne
250,Gedächtnis::N,памяць,hukommelse
251,Verstand::N,розум,forstand
252,Sinn::N,сэнс,mening
253,Sinn::N,сэнс,betydning
254,Grund::N,зачэпка,grunn
255,Wahrheit::N,праўда,sannhet
256,Gespräch::N,размова,samtale
257,Märchen::N,казка,eventyr
258,Erzählung::N,расказ,fortelling
259,Erzählung::N,апавяданне,fortelling
260,Nachricht::N,вестка,melding
261,Nachricht::N,паведамленне,melding
262,Neuigkeit::N,навіна,nyhet
263,Name::N,імя,navn
264,Rätsel::N,загадка,gåte
265,Rede::N,прамова,tale
266,Sprache::N,мова,språk
267,Stimme::N,голас,stemme
268,Wort::N,слова,ord
269,Zeichen::N,знак,tegn
270,Ruf::N,кліч,rop
271,Lärm::N,шум,bråk
272,Laut::N,гук,lyd
273,Ton::N,гучанне,tone
274,Lied::N,песня,vise
275,Ruhe::N,спакой,ro
276,Leute::N,людзі,folk
277,Volk::N,народ,folk
278,Arbeit::N,праца,arbeid
279,Arbeit::N,работа,arbeid
280,Gast::N,госць,gjest
281,Geschenk::N,падарунак,gave
282,Spiel::N,гульня,lek
283,Spiel::N,гульня,spill
284,Gesellschaft::N,таварыства,selskap
285,Hilfe::N,дапамога,hjelp
286,Freund::N,друг,venn
287,Freund::N,сябар,venn
288,Kamerad::N,прыяцель,kamerat
289,Angelegenheit::N,справа,sak
290,Angelegenheit::N,справа,anliggende
291,Anzahl::N,колькасць,antall
292,Art::N,від,art
293,Art::N,від,slag
294,Stück::N,кусок,stykke
295,Stück::N,кавалак,stykke
296,Teil::N,частка,del
297,Hälfte::N,палова,halvdel
298,Hälfte::N,палавіна,halvdel
299,Kreis::N,круг,ring
300,Kreis::N,круг,sirkel
301,Kreuz::N,крыж,kors
302,Kreuz::N,крыж,kryss
303,Linie::N,лінія,linje
304,Strich::N,рыса,strek
305,Abstand::N,прамежак,avstand
306,Entfernung::N,адлегласць,avstand
307,Gegend::N,мясцовасць,strøk
308,Platz::N,месца,plass
309,Ort::N,месца,sted
310,Seite::N,бок,side
311,Mitte::N,сярэдзіна,midte
312,Gegenstand::N,прадмет,gjenstand
313,Sache::N,рэч,sak
314,Rand::N,край,rand
315,Kante::N,руб,kant
316,Kante::N,кант,kant
317,Ecke::N,вугал,hjørne
318,Spitze::N,кончык,spiss
319,Ende::N,канец,ende
320,Loch::N,дзірка,hull
321,Winkel::N,вугал,vinkel
322,Muster::N,узор,mønster
323,Größe::N,памер,størrelse
324,Länge::N,даўжыня,lengde
325,Höhe::N,вышыня,høyde
326,Gewicht::N,вага,vekt
327,Menge::N,колькасць,mengde
328,Haufen::N,куча,haug
329,Haufen::N,куча,bunke
330,Reihe::N,рад,rekke
331,Boot::N,лодка,båt
332,Ruder::N,вясло,åre
333,Schlitten::N,сані,slede
334,Schlitten::N,сані,kjelke
335,Ski::N,лыжа,ski
336,Lagerfeuer::N,вогнішча,leirbål
337,Last::N,цяжар,bør
338,Last::N,цяжар,last
339,Gang::N,ход,gang
340,Schritt::N,шаг,steg
341,Schritt::N,шаг,skritt
342,Schritt::N,крок,steg
343,Schritt::N,крок,skritt
344,Norden::N,поўнач,nord
345,Süden::N,поўдзень,sør
346,Westen::N,захад,vest
347,Osten::N,усход,øst
348,Holz::N,дрэва,tre
349,Holz::N,драўніна,tre
350,Brett::N,дошка,fjøl
351,Brett::N,дошка,brett
352,Platte::N,пліта,plate
353,Stütze::N,падпорка,støtte
354,Stange::N,жэрдка,stang
355,Stock::N,палка,pinne
356,Stab::N,шост,stav
357,Stab::N,шост,kjepp
358,Rohr::N,труба,rør
359,Haus::N,дом,hus
360,Heim::N,дом,hjem
361,Heim::N,хата,hjem
362,Ofen::N,печ,ovn
363,Fußboden::N,падлога,gulv
364,Tisch::N,стол,bord
365,Stuhl::N,стул,stol
366,Stuhl::N,крэсла,stol
367,Wiege::N,калыска,vogge
368,Bett::N,ложак,seng
369,Bett::N,пасцель,seng
370,Regal::N,паліца,reol
371,Regal::N,паліца,hylle
372,Kiste::N,скрынка,kasse
373,Fenster::N,акно,vindu
374,Tür::N,дзверы,dør
375,Tor::N,вароты,port
376,Zaun::N,агароджа,gjerde
377,Dach::N,дах,tak
378,Leiter::N,лесвіца,stige
379,Besen::N,мятла,kost
380,Spaten::N,лапата,spade
381,Spaten::N,жалязняк,spade
382,Schaufel::N,шуфлік,skuffe
383,Schaufel::N,лапатка,skuffe
384,Gabel::N,відэлец,gaffel
385,Löffel::N,лыжка,skje
386,Messer::N,нож,kniv
387,Nagel::N,цвік,spiker
388,Netz::N,сетка,nett
389,Haken::N,крук,krok
390,Griff::N,ручка,tak
391,Griff::N,ручка,håndtak
392,Schloss::N,замок,lås
393,Bild::N,карціна,bilde
394,Figur::N,фігура,figur
395,Puppe::N,лялька,dukke
396,Beutel::N,мяшок,pose
397,Bündel::N,вязка,bylt
398,Tasche::N,торба,veske
399,Eimer::N,вядро,bøtte
400,Deckel::N,накрыўка,lokk
401,Geschirr::N,пасуда,kjøkkentøy
402,Sack::N,мех,sekk
403,Tasse::N,кубак,kopp
404,Topf::N,каструля,gryte
405,Kessel::N,кацёл,kjele
406,Essen::N,ежа,mål
407,Nahrung::N,харч,mat
408,Nahrung::N,харч,næring
409,Speise::N,страва,matrett
410,Fleisch::N,мяса,kjøtt
411,Getreide::N,збожжа,korn
412,Brei::N,каша,grøt
413,Brot::N,хлеб,brød
414,Scheibe::N,луста,skive
415,Scheibe::N,скібка,skive
416,Fett::N,тлушч,fett
417,Butter::N,масла,smør
418,Öl::N,алей,olje
419,Salz::N,соль,salt
420,Suppe::N,суп,suppe
421,Honig::N,мёд,honning
422,Milch::N,малако,melk
423,Tee::N,чай,te
424,Tee::N,гарбата,te
425,Leder::N,скура,lær
426,Leder::N,скура,skinn
427,Wolle::N,воўна,ull
428,Stoff::N,тканіна,tøy
429,Stoff::N,тканіна,stoff
430,Nadel::N,іголка,nål
431,Faden::N,нітка,tråd
432,Knopf::N,гузік,knapp
433,Knoten::N,вузел,knute
434,Farbe::N,фарба,farge
435,Kleidung::N,адзенне,påkledning
436,Hemd::N,кашуля,skjorte
437,Kragen::N,каўнер,krage
438,Ärmel::N,рукаў,erme
439,Hose::N,штаны,bukse
440,Gürtel::N,пояс,belte
441,Mütze::N,шапка,lue
442,Schuh::N,чаравік,sko
443,Stiefel::N,бот,støvel
444,Ring::N,кольца,ring
445,Band::N,стужка,band
446,Kamm::N,расчоска,kam
447,Spiegel::N,люстра,speil
448,Riemen::N,рэмень,rem
449,Schnur::N,вяроўка,snor
450,Leine::N,павадок,line
451,Decke::N,коўдра,teppe
452,Kissen::N,падушка,pute
453,Tuch::N,хустка,tøy
454,Handtuch::N,ручнік,håndkle
455,Kraft::N,сіла,kraft
456,Stärke::N,моц,styrke
457,Gesundheit::N,здароўе,helse
458,Gesundheit::N,здароўе,sunnhet
459,Krankheit::N,хвароба,syke
460,Krankheit::N,хвароба,sykdom
461,Schmerz::N,боль,smerte
462,Wunde::N,рана,sår
463,Fieber::N,гарачка,feber
464,Fieber::N,ліхаманка,feber
465,Arznei::N,лекі,medisin
466,Arznei::N,лекі,legemiddel
467,Brücke::N,мост,bro
468,Brunnen::N,калодзеж,brønn
469,Weide::N,паша,beite
470,Pfad::N,сцежка,sti
471,Weg::N,шлях,vei
472,Weg::N,дарога,vei
473,Straße::N,вуліца,gate
474,Dorf::N,вёска,landsby
475,Stadt::N,горад,by
476,Brief::N,ліст,brev
477,Brief::N,пісьмо,brev
478,Buch::N,кніга,bok
479,Buchstabe::N,літара,bokstav
480,Zeitung::N,газета,avis
481,Leben::N,жыццё,liv
482,Tod::N,смерць,død
483,Grab::N,магіла,grav
484,Kirche::N,касцёл,kirke
485,Kirche::N,царква,kirke
486,Sünde::N,грэх,synd
487,Gott::N,бог,gud
488,Arbeiter::N,рабочы,arbeider
489,Chef::N,начальнік,sjef
490,Meister::N,майстар,mester
491,Arzt::N,урач,lege
492,Lehrer::N,настаўнік,lærer
493,Geld::N,грошы,penger
494,Geschäft::N,заняцце,forretning
495,Laden::N,крама,butikk
496,Laden::N,магазін,butikk
497,Preis::N,цана,pris
498,Ware::N,тавар,vare
499,Nutzen::N,выгада,nytte
500,Reichtum::N,багацце,rikdom
501,Welt::N,свет,verden
502,Land::N,краіна,land
503,Staat::N,дзяржава,stat
504,König::N,кароль,konge
505,Macht::N,улада,makt
506,Grenze::N,граніца,grense
507,Krieg::N,вайна,krig
508,Feind::N,вораг,fiende
509,Gewalt::N,насілле,vold
510,Kampf::N,барацьба,kamp
511,Bogen[Waffe]::N,лук,bue
512,Pfeil::N,страла,pil
513,Gewehr::N,ружжо,gevær
514,Fehler::N,памылка,feil
515,Lüge::N,хлусня,løgn
516,Schaden::N,шкода,skade
517,Unglück::N,ліха,uhell
518,Unglück::N,бядота,uhell
519,Schuld::N,віна,skyld
520,Alter::N,узрост,alder
521,Schluss::N,канец,slutt
522,Zeit::N,час,tid
523,Tag::N,дзень,dag
524,Morgen::N,ранак,morgen
525,Morgen::N,раніца,morgen
526,Mittag::N,паўдня,middag
527,Mittag::N,поўдзень,middag
528,Abend::N,вечар,aften
529,Nacht::N,ноч,natt
530,Woche::N,тыдзень,uke
531,Monat::N,месяц,måned
532,Jahr::N,год,år
533,Frühling::N,вясна,vår
534,Sommer::N,лета,sommer
535,Herbst::N,восень,høst
536,Winter::N,зіма,vinter
537,Januar::N,студзень,januar
538,Februar::N,люты,februar
539,März::N,сакавік,mars
540,April::N,красавік,april
541,Mai::N,май,mai
542,Mai::N,травень,mai
543,Juni::N,чэрвень,juni
544,Juli::N,ліпень,juli
545,August::N,жнівень,august
546,September::N,верасень,september
547,Oktober::N,кастрычнік,oktober
548,November::N,лістапад,november
549,Dezember::N,снежань,desember
550,Montag::N,панядзелак,mandag
551,Dienstag::N,аўторак,tirsdag
552,Mittwoch::N,серада,onsdag
553,Donnerstag::N,чацвер,torsdag
554,Freitag::N,пятніца,fredag
555,Samstag::N,субота,lørdag
556,Sonntag::N,нядзеля,søndag
557,groß::A,вялікі,stor
558,klein::A,маленькі,liten
559,lang::A,доўгі,lang
560,kurz::A,кароткі,kort
561,breit::A,шырокі,bred
562,schmal::A,вузкі,smal
563,dicht::A,густы,tett
564,dick[Gegenstand]::A,тоўсты,tykk
565,dünn::A,тонкі,tynn
566,fein::A,тонкі,fin
567,fest::A,моцны,fast
568,flach::A,плоскі,flat
569,glatt::A,гладкі,glatt
570,hart::A,цвёрды,hard
571,weich::A,мяккі,myk
572,weich::A,мяккі,bløt
573,rund::A,круглы,rund
574,spitz::A,спічасты,spiss
575,spitz::A,востраканцовы,spiss
576,scharf::A,востры,kvass
577,stumpf::A,тупы,stubb
578,schwer::A,цяжкі,tung
579,schön::A,прыгожы,pen
580,schön::A,прыгожы,vakker
581,heiß::A,гарачы,het
582,warm::A,цёплы,varm
583,kalt::A,холадны,kald
584,kühl::A,халаднаваты,kjølig
585,frisch::A,свежы,fersk
586,feucht::A,вільготны,fuktig
587,nass::A,мокры,våt
588,trocken::A,сухі,tørr
589,voll::A,поўны,full
590,leer::A,пусты,tom
591,offen::A,адкрыты,åpen
592,offen::A,адчынены,åpen
593,geschlossen::A,закрыты,lukket
594,geschlossen::A,зачынены,lukket
595,sauber::A,чысты,ren
596,schmutzig::A,брудны,skitten
597,roh::A,сыры,rå
598,reif::A,спелы,moden
599,lecker::A,смачны,lekker
600,süß::A,салодкі,søt
601,bitter::A,горкі,besk
602,bitter::A,горкі,bitter
603,sauer::A,кіслы,sur
604,hell::A,светлы,lys
605,dunkel::A,цёмны,mørk
606,schwarz::A,чорны,svart
607,weiß::A,белы,hvit
608,rot::A,чырвоны,rød
609,gelb::A,жоўты,gul
610,blau::A,сіні,blå
611,grün::A,зялёны,grønn
612,grau::A,шэры,grå
613,bunt::A,пяресты,broket
614,billig::A,танны,billig
615,teuer::A,дарагі,dyr
616,wertvoll::A,цэнны,verdifull
617,wertvoll::A,каштоўны,verdifull
618,blind::A,сляпы,blind
619,taub::A,глухі,døv
620,kräftig::A,магутны,kraftig
621,stark::A,сільны,sterk
622,schwach::A,слабы,svak
623,fett::A,тлусты,fet
624,schlank::A,стройны,slank
625,hübsch::A,чароўны,pen
626,böse::A,злы,slem
627,dumm::A,дурны,dum
628,faul::A,лянівы,lat
629,faul::A,лянівы,doven
630,fleißig::A,руплівы,flittig
631,geizig::A,прагны,gjerrig
632,klug::A,разумны,klok
633,geschickt::A,умелы,hendig
634,geschickt::A,умелы,skikket
635,lieb::A,мілы,kjær
636,lieb::A,мілы,snill
637,lustig::A,вясёлы,morsom
638,sanft::A,ласкавы,blid
639,hungrig::A,галодны,sulten
640,krank::A,хворы,syk
641,nackt::A,голы,naken
642,traurig::A,сумны,sørgmodig
643,lebendig::A,жывы,levende
644,gut::A,добры,god
645,schlecht::A,кепскі,dårlig
646,richtig::A,правільны,riktig
647,schlimm::A,агідны,slem
648,wahr::A,сапраўдны,sann
649,alt::A,стары,gammel
650,neu::A,новы,ny
651,ehemalig::A,былы,forhenværende
652,alt[Lebewesen]::A,стары,gammel
653,jung::A,малады,ung
654,arm::A,бедны,fattig
655,reich::A,багаты,rik
656,bekannt::A,знаёмы,kjent
657,berühmt::A,славуты,berømt
658,fremd::A,чужы,fremmed
659,verschieden::A,розны,forskjellig
660,nah::A,блізкі,nær
661,fern::A,далёкі,fjern
662,linker::A,левы,venstre
663,rechter::A,правы,høyre
664,anderer::A,іншы,annen
665,anderer::A,другі,annen
666,erster::A,першы,første
667,zweiter::A,другі,annen
668,dritter::A,трэці,tredje
669,letzter::A,апошні,sist
670,allein::ADV,сам,alene
671,allein::ADV,адзін,alene
672,auf einmal::ADV,адразу,med ett
673,zusammen::ADV,разам,sammen
674,lange::ADV,доўга,lenge
675,plötzlich::ADV,раптам,plutselig
676,sofort::ADV,зараз,straks
677,später::ADV,пазней,senere
678,jetzt::ADV,цяпер,nå
679,heute::ADV,сёння,i dag
680,morgen::ADV,заўтра,i morgen
681,bald::ADV,хутка,snart
682,bald::ADV,неўзабаве,snart
683,dann::ADV,потым,så
684,gestern::ADV,учора,i går
685,einst::ADV,аднойчы,engang
686,damals::ADV,тады,den gang
687,danach::ADV,затым,deretter
688,vorher::ADV,раней,før
689,vorher::ADV,раней,i forveien
690,zuerst::ADV,спярша,først
691,zuerst::ADV,спачатку,først
692,einmal::ADV,адзін раз,en gang
693,manchmal::ADV,часам,somme tider
694,oft::ADV,часта,ofte
695,immer::ADV,заўсёды,alltid
696,niemals::ADV,ніколі,aldri
697,hier::ADV,тут,her
698,hierhin::ADV,сюды,hit
699,von hier::ADV,адсюль,herfra
700,von hier::ADV,адгэтуль,herfra
701,dort::ADV,там,der
702,dorthin::ADV,туды,dit
703,geradeaus::ADV,прама,rett fram
704,vorwärts::ADV,наперад,fram
705,vorwärts::ADV,наперад,framover
706,rückwärts::ADV,назад,baklengs
707,zurück::ADV,назад,tilbake
708,unten::ADV,унізе,nede
709,hinab::ADV,уніз,ned
710,hinab::ADV,уніз,nedover
711,oben::ADV,угары,oppe
712,oben::ADV,угары,ovenpå
713,oben::ADV,наверсе,oppe
714,oben::ADV,наверсе,ovenpå
715,hinauf::ADV,угару,opp
716,hinauf::ADV,угару,oppover
717,überall::ADV,усюды,overalt
718,nicht::ADV,не,ikke
719,ein wenig::ADV,трошкі,litt
720,kaum::ADV,ледзьве,neppe
721,sehr::ADV,вельмі,svært
722,so::ADV,так,så
723,noch::ADV,яшчэ,enda
724,nur::ADV,толькі,bare
725,schon::ADV,ужо,alt
726,schon::ADV,ужо,allerede
727,wieder::ADV,зноў,igjen
728,vergebens::ADV,дарма,forgjeves
729,vergebens::ADV,дарэмна,forgjeves
730,vor::PRP,перад,foran
731,vor::PRP,перад,utenfor
732,hinter::PRP,за,bak
733,hinter::PRP,за,bakom
734,hinter::PRP,ззаду,bak
735,hinter::PRP,ззаду,bakom
736,unter::PRP,пад,under
737,durch::PRP,праз,gjennom
738,durch::PRP,праз,igjennom
739,neben::PRP,каля,ved siden av
740,zwischen::PRP,між,mellom
741,zwischen::PRP,паміж,mellom
742,wegen::PRP,з-за,på grunn av
743,dies::PRN,гэта,dette
744,das::PRN,тое,det
745,alles::PRN,усё,alt
746,ich::PRN,я,jeg
747,du::PRN,ты,du
748,er::PRN,ён,han
749,wir::PRN,мы,vi
750,ihr::PRN,вы,dere
751,sie::PRN,яны,de
752,was::FPRN,што,hva
753,wer::FPRN,хто,hvem
754,wo::FADV,дзе,hvor
755,wohin::FADV,куды,hvor ... hen
756,wie::FADV,як,hvordan
757,warum::FADV,чаму,hvorfor
758,wieviel::FNUM,колькі,hvor mye
759,eins::NUM,адзін,en
760,eins::NUM,адзін,ett
761,zwei::NUM,два,to
762,drei::NUM,тры,tre
763,vier::NUM,чатыры,fire
764,fünf::NUM,пяць,fem
765,sechs::NUM,шесць,seks
766,sieben::NUM,сем,sju
767,acht::NUM,восем,åtte
768,neun::NUM,дзевяць,ni
769,zehn::NUM,дзесяць,ti
770,elf::NUM,адзінаццаць,elleve
771,zwölf::NUM,дванаццаць,tolv
772,zwanzig::NUM,дваццаць,tjue
773,dreißig::NUM,трыццаць,tretti
774,vierzig::NUM,сорак,førti
775,fünfzig::NUM,пядзесят,femti
776,sechzig::NUM,шесдзесят,seksti
777,siebzig::NUM,семдзесят,sytti
778,achtzig::NUM,восемдзесят,åtti
779,neunzig::NUM,дзевяноста,nitti
780,hundert::NUM,сто,hundre
781,tausend::NUM,тысяча,tusen
782,und::CNJ,і,og
783,und::CNJ,ды,og
784,oder::CNJ,або,eller
785,stehen::V,стаяць,stå
786,sitzen::V,сядзець,sitte
787,liegen::V,ляжаць,ligge
788,hängen::V,вісець,henge
789,werden::V,стаць,bli
790,werden::V,зрабіцца,bli
791,passieren::V,трапіцца,skje
792,passieren::V,трапіцца,hende
793,beginnen::V,пачацца,begynne
794,enden::V,кончыцца,ende
795,enden::V,кончыцца,slutte
796,wechseln::V,мяняцца,veksle
797,aufgehen[Sonne]::V,узысці,stå opp
798,untergehen[Sonne]::V,зайсці,gå ned
799,scheinen[Sonne]::V,свяціць,skinne
800,donnern::V,грымець,tordne
801,wehen::V,дзьмуць,blåse
802,strömen::V,ліцца,strømme
803,fließen::V,цячы,flyte
804,sich drehen::V,круціцца,dreie seg
805,sich drehen::V,варочацца,dreie seg
806,schwanken::V,хістацца,svaie
807,schwingen::V,гайдацца,svinge
808,schwingen::V,калыхацца,svinge
809,fallen::V,падаць,falle
810,brennen::V,гарэць,brenne
811,rauchen::V,дымець,ryke
812,regnen::V,дажджыць,regne
813,gefrieren::V,замерзнуць,fryse
814,tauen::V,раставаць,tine
815,schmelzen::V,плавіцца,smelte
816,trocknen::V,сохнуць,tørre
817,sieden::V,кіпець,koke
818,faulen::V,гнісці,råtne
819,verfaulen::V,згнісці,råtne
820,reißen::V,ірвацца,briste
821,versinken::V,тануць,synke
822,versinken::V,тануць,synke ned
823,vergehen::V,праходзіць,forløpe
824,erscheinen::V,зʼявіцца,synes
825,verschwinden::V,знікнуць,forsvinne
826,sinken::V,спадаць,synke
827,abnehmen::V,паменшыцца,avta
828,abnehmen::V,паменшыцца,minske
829,zunehmen::V,павялічвацца,tilta
830,steigen::V,паднімацца,stige
831,wachsen::V,расці,gro
832,wachsen::V,расці,vokse
833,glänzen::V,блішчаць,skinne
834,funkeln::V,бліскаць,tindre
835,lärmen::V,шумець,bråke
836,läuten::V,званіць,ringe
837,klingeln::V,званіць,ringe
838,klirren::V,бразгаць,klirre
839,brausen::V,бушаваць,bruse
