,Concept_ID,tt,ta
60,Himmel::N,күк,வானம்
61,Sonne::N,кояш,சூரியன்
62,Mond::N,ай,சந்திரன்
63,Stern::N,йолдыз,நட்சத்திரம்
64,Luft::N,һава,காறறு
65,Wind::N,җил,காற்று
66,Welle::N,дулкын,அலை
67,Wasser::N,су,நீர்
68,Stein::N,таш,கல்
69,Boden::N,туфрак,தரை
70,Erde::N,җир,மண்
71,Staub::N,тузан,தூசி
72,Rauch::N,төтен,புகை
73,Funke::N,очкын,தீப்பொறி
74,Feuer::N,ут,தீ
75,Licht::N,якты,வெளிச்சம்
76,Schatten::N,күләгә,நிழல்
77,Wetter::N,һава,வானிலை
78,Nebel::N,томан,பனிமூட்டம்
79,Wolke::N,болыт,மேகம்
80,Regen::N,яңгыр,மழை
81,Schnee::N,кар,உறைபனி
82,Eis::N,боз,பனிக்கட்டி
83,Frost::N,суык,உறைபனி
84,Frost::N,салкын,உறைபனி
85,Kälte::N,суык,குளிர்ந்த
86,Kälte::N,салкын,குளிர்ந்த
87,Hitze::N,эсселек,சூடு
88,Raureif::N,бәс,உறைபனி வெண்திரை
89,Raureif::N,сыкы,உறைபனி வெண்திரை
90,Regenbogen::N,салават күпере,வானவில்
91,Donner::N,күкрәү,இடி
92,Strömung::N,агыш'агым,நீரோட்டம்
93,Tropfen::N,тамчы,துளி
94,Schaum::N,күбек,நுரை
95,Schmutz::N,пычрак,அழுக்கு
96,See::N,күл,ஏரி
97,Sumpf::N,саз,சதுப்பு நிலம்
98,Moor::N,торфлык,முட்புதற்காடு
99,Wiese::N,болын,பசும் புல்தரை
100,Wald::N,урман,காடு
101,Hügel::N,калку,குன்று
102,Anhöhe::N,үр,பதுக்கை
103,Berg::N,тау,மலை
104,Gipfel::N,оч,உச்சி மாநாடு
105,Höhle::N,мәгарә,குகை
106,Abhang::N,кабырга,சரிவு
107,Quelle::N,чишмә,மூலம்
108,Bach::N,елга,ஓடை
109,Fluss::N,дәрья,ஆறு
110,Ufer::N,су кырые,நீர்க்கரை
111,Küste::N,яр буе,கடற்கரை
112,Festland::N,коры җир,நிலம்
113,Meer::N,диңгез,கடல்
114,Bucht::N,бухта,சிறுகுடா
115,Bucht::N,култык,சிறுகுடா
116,Insel::N,атау,தீவு
117,Insel::N,утрау,தீவு
118,Blume::N,чәчкә,பூ
119,Gras::N,үлән,புல்தரை
120,Wurzel::N,тамыр,வேர்
121,Baum::N,агач,மரம்
122,Stamm::N,кәүсә,அடிமரம்
123,Rinde::N,кабык,பட்டை
124,Rinde::N,кабык,மரப்பட்டை
125,Ast::N,ботак,கினை
126,Zweig::N,ботак,குச்சி
127,Zweig::N,тармак,குச்சி
128,Blatt::N,яфрак,இலை
129,Birke::N,каен,பிர்ச் மரம்
130,Kiefer[Baum]::N,нарат,தேவதாரு மரம்
131,Weide[Baum]::N,тал,மர வகைகளுள் ஒன்று
132,Tanne::N,чыршы,சாதிக்கய்
133,Horn::N,мөгез,கொம்பு
134,Feder::N,йон,இறகு
135,Fell::N,тире,மென்முடி
136,Flügel::N,канат,இறக்கை
137,Klaue::N,тырнак,நகம்
138,Kralle::N,тырнак,நகம்
139,Schwanz::N,койрык,வால்
140,Ei::N,күкәй,முட்டை
141,Ei::N,йомырка,முட்டை
142,Nest::N,оя,கூடு
143,Bau::N,өн,குகை
144,Tier::N,хайван,விலங்கு
145,Herde::N,көтү,கூட்டம்
146,Kuh::N,сыер,பசு
147,Bulle::N,үгез,காளை
148,Pferd::N,ат,குதிரை
149,Schaf::N,сарык,செம்மறிஆடு
150,Schwein::N,дуңгыз,பன்றி
151,Hund::N,эт,நாய்
152,Katze::N,песи,பூனை
153,Bär::N,аю,கரடி
154,Eichhörnchen::N,тиен,அணில்
155,Elch::N,поши,கடம்பை
156,Fuchs::N,төлке,நரி
157,Hase::N,куян,முயல்
158,Maus::N,тычкан,எலி
159,Wolf::N,бүре,ஓநாய்
160,Vogel::N,кош,பறவை
161,Schwarm::N,көтү,தொகுதி
162,Huhn::N,тавык,கோழிக்குஞசு
163,Hahn::N,әтәч,சேவல்
164,Gans::N,каз,பெண் வாத்து
165,Adler::N,каракош,பருநது
166,Ente::N,үрдәк,வாத்து
167,Eule::N,ябалак,ஆந்தை
168,Kranich::N,торна,நாரை
169,Krähe::N,карга,காகம்
170,Kuckuck::N,күке,குயில்
171,Kuckuck::N,кәккүк,குயில்
172,Schwan::N,аккош,அன்னம்
173,Fisch::N,балык,மீன்
174,Barsch::N,алабуга,பேர்ச்
175,Hecht::N,чуртан,கோலாச்சி மீன்
176,Schlange[Tier]::N,елан,பாம்பு
177,Wurm::N,корт,புழு
178,Spinne::N,үрмәкүч,சிலந்தி
179,Ameise::N,кырмыска,எறும்பு
180,Laus::N,бет,பேன்
181,Mücke::N,черки,கொசுவினப்பூச்சி
182,Mücke::N,озынборын,கொசுவினப்பூச்சி
183,Fliege::N,чебен,ஈ
184,Schmetterling::N,күбәләк,வண்ணத்துப்பூச்சி
185,Beere::N,җиләк,சதைப்பழம்
186,Apfel::N,алма,ஆப்பிள பழம்
187,Pilz::N,гөмбә,காளான்
188,Zwiebel::N,суган,வெங்காயம்
189,Zwiebel::N,суганбаш,வெங்காயம்
190,Saat::N,орлык,விதை
191,Korn::N,иген,தானியம்
192,Korn::N,орлык,தானியம்
193,Heu::N,печән,வைக்கோல்
194,Schale::N,кабык,தோல்
195,Grube::N,баз,குழி
196,Grube::N,чокыр,குழி
197,Falle::N,тозак,பொறி
198,Falle::N,капкын,பொறி
199,Schlinge::N,элмәк,கண்ணி
200,Spur::N,эз,சுவடு
201,Asche::N,көл,சாம்பல்
202,Dreck::N,пычрак,அழுக்கு
203,Eisen::N,тимер,இரும்பு
204,Gold::N,алтын,தங்கம்
205,Silber::N,көмеш,வெள்ளி
206,Kohle::N,күмер,நிலக்கரி
207,Glas::N,пыяла,கண்ணாடி
208,Lehm::N,балчык,களிமண்
209,Sand::N,ком,மணல்
210,Mensch::N,адәм,மனிதர்கள்
211,Mensch::N,инсан,மனிதர்கள்
212,Mann::N,ир,மனிதன்
213,Frau::N,хатын,பெண்
214,Kind::N,бала,குழந்தை
215,Junge::N,малай,பையன்
216,Mädchen::N,кыз,சிறுமி
217,Familie::N,гаилә,குடும்பம்
218,Großvater::N,бабай,தாத்தா
219,Großmutter::N,әби,பாட்டி
220,Eltern::N,ата-ана,பெற்றோர்
221,Vater::N,ата,தந்தை
222,Mutter::N,ана,தாய்
223,Sohn::N,ул,மகன்
224,Tochter::N,кыз,மகள்
225,Bruder::N,кардәш,சகோதரன்
226,Schwester::N,апа,அக்கா
227,Schwester::N,сеңел,அக்கா
228,Onkel::N,дәдә,தாய் மாமன்
229,Onkel::N,дәдәй,தாய் மாமன்
230,Tante::N,түти,அத்தை
231,Tante::N,тәтәй,அத்தை
232,Ehemann::N,ир,கணவன்
233,Ehefrau::N,хатын,மனைவி
234,Freude::N,сөенеч,கொண்டாட்டம்
235,Gelächter::N,көлү,சிரிப்பு
236,Gelächter::N,көлеш,சிரிப்பு
237,Glück::N,бәхет,மகிழ்ச்சி
238,Kummer::N,хәсрәт,துயரம்
239,Wunsch::N,теләк,விருப்பம்
240,Lust::N,теләк,விருப்பம்
241,Lust::N,теләү,விருப்பம்
242,Geist::N,рух,ஆன்மா
243,Gedanke::N,уй,எண்ணம்
244,Gedanke::N,фикер,எண்ணம்
245,Gedächtnis::N,хәтер,ஞாபகம்
246,Verstand::N,акыл,மனம்
247,Sinn::N,мәгънә,அர்த்தம்
248,Grund::N,сәбәп,காரணம்
249,Wahrheit::N,хак,உண்நை
250,Gespräch::N,әңгәмә,பெசு
251,Märchen::N,әкият,நம்பத்தகாத கதை
252,Erzählung::N,хикәя,கதை
253,Nachricht::N,хәбәр,செய்தி
254,Neuigkeit::N,яңалык,செய்தி
255,Name::N,исем,பெயர்
256,Rätsel::N,табышмак,புதிர்
257,Rede::N,нотык,பேச்சு
258,Sprache::N,тел,மொழி
259,Stimme::N,тавыш,குரல்
260,Wort::N,сүз,வார்த்தை
261,Zeichen::N,ишарә,குறி
262,Ruf::N,дәшү,அழைப்பு
263,Lärm::N,шау,சத்தம்
264,Laut::N,аваз,ஒலி
265,Ton::N,шалтырату,குரல்
266,Lied::N,җыр,பாட்டு
267,Ruhe::N,тынлык,அமைதி
268,Leute::N,халык,மக்கள்
269,Volk::N,халык,மக்கள்
270,Arbeit::N,эш,வேலை
271,Arbeit::N,хезмәт,வேலை
272,Gast::N,кунак,விருந்தாளி
273,Geschenk::N,бүләк,பரிசுப் பொருள்
274,Spiel::N,уен,விளையாட்டு
275,Gesellschaft::N,җәмгыять,சமுதாயம்
276,Hilfe::N,ярдәм,உதவி
277,Hilfe::N,булышлык,உதவி
278,Freund::N,дус,நண்பன்
279,Kamerad::N,иптәш,உடனிருப்பவன்
280,Angelegenheit::N,эш,செய்தி
281,Anzahl::N,микъдар,எண்ணிக்கை
282,Art::N,төр,வகை
283,Stück::N,кисәк,துண்டம்
284,Teil::N,өлеш,பகுதி
285,Hälfte::N,ярым,பாதி
286,Kreis::N,түгәрәк,வட்டம்
287,Kreuz::N,хач,சிலுவை
288,Kreuz::N,тәре,சிலுவை
289,Linie::N,сызык,கோடு
290,Strich::N,сызык,வாத நோய்
291,Abstand::N,ара,இடைவெளி
292,Entfernung::N,ераклык,தூரம்
293,Gegend::N,урын,வட்டாரம்
294,Platz::N,бушлык,வெற்றிடம்
295,Ort::N,урын,இடம்
296,Seite::N,як,பக்கம்
297,Mitte::N,урта,இடைப்பகுதி
298,Gegenstand::N,нәрсә,உருப்படி
299,Sache::N,нәрсә,பொருள்
300,Rand::N,чит,தொங்கு
301,Kante::N,кырый,விளிம்பு
302,Ecke::N,почмак,மூலை
303,Spitze::N,оч,முனை
304,Ende::N,азак,முடிவு
305,Loch::N,тишек,துளை
306,Winkel::N,почмак,கோணம்
307,Muster::N,парча,பாங்கு
308,Größe::N,зурлык,அளவு
309,Länge::N,озынлык,நீளம்
310,Höhe::N,биеклек,உயரம்
311,Gewicht::N,авырлык,எடை
312,Menge::N,микъдар,தொகை
313,Haufen::N,өем,குவியல்
314,Reihe::N,рәт,வரிசை
315,Boot::N,каек,படகு
316,Boot::N,көймә,படகு
317,Ruder::N,ишкәк,துடுப்பு
318,Schlitten::N,чана,சகடையிலா வண்டி
319,Ski::N,чаңгы,பனிச் சறுக்கல்
320,Lagerfeuer::N,костёр,மூட்டம்
321,Last::N,йөк,பாரம்
322,Gang::N,йөреш,நடை
323,Schritt::N,адым,காலடி
324,Norden::N,төньяк,வடக்கு
325,Süden::N,көньяк,தெற்கு
326,Westen::N,көнбатыш,மேற்கு திசை
327,Osten::N,шәрык,கிழக்கு
328,Osten::N,көнчыгыш,கிழக்கு
329,Holz::N,агач,மரக்கட்டை
330,Brett::N,такта,பலகை
331,Platte::N,плитә,பலகம்
332,Stütze::N,таяу,அடைப்புகன்
333,Stange::N,колга,கம்பம்
334,Stock::N,таяк,குச்சி
335,Stab::N,таяк,கம்பு
336,Rohr::N,торба,குழாய்
337,Haus::N,өй,வீடு
338,Haus::N,йорт,வீடு
339,Heim::N,гаилә,வீடு
340,Heim::N,нәсел,வீடு
341,Ofen::N,мич,அடுப்பு
342,Fußboden::N,идән,தரை
343,Tisch::N,өстәл,மேசை
344,Stuhl::N,утыргыч,நாற்காலி
345,Wiege::N,бишек,தொட்டில்
346,Bett::N,ятак,படுக்கை
347,Bett::N,урын-җир,படுக்கை
348,Regal::N,киштә,அலமாரி
349,Regal::N,шүрлек,அலமாரி
350,Kiste::N,әрҗә,பெட்டி
351,Fenster::N,тәрәзә,சாளரம்
352,Tür::N,ишек,கதவு
353,Tor::N,капка,வாசற்கதவு
354,Zaun::N,койма,வேலி
355,Dach::N,түбә,கூரை
356,Leiter::N,баскыч,ஏணி
357,Besen::N,себерке,விளக்குமாறு
358,Spaten::N,көрәк,மண்வெட்டி
359,Schaufel::N,көрәк,அடிதண்டா
360,Gabel::N,чәннечке,முட்கரண்டி
361,Löffel::N,кашык,கரண்டி
362,Messer::N,пычак,கத்தி
363,Nagel::N,кадак,ஆணி
364,Netz::N,челтәр,வலை
365,Haken::N,ыргак,கொக்கி
366,Griff::N,тотка,கைப்பிடி
367,Schloss::N,йозак,பூட்டு
368,Bild::N,рәсем,படம்
369,Bild::N,картина,படம்
370,Figur::N,сын,எண்ணிக்கை
371,Figur::N,фигура,எண்ணிக்கை
372,Puppe::N,курчак,பொம்மை
373,Beutel::N,луза,பை
374,Bündel::N,бәйләм,பொதி
375,Tasche::N,букча,பை
376,Eimer::N,чиләк,வாளி
377,Deckel::N,капкач,உறை
378,Geschirr::N,савыт-саба,பாத்திரம்
379,Geschirr::N,кашык-аяк,பாத்திரம்
380,Sack::N,капчык,பை
381,Tasse::N,чынаяк,கிண்ணம்
382,Topf::N,чүлмәк,பானை
383,Kessel::N,казан,கெண்டி
384,Essen::N,ашау,உணவருந்துதல்
385,Nahrung::N,азык,உணவு
386,Nahrung::N,тәгам,உணவு
387,Nahrung::N,ашамлык,உணவு
388,Speise::N,ризык,உணவு வகை
389,Fleisch::N,ит,இறைச்சி
390,Getreide::N,ашлык,மக்காச்சோளம்
391,Brei::N,ботка,கஞ்சி
392,Brot::N,ипи,ரொட்டி
393,Brot::N,икмәк,ரொட்டி
394,Scheibe::N,телем,துண்டு
395,Fett::N,май,கொழுப்பு
396,Butter::N,май,வெண்ணெய்
397,Öl::N,май,எண்ணெய்
398,Salz::N,тоз,உப்பு
399,Suppe::N,шулпа,ரசம்
400,Honig::N,бал,தேன்
401,Milch::N,сөт,பால்
402,Tee::N,чәй,தெனீர்
403,Leder::N,күн,பதம் செய்யப்பட்ட தோல்
404,Wolle::N,йон,கம்பளி
405,Stoff::N,тукыма,துணி
406,Nadel::N,энә,ஊசி
407,Faden::N,җеп,நூல்
408,Knopf::N,төймә,பொத்தான்
409,Knoten::N,төен,முடிச்சு
410,Farbe::N,буяу,வண்ணக் குழம்பு
411,Kleidung::N,кием,ஆடைகள்
412,Hemd::N,күлмәк,சட்டை
413,Kragen::N,яка,கழுத்துப் பட்டை
414,Ärmel::N,җиң,சட்டைக்கை
415,Hose::N,чалбар,கால்சட்டை
416,Gürtel::N,билбау,பெல்ட்
417,Mütze::N,бүрек,தொப்பி
418,Schuh::N,башмак,காலணி
419,Stiefel::N,итек,காலணி
420,Ring::N,балдак,மோதிரம்
421,Band::N,тасма,நாடா
422,Kamm::N,тарак,கீப்பு
423,Spiegel::N,көзге,ஆடி
424,Spiegel::N,көзге,கண்ணாடி
425,Riemen::N,каеш,வார்
426,Schnur::N,бау,கயிறு
427,Leine::N,тезген,தோல்வார்
428,Decke::N,юрган,போர்வை
429,Kissen::N,мендәр,தலையணை
430,Tuch::N,яулык,துணி
431,Handtuch::N,сөлгә,தண்டு
432,Kraft::N,егәр,நிர்பந்தம்
433,Kraft::N,дәрман,நிர்பந்தம்
434,Stärke::N,көч,பலம்
435,Stärke::N,дәрман,பலம்
436,Gesundheit::N,саулык,ஆரோக்கியம்
437,Krankheit::N,чир,நோய்
438,Krankheit::N,хаста,நோய்
439,Krankheit::N,сырхау,நோய்
440,Schmerz::N,авырту,வலி
441,Wunde::N,яра,காயம்
442,Wunde::N,җәрәхәт,காயம்
443,Fieber::N,бизгәк,காய்ச்சல்
444,Arznei::N,дару,மருந்து
445,Brücke::N,күпер,பாலம்
446,Brunnen::N,кое,கேணி
447,Weide::N,утлавык,மேய்ச்சல் நிலம்
448,Pfad::N,сукмак,நடை வழி
449,Weg::N,юл,வழி
450,Straße::N,урам,சாலை
451,Dorf::N,авыл,கிராமம்
452,Stadt::N,шәһәр,நகரம்
453,Brief::N,хат,கடிதம்
454,Buch::N,китап,புத்தகம்
455,Buchstabe::N,хәреф,எழத்து
456,Zeitung::N,газет,செய்தித்தாள்
457,Zeitung::N,газета,செய்தித்தாள்
458,Leben::N,гомер,வாழ்க்கை
459,Leben::N,тормыш,வாழ்க்கை
460,Leben::N,тереклек,வாழ்க்கை
461,Tod::N,үлем,மரணம்
462,Grab::N,гүр,சமாதி
463,Grab::N,кабер,சமாதி
464,Kirche::N,чиркәү,தேவாலயம்
465,Sünde::N,язык,பாவம்
466,Sünde::N,гөнаһ,பாவம்
467,Gott::N,алла,கடவுள்
468,Gott::N,ходай,கடவுள்
469,Arbeiter::N,эшче,தொழிலாளி
470,Chef::N,башлык,மேலாளர்
471,Meister::N,оста,தலைவன்
472,Arzt::N,врач,மருத்துவர்
473,Arzt::N,табиб,மருத்துவர்
474,Lehrer::N,укытучы,ஆசிரியர்
475,Lehrer::N,мөгаллим,ஆசிரியர்
476,Geld::N,акча,பணம்
477,Geschäft::N,эш,வாணிபம்
478,Laden::N,кибет,கடை
479,Laden::N,магазин,கடை
480,Preis::N,бәя,விலை
481,Preis::N,бәһа,விலை
482,Ware::N,товар,சாமன்கள்
483,Nutzen::N,файда,இலாபம்
484,Reichtum::N,байлык,சொத்து
485,Welt::N,дөнья,உலகம்
486,Land::N,ил,நாடு
487,Staat::N,дәүләт,நாடு
488,König::N,патша,அரசன்
489,Macht::N,хакимият,அதிகாரம்
490,Grenze::N,чик,எல்லை
491,Krieg::N,сугыш,போர்
492,Feind::N,дошман,எதிரி
493,Gewalt::N,көчләү,வன்முறை
494,Kampf::N,көрәш,போராட்டம்
495,Bogen[Waffe]::N,җәя,வில்
496,Pfeil::N,ук,அம்பு
497,Gewehr::N,мылтык,துப்பாக்கி
498,Fehler::N,хата,தவறு
499,Lüge::N,ялган,பொய்
500,Schaden::N,зыян,சேதாரம்
501,Schaden::N,зарар,சேதாரம்
502,Unglück::N,бәла,இடையூறு
503,Schuld::N,гаеп,குற்றம்
504,Alter::N,яшь,வயது
505,Schluss::N,ахыр,முடிவு
506,Zeit::N,заман,காலம்
507,Tag::N,көн,நாள்
508,Morgen::N,иртә,காலை நேரம்
509,Mittag::N,өйлә,மதியம்
510,Abend::N,кич,மாலைப் பொழுது
511,Nacht::N,төн,இரவு
512,Woche::N,атна,வாரம்
513,Monat::N,ай,மாதம்
514,Jahr::N,ел,வருடம்
515,Frühling::N,яз,வசந்தம்
516,Sommer::N,җәй,கோடை
517,Herbst::N,көз,இலையுதிர் காலம்
518,Winter::N,кыш,குளிர்காலம்
519,Januar::N,гыйнвар,ஜனவரி
520,Februar::N,февраль,பிபரவரி மாதம்
521,März::N,март,மார்ச் மாதம்
522,April::N,апрель,ஏப்ரல் மாதம்
523,Mai::N,май,மே மாதம்
524,Juni::N,июнь,ஜூன் மாதம்
525,Juli::N,июль,ஜூலை மாதம்
526,August::N,август,ஆகஸ்ட் மாதம்
527,September::N,сентябрь,செப்டம்பர் மாதம்
528,Oktober::N,октябрь,அக்டோபர் மாதம்
529,November::N,ноябрь,நவம்பர் மாதம்
530,Dezember::N,декабрь,டிசம்பர்
531,Montag::N,дүшәмбе,திங்கட் கிழமை
532,Dienstag::N,сишәмбе,செவ்வாய்க்கிழமை
533,Mittwoch::N,чәршәмбе,புதன் கிழமை
534,Donnerstag::N,атнакич,வியாழக் கிழமை
535,Donnerstag::N,пәнҗешәмбе,வியாழக் கிழமை
536,Freitag::N,җомга,வெள்ளிக்கிழமை
537,Samstag::N,шимбә,சனிக்கிழமை
538,Sonntag::N,якшәмбе,ஞாயிறுக் கிழமை
539,groß::A,зур,பெரிய
540,klein::A,кечкенә,சிறிய
541,lang::A,озын,நீண்ட
542,kurz::A,кыска,குட்டையான
543,breit::A,киң,அகலமான
544,schmal::A,кысык,குறுகலான
545,dicht::A,куе,அடர்த்தியான
546,dick[Gegenstand]::A,калын,தடித்த
547,dünn::A,нечкә,சன்னமான
548,fein::A,нәзакәтле,மெல்லிய
549,fest::A,нык,உறுதியாள
550,flach::A,яссы,தட்டையான
551,flach::A,ялпак,தட்டையான
552,glatt::A,шома,வழுவழுப்பான
553,hart::A,каты,கடினமான
554,weich::A,йомшак,மென்மையான
555,rund::A,түгәрәк,உருண்டையான
556,spitz::A,очлы,திகந்தமாக
557,scharf::A,үткен,கூரான
558,stumpf::A,үтмәс,உளம் திறந்த
559,schwer::A,салмак,கனமான
560,schön::A,гүзәл,அழகான
561,heiß::A,эссе,சூடான
562,warm::A,җылы,இதமான
563,kalt::A,суык,குளிர்ச்சியான
564,kalt::A,салкын,குளிர்ச்சியான
565,kühl::A,салкынча,குளிர்ச்சியான
566,frisch::A,салкынча,சுத்தமான
567,feucht::A,юеш,ஈரமான
568,nass::A,дымлы,ஈரமான
569,trocken::A,коры,உலர்ந்த
570,voll::A,тулы,நிரம்பிய
571,leer::A,буш,காலியான
572,offen::A,ачык,திறந்த
573,geschlossen::A,йомык,மூடப்பட்ட
574,sauber::A,пакь,சுத்தமான
575,sauber::A,чиста,சுத்தமான
576,schmutzig::A,керле,அழக்கான
577,schmutzig::A,пычрак,அழக்கான
578,roh::A,чи,கச்சா
579,reif::A,өлгергән,பழுத்த
580,lecker::A,тәмле,சுவைமிக்க
581,süß::A,татлы,இனிப்பான
582,bitter::A,ачы,கசப்பான
583,sauer::A,әче,புளிப்பாக
584,hell::A,якты,பளபளப்பான
585,dunkel::A,кара,கருமையான
586,schwarz::A,кара,கருப்பு வண்ண
587,weiß::A,ак,வெண்மையன
588,rot::A,кызыл,சிவப்பு
589,gelb::A,сары,மஞ்சள் வண்ணம்
590,blau::A,күк,நீல வண்ண
591,grün::A,яшел,பச்சை வண்ண
592,grau::A,соры,சாம்பல் நிற
593,bunt::A,чуар,வண்ண மயமான
594,billig::A,арзан,மலிவான
595,teuer::A,хаклы,விலை அதிகமான
596,wertvoll::A,кыйммәтле,மதிப்புள்ள
597,blind::A,сукыр,பார்வையற்ற
598,blind::A,күзсез,பார்வையற்ற
599,taub::A,чукрак,செவிடான
600,taub::A,саңгырау,செவிடான
601,kräftig::A,егәрле,வலிமையான
602,stark::A,нык,பலமான
603,stark::A,базык,பலமான
604,schwach::A,зәгыйфь,பலவீனமான
605,fett::A,симез,பருமனாக
606,schlank::A,нәзек,ஒல்லியான
607,hübsch::A,чибәр,அழகிய
608,böse::A,усал,கேடு விளைவிக்கும்
609,dumm::A,акылсыз,முட்டாள்தனமான
610,faul::A,ялкау,சோம்பலான
611,faul::A,иренчәк,சோம்பலான
612,fleißig::A,тырыш,ஊக்கந்தளராத
613,fleißig::A,тырышучан,ஊக்கந்தளராத
614,geizig::A,саран,கஞேசத்தனமான
615,klug::A,акыллы,சாதுரியமான
616,geschickt::A,маһир,திறமையள்ள
617,lieb::A,сөекле,அன்புக்குரிய
618,lustig::A,күңелле,களிப்புமிக்க
619,sanft::A,басынкы,சாதுவான
620,hungrig::A,ач,பசியுடன்
621,krank::A,чирле,நோயுற்று
622,krank::A,сырхау,நோயுற்று
623,nackt::A,шәрә,ஆடையற்ற
624,traurig::A,ямансу,சோகமான
625,lebendig::A,тере,பிழைப்பு
626,gut::A,яхшы,நல்ல
627,schlecht::A,начар,கெட்ட
628,richtig::A,дөрес,சரியான
629,schlimm::A,әшәкә,அருவருப்பான
630,wahr::A,чып-чын,உண்மையான
631,alt::A,иске,பழைய
632,neu::A,яңа,புதிய
633,ehemalig::A,элекке,முன்நாள்
634,alt[Lebewesen]::A,карт,வயதான
635,jung::A,яшь,இளமையான
636,arm::A,фәкыйрь,ஏழ்மையான
637,reich::A,бай,செல்வம் படைத்த
638,bekannt::A,таныш,பழக்கப்பட்ட
639,berühmt::A,атаклы,புகழ்பெற்ற
640,fremd::A,ят,அயல் நாட்டு
641,verschieden::A,төрле,வித்தியாசமான
642,nah::A,якын,பக்கத்தில் உள்ள
643,fern::A,ерак,தொலை தூரத்தில்
644,linker::A,сул,மீந்திருக்கும்
645,rechter::A,уң,வலதுபக்கம்
646,anderer::A,бүтән,மற்ற
647,erster::A,беренче,முதனமையான
648,zweiter::A,икенче,இரண்டாவது
649,dritter::A,өченче,மூன்றாவது
650,letzter::A,ахыргы,கடைசி
651,allein::ADV,ялгыз,தனியாக
652,auf einmal::ADV,бердән,தடீரென்று
653,zusammen::ADV,бергә,சேர்ந்து
654,lange::ADV,озак,அதிக நோம்
655,plötzlich::ADV,искәрмәстән,தடீரென்று
656,sofort::ADV,хәзер,உடனடியாக
657,später::ADV,соңрак,பிறகு
658,jetzt::ADV,хәзер,இப்பொழது
659,heute::ADV,бүген,இன்று
660,morgen::ADV,иртәгә,நாளைக்கு
661,bald::ADV,тиздән,சீக்கிரம்
662,dann::ADV,аннары,அப்பொழுது
663,gestern::ADV,кичә,நேற்று
664,einst::ADV,берчак,ஒரே முறை
665,damals::ADV,ул вакытта,அப்பொழுது
666,damals::ADV,ул чакта,அப்பொழுது
667,danach::ADV,да,பிற்பாடு
668,vorher::ADV,элек,முன்பாக
669,zuerst::ADV,башта,முதலில்
670,einmal::ADV,бер,ஒரே முறை
671,einmal::ADV,бер мәртәбә,ஒரே முறை
672,manchmal::ADV,кайчакта,சில நேரங்களில்
673,oft::ADV,еш,அடிக்கடி
674,immer::ADV,һәркайчан,எப்பொழுதும்
675,niemals::ADV,hичбер вакыт,ஒருபோதும் இல்லை
676,hier::ADV,монда,இங்கே
677,hier::ADV,биредә,இங்கே
678,hierhin::ADV,монда,இவ்விடத்திற்கு
679,von hier::ADV,моннан,இனி
680,dort::ADV,анда,அங்கே
681,dorthin::ADV,тегеләй,அவ்விடத்திற்கு
682,geradeaus::ADV,турыдан-туры,முன்னாலிருக்கும்
