,Concept_ID,xal,ce
247,Grund::N,шалтан,бахьана
248,Wahrheit::N,үнн,бакъдерг
249,Gespräch::N,күүндвүр,къамел
250,Märchen::N,тууль,туьйра
251,Erzählung::N,келвр,дийцар
252,Nachricht::N,медүллһн,хаам
253,Neuigkeit::N,зәңг,керланиг
254,Name::N,нерн,цӏе
255,Rätsel::N,тәәлвртә тууль,хӏетал-метал
256,Rede::N,келлһн,къамел
257,Sprache::N,келн,мотт
258,Stimme::N,дун,aз
259,Wort::N,үг,дош
260,Zeichen::N,темдг,билгало
261,Ruf::N,дуудлһн,кхайкхар
262,Lärm::N,шууган,гӏовгӏа
263,Laut::N,ә,аз
264,Ton::N,дун,aз
265,Lied::N,дун,илли
266,Ruhe::N,амулң,тийналла
267,Leute::N,әмтн,нах
268,Volk::N,улс,халкъ
269,Arbeit::N,көдлмш,болх
270,Gast::N,гиич,хьаша
271,Geschenk::N,белг,совгӏат
272,Spiel::N,наадн,ловзар
273,Gesellschaft::N,олн,юкъаралла
274,Hilfe::N,нөкд,гӏо
275,Freund::N,иньг,доттагl
276,Kamerad::N,үр,накъост
277,Angelegenheit::N,керг,гӏуллакх
278,Anzahl::N,то,терахь
279,Art::N,зүүл,
280,Stück::N,хусг,юьхк
281,Teil::N,хүв,дакъа
282,Hälfte::N,өрәл,ах
283,Kreis::N,төгрг,го
284,Kreuz::N,кирс,жӏара
285,Linie::N,зурасн,сиз
286,Strich::N,татасн,сиз
287,Abstand::N,зә,юкъ
288,Entfernung::N,һазр,
289,Gegend::N,һазр,мeттиг
290,Platz::N,зә,майда
291,Ort::N,бәәрн,меттиг
292,Seite::N,тал,aгӏo
293,Seite::N,хаҗу,aгӏo
294,Seite::N,хәврһ,aгӏo
295,Mitte::N,дунд,юкъ
296,Gegenstand::N,юмн,хӏума
297,Sache::N,юмн,хӏума
298,Rand::N,зах,йист
299,Kante::N,ирмәг,йист
300,Ecke::N,өнцг,са
301,Spitze::N,үзүр,ралла
302,Ende::N,үзүр,юьхьиг
303,Loch::N,хаһрха,ӏуьрг
304,Winkel::N,булң,са
305,Muster::N,намч,дагар
306,Muster::N,намч,тӏамар
307,Größe::N,кемҗән,барам
308,Länge::N,ут,йохалла
309,Höhe::N,өндр,локхалла
310,Gewicht::N,күнд,йозалла
311,Gewicht::N,чиңнүр,йозалла
312,Menge::N,ик,дукхалла
313,Haufen::N,ова,сал
314,Haufen::N,ова,оьла
315,Reihe::N,зерг,рагӏ
316,Reihe::N,зерг,могӏа
317,Reihe::N,зерглән,рагӏ
318,Reihe::N,зерглән,могӏа
319,Boot::N,оңһц,кема
320,Ruder::N,хәәв,пийсиг
321,Schlitten::N,цан,салаз
322,Ski::N,лыҗ,когсалаз
323,Lagerfeuer::N,костёр,цӏе
324,Last::N,күнд,дукъ
325,Gang::N,йовлһн,лелар
326,Schritt::N,ишкм,гӏулч
327,Norden::N,ар үзг,къилбаседе
328,Süden::N,өмн,къилбе
329,Süden::N,өмн үзг,къилбе
330,Westen::N,барун,малхбузе
331,Westen::N,барун үзг,малхбузе
332,Osten::N,зүн,малхбале
333,Osten::N,зүн үзг,малхбале
334,Holz::N,модн,дечиг
335,Brett::N,харһа,у
336,Platte::N,хавтха чолун,у
337,Stütze::N,тулг,гӏopтоp
338,Stange::N,уньн,гӏуркх
339,Stock::N,модн,ӏаса
340,Stab::N,шуург,гӏаж
341,Rohr::N,турва,биргӏа
342,Haus::N,гер,цӏа
343,Heim::N,гер-бул,кхерч
344,Ofen::N,беш,кхерч
345,Fußboden::N,девскр,цӏенкъа
346,Tisch::N,ширә,шун
347,Stuhl::N,стул,гӏант
348,Wiege::N,өлгә,ага
349,Wiege::N,дүүҗң,ага
350,Bett::N,орн,маьнга
351,Bett::N,орндг,маьнга
352,Regal::N,таг,терхи
353,Regal::N,тәвц,терхи
354,Kiste::N,яршг,яьшка
355,Fenster::N,терз,кор
356,Tür::N,үүдн,неӏ
357,Tor::N,үүдн,ков
358,Tor::N,өргн үүдн,ков
359,Tor::N,хашан үүдн,ков
360,Zaun::N,хаша,керт
361,Dach::N,деевр,тхов
362,Leiter::N,шат,лами
363,Leiter::N,давшур,лами
364,Besen::N,сәвүр,нуй
365,Spaten::N,күрз,бел
366,Schaufel::N,совг,аьшкал
367,Gabel::N,серә,мӏара
368,Löffel::N,ухр,ӏайг
369,Messer::N,утх,урс
370,Nagel::N,хадасн,хьостам
371,Netz::N,гөлм,бой
372,Haken::N,дегә,мӏара
373,Griff::N,иш,
374,Griff::N,бәрүл,
375,Schloss::N,оньс,чӏега
376,Bild::N,зург,сурт
377,Figur::N,фигур,
378,Puppe::N,наадһа,тайниг
379,Beutel::N,мишг,гали
380,Bündel::N,багла,кочар
381,Bündel::N,боодһа,кочар
382,Tasche::N,сумк,тӏоьрмиг
383,Eimer::N,суулһ,чийлик
384,Deckel::N,бүркәсн,негӏар
385,Geschirr::N,сав,пхьегӏа
386,Geschirr::N,сав-сарх,пхьегӏа
387,Sack::N,мишг,гали
388,Tasse::N,ааһ,кад
389,Topf::N,кастрюль,яй
390,Kessel::N,хәәсн,яй
391,Essen::N,зоогллһн,юург
392,Nahrung::N,теҗәл,кхача
393,Speise::N,хот,юург
394,Fleisch::N,махн,жижиг
395,Getreide::N,хот болҗ эдлгддг цецгүдтә урһмл,буьртиг
396,Brei::N,хаш,xудар
397,Brot::N,өдмг,бепиг
398,Brot::N,өдмг,кхаллар
399,Scheibe::N,зүсм,цастар
400,Fett::N,өөкн,мохь
401,Butter::N,тосн,налха
402,Öl::N,тосн,даьтта
403,Salz::N,давсн,туьха
404,Suppe::N,шөлн,чорпа
405,Honig::N,бал,моз
406,Milch::N,үсн,шура
407,Tee::N,цә,чай
408,Leder::N,арсн,цӏока
409,Wolle::N,утцн,тӏapгӏa
410,Wolle::N,эд,тӏapгӏa
411,Stoff::N,эд,кӏади
412,Nadel::N,зүн,маха
413,Faden::N,утцн,тай
414,Knopf::N,товч,нуьйда
415,Knoten::N,зәңгдә,шад
416,Farbe::N,будг,сир
417,Farbe::N,будг,басар
418,Kleidung::N,хувцн,бедар
419,Kleidung::N,хувц-хунр,бедар
420,Hemd::N,киилг,коч
421,Kragen::N,зах,кач
422,Ärmel::N,ханцн,пхьош
423,Hose::N,шалвур,хеча
424,Gürtel::N,бүс,доьхка
425,Mütze::N,махла,куй
426,Schuh::N,башмгуд,мача
427,Stiefel::N,һосн,этка
428,Ring::N,билцг,чӏуг
429,Band::N,лент,лента
430,Kamm::N,сам,ехк
431,Spiegel::N,толь,куьзга
432,Riemen::N,бүс,доьхка
433,Schnur::N,деесн,муш
434,Leine::N,бурнтг,кочатосу доьхка
435,Leine::N,нохан көтлвр,кочатосу доьхка
436,Decke::N,көнҗл,юргӏа
437,Kissen::N,дер,гIайба
438,Tuch::N,альчур,исхар
439,Handtuch::N,полотенц,гата
440,Handtuch::N,һар-нүүрин альчур,гата
441,Kraft::N,күчн,гӏора
442,Stärke::N,чидл,гӏап
443,Gesundheit::N,эрүл-менд,могашалла
444,Krankheit::N,өвчн,цамгар
445,Schmerz::N,өвдлһн,лазар
446,Wunde::N,шав,чов
447,Fieber::N,безг,xорша
448,Arznei::N,эм,молха
449,Brücke::N,тагт,тӏай
450,Brunnen::N,худг,гӏу
451,Weide::N,малын идг,дак
452,Pfad::N,цувг,тача
453,Weg::N,хаалһ,некъ
454,Straße::N,зам,урам
455,Dorf::N,хотн,юрт
456,Stadt::N,балһсн,гӏала
457,Brief::N,бичг,кехат
458,Buch::N,дегтр,жайна
459,Buchstabe::N,үзг,элп
460,Zeitung::N,газет,газет
461,Leben::N,җирһл,дахар
462,Tod::N,үкл,далар
463,Tod::N,үкл,ӏожалла
464,Tod::N,өңгрлһн,далар
465,Tod::N,өңгрлһн,ӏожалла
466,Grab::N,оршалһна нүкн,каш
467,Kirche::N,чонҗ,килс
468,Sünde::N,нүл,къа
469,Sünde::N,килнц,къа
470,Gott::N,бурхн,дела
471,Arbeiter::N,көдлмшч,белхало
472,Chef::N,толһач,хьаькам
473,Meister::N,урн,говзанча
474,Arzt::N,эмч,лор
475,Lehrer::N,багш,хьехархо
476,Geld::N,мөңгн,aхча
477,Geschäft::N,көдлмш,туька
478,Laden::N,лавк,туька
479,Preis::N,үн,мах
480,Ware::N,эд-тавр,хlума
481,Nutzen::N,олз,пайда
482,Reichtum::N,зөөр,хьал
483,Welt::N,орчлң,дуьне
484,Welt::N,делкә,дуьне
485,Land::N,орн-нутг,мохк
486,Staat::N,государств,пачхьалкх
487,König::N,хан,паччахь
488,Macht::N,йосн,ӏедал
489,Grenze::N,меҗә,доза
490,Krieg::N,дән,тӏом
491,Feind::N,дәәсн,мостагӏ
492,Gewalt::N,күч һарһлһн,гӏело
493,Kampf::N,ноолдан,къийсам
494,Kampf::N,бәрлдлһн,къийсам
495,Bogen[Waffe]::N,саадг,
496,Pfeil::N,сумн,пха
497,Gewehr::N,бу,топ
498,Fehler::N,алдг,гӏалат
499,Lüge::N,худл,аьшпаш
500,Schaden::N,хорлт,зен
501,Unglück::N,гүрм,бала
502,Schuld::N,гем,бехк
503,Schuld::N,буру,бехк
504,Alter::N,насн,хан
505,Schluss::N,чилгч,чакхе
506,Zeit::N,цаг,хан
507,Tag::N,өдр,де
508,Morgen::N,өрүн,ӏуьйре
509,Mittag::N,үд,делкъе
510,Abend::N,асхн,суьйре
511,Nacht::N,сө,буьйса
512,Woche::N,долан хонг,кӏира
513,Monat::N,сар,бутт
514,Jahr::N,җил,шо
515,Frühling::N,хавр,бӏаьсте
516,Sommer::N,зун,аьхке
