,Concept_ID,br,lbe
113,Festland::N,douar,кьири
114,Meer::N,mor,хьхьири
115,Bucht::N,mor-bihan,
116,Insel::N,enez,жазира
117,Blume::N,bleunienn,тӏутӏи
118,Gras::N,geot,уртту
119,Wurzel::N,gwrizienn,мархха
120,Baum::N,gwezenn,мурхь
121,Stamm::N,kef,ттарцӏ
122,Rinde::N,rusk,ккамара
123,Ast::N,barr,матӏи
124,Zweig::N,bod,къяртта
125,Blatt::N,delienn,чӏапӏи
126,Birke::N,bezvenn,кӏялахӏи
127,Birke::N,bezvenn,кӏялахӏилул мурхь
128,Kiefer[Baum]::N,pinenn,ттар
129,Kiefer[Baum]::N,pinenn,ттарлил мурхь
130,Weide[Baum]::N,halegenn,щавщи
131,Tanne::N,sapenn,ттарлил мурхь
132,Horn::N,korn,хъи
133,Feder::N,pluñv,лелуххул тӏиму
134,Fell::N,kreoñ,бурчу
135,Flügel::N,askell,хъа
136,Flügel::N,askell,ххурупӏайрал тӏиму
137,Klaue::N,skilf,михь
138,Kralle::N,skilf,ххяппа
139,Schwanz::N,lost,магъ
140,Ei::N,vi,ккунук
141,Nest::N,neizh,кюру
142,Bau::N,douarenn,цукъуккутӏ
143,Tier::N,loen,хӏайван
144,Herde::N,tropell,газу
145,Kuh::N,buoc'h,оьл
146,Bulle::N,tarv,ниц
147,Pferd::N,marc'h,чу
148,Schaf::N,dañvad,тта
149,Schwein::N,pemoc'h,дунгъуз
150,Hund::N,ki,ккаччи
151,Katze::N,kazh,ччиту
152,Bär::N,arzh,цуша
153,Eichhörnchen::N,gwiñver,бюрхттукку
154,Elch::N,karv-dour,ниц-бюрин
155,Fuchs::N,louarn,цулчӏа
156,Fuchs::N,louarn,куча цулчӏа
157,Hase::N,gad,бюрх
158,Maus::N,logodenn,кӏулу
159,Wolf::N,bleiz,барцӏ
160,Vogel::N,labous,лелуххи
161,Schwarm::N,nijad,гьухъала
162,Huhn::N,yar,аьнакӏи
163,Hahn::N,kilhog,ажари
164,Gans::N,gwazenn,къаз
165,Adler::N,erer,барзу
166,Ente::N,houad,урдак
167,Eule::N,toud,ису
168,Eule::N,toud,ччиккумяв
169,Kranich::N,garan,кьурукь
170,Krähe::N,bran,хъатӏу
171,Kuckuck::N,koukoug,ччикку
172,Schwan::N,alarc'h,урттил къаз
173,Fisch::N,pesk,чавахъ
174,Barsch::N,brell,
175,Hecht::N,beked,
176,Schlange[Tier]::N,naer,шатта
177,Wurm::N,preñv,кьюнукьай шатта
178,Spinne::N,kevnidenn,ххялцу
179,Ameise::N,merion,митӏикьукьу
180,Laus::N,laouenn,
181,Mücke::N,moustik,мичӏак
182,Fliege::N,kelienenn,зимиз
183,Schmetterling::N,balafenn,чӏимучӏали
184,Beere::N,hog,хӏаллил ахъулсса
185,Apfel::N,aval,гьивч
186,Pilz::N,kabell-touseg,ттуккул иис
187,Zwiebel::N,ognonenn,лаччул чсмусул бакӏ
188,Saat::N,had,гьанна
189,Korn::N,ed,къама
190,Heu::N,foenn,ххулув
191,Schale::N,peliadur,ккиртту
192,Falle::N,pech,къатӏа
193,Schlinge::N,krouglas,хӏатӏ
194,Asche::N,ludu,лах
195,Dreck::N,fank,кьяркьи
196,Dreck::N,fank,венп
197,Eisen::N,houarn,мах
198,Gold::N,aour,муси
199,Silber::N,arc'hant,арцу
200,Kohle::N,glaou,кӏалаш
201,Kohle::N,glaou,хъуручӏ
202,Glas::N,gwer,пюрун
203,Sand::N,traezh,къун
204,Mensch::N,den,инсан
205,Mann::N,den,чув
206,Mann::N,den,адимина
207,Frau::N,maouez,щарсса
208,Frau::N,maouez,хъамитайпа
209,Kind::N,bugel,чӏиви оьрчӏ
210,Junge::N,paotr,оьрчӏ
211,Junge::N,paotr,бурхьин оьрчӏ
212,Mädchen::N,plac'h,душ
213,Familie::N,familh,кулпат
214,Großvater::N,tad-kozh,ттатта
215,Großvater::N,tad-kozh,ниттил ппу
216,Großmutter::N,mamm-gozh,буттал нину
217,Eltern::N,kerent,нину-ппу
218,Vater::N,tad,ппу
219,Mutter::N,mamm,нину
220,Sohn::N,mab,арс
221,Tochter::N,merc'h,душ
222,Bruder::N,breur,уссу
223,Schwester::N,c'hoar,ссу
224,Onkel::N,eontr,буттауссу
225,Tante::N,moereb,буттал ссу
226,Ehemann::N,gwaz,лас
227,Ehefrau::N,gwreg,щар
228,Ehefrau::N,gwreg,щарсса
229,Freude::N,levenez,шадшиву
230,Freude::N,levenez,ххаришиву
231,Gelächter::N,c'hoarzherezh,хъяхъаву
232,Glück::N,chañs,талихӏ
233,Kummer::N,doan,дард
234,Wunsch::N,c'hoant,мурад
235,Lust::N,c'hoant,гьавас
236,Lust::N,c'hoant,ччаву
237,Geist::N,spered,рухӏ
238,Gedanke::N,soñj,пикри
239,Gedächtnis::N,eñvor,дакӏний личӏаву
240,Verstand::N,skiant,аькьлу
241,Sinn::N,ster,мяъна
242,Grund::N,kaoz,багьана
243,Wahrheit::N,gwirionez,тӏайламур
244,Wahrheit::N,gwirionez,хӏакьмур
245,Gespräch::N,kaozeadenn,ихтилат
246,Märchen::N,kaoz korriganez,магьа
247,Erzählung::N,kontadenn,хавар
248,Nachricht::N,keloù,хавар
249,Neuigkeit::N,kelaouenn,хавар
250,Name::N,anv,цӏа
251,Rätsel::N,divinatez,ссигьа
252,Rede::N,diskour,гъалгъа
253,Sprache::N,yezh,маз
254,Stimme::N,mouezh,чӏу
255,Stimme::N,mouezh,чӏукӏа
256,Wort::N,ger,махъ
257,Zeichen::N,sin,лишан
258,Ruf::N,galv,
259,Lärm::N,trouz,чӏу
260,Ton::N,ton,чӏу
261,Lied::N,kanaouenn,балай
262,Ruhe::N,sioulded,дигьалагру
263,Leute::N,tud,инсантал
264,Volk::N,pobl,ил
265,Volk::N,pobl,халкь
266,Arbeit::N,labour,заву
267,Gast::N,kouviad,хъамаличу
268,Geschenk::N,prof,бухчакарши
269,Geschenk::N,prof,лажинккакку
270,Spiel::N,c'hoari,тӏуркӏу
271,Gesellschaft::N,kompagnunezh,жямат
272,Gesellschaft::N,kompagnunezh,ккуран
273,Gesellschaft::N,kavandad,жямат
274,Gesellschaft::N,kavandad,ккуран
275,Hilfe::N,sikour,кумаг
276,Freund::N,mignon,дус
277,Kamerad::N,kamarad,хӏаласу
278,Angelegenheit::N,afer,иш
279,Anzahl::N,niver,аьдад
280,Art::N,sort,жинс
281,Stück::N,tamm,касак
282,Teil::N,pezh,бутӏа
283,Hälfte::N,hanterenn,дачӏи
284,Kreis::N,kelc'h,кюрщан
285,Kreuz::N,kroaz,ххач
286,Linie::N,linenn,щва
287,Strich::N,tenn,щва
288,Abstand::N,distok,манзил
289,Entfernung::N,keid,манзил
290,Entfernung::N,kehid,манзил
291,Gegend::N,korn-bro,кӏану
292,Platz::N,plasenn,
293,Ort::N,lec'h,кӏану
294,Seite::N,tu,чул
295,Seite::N,tu,чулухалу
296,Mitte::N,kreiz,дя
297,Gegenstand::N,tra,зат
298,Sache::N,tra,зат
299,Rand::N,kantenn,зума
300,Kante::N,kantenn,
301,Ecke::N,korn,мурцӏу
302,Spitze::N,begell,мицӏ
303,Ende::N,dibenn,зума
304,Loch::N,toull,ккутӏ
305,Muster::N,tresadenn,накьич
306,Größe::N,ment,
307,Länge::N,hirder,лахъишиву
308,Höhe::N,uhelder,лахъшиву
309,Gewicht::N,pouez,дуццин
310,Gewicht::N,pouez,кӏушиву
311,Menge::N,bern,
312,Haufen::N,bern,бакӏу
313,Reihe::N,steud,кьюкьа
314,Boot::N,bag,луткка
315,Ruder::N,roeñv,весло
316,Ruder::N,roeñv,чӏатӏа
317,Schlitten::N,trainell,чана
318,Schlitten::N,trainell,санкка
319,Ski::N,ski,лижарду
320,Last::N,karg,гьиву
321,Gang::N,kerzh,нанаву
322,Schritt::N,paz,ша
323,Norden::N,norzh,ухссав
324,Norden::N,norzh,ухссавнил чулухалу
325,Norden::N,hanternoz,ухссав
326,Norden::N,hanternoz,ухссавнил чулухалу
327,Süden::N,su,кьилва
328,Süden::N,kreisteiz,кьилва
329,Westen::N,kuzh-heol,баргълагавал
330,Westen::N,kuzh-heol,баргълагавал чул
331,Osten::N,reter,баргъбуккай чулухалу
332,Osten::N,sav-heol,баргъбуккай чулухалу
333,Holz::N,koad,тӏама
334,Brett::N,plankenn,тахта
335,Platte::N,plakenn,гъуни
336,Stütze::N,harp,гьалакӏу
337,Stange::N,sparl,къазихъ
338,Stock::N,bazh,ттархь
339,Stab::N,bazh,ччантӏакъу
340,Rohr::N,tub,бургъу
341,Rohr::N,korz,бургъу
342,Haus::N,ti,къатта
343,Heim::N,kêr,къатта
344,Ofen::N,forn,пач
345,Fußboden::N,plañchod,чӏанкъатта
346,Tisch::N,taol,усттул
347,Stuhl::N,kador,кӏану
348,Wiege::N,kavell,оьрчӏал кӏану
349,Bett::N,gwele,тах
350,Regal::N,estajerenn,чӏаму
351,Kiste::N,kased,яшикӏ
352,Kiste::N,kased,къурши
353,Fenster::N,prenestr,чӏавахьулу
354,Tür::N,dor,нуз
355,Tür::N,dor,нузкьун
356,Tor::N,portal,къапу
357,Tor::N,portal,дарваза
358,Zaun::N,sklotur,дайгьузанну
359,Dach::N,toenn,магъи
360,Dach::N,toenn,цӏиялу
361,Leiter::N,skeul,чуртту
362,Besen::N,skubell,чӏатлу
363,Spaten::N,pal,бил
364,Schaufel::N,pal,чӏатӏа
365,Gabel::N,fourchetez,гьиссилу
366,Löffel::N,loa,къуса
367,Messer::N,kontell,чӏила
368,Nagel::N,tach,мяр
369,Netz::N,roued,къери
370,Haken::N,krog,къича
371,Griff::N,kemer,куяму
372,Schloss::N,potenn,кьункьула
373,Bild::N,skeudenn,сурат
374,Figur::N,skeud,
375,Figur::N,figur,
376,Puppe::N,merc'hodenn,ссихьу
377,Beutel::N,sac'h,чантай
378,Bündel::N,feskenn,гьи
379,Bündel::N,feskenn,къар
380,Tasche::N,sac'h,
381,Eimer::N,sailh,бадра
382,Deckel::N,pallenn,къапаза
383,Geschirr::N,listriaj,пюрунчӏул
384,Geschirr::N,listriaj,тӏахӏникӏичӏу
385,Sack::N,sac'h,къап
386,Sack::N,sac'h,дарваг
387,Tasse::N,tas,пижан
388,Tasse::N,tas,пинжан
389,Tasse::N,tas,инкираччатӏи
390,Tasse::N,tas,цинцилттал бушкъап
391,Topf::N,pod,кӏункӏур
392,Kessel::N,chaodouron,чаг
393,Kessel::N,chaodouron,кӏункӏур
394,Essen::N,pred,дукия
395,Essen::N,pred,дукин
396,Nahrung::N,boued,дукра
397,Speise::N,meuz,дукра
398,Fleisch::N,kig,дикӏ
399,Getreide::N,ed,къама
400,Brei::N,yod,ккурч
401,Brot::N,bara,ччатӏ
402,Scheibe::N,tailhenn,парча
403,Fett::N,lard,аьгъушиву
404,Butter::N,amann,нагь
405,Butter::N,amann,лагаву
406,Öl::N,eoul,
407,Salz::N,holen,цӏву
408,Suppe::N,soubenn,накь
409,Honig::N,mel,ницӏ
410,Milch::N,laezh,накӏ
411,Tee::N,te,чяй
412,Leder::N,lêr,бурчу
413,Wolle::N,gloan,ппал
414,Stoff::N,danvez,янна
415,Nadel::N,nadoz,ххалаххи
416,Faden::N,neudenn,ххал
417,Knopf::N,bouton,банд
418,Knoten::N,skoulm,къурхъ
419,Farbe::N,liv,сир
420,Kleidung::N,dilhad,янна
421,Kleidung::N,dilhad,лаххия
422,Hemd::N,roc'hed,гьухъа
423,Kragen::N,gouzoug,дарвач
424,Ärmel::N,milgin,кахха
425,Hose::N,bragoù,хӏажак
426,Gürtel::N,gouriz,мухӏлу
427,Mütze::N,boned,кьяпа
428,Schuh::N,botez,
429,Stiefel::N,botez,чакма
430,Ring::N,gwalenn,кӏисса
431,Band::N,bagad,линт
432,Kamm::N,krib,ттарал
433,Spiegel::N,melezour,дагьани
434,Riemen::N,lerenn,эн
435,Schnur::N,kordenn,хьхьа
436,Leine::N,roll,
437,Decke::N,golo,виргъан
438,Kissen::N,goubenner,кӏаралу
439,Tuch::N,mezher,карщи
440,Handtuch::N,toailhon,калихьу
441,Handtuch::N,toailhon,лажинлихьу
442,Kraft::N,nerzh,эллаж
443,Stärke::N,nerzhder,гуж
444,Gesundheit::N,yec'hed,цӏуллу-сагъшиву
445,Krankheit::N,klañved,къашайшиву
446,Schmerz::N,poan,къюву
447,Schmerz::N,droug,къюву
448,Wunde::N,gloazadenn,щаву
449,Fieber::N,terzhienn,кӏиришиву
450,Arznei::N,louzoù,дару
451,Brücke::N,pont,ламу
452,Brunnen::N,puñs,къуй
453,Weide::N,prad,бизантту
454,Pfad::N,gwenodenn,жегъир ххуллу
455,Weg::N,hent,ххуллу
456,Straße::N,ru,ххуллу
457,Straße::N,hent,ххуллу
458,Dorf::N,kêr,щар
459,Dorf::N,kêr,шяравалу
460,Dorf::N,kêriadenn,щар
461,Dorf::N,kêriadenn,шяравалу
462,Stadt::N,kêr,шагьру
463,Brief::N,lizher,чагъар
464,Buch::N,levr,лу
465,Buchstabe::N,lizherenn,хӏарп
466,Zeitung::N,kazetenn,кказит
467,Leben::N,buhez,оьрму
468,Tod::N,marv,ажал
469,Tod::N,marv,бивкӏу
470,Tod::N,marv,ивчӏаву
471,Grab::N,bez,гьав
472,Kirche::N,iliz,килиса
473,Sünde::N,pec'hed,бунагъ
474,Gott::N,doue,зал
475,Arbeiter::N,labourer,зузала
476,Arbeiter::N,micherour,зузала
477,Chef::N,penn,ялувма
478,Meister::N,mestr,усттар
479,Arzt::N,mezeg,хӏакин
480,Arzt::N,medisin,хӏакин
481,Lehrer::N,skolaer,учитель
482,Lehrer::N,kelenner,учитель
483,Geld::N,arc'hant,арцу
484,Geschäft::N,stal,даву
485,Laden::N,stal,ттучан
486,Preis::N,priz,багъа
487,Ware::N,marc'hadourezh,хъус
488,Nutzen::N,gounidegezh,хайр
489,Nutzen::N,gounidegezh,мюнпат
490,Nutzen::N,lañs,хайр
491,Nutzen::N,lañs,мюнпат
492,Nutzen::N,profit,хайр
493,Nutzen::N,profit,мюнпат
494,Nutzen::N,spleit,хайр
495,Nutzen::N,spleit,мюнпат
496,Reichtum::N,pinvidigezh,давлат
497,Reichtum::N,pinvidigezh,аваданшиву
498,Welt::N,douar,дуниял
499,Land::N,bro,билаят
500,Staat::N,stad,паччахӏлугъ
501,König::N,roue,
502,Macht::N,galloud,власть
503,Grenze::N,harzoù,дазу
504,Krieg::N,brezel,дяъви
505,Feind::N,eneber,душман
506,Gewalt::N,tâerder,къия
507,Kampf::N,kann,лачӏуи уккаву
508,Bogen[Waffe]::N,gwareg,ккуртта
509,Pfeil::N,saezh,чӏатӏаракӏ
510,Gewehr::N,fuzuilh,ттупанг
511,Fehler::N,fazi,гъалатӏ
512,Lüge::N,gaou,щялмахъ
513,Schaden::N,gwall,зарал
514,Unglück::N,gwalleur,бала
515,Schuld::N,kablusted,тахсир
516,Schuld::N,pec'hedigezh,тахсир
517,Alter::N,oad,оьрму
518,Schluss::N,diwezh,ахир
519,Zeit::N,amzer,чӏун
520,Tag::N,deizh,кьини
521,Morgen::N,beure,кӏюрх
522,Morgen::N,mintin,кӏюрх
523,Mittag::N,kreisteiz,ахттайн
524,Mittag::N,kreisteiz,дяахттайн
525,Mittag::N,kreisteiz,ахттайн чӏун
526,Abend::N,abardaez,маркӏачӏан
527,Nacht::N,noz,хьхьу
528,Woche::N,sizhun,нюжмар
529,Monat::N,miz,барз
530,Jahr::N,bloaz,шин
531,Frühling::N,nevezamzer,инт
532,Sommer::N,hañv,гъи
533,Herbst::N,diskaramzer,ссут
534,Winter::N,goañv,кӏи
535,Januar::N,Genver,цалчинмур барз
536,Februar::N,C'hwevrer,кӏилчинмур барз
537,März::N,Meurzh,шамилчинмур барз
538,April::N,Ebrel,апрель
539,April::N,Ebrel,мукьилчинмур барз
540,Mai::N,Mae,май
541,Mai::N,Mae,ххюлчинмур барз
542,Juni::N,Mezheven,июнь
543,Juni::N,Mezheven,ряххилчинмур барз
544,Juli::N,Gouhere,июль
545,Juli::N,Gouhere,Арулчинмур барз
546,August::N,Eost,мяйлчинмур барз
547,September::N,Gwengolo,урчӏилчинмур барз
548,Oktober::N,Here,ацӏилчинмур барз
549,November::N,Du,ацӏния цалчинмур барз
550,Dezember::N,Kerzu,ацӏния кӏилчинмур барз
551,Montag::N,Lun,итин
552,Montag::N,Lun,итин кьини
553,Dienstag::N,Meurzh,тталат
554,Dienstag::N,Meurzh,тталат кьини
555,Mittwoch::N,Merc'her,арвахӏ
556,Donnerstag::N,Yaou,хамис
557,Freitag::N,Gwener,нюжмар
558,Freitag::N,Gwener,нюжмар кьини
559,Samstag::N,Sadorn,ххуллун
560,Samstag::N,Sadorn,ххуллун кьини
561,Sonntag::N,Sul,алхӏат
562,Sonntag::N,Sul,алхӏат кьини
563,groß::A,bras,бугъарасса
564,klein::A,bihan,чӏивисса
565,lang::A,hir,лахъисса
566,kurz::A,berr,кутӏасса
567,breit::A,ledan,уттасса
568,schmal::A,strizh,уттакӏюласса
569,dicht::A,stank,ццунсса
570,dick[Gegenstand]::A,tev,ганзсса
571,dünn::A,moan,кӏюласса
572,fein::A,munut,
573,fest::A,start,цӏакьсса
574,fest::A,start,кьянкьасса
575,flach::A,plaen,баягъисса
576,flach::A,plaen,цӏубакъасса
577,flach::A,plaen,куртӏ дакъасса
578,glatt::A,lintr,дюрчӏусса
579,glatt::A,levn,дюрчӏусса
580,hart::A,kalet,кьянкьасса
581,weich::A,blot,кӏукӏлусса
582,rund::A,ront,ккурккисса
583,spitz::A,poentet,ярксса
584,spitz::A,poentet,дайлсса
585,spitz::A,poentet,мицӏ бусса
586,scharf::A,dremm,ярксса
587,scharf::A,dremm,дайлсса
588,scharf::A,dremm,мицӏ бусса
589,stumpf::A,talsoc'h,къуркъасса
590,schwer::A,pounner,кӏусса
591,schön::A,kaer,аьнтӏикӏасса
592,heiß::A,tomm,кӏирисса
593,warm::A,tomm,гъелисса
594,kalt::A,yen,дяркъусса
595,kühl::A,yen,дюхлулсса
596,frisch::A,fresk,цӏусса
597,feucht::A,gleb,атилсса
598,feucht::A,gleb,хъавтусса
599,nass::A,gleb,атилсса
600,nass::A,gleb,хъавтусса
601,trocken::A,sec'h,кьавкьсса
602,trocken::A,sec'h,кьакьан бувсса
603,voll::A,leun,бувцӏусса
604,leer::A,goullo,бачӏвасса
605,offen::A,digor,тӏивтӏусса
606,geschlossen::A,serr,лавкьусса
607,sauber::A,naet,марцӏсса
608,schmutzig::A,lous,чапалсса
609,roh::A,kriz,шакъавхьсса
610,reif::A,darev,дирсса
611,lecker::A,lipous,нахӏусса
612,lecker::A,lipous,тӏааьнсса
613,lecker::A,saourus,нахӏусса
614,lecker::A,saourus,тӏааьнсса
615,süß::A,dous,нацӏусса
616,bitter::A,c'hwerv,кьурчӏисса
617,sauer::A,trenk,туршсса
618,hell::A,sklaer,чаннасса
619,dunkel::A,teñval,цӏансса
620,schwarz::A,du,лухӏисса
621,weiß::A,gwenn,кӏяласса
622,rot::A,ruz,ятӏулсса
623,gelb::A,melen,хъахъисса
624,blau::A,glas,някӏсса
625,grün::A,gwer,щюлисса
626,grau::A,louet,оьрусса
627,bunt::A,liesliv,оьрчӏикӏурисса
628,billig::A,marc'had-mat,кьювкьусса
629,teuer::A,ker,ххирасса
630,wertvoll::A,prizius,багьасса
631,blind::A,dall,мурчӏисса
632,taub::A,bouzar,къюкӏсса
633,kräftig::A,start,гужсса
634,stark::A,kreñv,кьянкьасса
635,schwach::A,gwan,заэвсса
636,fett::A,lard,бучсса
637,schlank::A,sinkl,бювхъусса
638,hübsch::A,koant,янусса
639,böse::A,gwall,оьсса
640,dumm::A,glep,ахӏмакьсса
641,faul::A,lezirek,танмалсса
642,faul::A,lezirek,курчӏилсса
643,fleißig::A,studius,хӏарачат бусса
644,geizig::A,tost,янттарцӏансса
645,klug::A,speredek,аькьлу бусса
646,geschickt::A,dornet,паргалсса
647,lieb::A,koant,аьзизсса
648,lustig::A,laouen,тяхъасса
649,sanft::A,flour,иминсса
650,hungrig::A,marnaon,ккашилсса
651,krank::A,klañv,къашавайсса
652,nackt::A,noazh,кӏачӏасса
653,traurig::A,trist,пашмансса
654,lebendig::A,bev,уттавасса
655,gut::A,mad,ххуйсса
656,schlecht::A,fall,оьккисса
657,schlecht::A,gwall,оьккисса
658,richtig::A,reizh,саргъунсса
659,schlimm::A,gwall,оьккисса
660,wahr::A,gwir,хӏакьсса
661,alt::A,kozh,кугьнасса
662,neu::A,nevez,цӏусса
663,ehemalig::A,kozh,хъхъичӏвасса
664,alt[Lebewesen]::A,kozh,агьилсса
665,jung::A,yaouank,чӏавасса
666,jung::A,yaouank,жагьилсса
667,arm::A,paour,мискинсса
668,reich::A,pinvidik,авадансса
669,bekannt::A,anavezet,дусъсса
670,berühmt::A,brudet,машгьурсса
671,fremd::A,dizanav,чил
672,verschieden::A,disheñel,личӏи-личӏисса
673,nah::A,nes,гъансса
674,fern::A,diabell,архсса
675,linker::A,kleiz,кияхсса
676,linker::A,kleiz,кюччахсса
677,rechter::A,dehoù,урчӏахсса
678,anderer::A,all,цамур
679,erster::A,kentañ,цалчинмур
680,erster::A,kentañ,цалчиннсса
681,zweiter::A,eil,кӏилчиимур
682,dritter::A,trede,шамулчинмур
683,letzter::A,diwezhañ,махъва-махъмур
684,allein::ADV,e-unan,ялгъузну
685,auf einmal::ADV,ar un dro,
686,zusammen::ADV,asambles,цачӏу
687,zusammen::ADV,asambles,архӏал
688,lange::ADV,pell,батӏи къабуклай
689,lange::ADV,pell,хъунмасса хӏаллай
690,plötzlich::ADV,en un taol,цакуну
691,sofort::ADV,diouzhtu,мугьлат бакъа
692,später::ADV,diwezhatoc'h,махъ
693,jetzt::ADV,bremañ,утти
694,jetzt::ADV,bremañ,цӏана
695,heute::ADV,hiziv,хӏакьину
696,morgen::ADV,arc'hoazh,гьуит
697,morgen::ADV,arc'hoazh,гьунттий
698,bald::ADV,hepdale,
699,dann::ADV,a-c'houde,яла
700,gestern::ADV,dec'h,лахьхьу
701,einst::ADV,gwechall,
702,damals::ADV,neuze,та чӏумал
703,danach::ADV,goude,яла
704,vorher::ADV,diagent,хьхьнчӏ
705,vorher::ADV,diagent,хьхьичӏва
706,zuerst::ADV,da gentañ,бакӏрай
707,zuerst::ADV,da gentañ,цӏу бутӏуй
708,einmal::ADV,ur wech,цал
709,manchmal::ADV,a-wechoù,ваксса-таксса
710,oft::ADV,alies,чӏявуну
711,immer::ADV,atav,мудан
712,immer::ADV,atav,даиман
713,immer::ADV,bepred,мудан
714,immer::ADV,bepred,даиман
715,niemals::ADV,gwech ebet,тачӏав
716,hier::ADV,amañ,шикку
717,hierhin::ADV,dre amañ,шиккун
718,von hier::ADV,alemañ,шичча
719,dort::ADV,aze,гикку
720,dort::ADV,ahont,гикку
721,dorthin::ADV,di,тиккун
722,dorthin::ADV,aze,тиккун
723,dorthin::ADV,ahont,тиккун
724,geradeaus::ADV,war-eeun,тӏайланм
725,vorwärts::ADV,war-raok,хьхьичӏунмай
726,rückwärts::ADV,war-lerc'h,махъа-хьхьичӏунмай
727,zurück::ADV,war-dreñv,махъунмай
728,unten::ADV,en traoñ,лув
729,hinab::ADV,a-izel,бакӏ-ялавай
730,hinab::ADV,a-izel,бакӏъялавай
731,oben::ADV,en nec'h,ялув
732,hinauf::ADV,e-krec'h,лавай
733,überall::ADV,dre-holl,гьариий
734,überall::ADV,dre-holl,хьу-хьуний
735,überall::ADV,dre-holl,гьарца кӏанай
736,nicht::ADV,ne ... ket,къа-
737,ein wenig::ADV,un tammig,чанни
738,ein wenig::ADV,un tammig,ца чансса
739,kaum::ADV,a-boan,дахьа
