,Concept_ID,no,te
60,Himmel::N,himmel,ఆకాశము
61,Sonne::N,sol,సూర్యుడు
62,Mond::N,måne,చంద్రుడు
63,Stern::N,stjerne,నక్షత్రము
64,Luft::N,luft,గాలి
65,Wind::N,vind,వీచుచున్నగాలి
66,Welle::N,bølge,అల
67,Wasser::N,vann,నీరు
68,Stein::N,stein,ఱాయి
69,Boden::N,bakke,నేల
70,Erde::N,jord,మన్ను
71,Staub::N,støv,దుమ్ము
72,Rauch::N,røyk,పొగ
73,Funke::N,gnist,అగ్నికణము
74,Feuer::N,ild,అగ్ని
75,Licht::N,lys,కాంతి
76,Schatten::N,skygge,నీడ
77,Wetter::N,vær,వాతావరణ స్థితి
78,Nebel::N,tåke,పొగమంచు
79,Wolke::N,sky,మేఘము
80,Regen::N,regn,వాన
81,Schnee::N,snø,హిమము
82,Eis::N,is,మంచుగడ్డ
83,Frost::N,frost,పేరిన మంచు
84,Kälte::N,kulde,చలి
85,Hitze::N,hete,వేడిమి
86,Raureif::N,rimfrost,మంచు
87,Regenbogen::N,regnbue,ఇంద్రధనుస్సు
88,Donner::N,torden,ఉరుము
89,Strömung::N,strømning,ప్రవాహము
90,Tropfen::N,dråpe,చుక్క
91,Schaum::N,skum,నురుగు
92,Schmutz::N,søl,మైల
93,Schmutz::N,skitt,మైల
94,See::N,sjø,సరస్సు
95,Sumpf::N,sump,చిత్తడినేల
96,Sumpf::N,myrlende,చిత్తడినేల
97,Moor::N,myr,చిత్తడినేల
98,Moor::N,myrhei,చిత్తడినేల
99,Wiese::N,eng,పచ్చిక బయలు
100,Wald::N,skog,అడవి
101,Hügel::N,haug,చివ్నకొండ
102,Hügel::N,bakke,చివ్నకొండ
103,Anhöhe::N,haug,కొండ
104,Anhöhe::N,bakke,కొండ
105,Berg::N,berg,పర్వతము
106,Berg::N,fjell,పర్వతము
107,Gipfel::N,topp,శిఖరము
108,Höhle::N,hule,గుహ
109,Abhang::N,li,ఏటవాలు
110,Abhang::N,skråning,ఏటవాలు
111,Quelle::N,kilde,మూలము
112,Bach::N,bekk,కాలువ
113,Fluss::N,elv,నది
114,Ufer::N,bredd,తీరము
115,Küste::N,kyst,తీరము
116,Festland::N,fastland,భూమి
117,Meer::N,hav,సముద్రము
118,Bucht::N,bukt,మరుగు
119,Insel::N,øy,దీవి
120,Blume::N,blomst,పుష్పము
121,Gras::N,gress,పచ్చగడ్డి
122,Wurzel::N,rot,వేరు
123,Baum::N,tre,చెట్టు
124,Stamm::N,stamme,చెట్టుబోదె
125,Rinde::N,bark,చెట్టుపట్ట
126,Ast::N,gren,కొమ్మ
127,Zweig::N,kvist,చివుకు
128,Blatt::N,blad,ఆకు
129,Birke::N,bjørk,తరహా చెట్టు
130,Kiefer[Baum]::N,furu,దేవదారు చెట్టు
131,Weide[Baum]::N,selje,జాతిచెట్టు
132,Weide[Baum]::N,piletre,జాతిచెట్టు
133,Tanne::N,gran,దేవదారుచెట్టు
134,Horn::N,horn,కొమ్ము
135,Feder::N,fjær,ఈక
136,Fell::N,skinn,తోలు
137,Flügel::N,vinge,ఱెక్క
138,Klaue::N,klauv,వంకరగోరు
139,Kralle::N,klo,వంకరగోరు
140,Schwanz::N,hale,తోక
141,Ei::N,egg,గ్రుడ్డు
142,Nest::N,rede,పక్షిగూడు
143,Bau::N,hi,గుహ
144,Tier::N,dyr,జంతువు
145,Herde::N,flokk,మంద
146,Kuh::N,ku,ఆవు
147,Bulle::N,tyr,గిత్త
148,Pferd::N,hest,గుఱ్ఱము
149,Schaf::N,får,గొఱ్ఱె
150,Schwein::N,gris,పంది
151,Hund::N,hund,కుక్క
152,Katze::N,katt,పిల్లి
153,Bär::N,bjørn,ఎలుగుబంటి
154,Eichhörnchen::N,ekorn,ఉడుత
155,Elch::N,elg,కణంజు
156,Fuchs::N,rev,గుంటనక్క
157,Hase::N,hare,కుందేలు
158,Maus::N,mus,చిట్టెలుక
159,Wolf::N,ulv,తోడేలు
160,Wolf::N,varg,తోడేలు
161,Vogel::N,fugl,పక్షి
162,Schwarm::N,sverm,గుంపు
163,Huhn::N,høne,కోడిపిల్ల
164,Hahn::N,hane,కోడివుంజు
165,Gans::N,gås,ఆడుబాతు
166,Adler::N,ørn,గ్రద్ద
167,Ente::N,and,పాట్టిబాతు
168,Eule::N,ugle,గ్రుడ్లగూబ
169,Kranich::N,trane,కొంగ
170,Krähe::N,kråke,కాకి
171,Kuckuck::N,gjøk,కోయల
172,Schwan::N,svane,హంస
173,Fisch::N,fisk,చేప
174,Barsch::N,abbor,ఒకచేఁప
175,Hecht::N,gjedde,గండుమీను
176,Schlange[Tier]::N,orm,పాము
177,Schlange[Tier]::N,slange,పాము
178,Wurm::N,orm,పురుగు
179,Wurm::N,mark,పురుగు
180,Spinne::N,edderkopp,సాలె పురుగు
181,Ameise::N,maur,చీమ
182,Laus::N,lus,పేను
183,Mücke::N,mygg,చీకటీగ
184,Fliege::N,flue,ఈగ
185,Schmetterling::N,sommerfugl,సీతాకోకచిలుక
186,Beere::N,bær,కాయ
187,Apfel::N,eple,ఆపిల్ పండు
188,Pilz::N,sopp,కుక్కగొడుగు
189,Zwiebel::N,løk,నీరుల్లి
190,Saat::N,sæd,విత్తనము
191,Korn::N,korn,గింజ
192,Heu::N,høy,ఎండుగడ్డి
193,Schale::N,skall,పొట్టు
194,Grube::N,grop,గొయ్యి
195,Falle::N,felle,బోను
196,Schlinge::N,snare,ఉరి
197,Spur::N,spor,జాడ
198,Asche::N,aske,బూడిద
199,Dreck::N,møkk,ముఱికి
200,Dreck::N,skitt,ముఱికి
201,Eisen::N,jern,ఇనుము
202,Gold::N,gull,బంగారము
203,Silber::N,sølv,వెండి
204,Kohle::N,kol,నేలబొగ్గు
205,Kohle::N,kull,నేలబొగ్గు
206,Glas::N,glass,గాజు
207,Lehm::N,leire,బంకమన్ను
208,Sand::N,sand,ఇసుక
209,Mensch::N,menneske,నరుడు
210,Mann::N,mann,పురుమడు
211,Frau::N,kvinne,ఆడుది
212,Kind::N,barn,బిడ్డ
213,Junge::N,gutt,బాలుడు
214,Mädchen::N,pike,బాలిక
215,Mädchen::N,jente,బాలిక
216,Familie::N,familie,కుటుంబము
217,Großvater::N,bestefar,తాత
218,Großmutter::N,bestemor,అయ్యమ్మ
219,Eltern::N,foreldre,తల్లితండ్రులు
220,Vater::N,far,తండ్రి
221,Mutter::N,mor,తల్లి
222,Sohn::N,sønn,కొడుకు
223,Tochter::N,datter,కూతురు
224,Bruder::N,bror,పోదరుడు
225,Schwester::N,søster,సోదరి
226,Onkel::N,onkel,మేనమామ
227,Tante::N,tante,మేనత్త
228,Tante::N,tante,పినతల్లి
229,Ehemann::N,ektemann,భర్త
230,Ehefrau::N,hustru,భార్య
231,Freude::N,glede,సంతోషము
232,Gelächter::N,latter,నవ్వు
233,Glück::N,lykke,సంతోషము
234,Kummer::N,sorg,దుఃఖము
235,Wunsch::N,ønske,కోరిక
236,Lust::N,lyst,కోరిక
237,Geist::N,ånd,ఆత్మ
238,Gedanke::N,tanke,ఆలోచన
239,Gedächtnis::N,minne,జ్ఞాపకము
240,Gedächtnis::N,hukommelse,జ్ఞాపకము
241,Verstand::N,forstand,మనస్సు
242,Sinn::N,mening,అర్థము
243,Sinn::N,betydning,అర్థము
244,Grund::N,grunn,కారణము
245,Wahrheit::N,sannhet,సత్యము
246,Gespräch::N,samtale,పంభాషణ
247,Märchen::N,eventyr,అద్భుతకథ
248,Erzählung::N,fortelling,కథ
249,Nachricht::N,melding,వార్త
250,Neuigkeit::N,nyhet,వార్త
251,Name::N,navn,పేరు
252,Rätsel::N,gåte,చిక్కు
253,Rede::N,tale,ఉపన్యాసము
254,Sprache::N,språk,భాష
255,Stimme::N,stemme,కంరథ్సని
256,Wort::N,ord,మాట
257,Zeichen::N,tegn,గుర్తు
258,Ruf::N,rop,పిలువు
259,Lärm::N,bråk,సందడి
260,Laut::N,lyd,ధ్వని
261,Ton::N,tone,స్వరము
262,Lied::N,vise,పాట
263,Ruhe::N,ro,గాలిలేమి
264,Leute::N,folk,జనులు
265,Volk::N,folk,జాతి
266,Arbeit::N,arbeid,పని
267,Gast::N,gjest,అతిధి
268,Geschenk::N,gave,దానము
269,Spiel::N,lek,ఆట
270,Spiel::N,spill,ఆట
271,Gesellschaft::N,selskap,జట్టు
272,Hilfe::N,hjelp,సాహాయ్యము
273,Freund::N,venn,స్నేహితుడు
274,Kamerad::N,kamerat,చెలికాడు
275,Angelegenheit::N,sak,విషయము
276,Angelegenheit::N,anliggende,విషయము
277,Anzahl::N,antall,లెక్క
278,Art::N,art,జాతి
279,Art::N,slag,జాతి
280,Stück::N,stykke,తునుక
281,Teil::N,del,భాగము
282,Hälfte::N,halvdel,సగము
283,Kreis::N,ring,వృత్తము
284,Kreis::N,sirkel,వృత్తము
285,Kreuz::N,kors,సిలువ
286,Kreuz::N,kryss,సిలువ
287,Linie::N,linje,గీత
288,Strich::N,strek,గీత
289,Abstand::N,avstand,సందు
290,Entfernung::N,avstand,దూరము
291,Gegend::N,strøk,విస్తీర్ణము
292,Platz::N,plass,ఎడము
293,Ort::N,sted,స్థలము
294,Seite::N,side,ప్రక్క
295,Mitte::N,midte,నడిమి
296,Gegenstand::N,gjenstand,పద్దు
297,Sache::N,sak,వస్తువు
298,Rand::N,rand,అంచు
299,Kante::N,kant,అంచు
300,Ecke::N,hjørne,మూల
301,Spitze::N,spiss,మొన
302,Ende::N,ende,కొన
303,Loch::N,hull,రంధ్రము
304,Winkel::N,vinkel,కోణము
305,Muster::N,mønster,మాదిరి
306,Größe::N,størrelse,పరిమాణము
307,Länge::N,lengde,పొడుగు
308,Höhe::N,høyde,పొడుగు
309,Gewicht::N,vekt,భారము
310,Menge::N,mengde,మొత్తము
311,Haufen::N,haug,రాశి
312,Haufen::N,bunke,రాశి
313,Reihe::N,rekke,వరుస
314,Boot::N,båt,పడవ
315,Ruder::N,åre,అడక
316,Schlitten::N,slede,సరవండ్లు
317,Schlitten::N,kjelke,సరవండ్లు
318,Ski::N,ski,స్కీ
319,Lagerfeuer::N,leirbål,నెగడు
320,Last::N,bør,బరువు
321,Last::N,last,బరువు
322,Gang::N,gang,నడక
323,Schritt::N,steg,అడుగు
324,Schritt::N,skritt,అడుగు
325,Norden::N,nord,ఉత్తరదిక్కు
326,Süden::N,sør,దక్షిణము
327,Westen::N,vest,పడమర
328,Osten::N,øst,తూర్పు
329,Holz::N,tre,కొయ్య
330,Brett::N,fjøl,పలక
331,Brett::N,brett,పలక
332,Platte::N,plate,పలక
333,Stütze::N,støtte,వాల్సేడ్లు
334,Stange::N,stang,స్తంభము
335,Stock::N,pinne,కఱ్ఱ
336,Stab::N,stav,కఱ్ఱ
337,Stab::N,kjepp,కఱ్ఱ
338,Rohr::N,rør,గొట్టము
339,Haus::N,hus,ఇల్లు
340,Heim::N,hjem,స్వగృహము
341,Ofen::N,ovn,పొయ్యి
342,Fußboden::N,gulv,నేల
343,Tisch::N,bord,మేజా
344,Stuhl::N,stol,కుర్చీ
345,Wiege::N,vogge,ఉయ్యాల
346,Bett::N,seng,పడక
347,Bett::N,seng,మంచం
348,Regal::N,reol,అటక
349,Regal::N,hylle,అటక
350,Kiste::N,kasse,వెట్టె
351,Fenster::N,vindu,కిటికి
352,Tür::N,dør,ద్వారము
353,Tor::N,port,ద్వారము
354,Zaun::N,gjerde,కంచె
355,Dach::N,tak,ఇంటివైకప్పు
356,Leiter::N,stige,నిచ్చెన
357,Besen::N,kost,చీపురుకట్ట
358,Spaten::N,spade,పాఱ
359,Schaufel::N,skuffe,పాఱ
360,Gabel::N,gaffel,ముండ్లగరిటె
361,Löffel::N,skje,గరిటె
362,Messer::N,kniv,కత్తి
363,Nagel::N,spiker,మేకు
364,Netz::N,nett,వల
365,Haken::N,krok,కొక్కెము
366,Griff::N,tak,పిడి
367,Griff::N,håndtak,పిడి
368,Schloss::N,lås,తాళము
369,Bild::N,bilde,చిత్రము
370,Figur::N,figur,రూపము
371,Puppe::N,dukke,బొమ్మ
372,Beutel::N,pose,సంచి
373,Bündel::N,bylt,మూట
374,Tasche::N,veske,సంచి
375,Eimer::N,bøtte,చేద
376,Deckel::N,lokk,మూత
377,Geschirr::N,kjøkkentøy,వంటకాలు
378,Sack::N,sekk,గోనెసంచి
379,Tasse::N,kopp,గిన్నె
380,Topf::N,gryte,కుండ
381,Kessel::N,kjele,నీరుకాచుపాత్ర
382,Essen::N,mål,ఆహారము
383,Nahrung::N,mat,ఆహారము
384,Nahrung::N,næring,ఆహారము
385,Speise::N,matrett,ఆహారము
386,Fleisch::N,kjøtt,మాంసము
387,Getreide::N,korn,ధాన్యము
388,Brei::N,grøt,గుజ్జు
389,Brot::N,brød,రొట్టె
390,Scheibe::N,skive,బద్ద
391,Fett::N,fett,క్రొవ్వు
392,Butter::N,smør,వెన్న
393,Öl::N,olje,నూనె
394,Salz::N,salt,ఉప్పు
395,Suppe::N,suppe,చారు
396,Honig::N,honning,తెనె
397,Milch::N,melk,పాలు
398,Tee::N,te,తేనీరు
399,Leder::N,lær,బాగుచేసివతోలు
400,Leder::N,skinn,బాగుచేసివతోలు
401,Wolle::N,ull,ఉన్ని
402,Stoff::N,tøy,బట్ట
403,Stoff::N,stoff,బట్ట
404,Nadel::N,nål,సూది
405,Faden::N,tråd,దారము
406,Knopf::N,knapp,బొత్తాము
407,Knoten::N,knute,ముడి
408,Farbe::N,farge,రంగు
409,Kleidung::N,påkledning,బట్టలు
410,Hemd::N,skjorte,చొక్కాయ
411,Kragen::N,krage,మాల
412,Ärmel::N,erme,చొక్కాయచెయ్యి
413,Hose::N,bukse,ఇజారు
414,Gürtel::N,belte,పటకా
415,Mütze::N,lue,టోపి
416,Schuh::N,sko,పాదరక్ష
417,Stiefel::N,støvel,బూటు
418,Ring::N,ring,ఉంగరము
419,Band::N,band,నాడా
420,Kamm::N,kam,దువ్వెన
421,Spiegel::N,speil,అద్దము
422,Riemen::N,rem,వాడా
423,Schnur::N,snor,దారము
424,Leine::N,line,వారు
425,Decke::N,teppe,కంబళి
426,Kissen::N,pute,తలగడ
427,Tuch::N,tøy,బట్ట
428,Handtuch::N,håndkle,తువాలు
429,Kraft::N,kraft,బలము
430,Stärke::N,styrke,శక్తి
431,Gesundheit::N,helse,ఆరోగ్యము
432,Gesundheit::N,sunnhet,ఆరోగ్యము
433,Krankheit::N,syke,రోగము
434,Krankheit::N,sykdom,రోగము
435,Schmerz::N,smerte,నొప్పి
436,Wunde::N,sår,గాయము
437,Fieber::N,feber,జ్వరము
438,Arznei::N,medisin,మందు
439,Arznei::N,legemiddel,మందు
440,Brücke::N,bro,వంతెన
441,Brunnen::N,brønn,బావి
442,Brunnen::N,brønn,కూపము
443,Brunnen::N,brønn,నుయ్యి
444,Weide::N,beite,పచ్చికబయలు
445,Pfad::N,sti,కాలిత్రోవ
446,Weg::N,vei,మార్గము
447,Straße::N,gate,బాట
448,Dorf::N,landsby,గ్రామము
449,Stadt::N,by,పట్టణము
450,Brief::N,brev,జాబు
451,Buch::N,bok,పుస్తకము
452,Buchstabe::N,bokstav,అక్షరము
453,Zeitung::N,avis,వార్తాపత్రిక
454,Leben::N,liv,ప్రాణము
455,Tod::N,død,మరణము
456,Grab::N,grav,సమాధి
457,Kirche::N,kirke,క్రెస్తవులగుడి
458,Sünde::N,synd,పాపము
459,Gott::N,gud,దేవుడు
460,Arbeiter::N,arbeider,పనిపాటుచేశేవాడు
461,Chef::N,sjef,యజమానుడు
462,Meister::N,mester,కళాకారుడు
463,Arzt::N,lege,వైద్యుడు
464,Lehrer::N,lærer,ఉపాధ్యాయుడు
465,Geld::N,penger,ద్రవ్యము
466,Geschäft::N,forretning,వ్యాపారము
467,Laden::N,butikk,అంగడి
468,Preis::N,pris,వెల
469,Ware::N,vare,సరకులు
470,Nutzen::N,nytte,ప్రయోజనము
471,Reichtum::N,rikdom,ధనము
472,Welt::N,verden,ప్రపంచము
473,Land::N,land,దేశము
474,Staat::N,stat,రాజ్యము
475,König::N,konge,రాజు
476,Macht::N,makt,అధికారము
477,Grenze::N,grense,సరిహద్దు
478,Krieg::N,krig,యుద్ధము
479,Feind::N,fiende,శత్రువు
480,Gewalt::N,vold,దౌర్జన్యము
481,Kampf::N,kamp,పోట్లాట
482,Bogen[Waffe]::N,bue,విల్లు
483,Pfeil::N,pil,బాణము
484,Gewehr::N,gevær,తుపాకి
485,Fehler::N,feil,తప్ప
486,Lüge::N,løgn,అసత్యము
487,Schaden::N,skade,నష్టము
488,Unglück::N,uhell,దురదృష్టము
489,Schuld::N,skyld,తప్పు
490,Alter::N,alder,వయస్సు
491,Schluss::N,slutt,ముగింపు
492,Zeit::N,tid,కాలము
493,Tag::N,dag,దినము
494,Morgen::N,morgen,ఉదయము
495,Mittag::N,middag,మధ్యాహ్నము
496,Abend::N,aften,సాయంకాలము
497,Nacht::N,natt,రత్రి
498,Woche::N,uke,వారము
499,Monat::N,måned,నెల
500,Jahr::N,år,సంవత్సరము
501,Frühling::N,vår,వసంతకాలము
502,Sommer::N,sommer,వేసవికాము
503,Herbst::N,høst,ఆకురాలుకాలము
504,Winter::N,vinter,శీతకాలము
505,Januar::N,januar,జనవరి
506,Februar::N,februar,ఫిబ్రవరి
507,März::N,mars,మార్చి
508,April::N,april,ఏప్రిలు
509,Mai::N,mai,మే
510,Juni::N,juni,జూన్
511,Juli::N,juli,జూలై
512,August::N,august,ఆగస్టు
513,September::N,september,సెప్ఠెంబరు
514,Oktober::N,oktober,అక్టోబరు
515,November::N,november,నవంబరు
516,Dezember::N,desember,డిసెంబర్
517,Montag::N,mandag,సోమవారము
518,Dienstag::N,tirsdag,మంగళవారము
519,Mittwoch::N,onsdag,బుధవారము
520,Donnerstag::N,torsdag,గురువారము
521,Freitag::N,fredag,శుక్రవారము
522,Samstag::N,lørdag,శనివారము
523,Sonntag::N,søndag,ఆదివారము
524,groß::A,stor,గొప్పైన
525,klein::A,liten,చిన్న
526,lang::A,lang,పొడుగాటి
527,kurz::A,kort,పొట్టి
528,breit::A,bred,వెడల్పైన
529,schmal::A,smal,ఇఱుకైన
530,dicht::A,tett,దట్టమైన
531,dick[Gegenstand]::A,tykk,దట్టమైన
532,dünn::A,tynn,పలుచని
533,fein::A,fin,నాజాకైన
534,fest::A,fast,దృడమైవ
535,flach::A,flat,చదువైన
536,glatt::A,glatt,నున్నని
537,hart::A,hard,కఠినమైన
538,weich::A,myk,మృదువైన
539,weich::A,bløt,మృదువైన
540,rund::A,rund,గుండ్రని
541,spitz::A,spiss,మొనగల
542,scharf::A,kvass,పదనైన
543,stumpf::A,stubb,వాడిలేని
544,schwer::A,tung,బరువ్తెన
545,schön::A,pen,సుందరమైన
546,schön::A,vakker,సుందరమైన
547,heiß::A,het,వేడియైన
548,warm::A,varm,వెచ్చని
549,kalt::A,kald,చల్లని
550,kühl::A,kjølig,చల్లని
551,frisch::A,fersk,తాజాయైన
552,feucht::A,fuktig,చెమ్మగానున్న
553,nass::A,våt,తడిగామన్న
554,trocken::A,tørr,ఎండిన
555,voll::A,full,నిండు
556,leer::A,tom,శూన్యమైన
557,offen::A,åpen,తెఱచియున్న
558,geschlossen::A,lukket,మూసిన
559,sauber::A,ren,పరిశుద్ధమైన
560,schmutzig::A,skitten,ముఱికియైన
561,roh::A,rå,పచ్చి
562,reif::A,moden,పండివ
563,lecker::A,lekker,రుచి గల
564,süß::A,søt,తియ్యని
565,bitter::A,besk,చేదైన
566,bitter::A,bitter,చేదైన
567,sauer::A,sur,పుల్లని
568,hell::A,lys,కాంతిగల
569,dunkel::A,mørk,చీకటియైన
570,schwarz::A,svart,నల్లని
571,weiß::A,hvit,తెలుపు
572,rot::A,rød,ఎఱ్ఱని
573,gelb::A,gul,పసుపు పచ్చ
574,blau::A,blå,నీలవర్ణము
575,grün::A,grønn,ఆకుపచ్చని
576,grau::A,grå,నెరిసిన
577,bunt::A,broket,రంగేలీ
578,billig::A,billig,చౌకయైన
579,teuer::A,dyr,వెలపొడుగైన
580,wertvoll::A,verdifull,విలుప్తెన
581,blind::A,blind,గ్రుడ్డి
582,taub::A,døv,చెవిటి
583,kräftig::A,kraftig,శక్తి గల
584,stark::A,sterk,బలమైన
585,schwach::A,svak,బలహీనమైన
586,fett::A,fet,క్రొవ్విన
587,schlank::A,slank,సన్నని
588,hübsch::A,pen,సాగప్తెన
589,böse::A,slem,చెడ్డ
590,dumm::A,dum,తెలివిలేని
591,faul::A,lat,సోమరియైన
592,faul::A,doven,సోమరియైన
593,fleißig::A,flittig,శ్రద్దగల
594,geizig::A,gjerrig,పిసినారియైన
595,klug::A,klok,తెలివిగల
596,geschickt::A,hendig,నిపుణతగల
597,geschickt::A,skikket,నిపుణతగల
598,lieb::A,kjær,ప్రియమైన
599,lieb::A,snill,ప్రియమైన
600,lustig::A,morsom,ఉల్లాసము గల
601,sanft::A,blid,సాధువైన
602,hungrig::A,sulten,ఆకలిగొనిన
603,krank::A,syk,వ్యాధిగల
604,nackt::A,naken,దిగంబరమైన
605,traurig::A,sørgmodig,విచారముగల
606,lebendig::A,levende,ప్రాణముతో నున్న
607,gut::A,god,మంచి
608,schlecht::A,dårlig,చెడ్డ
609,richtig::A,riktig,సరియైన
610,schlimm::A,slem,అసహ్యమైన
611,wahr::A,sann,నిజమైన
612,alt::A,gammel,ముసలి
613,neu::A,ny,క్రొత్త
614,ehemalig::A,forhenværende,పూర్వపు
615,alt[Lebewesen]::A,gammel,ముసలి
616,jung::A,ung,పసి
617,arm::A,fattig,బీద
618,reich::A,rik,ధనవంతుడైన
619,bekannt::A,kjent,తెలిసిన
620,berühmt::A,berømt,ప్రపిద్దికెక్కివ
621,fremd::A,fremmed,అన్యమైన
622,verschieden::A,forskjellig,భేదమైన
623,nah::A,nær,దగ్గఱనున్న
624,fern::A,fjern,దూరమందున్న
625,linker::A,venstre,ఎడమప్రక్కగ
626,rechter::A,høyre,కుడి
627,anderer::A,annen,వేఱ్తెన
628,erster::A,første,మొదటి
629,zweiter::A,annen,రెండన
630,dritter::A,tredje,మూడో
631,letzter::A,sist,కడపటి
632,allein::ADV,alene,ఒంటిగా
633,auf einmal::ADV,med ett,హరాత్తుగ
634,zusammen::ADV,sammen,కలిసి
635,lange::ADV,lenge,బహుకాలము
636,plötzlich::ADV,plutselig,హరాత్తుగ
637,sofort::ADV,straks,తక్షణము
638,später::ADV,senere,ఇటీవలి
639,jetzt::ADV,nå,ఇప్పుడు
640,heute::ADV,i dag,నేడు
641,morgen::ADV,i morgen,ఱేపు
642,bald::ADV,snart,శీఘ్రముగ
643,dann::ADV,så,అప్పుడు
644,gestern::ADV,i går,నిన్నటి దినము
645,einst::ADV,engang,పూర్వమొకప్పుడు
646,damals::ADV,den gang,అప్పుడు
647,danach::ADV,deretter,అప్పుడు
648,vorher::ADV,før,ఎదుట
649,vorher::ADV,i forveien,ఎదుట
650,zuerst::ADV,først,మొదటిలో
651,einmal::ADV,en gang,ఒకసారి
652,manchmal::ADV,somme tider,అప్పటప్పటికి
653,oft::ADV,ofte,తఱచుగా
654,immer::ADV,alltid,ఎల్లప్పుడు
655,niemals::ADV,aldri,ఎప్పుడునులేదు
656,hier::ADV,her,ఇక్కడ
657,hierhin::ADV,hit,ఇక్కడకు
658,von hier::ADV,herfra,ఇక్కడనుండి
659,dort::ADV,der,అక్కడ
660,dorthin::ADV,dit,అక్కడికి
661,geradeaus::ADV,rett fram,సూటిగా
662,vorwärts::ADV,fram,ముందుకు
663,vorwärts::ADV,framover,ముందుకు
664,rückwärts::ADV,baklengs,వెనుకకు
665,zurück::ADV,tilbake,వెనుకభాగము
666,unten::ADV,nede,క్రింద
667,hinab::ADV,ned,కిందికి
668,hinab::ADV,nedover,కిందికి
669,oben::ADV,oppe,మీద
670,oben::ADV,ovenpå,మీద
671,hinauf::ADV,opp,పైకి
672,hinauf::ADV,oppover,పైకి
673,überall::ADV,overalt,అంతటా
674,nicht::ADV,ikke,కాదు
675,ein wenig::ADV,litt,కొంచెము
676,kaum::ADV,neppe,చాలిచాలక
677,sehr::ADV,svært,చాల
678,so::ADV,så,ఆలాగున
679,noch::ADV,enda,ఇప్పటికిని
680,nur::ADV,bare,మాత్రము
681,schon::ADV,alt,ఇదివఱకే
682,schon::ADV,allerede,ఇదివఱకే
683,wieder::ADV,igjen,తిరిగి
684,vergebens::ADV,forgjeves,నిష్ఫలముగా
685,vor::PRP,foran,ముందు
686,vor::PRP,utenfor,ముందు
687,hinter::PRP,bak,వెనుక
688,hinter::PRP,bakom,వెనుక
689,unter::PRP,under,క్రింద
690,durch::PRP,gjennom,ద్వారా
691,durch::PRP,igjennom,ద్వారా
692,neben::PRP,ved siden av,దగ్గెర
693,zwischen::PRP,mellom,మధ్య
694,wegen::PRP,på grunn av,కారణంగా
695,dies::PRN,dette,ఇది
696,das::PRN,det,అది
697,alles::PRN,alt,సకలము
698,ich::PRN,jeg,నేను
699,du::PRN,du,నీవు
700,er::PRN,han,అతడు
701,wir::PRN,vi,మనము
702,ihr::PRN,dere,మీరు
703,sie::PRN,de,వారు
704,was::FPRN,hva,ఏమి
705,wer::FPRN,hvem,ఎవడు
706,wo::FADV,hvor,ఎక్కడ
707,wohin::FADV,hvor ... hen,ఎందుకు
708,wie::FADV,hvordan,ఎట్టు
709,warum::FADV,hvorfor,ఏల
710,wieviel::FNUM,hvor mye,ఎంత
711,eins::NUM,en,ఒకటి
712,eins::NUM,ett,ఒకటి
