,Concept_ID,is,ro
276,Sohn::N,sonur,fecior
277,Tochter::N,dóttir,fiică
278,Bruder::N,bróðir,frate
279,Schwester::N,systir,soră
280,Onkel::N,föðurbróðir,unchi
281,Tante::N,frænka,mătușă
282,Tante::N,móðursystir,mătușă
283,Ehemann::N,eiginmaður,soț
284,Ehemann::N,eiginmaður,bărbat
285,Ehefrau::N,eiginkona,soție
286,Freude::N,gleði,bucurie
287,Gelächter::N,hlátur,râset
288,Glück::N,gæfa,fericire
289,Kummer::N,sorg,mâhnire
290,Wunsch::N,ósk,dorință
291,Wunsch::N,ósk,deziderat
292,Lust::N,fýsn,poftă
293,Lust::N,fýsn,înclinare
294,Lust::N,löngun,poftă
295,Lust::N,löngun,înclinare
296,Geist::N,andi,duh
297,Geist::N,andi,minte
298,Geist::N,andi,suflet
299,Gedanke::N,hugsun,gând
300,Gedanke::N,hugsun,cuget
301,Gedächtnis::N,minni,memorie
302,Verstand::N,vit,minte
303,Verstand::N,vit,intelect
304,Sinn::N,merking,sens
305,Sinn::N,merking,înțeles
306,Grund::N,ástæða,cauză
307,Grund::N,ástæða,pricină
308,Wahrheit::N,sannleikur,adevăr
309,Gespräch::N,samtal,convorbire
310,Gespräch::N,samtal,conversație
311,Märchen::N,ævintýri,basm
312,Märchen::N,ævintýri,poveste
313,Erzählung::N,saga,poveste
314,Nachricht::N,frétt,veste
315,Neuigkeit::N,frétt,noutate
316,Neuigkeit::N,frétt,actualitate
317,Name::N,nafn,nume
318,Rätsel::N,gáta,ghicitoare
319,Rede::N,ræða,discurs
320,Sprache::N,mál,limbă
321,Sprache::N,mál,limbaj
322,Sprache::N,tungumál,limbă
323,Sprache::N,tungumál,limbaj
324,Stimme::N,rödd,glas
325,Wort::N,orð,cuvânt
326,Zeichen::N,tákn,semn
327,Zeichen::N,tákn,semnal
328,Zeichen::N,merki,semn
329,Zeichen::N,merki,semnal
330,Ruf::N,kall,chemare
331,Lärm::N,hávaði,zgomot
332,Lärm::N,hávaði,tărăboi
333,Laut::N,hljóð,sunet
334,Ton::N,tónn,ton
335,Lied::N,ljóð,cântec
336,Lied::N,söngur,cântec
337,Ruhe::N,ró,odihnă
338,Ruhe::N,ró,liniște
339,Ruhe::N,kyrrð,odihnă
340,Ruhe::N,kyrrð,liniște
341,Leute::N,fólk,lume
342,Leute::N,fólk,oameni
343,Volk::N,þjóð,popor
344,Volk::N,þjóð,națiune
345,Arbeit::N,vinna,lucru
346,Gast::N,gestur,musafir
347,Geschenk::N,gjöf,dar
348,Geschenk::N,gjöf,cadou
349,Spiel::N,leikur,joc
350,Gesellschaft::N,selskapur,societate
351,Hilfe::N,hjálp,ajutor
352,Freund::N,vinur,amic
353,Freund::N,vinur,prieten
354,Kamerad::N,félagi,tovarăș
355,Angelegenheit::N,mál,afacere
356,Angelegenheit::N,málefni,afacere
357,Anzahl::N,tala,număr
358,Anzahl::N,tala,cantitate
359,Anzahl::N,fjöldi,număr
360,Anzahl::N,fjöldi,cantitate
361,Art::N,tegund,fel
362,Art::N,tegund,specie
363,Stück::N,biti,bucată
364,Stück::N,stykki,bucată
365,Teil::N,hluti,parte
366,Teil::N,hluti,porție
367,Teil::N,partur,parte
368,Teil::N,partur,porție
369,Hälfte::N,helmingur,jumătate
370,Kreis::N,hringur,cerc
371,Kreuz::N,kross,cruce
372,Kreuz::N,krossmark,cruce
373,Linie::N,lína,linie
374,Strich::N,strik,linie
375,Strich::N,strik,trăsătură
376,Abstand::N,millibil,distanță
377,Abstand::N,millibil,depărtare
378,Entfernung::N,fjarlægð,distanță
379,Entfernung::N,fjarlægð,depărtare
380,Gegend::N,hérað,regiune
381,Platz::N,pláss,loc
382,Ort::N,staður,loc
383,Seite::N,hlið,latură
384,Mitte::N,miðja,centru
385,Gegenstand::N,hlutur,obiect
386,Sache::N,mál,lucru
387,Sache::N,mál,chestie
388,Rand::N,brún,bordură
389,Kante::N,rönd,muchie
390,Kante::N,rönd,bordură
391,Ecke::N,horn,colț
392,Spitze::N,oddur,vârf
393,Spitze::N,oddur,creștet
394,Ende::N,endi,capăt
395,Loch::N,gat,gaură
396,Loch::N,hola,gaură
397,Winkel::N,skot,colț
