,Concept_ID,lv,ca
326,Flügel::N,spārns,ala
327,Klaue::N,гыж,urpa
328,Klaue::N,nags,urpa
329,Kralle::N,гыж,grapa
330,Kralle::N,nags,grapa
331,Schwanz::N,бӧж,cua
332,Schwanz::N,ļipa,cua
333,Ei::N,кольк,ou
334,Ei::N,ola,ou
335,Nest::N,поз,niu
336,Nest::N,ligzda,niu
337,Bau::N,горс,cau
338,Bau::N,пырмӧс,cau
339,Bau::N,гу,cau
340,Bau::N,ala,cau
341,Tier::N,пемӧс,animāl
342,Tier::N,dzīvnieks,animāl
343,Herde::N,стада,ramat
344,Herde::N,кельӧб,ramat
345,Herde::N,ganāmpulks,ramat
346,Kuh::N,мӧс,vaca
347,Kuh::N,govs,vaca
348,Bulle::N,ӧш,toro
349,Bulle::N,bullis,toro
350,Pferd::N,вӧв,cavāll
351,Pferd::N,zirgs,cavāll
352,Schaf::N,ыж,be
353,Schaf::N,ыж,ovella
354,Schaf::N,aita,be
355,Schaf::N,aita,ovella
356,Schwein::N,порсь,bacó
357,Schwein::N,cūka,bacó
358,Hund::N,пон,ca
359,Hund::N,пон,gos
360,Hund::N,suns,ca
361,Hund::N,suns,gos
362,Katze::N,кань,gat
363,Katze::N,kaķis,gat
364,Bär::N,ош,ós
365,Bär::N,lācis,ós
366,Eichhörnchen::N,ур,esquirol
367,Eichhörnchen::N,vāvere,esquirol
368,Elch::N,йӧра,ant
369,Elch::N,alnis,ant
370,Fuchs::N,руч,guilla
371,Fuchs::N,lapsa,guilla
372,Hase::N,кӧч,llebre
373,Hase::N,zaķis,llebre
374,Maus::N,шыр,ratolí
375,Maus::N,pele,ratolí
376,Wolf::N,кӧин,llop
377,Wolf::N,vilks,llop
378,Vogel::N,кай,au
379,Vogel::N,кай,ocēll
380,Vogel::N,лэбач,au
381,Vogel::N,лэбач,ocēll
382,Vogel::N,putns,au
383,Vogel::N,putns,ocēll
384,Schwarm::N,чукӧр,bandada
385,Schwarm::N,spiets,bandada
386,Huhn::N,курӧг,gallina
387,Huhn::N,vista,gallina
388,Hahn::N,петук,gall
389,Hahn::N,gailis,gall
390,Gans::N,дзодзӧг,oca
391,Gans::N,zoss,oca
392,Adler::N,кутш,àguila
393,Adler::N,ērglis,àguila
394,Ente::N,утка,ànec
395,Ente::N,pīle,ànec
396,Eule::N,сюзь,òliba
