,Concept_ID,ml,pt
82,Schatten::N,തണൽ,sombra
83,Wetter::N,കാലാവസ്ഥ,tempo
84,Nebel::N,മൂടൽമഞ്ഞ്,nevoeiro
85,Wolke::N,മേഘം,nuvem
86,Regen::N,മഴ,chuva
87,Schnee::N,മഞ്ഞ്,neve
88,Eis::N,ഐസ്,gelo
89,Frost::N,മൂടൽമഞ്ഞ്,gelo
90,Frost::N,മൂടൽമഞ്ഞ്,geada
91,Kälte::N,തണുപ്പ്,frio
92,Hitze::N,ചൂട്,ardor
93,Raureif::N,കോടമഞ്ഞ്,geada
94,Regenbogen::N,മഴവില്ല്,arco-iris
95,Donner::N,ഇടി,trovão
96,Strömung::N,പ്രവാഹം,corrente
97,Tropfen::N,തുള്ളി,gota
98,Schaum::N,നുര,espuma
99,Schmutz::N,അഴുക്ക്,sujidade
100,Schmutz::N,അഴുക്ക്,imundície
101,See::N,തടാകം,lago
102,Sumpf::N,ചതുപ്പുനിലം,charco
103,Sumpf::N,ചതുപ്പുനിലം,pântano
104,Moor::N,പാഴ്നിലം,pântano
105,Wiese::N,പുൽത്തകിടി,prado
106,Wald::N,വനം,bosque
107,Wald::N,വനം,floresta
108,Wald::N,കാട്,bosque
109,Wald::N,കാട്,floresta
110,Hügel::N,കുന്ന്,colina
111,Anhöhe::N,ഉയർന്ന ഭൂമി,alto
112,Anhöhe::N,ഉയർന്ന ഭൂമി,outeiro
113,Berg::N,പർവ്വതം,monte
114,Berg::N,പർവ്വതം,montanha
115,Gipfel::N,ഉച്ചകോടി,pico
116,Höhle::N,ഗുഹ,caverna
117,Abhang::N,ചരിവ്,encosta
118,Quelle::N,ഉറവിടം,fonte
119,Bach::N,അരുവി,regato
120,Bach::N,അരുവി,ribeiro
121,Fluss::N,നദി,rio
122,Ufer::N,തീരം,beira
123,Küste::N,കടൽത്തീരം,costa
124,Festland::N,കര,terra firme
125,Meer::N,കടൽ,mar
126,Bucht::N,ഉൾക്കടല്,baía
127,Insel::N,ദ്വീപ്,ilha
128,Blume::N,പൂവ്,flor
129,Gras::N,പുല്ല്,erva
130,Wurzel::N,വേര്,raiz
131,Baum::N,മരം,árvore
132,Stamm::N,തായ്ത്തടി,tronco
133,Rinde::N,പട്ട,casca
134,Ast::N,ശാഖ,ramo
135,Zweig::N,ശാഖ,galho
136,Blatt::N,ഇല,folha
137,Birke::N,പൂവരശ്,bétula
138,Kiefer[Baum]::N,പൈൻമരം,pinheiro
139,Weide[Baum]::N,വില്ലോ,salgueiro
140,Tanne::N,ദേവദാരു,abeto
141,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,corno
142,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,chifre
143,Feder::N,തൂവൽ,pena
144,Fell::N,മൃദുരോമം,pele
145,Flügel::N,ചിറക്,asa
146,Klaue::N,നഖം,pata
147,Kralle::N,നഖം,unha
148,Kralle::N,നഖം,garra
149,Schwanz::N,വാൽ,rabo
150,Schwanz::N,വാൽ,cauda
151,Ei::N,മുട്ട,ovo
152,Nest::N,കൂട്,ninho
153,Bau::N,മാളം,toca
154,Bau::N,മാളം,covil
155,Tier::N,മൃഗം,animal
156,Herde::N,കൂട്ടം,rebanho
157,Kuh::N,പശു,vaca
158,Bulle::N,കാള,touro
159,Pferd::N,കുതിര,cavalo
160,Schaf::N,ആട്,ovelha
161,Schwein::N,പന്നി,porco
162,Hund::N,നായ്,cão
163,Katze::N,പൂച്ച,gata
164,Bär::N,കരടി,urso
165,Eichhörnchen::N,അണ്ണാൻ,esquilo
166,Elch::N,കടമാന്,alce
167,Fuchs::N,കുറുക്കൻ,raposa
168,Hase::N,മുയൽ,lebre
169,Maus::N,ചുണ്ടലി,rato
170,Wolf::N,ചെന്നായ,lobo
171,Vogel::N,പക്ഷി,ave
172,Vogel::N,പക്ഷി,pássaro
173,Schwarm::N,കൂട്ടം,bando
174,Schwarm::N,കൂട്ടം,enxame
175,Huhn::N,കോഴി,galinha
176,Hahn::N,പൂവൻകോഴി,galo
177,Gans::N,അരയന്നം,ganso
178,Adler::N,കഴുകൻ,águia
179,Ente::N,താറാവ്,pata
180,Eule::N,മൂങ്ങ,mocho
181,Eule::N,മൂങ്ങ,coruja
182,Kranich::N,കൊക്ക്,grou
183,Krähe::N,കാക്ക,gralha
184,Kuckuck::N,കുയിൽ,cuco
185,Schwan::N,അരയന്നം,cisne
186,Fisch::N,മത്സ്യം,peixe
187,Barsch::N,ഒരിനം മത്സ്യം,perca
188,Hecht::N,ഒരു മത്സ്യം,lúcio
189,Schlange[Tier]::N,പാമ്പ്,serpente
190,Wurm::N,വിര,verme
191,Spinne::N,ചിലന്തി,aranha
192,Ameise::N,ഉറുമ്പ്,formiga
193,Laus::N,പേന്,piolho
194,Mücke::N,മശകം,mosquito
195,Fliege::N,ഈച്ച,mosca
196,Schmetterling::N,ചിത്രശലഭം,borboleta
197,Beere::N,ബെറി,bago
198,Apfel::N,ആപ്പിൾ,maçã
199,Pilz::N,കൂൺ,fungo
200,Pilz::N,കൂൺ,cogumelo
201,Zwiebel::N,സവാള,cebola
202,Saat::N,വിത്ത്,sementeira
203,Korn::N,ധാന്യം,grão
204,Heu::N,വയ്ക്കോൽ,feno
205,Schale::N,തൊലി,casca
206,Grube::N,കുഴി,cova
207,Grube::N,കുഴി,fossa
208,Falle::N,കെണി,armadilha
209,Schlinge::N,കുടുക്ക്,laço
210,Spur::N,ചുവട്,pista
211,Spur::N,ചുവട്,vestígio
212,Asche::N,ചാരം,cinza
213,Dreck::N,അഴുക്ക്,sujidade
214,Eisen::N,ഇരുമ്പ്,ferro
215,Gold::N,സ്വർണ്ണം,ouro
216,Silber::N,വെള്ളി,prata
217,Kohle::N,കൽക്കരി,carvão
218,Glas::N,ഗ്ലാസ്,vidro
219,Lehm::N,കളിമണ്ണ്,barro
220,Lehm::N,കളിമണ്ണ്,argila
221,Sand::N,മണൽ,areia
222,Mensch::N,മനുഷ്യർ,homem
223,Mensch::N,മനുഷ്യർ,pessoa
224,Mann::N,പുരുഷൻ,homem
225,Frau::N,സ്ത്രീ,mulher
226,Kind::N,കുഞ്ഞ്,filho
227,Kind::N,കുഞ്ഞ്,criança
228,Junge::N,ആൺകുട്ടി,rapaz
229,Junge::N,ആൺകുട്ടി,menino
230,Mädchen::N,പെൺകുട്ടി,menina
231,Mädchen::N,പെൺകുട്ടി,rapariga
232,Familie::N,കുടുംബം,família
233,Großvater::N,അപ്പൂപ്പൻ,avô
234,Großmutter::N,അമ്മുമ്മ,avó
235,Eltern::N,മാതാപിതാക്കള്,pais
236,Vater::N,അച്ഛൻ,pai
237,Mutter::N,അമ്മ,mãe
238,Sohn::N,മകൻ,filho
239,Tochter::N,മകൾ,filha
240,Bruder::N,ചേട്ടൻ,irmão
241,Bruder::N,അനിയൻ,irmão
242,Schwester::N,ചേച്ചി,irmã
243,Schwester::N,അനിയത്തി,irmã
244,Onkel::N,അമ്മാവൻ,tio
245,Tante::N,മാമി,tia
246,Ehemann::N,ഭർത്താവ്,esposo
247,Ehefrau::N,ഭാര്യ,esposa
248,Freude::N,ആഹ്ലാദം,prazer
249,Freude::N,ആഹ്ലാദം,alegria
250,Gelächter::N,ചിരിയുടെ ശബ്ദം,risada
251,Gelächter::N,ചിരിയുടെ ശബ്ദം,gargalhada
252,Glück::N,സന്തോഷം,felicidade
253,Glück::N,സന്തുഷ്ടി,felicidade
254,Kummer::N,ശോകം,aflição
255,Kummer::N,ശോകം,desgosto
256,Wunsch::N,ആഗ്രഹം,desejo
257,Lust::N,ആഗ്രഹം,vontade
258,Geist::N,ചുറുചുറുക്ക്,mente
259,Geist::N,ചുറുചുറുക്ക്,espírito
260,Gedanke::N,ചിന്ത,ideia
261,Gedanke::N,ചിന്ത,pensamento
262,Gedächtnis::N,ഓർമ്മശക്തി,memória
263,Verstand::N,മനസ്സ്,razão
264,Verstand::N,മനസ്സ്,inteligência
265,Sinn::N,അർത്ഥം,sentido
266,Sinn::N,അർത്ഥം,significado
267,Grund::N,കാരണം,causa
268,Grund::N,കാരണം,motivo
269,Wahrheit::N,സത്യം,verdade
270,Gespräch::N,സല്ലാപം,conversa
271,Gespräch::N,സല്ലാപം,conversação
272,Märchen::N,യക്ഷിക്കഥ,conto
273,Erzählung::N,കഥ,conto
274,Erzählung::N,കഥ,narrativa
275,Nachricht::N,സന്ദേശം,mensagem
276,Neuigkeit::N,വാർത്ത,notícia
277,Neuigkeit::N,വാർത്ത,novidade
278,Name::N,പേര്,nome
279,Rätsel::N,പ്രഹേളിക,adivinha
280,Rede::N,സംസാരം,oração
281,Rede::N,സംസാരം,discurso
282,Sprache::N,ഭാഷ,língua
283,Stimme::N,സ്വരം,voz
284,Wort::N,വാക്ക്,palavra
285,Zeichen::N,സംജ്ഞ,marca
286,Ruf::N,വിളി,grito
287,Ruf::N,വിളി,chamada
288,Lärm::N,ആരവം,ruído
289,Lärm::N,ആരവം,barulho
290,Laut::N,ശബ്ദം,som
291,Ton::N,സ്വരഭേദം,tom
292,Lied::N,പാട്ട്,canção
293,Ruhe::N,നിശ്ചലത,calma
294,Ruhe::N,നിശ്ചലത,silêncio
295,Leute::N,ജനങ്ങൾ,gente
296,Leute::N,ജനങ്ങൾ,pessoas
297,Volk::N,രാഷ്ടം,povo
298,Volk::N,രാഷ്ടം,nação
299,Arbeit::N,ജോലി,trabalho
300,Gast::N,അതിലി,hóspede
301,Gast::N,അതിലി,convidado
302,Geschenk::N,സമ്മാനം,prenda
303,Geschenk::N,സമ്മാനം,presente
304,Spiel::N,കളി,jogo
305,Gesellschaft::N,കൂട്ടായ്മ,companhia
306,Hilfe::N,സഹായം,ajuda
307,Hilfe::N,സഹായം,socorro
308,Freund::N,സുഹൃത്ത്,amigo
309,Kamerad::N,കൂട്ടാളി,camarada
310,Angelegenheit::N,കാര്യം,assunto
311,Anzahl::N,എണ്ണം,número
312,Anzahl::N,എണ്ണം,quantidade
313,Art::N,തരം,tipo
314,Art::N,തരം,espécie
315,Stück::N,കഷണം,pedaço
316,Teil::N,ഭാഗം,peça
317,Teil::N,ഭാഗം,parte
318,Hälfte::N,പകുതി,metade
319,Kreis::N,വൃത്തം,círculo
320,Kreuz::N,കുരിശടയാളം,cruz
321,Linie::N,വര,linha
322,Linie::N,രേഖ,linha
323,Strich::N,പക്ഷാഘാതം,traço
324,Abstand::N,വിടവ്,distância
325,Entfernung::N,അകലം,distância
326,Gegend::N,പ്രദേശം,área
327,Gegend::N,പ്രദേശം,região
328,Platz::N,ഇടം,lugar
329,Ort::N,സ്ഥലം,sítio
330,Seite::N,വശം,lado
331,Mitte::N,മധ്യസ്ഥാനം,meio
332,Gegenstand::N,സാധനം,objecto
333,Sache::N,വസ്തു,coisa
334,Rand::N,തൊങ്ങൽ,bordo
335,Rand::N,തൊങ്ങൽ,margem
336,Kante::N,അറ്റം,borda
337,Kante::N,അറ്റം,aresta
338,Ecke::N,മൂല,esquina
339,Spitze::N,അഗ്രം,ponta
340,Ende::N,അവസാനം,cabo
341,Ende::N,അവസാനം,extremo
342,Loch::N,ദ്വാരം,furo
343,Loch::N,ദ്വാരം,buraco
344,Winkel::N,കോൺ,canto
345,Winkel::N,കോൺ,ângulo
346,Muster::N,ക്രമം,padrão
347,Muster::N,ക്രമം,desenho
348,Größe::N,വലുപ്പം,tamanho
349,Länge::N,നീളം,comprimento
350,Höhe::N,ഉയരം,altura
351,Höhe::N,ഉയരം,altitude
352,Gewicht::N,കട്ടി,peso
353,Menge::N,അളവ്,quantidade
354,Haufen::N,കൂമ്പാരം,pilha
355,Reihe::N,വരി,fila
356,Boot::N,ബോട്ട്,barco
357,Ruder::N,പങ്കായം,remo
358,Schlitten::N,ഉരുളില്ലാവണ്ടി,trenó
359,Ski::N,ഹിമപാദുകം,esqui
360,Lagerfeuer::N,തീ,fogueira
361,Last::N,ഭാരം,carga
362,Gang::N,നടത്തം,curso
363,Gang::N,നടത്തം,caminhada
364,Schritt::N,ചുവട്,passo
365,Norden::N,വടക്ക്,norte
366,Süden::N,തെക്ക്,sul
367,Westen::N,പടിഞ്ഞാറ്,oeste
368,Westen::N,പടിഞ്ഞാറ്,ocidente
369,Osten::N,കിഴക്ക്,este
370,Osten::N,കിഴക്ക്,leste
371,Osten::N,കിഴക്ക്,oriente
372,Holz::N,തടി,madeira
373,Brett::N,ബോർഡ്,tábua
374,Brett::N,ബോർഡ്,prancha
375,Platte::N,തകിട്,laje
376,Platte::N,തകിട്,chapa
377,Stütze::N,താങ്ങ്,apoio
378,Stütze::N,താങ്ങ്,suporte
379,Stange::N,കമ്പ്,vara
380,Stange::N,കമ്പ്,barra
381,Stock::N,വടി,pau
382,Stock::N,വടി,bengala
383,Stab::N,കുറുവടി,bastão
384,Rohr::N,കുഴൽ,cano
385,Haus::N,വീട്,casa
386,Heim::N,വീട്,lar
387,Heim::N,വീട്,casa
388,Ofen::N,സ്റ്റൌ,estufa
389,Ofen::N,സ്റ്റൌ,aquecedor
390,Fußboden::N,തറ,piso
391,Tisch::N,മേശ,mesa
392,Stuhl::N,കസേര,cadeira
393,Wiege::N,തൊട്ടിൽ,berço
394,Bett::N,കിടക്ക,cama
395,Regal::N,ഷെൽഫ്,estante
396,Regal::N,ഷെൽഫ്,prateleira
397,Kiste::N,പെട്ടി,caixa
398,Fenster::N,ജനൽ,janela
399,Tür::N,വാതിൽ,porta
400,Tor::N,കവാടം,portão
401,Zaun::N,വേലി,cerca
402,Zaun::N,വേലി,vedação
403,Dach::N,മേൽക്കുര,telhado
404,Leiter::N,ഏണി,escada
405,Leiter::N,ഏണി,escada móvel
406,Besen::N,ചൂല്,vassoura
407,Spaten::N,തൂമ്പ,pá
408,Schaufel::N,തൂമ്പ,pá
409,Gabel::N,മുൾക്കത്തി,garfo
410,Löffel::N,സ്പൂൺ,colher
411,Messer::N,കത്തി,faca
412,Nagel::N,ആണി,cravo
413,Netz::N,വല,rede
414,Haken::N,കൊളുത്ത്,gancho
415,Griff::N,കൈപ്പിടി,asa
416,Griff::N,കൈപ്പിടി,cabo
417,Schloss::N,പൂട്ട്,fechadura
418,Bild::N,ചിത്രം,imagem
419,Figur::N,കണക്ക്,figura
420,Puppe::N,പാവ,boneca
421,Beutel::N,ബാഗ്,saco
422,Beutel::N,ബാഗ്,bolsa
423,Bündel::N,കെട്ട്,fardo
424,Tasche::N,ബാഗ്,saco
425,Tasche::N,ബാഗ്,bolso
426,Eimer::N,ബക്കറ്റ്,balde
427,Deckel::N,ഉറ,tampa
428,Geschirr::N,പിഞ്ഞാണം,louça
429,Sack::N,ചാക്ക്,saca
430,Tasse::N,കപ്പ്,chávena
431,Topf::N,പാത്രം,tacho
432,Topf::N,പാത്രം,panela
433,Kessel::N,കെറ്റ്ല്,caldeira
434,Essen::N,ആഹാരസമയം,refeição
435,Nahrung::N,ഭക്ഷണം,comida
436,Nahrung::N,ഭക്ഷണം,alimento
437,Speise::N,ഡിഷ്,prato
438,Fleisch::N,മാംസം,carne
439,Getreide::N,ചോളം,cereais
440,Brei::N,കഞ്ഞി,puré
441,Brot::N,റോട്ടി,pão
442,Scheibe::N,തുണ്ട്,fatia
443,Fett::N,കൊഴുപ്പ്,banha
444,Fett::N,കൊഴുപ്പ്,gordura
445,Butter::N,വെണ്ണ,manteiga
446,Öl::N,എണ്ണ,azeite
447,Salz::N,ഉപ്പ്,sal
448,Suppe::N,സൂപ്പ്,sopa
449,Suppe::N,സൂപ്പ്,caldo
450,Honig::N,തേൻ,mel
451,Milch::N,പാൽ,leite
452,Tee::N,ചായ,chá
453,Leder::N,തുകൽ,couro
454,Wolle::N,കമ്പിളി,lã
455,Stoff::N,തുണി,pano
456,Stoff::N,തുണി,tecido
457,Nadel::N,സൂചി,agulha
458,Faden::N,നൂല്,fio
459,Knopf::N,ബട്ടൺ,botão
460,Knoten::N,കുരുക്ക്,nó
461,Farbe::N,പെയിൻറ്,corante
462,Kleidung::N,വസ്ത്രങ്ങൾ,roupa
463,Kleidung::N,വസ്ത്രങ്ങൾ,vestuário
464,Hemd::N,ഷർട്ട്,camisa
465,Kragen::N,കുപ്പായക്കഴുത്ത്,gola
466,Ärmel::N,കുപ്പായക്കൈ,manga
467,Hose::N,ട്രൌസർ,calça
468,Gürtel::N,ബെൽറ്റ്,cinto
469,Mütze::N,തൊപ്പി,boné
470,Mütze::N,തൊപ്പി,barrete
471,Schuh::N,ഷൂ,sapato
472,Stiefel::N,ബൂട്ട്,bota
473,Ring::N,മോതിരം,anel
474,Band::N,റിബൺ,fita
475,Band::N,റിബൺ,faixa
476,Kamm::N,ചീപ്പ്,pente
477,Spiegel::N,കണ്ണാടി,espelho
478,Riemen::N,സ്ട്രാപ്പ്,correia
479,Schnur::N,ചരട്,corda
480,Schnur::N,ചരട്,cordel
481,Leine::N,കെട്ടാനുള്ള തോൽവാർ,trela
482,Decke::N,പുതപ്പ്,cobertor
483,Kissen::N,തലയിണ,almofada
484,Tuch::N,സ്കാർഫ്,pano
485,Handtuch::N,തോർത്ത്,toalha
486,Kraft::N,ശക്തി,força
487,Stärke::N,ശക്തി,força
488,Gesundheit::N,ആരോഗ്യം,saúde
489,Krankheit::N,അസുഖം,doença
490,Krankheit::N,അസുഖം,enfermidade
491,Schmerz::N,വേദന,dor
492,Wunde::N,മുറിവ്,chaga
493,Wunde::N,മുറിവ്,ferida
494,Fieber::N,പനി,febre
495,Arznei::N,മരുന്ന്,remédio
496,Brücke::N,പാലം,ponte
497,Brunnen::N,കിണർ,poço
498,Weide::N,മേച്ചൽ,pastagem
499,Pfad::N,വഴി,senda
500,Pfad::N,വഴി,trilho
501,Weg::N,വഴി,caminho
502,Straße::N,റോഡ്,via
503,Straße::N,റോഡ്,estrada
504,Dorf::N,ഗ്രാമം,aldeia
505,Stadt::N,നഗരം,cidade
506,Brief::N,കത്ത്,carta
507,Buch::N,പുസ്തകം,livro
508,Buchstabe::N,അക്ഷരം,letra
509,Zeitung::N,വർത്തമാനപത്രം,jornal
510,Leben::N,ജീവൻ,vida
511,Tod::N,മരണം,morte
512,Grab::N,ശവക്കുഴി,túmulo
513,Grab::N,ശവക്കുഴി,sepultura
514,Kirche::N,പള്ളി,igreja
515,Sünde::N,പാപം,pecado
516,Gott::N,ദൈവം,deus
517,Arbeiter::N,ജോലിക്കാരൻ,operário
518,Arbeiter::N,ജോലിക്കാരൻ,trabalhador
519,Chef::N,മേധാവി,chefe
520,Chef::N,മേധാവി,patrão
521,Meister::N,യജമാനൻ,mestre
522,Arzt::N,ഡോക്ടർ,médico
523,Lehrer::N,അധ്യാപകൻ,professor
524,Geld::N,പണം,dinheiro
525,Geschäft::N,ബിസിനസ്,negócio
526,Laden::N,കട,loja
527,Preis::N,വില,preço
528,Ware::N,ചരക്ക്,mercadoria
529,Nutzen::N,ലാഭം,proveito
530,Reichtum::N,ധനം,riqueza
531,Welt::N,ലോകം,mundo
532,Land::N,രാജ്യം,país
533,Staat::N,രാജ്യം,Estado
534,König::N,രാജാവ്,rei
535,Macht::N,അധികാരം,poder
536,Macht::N,അധികാരം,potência
537,Grenze::N,അതിർത്തി,fronteira
538,Krieg::N,യുദ്ധം,guerra
539,Feind::N,ശത്രു,inimigo
540,Gewalt::N,അക്രമം,violência
541,Kampf::N,പോരാട്ടം,luta
542,Kampf::N,പോരാട്ടം,combate
543,Bogen[Waffe]::N,വില്ല്,arco
544,Pfeil::N,അമ്പ്,seta
545,Pfeil::N,അമ്പ്,flecha
546,Gewehr::N,തോക്ക്,espingarda
547,Fehler::N,പിശക്,erro
548,Fehler::N,പിശക്,falha
549,Lüge::N,കള്ളം,mentira
550,Schaden::N,കേടുപാട്,dano
551,Schaden::N,കേടുപാട്,estrago
552,Unglück::N,ദൌർഭാഗ്യം,desgraça
553,Schuld::N,തെറ്റ്,culpa
554,Alter::N,വയസ്സ്,idade
555,Schluss::N,നിഗമനം,fim
556,Zeit::N,സമയം,tempo
557,Tag::N,ദിവസം,dia
558,Morgen::N,പ്രഭാതം,manhã
559,Mittag::N,ഉച്ച,meio-dia
560,Abend::N,സായാഹ്നം,noite
561,Abend::N,സായാഹ്നം,tardinha
562,Nacht::N,രാത്രി,noite
563,Woche::N,ആഴ്ച,semana
564,Monat::N,മാസം,mês
565,Jahr::N,വർഷം,ano
566,Frühling::N,വസന്തം,primavera
567,Sommer::N,വേനൽ,verão
568,Herbst::N,ശരത്കാലം,outono
569,Winter::N,ശൈത്യം,inverno
570,Januar::N,ജനുവരി,Janeiro
571,Februar::N,ഫെബ്രുവരി,Fevereiro
572,März::N,മാർച്ച്,Março
573,April::N,ഏപ്രിൾ മാസം,Abril
574,Mai::N,മെയ് മാസം,Maio
575,Juni::N,ജൂൺ,Junho
576,Juli::N,ജൂലൈ,Julho
577,August::N,ആഗസ്റ്റ്,Agosto
578,September::N,സെപ്തംബർ,Setembro
579,Oktober::N,ഒക്ടോബർ,Outubro
580,November::N,നവംബർ,Novembro
581,Dezember::N,ഡിസംബർ,Dezembro
582,Montag::N,തിങ്കളാഴ്ച,segunda-feira
583,Dienstag::N,ചൊവ്വ,terça-feira
584,Mittwoch::N,ബുധനാഴ്ച,quarta-feira
585,Donnerstag::N,വ്യാഴാഴ്ച,quinta-feira
586,Freitag::N,വെള്ളിയാഴ്ച,sexta-feira
587,Samstag::N,ശനിയാഴ്ച,sábado
588,Sonntag::N,ഞായറാഴ്ച,domingo
589,groß::A,വലിയ,grande
590,klein::A,ചെറിയ,pequeno
591,lang::A,നീണ്ട,comprido
592,kurz::A,ഹ്രസ്വമായ,curto
593,breit::A,വിശാലമായ,largo
594,schmal::A,ഇടുങ്ങിയ,estreito
595,dicht::A,നിബിഡമായ,denso
596,dick[Gegenstand]::A,തടിച്ച,grosso
597,dünn::A,മെലിഞ്ഞ,delgado
598,fein::A,നേർത്ത,fino
599,fein::A,നേർത്ത,subtil
600,fest::A,ഉറപ്പുള്ള,firme
601,fest::A,ഉറപ്പുള്ള,sólido
602,flach::A,പരന്ന,plano
603,glatt::A,മിനുസമുള്ള,liso
604,hart::A,കട്ടിയുള്ള,duro
605,weich::A,മൃദുവായ,mole
606,rund::A,വട്ടത്തിലുള്ള,redondo
607,spitz::A,മുനയുള്ള,agudo
608,scharf::A,മൂർച്ചയുള്ള,afiado
609,stumpf::A,തുറന്നടിക്കുന്ന,rombo
610,schwer::A,ഭാരമുള്ള,pesado
611,schön::A,മനോഹരമായ,belo
612,schön::A,മനോഹരമായ,bonito
613,heiß::A,ചൂടുള്ള,quente
614,warm::A,ചൂടുള്ള,quente
615,kalt::A,തണുത്ത,frio
616,kühl::A,തണുപ്പുള്ള,fresco
617,frisch::A,ശുദ്ധമായ,fresco
618,feucht::A,ഈറനുള്ള,húmido
619,nass::A,നനഞ്ഞ,molhado
620,trocken::A,വരണ്ട,seco
621,voll::A,നിറയെ,cheio
622,leer::A,ഒഴിഞ്ഞ,vazio
623,offen::A,തുറന്ന,aberto
624,geschlossen::A,അടച്ച,fechado
625,sauber::A,വൃത്തിയുള്ള,limpo
626,schmutzig::A,അഴുക്കുനിറഞ്ഞ,sujo
627,roh::A,അസംസ്കൃതമായ,cru
628,reif::A,പഴുത്ത,maduro
629,lecker::A,രുചികരമായ,delicioso
630,süß::A,മധുരമുള്ള,doce
631,bitter::A,കടുത്ത,amargo
632,sauer::A,പുളിപ്പുള്ള,azedo
633,hell::A,ജ്വലിക്കുന്ന,claro
634,dunkel::A,ഇരുണ്ട,escuro
635,dunkel::A,ഇരുണ്ട,sombrio
636,schwarz::A,കറുത്ത,preto
637,weiß::A,വെളുത്ത,branco
638,rot::A,ചുവന്ന,vermelho
639,gelb::A,മഞ്ഞനിറമായ,amarelo
640,blau::A,നീലനിറമുള്ള,azul
641,grün::A,പച്ചനിറമുള്ള,verde
642,grau::A,ചാരനിറത്തിലുള്ള,cinzento
643,bunt::A,വർണ്ണശബളമായ,colorido
644,billig::A,വിലകുറഞ്ഞ,barato
645,teuer::A,ചെലവേറിയ,caro
646,wertvoll::A,വിലപിടിപ്പുള്ള,valioso
647,wertvoll::A,വിലപിടിപ്പുള്ള,precioso
648,blind::A,അന്ധനായ,cego
649,taub::A,കേൾവിക്കുറവുള്ള,surdo
650,kräftig::A,ശക്തിയുള്ള,forte
651,kräftig::A,ശക്തിയുള്ള,poderoso
652,stark::A,ബലമുള്ള,forte
