,Concept_ID,hy,bg
397,Stab::N,գավազան,прът
398,Rohr::N,խողովակ,цев
399,Rohr::N,խողովակ,тръба
400,Haus::N,տուն,къща
401,Heim::N,տուն,дом
402,Ofen::N,վառարան,печка
403,Fußboden::N,հատակ,под
404,Tisch::N,սեղան,маса
405,Stuhl::N,աթոռ,стол
406,Wiege::N,օրորոց,люлка
407,Bett::N,անկողին,легло
408,Bett::N,անկողին,креват
409,Regal::N,դարակ,рафт
410,Regal::N,դարակ,етажерка
411,Kiste::N,տուփ,кутия
412,Kiste::N,տուփ,сандък
413,Fenster::N,պատուհան,прозорец
414,Tür::N,դուռ,врата
415,Tor::N,դարպաս,врата
416,Zaun::N,ցանկապատ,ограда
417,Dach::N,տանիք,покрив
418,Dach::N,կտուր,покрив
419,Leiter::N,սանդուղք,стълба
420,Besen::N,ավել,метла
421,Spaten::N,բահ,лопата
422,Schaufel::N,թի,лопата
423,Gabel::N,պատառաքաղ,вилица
424,Löffel::N,գդալ,лъжица
425,Messer::N,դանակ,нож
426,Nagel::N,մեխ,гвоздей
427,Netz::N,ցանց,мрежа
428,Haken::N,կարթ,кука
429,Haken::N,կարթ,закачалка
430,Griff::N,կոթ,ръчка
431,Griff::N,կոթ,дръжка
432,Griff::N,բռնակ,ръчка
433,Griff::N,բռնակ,дръжка
434,Schloss::N,կողպեք,брава
435,Schloss::N,կողպեք,ключалка
436,Bild::N,նկար,картина
437,Bild::N,պատկեր,картина
438,Figur::N,քանդակ,фигура
439,Figur::N,պատկեր,фигура
440,Puppe::N,տիկնիկ,кукла
441,Beutel::N,տոպրակ,кесия
442,Bündel::N,կապոց,връзка
443,Tasche::N,պայուսակ,чанта
444,Eimer::N,դույլ,кофа
445,Deckel::N,կափարիչ,капак
446,Deckel::N,կափարիչ,похлупак
447,Geschirr::N,ամանեղեն,съдове
448,Sack::N,պարկ,чувал
449,Sack::N,տոպրակ,чувал
450,Tasse::N,թաս,чаша
451,Tasse::N,գավաթ,чаша
452,Topf::N,անոթ,гърне
453,Topf::N,անոթ,тенджера
454,Kessel::N,կաթսա,котел
455,Essen::N,կերակուր,ядене
456,Nahrung::N,ուտելիք,храна
457,Speise::N,խորտիկ,ястие
458,Speise::N,կերակուր,ястие
459,Fleisch::N,միս,месо
460,Getreide::N,հացահատիկ,зърнено храни
461,Brei::N,լանդակ,каша
462,Brot::N,հաց,хляб
463,Scheibe::N,կտոր,резен
464,Scheibe::N,պատառ,резен
465,Fett::N,ճարպ,мазнина
466,Butter::N,կարագ,масло
467,Öl::N,ձեթ,олио
468,Öl::N,ձեթ,оливия
469,Salz::N,աղ,сол
470,Suppe::N,սուպ,супа
471,Suppe::N,ապուր,супа
472,Honig::N,մեղր,мед
473,Milch::N,կաթ,мляко
474,Tee::N,թեյ,чай
475,Leder::N,կաշի,кожа
476,Wolle::N,բուրդ,вълна
477,Stoff::N,գործվածք,плат
478,Stoff::N,գործվածք,материал
479,Nadel::N,ասեղ,игла
480,Faden::N,թել,конец
481,Knopf::N,կոճակ,копче
482,Knoten::N,հանգույց,възел
483,Farbe::N,ներկ,боя
