,Concept_ID,ku,myv
85,Wetter::N,hewa,ушо
86,Nebel::N,mij,сув
87,Wolke::N,ewr,пель
88,Regen::N,baran,пиземс
89,Schnee::N,berf,лов
90,Eis::N,qeşa,эй
91,Frost::N,xûsik,кельме
92,Kälte::N,serma,якшамо
93,Hitze::N,germayî,пси
94,Raureif::N,şext,лекш
95,Regenbogen::N,heftreng,пурьгинечирьке
96,Regenbogen::N,heftreng,пурьгинеёнкс
97,Donner::N,gire-gir,пурьгине
98,Strömung::N,şewl,чудема
99,Strömung::N,şewl,чудевкс
100,Tropfen::N,dilop,петнявкс
101,Schaum::N,kef,чов
102,Schmutz::N,gemar,рудаз
103,See::N,gol,эрьке
104,Sumpf::N,hezek,чей
105,Moor::N,mafêl,чей
106,Wiese::N,sûrik,луга
107,Wald::N,çiya,вирь
108,Wald::N,daristan,вирь
109,Hügel::N,gir,губорь
110,Hügel::N,gir,пандыне
111,Anhöhe::N,sere gir,губорь
112,Anhöhe::N,sere gir,пандыне
113,Berg::N,kaş,пандо
114,Gipfel::N,sere gir,пря
115,Höhle::N,şikeft,пещера
116,Abhang::N,kaş,пандочама
117,Quelle::N,kanî,ушодкс
118,Bach::N,çem,чудикерькс
119,Fluss::N,çem,лей
120,Fluss::N,rûbar,лей
121,Ufer::N,kevî,чире
122,Küste::N,berav,лейчире
123,Festland::N,bejahî,мода
124,Meer::N,behr,моря
125,Bucht::N,derav,усия
126,Insel::N,girav,усия
127,Blume::N,kulînk,цеця
128,Gras::N,giha,тикше
129,Wurzel::N,reh,юр
130,Wurzel::N,reh,ундокс
131,Baum::N,dar,чувто
132,Stamm::N,bavik,рунго
133,Rinde::N,qaqil,суд
134,Rinde::N,qaqil,керь
135,Ast::N,gulî,морго
136,Zweig::N,şax,тарад
137,Blatt::N,pel,лопа
138,Birke::N,dara sipî,килей
139,Kiefer[Baum]::N,dara bî,пиче
140,Weide[Baum]::N,dara belalûk,каль
141,Tanne::N,merx,куз
142,Horn::N,strô,сюро
143,Feder::N,pîrtîk,толга
144,Fell::N,heyar,пона
145,Flügel::N,per,сёлмо
146,Klaue::N,napîk,кенже
147,Kralle::N,dinik,кенже
148,Kralle::N,dirnax,кенже
149,Schwanz::N,dûv,пуло
150,Ei::N,hêk,ал
151,Nest::N,hêlîn,пизэ
152,Bau::N,avahî,варя
153,Bau::N,avahî,пизе
154,Tier::N,heywan,ракша
155,Herde::N,hoz,стада
156,Kuh::N,çêlek,скал
157,Bulle::N,ga,бука
158,Pferd::N,hesp,лишме
159,Schaf::N,mîh,реве
160,Schwein::N,beraz,туво
161,Hund::N,seh,пине
162,Hund::N,seh,киска
163,Katze::N,pişîk,псака
164,Bär::N,hirç,овто
165,Eichhörnchen::N,pilûr,ур
166,Elch::N,pazkovî,сярдо
167,Fuchs::N,rovî,ривезь
168,Hase::N,kîroşk,нумоло
169,Maus::N,mişk,чеерь
170,Wolf::N,gur,верьгиз
171,Vogel::N,çûk,нармунь
172,Schwarm::N,lufik,полк
173,Schwarm::N,lufik,стада
174,Huhn::N,mirîşk,сараз
175,Hahn::N,dîk,атякш
176,Gans::N,qaz,гала
177,Gans::N,qaz,мацей
178,Adler::N,eylo,куцькан
179,Adler::N,eylo,тумоатякш
180,Ente::N,werdek,яксярго
181,Eule::N,bûm,корж
182,Eule::N,kund,корж
183,Kranich::N,quling,карго
184,Krähe::N,qijik,варака
185,Kuckuck::N,pepûk,куко
186,Schwan::N,qû,локсей
187,Fisch::N,masî,кал
188,Barsch::N,okûn,окунь
189,Hecht::N,mesîyê lûf,щука
190,Schlange[Tier]::N,mar,гуй
191,Wurm::N,kurm,сукс
192,Spinne::N,pîrê,шанжав
193,Ameise::N,mîro,коткудав
194,Ameise::N,gêrîk,коткудав
195,Laus::N,spi,сий
196,Mücke::N,mêş,сеське
197,Fliege::N,mêş,карво
198,Schmetterling::N,perperîk,нимиляв
199,Beere::N,hirç,умарь
200,Apfel::N,sêv,умарь
201,Pilz::N,bîrov,панго
202,Zwiebel::N,pîvaz,чурька
203,Saat::N,tov,видьметь
204,Korn::N,dexl,сюро
205,Heu::N,sap,тикше
206,Schale::N,qaşik,кедь
207,Schale::N,qaşik,ваткавкс
208,Grube::N,çahl,латко
209,Falle::N,dafik,тувор
210,Falle::N,dafik,кундамка
211,Schlinge::N,dahf,килькш
212,Spur::N,rêç,челькс
213,Spur::N,rêç,пильгеки
214,Asche::N,xweli,кулов
215,Dreck::N,gemarî,рудаз
216,Eisen::N,hesing,кшни
217,Gold::N,zêr,сырне
218,Silber::N,zîv,сия
219,Kohle::N,komir,сэдь
220,Kohle::N,komir,уголия
221,Glas::N,qedeh,сулика
222,Lehm::N,kelpîç,сёвонь
223,Sand::N,qûm,човар
224,Mensch::N,mirov,ломань
225,Mann::N,mêr,аля
226,Mann::N,mêr,цёраломань
227,Frau::N,jin,ава
228,Kind::N,zarok,эйкакш
229,Junge::N,kur,цёрыне
230,Mädchen::N,keç,тейтерне
231,Mädchen::N,keçik,тейтерне
232,Familie::N,malbat,семия
233,Großvater::N,bapîr,покштя
234,Großmutter::N,pîrik,баба
235,Eltern::N,bavudê,тетят-ават
236,Vater::N,bav,тетя
237,Mutter::N,dê,ава
238,Mutter::N,dayik,ава
239,Sohn::N,kur,цёра
240,Tochter::N,keç,тейтерь
241,Bruder::N,bira,леля
242,Bruder::N,bira,ялакс
243,Schwester::N,xweh,сазор
244,Onkel::N,am,леля
245,Onkel::N,xal,леля
246,Tante::N,metik,патя
247,Tante::N,xaltîk,патя
248,Ehemann::N,mêr,мирде
249,Ehefrau::N,kulfet,ни
250,Freude::N,kêfxweşî,кеняркс
251,Gelächter::N,pîrqînî,ракамо
252,Gelächter::N,pîrqînî,пейдема
253,Glück::N,bext,уцяска
254,Kummer::N,derd,рискс
255,Kummer::N,derd,мелявкс
256,Wunsch::N,daxwaz,мель
257,Wunsch::N,daxwaz,бажамо
258,Wunsch::N,xwestek,мель
259,Wunsch::N,xwestek,бажамо
260,Lust::N,şewq,бажамо
261,Geist::N,aqil,ойме
262,Gedanke::N,fikir,мель
263,Gedächtnis::N,aqil,мель
264,Verstand::N,fêm,прев
265,Sinn::N,aqil,толк
266,Sinn::N,aqil,смысла
267,Grund::N,asas,тувтал
268,Wahrheit::N,rastî,видечи
269,Gespräch::N,guftûgo,кортнема
270,Märchen::N,çirok,ёвкс
271,Erzählung::N,çirok,ёвтнема
272,Erzählung::N,vegotin,ёвтнема
273,Nachricht::N,nûçe,куля
274,Neuigkeit::N,hewal,куля
275,Name::N,nav,лем
276,Name::N,paşnav,лем
277,Rätsel::N,tiştonek,содамоёвкс
278,Rede::N,gotar,кортамо
279,Rede::N,axavtin,кортамо
280,Sprache::N,ziman,кель
281,Stimme::N,pejn,ваигель
282,Wort::N,gotin,вал
283,Zeichen::N,şanek,теште
284,Ruf::N,hawar,тердема
285,Lärm::N,xarbalix,шалнома
286,Laut::N,deng,вайгель
287,Laut::N,hês,вайгель
288,Ton::N,awaz,гайнема
289,Lied::N,sitran,моро
290,Ruhe::N,rihetî,оймамо
291,Leute::N,xelk,ломанть
292,Volk::N,xelk,народ
293,Arbeit::N,xebat,тев
294,Gast::N,mêvan,инже
295,Geschenk::N,diyarî,казне
296,Spiel::N,lîstik,налксема
297,Gesellschaft::N,komal,община
298,Hilfe::N,alîkarî,лездамо
299,Freund::N,heval,оя
300,Freund::N,heval,ялга
301,Kamerad::N,heval,оя
302,Kamerad::N,heval,ялга
303,Angelegenheit::N,pirsgirêk,тев
304,Anzahl::N,çend,ламоксчи
305,Art::N,çeh,вид
306,Stück::N,lib,пакш
307,Stück::N,lib,пелькс
308,Stück::N,parçe,пакш
309,Stück::N,parçe,пелькс
310,Teil::N,parçe,часть
311,Teil::N,parçe,пелькс
312,Hälfte::N,nîvî,пель
313,Hälfte::N,nîvî,пелькс
314,Kreis::N,çemil,кирькс
315,Kreuz::N,xaç,крёст
316,Linie::N,xezik,кикс
317,Strich::N,xezik,межа
318,Abstand::N,dûrahî,ютко
319,Entfernung::N,dûrahî,ютко
320,Gegend::N,dever,тарка
321,Gegend::N,dever,пертьпелькс
322,Platz::N,çih,васолкс
323,Ort::N,dever,тарка
324,Seite::N,rûpel,ён
325,Seite::N,rûpel,чире
326,Mitte::N,nav,куншка
327,Mitte::N,nabênê,куншка
328,Gegenstand::N,tişt,предмет
329,Sache::N,tişt,тев
330,Sache::N,tişt,веща
331,Rand::N,kevî,пе
332,Rand::N,kevî,чире
333,Kante::N,kevî,ирдез
334,Ecke::N,qunç,ужо
335,Spitze::N,derzî,пряне
336,Spitze::N,derzî,пе
337,Ende::N,talî,пе
338,Loch::N,qul,варя
339,Winkel::N,kurnîşk,ужо
340,Muster::N,desen,сёрма
341,Größe::N,mezinî,сэрь
342,Größe::N,mezinî,покшолма
343,Länge::N,dirêjahî,кувалмо
344,Höhe::N,bilindayî,сэрь
345,Höhe::N,bilindayî,пандо
346,Gewicht::N,giranî,сталмо
347,Menge::N,qas,лововкс
348,Haufen::N,lod,мар
349,Haufen::N,lod,валявкс
350,Reihe::N,rêz,ряд
351,Boot::N,kelek,венч
352,Ruder::N,bêrik,милё
353,Schlitten::N,xîjik,нурдт
354,Ski::N,lakan,сокс
355,Lagerfeuer::N,agir,толбандя
356,Last::N,bar,сталмо
357,Last::N,bar,кандома
358,Gang::N,fîtêz,молема
359,Gang::N,fîtêz,якамо
360,Schritt::N,gav,эскелькс
361,Norden::N,bakur,якшамо ёнкс
362,Süden::N,başur,лембе ёнкс
363,Westen::N,rojava,чивалгома
364,Osten::N,rojhilat,чилисема
365,Holz::N,dep,чувто
366,Brett::N,dep,лаз
367,Platte::N,dep,плита
368,Stütze::N,destek,неже
369,Stange::N,sing,олга
370,Stock::N,çam,мандо
371,Stab::N,qat,олога
372,Rohr::N,borî,турба
373,Haus::N,mal,кудо
374,Haus::N,xanî,кудо
375,Heim::N,mal,кудо
376,Ofen::N,sobe,каштомо
377,Fußboden::N,binpê,киякс
378,Tisch::N,mase,столь
379,Stuhl::N,kursî,стул
380,Wiege::N,derguş,лавсь
381,Wiege::N,derguş,нурямот
382,Bett::N,qerewêle,ацамо
383,Regal::N,rêbaz,лався
384,Regal::N,rêbaz,лавсяланго
385,Kiste::N,sindoq,горобия
386,Kiste::N,sindoq,сундук
387,Fenster::N,çam,вальма
388,Fenster::N,şibeke,вальма
389,Tür::N,derî,кенкш
390,Tor::N,derge,ортат
391,Zaun::N,hejik,пирявт
392,Zaun::N,hejik,пирвякс
393,Dach::N,sere xanî,кудопря
394,Leiter::N,pêling,кузтема
395,Besen::N,melkes,тенсть
396,Spaten::N,mer,койме
397,Schaufel::N,bêr,кече
398,Schaufel::N,bêr,келей койме
399,Gabel::N,çetel,сянгине
400,Löffel::N,kevçî,пенч
401,Messer::N,kêr,пеель
402,Nagel::N,bizmar,эске
403,Netz::N,tor,алтыма
404,Haken::N,çenqel,кечказ
405,Griff::N,destî,кедне
406,Schloss::N,qonax,замок
407,Schloss::N,qonax,панжома
408,Bild::N,dimen,картина
409,Figur::N,figûr,рунго
410,Puppe::N,bûk,няка
411,Beutel::N,kîsik,кескав
412,Bündel::N,pêçek,керькс
413,Tasche::N,bêrîk,юдма
414,Eimer::N,dewl,ведра
415,Deckel::N,devik,велькс
416,Geschirr::N,ferax,кедьге
417,Sack::N,tûr,кескав
418,Tasse::N,kada,чакш
419,Topf::N,beroş,кастрюля
420,Kessel::N,şîril,котёл
421,Essen::N,xwarin,ярсамо
422,Nahrung::N,xwarin,ярсамопель
423,Speise::N,xwarin,ярсамопель
424,Fleisch::N,goşt,сывель
425,Getreide::N,zad,сюро
426,Brei::N,hewdêl,каша
427,Brot::N,,кши
428,Scheibe::N,parçe,кочом
429,Scheibe::N,parçe,сускомо
430,Fett::N,rûn,куя
431,Butter::N,rûn,ой
432,Öl::N,rûn,ой
433,Salz::N,xwe,сал
434,Suppe::N,şorbe,ям
435,Honig::N,hingiv,медь
436,Milch::N,şîr,ловсо
437,Tee::N,çay,чай
438,Leder::N,çerm,киське
439,Wolle::N,herî,пона
440,Stoff::N,paç,коцт
441,Nadel::N,derzî,салмукс
442,Faden::N,ta,суре
443,Knopf::N,bişkok,пов
444,Knoten::N,girêk,сюлмо
445,Farbe::N,boyax,артомапель
446,Kleidung::N,çil,оршамот
447,Hemd::N,qutik,панар
448,Hemd::N,miltan,панар
449,Kragen::N,stûvang,сиве
450,Ärmel::N,hûçik,ожа
451,Hose::N,şewel,понкст
452,Gürtel::N,qayiş,каркс
453,Mütze::N,fîno,чапка
454,Schuh::N,şêkal,туфля
455,Stiefel::N,gizme,кем
456,Stiefel::N,çizme,кем
457,Ring::N,xelek,суркс
458,Band::N,band,лента
459,Kamm::N,şeh,сурсеме
460,Spiegel::N,eynik,чавачамо
461,Riemen::N,qayiş,кшнань каркс
462,Schnur::N,doxin,пикс
463,Leine::N,şirît,ведьме
464,Decke::N,bataniye,вельтямо
465,Kissen::N,balgî,тодов
466,Tuch::N,şar,паця
467,Handtuch::N,dezmal,нардамо
468,Kraft::N,hêz,вий
469,Kraft::N,qewet,вий
470,Stärke::N,xurtî,виевчи
471,Gesundheit::N,nojdarî,шумбрачи
472,Krankheit::N,nexweşî,орма
473,Krankheit::N,nexweşî,сэредема
474,Schmerz::N,êş,сэредькс
475,Wunde::N,kul,керявкс
476,Fieber::N,ta,маштыкс
477,Arznei::N,derman,ормаменькс
478,Brücke::N,kopî,сэдь
479,Brücke::N,kopî,мадамо
480,Brunnen::N,çal,лисьма
481,Brunnen::N,kani,лисьма
482,Weide::N,beyar,ракшань ванома тарка
483,Pfad::N,xaçirek,ян
484,Weg::N,rê,ки
485,Straße::N,rê,ки
486,Dorf::N,gund,веле
487,Stadt::N,baçar,ош
488,Brief::N,name,сёрма
489,Buch::N,kitêb,книга
490,Buch::N,pirtûk,книга
491,Buchstabe::N,herf,буква
492,Zeitung::N,rojname,газета
493,Leben::N,jiyan,эрямо
494,Tod::N,mirin,кулома
495,Grab::N,mezel,калмо
496,Kirche::N,gilyas,церькова
497,Sünde::N,guneh,чумочи
498,Gott::N,xwedê,паз
499,Arbeiter::N,hîşçî,робочей
500,Chef::N,bêg,прявт
501,Meister::N,hoste,кол тевень тенця
502,Arzt::N,doktor,врач
503,Lehrer::N,mamoste,учитель
504,Lehrer::N,mamoste,тонавтыця
505,Geld::N,pere,ярмак
506,Geschäft::N,firoşgeh,ладязь тев
507,Laden::N,dikan,лавка
508,Preis::N,buha,питне
509,Ware::N,tişt,миевкс
510,Ware::N,tişt,рамавкс
511,Nutzen::N,fêde,паро
512,Nutzen::N,fêde,лезэ
513,Reichtum::N,serwet,сюпавчи
514,Welt::N,dinya,мир
515,Welt::N,dinya,мастор ланго
516,Land::N,welat,мастор
517,Staat::N,dewlet,государства
518,König::N,şah,король
519,König::N,qral,король
520,Macht::N,qewet,азорксчи
521,Macht::N,destihilat,азорксчи
522,Grenze::N,kevî,буен тешкс
523,Krieg::N,çeng,война
524,Krieg::N,sêwaş,война
525,Feind::N,dijmin,душман
526,Gewalt::N,zor,нарьгамо
527,Kampf::N,şer,тюрема
528,Bogen[Waffe]::N,kêvan,нал
529,Pfeil::N,çîrik,нал
530,Gewehr::N,tifing,ружия
531,Gewehr::N,tifing,винтовка
532,Fehler::N,şaşî,ильведькс
533,Fehler::N,şaşî,ильведевкс
534,Lüge::N,derew,манчема
535,Lüge::N,derew,кенгелема
536,Schaden::N,xisar,зыян
537,Unglück::N,bêbextî,зыян
538,Schuld::N,suç,чумочи
539,Alter::N,temen,шка
540,Schluss::N,girtin,пе
541,Zeit::N,çax,шка
542,Zeit::N,çax,пинге
543,Tag::N,roj,чи
544,Morgen::N,sibeh,валске
545,Mittag::N,nîro,чикуншка
546,Abend::N,êvar,чокшнэ
547,Nacht::N,şev,ве
548,Woche::N,heftî,недля
549,Monat::N,meh,ков
550,Jahr::N,sal,ие
551,Frühling::N,bihar,тундо
552,Sommer::N,havîn,кизэ
553,Herbst::N,payîz,сёксь
554,Winter::N,zistan,теле
555,Januar::N,çile,якшамков
556,Februar::N,sibat,февраль
557,März::N,adar,март
558,April::N,nîsan,апрель
559,Mai::N,gûlan,май
560,Juni::N,hezîran,июнь
561,Juli::N,tîmeh,июль
562,August::N,tebax,август
563,September::N,îlon,сентября
564,Oktober::N,çotmeh,октября
565,November::N,mijdar,ноября
566,Dezember::N,kanûn,декабря
567,Montag::N,duşemb,пондельник
568,Dienstag::N,sêşem,овторник
569,Mittwoch::N,çarşemb,серёда
570,Donnerstag::N,pêşemb,цетьверьг
571,Freitag::N,în,пеця
572,Samstag::N,şemî,субута
573,Samstag::N,şemî,шлямочи
574,Sonntag::N,yekşemb,недлячи
575,groß::A,mezin,ине
576,groß::A,mezin,покш
577,klein::A,çûçik,вишка
578,lang::A,dirêj,кувака
579,kurz::A,kin,нурькине
580,breit::A,fireh,келей
581,schmal::A,tenik,теине
582,dicht::A,gir,тусто
583,dick[Gegenstand]::A,şîşman,эчке
584,dünn::A,zirav,човине
585,fein::A,tenik,човине
586,fest::A,saxlem,кеме
587,flach::A,pahn,лапужа
588,glatt::A,dûz,валаня
589,glatt::A,şayîk,валаня
590,hart::A,hişk,калгодо
591,weich::A,nerm,чевте
592,rund::A,gilover,кеверь
593,spitz::A,pîj,пшти
594,scharf::A,tûj,пшти
595,stumpf::A,ne tûj,ношка
596,schwer::A,giran,стака
597,schön::A,xweş,мазый
598,schön::A,xweşik,мазый
599,heiß::A,kelandî,пси
600,warm::A,germ,лембе
601,kalt::A,sar,якшамо
602,kühl::A,jemîrî,экше
603,frisch::A,ter,свежа
604,feucht::A,şil,летьке
605,nass::A,şilek,начко
606,trocken::A,zuwa,коське
607,voll::A,tijî,пешксе
608,leer::A,vala,чаво
609,offen::A,vekirî,панжадо
610,offen::A,vekirî,виде
611,geschlossen::A,asê,пекстазь
612,geschlossen::A,asê,сёлгозь
613,sauber::A,pakij,ванькс
614,schmutzig::A,lewitî,ливезев
615,roh::A,xav,верек
616,reif::A,gihaştî,кенерезь
617,lecker::A,xweş,тантей
618,süß::A,şîrîn,ламбамо
619,bitter::A,tahl,сэпей
620,sauer::A,tirş,чапамо
621,hell::A,ronî,валдо
622,dunkel::A,tarî,чопода
623,schwarz::A,reş,раужо
624,weiß::A,sipî,ашо
625,rot::A,sor,якстере
626,gelb::A,zer,ожо
627,blau::A,şîn,сэнь
628,grün::A,şîn,пиже
629,grau::A,gewr,шержев
630,bunt::A,rengîn,сёрмав
631,billig::A,erzan,аволь питней
632,teuer::A,biha,питней
633,wertvoll::A,hêja,питней
634,wertvoll::A,giranbiha,питней
635,blind::A,kor,сокор
636,taub::A,kerr,амариця
637,kräftig::A,gir,пек виев
638,kräftig::A,xurt,пек виев
639,stark::A,xurt,виев
640,schwach::A,kesad,лавшо
641,fett::A,qelew,куя
642,schlank::A,zirav,виде ронга
643,hübsch::A,xweşik,мазый
644,böse::A,xerab,кежей
645,böse::A,aciz,кежей
646,dumm::A,gêj,чавола
647,dumm::A,gêj,превтеме
648,faul::A,têmbêl,нузякс
649,fleißig::A,jêhatî,мелень путыця
650,geizig::A,destgirtî,скупой
651,klug::A,baqil,превей
652,geschickt::A,zîrek,маштозь теезь
653,geschickt::A,ziring,маштозь теезь
654,lieb::A,delal,вадря
655,lustig::A,kêfxweş,весёла
656,sanft::A,nazenîn,сэтьме
657,hungrig::A,birçî,вачо
658,krank::A,nexweş,сэредиця
659,nackt::A,rût,штапо
660,nackt::A,tazî,штапо
661,traurig::A,xemgîn,нусманя
662,lebendig::A,bisaxî,эриця
663,gut::A,baş,паро
664,schlecht::A,xerab,берянь
665,richtig::A,rast,виде
666,richtig::A,saxlem,виде
667,schlimm::A,nebaş,берянь
668,wahr::A,rast,алкуксонь
669,alt::A,pîr,ташто
670,alt::A,kevn,ташто
671,neu::A,nû,од
672,ehemalig::A,kevnar,икелень
673,ehemalig::A,peşidar,икелень
674,alt[Lebewesen]::A,pîr,сыре
675,jung::A,xort,од
676,arm::A,feqîr,кажов
677,arm::A,desteng,кажов
678,reich::A,dewlemend,сюпав
679,bekannt::A,naskirî,содавикс
680,berühmt::A,navdar,содавикс
681,fremd::A,xerîb,лия
682,fremd::A,xerîb,асодавикс
683,verschieden::A,çîhê,эрьва
684,nah::A,nêzîk,а васолонь
685,fern::A,dûr,умонь
686,fern::A,dûr,кезэрень
687,linker::A,çepê,керш
688,rechter::A,rastê,вить
689,anderer::A,yê din,лия
690,erster::A,yekemîn,васень
691,erster::A,yekemîn,васенце
692,zweiter::A,duda,омбоце
693,dritter::A,sisêya,колмоце
694,letzter::A,paşîn,меельце
695,allein::ADV,tenê,башка
696,allein::ADV,tenê,ськамонзо
697,auf einmal::ADV,jar kê,вейсэ
698,zusammen::ADV,tev,вейс
699,zusammen::ADV,tev,вейсэ
700,zusammen::ADV,bi hev re,вейс
701,zusammen::ADV,bi hev re,вейсэ
702,lange::ADV,dirêj,кувать
703,plötzlich::ADV,ji nişkave,апак учо
704,sofort::ADV,yekser,курок
705,sofort::ADV,yekser,нейке
706,später::ADV,paşiyê,мейле
707,jetzt::ADV,nuha,ней
708,heute::ADV,îro,течи
709,morgen::ADV,sibeh,ванды
710,bald::ADV,nêzîk,курок
711,dann::ADV,paşê,мейле
712,dann::ADV,paşê,седе мейле
713,gestern::ADV,do,исяк
714,einst::ADV,jar ke,весть
715,einst::ADV,jar ke,зярдо-бути
716,damals::ADV,hîngî,сестэ
717,danach::ADV,piştra,мейле
718,danach::ADV,piştra,седе мейле
719,vorher::ADV,pîşî,васняяк
720,zuerst::ADV,bere,васня
721,einmal::ADV,çarik,весть
722,manchmal::ADV,çarna,лиясто
723,oft::ADV,gelek çaran,сеетьстэ
724,immer::ADV,daîm,свал
725,niemals::ADV,tu çar,а зярдояк
726,hier::ADV,li vir,тесэ
727,hierhin::ADV,vir,тей
728,von hier::ADV,ji vir,тестэ
729,dort::ADV,li wê derê,тосо
730,dorthin::ADV,wêda,тов
731,geradeaus::ADV,rastê rast,витьстэ
732,vorwärts::ADV,ber bi pêş,икелев
733,rückwärts::ADV,paşpê,мекев
734,zurück::ADV,paşdo,мекев
735,zurück::ADV,paşvê,мекев
736,unten::ADV,jêrî,ало
737,hinab::ADV,berjêr,алов
738,oben::ADV,banî,вере
739,hinauf::ADV,banî,верев
740,überall::ADV,li her derê,эрьва косо
741,nicht::ADV,ne,а
742,nicht::ADV,nîn,а
743,nicht::ADV,tine,а
744,ein wenig::ADV,hebkî,аламошка
745,kaum::ADV,tema,ансяк
746,kaum::ADV,himangi,ансяк
747,sehr::ADV,gelek,пек
748,sehr::ADV,gelek,вельть
749,so::ADV,weha,истя
750,noch::ADV,hêj,таго
751,noch::ADV,dîsa,таго
752,nur::ADV,tenê,ансяк
753,nur::ADV,bes,ансяк
754,schon::ADV,hew,уш
755,wieder::ADV,jar din,таго
756,wieder::ADV,dîsa,таго
757,vergebens::ADV,deya çun,стяко
758,vergebens::ADV,îfleh bûn,стяко
759,vor::PRP,li ber,икеле
760,hinter::PRP,li pişt,вельде
761,unter::PRP,li bin,ало
762,durch::PRP,kura,пачк
763,neben::PRP,li ba,вакссо
764,zwischen::PRP,nabeyne,ютксо
765,zwischen::PRP,di nav...da,ютксо
766,wegen::PRP,ji bo,кис
767,wegen::PRP,ji bo,коряс
768,wegen::PRP,ji bo,кувалт
769,wegen::PRP,ji ber,кис
770,wegen::PRP,ji ber,коряс
771,wegen::PRP,ji ber,кувалт
772,dies::PRN,ev,те
773,das::PRN,ev,те
774,das::PRN,ev,тона
775,alles::PRN,hemû,весе
776,alles::PRN,hemû,весемесь
777,ich::PRN,ez,мон
778,du::PRN,tu,тон
779,er::PRN,wî,сон
780,wir::PRN,êm,минь
781,ihr::PRN,hûn,тынь
782,sie::PRN,we,сынь
783,was::FPRN,çi,мезе
784,wer::FPRN,ki,ки
785,wo::FADV,li ku dere,косо
786,wohin::FADV,li ku dere,ков
787,wohin::FADV,li ku dere,козо
788,wie::FADV,çawa,кода
789,warum::FADV,çima,мекс
790,wieviel::FNUM,çend,зяро
791,eins::NUM,yek,вейке
792,zwei::NUM,didu,кавто
793,drei::NUM,sisê,колмо
794,vier::NUM,çar,ниле
795,fünf::NUM,penç,вете
796,sechs::NUM,şeş,кото
797,sieben::NUM,heft,сисем
798,acht::NUM,heşt,кавксо
799,neun::NUM,neh,вейксэ
800,zehn::NUM,deh,кемень
801,elf::NUM,yazdeh,кевейкее
802,zwölf::NUM,diwazdeh,кемгавтово
803,zwanzig::NUM,bîst,комсь
804,dreißig::NUM,sih,колоньгемень
805,vierzig::NUM,çil,ниленьгемень
806,fünfzig::NUM,pençi,ведьгемень
807,sechzig::NUM,şêst,кодгемень
808,siebzig::NUM,heftê,сизьгемень
809,achtzig::NUM,heştê,кавксоньгемень
810,neunzig::NUM,nod,вейксэньгемень
