,Concept_ID,kn,he
298,Höhe::N,ಎತ್ತರ,גבה
299,Gewicht::N,ತೂಕ,משקל
300,Menge::N,ಮೊತ್ತ,כמות
301,Haufen::N,ರಾಶಿ,ערמה
302,Reihe::N,ಸಾಲು,רצף
303,Boot::N,ದೋಣಿ,סירה
304,Ruder::N,ಹುಟ್ಟು,משוט
305,Schlitten::N,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ,מזחלת
306,Ski::N,ಜಾರುಪಟ್ಟಿ,מגלשים
307,Lagerfeuer::N,ಶಿಬಿರಾಗ್ನಿ,מדורה
308,Last::N,ಹೊರೆ,משא
309,Gang::N,ತಿರುಗಾಟ,הליכה
310,Schritt::N,ಹೆಜ್ಜೆ,צעד
311,Norden::N,ಉತ್ತರ,צפון
312,Süden::N,ದಕ್ಷಿಣ,דרום
313,Westen::N,ಪಶ್ಚಿಮ,מערב
314,Osten::N,ಮೂಡಲು,מזרח
315,Holz::N,ಚೌಬೀನೆ,עץ
316,Brett::N,ಹಲಗೆ,קרש
317,Platte::N,ಹಲಗೆ,לוח
318,Stütze::N,ಆಸರೆ,משען
319,Stange::N,ಕಂಬ,מוט
320,Stock::N,ಕೋಲು,מקל
321,Stab::N,ದೊಣ್ಣೆ,מוט
322,Rohr::N,ನಳಿಕೆ,צנור
323,Haus::N,ಮನೆ,בית
324,Heim::N,ಗೃಹ,בית
325,Ofen::N,ಒಲೆ,תנור
326,Fußboden::N,ನೆಲ,רצפה
327,Tisch::N,ಮೇಜು,שלחן
328,Stuhl::N,ಕುರ್ಚಿ,כסא
329,Wiege::N,ತೊಟ್ಟಿಲು,ערש
330,Bett::N,ಹಾಸಿಗೆ,מטה
331,Regal::N,ಬೀರು,מדף
332,Kiste::N,ಪಟ್ಟಿಗೆ,תבה
333,Kiste::N,ಪಟ್ಟಿಗೆ,ארגז
334,Fenster::N,ಕಿಟಕಿ,חלון
335,Tür::N,ಬಾಗಿಲು,דלת
336,Tor::N,ಹೆಬ್ಬಾಗಿಲು,שער
337,Zaun::N,ಬೇಲಿ,גדר
338,Dach::N,ಮಾಳಿಗೆ,גג
339,Leiter::N,ಏಣಿ,סלם
340,Besen::N,ಪೊರಕೆ,מטאטא
341,Spaten::N,ಗುದ್ದಲಿ,את
342,Schaufel::N,ಸನಿಕೆ,את
343,Gabel::N,ಕವಲು,מזלג
344,Löffel::N,ಚಮಚ,כף
345,Messer::N,ಚಾಕು,סכין
346,Nagel::N,ಆಣಿ,מסמר
347,Netz::N,ಬಲೆ,רשת
348,Haken::N,ಕೊಂಡಿ,וו
349,Haken::N,ಕೊಂಡಿ,קרס
350,Griff::N,ಹಿಡಿ,ידית
351,Schloss::N,ವೀಗ,מנעול
352,Bild::N,ಚಿತ್ರ,תמונה
353,Figur::N,ಆಕಾರ,פסל
354,Puppe::N,ಗೊಂಬೆ,בבה
355,Beutel::N,ಸಂಚಿ,שק
356,Bündel::N,ಕಟ್ಟು,צרור
357,Tasche::N,ಚೀಲ,שקית
358,Eimer::N,ಬಾನೆ,דלי
359,Deckel::N,ಮುಚ್ಚಳ,מכסה
360,Geschirr::N,ಭಕ್ಷ್ಯಗಳು,כלים
361,Sack::N,ಮೂಟೆ,שק
362,Tasse::N,ಬಟ್ಟಲು,ספל
363,Topf::N,ಮಡಕೆ,סיר
364,Kessel::N,ಕೆಟಲ್,קנקן
365,Essen::N,ಊಟ,אכל
366,Essen::N,ಊಟ,ארוחה
367,Nahrung::N,ಆಹಾರ,הזנה
368,Nahrung::N,ಆಹಾರ,תזונה
369,Speise::N,ಊಟ,מאכל
370,Speise::N,ಊಟ,ארוחה
371,Fleisch::N,ಮಾಂಸ,בשר
372,Getreide::N,ಧಾನ್ಯ,דגן
373,Brei::N,ಗಂಜಿ,מחית
374,Brot::N,ರೊಟ್ಟಿ,לחם
375,Scheibe::N,ಹೋಳು,עגול
376,Scheibe::N,ಹೋಳು,פרוסה
377,Fett::N,ಕೊಬ್ಬು,שמן
378,Butter::N,ಬೆಣ್ಣೆ,חמאה
379,Öl::N,ಎಣ್ಣೆ,שמן
380,Salz::N,ಉಪ್ಪು,מלח
381,Suppe::N,ಎಸರು,מרק
382,Honig::N,ಮಧು,דבש
383,Milch::N,ಹಾಲು,חלב
384,Tee::N,ಚಹ,תה
385,Leder::N,ಚಕ್ಕಳ,עור
386,Wolle::N,ಉಣ್ಣೆ,צמר
387,Stoff::N,ಬಟ್ಟೆ,בד
388,Stoff::N,ಬಟ್ಟೆ,אריג
389,Nadel::N,ಸೂಜಿ,מחט
390,Faden::N,ದಾರ,חוט
391,Knopf::N,ಗುಂಡು,כפתור
392,Knoten::N,ಗಂಟು,קשר
393,Farbe::N,ಬಣ್ಣ,צבע
394,Kleidung::N,ಅರಿವೆ,בגדים
395,Hemd::N,ಅಂಗಿ,חלצה
396,Kragen::N,ಕುತ್ತಿಗೆಪಟ್ಟಿ,צוארון
397,Ärmel::N,ತೋಳು,שרוול
398,Hose::N,ಇಜಾರ,מכנסים
399,Gürtel::N,ಬೆಲ್ಟು,חגורה
400,Mütze::N,ಟೋಪಿ,כובע
401,Schuh::N,ಪಾದರಕ್ಷೆ,נעל
402,Stiefel::N,ಬೂಟು,מגף
403,Ring::N,ಉಂಗುರ,טבעת
404,Band::N,ರಿಬ್ಬನ್,סרט
405,Kamm::N,ಹಣಿಗೆ,מסרק
406,Spiegel::N,ಕನ್ನಡಿ,מראה
407,Riemen::N,ಬಾರು,רצועה
408,Schnur::N,ಹುರಿ,חבל
409,Leine::N,ಹಗ್ಗ,מושכות
410,Decke::N,ಕಂಬಳಿ,שמיכה
411,Kissen::N,ದಿಂಬು,כרית
412,Tuch::N,ಕೊರಳ ಬಟ್ಟೆ,צעיף
413,Handtuch::N,ಚೌಕ,מגבת
414,Kraft::N,ಬಲ,כוח
415,Stärke::N,ಶಕ್ತಿ,און
416,Gesundheit::N,ಆರೋಗ್ಯ,בריאות
417,Krankheit::N,ರೋಗ,מחלה
418,Schmerz::N,ನೋವು,כאב
419,Wunde::N,ಗಾಯ,פציעה
420,Fieber::N,ಜ್ವರ,חם
421,Arznei::N,ಔಷಧ,תרופה
422,Brücke::N,ಸೇತುವೆ,גשר
423,Brunnen::N,ಬಾವಿ,באר
424,Weide::N,ಗೋಮಾಳ,אחו
425,Weide::N,ಗೋಮಾಳ,מרעה
426,Pfad::N,ದಾರಿ,שביל
427,Pfad::N,ದಾರಿ,מדרכה
428,Weg::N,ಹಾದಿ,דרך
429,Straße::N,ರಸ್ತೆ,כביש
430,Dorf::N,ಹಳ್ಳಿ,כפר
431,Stadt::N,ಪಟ್ಟಣ,עיר
432,Brief::N,ಕಾಗದ,מכתב
433,Buch::N,ಪುಸ್ತಕ,ספר
434,Buchstabe::N,ಅಕ್ಷರ,אות
435,Zeitung::N,ವಾರ್ತಾಪತ್ರಿಕೆ,עתון
436,Leben::N,ಜೀವನ,חיים
437,Tod::N,ಮರಣ,מות
438,Grab::N,ಗೋರಿ,קבר
439,Kirche::N,ಚರ್ಚು,כנסיה
440,Sünde::N,ಪಾಪ,חטא
441,Gott::N,ದೇವರು,אל
442,Arbeiter::N,ಕೆಲಸಗಾರ,פועל
443,Chef::N,ದಣಿ,ראש
444,Chef::N,ದಣಿ,מנהל
445,Meister::N,ಶಿಕ್ಷಕ,ממחה
446,Arzt::N,ವೈದ್ಯ,רופא
447,Lehrer::N,ಉಪಾಧ್ಯಾಯ,מורה
448,Geld::N,ಹಣ,כסף
449,Geschäft::N,ವಾಣಿಜ್ಯ,עסקה
450,Laden::N,ಅಂಗಡಿ,חנות
451,Preis::N,ಬೆಲೆ,מחיר
452,Ware::N,ಸರಕು,סחורה
453,Nutzen::N,ಲಾಭ,תועלת
454,Reichtum::N,ಸಂಪತ್ತು,עשר
455,Welt::N,ಭೂಲೋಕ,עולם
456,Land::N,ದೇಶ,ארץ
457,Staat::N,ರಾಜ್ಯ,מדינה
458,König::N,ರಾಜ,מלך
459,Macht::N,ಅಧಿಕಾರ,כוח
460,Grenze::N,ಗಡಿ,גבול
461,Krieg::N,ಯುದ್ಧ,מלחמה
462,Feind::N,ಶತ್ರು,אויב
463,Gewalt::N,ಹಿಂಸೆ,אלימות
464,Kampf::N,ಹೋರಾಟ,קרב
465,Kampf::N,ಹೋರಾಟ,לחימה
466,Bogen[Waffe]::N,ಬಿಲ್ಲು,קשת
467,Pfeil::N,ಅಂಬು,חץ
468,Gewehr::N,ಬಂದೂಕು,רובה
469,Fehler::N,ತಪ್ಪು,טעות
470,Lüge::N,ಸುಳ್ಳು,שקר
471,Schaden::N,ಹಾನಿ,נזק
472,Unglück::N,ಅಪಾಯ,מזל רע
473,Schuld::N,ದೋಷ,אשמה
474,Alter::N,ಮುಪ್ಪು,גיל
475,Schluss::N,ಮುಕ್ತಾಯ,סיום
476,Zeit::N,ಕಾಲ,זמן
477,Tag::N,ದಿನ,יום
478,Morgen::N,ಮುಂಜಾನೆ,בקר
479,Mittag::N,ನಡುಹಗಲು,צהרים
480,Abend::N,ಸಂಜೆ,ערב
481,Nacht::N,ರಾತ್ರಿ,לילה
482,Woche::N,ವಾರ,שבוע
483,Monat::N,ತಿಂಗಳು,חדש
484,Jahr::N,ಸಂವತ್ಸರ,שנה
485,Frühling::N,ವಸಂತ,אביב
486,Sommer::N,ಬಿಸಿಲುಕಾಲ,קיץ
487,Herbst::N,ಶರತ್ಕಾಲ,סתו
488,Winter::N,ಚಳಿಗಾಲ,חרף
489,Januar::N,ನಾಲ್ಚಳಿ,ינואר
490,Februar::N,ಅಯ್ಚಳಿ,פברואר
491,März::N,ಮೊಬ್ಬೇಸಿಗೆ,מרץ
492,April::N,ಇಬ್ಬೇಸಿಗೆ,אפריל
493,Mai::N,ಮುಬ್ಬೇಸಿಗೆ,מאי
