,Concept_ID,cv,br
62,Wind::N,ҫил,avel
63,Welle::N,хум,houlenn
64,Wasser::N,шыв,dour
65,Wasser::N,шыв-шур,dour
66,Stein::N,чул,maen
67,Boden::N,тӑпра,tachenn
68,Erde::N,ҫӗр,douar
69,Staub::N,тусан,poultr
70,Rauch::N,тӗтӗм,moged
71,Funke::N,хӗм,ful
72,Feuer::N,вут,tan
73,Feuer::N,ҫулӑм,tan
74,Licht::N,ҫутӑ,gouloù
75,Schatten::N,сулхӑн,disheol
76,Wetter::N,ҫанталӑк,amzer
77,Nebel::N,тӗтре,brumenn
78,Wolke::N,пӗлӗт,koumoulenn
79,Regen::N,ҫумӑр,glav
80,Schnee::N,юр,erc'h
81,Eis::N,пӑр,skorn
82,Frost::N,сивӗ,rev
83,Kälte::N,сивӗ,yen
84,Hitze::N,вӗри,tommder
85,Hitze::N,шӑрӑх,tommder
86,Raureif::N,пас,frim
87,Regenbogen::N,асамат кӗперӗ,gwareg-ar-glav
88,Donner::N,аслати,kurun
89,Strömung::N,юхӑ,red
90,Tropfen::N,тумлам,bannac'h
91,Tropfen::N,тумлам,takenn
92,Schaum::N,кӑпӑк,spoum
93,Schmutz::N,пылчӑк,fank
94,See::N,кӳлӗ,lenn
95,Sumpf::N,шур,gwern
96,Sumpf::N,шурлӑх,gwern
97,Moor::N,торфлӑ шурлӑх,taouarc'heg
98,Wiese::N,улӑх,prad
99,Wiese::N,ҫаран,prad
100,Wald::N,вӑрман,koad
101,Hügel::N,сӑрт,torgenn
102,Hügel::N,тӗмеске,torgenn
103,Anhöhe::N,сӑрт,run
104,Berg::N,ту,menez
105,Gipfel::N,тӳпе,barr
106,Höhle::N,ҫӗр хӑвӑлӗ,kav
107,Abhang::N,тӑвайкки,naou
108,Quelle::N,ҫӑл куҫ,feunteun
109,Bach::N,пӗчӗк шыв,gwazh
110,Fluss::N,юхан шыв,stêr
111,Ufer::N,ҫыран,ribl
112,Küste::N,тинӗс ҫыранӗ,aod
113,Festland::N,тип ҫӗр,douar
114,Meer::N,тинӗс,mor
115,Bucht::N,тинӗс кукӑрӗ,mor-bihan
116,Insel::N,утрав,enez
117,Blume::N,чечек,bleunienn
118,Gras::N,курӑк,geot
119,Wurzel::N,тымар,gwrizienn
120,Baum::N,йывӑҫ,gwezenn
121,Stamm::N,вулӑ,kef
122,Rinde::N,хуйӑр,rusk
123,Ast::N,турат,barr
124,Zweig::N,турат,bod
125,Blatt::N,ҫулҫӑ,delienn
126,Birke::N,хурӑн,bezvenn
127,Kiefer[Baum]::N,хыр,pinenn
128,Weide[Baum]::N,хӑва,halegenn
129,Tanne::N,чӑрӑш,sapenn
130,Horn::N,мӑйрака,korn
131,Feder::N,тӗк,pluñv
132,Fell::N,ҫӑм,kreoñ
133,Flügel::N,ҫунат,askell
134,Klaue::N,чӗрне,skilf
135,Kralle::N,ура,skilf
136,Schwanz::N,хӳре,lost
137,Ei::N,ҫӑмарта,vi
138,Nest::N,йӑва,neizh
139,Bau::N,йӗнӗ,douarenn
140,Tier::N,выльӑх,loen
141,Herde::N,кӗтӳ,tropell
142,Kuh::N,ӗне,buoc'h
143,Bulle::N,вӑкӑр,tarv
144,Pferd::N,лаша,marc'h
145,Schaf::N,сурӑх,dañvad
146,Schwein::N,сысна,pemoc'h
147,Hund::N,йытӑ,ki
148,Katze::N,кушак,kazh
149,Bär::N,упа,arzh
150,Eichhörnchen::N,пакша,gwiñver
151,Elch::N,пӑши,karv-dour
152,Fuchs::N,тилӗ,louarn
153,Hase::N,куян,gad
154,Hase::N,мулкач,gad
155,Maus::N,шӑши,logodenn
156,Wolf::N,кашкӑр,bleiz
157,Vogel::N,кайӑк,labous
158,Vogel::N,вӗҫен кайӑк,labous
159,Schwarm::N,ушкӑн,nijad
160,Huhn::N,чӑх,yar
161,Huhn::N,чӑхӑ,yar
162,Hahn::N,автан,kilhog
163,Gans::N,хур,gwazenn
164,Adler::N,ӑмӑрт кайӑк,erer
165,Ente::N,кӑвакал,houad
166,Eule::N,тӑмана,toud
167,Kranich::N,тӑрна,garan
168,Krähe::N,ула курак,bran
169,Kuckuck::N,куккук,koukoug
170,Schwan::N,акӑш,alarc'h
171,Fisch::N,пулӑ,pesk
172,Barsch::N,уланкӑ,brell
173,Hecht::N,ҫӑрттан,beked
174,Schlange[Tier]::N,ҫӗлен,naer
175,Wurm::N,ӑман,preñv
176,Spinne::N,эрешмен,kevnidenn
177,Ameise::N,кӑткӑ,merion
178,Laus::N,пыйтӑ,laouenn
179,Mücke::N,вӑрӑм туна,moustik
180,Fliege::N,шӑна,kelienenn
181,Schmetterling::N,лӗпӗш,balafenn
182,Beere::N,ҫырла,hog
183,Apfel::N,улма,aval
184,Apfel::N,пан улми,aval
185,Pilz::N,кӑмпа,kabell-touseg
186,Zwiebel::N,сухан,ognonenn
187,Saat::N,вӑрӑ,had
188,Korn::N,тӗшӗ,ed
189,Korn::N,пӗрчӗ,ed
190,Heu::N,утӑ,foenn
191,Schale::N,хупӑ,peliadur
192,Grube::N,шӑтӑк,
193,Falle::N,тапӑ,pech
194,Falle::N,капкӑн,pech
195,Schlinge::N,йӑлӑ,krouglas
196,Spur::N,йӗр,
197,Asche::N,кӗл,ludu
198,Dreck::N,пылчӑк,fank
199,Eisen::N,тимӗр,houarn
200,Gold::N,ылтӑн,aour
201,Silber::N,кӗмӗл,arc'hant
202,Kohle::N,кӑмрӑк,glaou
203,Glas::N,кӗленче,gwer
204,Lehm::N,тӑм,
205,Sand::N,хӑйӑр,traezh
206,Mensch::N,ҫын,den
207,Mensch::N,этем,den
208,Mann::N,ар,den
209,Frau::N,хӗрарӑм,maouez
210,Kind::N,ача,bugel
211,Junge::N,ача,paotr
212,Junge::N,ар ҫын ача,paotr
213,Mädchen::N,хӗр ача,plac'h
214,Familie::N,ҫемье,familh
215,Familie::N,кил-йыш,familh
216,Großvater::N,кукаҫи,tad-kozh
217,Großmutter::N,кукамай,mamm-gozh
218,Eltern::N,аҫа-ама,kerent
219,Vater::N,атте,tad
220,Mutter::N,анне,mamm
221,Sohn::N,ывӑл,mab
222,Tochter::N,хӗр,merc'h
223,Bruder::N,ар тӑван,breur
224,Schwester::N,аппа,c'hoar
225,Schwester::N,йӑмӑк,c'hoar
226,Onkel::N,мучи,eontr
227,Onkel::N,пичче,eontr
228,Tante::N,аппа,moereb
229,Ehemann::N,упӑшка,gwaz
230,Ehefrau::N,арӑм,gwreg
231,Freude::N,савӑнӑҫ,levenez
232,Freude::N,хаваслӑх,levenez
233,Gelächter::N,кулӑ,c'hoarzherezh
234,Glück::N,телей,chañs
235,Glück::N,ӑраскал,chañs
236,Kummer::N,хурлӑх,doan
237,Wunsch::N,ӗмӗт,c'hoant
238,Wunsch::N,кӑмӑл,c'hoant
239,Lust::N,кӑмӑл,c'hoant
240,Geist::N,чун-чӗм,spered
241,Geist::N,ыр-усал,spered
242,Geist::N,чун хавалӗ,spered
243,Gedanke::N,шухӑш,soñj
244,Gedächtnis::N,ас,eñvor
245,Verstand::N,ӑс,skiant
246,Verstand::N,ӑс-тӑн,skiant
247,Verstand::N,ӑс-хакӑл,skiant
248,Sinn::N,тупсӑм,ster
249,Sinn::N,пӗлтерӗш,ster
250,Grund::N,сӑлтав,kaoz
251,Wahrheit::N,чӑнлӑх,gwirionez
252,Gespräch::N,калаҫу,kaozeadenn
253,Märchen::N,юмах,kaoz korriganez
254,Erzählung::N,акалав,kontadenn
255,Erzählung::N,каласа пани,kontadenn
256,Nachricht::N,хыпар,keloù
257,Neuigkeit::N,ҫӗнӗ хыпар,kelaouenn
258,Name::N,ят,anv
259,Rätsel::N,сутмалли юмах,divinatez
260,Rede::N,сӑмах,diskour
261,Sprache::N,чӗлхе,yezh
262,Stimme::N,сасӑ,mouezh
263,Wort::N,сӑмах,ger
264,Zeichen::N,паллӑ,sin
265,Ruf::N,йыхрав,galv
266,Ruf::N,чӗнӳ,galv
267,Lärm::N,шав,trouz
268,Laut::N,сасӑ,
269,Ton::N,сасӑ,ton
270,Lied::N,юрӑ,kanaouenn
271,Ruhe::N,канӑҫлӑх,sioulded
272,Ruhe::N,лӑпкӑлӑх,sioulded
273,Leute::N,ҫамрӑксем,tud
274,Leute::N,ҫамрӑк ҫынсем,tud
275,Volk::N,халӑх,pobl
276,Arbeit::N,ӗҫхӗл,labour
277,Arbeit::N,ӗҫлев,labour
278,Gast::N,хӑна,kouviad
279,Geschenk::N,парне,prof
280,Geschenk::N,кучченеҫ,prof
281,Spiel::N,вӑйӑ,c'hoari
282,Gesellschaft::N,общество,kompagnunezh
283,Gesellschaft::N,общество,kavandad
284,Hilfe::N,пулӑшу,sikour
285,Freund::N,тус,mignon
286,Kamerad::N,юлташ,kamarad
287,Kamerad::N,тус,kamarad
288,Angelegenheit::N,ӗҫ,afer
289,Anzahl::N,йыш,niver
290,Anzahl::N,хисеп,niver
291,Art::N,тӗс,sort
292,Stück::N,татӑк,tamm
293,Teil::N,пай,pezh
294,Hälfte::N,ҫурӑ,hanterenn
295,Kreis::N,ункӑ,kelc'h
296,Kreis::N,ҫавракӑш,kelc'h
297,Kreuz::N,хӗрес,kroaz
298,Linie::N,йӗр,linenn
299,Strich::N,йӗр,tenn
300,Abstand::N,хушӑ,distok
301,Entfernung::N,хушӑ,keid
302,Entfernung::N,хушӑ,kehid
303,Gegend::N,вырӑн,korn-bro
304,Platz::N,хутлӑх,plasenn
305,Ort::N,вырӑн,lec'h
306,Seite::N,ен,tu
307,Seite::N,аяк,tu
308,Seite::N,айӑк,tu
309,Mitte::N,варӑ,kreiz
310,Gegenstand::N,япала,tra
311,Sache::N,япала,tra
312,Rand::N,вӗҫ,kantenn
313,Rand::N,хӗрӗ,kantenn
314,Rand::N,хӗрри,kantenn
315,Kante::N,хайкача,kantenn
316,Kante::N,хысак,kantenn
317,Ecke::N,кӗтес,korn
318,Spitze::N,вӗҫ,begell
319,Ende::N,вӗҫ,dibenn
320,Loch::N,шӑтӑк,toull
321,Winkel::N,кӗтес,
322,Muster::N,эреш,tresadenn
323,Größe::N,пысӑкӑш,ment
324,Länge::N,вӑрӑмӑш,hirder
325,Höhe::N,ҫӳллӗш,uhelder
326,Gewicht::N,виҫе,pouez
327,Gewicht::N,йывӑрӑш,pouez
328,Menge::N,йыш,bern
329,Haufen::N,купа,bern
330,Reihe::N,рет,steud
331,Boot::N,кимӗ,bag
332,Ruder::N,кӗсмен,roeñv
333,Schlitten::N,ҫуна,trainell
334,Ski::N,йӗлтӗр,ski
335,Lagerfeuer::N,вут,
336,Lagerfeuer::N,кӑвайт,
337,Last::N,сулмаклӑх,karg
338,Last::N,йывӑр япала,karg
339,Gang::N,куҫӑм,kerzh
340,Schritt::N,утӑм,paz
341,Schritt::N,пусӑм,paz
342,Norden::N,ҫурҫӗр,norzh
343,Norden::N,ҫурҫӗр,hanternoz
344,Süden::N,кӑнтӑр,su
345,Süden::N,кӑнтӑр,kreisteiz
346,Westen::N,анӑҫ,kuzh-heol
347,Westen::N,хӗвел анӑҫ,kuzh-heol
348,Osten::N,хӗвел тухӑҫ,reter
349,Osten::N,хӗвел тухӑҫ,sav-heol
350,Holz::N,йывӑҫ,koad
351,Brett::N,хӑма,plankenn
352,Platte::N,плита,plakenn
353,Stütze::N,ура,harp
354,Stange::N,шерте,sparl
355,Stock::N,патак,bazh
356,Stab::N,шӑчӑ,bazh
357,Rohr::N,пӑрӑх,tub
358,Rohr::N,пӑрӑх,korz
359,Haus::N,ҫурт,ti
360,Heim::N,кил,kêr
361,Ofen::N,кӑмака,forn
362,Fußboden::N,урай,plañchod
363,Tisch::N,сӗтел,taol
364,Stuhl::N,пукан,kador
365,Wiege::N,сӑпка,kavell
366,Bett::N,кравать,gwele
367,Regal::N,ҫӳлӗк,estajerenn
368,Regal::N,сентре,estajerenn
369,Kiste::N,ещӗк,kased
370,Kiste::N,сунтӑх,kased
371,Fenster::N,чӳрече,prenestr
372,Tür::N,алӑк,dor
373,Tor::N,хапха,portal
374,Zaun::N,хӳме,sklotur
375,Dach::N,тӑрӑ,toenn
376,Leiter::N,пусма,skeul
377,Besen::N,шӑпӑр,skubell
378,Spaten::N,кӗреҫе,pal
379,Schaufel::N,кӗреҫе,pal
380,Gabel::N,вилка,fourchetez
381,Löffel::N,кашӑк,loa
382,Messer::N,ҫӗҫӗ,kontell
383,Nagel::N,пӑта,tach
384,Netz::N,тетел,roued
385,Haken::N,йӑрхах,krog
386,Haken::N,ҫекӗл,krog
387,Griff::N,хӑлӑп,kemer
388,Schloss::N,ҫӑра,potenn
389,Bild::N,сӑн,skeudenn
390,Bild::N,сӑнлӑх,skeudenn
391,Bild::N,картина,skeudenn
392,Figur::N,кӗлетке,skeud
393,Figur::N,кӗлетке,figur
394,Puppe::N,пукане,merc'hodenn
395,Beutel::N,михӗ,sac'h
396,Bündel::N,ҫыхӑ,feskenn
397,Bündel::N,тӗрке,feskenn
398,Tasche::N,сумка,sac'h
399,Eimer::N,витре,sailh
400,Deckel::N,хупӑ,pallenn
401,Geschirr::N,савӑт-сапа,listriaj
402,Sack::N,михӗ,sac'h
403,Tasse::N,курка,tas
404,Topf::N,кастрюль,pod
405,Kessel::N,хуран,chaodouron
406,Essen::N,апат,pred
407,Nahrung::N,апат-ҫимӗс,boued
408,Speise::N,апат,meuz
409,Speise::N,ҫимӗҫ,meuz
410,Fleisch::N,аш,kig
411,Fleisch::N,какай,kig
412,Getreide::N,тырӑ,ed
413,Brei::N,пӑтӑ,yod
414,Brot::N,ҫӑкӑр,bara
415,Scheibe::N,чӗлӗ,tailhenn
416,Scheibe::N,касӑк,tailhenn
417,Fett::N,ҫу,lard
418,Butter::N,ҫу,amann
419,Öl::N,ҫу,eoul
420,Salz::N,тӑвар,holen
421,Suppe::N,яшка,soubenn
422,Honig::N,пыл,mel
423,Milch::N,сӗт,laezh
424,Tee::N,чей,te
425,Leder::N,сӑран,lêr
426,Wolle::N,ҫӑм,gloan
427,Stoff::N,тӗртӗм,danvez
428,Nadel::N,йӗп,nadoz
429,Faden::N,ҫип,neudenn
430,Knopf::N,тӳме,bouton
431,Knoten::N,йӑлӑ,skoulm
432,Farbe::N,сӑрӑ,liv
433,Kleidung::N,тум,dilhad
434,Kleidung::N,ҫипуҫ,dilhad
435,Kleidung::N,тум-тир,dilhad
436,Hemd::N,кӗпе,roc'hed
437,Kragen::N,ҫуха,gouzoug
438,Ärmel::N,ҫанӑ,milgin
439,Hose::N,шӑлавар,bragoù
440,Gürtel::N,пиҫиххи,gouriz
441,Mütze::N,ҫӗлӗк,boned
442,Schuh::N,пушмак,botez
443,Schuh::N,ботинок,botez
444,Stiefel::N,атӑ,botez
445,Ring::N,ҫӗрӗ,gwalenn
446,Band::N,хаю,bagad
447,Band::N,йӗсме,bagad
448,Kamm::N,тура,krib
449,Spiegel::N,тӗкӗр,melezour
450,Spiegel::N,куҫ кӗски,melezour
451,Riemen::N,чӗн,lerenn
452,Schnur::N,кантра,kordenn
453,Leine::N,касмӑк,roll
454,Decke::N,утиял,golo
455,Kissen::N,ҫытар,goubenner
456,Kissen::N,минтер,goubenner
457,Tuch::N,тутӑр,mezher
458,Handtuch::N,ал шӑлли,toailhon
459,Kraft::N,вӑй,nerzh
460,Kraft::N,хӑват,nerzh
461,Stärke::N,хал,nerzhder
462,Stärke::N,хӑват,nerzhder
463,Gesundheit::N,хал,yec'hed
464,Gesundheit::N,сывлӑх,yec'hed
465,Krankheit::N,чир,klañved
466,Schmerz::N,ырату,poan
467,Schmerz::N,ырату,droug
468,Wunde::N,суран,gloazadenn
469,Fieber::N,сив чир,terzhienn
470,Arznei::N,эмел,louzoù
471,Brücke::N,кӗпер,pont
472,Brunnen::N,ҫӑл,puñs
473,Brunnen::N,пусӑ,puñs
474,Weide::N,ҫаран,prad
475,Pfad::N,йӗр,gwenodenn
476,Pfad::N,сукмак,gwenodenn
477,Weg::N,ҫул,hent
478,Weg::N,ҫул-йӗр,hent
479,Straße::N,ҫӳрев,ru
480,Straße::N,ҫӳрев,hent
481,Straße::N,ҫул ҫӳрени,ru
482,Straße::N,ҫул ҫӳрени,hent
483,Dorf::N,ял,kêr
484,Dorf::N,ял,kêriadenn
485,Stadt::N,хула,kêr
486,Brief::N,ҫыру,lizher
487,Buch::N,кӗнеке,levr
488,Buchstabe::N,сас палли,lizherenn
489,Zeitung::N,хаҫат,kazetenn
490,Leben::N,пурнӑҫ,buhez
491,Tod::N,вилӗм,marv
492,Grab::N,масар шӑтӑкӗ,bez
493,Kirche::N,чиркӳ,iliz
494,Sünde::N,ҫылӑх,pec'hed
495,Gott::N,турӑ,doue
496,Arbeiter::N,рабочи,labourer
497,Arbeiter::N,рабочи,micherour
498,Chef::N,пуҫлӑх,penn
499,Meister::N,ӑста,mestr
500,Meister::N,мастер,mestr
501,Arzt::N,врач,mezeg
502,Arzt::N,врач,medisin
503,Arzt::N,тухтӑр,mezeg
504,Arzt::N,тухтӑр,medisin
505,Lehrer::N,учитель,skolaer
506,Lehrer::N,учитель,kelenner
507,Lehrer::N,вӗрентекен,skolaer
508,Lehrer::N,вӗрентекен,kelenner
509,Geld::N,укҫа,arc'hant
510,Geschäft::N,бизнес,stal
511,Laden::N,магазин,stal
512,Preis::N,хак,priz
513,Ware::N,тавар,marc'hadourezh
514,Nutzen::N,пайта,gounidegezh
515,Nutzen::N,пайта,lañs
516,Nutzen::N,пайта,profit
517,Nutzen::N,пайта,spleit
518,Reichtum::N,мул,pinvidigezh
519,Welt::N,тӗнче,douar
520,Land::N,ҫӗр-шыв,bro
521,Staat::N,патшàлӑх,stad
522,König::N,король,roue
523,Macht::N,власть,galloud
524,Grenze::N,чикӗ,harzoù
525,Krieg::N,вӑрҫӑ,brezel
526,Feind::N,тӑшман,eneber
527,Gewalt::N,ирӗксӗрлӳ,tâerder
528,Kampf::N,кӗрешӳ,kann
529,Bogen[Waffe]::N,ухӑ,gwareg
530,Pfeil::N,ҫӗмрен,saezh
531,Pfeil::N,ухӑ йӗппи,saezh
532,Gewehr::N,пӑшал,fuzuilh
533,Fehler::N,йӑнӑш,fazi
534,Lüge::N,суя,gaou
535,Lüge::N,ултав,gaou
536,Schaden::N,сиен,gwall
537,Unglück::N,шар,gwalleur
538,Unglück::N,инкек,gwalleur
539,Schuld::N,айӑп,kablusted
540,Schuld::N,айӑп,pec'hedigezh
541,Alter::N,ҫул шучӗ,oad
542,Schluss::N,пӗтни,diwezh
543,Schluss::N,пӗтмӗш,diwezh
544,Zeit::N,вӑхӑт,amzer
545,Tag::N,кун,deizh
546,Morgen::N,ир,beure
547,Morgen::N,ир,mintin
548,Mittag::N,кӑнтӑрла,kreisteiz
549,Abend::N,каҫ,abardaez
550,Nacht::N,каҫ,noz
551,Woche::N,эрне,sizhun
552,Monat::N,уйӑх,miz
553,Jahr::N,ҫулталӑк,bloaz
554,Frühling::N,ҫур,nevezamzer
555,Frühling::N,ҫуркунне,nevezamzer
556,Sommer::N,ҫу,hañv
557,Sommer::N,ҫулла,hañv
558,Herbst::N,кӗр,diskaramzer
559,Herbst::N,кӗркунне,diskaramzer
560,Winter::N,хӗл,goañv
561,Winter::N,хӗлле,goañv
562,Januar::N,январь,Genver
563,Februar::N,февраль,C'hwevrer
564,Februar::N,кӗҫӗн кӑрлач,C'hwevrer
565,März::N,март,Meurzh
566,März::N,пуш уйӑхӗ,Meurzh
567,April::N,апрель,Ebrel
568,Mai::N,май,Mae
569,Juni::N,июнь,Mezheven
570,Juli::N,июль,Gouhere
571,August::N,август,Eost
572,September::N,сентябрь,Gwengolo
573,September::N,авӑн уйӑхӗ,Gwengolo
574,Oktober::N,октябрь,Here
575,November::N,ноябрь,Du
576,Dezember::N,раштав,Kerzu
577,Dezember::N,декабрь,Kerzu
578,Montag::N,тунти кун,Lun
579,Dienstag::N,ытлари кун,Meurzh
580,Mittwoch::N,юн кун,Merc'her
581,Donnerstag::N,кӗҫнерни кун,Yaou
582,Freitag::N,эрне кун,Gwener
583,Samstag::N,шӑмат кун,Sadorn
584,Sonntag::N,вырсарни кун,Sul
585,groß::A,пысӑк,bras
586,klein::A,пӗчӗк,bihan
587,lang::A,вӑрӑм,hir
588,kurz::A,кӗске,berr
589,breit::A,сарлака,ledan
590,schmal::A,ансӑр,strizh
591,dicht::A,йӑвӑ,stank
592,dick[Gegenstand]::A,хулӑн,tev
593,dünn::A,ҫинҫе,moan
594,dünn::A,ҫӳхе,moan
595,fein::A,тарай,munut
596,fein::A,вӗлтӗрти,munut
597,fest::A,тӗреклӗ,start
598,flach::A,лаптак,plaen
599,glatt::A,такӑр,lintr
600,glatt::A,такӑр,levn
601,hart::A,хытӑ,kalet
602,weich::A,ҫемҫе,blot
603,rund::A,ҫавра,ront
604,spitz::A,шӗвӗр,poentet
605,scharf::A,ҫивӗч,dremm
606,stumpf::A,мӑка,talsoc'h
607,stumpf::A,пуклак,talsoc'h
608,stumpf::A,тӗрӗнчӗк,talsoc'h
609,stumpf::A,ӑнкарусӑр,talsoc'h
610,schwer::A,йывӑр,pounner
611,schön::A,илемлӗ,kaer
612,heiß::A,вӗри,tomm
613,warm::A,ӑшӑ,tomm
614,kalt::A,сивӗ,yen
615,kühl::A,уҫӑ,yen
616,frisch::A,уҫӑ,fresk
617,feucht::A,йӗпе,gleb
618,nass::A,нӳрӗ,gleb
619,trocken::A,типӗ,sec'h
620,voll::A,тулли,leun
621,leer::A,пушӑ,goullo
622,offen::A,уҫӑ,digor
623,geschlossen::A,хупӑ,serr
624,sauber::A,таса,naet
625,schmutzig::A,пылчӑклӑ,lous
626,schmutzig::A,вараланчӑк,lous
627,roh::A,чӗрӗ,kriz
628,reif::A,пулнӑ,darev
629,reif::A,пиҫӗхнӗ,darev
630,reif::A,аталаннӑ,darev
631,reif::A,пиҫсе ҫитнӗ,darev
632,lecker::A,тутлӑ,lipous
633,lecker::A,тутлӑ,saourus
634,lecker::A,техӗмлӗ,lipous
635,lecker::A,техӗмлӗ,saourus
636,süß::A,пылак,dous
637,bitter::A,йӳҫӗ,c'hwerv
638,sauer::A,йӳҫӗ,trenk
639,sauer::A,йӳҫек,trenk
640,sauer::A,кӑвасак,trenk
641,hell::A,ҫутӑ,sklaer
642,dunkel::A,тӗттӗм,teñval
643,schwarz::A,хура,du
644,weiß::A,шурӑ,gwenn
645,rot::A,хӗрлӗ,ruz
646,gelb::A,сарӑ,melen
647,blau::A,кӑвак,glas
648,grün::A,симӗс,gwer
649,grün::A,пиҫмен,gwer
650,grün::A,ӑс пухман,gwer
651,grau::A,кӑвак,louet
652,bunt::A,чӑпар,liesliv
653,billig::A,йӳнӗ,marc'had-mat
654,teuer::A,хаклӑ,ker
655,wertvoll::A,паха,prizius
656,blind::A,суккӑр,dall
657,taub::A,хӑлхасӑр,bouzar
658,kräftig::A,хӑватлӑ,start
659,stark::A,вирлӗ,kreñv
660,schwach::A,халсӑр,gwan
661,fett::A,самӑр,lard
662,fett::A,мӑнтӑр,lard
663,schlank::A,йӑрӑс,sinkl
664,schlank::A,яштака,sinkl
665,hübsch::A,хитре,koant
666,böse::A,усал,gwall
667,dumm::A,ухмах,glep
668,faul::A,наян,lezirek
669,faul::A,юлхав,lezirek
670,faul::A,ӳркенчӗк,lezirek
671,fleißig::A,хастар,studius
672,geizig::A,хытӑ,tost
673,klug::A,ӑслӑ,speredek
674,geschickt::A,ӑста,dornet
675,lieb::A,савнӑ,koant
676,lustig::A,хаваслӑ,laouen
677,sanft::A,ачаш,flour
678,hungrig::A,выҫӑ,marnaon
679,krank::A,чирлӗ,klañv
680,nackt::A,ҫара,noazh
681,traurig::A,салхуллӑ,trist
682,lebendig::A,чӗрӗ,bev
683,gut::A,аван,mad
684,gut::A,лайӑх,mad
685,schlecht::A,япӑх,fall
686,schlecht::A,япӑх,gwall
687,schlecht::A,начар,fall
688,schlecht::A,начар,gwall
689,richtig::A,тӗрӗс,reizh
690,schlimm::A,йӗрӗнчӗк,gwall
691,wahr::A,чӑн,gwir
692,alt::A,кивӗ,kozh
693,neu::A,ҫӗнӗ,nevez
694,ehemalig::A,пулнӑ,kozh
695,alt[Lebewesen]::A,ватӑ,kozh
696,jung::A,яш,yaouank
697,jung::A,ҫамрӑк,yaouank
698,arm::A,чухӑн,paour
699,reich::A,пуян,pinvidik
700,bekannt::A,пӗлӗш,anavezet
701,berühmt::A,чаплӑ,brudet
702,fremd::A,ют,dizanav
703,verschieden::A,расна,disheñel
704,nah::A,ҫывӑх,nes
705,nah::A,ҫывӑхри,nes
706,fern::A,инҫе,diabell
707,fern::A,аякри,diabell
708,linker::A,сулахай,kleiz
709,rechter::A,сылтӑм,dehoù
710,anderer::A,урӑх,all
711,erster::A,пӗрремӗш,kentañ
712,zweiter::A,иккӗмӗш,eil
713,dritter::A,виҫҫӗмӗш,trede
714,letzter::A,юлашки,diwezhañ
715,allein::ADV,пӗччен,e-unan
716,auf einmal::ADV,кӗмӗрккен,ar un dro
717,zusammen::ADV,пӗрле,asambles
718,lange::ADV,вӑрах,pell
719,plötzlich::ADV,сасартӑк,en un taol
720,sofort::ADV,тӳрех,diouzhtu
721,später::ADV,кайран,diwezhatoc'h
722,jetzt::ADV,халь,bremañ
723,jetzt::ADV,халӗ,bremañ
724,heute::ADV,паян,hiziv
725,morgen::ADV,ыран,arc'hoazh
726,bald::ADV,халех,hepdale
