,Concept_ID,cs,cv
279,Wahrheit::N,pravda,чӑнлӑх
280,Gespräch::N,rozhovor,калаҫу
281,Märchen::N,pohádka,юмах
282,Erzählung::N,povídka,акалав
283,Erzählung::N,povídka,каласа пани
284,Nachricht::N,zpráva,хыпар
285,Neuigkeit::N,novina,ҫӗнӗ хыпар
286,Neuigkeit::N,novinka,ҫӗнӗ хыпар
287,Name::N,jméno,ят
288,Rätsel::N,hádanka,сутмалли юмах
289,Rede::N,řeč,сӑмах
290,Rede::N,proslov,сӑмах
291,Sprache::N,řeč,чӗлхе
292,Sprache::N,jazyk,чӗлхе
293,Stimme::N,hlas,сасӑ
294,Wort::N,slovo,сӑмах
295,Zeichen::N,znamení,паллӑ
296,Ruf::N,zavolání,йыхрав
297,Ruf::N,zavolání,чӗнӳ
298,Lärm::N,hluk,шав
299,Laut::N,zvuk,сасӑ
300,Ton::N,tón,сасӑ
301,Lied::N,píseň,юрӑ
302,Ruhe::N,klid,канӑҫлӑх
303,Ruhe::N,klid,лӑпкӑлӑх
304,Ruhe::N,pokoj,канӑҫлӑх
305,Ruhe::N,pokoj,лӑпкӑлӑх
306,Leute::N,lidé,ҫамрӑксем
307,Leute::N,lidé,ҫамрӑк ҫынсем
308,Volk::N,národ,халӑх
309,Arbeit::N,práce,ӗҫхӗл
310,Arbeit::N,práce,ӗҫлев
311,Gast::N,host,хӑна
312,Geschenk::N,dar,парне
313,Geschenk::N,dar,кучченеҫ
314,Spiel::N,hra,вӑйӑ
315,Gesellschaft::N,společnost,общество
316,Hilfe::N,pomoc,пулӑшу
317,Freund::N,přítel,тус
318,Kamerad::N,kamarád,юлташ
319,Kamerad::N,kamarád,тус
320,Angelegenheit::N,záležitost,ӗҫ
321,Anzahl::N,počet,йыш
322,Anzahl::N,počet,хисеп
323,Art::N,druh,тӗс
324,Stück::N,kus,татӑк
325,Stück::N,kousek,татӑк
326,Teil::N,díl,пай
327,Teil::N,část,пай
328,Hälfte::N,půl,ҫурӑ
329,Kreis::N,kruh,ункӑ
330,Kreis::N,kruh,ҫавракӑш
331,Kreuz::N,kříž,хӗрес
332,Linie::N,linka,йӗр
333,Strich::N,čára,йӗр
334,Strich::N,čárka,йӗр
335,Abstand::N,vzdálenost,хушӑ
336,Entfernung::N,vzdálenost,хушӑ
337,Gegend::N,krajina,вырӑн
338,Platz::N,prostor,хутлӑх
339,Ort::N,místo,вырӑн
340,Seite::N,strana,ен
341,Seite::N,strana,аяк
342,Seite::N,strana,айӑк
343,Mitte::N,střed,варӑ
344,Mitte::N,prostředek,варӑ
345,Gegenstand::N,předmět,япала
346,Sache::N,věc,япала
347,Rand::N,kraj,вӗҫ
348,Rand::N,kraj,хӗрӗ
349,Rand::N,kraj,хӗрри
350,Rand::N,okraj,вӗҫ
351,Rand::N,okraj,хӗрӗ
352,Rand::N,okraj,хӗрри
353,Kante::N,hrana,хайкача
354,Kante::N,hrana,хысак
355,Ecke::N,roh,кӗтес
356,Spitze::N,hrot,вӗҫ
357,Spitze::N,špička,вӗҫ
358,Ende::N,konec,вӗҫ
359,Loch::N,díra,шӑтӑк
360,Winkel::N,kout,кӗтес
361,Muster::N,vzor,эреш
362,Größe::N,velikost,пысӑкӑш
363,Länge::N,délka,вӑрӑмӑш
364,Höhe::N,výška,ҫӳллӗш
365,Gewicht::N,váha,виҫе
366,Gewicht::N,váha,йывӑрӑш
367,Menge::N,množství,йыш
368,Haufen::N,kupa,купа
369,Haufen::N,hromada,купа
370,Reihe::N,řada,рет
371,Reihe::N,řádek,рет
372,Boot::N,člun,кимӗ
373,Ruder::N,veslo,кӗсмен
374,Schlitten::N,sáně,ҫуна
375,Ski::N,lyže,йӗлтӗр
376,Lagerfeuer::N,táborák,вут
377,Lagerfeuer::N,táborák,кӑвайт
378,Last::N,náklad,сулмаклӑх
379,Last::N,náklad,йывӑр япала
380,Last::N,břemeno,сулмаклӑх
381,Last::N,břemeno,йывӑр япала
382,Gang::N,chůze,куҫӑм
383,Gang::N,chodba,куҫӑм
384,Schritt::N,krok,утӑм
385,Schritt::N,krok,пусӑм
386,Norden::N,sever,ҫурҫӗр
387,Süden::N,jih,кӑнтӑр
388,Westen::N,západ,анӑҫ
389,Westen::N,západ,хӗвел анӑҫ
390,Osten::N,východ,хӗвел тухӑҫ
391,Holz::N,dřevo,йывӑҫ
392,Brett::N,prkno,хӑма
393,Platte::N,deska,плита
394,Stütze::N,opěra,ура
395,Stange::N,tyč,шерте
396,Stange::N,tyčka,шерте
397,Stock::N,hůlka,патак
398,Stab::N,hůl,шӑчӑ
399,Rohr::N,trubka,пӑрӑх
400,Haus::N,dům,ҫурт
401,Heim::N,domov,кил
402,Ofen::N,kamna,кӑмака
403,Fußboden::N,podlaha,урай
404,Tisch::N,stůl,сӗтел
405,Stuhl::N,židle,пукан
406,Wiege::N,kolébka,сӑпка
407,Bett::N,postel,кравать
408,Regal::N,regál,ҫӳлӗк
409,Regal::N,regál,сентре
410,Regal::N,police,ҫӳлӗк
411,Regal::N,police,сентре
412,Kiste::N,bedna,ещӗк
413,Kiste::N,bedna,сунтӑх
414,Fenster::N,okno,чӳрече
415,Tür::N,dveře,алӑк
416,Tor::N,vrata,хапха
417,Zaun::N,plot,хӳме
418,Dach::N,střecha,тӑрӑ
419,Leiter::N,žebřík,пусма
420,Besen::N,koště,шӑпӑр
421,Besen::N,smeták,шӑпӑр
422,Spaten::N,rýč,кӗреҫе
423,Schaufel::N,lopata,кӗреҫе
424,Gabel::N,vidlička,вилка
425,Löffel::N,lžíce,кашӑк
426,Messer::N,nůž,ҫӗҫӗ
427,Nagel::N,hřebík,пӑта
428,Netz::N,síť,тетел
429,Haken::N,hák,йӑрхах
430,Haken::N,hák,ҫекӗл
431,Griff::N,držadlo,хӑлӑп
432,Schloss::N,zámek,ҫӑра
433,Bild::N,obraz,сӑн
434,Bild::N,obraz,сӑнлӑх
435,Bild::N,obraz,картина
436,Figur::N,figura,кӗлетке
437,Puppe::N,panenka,пукане
438,Beutel::N,pytlík,михӗ
439,Bündel::N,svazek,ҫыхӑ
440,Bündel::N,svazek,тӗрке
441,Tasche::N,taška,сумка
442,Tasche::N,brašna,сумка
443,Eimer::N,kýbl,витре
444,Eimer::N,vědro,витре
445,Deckel::N,víko,хупӑ
446,Deckel::N,příklop,хупӑ
447,Geschirr::N,nádobí,савӑт-сапа
448,Sack::N,pytel,михӗ
449,Tasse::N,šálek,курка
450,Topf::N,hrnec,кастрюль
451,Kessel::N,kotel,хуран
452,Essen::N,jídlo,апат
453,Nahrung::N,strava,апат-ҫимӗс
454,Nahrung::N,potrava,апат-ҫимӗс
455,Speise::N,jídlo,апат
456,Speise::N,jídlo,ҫимӗҫ
457,Fleisch::N,maso,аш
458,Fleisch::N,maso,какай
459,Getreide::N,obilí,тырӑ
460,Brei::N,kaše,пӑтӑ
461,Brot::N,chléb,ҫӑкӑр
462,Scheibe::N,krajíc,чӗлӗ
463,Scheibe::N,krajíc,касӑк
464,Fett::N,tuk,ҫу
465,Fett::N,omastek,ҫу
466,Butter::N,máslo,ҫу
467,Öl::N,olej,ҫу
468,Salz::N,sůl,тӑвар
469,Suppe::N,polévka,яшка
470,Honig::N,med,пыл
471,Milch::N,mléko,сӗт
472,Tee::N,čaj,чей
473,Leder::N,kůže,сӑран
474,Wolle::N,vlna,ҫӑм
475,Stoff::N,látka,тӗртӗм
476,Nadel::N,jehla,йӗп
477,Faden::N,nit,ҫип
478,Knopf::N,knoflík,тӳме
479,Knoten::N,uzel,йӑлӑ
480,Farbe::N,barva,сӑрӑ
481,Kleidung::N,šaty,тум
482,Kleidung::N,šaty,ҫипуҫ
483,Kleidung::N,šaty,тум-тир
484,Kleidung::N,šatstvo,тум
485,Kleidung::N,šatstvo,ҫипуҫ
486,Kleidung::N,šatstvo,тум-тир
487,Hemd::N,košile,кӗпе
488,Kragen::N,límec,ҫуха
489,Ärmel::N,rukáv,ҫанӑ
490,Hose::N,kalhoty,шӑлавар
491,Gürtel::N,pás,пиҫиххи
492,Gürtel::N,opasek,пиҫиххи
493,Mütze::N,čepice,ҫӗлӗк
494,Schuh::N,bota,пушмак
495,Schuh::N,bota,ботинок
496,Stiefel::N,holínka,атӑ
497,Ring::N,prsten,ҫӗрӗ
498,Band::N,pásek,хаю
499,Band::N,pásek,йӗсме
500,Kamm::N,hřeben,тура
501,Spiegel::N,zrcadlo,тӗкӗр
502,Spiegel::N,zrcadlo,куҫ кӗски
503,Riemen::N,řemen,чӗн
504,Schnur::N,šňůra,кантра
505,Leine::N,vodítko,касмӑк
506,Decke::N,pokrývka,утиял
507,Decke::N,přikrývka,утиял
508,Kissen::N,polštář,ҫытар
509,Kissen::N,polštář,минтер
510,Tuch::N,šátek,тутӑр
511,Handtuch::N,ručník,ал шӑлли
512,Kraft::N,síla,вӑй
513,Kraft::N,síla,хӑват
514,Stärke::N,síla,хал
515,Stärke::N,síla,хӑват
516,Gesundheit::N,zdraví,хал
517,Gesundheit::N,zdraví,сывлӑх
518,Krankheit::N,nemoc,чир
519,Krankheit::N,choroba,чир
520,Schmerz::N,bolest,ырату
521,Wunde::N,rána,суран
522,Fieber::N,horečka,сив чир
523,Arznei::N,lék,эмел
524,Brücke::N,most,кӗпер
525,Brunnen::N,studna,ҫӑл
526,Brunnen::N,studna,пусӑ
527,Weide::N,pastva,ҫаран
528,Weide::N,pastvina,ҫаран
529,Pfad::N,pěšina,йӗр
530,Pfad::N,pěšina,сукмак
531,Weg::N,cesta,ҫул
532,Weg::N,cesta,ҫул-йӗр
533,Straße::N,silnice,ҫӳрев
534,Straße::N,silnice,ҫул ҫӳрени
535,Dorf::N,vesnice,ял
536,Stadt::N,město,хула
537,Brief::N,dopis,ҫыру
538,Buch::N,kniha,кӗнеке
539,Buchstabe::N,písmeno,сас палли
540,Zeitung::N,noviny,хаҫат
541,Leben::N,život,пурнӑҫ
542,Tod::N,smrt,вилӗм
543,Grab::N,hrob,масар шӑтӑкӗ
544,Kirche::N,kostel,чиркӳ
545,Sünde::N,hřích,ҫылӑх
546,Gott::N,bůh,турӑ
547,Arbeiter::N,dělník,рабочи
548,Arbeiter::N,pracovník,рабочи
549,Chef::N,šéf,пуҫлӑх
550,Chef::N,vedoucí,пуҫлӑх
551,Meister::N,mistr,ӑста
552,Meister::N,mistr,мастер
553,Arzt::N,lékař,врач
554,Arzt::N,lékař,тухтӑр
555,Lehrer::N,učitel,учитель
556,Lehrer::N,učitel,вӗрентекен
557,Geld::N,peníze,укҫа
558,Geschäft::N,obchod,бизнес
559,Laden::N,krám,магазин
560,Preis::N,cena,хак
561,Ware::N,zboží,тавар
562,Nutzen::N,užitek,пайта
563,Reichtum::N,bohatství,мул
564,Welt::N,svět,тӗнче
565,Land::N,země,ҫӗр-шыв
566,Staat::N,stát,патшàлӑх
567,König::N,král,король
568,Macht::N,moc,власть
569,Macht::N,mocnost,власть
570,Grenze::N,hranice,чикӗ
571,Krieg::N,válka,вӑрҫӑ
572,Feind::N,nepřítel,тӑшман
573,Gewalt::N,násilí,ирӗксӗрлӳ
574,Kampf::N,boj,кӗрешӳ
575,Bogen[Waffe]::N,luk,ухӑ
576,Pfeil::N,šíp,ҫӗмрен
577,Pfeil::N,šíp,ухӑ йӗппи
578,Gewehr::N,puška,пӑшал
579,Gewehr::N,ručnice,пӑшал
580,Fehler::N,chyba,йӑнӑш
581,Lüge::N,lež,суя
582,Lüge::N,lež,ултав
583,Schaden::N,škoda,сиен
584,Unglück::N,neštěstí,шар
585,Unglück::N,neštěstí,инкек
586,Schuld::N,vina,айӑп
587,Alter::N,věk,ҫул шучӗ
588,Schluss::N,konec,пӗтни
589,Schluss::N,konec,пӗтмӗш
590,Zeit::N,čas,вӑхӑт
591,Tag::N,den,кун
592,Morgen::N,ráno,ир
593,Morgen::N,jitro,ир
594,Mittag::N,poledne,кӑнтӑрла
595,Abend::N,večer,каҫ
596,Nacht::N,noc,каҫ
597,Woche::N,týden,эрне
598,Monat::N,měsíc,уйӑх
599,Jahr::N,rok,ҫулталӑк
600,Frühling::N,jaro,ҫур
601,Frühling::N,jaro,ҫуркунне
602,Sommer::N,léto,ҫу
603,Sommer::N,léto,ҫулла
604,Herbst::N,podzim,кӗр
605,Herbst::N,podzim,кӗркунне
606,Winter::N,zima,хӗл
607,Winter::N,zima,хӗлле
608,Januar::N,leden,январь
609,Februar::N,únor,февраль
610,Februar::N,únor,кӗҫӗн кӑрлач
611,März::N,březen,март
612,März::N,březen,пуш уйӑхӗ
613,April::N,duben,апрель
614,Mai::N,květen,май
615,Juni::N,červen,июнь
616,Juli::N,červenec,июль
617,August::N,srpen,август
618,September::N,září,сентябрь
619,September::N,září,авӑн уйӑхӗ
620,Oktober::N,říjen,октябрь
621,November::N,listopad,ноябрь
622,Dezember::N,prosinec,раштав
623,Dezember::N,prosinec,декабрь
624,Montag::N,pondělí,тунти кун
625,Montag::N,pondělek,тунти кун
626,Dienstag::N,úterý,ытлари кун
627,Mittwoch::N,středa,юн кун
628,Donnerstag::N,čtvrtek,кӗҫнерни кун
629,Freitag::N,pátek,эрне кун
630,Samstag::N,sobota,шӑмат кун
631,Sonntag::N,neděle,вырсарни кун
632,groß::A,velký,пысӑк
633,klein::A,malý,пӗчӗк
634,lang::A,dlouhý,вӑрӑм
635,kurz::A,krátký,кӗске
636,breit::A,široký,сарлака
637,schmal::A,úzký,ансӑр
638,dicht::A,hustý,йӑвӑ
639,dick[Gegenstand]::A,tlustý,хулӑн
640,dünn::A,tenký,ҫинҫе
641,dünn::A,tenký,ҫӳхе
642,fein::A,jemný,тарай
643,fein::A,jemný,вӗлтӗрти
644,fest::A,pevný,тӗреклӗ
645,flach::A,plochý,лаптак
646,flach::A,placatý,лаптак
647,glatt::A,hladký,такӑр
648,hart::A,tvrdý,хытӑ
649,weich::A,měkký,ҫемҫе
650,rund::A,kulatý,ҫавра
651,rund::A,okrouhlý,ҫавра
652,spitz::A,špičatý,шӗвӗр
653,scharf::A,ostrý,ҫивӗч
654,stumpf::A,tupý,мӑка
655,stumpf::A,tupý,пуклак
656,stumpf::A,tupý,тӗрӗнчӗк
657,stumpf::A,tupý,ӑнкарусӑр
658,schwer::A,těžký,йывӑр
659,schön::A,pěkný,илемлӗ
660,schön::A,krásný,илемлӗ
661,heiß::A,horký,вӗри
662,warm::A,teplý,ӑшӑ
663,kalt::A,studený,сивӗ
664,kühl::A,chladný,уҫӑ
665,frisch::A,svěží,уҫӑ
666,feucht::A,vlhký,йӗпе
667,nass::A,mokrý,нӳрӗ
668,trocken::A,suchý,типӗ
669,voll::A,plný,тулли
670,leer::A,prázdný,пушӑ
671,offen::A,otevřený,уҫӑ
672,geschlossen::A,zavřený,хупӑ
673,sauber::A,čistý,таса
674,schmutzig::A,špinavý,пылчӑклӑ
675,schmutzig::A,špinavý,вараланчӑк
676,roh::A,syrový,чӗрӗ
677,reif::A,zralý,пулнӑ
678,reif::A,zralý,пиҫӗхнӗ
679,reif::A,zralý,аталаннӑ
680,reif::A,zralý,пиҫсе ҫитнӗ
681,lecker::A,chutný,тутлӑ
682,lecker::A,chutný,техӗмлӗ
683,süß::A,sladký,пылак
684,bitter::A,hořký,йӳҫӗ
685,sauer::A,kyselý,йӳҫӗ
686,sauer::A,kyselý,йӳҫек
687,sauer::A,kyselý,кӑвасак
688,hell::A,světlý,ҫутӑ
689,dunkel::A,temný,тӗттӗм
690,schwarz::A,černý,хура
691,weiß::A,bílý,шурӑ
692,rot::A,rudý,хӗрлӗ
693,rot::A,červený,хӗрлӗ
694,gelb::A,žlutý,сарӑ
695,blau::A,modrý,кӑвак
696,grün::A,zelený,симӗс
697,grün::A,zelený,пиҫмен
698,grün::A,zelený,ӑс пухман
699,grau::A,šedý,кӑвак
700,grau::A,šedivý,кӑвак
701,bunt::A,pestrý,чӑпар
702,billig::A,levný,йӳнӗ
703,billig::A,laciný,йӳнӗ
704,teuer::A,drahý,хаклӑ
705,wertvoll::A,cenný,паха
706,blind::A,slepý,суккӑр
707,taub::A,hluchý,хӑлхасӑр
708,kräftig::A,silný,хӑватлӑ
709,stark::A,silný,вирлӗ
710,schwach::A,slabý,халсӑр
711,fett::A,tučný,самӑр
712,fett::A,tučný,мӑнтӑр
713,fett::A,tlustý,самӑр
714,fett::A,tlustý,мӑнтӑр
715,schlank::A,štíhlý,йӑрӑс
716,schlank::A,štíhlý,яштака
717,hübsch::A,hezký,хитре
718,böse::A,zlý,усал
719,dumm::A,hloupý,ухмах
720,faul::A,líný,наян
721,faul::A,líný,юлхав
722,faul::A,líný,ӳркенчӗк
723,fleißig::A,pilný,хастар
724,geizig::A,lakomý,хытӑ
725,klug::A,chytrý,ӑслӑ
726,geschickt::A,šikovný,ӑста
727,lieb::A,milý,савнӑ
728,lustig::A,veselý,хаваслӑ
729,sanft::A,mírný,ачаш
730,hungrig::A,hladový,выҫӑ
731,krank::A,nemocný,чирлӗ
732,nackt::A,nahý,ҫара
733,traurig::A,smutný,салхуллӑ
734,traurig::A,truchlivý,салхуллӑ
735,lebendig::A,živý,чӗрӗ
736,gut::A,dobrý,аван
