,Concept_ID,az,tr
58,Geschmack::N,ləzzət,lezzet
59,Geruch::N,qoxu,koku
60,Schlaf::N,yuxu,uyku
61,Traum::N,röya,düş
62,Traum::N,röya,rüya
63,Himmel::N,göy,gök
64,Himmel::N,səma,gök
65,Sonne::N,günəş,güneş
66,Mond::N,ay,ay
67,Stern::N,ulduz,yıldız
68,Luft::N,hava,hava
69,Wind::N,yel,yel
70,Wind::N,yel,rüzgâr
71,Wind::N,külək,yel
72,Wind::N,külək,rüzgâr
73,Welle::N,dalğa,dalga
74,Wasser::N,su,su
75,Stein::N,daş,taş
76,Boden::N,yer,yer
77,Boden::N,yer,zemin
78,Boden::N,zəmin,yer
79,Boden::N,zəmin,zemin
80,Erde::N,yer torpaq,toprak
81,Staub::N,toz,toz
82,Rauch::N,tüstü,duman
83,Funke::N,qığılcım,kıvılcım
84,Feuer::N,od,ateş
85,Licht::N,işıq,ışık
86,Schatten::N,kölgə,gölge
87,Wetter::N,hava,hava
88,Nebel::N,duman,pus
89,Wolke::N,bulud,bulut
90,Regen::N,yağış,yağmur
91,Regen::N,yağmur,yağmur
92,Schnee::N,qar,kar
93,Eis::N,buz,buz
94,Frost::N,ayaz,don
95,Kälte::N,soyuq,soğukluk
96,Hitze::N,coşğunluq,sıcaklık
97,Raureif::N,qırov,kırç
98,Regenbogen::N,göy qurşağı,gökkuşağı
99,Donner::N,göy gurultusu,gök gürlemesi
100,Strömung::N,axın,akıntı
101,Strömung::N,axın,cereyan
102,Tropfen::N,damcı,damla
103,Schaum::N,köpük,köpük
104,Schmutz::N,çamır,çamur
105,Schmutz::N,çamır,pislik
106,See::N,göl,göl
107,Sumpf::N,bataqlıq,batak
108,Moor::N,bataqlıq,cılgıt
109,Wiese::N,çəmən,çimen
110,Wald::N,meşə,koru
111,Wald::N,meşə,orman
112,Hügel::N,təpə,tepe
113,Anhöhe::N,təpə,tümsek
114,Anhöhe::N,təpə,yükseklik
115,Berg::N,dağ,dağ
116,Gipfel::N,zirvə,zirve
117,Höhle::N,mağara,in
118,Höhle::N,mağara,mağara
119,Abhang::N,yamac,bayır
120,Quelle::N,bulaq,pınar
121,Quelle::N,bulaq,kaynak
122,Bach::N,kiçik çay,çay
123,Bach::N,kiçik çay,dere
124,Fluss::N,çay,nehir
125,Ufer::N,kənar,kıyı
126,Ufer::N,kənar,sahil
127,Küste::N,sahil,kıyı
128,Küste::N,sahil,sahil
129,Festland::N,materik,kara
130,Meer::N,dəniz,deniz
131,Bucht::N,körfəz,koy
132,Bucht::N,körfəz,körfez
133,Insel::N,ada,ada
134,Blume::N,çiçək,çiçek
135,Gras::N,ot,ot
136,Gras::N,ot,çim
137,Wurzel::N,kök,kök
138,Baum::N,ağac,ağaç
139,Stamm::N,gövdə,gövde
140,Rinde::N,qabıq,kabuk
141,Ast::N,şax,dal
142,Ast::N,şax,budak
143,Zweig::N,budaq,dal
144,Blatt::N,yarpaq,yaprak
145,Birke::N,tozağacı,huş
146,Kiefer[Baum]::N,şam,çam
147,Weide[Baum]::N,söyüd,söğüt
148,Tanne::N,küknar,çam
149,Tanne::N,küknar,köknar
150,Horn::N,buynuz,boynuz
151,Feder::N,tük,tüy
152,Feder::N,lələk,tüy
153,Fell::N,xəz,post
154,Flügel::N,qanad,kanat
155,Klaue::N,pəncə,pençe
156,Kralle::N,dırnaq,tırnak
157,Schwanz::N,quyruq,kuyruk
158,Ei::N,yumurta,yumurta
159,Nest::N,yuva,yuva
160,Bau::N,yuva,in
161,Tier::N,heyvan,hayvan
162,Herde::N,sürü,sürü
163,Kuh::N,inək,inek
164,Bulle::N,öküz,boğa
165,Pferd::N,at,at
166,Pferd::N,at,beygir
167,Schaf::N,qoyun,koyun
168,Schwein::N,donuz,domuz
169,Hund::N,it,it
170,Hund::N,it,köpek
171,Hund::N,köpək,it
172,Hund::N,köpək,köpek
173,Katze::N,pişik,kedi
174,Bär::N,ayı,ayı
175,Eichhörnchen::N,dələ,sincap
176,Elch::N,sığın,büyük kuzey geyiği
177,Fuchs::N,tülkü,tilki
178,Hase::N,dovşan,tavşan
179,Maus::N,siçan,fare
180,Maus::N,siçan,sıçan
181,Wolf::N,qurd,kurt
182,Vogel::N,quş,kuş
183,Schwarm::N,sürü,sürü
184,Huhn::N,toyuq,tavuk
185,Hahn::N,xoruz,horoz
186,Gans::N,qaz,kaz
187,Adler::N,qartal,kartal
188,Adler::N,qartal,karakuş
189,Adler::N,qaraquş,kartal
190,Adler::N,qaraquş,karakuş
191,Ente::N,ördək,ördek
192,Eule::N,bayquş,baykuş
193,Kranich::N,durna,turna
194,Krähe::N,qarğa,karga
195,Kuckuck::N,ququ,guguk
196,Schwan::N,qu quşu,kuğu
197,Fisch::N,balıq,balık
198,Barsch::N,tar,hani
199,Barsch::N,tar,levrek
200,Hecht::N,durnabalığı,turnabalığı
201,Schlange[Tier]::N,ilan,yılan
202,Wurm::N,qurd,kurt
203,Wurm::N,qurd,solucan
204,Spinne::N,hörümçək,örümcek
205,Ameise::N,qarışqa,karınca
206,Laus::N,bit,bit
207,Mücke::N,ağcaqanad,sivrisinek
208,Fliege::N,milçək,sinek
209,Schmetterling::N,kəpənək,kelebek
210,Beere::N,gilə,tane
211,Apfel::N,alma,elma
212,Pilz::N,göbələk,mantar
213,Zwiebel::N,soğan,soğan
214,Saat::N,əkin,ekin
215,Korn::N,taxıl,tane
216,Heu::N,quru ot,kuru ot
217,Schale::N,qabıq,kabuk
218,Grube::N,çuxur,çukur
219,Falle::N,tələ,tuzak
220,Falle::N,duzaq,tuzak
221,Schlinge::N,ilmək,ilmik
222,Spur::N,iz,iz
223,Asche::N,kül,kül
224,Dreck::N,kir,pislik
225,Eisen::N,dəmir,demir
226,Gold::N,altun,altın
227,Silber::N,gümüş,gümüş
228,Kohle::N,kömür,kömür
229,Glas::N,şüşə,cam
230,Lehm::N,gil,balçık
231,Lehm::N,palçıq,balçık
232,Sand::N,qum,kum
233,Mensch::N,adam,insan
234,Mensch::N,insan,insan
235,Mann::N,kişi,adam
236,Mann::N,kişi,erkek
237,Frau::N,qadın,bayan
238,Kind::N,uşaq,çocuk
239,Junge::N,oğlan,erkek çocuk
240,Mädchen::N,qız,kız
241,Familie::N,ailə,aile
242,Großvater::N,baba,dede
243,Großvater::N,baba,büyükbaba
244,Großmutter::N,nənə,nine
245,Großmutter::N,nənə,büyükanne
246,Eltern::N,valideyn,ebeveyn
247,Eltern::N,valideyn,ana baba
248,Vater::N,ata,ata
249,Vater::N,ata,baba
250,Mutter::N,ana,ana
251,Mutter::N,ana,anne
252,Sohn::N,oğul,oğul
253,Tochter::N,qız,kız
254,Tochter::N,qız,kız evlât
255,Bruder::N,qardaş,abi
256,Bruder::N,qardaş,erkek kardeş
257,Schwester::N,bacı,abla
258,Schwester::N,bacı,kız kardeş
259,Onkel::N,əmi,dayı
260,Onkel::N,dayı,dayı
261,Tante::N,bibi,hala
262,Tante::N,bibi,teyze
263,Ehemann::N,ər,koca
264,Ehefrau::N,arvad,karı
265,Freude::N,nəşə,neşe
266,Freude::N,nəşə,sevinç
267,Freude::N,sevinc,neşe
268,Freude::N,sevinc,sevinç
269,Gelächter::N,gülüş,gülme
270,Gelächter::N,gülüş,kahkaha
271,Gelächter::N,qəhqəhə,gülme
272,Gelächter::N,qəhqəhə,kahkaha
273,Glück::N,səadət,mutluluk
274,Glück::N,xoşbəxtlik,mutluluk
275,Kummer::N,qəm,dert
276,Kummer::N,qəm,keder
277,Kummer::N,kədər,dert
278,Kummer::N,kədər,keder
279,Wunsch::N,arzu,arzu
280,Wunsch::N,arzu,istek
281,Lust::N,həvəs,arzu
282,Lust::N,həvəs,heves
283,Geist::N,ruh,tin
284,Gedanke::N,fikir,fikir
285,Gedanke::N,fikir,düşünce
286,Gedanke::N,düşüncə,fikir
287,Gedanke::N,düşüncə,düşünce
288,Gedächtnis::N,xatir,bellek
289,Gedächtnis::N,hafizə,bellek
290,Verstand::N,ağıl,zekâ
291,Sinn::N,məna,anlam
292,Grund::N,səbəb,sebep
293,Wahrheit::N,haqq,doğruluk
294,Wahrheit::N,haqq,gerçeklik
295,Wahrheit::N,doğruluq,doğruluk
296,Wahrheit::N,doğruluq,gerçeklik
297,Gespräch::N,söhbət,görüşme
298,Gespräch::N,qonuşma,görüşme
299,Märchen::N,nağıl,masal
300,Erzählung::N,hekayə,öykü
301,Erzählung::N,hekayə,hikâye
302,Nachricht::N,xəbər,haber
303,Neuigkeit::N,xəbər,haber
304,Neuigkeit::N,yenilik,haber
305,Name::N,ad,ad
306,Name::N,ad,isim
307,Rätsel::N,tapmaca,bilmece
308,Rede::N,nitq,söylev
309,Rede::N,nitq,konuşma
310,Sprache::N,dil,dil
311,Sprache::N,dil,lisan
312,Stimme::N,səs,ses
313,Wort::N,söz,kelime
314,Wort::N,kəlmə,kelime
315,Zeichen::N,nişan,işaret
316,Ruf::N,çığırtı,çağırma
317,Lärm::N,gurultu,şamata
318,Lärm::N,gurultu,gürültü
319,Laut::N,səs,ses
320,Ton::N,ton,ses
321,Lied::N,mahnı,türkü
322,Ruhe::N,sakitlik,sakinlik
323,Leute::N,xalq,halk
324,Leute::N,xalq,insanlar
325,Volk::N,millət,ulus
326,Volk::N,millət,millet
327,Arbeit::N,iş,iş
328,Arbeit::N,iş,çalışma
329,Arbeit::N,əmək,iş
330,Arbeit::N,əmək,çalışma
331,Gast::N,qonaq,konuk
332,Gast::N,qonaq,misafir
333,Gast::N,müsafir,konuk
334,Gast::N,müsafir,misafir
335,Geschenk::N,hədiyyə,hediye
336,Geschenk::N,hədiyyə,armağan
337,Spiel::N,oyun,oyun
338,Spiel::N,tamaşa,oyun
339,Gesellschaft::N,cəmiyyet,çevre
340,Gesellschaft::N,cəmiyyet,arkadaşlık
341,Hilfe::N,kömək,yardım
342,Hilfe::N,yardım,yardım
343,Freund::N,dost,dost
344,Freund::N,dost,arkadaş
345,Kamerad::N,yoldaş,arkadaş
346,Angelegenheit::N,iş,iş
347,Angelegenheit::N,iş,husus
348,Anzahl::N,say,sayı
349,Art::N,çeşid,çeşit
350,Stück::N,dənə,tane
351,Stück::N,dənə,parça
352,Stück::N,parça,tane
353,Stück::N,parça,parça
354,Teil::N,qisim,kısım
355,Hälfte::N,yarım,yarı
356,Kreis::N,dairə,daire
357,Kreuz::N,xaç,haç
358,Linie::N,xətt,hat
359,Linie::N,xətt,çizgi
360,Strich::N,cızıq,çizgi
361,Abstand::N,məsafə,aralık
362,Entfernung::N,məsafə,mesafe
363,Entfernung::N,məsafə,uzaklık
364,Entfernung::N,uzaqlıq,mesafe
365,Entfernung::N,uzaqlıq,uzaklık
366,Gegend::N,bölgə,yöre
367,Platz::N,yer,yer
368,Ort::N,yer,yer
369,Seite::N,yan,yan
370,Seite::N,yan,taraf
371,Seite::N,tərəf,yan
372,Seite::N,tərəf,taraf
373,Mitte::N,orta,orta
374,Mitte::N,orta,merkez
375,Gegenstand::N,şey,şey
376,Sache::N,şey,iş
377,Sache::N,şey,şey
378,Rand::N,kənar,kenar
379,Kante::N,tiyə,kenar
380,Kante::N,kənar,kenar
381,Ecke::N,bucaq,köşe
382,Spitze::N,uc,uç
383,Spitze::N,uc,baş
384,Ende::N,son,uç
385,Ende::N,axır,uç
386,Loch::N,deşik,oyuk
387,Loch::N,deşik,delik
388,Winkel::N,guşə,köşe
389,Muster::N,ülgü,örnek
390,Größe::N,böyüklük,büyüklük
391,Länge::N,uzunluq,uzunluk
392,Höhe::N,yüksəklik,yükseklik
393,Gewicht::N,çəki,ağırlık
394,Gewicht::N,ağırlıq,ağırlık
395,Menge::N,miqdar,miktar
396,Haufen::N,yığın,küme
397,Haufen::N,yığın,yığın
398,Reihe::N,səf,sıra
399,Reihe::N,sıra,sıra
400,Boot::N,qayıq,kayık
401,Boot::N,qayıq,sandal
402,Ruder::N,kürək,kürek
403,Schlitten::N,kirşə,kızak
404,Ski::N,xizək,kayak
405,Lagerfeuer::N,düşərgə tonqalı,kamp ateşi
406,Last::N,yük,yük
407,Gang::N,yeriş,gidiş
408,Gang::N,yeriş,yürüyüş
409,Schritt::N,addım,adım
410,Norden::N,şimal,kuzey
411,Süden::N,cənub,güney
412,Westen::N,qərb,batı
413,Osten::N,şərq,doğu
414,Holz::N,ağac,ağaç
415,Holz::N,ağac,tahta
416,Holz::N,taxta,ağaç
417,Holz::N,taxta,tahta
418,Brett::N,taxta,tahta
419,Platte::N,lövhə,levha
420,Stütze::N,dayaq,dayak
421,Stütze::N,dayaq,destek
422,Stütze::N,dəstək,dayak
423,Stütze::N,dəstək,destek
424,Stange::N,şüvül,çubuk
425,Stock::N,dəyənək,sopa
426,Stock::N,dəyənək,değnek
427,Stab::N,əsa,sırık
428,Stab::N,əsa,baston
429,Stab::N,şüvül,sırık
430,Stab::N,şüvül,baston
431,Rohr::N,boru,boru
432,Rohr::N,truba,boru
433,Haus::N,ev,ev
434,Heim::N,ev,ev
435,Heim::N,ev,yurt
436,Ofen::N,peç,soba
437,Ofen::N,soba,soba
438,Fußboden::N,döşəmə,taban
439,Fußboden::N,döşəmə,döşeme
440,Tisch::N,masa,masa
441,Stuhl::N,stul,iskemle
442,Stuhl::N,stul,sandalye
443,Wiege::N,beşik,beşik
444,Bett::N,yataq,yatak
445,Regal::N,rəf,raf
446,Kiste::N,yeşik,sandık
447,Kiste::N,sandıq,sandık
448,Fenster::N,pəncərə,pencere
449,Tür::N,qapı,kapı
450,Tor::N,darvaza,kapı
451,Zaun::N,çəpər,çit
452,Dach::N,dam,dam
453,Dach::N,dam,çatı
454,Leiter::N,nərdivan,merdiven
455,Besen::N,süpürgə,süpürge
456,Spaten::N,kürək,bel
457,Schaufel::N,kürək,kürek
458,Gabel::N,çəngəl,çatal
459,Löffel::N,qaşıq,kaşık
460,Messer::N,bıçaq,bıçak
461,Nagel::N,mıx,çivi
462,Netz::N,tor,ağ
463,Haken::N,çəngəl,çengel
464,Griff::N,qulp,kulp
465,Griff::N,qulp,tutamak
466,Griff::N,tutacaq,kulp
467,Griff::N,tutacaq,tutamak
468,Schloss::N,qıfıl,kilit
469,Bild::N,rəsm,imaj
470,Bild::N,rəsm,resim
471,Figur::N,şəkil,şekil
472,Figur::N,şəkil,heykel
473,Figur::N,heykəl,şekil
474,Figur::N,heykəl,heykel
475,Puppe::N,kukla,kukla
476,Puppe::N,gəlincik,kukla
477,Beutel::N,kisə,kese
478,Beutel::N,kisə,torba
479,Beutel::N,torba,kese
480,Beutel::N,torba,torba
481,Bündel::N,bağlama,deste
482,Tasche::N,çanta,çanta
483,Eimer::N,vedrə,kova
484,Eimer::N,çəllək,kova
485,Deckel::N,qapaq,kapak
486,Geschirr::N,qab-qazan,kap kacak
487,Sack::N,çuval,torba
488,Tasse::N,fincan,fincan
489,Topf::N,qazan,tencere
490,Kessel::N,qazan,kazan
491,Essen::N,yemək,yemek
492,Nahrung::N,qida,gıda
493,Nahrung::N,qida,besin
494,Speise::N,xörək,yemek
495,Fleisch::N,ət,et
496,Getreide::N,taxıl,tahıl
497,Getreide::N,taxıl,hububat
498,Brei::N,aş,ezme
499,Brei::N,sıyıq,ezme
500,Brot::N,çörək,ekmek
501,Scheibe::N,dilim,dilim
502,Fett::N,yağ,yağ
503,Butter::N,kərə yağı,tereyağı
504,Öl::N,yağ,yağ
505,Öl::N,yağ,akar yağ
506,Salz::N,duz,tuz
507,Suppe::N,şorba,çorba
508,Honig::N,bal,bal
509,Milch::N,süd,süt
510,Tee::N,çay,çay
511,Leder::N,dəri,deri
512,Leder::N,dəri,meşin
513,Wolle::N,yun,yün
514,Stoff::N,qumaş,kumaş
515,Nadel::N,iynə,iğne
516,Faden::N,sap,tire
517,Faden::N,sap,iplik
518,Knopf::N,düymə,düğme
519,Knoten::N,düyün,düğüm
520,Farbe::N,boya,boya
521,Kleidung::N,geyim,giyim
522,Hemd::N,köynək,gömlek
523,Kragen::N,yaxa,yaka
524,Ärmel::N,qol,yen
525,Ärmel::N,qol,elbise kolu
526,Hose::N,şalvar,pantolon
527,Gürtel::N,kəmər,kuşak
528,Mütze::N,şapka,bere
529,Mütze::N,şapka,kasket
530,Schuh::N,tufli,kundura
531,Schuh::N,tufli,ayakkabı
532,Schuh::N,ayaqqabı,kundura
533,Schuh::N,ayaqqabı,ayakkabı
534,Stiefel::N,çəkmə,çizme
535,Ring::N,üzük,yüzük
536,Band::N,lent,bağ
537,Band::N,lent,şerit
538,Kamm::N,daraq,tarak
539,Spiegel::N,güzgü,ayna
540,Riemen::N,qayış,kayış
541,Schnur::N,ip,ip
542,Schnur::N,ip,sicim
543,Leine::N,kəmsik,kayış
544,Decke::N,ədyal,örtü
545,Decke::N,ədyal,yorgan
546,Decke::N,yorğan,örtü
547,Decke::N,yorğan,yorgan
548,Kissen::N,yastıq,yastık
549,Tuch::N,şarf,bez
550,Tuch::N,kaşne,bez
551,Handtuch::N,dəsmal,havlu
552,Kraft::N,güc,güç
553,Kraft::N,güc,kuvvet
554,Stärke::N,qüvvət,kuvvet
555,Gesundheit::N,sağlamlıq,sağlık
556,Krankheit::N,xəstəlik,hastalık
557,Schmerz::N,ağrı,ağrı
558,Schmerz::N,ağrı,sancı
559,Schmerz::N,sancı,ağrı
560,Schmerz::N,sancı,sancı
561,Wunde::N,yara,yara
562,Fieber::N,isitmə,ateş
563,Fieber::N,qızdırma,ateş
564,Arznei::N,ilaç,ilâç
565,Arznei::N,dərman,ilâç
566,Brücke::N,körpü,köprü
567,Brunnen::N,quyu,kuyu
568,Brunnen::N,quyu,çeşme
569,Weide::N,otlaq,otlak
570,Pfad::N,cığır,patika
571,Pfad::N,cığır,keçiyolu
572,Weg::N,yol,yol
573,Straße::N,küçə,yol
574,Straße::N,küçə,cadde
575,Dorf::N,kənd,köy
576,Stadt::N,şəhər,kent
577,Stadt::N,şəhər,şehir
578,Brief::N,məktub,mektup
579,Buch::N,kitab,kitap
580,Buchstabe::N,hərf,harf
581,Zeitung::N,qəzet,gazete
582,Leben::N,həyat,hayat
583,Tod::N,ölüm,ölüm
584,Grab::N,qəbir,kabir
585,Kirche::N,kilsə,kilise
586,Sünde::N,günah,günah
587,Gott::N,tanrı,tanrı
588,Arbeiter::N,işçi,işçi
589,Chef::N,şef,şef
590,Chef::N,şef,müdür
591,Chef::N,rəis,şef
592,Chef::N,rəis,müdür
593,Meister::N,usta,usta
594,Arzt::N,həkim,hekim
595,Arzt::N,həkim,doktor
596,Arzt::N,doktor,hekim
597,Arzt::N,doktor,doktor
598,Lehrer::N,müəllim,hoca
599,Lehrer::N,müəllim,öğretmen
600,Geld::N,pul,para
601,Geschäft::N,ticarət,ticaret
602,Laden::N,dükan,dükkân
603,Preis::N,qiymət,fiyat
604,Ware::N,mal,mal
605,Nutzen::N,fayda,fayda
606,Reichtum::N,zənginlik,servet
607,Reichtum::N,zənginlik,zenginlik
608,Welt::N,aləm,dünya
609,Welt::N,dünya,dünya
610,Land::N,ölkə,ülke
611,Staat::N,dövlət,devlet
612,König::N,kral,kral
613,König::N,məlik,kral
614,Macht::N,qüdrət,kudret
615,Macht::N,qüdrət,iktidar
616,Grenze::N,hüdud,had
617,Grenze::N,hüdud,sınır
618,Grenze::N,sərhət,had
619,Grenze::N,sərhət,sınır
620,Krieg::N,hərb,savaş
621,Krieg::N,müharibə,savaş
622,Feind::N,düşmən,düşman
623,Gewalt::N,cəbr,zor
624,Gewalt::N,cəbr,cebir
625,Kampf::N,savaş,savaş
626,Bogen[Waffe]::N,yay,yay
627,Pfeil::N,ox,ok
628,Gewehr::N,tüfəng,tüfek
629,Fehler::N,xəta,hata
630,Fehler::N,xəta,yanlış
631,Lüge::N,yalan,yalan
632,Schaden::N,ziyan,zarar
633,Unglück::N,bəla,felâket
634,Unglück::N,bəla,talihsizlik
635,Schuld::N,təqsir,suç
636,Schuld::N,təqsir,kabahat
637,Alter::N,yaş,yaş
638,Schluss::N,son,son
639,Zeit::N,vaxt,zaman
640,Zeit::N,zaman,zaman
641,Tag::N,gün,gün
642,Morgen::N,sabah,sabah
643,Mittag::N,günorta,öğle
644,Abend::N,axşam,akşam
645,Nacht::N,gecə,gece
646,Woche::N,həftə,hafta
647,Monat::N,ay,ay
648,Jahr::N,il,yıl
649,Jahr::N,il,sene
650,Frühling::N,yaz,ilkbahar
651,Frühling::N,bahar,ilkbahar
652,Sommer::N,yay,yaz
653,Herbst::N,payız,güz
654,Herbst::N,payız,sonbahar
655,Winter::N,qış,kış
656,Januar::N,Janvar,ocak
657,Februar::N,Fevral,şubat
658,März::N,Mart,mart
659,April::N,Aprel,nisan
660,Mai::N,May,mayıs
661,Juni::N,İyun,haziran
662,Juli::N,İyul,temmuz
663,August::N,Avqust,ağustos
664,September::N,Sentyabr,eylül
665,Oktober::N,Oktyabr,ekim
666,November::N,Noyabr,kasım
667,Dezember::N,Dekabr,aralık
668,Montag::N,bazar ertəsi,pazartesi
669,Dienstag::N,çərşənbə axşamı,salı
670,Mittwoch::N,çərşənbə,çarşamba
671,Donnerstag::N,cüme axşamı,perşembe
672,Freitag::N,cüme,cuma
673,Samstag::N,şənbə,cumartesi
674,Sonntag::N,bazar,pazar
675,groß::A,böyük,büyük
676,klein::A,kiçik,ufak
677,klein::A,kiçik,küçük
678,lang::A,uzun,uzun
679,kurz::A,qısa,kısa
680,breit::A,enli,enli
681,breit::A,enli,geniş
682,breit::A,geniş,enli
683,breit::A,geniş,geniş
684,schmal::A,dar,dar
685,dicht::A,sıx,sık
686,dicht::A,sıx,yoğun
687,dick[Gegenstand]::A,qalın,kalın
688,dick[Gegenstand]::A,qalın,iri
689,dünn::A,nazik,ince
690,fein::A,incə,ince
691,fein::A,incə,narin
692,fest::A,bərk,sabit
693,fest::A,bərk,sağlam
694,fest::A,möhkəm,sabit
695,fest::A,möhkəm,sağlam
696,flach::A,düz,düz
697,flach::A,düz,yassı
698,glatt::A,hamar,düz
699,hart::A,sərt,katı
700,weich::A,yumşaq,yumuşak
701,rund::A,yuvarlaq,yuvarlak
702,spitz::A,uclu,sivri
703,spitz::A,sivri,sivri
704,scharf::A,kəskin,keskin
705,stumpf::A,küt,kör
706,schwer::A,ağır,ağır
707,schön::A,gözəl,güzel
708,schön::A,gəşəng,güzel
709,heiß::A,isti,kızgın
710,warm::A,ilıq,sıcak
711,kalt::A,soyuq,soğuk
712,kühl::A,sərin,serin
713,frisch::A,təzə,taze
714,feucht::A,nəm,nemli
715,feucht::A,nəm,rutubetli
716,nass::A,yaş,yaş
717,nass::A,yaş,ıslak
718,trocken::A,quru,kuru
719,voll::A,dolu,dolu
720,voll::A,dolu,dolmuş
721,leer::A,boş,boş
722,offen::A,açıq,açık
723,geschlossen::A,qapalı,kapalı
724,sauber::A,təmiz,pak
725,sauber::A,təmiz,temiz
726,schmutzig::A,kirli,pis
727,schmutzig::A,kirli,kirli
728,roh::A,çiy,çiğ
729,reif::A,yetişmiş,olgun
730,lecker::A,dadlı,lezzetli
731,lecker::A,ləzzətli,lezzetli
732,süß::A,şirin,tatlı
733,süß::A,şirin,şekerli
734,bitter::A,acı,acı
735,sauer::A,turş,ekşi
736,hell::A,aydın,aydınlık
737,dunkel::A,qaranlıq,karanlık
738,schwarz::A,qara,kara
739,schwarz::A,qara,siyah
740,weiß::A,ağ,ak
741,weiß::A,ağ,beyaz
742,rot::A,qırmızı,kırmızı
743,gelb::A,sarı,sarı
744,blau::A,göy,mavi
745,blau::A,mavi,mavi
746,grün::A,yaşıl,yeşil
747,grau::A,boz,boz
748,bunt::A,əlvan,renkli
749,bunt::A,rəngli,renkli
750,billig::A,ucuz,ucuz
751,teuer::A,bahalı,pahalı
752,wertvoll::A,qiymətli,değerli
753,blind::A,kor,kör
754,taub::A,kar,sağır
755,kräftig::A,güclü,dinç
756,kräftig::A,güclü,kuvvetli
757,stark::A,qüvvətli,güçlü
758,stark::A,qüvvətli,kuvvetli
759,schwach::A,zəif,zayıf
760,schwach::A,zəif,güçsüz
761,schwach::A,gücsüz,zayıf
762,schwach::A,gücsüz,güçsüz
763,fett::A,şişman,şişman
764,schlank::A,zərif,narin
765,hübsch::A,göyçək,güzel
766,hübsch::A,göyçək,sevimli
767,böse::A,fəna,kötü
768,dumm::A,axmaq,aptal
769,faul::A,tənbəl,tembel
770,fleißig::A,çalışqan,çalışkan
771,geizig::A,xəsis,cimri
772,klug::A,ağıllı,zekî
773,klug::A,ağıllı,akıllı
774,geschickt::A,bacarıqlı,becerikli
775,lieb::A,əziz,sevimli
776,lieb::A,sevimli,sevimli
777,lustig::A,məzəli,neşeli
778,lustig::A,gülməli,neşeli
779,sanft::A,mülayim,nazik
780,hungrig::A,ac,aç
781,krank::A,xəstə,hasta
782,krank::A,xəstə,rahatsız
783,nackt::A,çılpaq,çıplak
784,traurig::A,qəmgin,kederli
785,traurig::A,qəmgin,üzüntülü
786,traurig::A,kədərli,kederli
787,traurig::A,kədərli,üzüntülü
788,lebendig::A,canlı,canlı
789,gut::A,yaxşı,iyi
790,schlecht::A,pis,kötü
791,richtig::A,doğru,doğru
792,schlimm::A,fəna,kötü
793,wahr::A,gərçək,doğru
794,wahr::A,gərçək,gerçek
795,alt::A,əski,eski
796,alt::A,köhnə,eski
797,neu::A,yeni,yeni
798,ehemalig::A,əvvəlki,önceki
799,alt[Lebewesen]::A,qoca,yaşlı
800,jung::A,gənc,genç
801,arm::A,kasıb,fakir
802,arm::A,yoxsul,fakir
803,reich::A,zəngin,zengin
804,bekannt::A,tanış,bilinen
805,berühmt::A,məşhur,ünlü
806,berühmt::A,məşhur,meşhur
807,fremd::A,yad,yabancı
808,verschieden::A,dürlü,ayrı
809,verschieden::A,dürlü,farklı
810,nah::A,yaxın,yakın
811,nah::A,yaxın,bitişik
