,Concept_ID,ab,no
82,Wolke::N,аҧсҭҳəа,sky
83,Regen::N,ақəа,regn
84,Schnee::N,асы,snø
85,Eis::N,аҵаа,is
86,Frost::N,аҵаа,frost
87,Kälte::N,ахьҭа,kulde
88,Hitze::N,ашоура,hete
89,Raureif::N,аҵааҧшқа,rimfrost
90,Regenbogen::N,ацəаҟəа,regnbue
91,Donner::N,адыд,torden
92,Strömung::N,аиасра,strømning
93,Strömung::N,амҩасра,strømning
94,Tropfen::N,ацəыкəбар,dråpe
95,Schaum::N,ашəах,skum
96,Schmutz::N,алымт,søl
97,Schmutz::N,алымт,skitt
98,See::N,аӡиа,sjø
99,Sumpf::N,аӡмах,sump
100,Sumpf::N,аӡмах,myrlende
101,Wiese::N,адəы,eng
102,Wald::N,абна,skog
103,Hügel::N,ахəы,haug
104,Hügel::N,ахəы,bakke
105,Anhöhe::N,аҳаракыра,haug
106,Anhöhe::N,аҳаракыра,bakke
107,Berg::N,ашьха,berg
108,Berg::N,ашьха,fjell
109,Gipfel::N,ацəқəа,topp
110,Höhle::N,аҳаҧы,hule
111,Abhang::N,анаара,li
112,Abhang::N,анаара,skråning
113,Quelle::N,аҵҵырҭа,kilde
114,Bach::N,акəараҷҷа,bekk
115,Fluss::N,аӡиас,elv
116,Ufer::N,ахықə,bredd
117,Küste::N,ахықə,kyst
118,Festland::N,абарра,fastland
119,Meer::N,амшын,hav
120,Bucht::N,аӡбжьахала,bukt
121,Insel::N,адгьылбжьаха,øy
122,Blume::N,ашəҭ,blomst
123,Gras::N,аҳасакьын,gress
124,Wurzel::N,адац,rot
125,Baum::N,аҵла,tre
126,Stamm::N,ашьапы,stamme
127,Rinde::N,ацəа,bark
128,Ast::N,амахə,gren
129,Ast::N,амахəҭа,gren
130,Zweig::N,амахə,kvist
131,Zweig::N,амахəҭа,kvist
132,Blatt::N,абҕьы,blad
133,Birke::N,аҵааҵла,bjørk
134,Kiefer[Baum]::N,амза,furu
135,Weide[Baum]::N,аҧслыш,selje
136,Weide[Baum]::N,аҧслыш,piletre
137,Tanne::N,аҧсаӡ,gran
138,Horn::N,атəыҩа,horn
139,Feder::N,ахӡы,fjær
140,Fell::N,ацəа,skinn
141,Flügel::N,амҵəыжəа,vinge
142,Klaue::N,ашьапхыц,klauv
143,Schwanz::N,аҵыхəа,hale
144,Ei::N,акəтаӷь,egg
145,Nest::N,аҭра,rede
146,Nest::N,аҵысҭра,rede
147,Bau::N,аҭыҩра,hi
148,Tier::N,аҧстəы,dyr
149,Tier::N,агыгшəыг,dyr
150,Herde::N,агəарҭа,flokk
151,Kuh::N,ажə,ku
152,Bulle::N,ацə,tyr
153,Pferd::N,аҽы,hest
154,Schaf::N,ауаса,får
155,Schwein::N,аҳəа,gris
156,Hund::N,ала,hund
157,Katze::N,ацгəы,katt
158,Bär::N,амшə,bjørn
159,Eichhörnchen::N,аеш,ekorn
160,Elch::N,аҽаҩа,elg
161,Fuchs::N,абгахəыҷы,rev
162,Hase::N,ажьа,hare
163,Maus::N,аҳəынаҧ,mus
164,Wolf::N,абгаду,ulv
165,Wolf::N,абгаду,varg
166,Vogel::N,аҧсаатə,fugl
167,Huhn::N,акəты,høne
168,Hahn::N,арбаҕь,hane
169,Gans::N,аҟыз,gås
170,Adler::N,ауарба,ørn
171,Ente::N,акəата,and
172,Eule::N,аты,ugle
173,Kranich::N,апҟа,trane
174,Krähe::N,аҟəараан,kråke
175,Kuckuck::N,акəыкəу,gjøk
176,Schwan::N,агьад,svane
177,Fisch::N,аҧсыӡ,fisk
178,Barsch::N,ацəыбла,abbor
179,Hecht::N,ахиаала,gjedde
180,Schlange[Tier]::N,амаҭ,orm
181,Schlange[Tier]::N,амаҭ,slange
182,Wurm::N,ахəа,orm
183,Wurm::N,ахəа,mark
184,Wurm::N,ахəац,orm
185,Wurm::N,ахəац,mark
186,Spinne::N,абызкаҭаҳа,edderkopp
187,Ameise::N,ашышкамс,maur
188,Laus::N,аҵа,lus
189,Mücke::N,акəыбры,mygg
190,Fliege::N,амҵ,flue
191,Schmetterling::N,аҧарҧалыкь,sommerfugl
192,Beere::N,аргуц,bær
193,Apfel::N,аҵəа,eple
194,Pilz::N,акəкəбаа,sopp
195,Zwiebel::N,аџьымшьы,løk
196,Zwiebel::N,аџьымшьхы,løk
197,Saat::N,ажəла,sæd
198,Korn::N,арыц,korn
199,Heu::N,аҭəа,høy
200,Schale::N,ацəа,skall
201,Grube::N,ажра,grop
202,Grube::N,атыша,grop
203,Falle::N,арыҧҟьа,felle
204,Schlinge::N,аҟəараҟəантə,snare
205,Spur::N,ашьҭа,spor
206,Asche::N,ахəа,aske
207,Dreck::N,аҳəынҵəа,møkk
208,Dreck::N,аҳəынҵəа,skitt
209,Dreck::N,аҟьамсар,møkk
210,Dreck::N,аҟьамсар,skitt
211,Eisen::N,аиха,jern
212,Gold::N,ахьы,gull
213,Silber::N,аразны,sølv
214,Kohle::N,арацəа,kol
215,Kohle::N,арацəа,kull
216,Glas::N,асаркьа,glass
217,Lehm::N,анышəаҧшь,leire
218,Sand::N,аҧслымӡ,sand
219,Mensch::N,ауаҩы,menneske
220,Mann::N,ахаҵа,mann
221,Frau::N,аҧҳəыс,kvinne
222,Kind::N,ахəыҷы,barn
223,Junge::N,аҷкəын,gutt
224,Junge::N,ахаҵарҧыс,gutt
225,Mädchen::N,аӡӷаб,pike
226,Mädchen::N,аӡӷаб,jente
227,Familie::N,аҭаацəа,familie
228,Großvater::N,абду,bestefar
229,Großmutter::N,анду,bestemor
230,Eltern::N,ани аби,foreldre
231,Vater::N,аб,far
232,Mutter::N,ан,mor
233,Sohn::N,аҧа,sønn
234,Tochter::N,аҧҳа,datter
235,Bruder::N,аиашьа,bror
236,Schwester::N,Аҳəшьа,søster
237,Onkel::N,абиашьа,onkel
238,Onkel::N,аншьа,onkel
239,Tante::N,абиаҳəшьа,tante
240,Ehemann::N,ахаҵа,ektemann
241,Ehemann::N,аҧшəма,ektemann
242,Ehefrau::N,аҧҳəыс,hustru
243,Freude::N,агəырӷьара,glede
244,Gelächter::N,ачча,latter
245,Gelächter::N,аччара,latter
246,Glück::N,аразҟы,lykke
247,Kummer::N,агəырҩа,sorg
248,Wunsch::N,агəхəтəы,ønske
249,Wunsch::N,аҭахра,ønske
250,Lust::N,агəазыҳəара,lyst
251,Geist::N,аҧсы,ånd
252,Gedanke::N,ахəыцырҭа,tanke
253,Gedächtnis::N,агəынкылара,minne
254,Gedächtnis::N,агəынкылара,hukommelse
255,Verstand::N,ахшыҩ,forstand
256,Sinn::N,аҵакы,mening
257,Sinn::N,аҵакы,betydning
258,Grund::N,амзыз,grunn
259,Wahrheit::N,аиаша,sannhet
260,Gespräch::N,аиҿцәажәара,samtale
261,Märchen::N,алакə,eventyr
262,Erzählung::N,ажәабжь,fortelling
263,Nachricht::N,адырраҭара,melding
264,Neuigkeit::N,ажәабжь ҿыц,nyhet
265,Name::N,ахьӡ,navn
266,Rätsel::N,ацуфара,gåte
267,Rede::N,ажәа,tale
268,Sprache::N,абызшəа,språk
269,Stimme::N,абжьы,stemme
270,Wort::N,ажәа,ord
271,Zeichen::N,адырга,tegn
272,Ruf::N,аҿҭы,rop
273,Lärm::N,ашьҭыбжь,bråk
274,Laut::N,ашьҭыбжь,lyd
275,Ton::N,атон,tone
276,Lied::N,ашəа,vise
277,Ruhe::N,аҭынчра,ro
278,Leute::N,ауаа,folk
279,Volk::N,ажəлар,folk
280,Arbeit::N,аусура,arbeid
281,Gast::N,асас,gjest
282,Geschenk::N,аҳамҭа,gave
283,Geschenk::N,аҿанҵа,gave
284,Spiel::N,ахəмарра,lek
285,Spiel::N,ахəмарра,spill
286,Gesellschaft::N,агəыҧ,selskap
287,Hilfe::N,ацхыраара,hjelp
288,Freund::N,аҩыза,venn
289,Kamerad::N,Аҧхнагьла,kamerat
290,Angelegenheit::N,аус,sak
291,Angelegenheit::N,аус,anliggende
292,Anzahl::N,ахыҧхьаӡара,antall
293,Art::N,ахкы,art
294,Art::N,ахкы,slag
295,Stück::N,аҽыҭ,stykke
296,Teil::N,ахəҭа,del
297,Hälfte::N,абжа,halvdel
298,Kreis::N,агьагьа,ring
299,Kreis::N,агьагьа,sirkel
300,Kreuz::N,аџьар,kors
301,Kreuz::N,аџьар,kryss
302,Linie::N,аицтәар,linje
303,Strich::N,ацəаҳəа,strek
304,Abstand::N,абжьара,avstand
305,Entfernung::N,абжьара,avstand
306,Gegend::N,аҭыҧ,strøk
307,Platz::N,аҭыҧ,plass
308,Ort::N,аҭыҧ,sted
309,Seite::N,аган,side
310,Mitte::N,агəҭа,midte
311,Gegenstand::N,амаҭəар,gjenstand
312,Rand::N,аҵкар,rand
313,Kante::N,авардым,kant
314,Ecke::N,акəакь,hjørne
315,Spitze::N,аҧынҵа,spiss
316,Ende::N,анаӡара,ende
317,Loch::N,акылҵəара,hull
318,Winkel::N,агҿаҩра,vinkel
319,Winkel::N,акəындхə,vinkel
320,Winkel::N,акəакь,vinkel
321,Muster::N,аҟҟа,mønster
322,Größe::N,изаҟароу,størrelse
323,Länge::N,аура,lengde
324,Höhe::N,агылара,høyde
325,Gewicht::N,акапан,vekt
326,Haufen::N,ачаҟəа,haug
327,Haufen::N,ачаҟəа,bunke
328,Reihe::N,ацəаҳəа,rekke
329,Boot::N,анышь,båt
330,Ruder::N,ажəҩа,åre
331,Schlitten::N,ашəаҩауардын,slede
332,Schlitten::N,ашəаҩауардын,kjelke
333,Ski::N,ашəаҩа,ski
334,Ski::N,ашьахаха,ski
335,Lagerfeuer::N,еиқуу амца,leirbål
336,Last::N,ахьанҭара,bør
337,Last::N,ахьанҭара,last
338,Gang::N,аныҟəара,gang
339,Schritt::N,ашьаҿа,steg
340,Schritt::N,ашьаҿа,skritt
341,Norden::N,аҩада,nord
342,Süden::N,алада,sør
343,Westen::N,амраҭашəара,vest
344,Osten::N,амрагылара,øst
345,Holz::N,амҿымаҭəахə,tre
346,Brett::N,аӷəы,fjøl
347,Brett::N,аӷəы,brett
348,Platte::N,ахаҳәцәы,plate
349,Stütze::N,аҵаргəа,støtte
350,Stütze::N,агəышьаҟа,støtte
351,Stange::N,акьат,stang
352,Stock::N,алаба,pinne
353,Stab::N,акьат,stav
354,Stab::N,акьат,kjepp
355,Rohr::N,абыкь,rør
356,Haus::N,аҩны,hus
357,Heim::N,аҭаацəа,hjem
358,Ofen::N,аҳақə,ovn
359,Ofen::N,ауаџьаҟ,ovn
360,Ofen::N,афрына,ovn
361,Fußboden::N,адашьма,gulv
362,Tisch::N,аишәа,bord
363,Stuhl::N,аҟəардə,stol
364,Wiege::N,агара,vogge
365,Bett::N,акаруаҭ,seng
366,Regal::N,акыӷəра,reol
367,Regal::N,акыӷəра,hylle
368,Kiste::N,аидчаҧала,kasse
369,Fenster::N,аҧенџьыр,vindu
370,Tür::N,ашə,dør
371,Tor::N,агəашə,port
372,Zaun::N,аанда,gjerde
373,Dach::N,ахыб,tak
374,Leiter::N,амардуан,stige
375,Besen::N,аҧссага,kost
376,Spaten::N,ажыга,spade
377,Schaufel::N,аҭəарӷəы,skuffe
378,Gabel::N,ачқьыҧ,gaffel
379,Löffel::N,амҳаҵə,skje
380,Messer::N,аҳəызба,kniv
381,Nagel::N,аҵəымӷ,spiker
382,Netz::N,акаҭа,nett
383,Haken::N,аҵəаҳə,krok
384,Griff::N,амаа,tak
385,Griff::N,амаа,håndtak
386,Schloss::N,асаҧаҭ,lås
387,Bild::N,асахьа,bilde
388,Figur::N,афигура,figur
389,Puppe::N,акьанџьа,dukke
390,Beutel::N,асакь,pose
391,Bündel::N,аҿаҳəара,bylt
392,Tasche::N,арҭмаҟ,veske
393,Eimer::N,аведра,bøtte
394,Deckel::N,ахҩа,lokk
395,Geschirr::N,ачысмаҭəа,kjøkkentøy
396,Sack::N,асакь,sekk
397,Tasse::N,аҵəца,kopp
398,Topf::N,акаструлиа,gryte
399,Kessel::N,ачуан,kjele
400,Nahrung::N,афатə,mat
401,Nahrung::N,афатə,næring
402,Speise::N,афатə,matrett
403,Fleisch::N,акəац,kjøtt
404,Getreide::N,ачакуа,korn
405,Brei::N,ақашь,grøt
406,Brot::N,ача,brød
407,Scheibe::N,аҽыҭ,skive
408,Scheibe::N,аҿаҵа,skive
409,Fett::N,ашша,fett
410,Butter::N,ахəша,smør
411,Öl::N,азеҭ,olje
412,Salz::N,аџьыка,salt
413,Suppe::N,асуҧ,suppe
414,Honig::N,ацха,honning
415,Milch::N,ахш,melk
416,Tee::N,ачаи,te
417,Leder::N,ацəа,lær
418,Leder::N,ацəа,skinn
419,Wolle::N,аласа,ull
420,Stoff::N,Аба,tøy
421,Stoff::N,Аба,stoff
422,Nadel::N,агəыр,nål
423,Faden::N,арахəыц,tråd
424,Knopf::N,аҳəынҵəра,knapp
425,Knoten::N,аиқəҳəала,knute
426,Farbe::N,ашəыга,farge
427,Kleidung::N,амаҭəа,påkledning
428,Hemd::N,акьаҿ,skjorte
429,Kragen::N,ахəда,krage
430,Ärmel::N,амаӷра,erme
431,Hose::N,аиқəа,bukse
432,Gürtel::N,амаҟа,belte
433,Mütze::N,ахылҧа,lue
434,Schuh::N,аимаа,sko
435,Stiefel::N,амагə,støvel
436,Ring::N,амацəаз,ring
437,Band::N,алента,band
438,Kamm::N,ахҳəа,kam
439,Spiegel::N,асаркьа,speil
440,Riemen::N,аа,rem
441,Schnur::N,ашаха,snor
442,Leine::N,аҕура,line
443,Decke::N,ахыза,teppe
444,Kissen::N,ахчы,pute
445,Tuch::N,акасы,tøy
446,Handtuch::N,ампахьшьы,håndkle
447,Kraft::N,амч,kraft
448,Stärke::N,амч,styrke
449,Gesundheit::N,агəабзиара,helse
450,Gesundheit::N,агəабзиара,sunnhet
451,Krankheit::N,ачымазара,syke
452,Krankheit::N,ачымазара,sykdom
453,Schmerz::N,ахьаа,smerte
454,Wunde::N,ахəра,sår
455,Fieber::N,ашоура,feber
456,Arznei::N,ахəшə,medisin
457,Arznei::N,ахəшə,legemiddel
458,Brücke::N,ацҳа,bro
459,Brunnen::N,аҵыџь,brønn
460,Weide::N,аҳəырҭа,beite
461,Pfad::N,амхəасҭа,sti
462,Weg::N,амҩа,vei
463,Straße::N,амҩа,gate
464,Dorf::N,ақыҭа,landsby
465,Stadt::N,ақалақь,by
466,Brief::N,ашəҟəы,brev
467,Buch::N,ашəҟəы,bok
468,Buchstabe::N,анбан,bokstav
469,Zeitung::N,агазеҭ,avis
470,Leben::N,аҧсҭазаара,liv
471,Tod::N,аҧсра,død
472,Grab::N,анышəынҭра,grav
473,Kirche::N,ауахəама,kirke
474,Sünde::N,агəнаҳа,synd
475,Gott::N,анцəа,gud
476,Arbeiter::N,аусуҩ,arbeider
477,Chef::N,Аиҳабы,sjef
478,Meister::N,аҟаза,mester
479,Arzt::N,аҳақьым,lege
480,Lehrer::N,арҵаҩы,lærer
481,Geld::N,аҧара,penger
482,Laden::N,амагазин,butikk
483,Preis::N,ахə,pris
484,Ware::N,атауар,vare
485,Nutzen::N,ақьар,nytte
486,Reichtum::N,абеиара,rikdom
487,Welt::N,адунеи,verden
488,Land::N,атəыла,land
489,Staat::N,аҳəынҭқарра,stat
490,König::N,акрал,konge
491,Macht::N,амчра,makt
492,Grenze::N,аҳəаа,grense
493,Krieg::N,аибашьра,krig
494,Feind::N,Аҕа,fiende
495,Gewalt::N,ақəымчра,vold
496,Kampf::N,ақəҧара,kamp
497,Bogen[Waffe]::N,ахыц,bue
498,Pfeil::N,ахəымпал,pil
499,Gewehr::N,ашəақь,gevær
500,Fehler::N,агха,feil
501,Lüge::N,амц,løgn
502,Schaden::N,аҧырхага,skade
503,Unglück::N,арыцҳара,uhell
504,Schuld::N,ахара,skyld
505,Alter::N,ақəра,alder
506,Schluss::N,анҵəамҭа,slutt
507,Zeit::N,аамта,tid
508,Tag::N,амш,dag
509,Morgen::N,ашара,morgen
510,Morgen::N,ашьыбжь,morgen
511,Mittag::N,шьыбжьон,middag
512,Abend::N,ахəылҧаз,aften
513,Abend::N,ахəлбыҽха,aften
514,Nacht::N,аҵх,natt
515,Woche::N,амчыбжь,uke
516,Frühling::N,ааҕын,vår
517,Sommer::N,аҧхын,sommer
518,Herbst::N,ҭагалан,høst
519,Herbst::N,хкаарачан,høst
520,Winter::N,аӡын,vinter
521,Januar::N,ианвар,januar
522,Februar::N,февраль,februar
523,März::N,март,mars
524,April::N,апрель,april
525,Mai::N,маи,mai
526,Juni::N,иуун,juni
527,Juli::N,иууль,juli
528,August::N,август,august
529,September::N,сентиабр,september
530,Oktober::N,октиабр,oktober
531,November::N,ноиабр,november
532,Dezember::N,декабр,desember
533,Montag::N,ашəахьа,mandag
534,Dienstag::N,аҩаша,tirsdag
535,Mittwoch::N,ахаша,onsdag
536,Donnerstag::N,аҧшьаша,torsdag
537,Freitag::N,ахəаша,fredag
538,Samstag::N,асабша,lørdag
539,Sonntag::N,амҽыша,søndag
540,groß::A,аду,stor
541,klein::A,амаҷ,liten
542,lang::A,ахəхəа,lang
543,kurz::A,акьаҿ,kort
544,breit::A,аиужь,bred
545,breit::A,аиҵых,bred
546,schmal::A,аҭшəа,smal
547,dicht::A,аилач,tett
548,dick[Gegenstand]::A,ажəпа,tykk
549,fein::A,апа,fin
550,fein::A,аҵаӷа,fin
551,fein::A,аӡа,fin
552,fest::A,аҟаца,fast
553,fest::A,аӷəӷəаҟаца,fast
554,flach::A,ақəаҟьа,flat
555,flach::A,аҧаҟьа,flat
556,glatt::A,аимаҩзы,glatt
557,hart::A,акьакьа,hard
558,weich::A,атата,myk
559,weich::A,атата,bløt
560,rund::A,акəмпыл,rund
561,spitz::A,аҵар,spiss
562,scharf::A,аҵар,kvass
563,stumpf::A,ацагə,stubb
564,schwer::A,ахьанҭа,tung
565,schön::A,аҧшӡа,pen
566,schön::A,аҧшӡа,vakker
567,heiß::A,ашы,het
568,warm::A,аҧха,varm
569,kalt::A,ахьшəашəа,kald
570,kühl::A,ахьшəашəа,kjølig
571,kühl::A,ицәыхьшәашәоу,kjølig
572,frisch::A,цқьа,fersk
573,feucht::A,ацəаак,fuktig
574,nass::A,абааӡа,våt
575,trocken::A,Аба,tørr
576,trocken::A,аҩа,tørr
577,voll::A,азна,full
578,leer::A,аҭацəы,tom
579,offen::A,аарта,åpen
580,geschlossen::A,ихҩоу,lukket
581,geschlossen::A,иаркыу,lukket
582,sauber::A,ацқьа,ren
583,schmutzig::A,аҟьашь,skitten
584,reif::A,Арҭ,moden
585,reif::A,аҟала,moden
586,reif::A,иҟалахьоу,moden
587,lecker::A,ахаа,lekker
588,süß::A,азла,søt
589,bitter::A,аша,besk
590,bitter::A,аша,bitter
591,sauer::A,аҵəҵəы,sur
592,hell::A,алаша,lys
593,dunkel::A,алашьца,mørk
594,schwarz::A,аиқуаҵәа,svart
595,weiß::A,ашкəакəа,hvit
596,rot::A,аҟаҧшь,rød
597,gelb::A,аҩеижь,gul
598,blau::A,аҽҵәа,blå
599,grün::A,ашьацҧшҭəала,grønn
600,grün::A,аеҵəа,grønn
601,grau::A,ацəыш,grå
602,bunt::A,Аилыҕраа,broket
603,bunt::A,аҕраҷкəын,broket
604,billig::A,амариа,billig
605,teuer::A,амҩан,dyr
606,wertvoll::A,кыр иаҕсоу,verdifull
607,wertvoll::A,акыр иаҕсоу,verdifull
608,blind::A,алашə,blind
609,taub::A,адагəа,døv
610,kräftig::A,аӷəӷəа,kraftig
611,stark::A,абаҟа,sterk
612,schwach::A,акəада,svak
613,fett::A,аҧсыла,fet
614,schlank::A,акала,slank
615,schlank::A,акьалантар,slank
616,schlank::A,аиҿартə,slank
617,hübsch::A,аҧшӡа,pen
618,böse::A,абааҧсы,slem
619,dumm::A,агаӡа,dum
620,faul::A,аашьа,lat
621,faul::A,аашьа,doven
622,fleißig::A,иҟубҷоу,flittig
623,geizig::A,акы,gjerrig
624,geizig::A,акаҷбеи,gjerrig
625,geizig::A,аҟəџьыр,gjerrig
626,klug::A,аҟəыш,klok
627,klug::A,аҟəыӷа,klok
628,geschickt::A,напҟазала,hendig
629,geschickt::A,напҟазала,skikket
630,lieb::A,алашара,kjær
631,lieb::A,алашара,snill
632,lustig::A,алах-ҿых,morsom
633,lustig::A,игурҕьаччо,morsom
634,lustig::A,агурҕьа,morsom
635,lustig::A,агурҿыхага,morsom
636,sanft::A,атата,blid
637,sanft::A,аҟəымшəышə,blid
638,sanft::A,ақьыҧш,blid
639,hungrig::A,амлашь,sulten
640,krank::A,ачымазаҩ,syk
641,nackt::A,аҟьантаз,naken
642,traurig::A,алахьеиқəҵага,sørgmodig
643,lebendig::A,абза,levende
644,gut::A,абзиа,god
645,schlecht::A,-хəарҭам,dårlig
646,richtig::A,иашоу,riktig
647,schlimm::A,абааҧсы,slem
648,wahr::A,агəҭылса,sann
649,wahr::A,абзиаҵəҟьа,sann
650,alt::A,Ажə,gammel
651,neu::A,аҿыц,ny
652,ehemalig::A,анкьатәи,forhenværende
653,alt[Lebewesen]::A,абырг,gammel
654,alt[Lebewesen]::A,ақабада,gammel
655,alt[Lebewesen]::A,Ажə,gammel
656,jung::A,аҟата,ung
657,arm::A,ананамга,fattig
658,reich::A,абеиа,rik
659,bekannt::A,адыр,kjent
660,berühmt::A,адыр,berømt
661,fremd::A,атəым,fremmed
662,verschieden::A,Еиуа-еиҧшым,forskjellig
663,nah::A,ааигəа,nær
664,fern::A,ахара,fjern
665,linker::A,арма,venstre
666,rechter::A,арҕьа,høyre
667,anderer::A,даҽа,annen
668,anderer::A,даҽакы,annen
669,erster::A,актәи,første
670,zweiter::A,аҩбатəи,annen
671,dritter::A,ахҕатәи,tredje
672,letzter::A,аҵыхəтəантəи,sist
673,allein::ADV,мацара,alene
674,auf einmal::ADV,зныкала,med ett
675,auf einmal::ADV,зныкҟьара,med ett
676,zusammen::ADV,аиц...,sammen
677,lange::ADV,акыраамҭа,lenge
678,plötzlich::ADV,иаалырҟьаны,plutselig
679,sofort::ADV,иаразнакҵәҟьа,straks
680,später::ADV,уажəшьҭаншəа,senere
681,jetzt::ADV,уажәы,nå
682,heute::ADV,иахьа,i dag
683,morgen::ADV,уаҵәы,i morgen
684,bald::ADV,иласны,snart
685,dann::ADV,нас,så
686,gestern::ADV,иацы,i går
687,einst::ADV,зны,engang
688,damals::ADV,усҟан,den gang
689,danach::ADV,нас,deretter
690,vorher::ADV,уаанӡа,før
691,vorher::ADV,уаанӡа,i forveien
692,zuerst::ADV,азнаказы,først
693,zuerst::ADV,аҧхьа,først
694,einmal::ADV,зны,en gang
695,manchmal::ADV,зны-зынла,somme tider
696,oft::ADV,лассы-лассы,ofte
697,immer::ADV,енагь,alltid
698,immer::ADV,еснагь,alltid
699,niemals::ADV,ианакəызаалак,aldri
700,hier::ADV,ара,her
701,hier::ADV,абра,her
702,hier::ADV,араҟа,her
703,hierhin::ADV,ара,hit
704,hierhin::ADV,араҟа,hit
705,von hier::ADV,арантә,herfra
706,dort::ADV,уа,der
707,dorthin::ADV,уахь,dit
708,dorthin::ADV,анахь,dit
709,geradeaus::ADV,ишиашоу,rett fram
710,vorwärts::ADV,ҕхьаҟа,fram
711,vorwärts::ADV,ҕхьаҟа,framover
712,rückwärts::ADV,шьҭахьла,baklengs
713,zurück::ADV,шьҭахьҟа,tilbake
714,unten::ADV,лбаа,nede
715,hinab::ADV,алада,ned
716,hinab::ADV,алада,nedover
717,oben::ADV,хыхь,oppe
718,oben::ADV,хыхь,ovenpå
719,hinauf::ADV,аҩада,opp
720,hinauf::ADV,аҩада,oppover
721,überall::ADV,зегьынцьара,overalt
722,nicht::ADV,-м,ikke
723,ein wenig::ADV,ҕыҭк,litt
724,kaum::ADV,аарлаҳәа,neppe
725,kaum::ADV,афергьҳәа,neppe
726,sehr::ADV,даара,svært
727,so::ADV,ас,så
728,so::ADV,абас,så
729,noch::ADV,макьана,enda
730,nur::ADV,заҵәык,bare
731,schon::ADV,уажәшьҭа,alt
732,schon::ADV,уажәшьҭа,allerede
733,schon::ADV,аиҳа ипоу,alt
734,schon::ADV,аиҳа ипоу,allerede
735,wieder::ADV,ҿыц,igjen
736,wieder::ADV,дырҩегь,igjen
737,wieder::ADV,дырҩегьых,igjen
738,vergebens::ADV,баша,forgjeves
739,vor::PRP,аҕхьа,foran
740,vor::PRP,аҕхьа,utenfor
741,hinter::PRP,нхыҵ,bak
742,hinter::PRP,нхыҵ,bakom
743,unter::PRP,амҵа,under
744,unter::PRP,амҵан,under
745,neben::PRP,ааигуара,ved siden av
746,zwischen::PRP,абжьара,mellom
747,wegen::PRP,-иззы,på grunn av
748,wegen::PRP,-ҟнытә,på grunn av
749,dies::PRN,ари,dette
