,Concept_ID,et,ta
81,Eis::N,jää,பனிக்கட்டி
82,Frost::N,pakane,உறைபனி
83,Kälte::N,külm,குளிர்ந்த
84,Kälte::N,külmus,குளிர்ந்த
85,Hitze::N,kuumus,சூடு
86,Hitze::N,palavus,சூடு
87,Raureif::N,härmatis,உறைபனி வெண்திரை
88,Regenbogen::N,vikerkaar,வானவில்
89,Donner::N,kõu,இடி
90,Donner::N,müristamine,இடி
91,Strömung::N,voolus,நீரோட்டம்
92,Strömung::N,jõevool,நீரோட்டம்
93,Tropfen::N,tilk,துளி
94,Schaum::N,vaht,நுரை
95,Schmutz::N,pori,அழுக்கு
96,Schmutz::N,mustus,அழுக்கு
97,See::N,järv,ஏரி
98,Sumpf::N,soo,சதுப்பு நிலம்
99,Moor::N,raba,முட்புதற்காடு
100,Wiese::N,aas,பசும் புல்தரை
101,Wiese::N,nurm,பசும் புல்தரை
102,Wald::N,mets,காடு
103,Hügel::N,küngas,குன்று
104,Anhöhe::N,küngas,பதுக்கை
105,Berg::N,mägi,மலை
106,Gipfel::N,mäetipp,உச்சி மாநாடு
107,Höhle::N,koobas,குகை
108,Abhang::N,nõlvak,சரிவு
109,Quelle::N,allikas,மூலம்
110,Bach::N,oja,ஓடை
111,Fluss::N,jõgi,ஆறு
112,Ufer::N,kallas,நீர்க்கரை
113,Küste::N,rannik,கடற்கரை
114,Festland::N,mander,நிலம்
115,Festland::N,maismaa,நிலம்
116,Meer::N,meri,கடல்
117,Bucht::N,laht,சிறுகுடா
118,Insel::N,saar,தீவு
119,Blume::N,lill,பூ
120,Gras::N,rohi,புல்தரை
121,Wurzel::N,juur,வேர்
122,Baum::N,puu,மரம்
123,Stamm::N,tüvi,அடிமரம்
124,Rinde::N,koor,பட்டை
125,Rinde::N,koor,மரப்பட்டை
126,Ast::N,oks,கினை
127,Zweig::N,oks,குச்சி
128,Blatt::N,leht,இலை
129,Birke::N,kask,பிர்ச் மரம்
130,Kiefer[Baum]::N,mänd,தேவதாரு மரம்
131,Weide[Baum]::N,paju,மர வகைகளுள் ஒன்று
132,Tanne::N,nulg,சாதிக்கய்
133,Horn::N,sarv,கொம்பு
134,Feder::N,sulg,இறகு
135,Fell::N,karvkate,மென்முடி
136,Fell::N,karusnahk,மென்முடி
137,Flügel::N,tiib,இறக்கை
138,Flügel::N,tiivik,இறக்கை
139,Klaue::N,küüs,நகம்
140,Kralle::N,küünis,நகம்
141,Schwanz::N,saba,வால்
142,Ei::N,muna,முட்டை
143,Nest::N,pesa,கூடு
144,Bau::N,urg,குகை
145,Tier::N,loom,விலங்கு
146,Herde::N,kari,கூட்டம்
147,Kuh::N,lehm,பசு
148,Bulle::N,pull,காளை
149,Pferd::N,hobune,குதிரை
150,Schaf::N,lammas,செம்மறிஆடு
151,Schwein::N,siga,பன்றி
152,Hund::N,koer,நாய்
153,Katze::N,kass,பூனை
154,Bär::N,karu,கரடி
155,Eichhörnchen::N,orav,அணில்
156,Elch::N,põder,கடம்பை
157,Fuchs::N,rebane,நரி
158,Hase::N,jänes,முயல்
159,Maus::N,hiir,எலி
160,Wolf::N,hunt,ஓநாய்
161,Vogel::N,lind,பறவை
162,Schwarm::N,parv,தொகுதி
163,Huhn::N,kana,கோழிக்குஞசு
164,Hahn::N,kukk,சேவல்
165,Gans::N,hani,பெண் வாத்து
166,Adler::N,kotkas,பருநது
167,Ente::N,part,வாத்து
168,Eule::N,kakk,ஆந்தை
169,Eule::N,öökull,ஆந்தை
170,Kranich::N,kurg,நாரை
171,Krähe::N,vares,காகம்
172,Kuckuck::N,kägu,குயில்
173,Schwan::N,luik,அன்னம்
174,Fisch::N,kala,மீன்
175,Barsch::N,ahven,பேர்ச்
176,Hecht::N,haug,கோலாச்சி மீன்
177,Schlange[Tier]::N,uss,பாம்பு
178,Wurm::N,uss,புழு
179,Wurm::N,vagel,புழு
180,Spinne::N,ämblik,சிலந்தி
181,Ameise::N,sipelgas,எறும்பு
182,Laus::N,täi,பேன்
183,Mücke::N,sääsk,கொசுவினப்பூச்சி
184,Fliege::N,kärbes,ஈ
185,Schmetterling::N,liblikas,வண்ணத்துப்பூச்சி
186,Beere::N,mari,சதைப்பழம்
187,Apfel::N,õun,ஆப்பிள பழம்
188,Pilz::N,seen,காளான்
189,Zwiebel::N,sibul,வெங்காயம்
190,Saat::N,seeme,விதை
191,Korn::N,iva,தானியம்
192,Korn::N,tera,தானியம்
193,Heu::N,hein,வைக்கோல்
194,Schale::N,koor,தோல்
195,Grube::N,kaevand,குழி
196,Falle::N,lõks,பொறி
197,Falle::N,püünis,பொறி
198,Schlinge::N,aas,கண்ணி
199,Spur::N,jälg,சுவடு
200,Asche::N,tuhk,சாம்பல்
201,Dreck::N,saast,அழுக்கு
202,Dreck::N,mustus,அழுக்கு
203,Eisen::N,raud,இரும்பு
204,Gold::N,kuld,தங்கம்
205,Silber::N,hõbe,வெள்ளி
206,Kohle::N,süsi,நிலக்கரி
207,Glas::N,klaas,கண்ணாடி
208,Lehm::N,savi,களிமண்
209,Sand::N,liiv,மணல்
210,Mensch::N,inimene,மனிதர்கள்
211,Mann::N,mees,மனிதன்
212,Frau::N,naine,பெண்
213,Kind::N,laps,குழந்தை
214,Junge::N,poiss,பையன்
215,Mädchen::N,tüdruk,சிறுமி
216,Familie::N,perekond,குடும்பம்
217,Großvater::N,vanaisa,தாத்தா
218,Großmutter::N,vanaema,பாட்டி
219,Eltern::N,vanemad,பெற்றோர்
220,Vater::N,isa,தந்தை
221,Mutter::N,ema,தாய்
222,Sohn::N,poeg,மகன்
223,Tochter::N,tütar,மகள்
224,Bruder::N,vend,சகோதரன்
225,Schwester::N,õde,அக்கா
226,Onkel::N,onu,தாய் மாமன்
227,Tante::N,tädi,அத்தை
228,Ehemann::N,mees,கணவன்
229,Ehemann::N,abikaasa,கணவன்
230,Ehefrau::N,naine,மனைவி
231,Ehefrau::N,abikaasa,மனைவி
232,Freude::N,rõõm,கொண்டாட்டம்
233,Gelächter::N,naer,சிரிப்பு
234,Glück::N,õnn,மகிழ்ச்சி
235,Kummer::N,mure,துயரம்
236,Kummer::N,kurbus,துயரம்
237,Wunsch::N,soov,விருப்பம்
238,Lust::N,himu,விருப்பம்
239,Geist::N,vaim,ஆன்மா
240,Gedanke::N,mõte,எண்ணம்
241,Gedächtnis::N,mälu,ஞாபகம்
242,Verstand::N,aru,மனம்
243,Verstand::N,mõistus,மனம்
244,Sinn::N,tähendus,அர்த்தம்
245,Grund::N,põhjus,காரணம்
246,Wahrheit::N,tõde,உண்நை
247,Gespräch::N,kõne,பெசு
248,Gespräch::N,vestlus,பெசு
249,Märchen::N,muinasjutt,நம்பத்தகாத கதை
250,Erzählung::N,jutustus,கதை
251,Nachricht::N,teade,செய்தி
252,Neuigkeit::N,uudis,செய்தி
253,Name::N,nimi,பெயர்
254,Rätsel::N,mõistatus,புதிர்
255,Rede::N,kõne,பேச்சு
256,Sprache::N,keel,மொழி
257,Stimme::N,hääl,குரல்
258,Wort::N,sõna,வார்த்தை
259,Zeichen::N,märk,குறி
260,Ruf::N,hüüe,அழைப்பு
261,Lärm::N,müra,சத்தம்
262,Laut::N,hääl,ஒலி
263,Ton::N,toon,குரல்
264,Lied::N,laul,பாட்டு
265,Ruhe::N,rahu,அமைதி
266,Ruhe::N,vaikus,அமைதி
267,Leute::N,inimesed,மக்கள்
268,Volk::N,rahvas,மக்கள்
269,Arbeit::N,töö,வேலை
270,Gast::N,külaline,விருந்தாளி
271,Geschenk::N,kingitus,பரிசுப் பொருள்
272,Spiel::N,mäng,விளையாட்டு
273,Gesellschaft::N,selts,சமுதாயம்
274,Hilfe::N,abi,உதவி
275,Freund::N,sõber,நண்பன்
276,Kamerad::N,sõber,உடனிருப்பவன்
277,Angelegenheit::N,asi,செய்தி
278,Anzahl::N,arv,எண்ணிக்கை
279,Anzahl::N,hulk,எண்ணிக்கை
280,Art::N,liik,வகை
281,Stück::N,tükk,துண்டம்
282,Teil::N,osa,பகுதி
283,Hälfte::N,pool,பாதி
284,Kreis::N,ring,வட்டம்
285,Kreuz::N,rist,சிலுவை
286,Linie::N,joon,கோடு
287,Strich::N,joon,வாத நோய்
288,Abstand::N,vahe,இடைவெளி
289,Entfernung::N,kaugus,தூரம்
290,Entfernung::N,vahemaa,தூரம்
291,Gegend::N,ümbrus,வட்டாரம்
292,Platz::N,ruum,வெற்றிடம்
293,Ort::N,paik,இடம்
294,Seite::N,pool,பக்கம்
295,Mitte::N,keskpaik,இடைப்பகுதி
296,Gegenstand::N,ese,உருப்படி
297,Sache::N,ese,பொருள்
298,Rand::N,äär,தொங்கு
299,Rand::N,serv,தொங்கு
300,Kante::N,kant,விளிம்பு
301,Ecke::N,nurk,மூலை
302,Spitze::N,teravik,முனை
303,Ende::N,ots,முடிவு
304,Ende::N,jupp,முடிவு
305,Loch::N,auk,துளை
306,Winkel::N,nurk,கோணம்
307,Muster::N,muster,பாங்கு
308,Größe::N,suurus,அளவு
309,Länge::N,pikkus,நீளம்
310,Höhe::N,kõrgus,உயரம்
311,Gewicht::N,kaal,எடை
312,Gewicht::N,raskus,எடை
313,Menge::N,arv,தொகை
314,Menge::N,hulk,தொகை
315,Haufen::N,hunnik,குவியல்
316,Reihe::N,rivi,வரிசை
317,Boot::N,paat,படகு
318,Ruder::N,aer,துடுப்பு
319,Schlitten::N,saan,சகடையிலா வண்டி
320,Ski::N,suusk,பனிச் சறுக்கல்
321,Lagerfeuer::N,lõke,மூட்டம்
322,Last::N,koorem,பாரம்
323,Gang::N,käik,நடை
324,Schritt::N,samm,காலடி
325,Norden::N,põhi,வடக்கு
326,Süden::N,lõuna,தெற்கு
327,Westen::N,lääs,மேற்கு திசை
328,Osten::N,ida,கிழக்கு
329,Holz::N,puu,மரக்கட்டை
330,Brett::N,saelaud,பலகை
331,Platte::N,plaat,பலகம்
332,Stütze::N,tugi,அடைப்புகன்
333,Stange::N,latt,கம்பம்
334,Stange::N,teivas,கம்பம்
335,Stock::N,kepp,குச்சி
336,Stab::N,varras,கம்பு
337,Rohr::N,toru,குழாய்
338,Haus::N,maja,வீடு
339,Heim::N,kodu,வீடு
340,Ofen::N,ahi,அடுப்பு
341,Fußboden::N,põrand,தரை
342,Tisch::N,laud,மேசை
343,Stuhl::N,tool,நாற்காலி
344,Wiege::N,häll,தொட்டில்
345,Wiege::N,kätki,தொட்டில்
346,Bett::N,voodi,படுக்கை
347,Regal::N,riiul,அலமாரி
348,Kiste::N,kast,பெட்டி
349,Fenster::N,aken,சாளரம்
350,Tür::N,uks,கதவு
351,Tor::N,värav,வாசற்கதவு
352,Zaun::N,aed,வேலி
353,Zaun::N,tara,வேலி
354,Dach::N,katus,கூரை
355,Leiter::N,redel,ஏணி
356,Besen::N,luud,விளக்குமாறு
357,Spaten::N,labidas,மண்வெட்டி
358,Schaufel::N,kühvel,அடிதண்டா
359,Gabel::N,kahvel,முட்கரண்டி
360,Löffel::N,lusikas,கரண்டி
361,Messer::N,nuga,கத்தி
362,Nagel::N,nael,ஆணி
363,Netz::N,võrk,வலை
364,Haken::N,haak,கொக்கி
365,Haken::N,konks,கொக்கி
366,Griff::N,sang,கைப்பிடி
367,Griff::N,käepide,கைப்பிடி
368,Schloss::N,lukk,பூட்டு
369,Bild::N,pilt,படம்
370,Figur::N,kuju,எண்ணிக்கை
371,Figur::N,kujund,எண்ணிக்கை
372,Puppe::N,nukk,பொம்மை
373,Beutel::N,paun,பை
374,Bündel::N,kimp,பொதி
375,Tasche::N,kott,பை
376,Eimer::N,pang,வாளி
377,Eimer::N,ämber,வாளி
378,Deckel::N,kaas,உறை
379,Geschirr::N,nõud,பாத்திரம்
380,Sack::N,kott,பை
381,Tasse::N,tass,கிண்ணம்
382,Topf::N,pada,பானை
383,Kessel::N,pada,கெண்டி
384,Essen::N,söök,உணவருந்துதல்
385,Nahrung::N,toit,உணவு
386,Speise::N,roog,உணவு வகை
387,Fleisch::N,liha,இறைச்சி
388,Getreide::N,teravili,மக்காச்சோளம்
389,Brei::N,puder,கஞ்சி
390,Brot::N,sai,ரொட்டி
391,Brot::N,leib,ரொட்டி
392,Scheibe::N,viil,துண்டு
393,Scheibe::N,viilukas,துண்டு
394,Fett::N,rasv,கொழுப்பு
395,Butter::N,või,வெண்ணெய்
396,Öl::N,õli,எண்ணெய்
397,Salz::N,sool,உப்பு
398,Suppe::N,supp,ரசம்
399,Honig::N,mesi,தேன்
400,Milch::N,piim,பால்
401,Tee::N,tee,தெனீர்
402,Leder::N,nahk,பதம் செய்யப்பட்ட தோல்
403,Wolle::N,vill,கம்பளி
404,Stoff::N,kangas,துணி
405,Nadel::N,nõel,ஊசி
406,Faden::N,niit,நூல்
407,Knopf::N,nööp,பொத்தான்
408,Knoten::N,sõlm,முடிச்சு
409,Farbe::N,värv,வண்ணக் குழம்பு
410,Kleidung::N,riided,ஆடைகள்
411,Kleidung::N,riietus,ஆடைகள்
412,Hemd::N,särk,சட்டை
413,Kragen::N,krae,கழுத்துப் பட்டை
414,Ärmel::N,varrukas,சட்டைக்கை
415,Hose::N,püksid,கால்சட்டை
416,Gürtel::N,vöö,பெல்ட்
417,Mütze::N,müts,தொப்பி
418,Schuh::N,king,காலணி
419,Stiefel::N,saabas,காலணி
420,Ring::N,sõrmus,மோதிரம்
421,Band::N,lint,நாடா
422,Kamm::N,kamm,கீப்பு
423,Spiegel::N,peegel,ஆடி
424,Spiegel::N,peegel,கண்ணாடி
425,Riemen::N,rihm,வார்
426,Schnur::N,nöör,கயிறு
427,Leine::N,jalutusrihm,தோல்வார்
428,Decke::N,tekk,போர்வை
429,Kissen::N,padi,தலையணை
430,Tuch::N,kalev,துணி
431,Handtuch::N,käterätik,தண்டு
432,Kraft::N,jõud,நிர்பந்தம்
433,Stärke::N,tugevus,பலம்
434,Gesundheit::N,tervis,ஆரோக்கியம்
435,Krankheit::N,haigus,நோய்
436,Schmerz::N,valu,வலி
437,Wunde::N,haav,காயம்
438,Fieber::N,palavik,காய்ச்சல்
439,Arznei::N,ravim,மருந்து
440,Brücke::N,sild,பாலம்
441,Brunnen::N,kaev,கேணி
442,Weide::N,karjamaa,மேய்ச்சல் நிலம்
443,Pfad::N,rada,நடை வழி
444,Weg::N,tee,வழி
445,Straße::N,tee,சாலை
446,Dorf::N,küla,கிராமம்
447,Stadt::N,linn,நகரம்
448,Brief::N,kiri,கடிதம்
449,Buch::N,raamat,புத்தகம்
450,Buchstabe::N,täht,எழத்து
451,Zeitung::N,ajaleht,செய்தித்தாள்
452,Leben::N,elu,வாழ்க்கை
453,Tod::N,surm,மரணம்
454,Grab::N,haud,சமாதி
455,Kirche::N,kirik,தேவாலயம்
456,Sünde::N,patt,பாவம்
457,Gott::N,jumal,கடவுள்
458,Arbeiter::N,tööline,தொழிலாளி
459,Chef::N,ülemus,மேலாளர்
460,Chef::N,juhataja,மேலாளர்
461,Meister::N,meister,தலைவன்
462,Arzt::N,arst,மருத்துவர்
463,Lehrer::N,õpetaja,ஆசிரியர்
464,Geld::N,raha,பணம்
465,Geschäft::N,äri,வாணிபம்
466,Laden::N,pood,கடை
467,Laden::N,kauplus,கடை
468,Preis::N,hind,விலை
469,Ware::N,kaup,சாமன்கள்
470,Nutzen::N,tulu,இலாபம்
471,Nutzen::N,kasulikkus,இலாபம்
472,Reichtum::N,rikkus,சொத்து
473,Welt::N,maailm,உலகம்
474,Land::N,maa,நாடு
475,Staat::N,riik,நாடு
476,König::N,kuningas,அரசன்
477,Macht::N,võim,அதிகாரம்
478,Grenze::N,piir,எல்லை
479,Krieg::N,sõda,போர்
480,Feind::N,vaenlane,எதிரி
481,Gewalt::N,väevõim,வன்முறை
482,Kampf::N,võitlus,போராட்டம்
483,Bogen[Waffe]::N,vibu,வில்
484,Pfeil::N,nool,அம்பு
485,Gewehr::N,püss,துப்பாக்கி
486,Fehler::N,viga,தவறு
487,Lüge::N,vale,பொய்
488,Schaden::N,kahju,சேதாரம்
489,Unglück::N,häda,இடையூறு
490,Unglück::N,õnnetus,இடையூறு
491,Schuld::N,süü,குற்றம்
492,Alter::N,iga,வயது
493,Schluss::N,lõpp,முடிவு
494,Zeit::N,aeg,காலம்
495,Tag::N,päev,நாள்
496,Morgen::N,hommik,காலை நேரம்
497,Mittag::N,lõuna,மதியம்
498,Mittag::N,keskpäev,மதியம்
499,Abend::N,õhtu,மாலைப் பொழுது
500,Nacht::N,öö,இரவு
501,Woche::N,nädal,வாரம்
502,Monat::N,kuu,மாதம்
503,Jahr::N,aasta,வருடம்
504,Frühling::N,kevad,வசந்தம்
505,Sommer::N,suvi,கோடை
506,Herbst::N,sügis,இலையுதிர் காலம்
507,Winter::N,talv,குளிர்காலம்
508,Januar::N,jaanuar,ஜனவரி
509,Februar::N,veebruar,பிபரவரி மாதம்
510,März::N,märts,மார்ச் மாதம்
511,April::N,aprill,ஏப்ரல் மாதம்
512,Mai::N,mai,மே மாதம்
513,Juni::N,juuni,ஜூன் மாதம்
514,Juli::N,juuli,ஜூலை மாதம்
515,August::N,august,ஆகஸ்ட் மாதம்
516,September::N,september,செப்டம்பர் மாதம்
517,Oktober::N,oktoober,அக்டோபர் மாதம்
518,November::N,november,நவம்பர் மாதம்
519,Dezember::N,detsember,டிசம்பர்
520,Montag::N,esmaspäev,திங்கட் கிழமை
521,Dienstag::N,teisipäev,செவ்வாய்க்கிழமை
522,Mittwoch::N,kesknädal,புதன் கிழமை
523,Donnerstag::N,neljapäev,வியாழக் கிழமை
524,Freitag::N,reede,வெள்ளிக்கிழமை
525,Samstag::N,laupäev,சனிக்கிழமை
526,Sonntag::N,pühapäev,ஞாயிறுக் கிழமை
527,groß::A,suur,பெரிய
528,klein::A,väike,சிறிய
529,klein::A,pisike,சிறிய
530,lang::A,pikk,நீண்ட
531,kurz::A,lühike,குட்டையான
532,breit::A,lai,அகலமான
533,schmal::A,kitsas,குறுகலான
534,dicht::A,tihe,அடர்த்தியான
535,dick[Gegenstand]::A,jäme,தடித்த
536,dünn::A,õhuke,சன்னமான
537,dünn::A,peenike,சன்னமான
538,fein::A,peen,மெல்லிய
539,fein::A,õhuke,மெல்லிய
540,fest::A,püsiv,உறுதியாள
541,fest::A,kindel,உறுதியாள
542,flach::A,lame,தட்டையான
543,flach::A,tasane,தட்டையான
544,glatt::A,sile,வழுவழுப்பான
545,hart::A,kõva,கடினமான
546,weich::A,pehme,மென்மையான
547,rund::A,ümar,உருண்டையான
548,spitz::A,torkav,திகந்தமாக
549,scharf::A,terav,கூரான
550,stumpf::A,nüri,உளம் திறந்த
551,schwer::A,raske,கனமான
552,schön::A,kena,அழகான
553,heiß::A,kuum,சூடான
554,heiß::A,palav,சூடான
555,warm::A,soe,இதமான
556,kalt::A,külm,குளிர்ச்சியான
557,kühl::A,jahe,குளிர்ச்சியான
558,frisch::A,värske,சுத்தமான
559,feucht::A,niiske,ஈரமான
560,nass::A,märg,ஈரமான
561,trocken::A,kuiv,உலர்ந்த
562,voll::A,täis,நிரம்பிய
563,leer::A,tühi,காலியான
564,offen::A,avatud,திறந்த
565,offen::A,lahtine,திறந்த
566,geschlossen::A,suletud,மூடப்பட்ட
567,sauber::A,puhas,சுத்தமான
568,schmutzig::A,räpane,அழக்கான
569,schmutzig::A,määrdunud,அழக்கான
570,roh::A,toores,கச்சா
571,reif::A,küps,பழுத்த
572,lecker::A,hõrk,சுவைமிக்க
573,lecker::A,maitsev,சுவைமிக்க
574,süß::A,magus,இனிப்பான
575,bitter::A,mõru,கசப்பான
576,sauer::A,hapu,புளிப்பாக
577,hell::A,hele,பளபளப்பான
578,dunkel::A,pime,கருமையான
579,schwarz::A,must,கருப்பு வண்ண
580,weiß::A,valge,வெண்மையன
581,rot::A,punane,சிவப்பு
582,gelb::A,kollane,மஞ்சள் வண்ணம்
583,blau::A,sinine,நீல வண்ண
584,grün::A,roheline,பச்சை வண்ண
585,grau::A,hall,சாம்பல் நிற
586,bunt::A,kirju,வண்ண மயமான
587,bunt::A,värviline,வண்ண மயமான
588,billig::A,odav,மலிவான
589,teuer::A,kallis,விலை அதிகமான
590,wertvoll::A,väärtuslik,மதிப்புள்ள
591,blind::A,pime,பார்வையற்ற
592,taub::A,kurt,செவிடான
593,kräftig::A,jõuline,வலிமையான
594,stark::A,tugev,பலமான
595,schwach::A,nõrk,பலவீனமான
596,schwach::A,jõuetu,பலவீனமான
597,fett::A,rasvane,பருமனாக
598,schlank::A,sale,ஒல்லியான
599,hübsch::A,kena,அழகிய
600,böse::A,tige,கேடு விளைவிக்கும்
601,dumm::A,juhm,முட்டாள்தனமான
602,dumm::A,rumal,முட்டாள்தனமான
603,faul::A,laisk,சோம்பலான
604,fleißig::A,virk,ஊக்கந்தளராத
605,fleißig::A,hoolas,ஊக்கந்தளராத
606,geizig::A,ihne,கஞேசத்தனமான
607,klug::A,tark,சாதுரியமான
608,klug::A,arukas,சாதுரியமான
609,klug::A,mõistlik,சாதுரியமான
610,geschickt::A,osav,திறமையள்ள
611,lieb::A,armas,அன்புக்குரிய
612,lustig::A,lõbus,களிப்புமிக்க
613,sanft::A,õrn,சாதுவான
614,hungrig::A,näljane,பசியுடன்
615,krank::A,haige,நோயுற்று
616,nackt::A,alasti,ஆடையற்ற
617,traurig::A,kurb,சோகமான
618,lebendig::A,elus,பிழைப்பு
619,gut::A,hea,நல்ல
620,schlecht::A,halb,கெட்ட
621,richtig::A,õige,சரியான
622,schlimm::A,paha,அருவருப்பான
623,wahr::A,tõene,உண்மையான
624,alt::A,vana,பழைய
625,neu::A,uus,புதிய
626,ehemalig::A,endine,முன்நாள்
627,alt[Lebewesen]::A,vana,வயதான
628,jung::A,noor,இளமையான
629,arm::A,vaene,ஏழ்மையான
630,reich::A,rikas,செல்வம் படைத்த
631,bekannt::A,teada,பழக்கப்பட்ட
632,bekannt::A,tuttav,பழக்கப்பட்ட
633,berühmt::A,tuntud,புகழ்பெற்ற
634,fremd::A,võõras,அயல் நாட்டு
635,verschieden::A,erinev,வித்தியாசமான
636,nah::A,lähedane,பக்கத்தில் உள்ள
637,fern::A,kauge,தொலை தூரத்தில்
638,linker::A,vasak,மீந்திருக்கும்
639,rechter::A,parem,வலதுபக்கம்
640,anderer::A,muu,மற்ற
641,anderer::A,teine,மற்ற
642,erster::A,esimene,முதனமையான
643,zweiter::A,teine,இரண்டாவது
644,dritter::A,kolmas,மூன்றாவது
645,letzter::A,viimane,கடைசி
646,allein::ADV,üksi,தனியாக
647,auf einmal::ADV,korraga,தடீரென்று
648,auf einmal::ADV,ühekorraga,தடீரென்று
649,zusammen::ADV,koos,சேர்ந்து
650,zusammen::ADV,üheskoos,சேர்ந்து
651,lange::ADV,kaua,அதிக நோம்
652,plötzlich::ADV,äkki,தடீரென்று
653,plötzlich::ADV,järsku,தடீரென்று
654,sofort::ADV,kohe,உடனடியாக
655,später::ADV,hiljem,பிறகு
656,jetzt::ADV,nüüd,இப்பொழது
657,heute::ADV,täna,இன்று
658,morgen::ADV,homme,நாளைக்கு
659,bald::ADV,pea,சீக்கிரம்
660,bald::ADV,varsti,சீக்கிரம்
661,dann::ADV,siis,அப்பொழுது
662,gestern::ADV,eile,நேற்று
663,einst::ADV,vanasti,ஒரே முறை
664,damals::ADV,tookord,அப்பொழுது
665,danach::ADV,seejärel,பிற்பாடு
666,vorher::ADV,enne,முன்பாக
667,zuerst::ADV,enne,முதலில்
668,zuerst::ADV,esmalt,முதலில்
669,einmal::ADV,kord,ஒரே முறை
670,einmal::ADV,üks kord,ஒரே முறை
671,manchmal::ADV,mõnikord,சில நேரங்களில்
672,oft::ADV,tihti,அடிக்கடி
673,oft::ADV,sageli,அடிக்கடி
674,immer::ADV,ikka,எப்பொழுதும்
675,immer::ADV,alati,எப்பொழுதும்
676,niemals::ADV,mitte kunagi,ஒருபோதும் இல்லை
677,hier::ADV,siin,இங்கே
678,hierhin::ADV,siia,இவ்விடத்திற்கு
679,von hier::ADV,siit,இனி
680,dort::ADV,seal,அங்கே
681,dorthin::ADV,sinna,அவ்விடத்திற்கு
682,geradeaus::ADV,otse edasi,முன்னாலிருக்கும்
683,vorwärts::ADV,edasi,முன்புறமாக
684,rückwärts::ADV,tagurpidi,பின்னோக்கி
685,zurück::ADV,tagasi,பின்பக்கம்
686,unten::ADV,all,கீழாக
687,unten::ADV,allpool,கீழாக
688,hinab::ADV,alla,கீழ் நோக்கி
689,oben::ADV,ülal,மேலே
690,hinauf::ADV,üles,மேலே
691,überall::ADV,kõikjal,எல்லா இடத்திலும்
692,nicht::ADV,ei,இல்லை
693,nicht::ADV,mitte,இல்லை
694,ein wenig::ADV,veidi,கொஞ்சம்
695,ein wenig::ADV,natuke,கொஞ்சம்
