,Concept_ID,kl,fa
79,Boden::N,nateq,زمین
80,Erde::N,issoq,خاک
81,Erde::N,issoq,زمین
82,Staub::N,pujualanerit,گرد
83,Staub::N,pujualanerit,غبار
84,Staub::N,pujoralanerit,گرد
85,Staub::N,pujoralanerit,غبار
86,Rauch::N,iseq,دود
87,Rauch::N,pujoq,دود
88,Funke::N,illoorneq,جرقه
89,Feuer::N,inneq,آتش
90,Licht::N,qaamaneq,نور
91,Licht::N,qaamaneq,روشنی
92,Schatten::N,tarraq,سایه
93,Wetter::N,sila,هوا
94,Nebel::N,pujoq,مه
95,Wolke::N,nuia,ابر
96,Regen::N,sialuk,باران
97,Schnee::N,aput,برف
98,Eis::N,siku,یخ
99,Frost::N,issi,یخبندان
100,Frost::N,issik,یخبندان
101,Kälte::N,issi,سرما
102,Hitze::N,kianneq,گرما
103,Hitze::N,kianneq,حرارت
104,Hitze::N,kiassuseq,گرما
105,Hitze::N,kiassuseq,حرارت
106,Raureif::N,kaneq,برف ریزه
107,Regenbogen::N,neriusaaq,رنگین‌کمان
108,Donner::N,kalleq,رعد
109,Tropfen::N,kuseriarneq,قطره
110,Schaum::N,qapuk,کف
111,Schmutz::N,minguk,گل
112,Schmutz::N,minguk,کثافت
113,See::N,taseq,دریاچه
114,Sumpf::N,maqulluk,مرداب
115,Sumpf::N,maqulluk,باتلاق
116,Wiese::N,masarsuk,چمن
117,Hügel::N,qattuneq,تل
118,Hügel::N,qattuneq,تپه
119,Hügel::N,majuariaq,تل
120,Hügel::N,majuariaq,تپه
121,Hügel::N,majorajaaq,تل
122,Hügel::N,majorajaaq,تپه
123,Hügel::N,qaqqannguaq,تل
124,Hügel::N,qaqqannguaq,تپه
125,Berg::N,qaqqaq,کوه
126,Höhle::N,qaarusuk,غار
127,Abhang::N,ippik,سرازیری
128,Abhang::N,sivinganeq,سرازیری
129,Abhang::N,sivingajaaq,سرازیری
130,Abhang::N,kussangajaaq,سرازیری
131,Bach::N,kuunnguaq,نهر
132,Fluss::N,kuuk,رود
133,Ufer::N,sissap sinaa,ساحل
134,Ufer::N,sissap sinaa,کرانه
135,Küste::N,sineriak,ساحل
136,Meer::N,imaq,دریا
137,Bucht::N,ikeq,خلیج
138,Bucht::N,kangerluk,خلیج
139,Bucht::N,kangerliumaneq,خلیج
140,Insel::N,qeqertaq,جزیره
141,Blume::N,naasoq,گل
142,Gras::N,ivigaq,علف
143,Wurzel::N,niulutaq,ریشه
144,Baum::N,orpik,درخت
145,Stamm::N,kanaartaq,تنه
146,Rinde::N,ameraq,توژ
147,Rinde::N,ameraq,پوست
148,Ast::N,avalequt,شاخه
149,Zweig::N,avalequt,شاخه
150,Blatt::N,pilutaq,برگ
151,Birke::N,patitsit,غان
152,Weide[Baum]::N,palleq,بید
153,Tanne::N,orsuerneq,صنوبر
154,Horn::N,nassuk,شاخ
155,Feder::N,suluk,پر
156,Fell::N,ameq,خز
157,Flügel::N,suluk,پر
158,Flügel::N,suluk,بال
159,Flügel::N,isaroq,پر
160,Flügel::N,isaroq,بال
161,Klaue::N,kukik,چنگ
162,Klaue::N,kukik,پنجه
163,Kralle::N,kukik,پنجه
164,Schwanz::N,pamioq,دم
165,Schwanz::N,paperuusaq,دم
166,Ei::N,mannik,تخم
167,Nest::N,ullut,لانه
168,Bau::N,ini,بنا
169,Bau::N,ini,ساختمان
170,Tier::N,uumasoq,هیوان
171,Herde::N,unguukkat,رمه
172,Kuh::N,ussik,گاو
173,Bulle::N,angukulak,گاو نر
174,Bulle::N,anguteralak,گاو نر
175,Bulle::N,angutikulooq,گاو نر
176,Schaf::N,sava,گوسفند
177,Schwein::N,puuluki,خوک
178,Hund::N,qimmeq,سگ
179,Katze::N,puisaaq,گربه
180,Bär::N,allaq,خرس
181,Eichhörnchen::N,sissinnguaq,سنجاب
182,Fuchs::N,terianniaq,روباه
183,Hase::N,ukaleq,خرگوش
184,Maus::N,teriannguaq,موش
185,Wolf::N,amaroq,گرگ
186,Vogel::N,timmiaq,پرنده
187,Huhn::N,kukkukooq,مرغ
188,Huhn::N,marloraaqaaq,مرغ
189,Hahn::N,kiasiusaq,خروس
190,Gans::N,nerleq,غاز
191,Adler::N,nattoralik,عقاب
192,Eule::N,uppik,جغد
193,Kranich::N,qorlorfik,درنا
194,Krähe::N,tuluatsiaq,زاغ
195,Krähe::N,tuluatsiaq,کلاغ
196,Kuckuck::N,kukkooq,فاخته
197,Schwan::N,qussuk,قو
198,Fisch::N,aalisagaq,ماهی
199,Schlange[Tier]::N,pulateriarsuk,مار
200,Schlange[Tier]::N,pulateriaarsuk,مار
201,Spinne::N,aasiaq,عنکبوت
202,Spinne::N,nissavaarsuk,عنکبوت
203,Ameise::N,uniaaluk,مورچه
204,Laus::N,kumak,شپش
205,Mücke::N,ippernaq,پشه
206,Fliege::N,ippernaq,مگس
207,Schmetterling::N,paluaq,پروانه
208,Schmetterling::N,pakkaluaq,پروانه
209,Schmetterling::N,utsuppaluaq,پروانه
210,Schmetterling::N,taqaleqisaaq,پروانه
211,Beere::N,paarmaq,گیله
212,Beere::N,paarngaq,گیله
213,Apfel::N,iipili,سیب
214,Pilz::N,anngiusaq,قارچ
215,Zwiebel::N,uanitsoq,پیاز
216,Saat::N,naatsiiassaq,بذر
217,Korn::N,maannineq,تخم
218,Korn::N,maannineq,دانه
219,Schale::N,niutsivik,پوست
220,Schale::N,ilulissaq qaartussaq,پوست
221,Grube::N,itersaq,گودال
222,Falle::N,pualavoq,دام
223,Schlinge::N,orseq,حلقه
224,Schlinge::N,norloq,حلقه
225,Spur::N,tumaa,رد
226,Asche::N,arsat,خاکستر
227,Dreck::N,minguk,کثافت
228,Eisen::N,savimineq,آهن
229,Eisen::N,saffiugassaq,آهن
230,Gold::N,kuulti,زر
231,Gold::N,kuulti,طلا
232,Silber::N,siilviuvoq,نقره
233,Kohle::N,aamarsuit aamaruutissat,زغال
234,Glas::N,igalaaq,شیشه
235,Glas::N,imertarfik,شیشه
236,Glas::N,igalaamineq,شیشه
237,Lehm::N,marraq,گل
238,Sand::N,sioqqat,شن
239,Sand::N,sioqqat,ماسه
240,Mensch::N,inuk,آدم
241,Mensch::N,inuk,انسان
242,Mensch::N,silamiu,آدم
243,Mensch::N,silamiu,انسان
244,Mann::N,angut,مرد
245,Frau::N,arnaq,زن
246,Kind::N,meeraq,بچه
247,Kind::N,meeraq,کودک
248,Junge::N,nukappiaraq,پسر
249,Mädchen::N,arnannguaq,دختر
250,Familie::N,ilaqutakka,فامیل
251,Familie::N,ilaqutakka,خانواده
252,Familie::N,ilaqutariit,فامیل
253,Familie::N,ilaqutariit,خانواده
254,Großvater::N,aatak,پدربزرگ
255,Großmutter::N,aanaq,مادر‌بزرگ
256,Eltern::N,angajoqqaat,والدین
257,Eltern::N,angajoqqaat,پدر‌و‌مادر
258,Vater::N,ataata,پدر
259,Vater::N,ataataq,پدر
260,Mutter::N,anaana,مادر
261,Sohn::N,erneq,پسر
262,Tochter::N,panik,دختر
263,Bruder::N,ani,برادر
264,Bruder::N,aqqaluk,برادر
265,Bruder::N,qatanngut,برادر
266,Schwester::N,naja,خواهر
267,Schwester::N,aleqa,خواهر
268,Schwester::N,qatanngut,خواهر
269,Onkel::N,akkak,عمو
270,Onkel::N,akkak,دایی
271,Tante::N,aja,عمه
272,Tante::N,aja,خاله
273,Tante::N,ajak,عمه
274,Tante::N,ajak,خاله
275,Tante::N,atsak,عمه
276,Tante::N,atsak,خاله
277,Ehemann::N,ui,همسر
278,Ehefrau::N,nuliaq,همسر
279,Freude::N,tipaatsussuseq,شادی
280,Gelächter::N,illaq,خنده
281,Gelächter::N,illaq,قاه‌قاه
282,Glück::N,usornaat,اقبال
283,Glück::N,usornarsuseq,اقبال
284,Wunsch::N,kissaat,آرزو
285,Lust::N,illigussuseq,هوس
286,Lust::N,piummaseq,هوس
287,Geist::N,anerneq,روح
288,Geist::N,toornaq,روح
289,Gedanke::N,isumassaq,فکر
290,Gedächtnis::N,eqqaamannissuseq,حافظه
291,Verstand::N,isuma,هوش
292,Verstand::N,sianissut,هوش
293,Verstand::N,misigissut,هوش
294,Verstand::N,sianissuseq,هوش
295,Verstand::N,silaqassuseq,هوش
296,Sinn::N,isuma,معنا
297,Sinn::N,isuma,مفهوم
298,Grund::N,patsit,سبب
299,Grund::N,patsit,دلیل
300,Wahrheit::N,sallusuissut,حقیقت
301,Märchen::N,oqalualaarut,قصه
302,Märchen::N,oqalualaarut,افسانه
303,Märchen::N,oqaluasaaq,قصه
304,Märchen::N,oqaluasaaq,افسانه
305,Erzählung::N,oqaluttuaq,داستان
306,Nachricht::N,oqaassut,خبر
307,Nachricht::N,oqqersuut,خبر
308,Neuigkeit::N,tusarnartaq,خبر تازه
309,Name::N,ateq,اسم
310,Rätsel::N,nalorsitsaarut,معما
311,Rede::N,oqaluuseq,سخن
312,Sprache::N,oqaatsit,زبان
313,Stimme::N,erinaq,صدا
314,Stimme::N,qarluuseq,صدا
315,Wort::N,oqaasii,کلمه
316,Zeichen::N,nalunaaqqut,نشان
317,Zeichen::N,nalunaaqqut,علامت
318,Ruf::N,qaaqqussut,صدا
319,Lärm::N,perpaluk,هیاهو
320,Laut::N,torsukattak,صدا
321,Ton::N,erinaq,آهنگ
322,Lied::N,taalliaq,آواز
323,Lied::N,taalliaq,ترانه
324,Lied::N,erinarsuut,آواز
325,Lied::N,erinarsuut,ترانه
326,Ruhe::N,qatsunganeq,آرامش
327,Leute::N,inuiak,مردم
328,Leute::N,inuiaqatigiit,مردم
329,Volk::N,inuiaat,خلق
330,Arbeit::N,suliaq,کار
331,Gast::N,qaaqqusaq,مهمان
332,Geschenk::N,pajugut,هدیه
333,Hilfe::N,annertoqqut,کمک
334,Freund::N,tiliaq,دوست
335,Freund::N,ikinngut,دوست
336,Kamerad::N,tiliaq,رفیق
337,Kamerad::N,ikinngut,رفیق
338,Art::N,ileqquuseq,نوع
339,Stück::N,nakkaalaniku,تکه
340,Stück::N,nakkaalaniku,قطعه
341,Teil::N,tassiaasat,بخش
342,Teil::N,tassiaasat,قسمت
343,Hälfte::N,affaq,نیم
344,Kreis::N,kaajaluinneq or kaajaluitsoq,حلقه
345,Kreis::N,kaajaluinneq or kaajaluitsoq,دایره
346,Kreuz::N,sanningasulik,صلیب
347,Linie::N,tittaq,خط
348,Linie::N,tittaq,سطر
349,Linie::N,titarneq,خط
350,Linie::N,titarneq,سطر
351,Abstand::N,aku,فاصله
352,Abstand::N,ikiaq,فاصله
353,Entfernung::N,asi,مسافت
354,Gegend::N,nuna,منطقه
355,Platz::N,ini,گنجایش
356,Platz::N,inissaq,گنجایش
357,Ort::N,sumiiffik,جا
358,Ort::N,sumiiffik,محل
359,Ort::N,sumiiffik,مکان
360,Seite::N,saneraq,طرف
361,Mitte::N,qiteq,وسط
362,Mitte::N,qiteq,میان
363,Sache::N,pigisaq,چیز
364,Rand::N,sini,کنار
365,Rand::N,sini,حاشیه
366,Rand::N,akerfineq,کنار
367,Rand::N,akerfineq,حاشیه
368,Kante::N,akerfineq,لبه
369,Ecke::N,teqeqqoq,گوشه
370,Ecke::N,tikeqqoq,گوشه
371,Spitze::N,inngik,سر
372,Spitze::N,inngik,نوک
373,Ende::N,isu,ته
374,Ende::N,isu,آخر
375,Loch::N,putu,سوراخ
376,Winkel::N,teqeqqorissaat,کنج
377,Muster::N,ilisserut,نقش
378,Größe::N,angissuseq,قد
379,Größe::N,angissuseq,بزرگی
380,Länge::N,takissuseq,طول
381,Gewicht::N,oqimaalutaq,وزن
382,Menge::N,amerlassuseq,مقدار
383,Menge::N,amerlassuseq,اندازه
384,Haufen::N,eqimattat,توده
385,Reihe::N,allunaasaq,ردیف
386,Boot::N,qajaq,قایق
387,Boot::N,angallat,قایق
388,Boot::N,umiatsiaq,قایق
389,Ruder::N,iput,پارو
390,Schlitten::N,qamutit,سورتمه
391,Schlitten::N,qimusseq,سورتمه
392,Ski::N,ataarut,اسکی
393,Last::N,nammagaq,بار
394,Last::N,nammagaq,سنگینی
395,Schritt::N,allorneq,قدم
396,Norden::N,avannaq,شمال
397,Süden::N,qava,جنوب
398,Süden::N,kujat,جنوب
399,Süden::N,kujataa,جنوب
400,Westen::N,kitaa,غرب
401,Osten::N,kangi,شرق
402,Holz::N,qisuk,چوب
403,Brett::N,salliligaq,تخته
404,Platte::N,qaateq,صفحه
405,Stütze::N,ajagutaq,تکیه
406,Stütze::N,ajaagutaq,تکیه
407,Stange::N,kaaviffik,میله
408,Stock::N,ajaappissat,چوب
409,Stab::N,ajaappissat,عصا
410,Rohr::N,sullulik,لوله
411,Haus::N,illu,منزل
412,Ofen::N,kissarsuut,بخاری
413,Fußboden::N,nateq,کف اتاق
414,Tisch::N,allattarfik,میز
415,Stuhl::N,issiavik,صندلی
416,Stuhl::N,issiaffik,صندلی
417,Wiege::N,uaasoq,گهواره
418,Bett::N,nallavik,تختخواب
419,Regal::N,ilisivik,قفسه
420,Kiste::N,sakissat,صندوق
421,Kiste::N,illerfiusaq,صندوق
422,Fenster::N,aki,پنجره
423,Fenster::N,igalaaq,پنجره
424,Tür::N,matu,در
425,Tür::N,matu,درب
426,Tor::N,isaaffik,دروازه
427,Zaun::N,saputit,حصار
428,Dach::N,qaliaq,بام
429,Leiter::N,tummeqqat,نردبان
430,Leiter::N,majuartarfiit,نردبان
431,Besen::N,saligutit,جارو
432,Spaten::N,nivaataq,بیل
433,Schaufel::N,nivaataq,بیل
434,Schaufel::N,nivaataq,پارو
435,Gabel::N,qilluaq,چنگال
436,Gabel::N,ajassaatit,چنگال
437,Löffel::N,alussaat,قاشق
438,Messer::N,savik,کارد
439,Nagel::N,kukik,میخ
440,Netz::N,anguffaseq,تور
441,Netz::N,anguffaseq,شبکه
442,Haken::N,nissik,قلاب
443,Haken::N,qarsorsaq,قلاب
444,Haken::N,qarsorsartoq,قلاب
445,Griff::N,ipi,دسته
446,Schloss::N,illussaarsuaq,قفل
447,Bild::N,assiliaq,عکس
448,Bild::N,assiliaq,تصویر
449,Figur::N,kisitsit,تندیس
450,Puppe::N,inuusaq,عروسک
451,Bündel::N,qilertaq,بسته
452,Tasche::N,pooqattaq,کیف
453,Deckel::N,matu,در
454,Geschirr::N,anut,ظرف
455,Tasse::N,tiitorfik,فنجان
456,Tasse::N,tiitorfiup ilorlia,فنجان
457,Topf::N,qoqqoq,دیگ
458,Topf::N,qoqqoq,قابلمه
459,Kessel::N,uunnaavik,دیگ
460,Essen::N,igaaq,خوراک
461,Nahrung::N,neqissaq,غذا
462,Speise::N,nerisassat,خوراک
463,Fleisch::N,neqi,گوشت
464,Getreide::N,maannineq,غله
465,Brot::N,iffit,نان
466,Brot::N,iffiaq,نان
467,Scheibe::N,igalaassiaq,قاچ
468,Scheibe::N,igalaassiaq,لزگه
469,Fett::N,tarnutissaq,چربی
470,Fett::N,tarnutissiaq,چربی
471,Butter::N,punneq,کره
472,Öl::N,uulia,روغن
473,Salz::N,taratsut,نمک
474,Suppe::N,qajoq,آش
475,Suppe::N,qajoq,سوپ
476,Honig::N,tungusunnitsuut,عسل
477,Milch::N,immuk,شیر
478,Tee::N,tii,چای
479,Tee::N,teeq,چای
480,Wolle::N,nuersagassiaq,پشم
481,Stoff::N,milliaq,پارچه
482,Stoff::N,qarlissiaq,پارچه
483,Nadel::N,meqqut,سوزن
484,Faden::N,ujalussiaq,نخ
485,Knopf::N,attat,دکمه
486,Knoten::N,akeroq,گره
487,Knoten::N,qilerneq,گره
488,Farbe::N,qalipaat,رنگ
489,Kleidung::N,atisat,لباس
490,Kleidung::N,atisat,پوشاک
491,Kleidung::N,annoraaq,لباس
492,Kleidung::N,annoraaq,پوشاک
493,Hemd::N,ilupaaq,پیراهن
494,Kragen::N,qungasiinnaq,یقه
495,Ärmel::N,aaq,آستین
496,Hose::N,qarliit,شلوار
497,Gürtel::N,qiterut,کمر‌بند
498,Gürtel::N,unngersaq,کمر‌بند
499,Mütze::N,nasaq,کلاه
500,Schuh::N,skuu,کفش
501,Schuh::N,ikernuk,کفش
502,Schuh::N,ateraasaq,کفش
503,Stiefel::N,kamik,چکمه
504,Ring::N,assammiu,حلقه
505,Ring::N,assammiu,انگشتر
506,Band::N,qilerutissiaq,نوار
507,Band::N,qilerutissiaq,روبان
508,Kamm::N,illaagutit,شانه
509,Kamm::N,illaajaatit pl.,شانه
510,Spiegel::N,tarrarsuut,آینه
511,Riemen::N,allunaaq,تسمه
512,Schnur::N,kujaaq,ریسمان
513,Schnur::N,allunaasaq,ریسمان
514,Leine::N,aleq,قلاده
515,Decke::N,qipik,پتو
516,Kissen::N,akit,بالش
517,Tuch::N,qarlissiaq,شال
518,Handtuch::N,allarut,حوله
519,Handtuch::N,allarterut,حوله
520,Kraft::N,pissak,نیرو
521,Stärke::N,qerattarsaat,زور
522,Gesundheit::N,peqqisusseq,سلامتی
523,Gesundheit::N,peqqisusseq,تندرستی
524,Krankheit::N,nappaat,بیماری
525,Schmerz::N,anniaat,درد
526,Wunde::N,iki,زخم
527,Fieber::N,nappaat qanimanartoq,تب
528,Arznei::N,imigassaq,دارو
529,Brücke::N,ikaartarfik,پل
530,Brunnen::N,tissaluttuliaq,چاه
531,Weide::N,masarsuk,چراگاه
532,Pfad::N,aqqut,راه
533,Weg::N,aggerfik,راه
534,Weg::N,aggerfik,طریق
535,Straße::N,aqqusineq,راه
536,Straße::N,aqqusineq,جاده
537,Dorf::N,nunaqarfik,ده
538,Dorf::N,nunaqarfik,روستا
539,Stadt::N,illorpaat,شهر
540,Stadt::N,illorpalik,شهر
541,Brief::N,allagarsiaq,نامه
542,Buch::N,atuakkat,کتاب
543,Buch::N,mappersagaq,کتاب
544,Buchstabe::N,naqinneq,حرف
545,Zeitung::N,aviisi,روزنامه
546,Leben::N,inuussuseq,عمر
547,Leben::N,inuussuseq,زندگی
548,Tod::N,toqu,مرگ
549,Tod::N,toquneq,مرگ
550,Grab::N,iliveq,گور
551,Grab::N,iliveq,مزار
552,Grab::N,illissat,گور
553,Grab::N,illissat,مزار
554,Kirche::N,oqaluffik,کلیسا
555,Sünde::N,ajorti,بزه
556,Sünde::N,ajorti,گناه
557,Arbeiter::N,sulisoq,کارگر
558,Chef::N,ittoqut,رئیس
559,Meister::N,naalagaq,استاد
560,Arzt::N,katsorsaasoq,پزشک
561,Lehrer::N,ilinniartitsisoq,معلم
562,Lehrer::N,ilinniartitsisoq,آموزگار
563,Geld::N,aningaasat,پول
564,Geschäft::N,niuertarfik,کار
565,Geschäft::N,niuertarfik,بیزنس
566,Laden::N,niuertarfik,دکان
567,Laden::N,niuertarfik,مغازه
568,Preis::N,aki,بها
569,Preis::N,aki,قیمت
570,Ware::N,qaliata pii,جنس
571,Ware::N,qaliata pii,کالا
572,Ware::N,nioqqutissaq,جنس
573,Ware::N,nioqqutissaq,کالا
574,Nutzen::N,iluaqut,مزیت
575,Nutzen::N,iluaqut,امتیاز
576,Welt::N,nunarsuaq,دنیا
577,Land::N,nuna,کشور
578,Land::N,nuna,مملکت
579,König::N,kunngi,شاه
580,König::N,kunngi,پادشاه
581,Macht::N,pissaassuseq,قدرت
582,Macht::N,pissaassuseq,اختیار
583,Grenze::N,killik,مرز
584,Krieg::N,sorsunneq,جنگ
585,Feind::N,akeraq,دشمن
586,Feind::N,akerartorti,دشمن
587,Feind::N,qinngarsuisoq,دشمن
588,Kampf::N,sorsunneq,نبرد
589,Kampf::N,sorsunneq,مبارزه
590,Pfeil::N,qalugiusaq,تیر
591,Gewehr::N,aallaat,تفنگ
592,Fehler::N,kukkuneq,غلط
593,Fehler::N,kukkuneq,اشتباه
594,Fehler::N,paarlaappaa,غلط
595,Fehler::N,paarlaappaa,اشتباه
596,Unglück::N,perluut,بلا
597,Schuld::N,akiitsugaq,گناه
598,Schuld::N,akiitsugaq,تقصیر
599,Schuld::N,akiligassaq,گناه
600,Schuld::N,akiligassaq,تقصیر
601,Alter::N,utoqqaq,سن
602,Alter::N,utoqqaq,عمر
603,Schluss::N,isu,انتها
604,Zeit::N,ulloq,وقت
605,Zeit::N,ulloq,زمان
606,Zeit::N,akuttoqatigiinneq,وقت
607,Zeit::N,akuttoqatigiinneq,زمان
608,Tag::N,ulloq,روز
609,Morgen::N,ullaaq,صبح
610,Mittag::N,ulloqeqqa,ظهر
611,Abend::N,unnuk,شب
612,Abend::N,unnuk,عصر
613,Nacht::N,unnuaq,شب
614,Woche::N,sapaatip akunnera,هفته
615,Monat::N,qaammat,ماه
616,Jahr::N,ukioq,سال
617,Frühling::N,upernaaq,بهار
618,Sommer::N,aasaq,تابستان
619,Herbst::N,ukiaq,پاییز
620,Winter::N,ukioq,زمستان
621,Januar::N,siulleeq,ژانویه
622,Januar::N,qaammaliaq,ژانویه
623,Februar::N,aarlaat,فوریه
624,März::N,marsi,مارس
625,März::N,martsi,مارس
626,Mai::N,maaji,مه
627,Juni::N,juuni,ژوئن
628,Juli::N,juuli,ژویه
629,August::N,aggusti,اوت
630,September::N,septembari,سپتامبر
631,Oktober::N,oktobari,اکتبر
632,November::N,novembari,نوامبر
633,Dezember::N,detsembari,دسامبر
634,Montag::N,ataasinngortoq,دو‌شنبه
635,Dienstag::N,marlunngorneq,سه‌شنبه
636,Mittwoch::N,pingasunngorneq,چهار‌شنبه
637,Donnerstag::N,sisamanngorneq,پنج شنبه
638,Freitag::N,tallimanngorneq,جمعه
639,Samstag::N,arfininngorneq,شنبه
640,Sonntag::N,sapaat,یکشنبه
641,Sonntag::N,sapaati,یکشنبه
642,groß::A,angivoq,بزرگ
643,klein::A,mikivoq,کوچک
644,lang::A,takisooq,بلند
645,kurz::A,naatsoq,کوتاه
646,breit::A,silippoq,پهن
647,schmal::A,amitsoq,تنگ
648,schmal::A,amitsoq,نازک
649,dicht::A,torsusooq,چگال
650,dicht::A,torsusooq,انبوه
651,dick[Gegenstand]::A,issuvoq,ضخیم
652,dick[Gegenstand]::A,issusooq,ضخیم
653,dünn::A,amitsoq,نازک
654,fein::A,mamarpoq,ریز
655,fein::A,mamarpoq,باریک
656,fest::A,tangeqarpoq,محکم
657,flach::A,nalimmappoq,صاف
658,flach::A,nalimmappoq,مسطح
659,glatt::A,quasak,لیز
660,hart::A,mattusooq,سفت
661,hart::A,manngerpoq,سفت
662,hart::A,titeqquluppoq,سفت
663,weich::A,nerumaarpoq,نرم
664,weich::A,nerumaarpoq,ملایم
665,rund::A,ammallorippoq,گرد
666,spitz::A,qummukujooq,تیز
667,spitz::A,qummukujooq,نوک‌تیز
668,scharf::A,ipippoq,تیز
669,scharf::A,ipippoq,برنده
670,stumpf::A,anngerpoq,کند
671,schwer::A,oqimaappoq,سنگین
672,schön::A,kusanarpoq,زیبا
673,heiß::A,kiappoq,داغ
674,warm::A,oqorpoq,گرم
675,kalt::A,issippoq,سرد
676,kühl::A,pueqqortippoq,خنک
677,feucht::A,isugutavoq,مرطوب
678,feucht::A,qaasernarpoq,مرطوب
679,nass::A,imerorpoq,تر
680,nass::A,imerorpoq,خیش
681,trocken::A,panerpoq,خشک
682,voll::A,ulikkaarpoq,پر
683,leer::A,imaattuarpoq,خالی
684,offen::A,ammavoq,باز
685,geschlossen::A,matuvoq,بسته
686,sauber::A,eqqippoq,پاک
687,sauber::A,eqqippoq,تمیز
688,sauber::A,sukuluippoq,پاک
689,sauber::A,sukuluippoq,تمیز
690,sauber::A,ipeqanngilaq,پاک
691,sauber::A,ipeqanngilaq,تمیز
692,schmutzig::A,tapappoq,کثیف
693,schmutzig::A,tapappoq,آلوده
694,schmutzig::A,minguppoq,کثیف
695,schmutzig::A,minguppoq,آلوده
696,roh::A,aapavoq,خام
697,reif::A,qaarulerpoq,رسیده
698,süß::A,tungusunnippoq,شیرین
699,bitter::A,qasilippoq,تلخ
700,hell::A,qaamavoq,روشن
701,dunkel::A,qernerpoq,تاریک
702,schwarz::A,qernerpoq,سیاه
703,weiß::A,qaqorpoq,سفید
704,rot::A,aappaluppoq,سرخ
705,rot::A,aappaluppoq,قرمز
706,gelb::A,sungaarpoq,زرد
707,blau::A,tungujorpoq,آبی
708,grün::A,qorsooqqippoq,سبز
709,grau::A,qaserpoq,طوسی
710,grau::A,qaserpoq,خاکستری
711,billig::A,akikippoq,ارزان
712,wertvoll::A,erlinnarpoq,قیمتی
713,wertvoll::A,erlinnarpoq,گرانبها
714,blind::A,tappiippoq,کور
715,blind::A,tappiippoq,نابینا
716,blind::A,isigisaqanngilaq,کور
717,blind::A,isigisaqanngilaq,نابینا
718,taub::A,tusilarpoq,کر
719,taub::A,tusilarpoq,ناشنوا
720,kräftig::A,pissaq,قوی
721,kräftig::A,pissarsuaq,قوی
722,stark::A,sanngivoq,قوی
723,stark::A,sanngivoq,نیرومند
724,schwach::A,nakuippoq,ضعیف
725,fett::A,pualavoq,چرب
726,schlank::A,tuappoq,باریک‌اندام
727,hübsch::A,aatsialaq,قشنگ
