,Concept_ID,be,av
585,flach::A,плоскі,чӏепараб
586,glatt::A,гладкі,цӏвакараб
587,hart::A,цвёрды,кьварараб
588,weich::A,мяккі,тамахаб
589,rund::A,круглы,гургинаб
590,spitz::A,спічасты,бегӏераб
591,spitz::A,востраканцовы,бегӏераб
592,scharf::A,востры,рекӏараб
593,stumpf::A,тупы,тӏехӏараб
594,stumpf::A,тупы,рекӏинчӏеб
595,schwer::A,цяжкі,бакӏаб
596,schön::A,прыгожы,берцинаб
597,heiß::A,гарачы,лагьараб
598,warm::A,цёплы,хинаб
599,kalt::A,холадны,квачараб
600,kühl::A,халаднаваты,квачараб
601,frisch::A,свежы,цӏияб
602,feucht::A,вільготны,рагьараб
603,nass::A,мокры,би́ччараб
604,trocken::A,сухі,бакъвараб
605,voll::A,поўны,
606,leer::A,пусты,чӏобогояб
607,offen::A,адкрыты,рагьараб
608,offen::A,адчынены,рагьараб
609,geschlossen::A,закрыты,рахараб-къараб
610,geschlossen::A,зачынены,рахараб-къараб
611,sauber::A,чысты,бацӏцӏадаб
612,schmutzig::A,брудны,гъизараб
613,roh::A,сыры,хамаб
614,roh::A,сыры,гӏатӏгояб
615,reif::A,спелы,барщараб
616,lecker::A,смачны,тӏагӏамаб
617,süß::A,салодкі,гьуинаб
618,bitter::A,горкі,кьогӏаб
619,sauer::A,кіслы,цӏекӏаб
620,hell::A,светлы,канаб
621,dunkel::A,цёмны,бецӏаб
622,schwarz::A,чорны,чӏегӏераб
623,weiß::A,белы,хъахӏаб
624,rot::A,чырвоны,багӏараб
625,gelb::A,жоўты,гӏобилаб
626,gelb::A,жоўты,тӏогьилаб
627,blau::A,сіні,хъахӏилаб
628,grün::A,зялёны,гӏурччинаб
629,grau::A,шэры,накӏкӏуяб
630,bunt::A,пяресты,къвекӏаб
631,bunt::A,пяресты,чара-гъараб
632,billig::A,танны,учузаб
633,teuer::A,дарагі,хири́яб
634,wertvoll::A,цэнны,къиматаб
635,wertvoll::A,каштоўны,къиматаб
636,blind::A,сляпы,беццаб
637,taub::A,глухі,гъугъаб
638,kräftig::A,магутны,гучаб
639,stark::A,сільны,къуватаб
640,schwach::A,слабы,гӏажизаб
641,fett::A,тлусты,кьарияб
642,schlank::A,стройны,чергесаб
643,hübsch::A,чароўны,гьайбатаб
644,böse::A,злы,ракӏквешаб
645,dumm::A,дурны,гьагаб
646,dumm::A,дурны,гӏантаб
647,faul::A,лянівы,кӏохӏалаб
648,faul::A,лянівы,кӏухӏа́лаб
649,fleißig::A,руплівы,хӏаракатаб
650,geizig::A,прагны,къарумаб
651,klug::A,разумны,лумияб
652,geschickt::A,умелы,махщел бугев
653,lieb::A,мілы,гӏазизаб
654,lustig::A,вясёлы,кепаб
655,sanft::A,ласкавы,хӏалимаб
656,sanft::A,ласкавы,хӏере́наб
657,hungrig::A,галодны,бакъараб
658,krank::A,хворы,щокъаб
659,krank::A,хворы,унтараб
660,nackt::A,голы,гӏицӏаб
661,nackt::A,голы,чӏанкӏараб
662,traurig::A,сумны,пашманаб
663,lebendig::A,жывы,чӏагояб
664,gut::A,добры,лъикӏаб
665,schlecht::A,кепскі,къадараб
666,richtig::A,правільны,битӏараб
667,schlimm::A,агідны,нажасаб
668,schlimm::A,агідны,къабихӏаб
669,wahr::A,сапраўдны,хӏакъаб
670,wahr::A,сапраўдны,битӏараб
671,alt::A,стары,басрияб
672,neu::A,новы,цӏияб
673,ehemalig::A,былы,цебе́госеб
674,alt[Lebewesen]::A,стары,хераб
675,jung::A,малады,тӏинчӏаб
676,jung::A,малады,гӏолохъанаб
677,arm::A,бедны,пакъираб
678,reich::A,багаты,бечедаб
679,bekannt::A,знаёмы,лъалеб
680,berühmt::A,славуты,машгьураб
681,fremd::A,чужы,чияр
682,verschieden::A,розны,батӏи-батӏияб
683,nah::A,блізкі,гӏагарда бугеб
684,fern::A,далёкі,рикӏкӏадаб
685,linker::A,левы,квегӏаб
686,rechter::A,правы,кваранаб
687,anderer::A,іншы,батӏияб
688,anderer::A,другі,батӏияб
689,erster::A,першы,тӏоцебесеб
690,zweiter::A,другі,кӏиабилеб
691,dritter::A,трэці,лъабабилеб
692,letzter::A,апошні,ахирисеб
693,allein::ADV,сам,ялгъузго
694,allein::ADV,адзін,ялгъузго
695,auf einmal::ADV,адразу,цихӏинтӏаго
696,zusammen::ADV,разам,цойида
697,lange::ADV,доўга,
698,plötzlich::ADV,раптам,цойидасанго
699,sofort::ADV,зараз,гьебсагӏат
700,später::ADV,пазней,
701,jetzt::ADV,цяпер,гьанже
702,heute::ADV,сёння,жакъа
703,morgen::ADV,заўтра,метер
704,bald::ADV,хутка,гьабсагӏаталъ
705,bald::ADV,неўзабаве,гьабсагӏаталъ
706,dann::ADV,потым,цинги
707,gestern::ADV,учора,сон
708,einst::ADV,аднойчы,цин
709,damals::ADV,тады,гьебмехалъ
710,damals::ADV,тады,гьебмехалда
711,danach::ADV,затым,цинги
712,danach::ADV,затым,хадуса
713,vorher::ADV,раней,цебе
714,zuerst::ADV,спярша,тӏоцебе
715,zuerst::ADV,спачатку,тӏоцебе
716,einmal::ADV,адзін раз,цинцӏул
717,einmal::ADV,адзін раз,цихӏин
718,einmal::ADV,адзін раз,цоцӏул
719,manchmal::ADV,часам,олоцӏул
720,oft::ADV,часта,гӏемерго
721,immer::ADV,заўсёды,кидаго
722,niemals::ADV,ніколі,киданиги
723,hier::ADV,тут,аниб
724,hierhin::ADV,сюды,анибехун
725,von hier::ADV,адсюль,гьаниса
726,von hier::ADV,адгэтуль,гьаниса
727,dort::ADV,там,гьениб
728,dorthin::ADV,туды,гьадаба
729,geradeaus::ADV,прама,битӏутӏа
730,vorwärts::ADV,наперад,цебехун
731,rückwärts::ADV,назад,нахъ-нахъ
732,zurück::ADV,назад,нахъе
733,unten::ADV,унізе,ахакь
734,unten::ADV,унізе,гъоркь
735,hinab::ADV,уніз,эхебе
736,oben::ADV,угары,тӏад
737,oben::ADV,угары,тӏадехун
738,oben::ADV,наверсе,тӏад
739,oben::ADV,наверсе,тӏадехун
740,hinauf::ADV,угару,эхеде
741,überall::ADV,усюды,кибго
742,nicht::ADV,не,
743,ein wenig::ADV,трошкі,дагьабго
744,kaum::ADV,ледзьве,хӏалалъ
745,sehr::ADV,вельмі,кутакалда
746,so::ADV,так,гьедин
747,noch::ADV,яшчэ,жеги
748,nur::ADV,толькі,гӏӣцӏго
749,schon::ADV,ужо,
750,wieder::ADV,зноў,на́хъеги
751,vergebens::ADV,дарма,чӏалгӏаде
752,vergebens::ADV,дарэмна,чӏалгӏаде
753,vor::PRP,перад,цебе
754,hinter::PRP,за,хадуса
