,Concept_ID,cv,cs
67,Welle::N,хум,vlna
68,Wasser::N,шыв,voda
69,Wasser::N,шыв-шур,voda
70,Stein::N,чул,kámen
71,Boden::N,тӑпра,půda
72,Erde::N,ҫӗр,země
73,Staub::N,тусан,prach
74,Rauch::N,тӗтӗм,dým
75,Rauch::N,тӗтӗм,kouř
76,Funke::N,хӗм,jiskra
77,Feuer::N,вут,oheň
78,Feuer::N,ҫулӑм,oheň
79,Licht::N,ҫутӑ,světlo
80,Schatten::N,сулхӑн,stín
81,Wetter::N,ҫанталӑк,počasí
82,Nebel::N,тӗтре,mlha
83,Wolke::N,пӗлӗт,mrak
84,Wolke::N,пӗлӗт,oblak
85,Regen::N,ҫумӑр,déšť
86,Schnee::N,юр,sníh
87,Eis::N,пӑр,led
88,Frost::N,сивӗ,mráz
89,Kälte::N,сивӗ,chlad
90,Hitze::N,вӗри,horko
91,Hitze::N,шӑрӑх,horko
92,Raureif::N,пас,jinovatka
93,Regenbogen::N,асамат кӗперӗ,duha
94,Donner::N,аслати,hrom
95,Strömung::N,юхӑ,proudění
96,Tropfen::N,тумлам,kapka
97,Schaum::N,кӑпӑк,pěna
98,Schmutz::N,пылчӑк,špína
99,See::N,кӳлӗ,jezero
100,Sumpf::N,шур,močál
101,Sumpf::N,шур,bažina
102,Sumpf::N,шурлӑх,močál
103,Sumpf::N,шурлӑх,bažina
104,Moor::N,торфлӑ шурлӑх,bažina
105,Moor::N,торфлӑ шурлӑх,slatina
106,Wiese::N,улӑх,louka
107,Wiese::N,ҫаран,louka
108,Wald::N,вӑрман,les
109,Hügel::N,сӑрт,kopec
110,Hügel::N,тӗмеске,kopec
111,Anhöhe::N,сӑрт,pahorek
112,Berg::N,ту,hora
113,Gipfel::N,тӳпе,vrchol
114,Höhle::N,ҫӗр хӑвӑлӗ,jeskyně
115,Abhang::N,тӑвайкки,svah
116,Abhang::N,тӑвайкки,stráň
117,Quelle::N,ҫӑл куҫ,pramen
118,Bach::N,пӗчӗк шыв,potok
119,Fluss::N,юхан шыв,řeka
120,Ufer::N,ҫыран,břeh
121,Küste::N,тинӗс ҫыранӗ,pobřeží
122,Festland::N,тип ҫӗр,souš
123,Festland::N,тип ҫӗр,pevnina
124,Meer::N,тинӗс,moře
125,Bucht::N,тинӗс кукӑрӗ,záliv
126,Bucht::N,тинӗс кукӑрӗ,zátoka
127,Insel::N,утрав,ostrov
128,Blume::N,чечек,květina
129,Gras::N,курӑк,tráva
130,Wurzel::N,тымар,kořen
131,Baum::N,йывӑҫ,strom
132,Stamm::N,вулӑ,kmen
133,Rinde::N,хуйӑр,kůra
134,Ast::N,турат,větev
135,Zweig::N,турат,větev
136,Blatt::N,ҫулҫӑ,lupen
137,Birke::N,хурӑн,bříza
138,Kiefer[Baum]::N,хыр,sosna
139,Kiefer[Baum]::N,хыр,borovice
140,Weide[Baum]::N,хӑва,vrba
141,Tanne::N,чӑрӑш,jedle
142,Horn::N,мӑйрака,roh
143,Feder::N,тӗк,pero
144,Fell::N,ҫӑм,srst
145,Flügel::N,ҫунат,křídlo
146,Klaue::N,чӗрне,dráp
147,Klaue::N,чӗрне,pazneht
148,Kralle::N,ура,dráp
149,Schwanz::N,хӳре,ocas
150,Ei::N,ҫӑмарта,vejce
151,Nest::N,йӑва,hnízdo
152,Bau::N,йӗнӗ,nora
153,Tier::N,выльӑх,zvíře
154,Herde::N,кӗтӳ,stádo
155,Kuh::N,ӗне,kráva
156,Bulle::N,вӑкӑр,býk
157,Pferd::N,лаша,kůň
158,Schaf::N,сурӑх,ovce
159,Schwein::N,сысна,vepř
160,Schwein::N,сысна,prase
161,Hund::N,йытӑ,pes
162,Katze::N,кушак,kočka
163,Bär::N,упа,medvěd
164,Eichhörnchen::N,пакша,veverka
165,Elch::N,пӑши,los
166,Fuchs::N,тилӗ,liška
167,Hase::N,куян,zajíc
168,Hase::N,мулкач,zajíc
169,Maus::N,шӑши,myš
170,Wolf::N,кашкӑр,vlk
171,Vogel::N,кайӑк,pták
172,Vogel::N,вӗҫен кайӑк,pták
173,Schwarm::N,ушкӑн,roj
174,Schwarm::N,ушкӑн,hejno
175,Huhn::N,чӑх,kuře
176,Huhn::N,чӑх,slepice
177,Huhn::N,чӑхӑ,kuře
178,Huhn::N,чӑхӑ,slepice
179,Hahn::N,автан,kohout
180,Gans::N,хур,husa
181,Adler::N,ӑмӑрт кайӑк,orel
182,Ente::N,кӑвакал,kachna
183,Eule::N,тӑмана,sova
184,Kranich::N,тӑрна,jeřáb
185,Krähe::N,ула курак,vrána
186,Kuckuck::N,куккук,kukačka
187,Schwan::N,акӑш,labuť
188,Fisch::N,пулӑ,ryba
189,Barsch::N,уланкӑ,okoun
190,Hecht::N,ҫӑрттан,štika
191,Schlange[Tier]::N,ҫӗлен,had
192,Wurm::N,ӑман,červ
193,Spinne::N,эрешмен,pavouk
194,Ameise::N,кӑткӑ,mravenec
195,Laus::N,пыйтӑ,veš
196,Mücke::N,вӑрӑм туна,komár
197,Fliege::N,шӑна,moucha
198,Schmetterling::N,лӗпӗш,motýl
199,Beere::N,ҫырла,bobule
200,Apfel::N,улма,jablko
201,Apfel::N,пан улми,jablko
202,Pilz::N,кӑмпа,houba
203,Zwiebel::N,сухан,cibule
204,Saat::N,вӑрӑ,osivo
205,Korn::N,тӗшӗ,zrno
206,Korn::N,пӗрчӗ,zrno
207,Heu::N,утӑ,seno
208,Schale::N,хупӑ,slupka
209,Schale::N,хупӑ,skořápka
210,Grube::N,шӑтӑк,jáma
211,Falle::N,тапӑ,past
212,Falle::N,тапӑ,léčka
213,Falle::N,капкӑн,past
214,Falle::N,капкӑн,léčka
215,Schlinge::N,йӑлӑ,smyčka
216,Spur::N,йӗр,stopa
217,Asche::N,кӗл,popel
218,Dreck::N,пылчӑк,špína
219,Eisen::N,тимӗр,železo
220,Gold::N,ылтӑн,zlato
221,Silber::N,кӗмӗл,stříbro
222,Kohle::N,кӑмрӑк,uhlí
223,Glas::N,кӗленче,sklo
224,Lehm::N,тӑм,jíl
225,Lehm::N,тӑм,hlína
226,Sand::N,хӑйӑр,písek
227,Mensch::N,ҫын,člověk
228,Mensch::N,этем,člověk
229,Mann::N,ар,muž
230,Frau::N,хӗрарӑм,žena
231,Kind::N,ача,dítě
232,Junge::N,ача,hoch
233,Junge::N,ача,chlapec
234,Junge::N,ар ҫын ача,hoch
235,Junge::N,ар ҫын ача,chlapec
236,Mädchen::N,хӗр ача,děvče
237,Familie::N,ҫемье,rodina
238,Familie::N,кил-йыш,rodina
239,Großvater::N,кукаҫи,děd
240,Großvater::N,кукаҫи,dědeček
241,Großmutter::N,кукамай,babička
242,Eltern::N,аҫа-ама,rodiče
243,Vater::N,атте,otec
244,Mutter::N,анне,matka
245,Sohn::N,ывӑл,syn
246,Tochter::N,хӗр,dcera
247,Bruder::N,ар тӑван,bratr
248,Schwester::N,аппа,sestra
249,Schwester::N,йӑмӑк,sestra
250,Onkel::N,мучи,strýc
251,Onkel::N,пичче,strýc
252,Tante::N,аппа,teta
253,Ehemann::N,упӑшка,choť
254,Ehemann::N,упӑшка,manžel
255,Ehefrau::N,арӑм,choť
256,Ehefrau::N,арӑм,manželka
257,Freude::N,савӑнӑҫ,radost
258,Freude::N,хаваслӑх,radost
259,Gelächter::N,кулӑ,smích
260,Glück::N,телей,štěstí
261,Glück::N,ӑраскал,štěstí
262,Kummer::N,хурлӑх,žal
263,Kummer::N,хурлӑх,trápení
264,Wunsch::N,ӗмӗт,přání
265,Wunsch::N,кӑмӑл,přání
266,Lust::N,кӑмӑл,chuť
267,Geist::N,чун-чӗм,duch
268,Geist::N,ыр-усал,duch
269,Geist::N,чун хавалӗ,duch
270,Gedanke::N,шухӑш,myšlenka
271,Gedächtnis::N,ас,paměť
272,Verstand::N,ӑс,rozum
273,Verstand::N,ӑс-тӑн,rozum
274,Verstand::N,ӑс-хакӑл,rozum
275,Sinn::N,тупсӑм,smysl
276,Sinn::N,пӗлтерӗш,smysl
277,Grund::N,сӑлтав,důvod
278,Wahrheit::N,чӑнлӑх,pravda
279,Gespräch::N,калаҫу,rozhovor
280,Märchen::N,юмах,pohádka
281,Erzählung::N,акалав,povídka
282,Erzählung::N,каласа пани,povídka
283,Nachricht::N,хыпар,zpráva
284,Neuigkeit::N,ҫӗнӗ хыпар,novina
285,Neuigkeit::N,ҫӗнӗ хыпар,novinka
286,Name::N,ят,jméno
287,Rätsel::N,сутмалли юмах,hádanka
288,Rede::N,сӑмах,řeč
289,Rede::N,сӑмах,proslov
290,Sprache::N,чӗлхе,řeč
291,Sprache::N,чӗлхе,jazyk
292,Stimme::N,сасӑ,hlas
293,Wort::N,сӑмах,slovo
294,Zeichen::N,паллӑ,znamení
295,Ruf::N,йыхрав,zavolání
296,Ruf::N,чӗнӳ,zavolání
297,Lärm::N,шав,hluk
298,Laut::N,сасӑ,zvuk
299,Ton::N,сасӑ,tón
300,Lied::N,юрӑ,píseň
301,Ruhe::N,канӑҫлӑх,klid
302,Ruhe::N,канӑҫлӑх,pokoj
303,Ruhe::N,лӑпкӑлӑх,klid
304,Ruhe::N,лӑпкӑлӑх,pokoj
305,Leute::N,ҫамрӑксем,lidé
306,Leute::N,ҫамрӑк ҫынсем,lidé
307,Volk::N,халӑх,národ
308,Arbeit::N,ӗҫхӗл,práce
309,Arbeit::N,ӗҫлев,práce
310,Gast::N,хӑна,host
311,Geschenk::N,парне,dar
312,Geschenk::N,кучченеҫ,dar
313,Spiel::N,вӑйӑ,hra
314,Gesellschaft::N,общество,společnost
315,Hilfe::N,пулӑшу,pomoc
316,Freund::N,тус,přítel
317,Kamerad::N,юлташ,kamarád
318,Kamerad::N,тус,kamarád
319,Angelegenheit::N,ӗҫ,záležitost
320,Anzahl::N,йыш,počet
321,Anzahl::N,хисеп,počet
322,Art::N,тӗс,druh
323,Stück::N,татӑк,kus
324,Stück::N,татӑк,kousek
325,Teil::N,пай,díl
326,Teil::N,пай,část
327,Hälfte::N,ҫурӑ,půl
328,Kreis::N,ункӑ,kruh
329,Kreis::N,ҫавракӑш,kruh
330,Kreuz::N,хӗрес,kříž
331,Linie::N,йӗр,linka
332,Strich::N,йӗр,čára
333,Strich::N,йӗр,čárka
334,Abstand::N,хушӑ,vzdálenost
335,Entfernung::N,хушӑ,vzdálenost
336,Gegend::N,вырӑн,krajina
337,Platz::N,хутлӑх,prostor
338,Ort::N,вырӑн,místo
339,Seite::N,ен,strana
340,Seite::N,аяк,strana
341,Seite::N,айӑк,strana
342,Mitte::N,варӑ,střed
343,Mitte::N,варӑ,prostředek
344,Gegenstand::N,япала,předmět
345,Sache::N,япала,věc
346,Rand::N,вӗҫ,kraj
347,Rand::N,вӗҫ,okraj
348,Rand::N,хӗрӗ,kraj
349,Rand::N,хӗрӗ,okraj
350,Rand::N,хӗрри,kraj
351,Rand::N,хӗрри,okraj
352,Kante::N,хайкача,hrana
353,Kante::N,хысак,hrana
354,Ecke::N,кӗтес,roh
355,Spitze::N,вӗҫ,hrot
356,Spitze::N,вӗҫ,špička
357,Ende::N,вӗҫ,konec
358,Loch::N,шӑтӑк,díra
359,Winkel::N,кӗтес,kout
360,Muster::N,эреш,vzor
361,Größe::N,пысӑкӑш,velikost
362,Länge::N,вӑрӑмӑш,délka
363,Höhe::N,ҫӳллӗш,výška
364,Gewicht::N,виҫе,váha
365,Gewicht::N,йывӑрӑш,váha
366,Menge::N,йыш,množství
367,Haufen::N,купа,kupa
368,Haufen::N,купа,hromada
369,Reihe::N,рет,řada
370,Reihe::N,рет,řádek
371,Boot::N,кимӗ,člun
372,Ruder::N,кӗсмен,veslo
373,Schlitten::N,ҫуна,sáně
374,Ski::N,йӗлтӗр,lyže
375,Lagerfeuer::N,вут,táborák
376,Lagerfeuer::N,кӑвайт,táborák
377,Last::N,сулмаклӑх,náklad
378,Last::N,сулмаклӑх,břemeno
379,Last::N,йывӑр япала,náklad
380,Last::N,йывӑр япала,břemeno
381,Gang::N,куҫӑм,chůze
382,Gang::N,куҫӑм,chodba
383,Schritt::N,утӑм,krok
384,Schritt::N,пусӑм,krok
385,Norden::N,ҫурҫӗр,sever
386,Süden::N,кӑнтӑр,jih
387,Westen::N,анӑҫ,západ
388,Westen::N,хӗвел анӑҫ,západ
389,Osten::N,хӗвел тухӑҫ,východ
390,Holz::N,йывӑҫ,dřevo
391,Brett::N,хӑма,prkno
392,Platte::N,плита,deska
393,Stütze::N,ура,opěra
394,Stange::N,шерте,tyč
395,Stange::N,шерте,tyčka
396,Stock::N,патак,hůlka
397,Stab::N,шӑчӑ,hůl
398,Rohr::N,пӑрӑх,trubka
399,Haus::N,ҫурт,dům
400,Heim::N,кил,domov
401,Ofen::N,кӑмака,kamna
402,Fußboden::N,урай,podlaha
403,Tisch::N,сӗтел,stůl
404,Stuhl::N,пукан,židle
405,Wiege::N,сӑпка,kolébka
406,Bett::N,кравать,postel
407,Regal::N,ҫӳлӗк,regál
408,Regal::N,ҫӳлӗк,police
409,Regal::N,сентре,regál
410,Regal::N,сентре,police
411,Kiste::N,ещӗк,bedna
412,Kiste::N,сунтӑх,bedna
413,Fenster::N,чӳрече,okno
414,Tür::N,алӑк,dveře
415,Tor::N,хапха,vrata
416,Zaun::N,хӳме,plot
417,Dach::N,тӑрӑ,střecha
418,Leiter::N,пусма,žebřík
419,Besen::N,шӑпӑр,koště
420,Besen::N,шӑпӑр,smeták
421,Spaten::N,кӗреҫе,rýč
422,Schaufel::N,кӗреҫе,lopata
423,Gabel::N,вилка,vidlička
424,Löffel::N,кашӑк,lžíce
425,Messer::N,ҫӗҫӗ,nůž
426,Nagel::N,пӑта,hřebík
427,Netz::N,тетел,síť
428,Haken::N,йӑрхах,hák
429,Haken::N,ҫекӗл,hák
430,Griff::N,хӑлӑп,držadlo
431,Schloss::N,ҫӑра,zámek
432,Bild::N,сӑн,obraz
433,Bild::N,сӑнлӑх,obraz
434,Bild::N,картина,obraz
435,Figur::N,кӗлетке,figura
436,Puppe::N,пукане,panenka
437,Beutel::N,михӗ,pytlík
438,Bündel::N,ҫыхӑ,svazek
439,Bündel::N,тӗрке,svazek
440,Tasche::N,сумка,taška
441,Tasche::N,сумка,brašna
442,Eimer::N,витре,kýbl
443,Eimer::N,витре,vědro
444,Deckel::N,хупӑ,víko
445,Deckel::N,хупӑ,příklop
446,Geschirr::N,савӑт-сапа,nádobí
447,Sack::N,михӗ,pytel
448,Tasse::N,курка,šálek
449,Topf::N,кастрюль,hrnec
450,Kessel::N,хуран,kotel
451,Essen::N,апат,jídlo
452,Nahrung::N,апат-ҫимӗс,strava
453,Nahrung::N,апат-ҫимӗс,potrava
454,Speise::N,апат,jídlo
455,Speise::N,ҫимӗҫ,jídlo
456,Fleisch::N,аш,maso
457,Fleisch::N,какай,maso
458,Getreide::N,тырӑ,obilí
459,Brei::N,пӑтӑ,kaše
460,Brot::N,ҫӑкӑр,chléb
461,Scheibe::N,чӗлӗ,krajíc
462,Scheibe::N,касӑк,krajíc
463,Fett::N,ҫу,tuk
464,Fett::N,ҫу,omastek
465,Butter::N,ҫу,máslo
466,Öl::N,ҫу,olej
467,Salz::N,тӑвар,sůl
468,Suppe::N,яшка,polévka
469,Honig::N,пыл,med
470,Milch::N,сӗт,mléko
471,Tee::N,чей,čaj
472,Leder::N,сӑран,kůže
473,Wolle::N,ҫӑм,vlna
474,Stoff::N,тӗртӗм,látka
475,Nadel::N,йӗп,jehla
476,Faden::N,ҫип,nit
477,Knopf::N,тӳме,knoflík
478,Knoten::N,йӑлӑ,uzel
479,Farbe::N,сӑрӑ,barva
480,Kleidung::N,тум,šaty
481,Kleidung::N,тум,šatstvo
482,Kleidung::N,ҫипуҫ,šaty
483,Kleidung::N,ҫипуҫ,šatstvo
484,Kleidung::N,тум-тир,šaty
485,Kleidung::N,тум-тир,šatstvo
486,Hemd::N,кӗпе,košile
487,Kragen::N,ҫуха,límec
488,Ärmel::N,ҫанӑ,rukáv
489,Hose::N,шӑлавар,kalhoty
490,Gürtel::N,пиҫиххи,pás
491,Gürtel::N,пиҫиххи,opasek
492,Mütze::N,ҫӗлӗк,čepice
493,Schuh::N,пушмак,bota
494,Schuh::N,ботинок,bota
495,Stiefel::N,атӑ,holínka
496,Ring::N,ҫӗрӗ,prsten
497,Band::N,хаю,pásek
498,Band::N,йӗсме,pásek
499,Kamm::N,тура,hřeben
500,Spiegel::N,тӗкӗр,zrcadlo
501,Spiegel::N,куҫ кӗски,zrcadlo
502,Riemen::N,чӗн,řemen
503,Schnur::N,кантра,šňůra
504,Leine::N,касмӑк,vodítko
505,Decke::N,утиял,pokrývka
506,Decke::N,утиял,přikrývka
507,Kissen::N,ҫытар,polštář
508,Kissen::N,минтер,polštář
509,Tuch::N,тутӑр,šátek
510,Handtuch::N,ал шӑлли,ručník
511,Kraft::N,вӑй,síla
512,Kraft::N,хӑват,síla
513,Stärke::N,хал,síla
514,Stärke::N,хӑват,síla
515,Gesundheit::N,хал,zdraví
516,Gesundheit::N,сывлӑх,zdraví
517,Krankheit::N,чир,nemoc
518,Krankheit::N,чир,choroba
519,Schmerz::N,ырату,bolest
520,Wunde::N,суран,rána
521,Fieber::N,сив чир,horečka
522,Arznei::N,эмел,lék
523,Brücke::N,кӗпер,most
524,Brunnen::N,ҫӑл,studna
525,Brunnen::N,пусӑ,studna
526,Weide::N,ҫаран,pastva
527,Weide::N,ҫаран,pastvina
528,Pfad::N,йӗр,pěšina
529,Pfad::N,сукмак,pěšina
530,Weg::N,ҫул,cesta
531,Weg::N,ҫул-йӗр,cesta
532,Straße::N,ҫӳрев,silnice
533,Straße::N,ҫул ҫӳрени,silnice
534,Dorf::N,ял,vesnice
535,Stadt::N,хула,město
536,Brief::N,ҫыру,dopis
537,Buch::N,кӗнеке,kniha
538,Buchstabe::N,сас палли,písmeno
539,Zeitung::N,хаҫат,noviny
540,Leben::N,пурнӑҫ,život
541,Tod::N,вилӗм,smrt
542,Grab::N,масар шӑтӑкӗ,hrob
543,Kirche::N,чиркӳ,kostel
544,Sünde::N,ҫылӑх,hřích
545,Gott::N,турӑ,bůh
546,Arbeiter::N,рабочи,dělník
547,Arbeiter::N,рабочи,pracovník
548,Chef::N,пуҫлӑх,šéf
549,Chef::N,пуҫлӑх,vedoucí
550,Meister::N,ӑста,mistr
551,Meister::N,мастер,mistr
552,Arzt::N,врач,lékař
553,Arzt::N,тухтӑр,lékař
554,Lehrer::N,учитель,učitel
555,Lehrer::N,вӗрентекен,učitel
556,Geld::N,укҫа,peníze
557,Geschäft::N,бизнес,obchod
558,Laden::N,магазин,krám
559,Preis::N,хак,cena
560,Ware::N,тавар,zboží
561,Nutzen::N,пайта,užitek
562,Reichtum::N,мул,bohatství
563,Welt::N,тӗнче,svět
564,Land::N,ҫӗр-шыв,země
565,Staat::N,патшàлӑх,stát
566,König::N,король,král
567,Macht::N,власть,moc
568,Macht::N,власть,mocnost
569,Grenze::N,чикӗ,hranice
570,Krieg::N,вӑрҫӑ,válka
571,Feind::N,тӑшман,nepřítel
572,Gewalt::N,ирӗксӗрлӳ,násilí
573,Kampf::N,кӗрешӳ,boj
574,Bogen[Waffe]::N,ухӑ,luk
575,Pfeil::N,ҫӗмрен,šíp
576,Pfeil::N,ухӑ йӗппи,šíp
577,Gewehr::N,пӑшал,puška
578,Gewehr::N,пӑшал,ručnice
579,Fehler::N,йӑнӑш,chyba
580,Lüge::N,суя,lež
581,Lüge::N,ултав,lež
582,Schaden::N,сиен,škoda
583,Unglück::N,шар,neštěstí
584,Unglück::N,инкек,neštěstí
585,Schuld::N,айӑп,vina
586,Alter::N,ҫул шучӗ,věk
587,Schluss::N,пӗтни,konec
588,Schluss::N,пӗтмӗш,konec
589,Zeit::N,вӑхӑт,čas
590,Tag::N,кун,den
591,Morgen::N,ир,ráno
592,Morgen::N,ир,jitro
593,Mittag::N,кӑнтӑрла,poledne
594,Abend::N,каҫ,večer
595,Nacht::N,каҫ,noc
596,Woche::N,эрне,týden
597,Monat::N,уйӑх,měsíc
598,Jahr::N,ҫулталӑк,rok
599,Frühling::N,ҫур,jaro
600,Frühling::N,ҫуркунне,jaro
601,Sommer::N,ҫу,léto
602,Sommer::N,ҫулла,léto
603,Herbst::N,кӗр,podzim
604,Herbst::N,кӗркунне,podzim
605,Winter::N,хӗл,zima
606,Winter::N,хӗлле,zima
607,Januar::N,январь,leden
608,Februar::N,февраль,únor
609,Februar::N,кӗҫӗн кӑрлач,únor
610,März::N,март,březen
611,März::N,пуш уйӑхӗ,březen
612,April::N,апрель,duben
613,Mai::N,май,květen
614,Juni::N,июнь,červen
615,Juli::N,июль,červenec
616,August::N,август,srpen
617,September::N,сентябрь,září
618,September::N,авӑн уйӑхӗ,září
619,Oktober::N,октябрь,říjen
620,November::N,ноябрь,listopad
621,Dezember::N,раштав,prosinec
622,Dezember::N,декабрь,prosinec
623,Montag::N,тунти кун,pondělí
624,Montag::N,тунти кун,pondělek
625,Dienstag::N,ытлари кун,úterý
626,Mittwoch::N,юн кун,středa
627,Donnerstag::N,кӗҫнерни кун,čtvrtek
628,Freitag::N,эрне кун,pátek
629,Samstag::N,шӑмат кун,sobota
630,Sonntag::N,вырсарни кун,neděle
631,groß::A,пысӑк,velký
632,klein::A,пӗчӗк,malý
633,lang::A,вӑрӑм,dlouhý
634,kurz::A,кӗске,krátký
635,breit::A,сарлака,široký
636,schmal::A,ансӑр,úzký
637,dicht::A,йӑвӑ,hustý
638,dick[Gegenstand]::A,хулӑн,tlustý
639,dünn::A,ҫинҫе,tenký
640,dünn::A,ҫӳхе,tenký
641,fein::A,тарай,jemný
642,fein::A,вӗлтӗрти,jemný
643,fest::A,тӗреклӗ,pevný
644,flach::A,лаптак,plochý
645,flach::A,лаптак,placatý
646,glatt::A,такӑр,hladký
647,hart::A,хытӑ,tvrdý
648,weich::A,ҫемҫе,měkký
649,rund::A,ҫавра,kulatý
650,rund::A,ҫавра,okrouhlý
651,spitz::A,шӗвӗр,špičatý
652,scharf::A,ҫивӗч,ostrý
653,stumpf::A,мӑка,tupý
654,stumpf::A,пуклак,tupý
655,stumpf::A,тӗрӗнчӗк,tupý
656,stumpf::A,ӑнкарусӑр,tupý
657,schwer::A,йывӑр,těžký
658,schön::A,илемлӗ,pěkný
659,schön::A,илемлӗ,krásný
660,heiß::A,вӗри,horký
661,warm::A,ӑшӑ,teplý
662,kalt::A,сивӗ,studený
663,kühl::A,уҫӑ,chladný
664,frisch::A,уҫӑ,svěží
665,feucht::A,йӗпе,vlhký
666,nass::A,нӳрӗ,mokrý
667,trocken::A,типӗ,suchý
668,voll::A,тулли,plný
669,leer::A,пушӑ,prázdný
670,offen::A,уҫӑ,otevřený
671,geschlossen::A,хупӑ,zavřený
672,sauber::A,таса,čistý
673,schmutzig::A,пылчӑклӑ,špinavý
674,schmutzig::A,вараланчӑк,špinavý
675,roh::A,чӗрӗ,syrový
676,reif::A,пулнӑ,zralý
677,reif::A,пиҫӗхнӗ,zralý
678,reif::A,аталаннӑ,zralý
679,reif::A,пиҫсе ҫитнӗ,zralý
680,lecker::A,тутлӑ,chutný
681,lecker::A,техӗмлӗ,chutný
682,süß::A,пылак,sladký
683,bitter::A,йӳҫӗ,hořký
684,sauer::A,йӳҫӗ,kyselý
685,sauer::A,йӳҫек,kyselý
686,sauer::A,кӑвасак,kyselý
687,hell::A,ҫутӑ,světlý
688,dunkel::A,тӗттӗм,temný
689,schwarz::A,хура,černý
690,weiß::A,шурӑ,bílý
691,rot::A,хӗрлӗ,rudý
692,rot::A,хӗрлӗ,červený
693,gelb::A,сарӑ,žlutý
694,blau::A,кӑвак,modrý
695,grün::A,симӗс,zelený
696,grün::A,пиҫмен,zelený
697,grün::A,ӑс пухман,zelený
698,grau::A,кӑвак,šedý
699,grau::A,кӑвак,šedivý
700,bunt::A,чӑпар,pestrý
701,billig::A,йӳнӗ,levný
702,billig::A,йӳнӗ,laciný
703,teuer::A,хаклӑ,drahý
704,wertvoll::A,паха,cenný
705,blind::A,суккӑр,slepý
706,taub::A,хӑлхасӑр,hluchý
707,kräftig::A,хӑватлӑ,silný
708,stark::A,вирлӗ,silný
709,schwach::A,халсӑр,slabý
710,fett::A,самӑр,tučný
711,fett::A,самӑр,tlustý
712,fett::A,мӑнтӑр,tučný
713,fett::A,мӑнтӑр,tlustý
714,schlank::A,йӑрӑс,štíhlý
715,schlank::A,яштака,štíhlý
716,hübsch::A,хитре,hezký
717,böse::A,усал,zlý
718,dumm::A,ухмах,hloupý
719,faul::A,наян,líný
720,faul::A,юлхав,líný
721,faul::A,ӳркенчӗк,líný
722,fleißig::A,хастар,pilný
723,geizig::A,хытӑ,lakomý
724,klug::A,ӑслӑ,chytrý
725,geschickt::A,ӑста,šikovný
726,lieb::A,савнӑ,milý
727,lustig::A,хаваслӑ,veselý
728,sanft::A,ачаш,mírný
729,hungrig::A,выҫӑ,hladový
730,krank::A,чирлӗ,nemocný
731,nackt::A,ҫара,nahý
732,traurig::A,салхуллӑ,smutný
733,traurig::A,салхуллӑ,truchlivý
734,lebendig::A,чӗрӗ,živý
735,gut::A,аван,dobrý
736,gut::A,лайӑх,dobrý
