,Concept_ID,no,ko
128,Gras::N,gress,풀
129,Wurzel::N,rot,뿌리
130,Baum::N,tre,나무
131,Stamm::N,stamme,대
132,Rinde::N,bark,나무껍질
133,Ast::N,gren,가지
134,Zweig::N,kvist,가지
135,Blatt::N,blad,잎
136,Birke::N,bjørk,자작나무
137,Kiefer[Baum]::N,furu,소나무
138,Weide[Baum]::N,selje,쉬양버들
139,Weide[Baum]::N,piletre,쉬양버들
140,Tanne::N,gran,전나무
141,Horn::N,horn,뿔
142,Feder::N,fjær,깃털
143,Fell::N,skinn,피혁모피
144,Flügel::N,vinge,날개
145,Klaue::N,klauv,갈고리 발톺
146,Kralle::N,klo,발툭
147,Schwanz::N,hale,꼬리
148,Ei::N,egg,알
149,Nest::N,rede,보금자리
150,Bau::N,hi,굴
151,Tier::N,dyr,짐승
152,Herde::N,flokk,가축의떼
153,Kuh::N,ku,암소
154,Bulle::N,tyr,황소
155,Pferd::N,hest,말
156,Schaf::N,får,양
157,Schwein::N,gris,돼지
158,Hund::N,hund,개
159,Katze::N,katt,고양이
160,Bär::N,bjørn,콤
161,Eichhörnchen::N,ekorn,다람쥐
162,Elch::N,elg,고라니
163,Fuchs::N,rev,여우
164,Hase::N,hare,토끼
165,Maus::N,mus,쥐
166,Wolf::N,ulv,늑대
167,Wolf::N,varg,늑대
168,Vogel::N,fugl,새
169,Schwarm::N,sverm,뗴
170,Huhn::N,høne,암탉
171,Hahn::N,hane,수탉
172,Gans::N,gås,거위
173,Adler::N,ørn,수리
174,Ente::N,and,오리
175,Eule::N,ugle,부엉이
176,Kranich::N,trane,두루미
177,Krähe::N,kråke,까마귀
178,Kuckuck::N,gjøk,뻐꾸기
179,Schwan::N,svane,배조
180,Fisch::N,fisk,물고기
181,Barsch::N,abbor,농어
182,Hecht::N,gjedde,에속스
183,Schlange[Tier]::N,orm,뱀
184,Schlange[Tier]::N,slange,뱀
185,Wurm::N,orm,벌레
186,Wurm::N,mark,벌레
187,Spinne::N,edderkopp,거미
188,Ameise::N,maur,개미
189,Laus::N,lus,이
190,Mücke::N,mygg,모기
191,Fliege::N,flue,날기
192,Schmetterling::N,sommerfugl,나비
193,Beere::N,bær,장과
194,Apfel::N,eple,사과
195,Pilz::N,sopp,고방이
196,Zwiebel::N,løk,양파
197,Saat::N,sæd,씨
198,Korn::N,korn,알맹이
199,Heu::N,høy,건초
200,Schale::N,skall,피상
201,Grube::N,grop,
202,Falle::N,felle,함정
203,Schlinge::N,snare,올가미
204,Schlinge::N,snare,멜빵붕대
205,Spur::N,spor,발지국
206,Asche::N,aske,재
207,Dreck::N,møkk,똥
208,Dreck::N,møkk,오물
209,Dreck::N,skitt,똥
210,Dreck::N,skitt,오물
211,Eisen::N,jern,쇠
212,Eisen::N,jern,철
213,Gold::N,gull,항금
214,Silber::N,sølv,은
215,Kohle::N,kol,슻
216,Kohle::N,kull,슻
217,Glas::N,glass,유리
218,Lehm::N,leire,찰흙
219,Sand::N,sand,모래
220,Mensch::N,menneske,사람
221,Mann::N,mann,남자
222,Frau::N,kvinne,여자
223,Kind::N,barn,아이
224,Junge::N,gutt,소녁
225,Mädchen::N,pike,소녀
226,Mädchen::N,jente,소녀
227,Familie::N,familie,가족
228,Großvater::N,bestefar,할아버지
229,Großmutter::N,bestemor,할머니
230,Eltern::N,foreldre,어버오
231,Vater::N,far,아버지
232,Mutter::N,mor,어머니
233,Sohn::N,sønn,아들
234,Tochter::N,datter,딸기
235,Bruder::N,bror,형제
236,Schwester::N,søster,누이
237,Onkel::N,onkel,백부
238,Tante::N,tante,아주머니
239,Ehemann::N,ektemann,남편
240,Ehefrau::N,hustru,아내
241,Freude::N,glede,기쁨
242,Gelächter::N,latter,웃음
243,Glück::N,lykke,즐거움
244,Kummer::N,sorg,슬픔
245,Wunsch::N,ønske,소망
246,Lust::N,lyst,
247,Geist::N,ånd,할기
248,Gedanke::N,tanke,상념
249,Gedächtnis::N,minne,기억
250,Gedächtnis::N,hukommelse,기억
251,Verstand::N,forstand,분별
252,Verstand::N,forstand,지능
253,Sinn::N,mening,센스
254,Sinn::N,betydning,센스
255,Grund::N,grunn,까닭
256,Wahrheit::N,sannhet,참
257,Wahrheit::N,sannhet,진실
258,Gespräch::N,samtale,대화
259,Märchen::N,eventyr,동화
260,Erzählung::N,fortelling,이야기
261,Nachricht::N,melding,
262,Neuigkeit::N,nyhet,뉴스
263,Name::N,navn,이름
264,Rätsel::N,gåte,수수께끼
265,Rede::N,tale,연설
266,Sprache::N,språk,말
267,Stimme::N,stemme,목소리
268,Wort::N,ord,낱말
269,Zeichen::N,tegn,신호
270,Ruf::N,rop,부름
271,Lärm::N,bråk,소동
272,Laut::N,lyd,음성
273,Ton::N,tone,목소리
274,Lied::N,vise,노래
275,Ruhe::N,ro,쉼
276,Leute::N,folk,사람들
277,Volk::N,folk,국중
278,Arbeit::N,arbeid,근로
279,Arbeit::N,arbeid,너무
280,Gast::N,gjest,손님
281,Geschenk::N,gave,행하
282,Spiel::N,lek,무리
283,Spiel::N,spill,무리
284,Gesellschaft::N,selskap,교제
285,Hilfe::N,hjelp,거들음
286,Hilfe::N,hjelp,보좌
287,Freund::N,venn,친구
288,Kamerad::N,kamerat,동실자
289,Angelegenheit::N,sak,용무
290,Angelegenheit::N,anliggende,용무
291,Anzahl::N,antall,어떤
292,Anzahl::N,antall,수
293,Art::N,art,정류
294,Art::N,slag,정류
295,Stück::N,stykke,일부분
296,Teil::N,del,몱
297,Teil::N,del,구훠
298,Hälfte::N,halvdel,2분의
299,Kreis::N,ring,고리
300,Kreis::N,sirkel,고리
301,Kreuz::N,kors,열십자
302,Kreuz::N,kryss,열십자
303,Linie::N,linje,선
304,Strich::N,strek,스침
305,Abstand::N,avstand,거리
306,Entfernung::N,avstand,거리
307,Gegend::N,strøk,곳
308,Gegend::N,strøk,부금
309,Platz::N,plass,장소
310,Ort::N,sted,장소
311,Seite::N,side,옆면
312,Mitte::N,midte,궁간
313,Gegenstand::N,gjenstand,항목
314,Sache::N,sak,뭉에
315,Rand::N,rand,가
316,Kante::N,kant,귀퉁
317,Ecke::N,hjørne,구석
318,Spitze::N,spiss,끝
319,Spitze::N,spiss,참단
320,Ende::N,ende,말당
321,Loch::N,hull,빙옷
322,Winkel::N,vinkel,각도
323,Muster::N,mønster,본
324,Muster::N,mønster,견복
325,Größe::N,størrelse,신장
326,Länge::N,lengde,길이긺
327,Höhe::N,høyde,높이
328,Gewicht::N,vekt,추
329,Menge::N,mengde,수양
330,Haufen::N,haug,퇴적
331,Haufen::N,bunke,퇴적
332,Reihe::N,rekke,열
333,Boot::N,båt,보트
334,Ruder::N,åre,노
335,Schlitten::N,slede,썰매
336,Schlitten::N,kjelke,썰매
337,Ski::N,ski,스키
338,Lagerfeuer::N,leirbål,캠프의 모닥불
339,Last::N,bør,무거운짐
340,Last::N,last,무거운짐
341,Gang::N,gang,걸음
342,Schritt::N,steg,보조
343,Schritt::N,skritt,보조
344,Norden::N,nord,북쪽 
345,Süden::N,sør,남쪽
346,Westen::N,vest,서쪽
347,Osten::N,øst,동쪽
348,Holz::N,tre,목재
349,Brett::N,fjøl,마루널
350,Brett::N,brett,마루널
351,Platte::N,plate,탤
352,Platte::N,plate,금속판
353,Stütze::N,støtte,버팀목
354,Stange::N,stang,장대
355,Stock::N,pinne,막대기
356,Stab::N,stav,작대기
357,Stab::N,kjepp,작대기
358,Rohr::N,rør,갈대
359,Haus::N,hus,집
360,Heim::N,hjem,집
361,Ofen::N,ovn,아궁이
362,Fußboden::N,gulv,마루
363,Tisch::N,bord,탁자
364,Stuhl::N,stol,의자
365,Wiege::N,vogge,발상지
366,Bett::N,seng,침대
367,Regal::N,reol,서가
368,Regal::N,hylle,서가
369,Kiste::N,kasse,짐궤
370,Fenster::N,vindu,눔
371,Tür::N,dør,문
372,Tor::N,port,대문
373,Zaun::N,gjerde,담장
374,Dach::N,tak,지붕
375,Leiter::N,stige,사닥다리
376,Besen::N,kost,비
377,Spaten::N,spade,가래
378,Schaufel::N,skuffe,삽
379,Gabel::N,gaffel,갈래
380,Löffel::N,skje,숟가락
381,Messer::N,kniv,나이프
382,Nagel::N,spiker,발툽
383,Netz::N,nett,그물
384,Haken::N,krok,갈고리
385,Griff::N,tak,움켜쥠
386,Griff::N,håndtak,움켜쥠
387,Schloss::N,lås,자물쇠
388,Bild::N,bilde,그림
389,Figur::N,figur,몸메
390,Puppe::N,dukke,인형
391,Beutel::N,pose,클
392,Bündel::N,bylt,자근다발
393,Tasche::N,veske,가방
394,Eimer::N,bøtte,동이
395,Deckel::N,lokk,뚜껑
396,Geschirr::N,kjøkkentøy,식시
397,Sack::N,sekk,조갑
398,Tasse::N,kopp,차잔
399,Topf::N,gryte,단지
400,Kessel::N,kjele,주전자
401,Essen::N,mål,먹기
402,Nahrung::N,mat,식료
403,Nahrung::N,næring,식료
404,Speise::N,matrett,음식물
405,Fleisch::N,kjøtt,고기
406,Getreide::N,korn,곡물
407,Brei::N,grøt,젤리
408,Brot::N,brød,빵
409,Scheibe::N,skive,원반
410,Fett::N,fett,기름
411,Butter::N,smør,버터
412,Öl::N,olje,올리브유
413,Salz::N,salt,소금
414,Suppe::N,suppe,국
415,Suppe::N,suppe,수프
416,Honig::N,honning,감미
417,Milch::N,melk,유즙
418,Tee::N,te,차
419,Leder::N,lær,가죽
420,Leder::N,skinn,가죽
421,Wolle::N,ull,양털
422,Stoff::N,tøy,패료
423,Stoff::N,stoff,패료
424,Nadel::N,nål,바늘
425,Faden::N,tråd,콘실
426,Knopf::N,knapp,단추
427,Knoten::N,knute,곁절
428,Farbe::N,farge,색
429,Kleidung::N,påkledning,옷입기
430,Hemd::N,skjorte,속옷
431,Kragen::N,krage,깃
432,Ärmel::N,erme,소매
433,Hose::N,bukse,바지
434,Gürtel::N,belte,밴드
435,Mütze::N,lue,모자
436,Schuh::N,sko,구두
437,Stiefel::N,støvel,장화
438,Ring::N,ring,고리
439,Band::N,band,리본
440,Kamm::N,kam,빗
441,Spiegel::N,speil,거울
442,Riemen::N,rem,가죽끈
443,Schnur::N,snor,밧줄
444,Leine::N,line,고삐줄
445,Decke::N,teppe,이부자리
446,Kissen::N,pute,깔개
447,Tuch::N,tøy,천
448,Handtuch::N,håndkle,수건
449,Kraft::N,kraft,세력
450,Stärke::N,styrke,힘
451,Gesundheit::N,helse,위생
452,Gesundheit::N,sunnhet,위생
453,Krankheit::N,syke,병
454,Krankheit::N,sykdom,병
455,Schmerz::N,smerte,아픔고통
456,Wunde::N,sår,상처
457,Fieber::N,feber,열별
458,Arznei::N,medisin,약
459,Arznei::N,legemiddel,약
460,Brücke::N,bro,교량
461,Brunnen::N,brønn,원천
462,Weide::N,beite,목장
463,Pfad::N,sti,좁은길
464,Weg::N,vei,길
465,Straße::N,gate,길
466,Dorf::N,landsby,촌
467,Dorf::N,landsby,촌락
468,Stadt::N,by,도시
469,Brief::N,brev,서한
470,Buch::N,bok,책
471,Buchstabe::N,bokstav,문자
472,Zeitung::N,avis,신문
473,Leben::N,liv,삶
474,Tod::N,død,죽음
475,Grab::N,grav,무덤
476,Kirche::N,kirke,교회
477,Sünde::N,synd,부정
478,Gott::N,gud,하느님
479,Arbeiter::N,arbeider,일하는사람
480,Chef::N,sjef,사장
481,Meister::N,mester,명인
482,Meister::N,mester,대가
483,Arzt::N,lege,의사
484,Lehrer::N,lærer,교사
485,Geld::N,penger,돈
486,Geschäft::N,forretning,일
487,Laden::N,butikk,가게
488,Preis::N,pris,가격
489,Ware::N,vare,상품
490,Nutzen::N,nytte,이익
491,Reichtum::N,rikdom,많음
492,Welt::N,verden,세상
493,Land::N,land,지방
494,Staat::N,stat,국가
495,König::N,konge,국왕
496,Macht::N,makt,힘
497,Grenze::N,grense,국경
498,Krieg::N,krig,전쟁
499,Feind::N,fiende,적
500,Gewalt::N,vold,권력
501,Kampf::N,kamp,전투
502,Bogen[Waffe]::N,bue,활
503,Pfeil::N,pil,화살
504,Gewehr::N,gevær,무기
505,Fehler::N,feil,오류
506,Lüge::N,løgn,거짓말
507,Schaden::N,skade,손상
508,Unglück::N,uhell,불행
509,Schuld::N,skyld,부채
510,Alter::N,alder,연령
511,Schluss::N,slutt,마감
512,Zeit::N,tid,때
513,Zeit::N,tid,시간
514,Tag::N,dag,하루
515,Morgen::N,morgen,이침
516,Mittag::N,middag,대낮
517,Abend::N,aften,저녁
518,Nacht::N,natt,밤
519,Woche::N,uke,근무일
520,Monat::N,måned,달
521,Jahr::N,år,해
522,Frühling::N,vår,봄
523,Sommer::N,sommer,여름
524,Herbst::N,høst,가을
525,Winter::N,vinter,겨울
526,Januar::N,januar,일월
527,Februar::N,februar,이월
528,März::N,mars,삼월
529,April::N,april,사월
530,Mai::N,mai,오월
531,Juni::N,juni,유월
532,Juli::N,juli,칠월
533,August::N,august,팔월
534,September::N,september,구월
535,Oktober::N,oktober,시월
536,November::N,november,십일월
537,Dezember::N,desember,십이월
538,Montag::N,mandag,월요일
539,Dienstag::N,tirsdag,화요일
540,Mittwoch::N,onsdag,수요일
541,Donnerstag::N,torsdag,모교일
542,Freitag::N,fredag,그묘일
543,Samstag::N,lørdag,토요일
544,Sonntag::N,søndag,일요일
545,groß::A,stor,큰
546,klein::A,liten,자근
547,lang::A,lang,긴
548,kurz::A,kort,짧은
549,breit::A,bred,넓은
550,schmal::A,smal,좁은
551,dicht::A,tett,농밀한
552,dick[Gegenstand]::A,tykk,두꺼운
553,dünn::A,tynn,얇은
554,fein::A,fin,미세한
555,fest::A,fast,굳은
556,flach::A,flat,얕은
557,glatt::A,glatt,반들반들한
558,hart::A,hard,굳은
559,weich::A,myk,연한
560,weich::A,bløt,연한
561,rund::A,rund,둥근
562,spitz::A,spiss,뾰족한
563,scharf::A,kvass,날카로운
564,stumpf::A,stubb,무딘
565,schwer::A,tung,무거운
566,schön::A,pen,멋진
567,schön::A,vakker,멋진
568,heiß::A,het,뜨거운
569,warm::A,varm,따뜻한
570,kalt::A,kald,찬
571,kühl::A,kjølig,서늘한
572,frisch::A,fersk,신선한
573,feucht::A,fuktig,축축한
574,nass::A,våt,젖은
575,trocken::A,tørr,마른
576,voll::A,full,완전한
577,leer::A,tom,빈
578,offen::A,åpen,열린
579,geschlossen::A,lukket,닫힌
580,sauber::A,ren,깨끗한
581,schmutzig::A,skitten,더러운
582,roh::A,rå,날게잇의
583,reif::A,moden,이근
584,lecker::A,lekker,맛있는
585,süß::A,søt,단
586,bitter::A,besk,찌르는듯한
587,bitter::A,bitter,찌르는듯한
588,sauer::A,sur,산성의
589,hell::A,lys,밝은
590,dunkel::A,mørk,어두운
591,schwarz::A,svart,검은
592,weiß::A,hvit,하얀
593,rot::A,rød,붉은
594,gelb::A,gul,황색
595,blau::A,blå,푸른
596,grün::A,grønn,녹색의
597,grau::A,grå,회색의
598,bunt::A,broket,알록달록한
599,billig::A,billig,싼
600,teuer::A,dyr,값비산
601,wertvoll::A,verdifull,가치가많은
602,blind::A,blind,눈먼
603,taub::A,døv,무감간한
604,kräftig::A,kraftig,강장한
605,stark::A,sterk,강한
606,schwach::A,svak,약한
607,fett::A,fet,실찐
608,schlank::A,slank,호리호리한
609,hübsch::A,pen,예쁜
610,böse::A,slem,나쁜
611,dumm::A,dum,어리석은
612,faul::A,lat,너덜너덜한
613,faul::A,doven,너덜너덜한
614,fleißig::A,flittig,근면한
615,geizig::A,gjerrig,인색한
616,klug::A,klok,
617,geschickt::A,hendig,교묘한
618,geschickt::A,skikket,교묘한
619,lieb::A,kjær,친애하는
620,lieb::A,snill,친애하는
621,lustig::A,morsom,유쾌한
622,sanft::A,blid,온화한
623,hungrig::A,sulten,배고픈
624,krank::A,syk,병든
625,nackt::A,naken,벌거벗은
626,traurig::A,sørgmodig,슬픈
627,lebendig::A,levende,살아있는
628,gut::A,god,좋은
629,schlecht::A,dårlig,나쁜
630,richtig::A,riktig,바른
631,schlimm::A,slem,못된
632,wahr::A,sann,참된
633,alt::A,gammel,늙은
634,neu::A,ny,새
635,ehemalig::A,forhenværende,전의
636,alt[Lebewesen]::A,gammel,낡은
637,jung::A,ung,젊은
638,arm::A,fattig,가난한
639,reich::A,rik,풍부한
640,bekannt::A,kjent,저명한
641,berühmt::A,berømt,유명한
642,fremd::A,fremmed,타처이
643,verschieden::A,forskjellig,따른
644,nah::A,nær,가까운
645,fern::A,fjern,먼
646,linker::A,venstre,왼쭉의
647,rechter::A,høyre,오른쪽의
648,anderer::A,annen,다른
649,erster::A,første,첫째
650,zweiter::A,annen,둘째
651,dritter::A,tredje,셋째
652,letzter::A,sist,의후자의
653,allein::ADV,alene,훌로
654,auf einmal::ADV,med ett,갑자기
655,zusammen::ADV,sammen,모아서
656,lange::ADV,lenge,오래
657,plötzlich::ADV,plutselig,둘연한
658,sofort::ADV,straks,즉시
659,später::ADV,senere,보다늦은
660,jetzt::ADV,nå,목하
661,heute::ADV,i dag,오늘
662,morgen::ADV,i morgen,내일
663,bald::ADV,snart,곱
664,dann::ADV,så,그경우에
665,gestern::ADV,i går,어제
666,einst::ADV,engang,옛날에
667,damals::ADV,den gang,그때에
668,danach::ADV,deretter,그 뒤에
669,vorher::ADV,før,미리
670,vorher::ADV,i forveien,미리
671,zuerst::ADV,først,최초로
672,einmal::ADV,en gang,한번
673,manchmal::ADV,somme tider,땓대로
674,oft::ADV,ofte,땓대로
675,immer::ADV,alltid,늘
676,niemals::ADV,aldri,결코...(하지)않다
677,hier::ADV,her,여기
678,hierhin::ADV,hit,여기로
679,von hier::ADV,herfra,
680,dort::ADV,der,거기
681,dorthin::ADV,dit,저기예
682,geradeaus::ADV,rett fram,곧장
683,vorwärts::ADV,fram,앞으로
684,vorwärts::ADV,framover,앞으로
685,rückwärts::ADV,baklengs,뒤로
686,zurück::ADV,tilbake,제자리로
687,unten::ADV,nede,아래에
688,hinab::ADV,ned,아래쪽으로
689,hinab::ADV,nedover,아래쪽으로
690,oben::ADV,oppe,위에
691,oben::ADV,ovenpå,위에
692,hinauf::ADV,opp,위쪽으로
693,hinauf::ADV,oppover,위쪽으로
694,überall::ADV,overalt,도처에
695,nicht::ADV,ikke,안
696,ein wenig::ADV,litt,적음
697,kaum::ADV,neppe,가의
698,sehr::ADV,svært,자주
699,so::ADV,så,그와같이
700,noch::ADV,enda,아직
701,nur::ADV,bare,다만
702,schon::ADV,alt,이미
703,schon::ADV,allerede,이미
704,wieder::ADV,igjen,다시
705,vergebens::ADV,forgjeves,헛되이
706,vor::PRP,foran,앞에
707,vor::PRP,utenfor,앞에
708,hinter::PRP,bak,뒤에
709,hinter::PRP,bakom,뒤에
710,unter::PRP,under,잍에
711,durch::PRP,gjennom,통고하여
712,durch::PRP,igjennom,통고하여
713,neben::PRP,ved siden av,와나란히
714,zwischen::PRP,mellom,의사이로
715,wegen::PRP,på grunn av,때문에
716,dies::PRN,dette,이
717,das::PRN,det,저
718,alles::PRN,alt,모든것
719,ich::PRN,jeg,나
720,du::PRN,du,너
721,er::PRN,han,그
722,wir::PRN,vi,우리
723,ihr::PRN,dere,너희들
724,sie::PRN,de,그들
725,was::FPRN,hva,뭣
726,wer::FPRN,hvem,누구
727,wo::FADV,hvor,어디
728,wohin::FADV,hvor ... hen,어디로
729,wie::FADV,hvordan,어떻게
730,warum::FADV,hvorfor,왜
731,wieviel::FNUM,hvor mye,얼마만큰
732,eins::NUM,en,하나
733,eins::NUM,ett,하나
734,zwei::NUM,to,둘
735,drei::NUM,tre,셋
736,vier::NUM,fire,넷
737,fünf::NUM,fem,다섯
738,sechs::NUM,seks,여섯
739,sieben::NUM,sju,일곱
740,acht::NUM,åtte,여덟
741,neun::NUM,ni,아홉
742,zehn::NUM,ti,열
743,elf::NUM,elleve,열하나
744,zwölf::NUM,tolv,열둘
745,zwanzig::NUM,tjue,스물
746,dreißig::NUM,tretti,서름
747,vierzig::NUM,førti,마흔
748,fünfzig::NUM,femti,숸
749,sechzig::NUM,seksti,에순
750,siebzig::NUM,sytti,일흔
751,achtzig::NUM,åtti,여든
752,neunzig::NUM,nitti,아흔
753,hundert::NUM,hundre,백
754,tausend::NUM,tusen,천
755,und::CNJ,og,와
756,oder::CNJ,eller,아니면
757,stehen::V,stå,서다
758,sitzen::V,sitte,앉다
759,liegen::V,ligge,눕다
760,hängen::V,henge,달다
761,werden::V,bli,되다
762,passieren::V,skje,지장옶다
763,passieren::V,hende,지장옶다
764,beginnen::V,begynne,시작되다
765,enden::V,ende,큳내다
766,enden::V,slutte,큳내다
767,wechseln::V,veksle,병경하다
768,aufgehen[Sonne]::V,stå opp,뜨다
769,untergehen[Sonne]::V,gå ned,지다
770,scheinen[Sonne]::V,skinne,빛나다
771,donnern::V,tordne,천둥치다
772,wehen::V,blåse,풀다
773,strömen::V,strømme,흐르다
774,fließen::V,flyte,흐르다
775,sich drehen::V,dreie seg,돌다
776,schwanken::V,svaie,동요하다
777,schwingen::V,svinge,흔들다
778,fallen::V,falle,떨어지다
779,brennen::V,brenne,타다
780,rauchen::V,ryke,김이나다
781,regnen::V,regne,비가오다
782,gefrieren::V,fryse,얼다
783,tauen::V,tine,녹다
784,schmelzen::V,smelte,녹다
785,trocknen::V,tørre,홈치다
786,sieden::V,koke,끓다
787,faulen::V,råtne,부패하다
788,verfaulen::V,råtne,썩다
789,reißen::V,briste,지바찢다
790,versinken::V,synke,가라앉다
791,versinken::V,synke ned,가라앉다
792,vergehen::V,forløpe,지나가다
793,erscheinen::V,synes,나타나다
794,verschwinden::V,forsvinne,사라지다
795,sinken::V,synke,가라앉다
796,abnehmen::V,avta,떼어내다
797,abnehmen::V,minske,떼어내다
798,zunehmen::V,tilta,증가하다
799,steigen::V,stige,상승하다
800,wachsen::V,gro,생기하다
801,wachsen::V,vokse,생기하다
802,glänzen::V,skinne,뛰오나다
803,funkeln::V,tindre,불티가잍어나다
804,lärmen::V,bråke,떠들다
805,läuten::V,ringe,울시다
806,klingeln::V,ringe,초닌총을울리다
807,klirren::V,klirre,탁탁울리다
808,brausen::V,bruse,쏴쏴소리내다
809,rauschen::V,suse,솨솨
810,klingen::V,lyde,반향하다
811,klingen::V,klinge,반향하다
812,bellen::V,gjø,짖다
813,bellen::V,bjeffe,짖다
814,heulen::V,ule,포효하다
815,blasen::V,blåse,불다
816,pfeifen::V,plystre,피리를불다
817,schreien::V,skrike,절규하다
818,stöhnen::V,stønne,신음하다
819,zittern::V,dirre,저뉼하다
820,zittern::V,skjelve,저뉼하다
821,leben::V,leve,살다
822,geboren werden::V,fødes,태어난
823,atmen::V,ånde,숨쉬다
824,atmen::V,puste,숨쉬다
825,trinken::V,drikke,마시다
826,essen::V,spise,먹다
827,schlucken::V,svelge,들이켜다
828,müde werden::V,bli trett,
829,einschlafen::V,sovne,잠들다
830,schlafen::V,sove,자다
831,aufwachen::V,våkne,눈트다
832,aufstehen::V,stå opp,서다
833,sich erholen::V,bli bra,회복하다
834,sich erholen::V,komme seg,회복하다
835,krank werden::V,bli syk,
836,krank sein::V,være syk,
837,schmerzen::V,gjøre vondt,아프다
838,husten::V,hoste,잔기침하다
839,genesen::V,komme seg,낫다
840,sterben::V,dø,죽다
841,umkommen::V,omkomme,못쓰게되다
842,sich bewegen::V,bevege seg,움직이다
843,sich rühren::V,røre på seg,움직이다
844,sich erheben::V,reise seg,이러서다
845,sich setzen::V,sette sig,앉히다
846,hinfallen::V,falle over ende,넘어지다
847,laufen::V,løpe,걷다
848,schreiten::V,skride,보행하다
849,spazierengehen::V,spasere,산보하다
850,spazierengehen::V,gå en tur,산보하다
851,eilen::V,ile,서둘다
852,sich beeilen::V,skynde seg,서둘게하다
853,sausen::V,suse,서들러 떠나다
854,rennen::V,løpe,달리다
