,Concept_ID,xal,no
83,Regen::N,хур,regn
84,Schnee::N,цасн,snø
85,Eis::N,мөсн,is
86,Frost::N,киитн,frost
87,Kälte::N,киитн,kulde
88,Hitze::N,халун,hete
89,Raureif::N,цаң,rimfrost
90,Raureif::N,кирү,rimfrost
91,Regenbogen::N,солңһ,regnbue
92,Donner::N,оһтрһун дун,torden
93,Strömung::N,урсхл,strømning
94,Tropfen::N,дусал,dråpe
95,Schaum::N,көөсн,skum
96,Schmutz::N,кир,søl
97,Schmutz::N,кир,skitt
98,See::N,нур,sjø
99,Sumpf::N,унул,sump
100,Sumpf::N,унул,myrlende
101,Moor::N,улм,myr
102,Moor::N,улм,myrhei
103,Wiese::N,хадлһн,eng
104,Wald::N,ө-модн,skog
105,Hügel::N,толһа,haug
106,Hügel::N,толһа,bakke
107,Anhöhe::N,хамр,haug
108,Anhöhe::N,хамр,bakke
109,Berg::N,уул,berg
110,Berg::N,уул,fjell
111,Gipfel::N,ора,topp
112,Höhle::N,хадин көндә,hule
113,Abhang::N,ташу,li
114,Abhang::N,ташу,skråning
115,Quelle::N,булг,kilde
116,Bach::N,һооҗур,bekk
117,Fluss::N,һол,elv
118,Ufer::N,көвә,bredd
119,Küste::N,көвә,kyst
120,Küste::N,теңгсин көвә,kyst
121,Festland::N,хүүрә һазр,fastland
122,Meer::N,теңгс,hav
123,Bucht::N,цекә,bukt
124,Bucht::N,теңгсин цекә,bukt
125,Insel::N,арл,øy
126,Blume::N,цецг,blomst
127,Gras::N,ноһан,gress
128,Wurzel::N,уңг,rot
129,Baum::N,модн,tre
130,Stamm::N,шилв,stamme
131,Stamm::N,һол модн,stamme
132,Rinde::N,көрсн,bark
133,Ast::N,ац,gren
134,Zweig::N,ац,kvist
135,Blatt::N,хамтхасн,blad
136,Birke::N,хусм модн,bjørk
137,Kiefer[Baum]::N,шар харһа,furu
138,Weide[Baum]::N,удн,selje
139,Weide[Baum]::N,удн,piletre
140,Tanne::N,җөөлн цаһан модн,gran
141,Horn::N,өвр,horn
142,Feder::N,өрвлг,fjær
143,Fell::N,арсн,skinn
144,Flügel::N,җивр,vinge
145,Klaue::N,хумсн,klauv
146,Kralle::N,тавг,klo
147,Schwanz::N,сүл,hale
148,Ei::N,өндгн,egg
149,Nest::N,үр,rede
150,Bau::N,нүкн,hi
151,Tier::N,мал,dyr
152,Herde::N,сүрг мал,flokk
153,Kuh::N,үкр,ku
154,Bulle::N,бух,tyr
155,Pferd::N,мөрн,hest
156,Schaf::N,хөн,får
157,Schwein::N,һаха,gris
158,Hund::N,ноха,hund
159,Katze::N,мис,katt
160,Bär::N,аю,bjørn
161,Eichhörnchen::N,кермн,ekorn
162,Elch::N,хандһа,elg
163,Fuchs::N,арат,rev
164,Hase::N,туула,hare
165,Maus::N,хулһн,mus
166,Wolf::N,чон,ulv
167,Wolf::N,чон,varg
168,Vogel::N,шовун,fugl
169,Schwarm::N,зел,sverm
170,Huhn::N,така,høne
171,Hahn::N,эр така,hane
172,Gans::N,һалун,gås
173,Adler::N,һәрд,ørn
174,Ente::N,нуһсн,and
175,Eule::N,һурвлһ,ugle
176,Kranich::N,тоһрун,trane
177,Krähe::N,шаазһа,kråke
178,Kuckuck::N,эргин хуцдг,gjøk
179,Schwan::N,хун,svane
180,Fisch::N,заһсн,fisk
181,Barsch::N,шүрг,abbor
182,Hecht::N,цурх,gjedde
183,Schlange[Tier]::N,моһа,orm
184,Schlange[Tier]::N,моһа,slange
185,Wurm::N,өтн,orm
186,Wurm::N,өтн,mark
187,Spinne::N,аралҗн,edderkopp
188,Ameise::N,шорһлҗн,maur
189,Laus::N,бөөсн,lus
190,Mücke::N,бөкүн,mygg
191,Fliege::N,батхн,flue
192,Schmetterling::N,эрвәкә,sommerfugl
193,Beere::N,бөөлҗрһн,bær
194,Apfel::N,альмн,eple
195,Pilz::N,теңгрин ки,sopp
196,Zwiebel::N,мәңгрснә толһа,løk
197,Saat::N,буудян экн,sæd
198,Korn::N,экн,korn
199,Heu::N,өвсн,høy
200,Schale::N,хальсн,skall
201,Grube::N,нүкн,grop
202,Falle::N,урх,felle
203,Falle::N,хавх,felle
204,Schlinge::N,бүтү,snare
205,Spur::N,мөр,spor
206,Asche::N,үмсн,aske
207,Dreck::N,бальчг,møkk
208,Dreck::N,бальчг,skitt
209,Eisen::N,төмр,jern
210,Gold::N,алтн,gull
211,Silber::N,мөңгн,sølv
212,Silber::N,цаһан мөңгн,sølv
213,Kohle::N,нүүрсн,kol
214,Kohle::N,нүүрсн,kull
215,Glas::N,шил,glass
216,Lehm::N,шавр,leire
217,Sand::N,элсн,sand
218,Mensch::N,күн,menneske
219,Mensch::N,күмн,menneske
220,Mann::N,эр,mann
221,Frau::N,күүкд күн,kvinne
222,Kind::N,үрн,barn
223,Junge::N,көвүн,gutt
224,Mädchen::N,бичкн күүкн,pike
225,Mädchen::N,бичкн күүкн,jente
226,Familie::N,бүл,familie
227,Großvater::N,өвк эцк,bestefar
228,Großvater::N,наһц эцк,bestefar
229,Großmutter::N,эмг эк,bestemor
230,Großmutter::N,наһц эк,bestemor
231,Eltern::N,эк эцк хойр,foreldre
232,Vater::N,эцк,far
233,Mutter::N,эк,mor
234,Sohn::N,көвүн,sønn
235,Tochter::N,күүкн,datter
236,Bruder::N,дү көвүн,bror
237,Schwester::N,эгч,søster
238,Schwester::N,дү күүкн,søster
239,Onkel::N,авһ,onkel
240,Onkel::N,наһцх,onkel
241,Tante::N,наһц эгч,tante
242,Ehemann::N,залу,ektemann
243,Ehefrau::N,гергн,hustru
244,Freude::N,байр,glede
245,Gelächter::N,инәдн,latter
246,Glück::N,җирһл,lykke
247,Glück::N,сәәхн җирһл,lykke
248,Kummer::N,зовлң,sorg
249,Wunsch::N,дурн,ønske
250,Lust::N,җилвтлһн,lyst
251,Geist::N,зөрг,ånd
252,Gedanke::N,ухан,tanke
253,Gedächtnis::N,чееҗин тодлвр,minne
254,Gedächtnis::N,чееҗин тодлвр,hukommelse
255,Verstand::N,ухан,forstand
256,Sinn::N,учр-утх,mening
257,Sinn::N,учр-утх,betydning
258,Grund::N,учр,grunn
259,Grund::N,шалтан,grunn
260,Wahrheit::N,үнн,sannhet
261,Gespräch::N,күүндвүр,samtale
262,Märchen::N,тууль,eventyr
263,Erzählung::N,келвр,fortelling
264,Nachricht::N,медүллһн,melding
265,Neuigkeit::N,зәңг,nyhet
266,Name::N,нерн,navn
267,Rätsel::N,тәәлвртә тууль,gåte
268,Rede::N,келлһн,tale
269,Sprache::N,келн,språk
270,Stimme::N,дун,stemme
271,Wort::N,үг,ord
272,Zeichen::N,темдг,tegn
273,Ruf::N,дуудлһн,rop
274,Lärm::N,шууган,bråk
275,Laut::N,ә,lyd
276,Ton::N,дун,tone
277,Lied::N,дун,vise
278,Ruhe::N,амулң,ro
279,Leute::N,әмтн,folk
280,Volk::N,улс,folk
281,Arbeit::N,көдлмш,arbeid
282,Gast::N,гиич,gjest
283,Geschenk::N,белг,gave
284,Spiel::N,наадн,lek
285,Spiel::N,наадн,spill
286,Gesellschaft::N,олн,selskap
287,Hilfe::N,нөкд,hjelp
288,Freund::N,иньг,venn
289,Kamerad::N,үр,kamerat
290,Angelegenheit::N,керг,sak
291,Angelegenheit::N,керг,anliggende
292,Anzahl::N,то,antall
293,Art::N,зүүл,art
294,Art::N,зүүл,slag
295,Stück::N,хусг,stykke
296,Teil::N,хүв,del
297,Hälfte::N,өрәл,halvdel
298,Kreis::N,төгрг,ring
299,Kreis::N,төгрг,sirkel
300,Kreuz::N,кирс,kors
301,Kreuz::N,кирс,kryss
302,Linie::N,зурасн,linje
303,Strich::N,татасн,strek
304,Abstand::N,зә,avstand
305,Entfernung::N,һазр,avstand
306,Gegend::N,һазр,strøk
307,Platz::N,зә,plass
308,Ort::N,бәәрн,sted
309,Seite::N,тал,side
310,Seite::N,хаҗу,side
311,Seite::N,хәврһ,side
312,Mitte::N,дунд,midte
313,Gegenstand::N,юмн,gjenstand
314,Sache::N,юмн,sak
315,Rand::N,зах,rand
316,Kante::N,ирмәг,kant
317,Ecke::N,өнцг,hjørne
318,Spitze::N,үзүр,spiss
319,Ende::N,үзүр,ende
320,Loch::N,хаһрха,hull
321,Winkel::N,булң,vinkel
322,Muster::N,намч,mønster
323,Größe::N,кемҗән,størrelse
324,Länge::N,ут,lengde
325,Höhe::N,өндр,høyde
326,Gewicht::N,күнд,vekt
327,Gewicht::N,чиңнүр,vekt
328,Menge::N,ик,mengde
329,Haufen::N,ова,haug
330,Haufen::N,ова,bunke
331,Reihe::N,зерг,rekke
332,Reihe::N,зерглән,rekke
333,Boot::N,оңһц,båt
334,Ruder::N,хәәв,åre
335,Schlitten::N,цан,slede
336,Schlitten::N,цан,kjelke
337,Ski::N,лыҗ,ski
338,Lagerfeuer::N,костёр,leirbål
339,Last::N,күнд,bør
340,Last::N,күнд,last
341,Gang::N,йовлһн,gang
342,Schritt::N,ишкм,steg
343,Schritt::N,ишкм,skritt
344,Norden::N,ар үзг,nord
345,Süden::N,өмн,sør
346,Süden::N,өмн үзг,sør
347,Westen::N,барун,vest
348,Westen::N,барун үзг,vest
349,Osten::N,зүн,øst
350,Osten::N,зүн үзг,øst
351,Holz::N,модн,tre
352,Brett::N,харһа,fjøl
353,Brett::N,харһа,brett
354,Platte::N,хавтха чолун,plate
355,Stütze::N,тулг,støtte
356,Stange::N,уньн,stang
357,Stock::N,модн,pinne
358,Stab::N,шуург,stav
359,Stab::N,шуург,kjepp
360,Rohr::N,турва,rør
361,Haus::N,гер,hus
362,Heim::N,гер-бул,hjem
363,Ofen::N,беш,ovn
364,Fußboden::N,девскр,gulv
365,Tisch::N,ширә,bord
366,Stuhl::N,стул,stol
367,Wiege::N,өлгә,vogge
368,Wiege::N,дүүҗң,vogge
369,Bett::N,орн,seng
370,Bett::N,орндг,seng
371,Regal::N,таг,reol
372,Regal::N,таг,hylle
373,Regal::N,тәвц,reol
374,Regal::N,тәвц,hylle
375,Kiste::N,яршг,kasse
376,Fenster::N,терз,vindu
377,Tür::N,үүдн,dør
378,Tor::N,үүдн,port
379,Tor::N,өргн үүдн,port
380,Tor::N,хашан үүдн,port
381,Zaun::N,хаша,gjerde
382,Dach::N,деевр,tak
383,Leiter::N,шат,stige
384,Leiter::N,давшур,stige
385,Besen::N,сәвүр,kost
386,Spaten::N,күрз,spade
387,Schaufel::N,совг,skuffe
388,Gabel::N,серә,gaffel
389,Löffel::N,ухр,skje
390,Messer::N,утх,kniv
391,Nagel::N,хадасн,spiker
392,Netz::N,гөлм,nett
393,Haken::N,дегә,krok
394,Griff::N,иш,tak
395,Griff::N,иш,håndtak
396,Griff::N,бәрүл,tak
397,Griff::N,бәрүл,håndtak
398,Schloss::N,оньс,lås
399,Bild::N,зург,bilde
400,Figur::N,фигур,figur
401,Puppe::N,наадһа,dukke
402,Beutel::N,мишг,pose
403,Bündel::N,багла,bylt
404,Bündel::N,боодһа,bylt
405,Tasche::N,сумк,veske
406,Eimer::N,суулһ,bøtte
407,Deckel::N,бүркәсн,lokk
408,Geschirr::N,сав,kjøkkentøy
409,Geschirr::N,сав-сарх,kjøkkentøy
410,Sack::N,мишг,sekk
411,Tasse::N,ааһ,kopp
412,Topf::N,кастрюль,gryte
413,Kessel::N,хәәсн,kjele
414,Essen::N,зоогллһн,mål
415,Nahrung::N,теҗәл,mat
416,Nahrung::N,теҗәл,næring
417,Speise::N,хот,matrett
418,Fleisch::N,махн,kjøtt
419,Getreide::N,хот болҗ эдлгддг цецгүдтә урһмл,korn
420,Brei::N,хаш,grøt
421,Brot::N,өдмг,brød
422,Scheibe::N,зүсм,skive
423,Fett::N,өөкн,fett
424,Butter::N,тосн,smør
425,Öl::N,тосн,olje
426,Salz::N,давсн,salt
427,Suppe::N,шөлн,suppe
428,Honig::N,бал,honning
429,Milch::N,үсн,melk
430,Tee::N,цә,te
431,Leder::N,арсн,lær
432,Leder::N,арсн,skinn
433,Wolle::N,утцн,ull
434,Wolle::N,эд,ull
435,Stoff::N,эд,tøy
436,Stoff::N,эд,stoff
437,Nadel::N,зүн,nål
438,Faden::N,утцн,tråd
439,Knopf::N,товч,knapp
440,Knoten::N,зәңгдә,knute
441,Farbe::N,будг,farge
442,Kleidung::N,хувцн,påkledning
443,Kleidung::N,хувц-хунр,påkledning
444,Hemd::N,киилг,skjorte
445,Kragen::N,зах,krage
446,Ärmel::N,ханцн,erme
447,Hose::N,шалвур,bukse
448,Gürtel::N,бүс,belte
449,Mütze::N,махла,lue
450,Schuh::N,башмгуд,sko
451,Stiefel::N,һосн,støvel
452,Ring::N,билцг,ring
453,Band::N,лент,band
454,Kamm::N,сам,kam
455,Spiegel::N,толь,speil
456,Riemen::N,бүс,rem
457,Schnur::N,деесн,snor
458,Leine::N,бурнтг,line
459,Leine::N,нохан көтлвр,line
460,Decke::N,көнҗл,teppe
461,Kissen::N,дер,pute
462,Tuch::N,альчур,tøy
463,Handtuch::N,полотенц,håndkle
464,Handtuch::N,һар-нүүрин альчур,håndkle
465,Kraft::N,күчн,kraft
466,Stärke::N,чидл,styrke
467,Gesundheit::N,эрүл-менд,helse
468,Gesundheit::N,эрүл-менд,sunnhet
469,Krankheit::N,өвчн,syke
470,Krankheit::N,өвчн,sykdom
471,Schmerz::N,өвдлһн,smerte
472,Wunde::N,шав,sår
473,Fieber::N,безг,feber
474,Arznei::N,эм,medisin
475,Arznei::N,эм,legemiddel
476,Brücke::N,тагт,bro
477,Brunnen::N,худг,brønn
478,Weide::N,малын идг,beite
479,Pfad::N,цувг,sti
480,Weg::N,хаалһ,vei
481,Straße::N,зам,gate
482,Dorf::N,хотн,landsby
483,Stadt::N,балһсн,by
484,Brief::N,бичг,brev
485,Buch::N,дегтр,bok
486,Buchstabe::N,үзг,bokstav
487,Zeitung::N,газет,avis
488,Leben::N,җирһл,liv
489,Tod::N,үкл,død
490,Tod::N,өңгрлһн,død
491,Grab::N,оршалһна нүкн,grav
492,Kirche::N,чонҗ,kirke
493,Sünde::N,нүл,synd
494,Sünde::N,килнц,synd
495,Gott::N,бурхн,gud
496,Arbeiter::N,көдлмшч,arbeider
497,Chef::N,толһач,sjef
498,Meister::N,урн,mester
499,Arzt::N,эмч,lege
500,Lehrer::N,багш,lærer
501,Geld::N,мөңгн,penger
502,Geschäft::N,көдлмш,forretning
503,Laden::N,лавк,butikk
504,Preis::N,үн,pris
505,Ware::N,эд-тавр,vare
506,Nutzen::N,олз,nytte
507,Reichtum::N,зөөр,rikdom
508,Welt::N,орчлң,verden
509,Welt::N,делкә,verden
510,Land::N,орн-нутг,land
511,Staat::N,государств,stat
512,König::N,хан,konge
513,Macht::N,йосн,makt
514,Grenze::N,меҗә,grense
515,Krieg::N,дән,krig
516,Feind::N,дәәсн,fiende
517,Gewalt::N,күч һарһлһн,vold
518,Kampf::N,ноолдан,kamp
519,Kampf::N,бәрлдлһн,kamp
520,Bogen[Waffe]::N,саадг,bue
521,Pfeil::N,сумн,pil
522,Gewehr::N,бу,gevær
523,Fehler::N,алдг,feil
524,Lüge::N,худл,løgn
525,Schaden::N,хорлт,skade
526,Unglück::N,гүрм,uhell
527,Schuld::N,гем,skyld
528,Schuld::N,буру,skyld
529,Alter::N,насн,alder
530,Schluss::N,чилгч,slutt
531,Zeit::N,цаг,tid
532,Tag::N,өдр,dag
533,Morgen::N,өрүн,morgen
534,Mittag::N,үд,middag
535,Abend::N,асхн,aften
536,Nacht::N,сө,natt
537,Woche::N,долан хонг,uke
538,Monat::N,сар,måned
539,Jahr::N,җил,år
540,Frühling::N,хавр,vår
541,Sommer::N,зун,sommer
542,Herbst::N,намр,høst
543,Winter::N,үвл,vinter
544,Januar::N,январь,januar
545,Februar::N,февраль,februar
546,März::N,март,mars
547,März::N,моһа сар,mars
548,April::N,апрель,april
549,Mai::N,май,mai
550,Juni::N,июнь,juni
551,Juni::N,мөчн сар,juni
552,Juli::N,июль,juli
553,August::N,август,august
554,September::N,һаха сар,september
555,Oktober::N,октябрь,oktober
556,November::N,ноябрь,november
557,November::N,үкр сар,november
558,Dezember::N,бар сар,desember
559,Montag::N,понедельник,mandag
560,Dienstag::N,вторник,tirsdag
561,Mittwoch::N,среда,onsdag
562,Mittwoch::N,үлмҗ өдр,onsdag
563,Donnerstag::N,четверг,torsdag
564,Donnerstag::N,пүрвә өдр,torsdag
565,Freitag::N,пятниц,fredag
566,Samstag::N,суббот,lørdag
567,Sonntag::N,нарн өдр,søndag
568,Sonntag::N,воскресень,søndag
569,groß::A,ик,stor
570,klein::A,бичкн,liten
571,lang::A,ут,lang
572,kurz::A,оһтр,kort
573,breit::A,өргн,bred
574,schmal::A,уутьхн,smal
575,dicht::A,нигт,tett
576,dick[Gegenstand]::A,зузан,tykk
577,dünn::A,нимгн,tynn
578,fein::A,нәрхн,fin
579,fest::A,бат,fast
580,flach::A,хавтха,flat
581,glatt::A,тегш,glatt
582,glatt::A,тиньгр,glatt
583,hart::A,хату,hard
584,weich::A,җөөлн,myk
585,weich::A,җөөлн,bløt
586,weich::A,җөөлкн,myk
587,weich::A,җөөлкн,bløt
588,rund::A,төгрг,rund
589,spitz::A,шовһр,spiss
590,scharf::A,хурц,kvass
591,stumpf::A,мука,stubb
592,schwer::A,күнд,tung
593,schön::A,сәәхн,pen
594,schön::A,сәәхн,vakker
595,heiß::A,халун,het
596,warm::A,дулан,varm
597,kalt::A,киитн,kald
598,kühl::A,серүн,kjølig
599,frisch::A,серүн,fersk
600,feucht::A,чиигтә,fuktig
601,nass::A,чиигтә,våt
602,trocken::A,хагсу,tørr
603,voll::A,дүүрң,full
604,leer::A,сул,tom
605,leer::A,хоосн,tom
606,offen::A,секәтә,åpen
607,geschlossen::A,хаалһата,lukket
608,sauber::A,цевр,ren
609,schmutzig::A,киртә,skitten
610,roh::A,түүкә,rå
611,reif::A,болсн,moden
612,lecker::A,әмтәхн,lekker
613,süß::A,әмтәхн,søt
614,bitter::A,һашун,besk
615,bitter::A,һашун,bitter
616,bitter::A,һашута,besk
617,bitter::A,һашута,bitter
618,sauer::A,ишклң,sur
619,hell::A,герлтә,lys
620,dunkel::A,харңһу,mørk
621,schwarz::A,хар,svart
622,weiß::A,цаһан,hvit
623,rot::A,улан,rød
624,gelb::A,шар,gul
625,blau::A,көк,blå
626,grün::A,көк,grønn
627,grau::A,бор,grå
628,bunt::A,алг,broket
629,bunt::A,эрәтә,broket
630,billig::A,кимд,billig
631,teuer::A,үнтә,dyr
632,wertvoll::A,үнтә,verdifull
633,wertvoll::A,эрднь,verdifull
634,blind::A,сохр,blind
635,taub::A,дүлә,døv
636,kräftig::A,күчтә,kraftig
637,stark::A,чаңһ,sterk
638,schwach::A,күчн тату,svak
639,fett::A,тарһн,fet
640,schlank::A,эццн,slank
641,hübsch::A,көркхн,pen
642,böse::A,уурта,slem
643,dumm::A,тенг,dum
644,faul::A,залху,lat
645,faul::A,залху,doven
646,fleißig::A,кинән,flittig
647,fleißig::A,кинмһә,flittig
648,geizig::A,ховдг,gjerrig
649,klug::A,ухата,klok
650,geschickt::A,чадмг,hendig
651,geschickt::A,чадмг,skikket
652,lieb::A,эңкр,kjær
653,lieb::A,эңкр,snill
654,lustig::A,сергмҗтә,morsom
655,lustig::A,җирһлтә,morsom
656,sanft::A,номһн,blid
657,hungrig::A,өлн,sulten
658,hungrig::A,харһнсн,sulten
659,krank::A,өвчтә,syk
660,krank::A,шалтгта,syk
661,nackt::A,нүцкн,naken
662,traurig::A,һундлта,sørgmodig
663,lebendig::A,әмд,levende
664,gut::A,сән,god
665,schlecht::A,му,dårlig
666,richtig::A,зөвтә,riktig
667,schlimm::A,җигшүртә,slem
668,wahr::A,үнн,sann
669,wahr::A,мөн,sann
670,alt::A,хуучн,gammel
671,neu::A,шин,ny
672,ehemalig::A,хуучн,forhenværende
673,alt[Lebewesen]::A,көгшн,gammel
674,jung::A,баһ,ung
675,arm::A,угатя,fattig
676,reich::A,байн,rik
677,bekannt::A,таньл,kjent
678,bekannt::A,таньдг,kjent
679,berühmt::A,туурсн,berømt
680,fremd::A,күүнә,fremmed
681,verschieden::A,әдл биш,forskjellig
682,verschieden::A,йилһәтә,forskjellig
683,nah::A,өөрхн,nær
684,fern::A,хол,fjern
685,linker::A,зүн,venstre
686,rechter::A,барун,høyre
687,anderer::A,талдан,annen
688,erster::A,негдгч,første
689,zweiter::A,хойрдгч,annen
690,dritter::A,һурвдгч,tredje
691,letzter::A,отхн,sist
692,allein::ADV,һанцарн,alene
693,auf einmal::ADV,нег дәкҗ,med ett
694,zusammen::ADV,хамдан,sammen
695,lange::ADV,удан,lenge
696,plötzlich::ADV,генткн,plutselig
697,sofort::ADV,дарунь,straks
698,später::ADV,сүүлд,senere
699,jetzt::ADV,ода,nå
700,heute::ADV,эндр,i dag
701,morgen::ADV,маңһдур,i morgen
702,bald::ADV,дарунь,snart
703,dann::ADV,дәкәд,så
704,gestern::ADV,өцклдүр,i går
705,einst::ADV,нег саамд,engang
706,damals::ADV,тиигхд,den gang
707,danach::ADV,тегәд,deretter
708,vorher::ADV,урд,før
709,vorher::ADV,урд,i forveien
710,zuerst::ADV,түрүләд,først
711,einmal::ADV,нег дәкҗ,en gang
712,manchmal::ADV,зәрмдән,somme tider
713,oft::ADV,хара биш,ofte
714,oft::ADV,хатяр биш,ofte
715,oft::ADV,дару-дарунь,ofte
716,immer::ADV,оньдинд,alltid
717,niemals::ADV,кезә чмгн биш,aldri
718,hier::ADV,энд,her
719,hier::ADV,энүнд,her
720,hierhin::ADV,нааран,hit
721,von hier::ADV,эндәс,herfra
722,dort::ADV,тенд,der
723,dorthin::ADV,тиигән,dit
724,geradeaus::ADV,шуд,rett fram
725,vorwärts::ADV,уралан,fram
726,vorwärts::ADV,уралан,framover
727,rückwärts::ADV,гедргән,baklengs
728,zurück::ADV,хәрү,tilbake
729,unten::ADV,дор,nede
730,hinab::ADV,дор,ned
731,hinab::ADV,дор,nedover
732,hinab::ADV,доракшан,ned
733,hinab::ADV,доракшан,nedover
734,oben::ADV,деер,oppe
735,oben::ADV,деер,ovenpå
736,hinauf::ADV,өөдән,opp
737,hinauf::ADV,өөдән,oppover
738,hinauf::ADV,деер,opp
739,hinauf::ADV,деер,oppover
740,überall::ADV,альд болв чигн,overalt
741,nicht::ADV,эс,ikke
742,nicht::ADV,биш,ikke
743,nicht::ADV,бичә,ikke
744,ein wenig::ADV,баахн,litt
745,ein wenig::ADV,баахнар,litt
746,kaum::ADV,әрә,neppe
747,sehr::ADV,йир,svært
748,so::ADV,иигҗ,så
749,noch::ADV,ода чигн,enda
750,nur::ADV,һанцхн,bare
751,schon::ADV,одх,alt
752,schon::ADV,одх,allerede
753,wieder::ADV,бас,igjen
754,vergebens::ADV,киидән,forgjeves
755,vor::PRP,урд,foran
756,vor::PRP,урд,utenfor
757,hinter::PRP,ца,bak
758,hinter::PRP,ца,bakom
759,unter::PRP,дор,under
760,durch::PRP,ивт,gjennom
761,durch::PRP,ивт,igjennom
762,durch::PRP,дундаһур,gjennom
763,durch::PRP,дундаһур,igjennom
764,neben::PRP,хаҗуд,ved siden av
765,zwischen::PRP,хоорнд,mellom
766,wegen::PRP,көлтә,på grunn av
767,wegen::PRP,деерәс,på grunn av
768,dies::PRN,эн,dette
769,das::PRN,тер,det
770,alles::PRN,цуһар,alt
771,ich::PRN,би,jeg
772,du::PRN,чи,du
773,er::PRN,тер,han
774,wir::PRN,мадн,vi
775,ihr::PRN,та,dere
776,sie::PRN,тедн,de
777,was::FPRN,юн,hva
778,wer::FPRN,кен,hvem
779,wo::FADV,хама,hvor
780,wohin::FADV,хамаран,hvor ... hen
781,wie::FADV,яһҗ,hvordan
782,wie::FADV,яһад,hvordan
783,warum::FADV,юңгад,hvorfor
784,wieviel::FNUM,кедү,hvor mye
785,eins::NUM,негн,en
786,eins::NUM,негн,ett
787,zwei::NUM,хойр,to
788,drei::NUM,һурвн,tre
789,vier::NUM,дөрвн,fire
790,fünf::NUM,тавн,fem
791,sechs::NUM,зурһан,seks
792,sieben::NUM,долан,sju
793,acht::NUM,нәәмн,åtte
794,neun::NUM,йисн,ni
795,zehn::NUM,арвн,ti
796,elf::NUM,арвн негн,elleve
797,zwölf::NUM,арвн хойр,tolv
798,zwanzig::NUM,хөрн,tjue
799,dreißig::NUM,һучн,tretti
800,vierzig::NUM,дөчн,førti
801,fünfzig::NUM,тәвн,femti
802,sechzig::NUM,җирн,seksti
803,siebzig::NUM,далн,sytti
804,achtzig::NUM,найн,åtti
805,neunzig::NUM,йирн,nitti
806,hundert::NUM,зун,hundre
807,tausend::NUM,миңһн,tusen
808,und::CNJ,болн,og
809,oder::CNJ,эс гиҗ,eller
810,oder::CNJ,эс гихлә,eller
811,stehen::V,зогсх,stå
812,sitzen::V,суух,sitte
813,liegen::V,кевтх,ligge
814,hängen::V,өлгәтә бәәх,henge
815,werden::V,болх,bli
816,passieren::V,болх,skje
817,passieren::V,болх,hende
