,Concept_ID,kl,mn
145,Stamm::N,kanaartaq,гуалин
146,Rinde::N,ameraq,холтос
147,Ast::N,avalequt,гишүү
148,Zweig::N,avalequt,салаа
149,Blatt::N,pilutaq,навч
150,Birke::N,patitsit,хус
151,Weide[Baum]::N,palleq,уд
152,Weide[Baum]::N,palleq,бургас
153,Tanne::N,orsuerneq,гачуур
154,Horn::N,nassuk,эвэр
155,Feder::N,suluk,өд
156,Fell::N,ameq,арьс
157,Flügel::N,suluk,жигүүр
158,Flügel::N,suluk,далавч
159,Flügel::N,isaroq,жигүүр
160,Flügel::N,isaroq,далавч
161,Klaue::N,kukik,савар
162,Klaue::N,kukik,хумс
163,Kralle::N,kukik,савар
164,Schwanz::N,pamioq,сүүл
165,Schwanz::N,paperuusaq,сүүл
166,Ei::N,mannik,өндөг
167,Nest::N,ullut,үүр
168,Bau::N,ini,нүх
169,Bau::N,ini,элүү
170,Tier::N,uumasoq,амьтан
171,Tier::N,uumasoq,адгуус
172,Herde::N,unguukkat,сүрэг
173,Kuh::N,ussik,үнээ
174,Bulle::N,angukulak,бух
175,Bulle::N,anguteralak,бух
176,Bulle::N,angutikulooq,бух
177,Schaf::N,sava,хонь
178,Schwein::N,puuluki,гахай
179,Hund::N,qimmeq,нохой
180,Katze::N,puisaaq,муур
181,Katze::N,puisaaq,мигуй
182,Bär::N,allaq,баавгай
183,Eichhörnchen::N,sissinnguaq,хэрэм
184,Fuchs::N,terianniaq,үнэг
185,Hase::N,ukaleq,туулай
186,Maus::N,teriannguaq,хулгана
187,Wolf::N,amaroq,чоно
188,Vogel::N,timmiaq,шувуу
189,Huhn::N,kukkukooq,тахиа
190,Huhn::N,marloraaqaaq,тахиа
191,Hahn::N,kiasiusaq,эр тахиа
192,Gans::N,nerleq,галуу
193,Adler::N,nattoralik,бүргэд
194,Eule::N,uppik,ууль
195,Kranich::N,qorlorfik,тогоруу
196,Krähe::N,tuluatsiaq,хэрээ
197,Kuckuck::N,kukkooq,хөхөө
198,Schwan::N,qussuk,хун
199,Fisch::N,aalisagaq,загас
200,Schlange[Tier]::N,pulateriarsuk,могой
201,Schlange[Tier]::N,pulateriaarsuk,могой
202,Spinne::N,aasiaq,аалз
203,Spinne::N,nissavaarsuk,аалз
204,Ameise::N,uniaaluk,шоргоолж
205,Laus::N,kumak,бөөс
206,Mücke::N,ippernaq,шумуул
207,Fliege::N,ippernaq,ялаа
208,Schmetterling::N,paluaq,эрвээхэй
209,Schmetterling::N,pakkaluaq,эрвээхэй
210,Schmetterling::N,utsuppaluaq,эрвээхэй
211,Schmetterling::N,taqaleqisaaq,эрвээхэй
212,Beere::N,paarmaq,жимсгэнэ
213,Beere::N,paarngaq,жимсгэнэ
214,Apfel::N,iipili,алим
215,Pilz::N,anngiusaq,мөөг
216,Zwiebel::N,uanitsoq,сонгино
217,Saat::N,naatsiiassaq,тариа
218,Korn::N,maannineq,үр
219,Korn::N,maannineq,мөхлөг
220,Schale::N,niutsivik,хальс
221,Schale::N,ilulissaq qaartussaq,хальс
222,Grube::N,itersaq,алам
223,Grube::N,itersaq,нүх
224,Falle::N,pualavoq,хавх
225,Falle::N,pualavoq,занга
226,Schlinge::N,orseq,урхи
227,Schlinge::N,norloq,урхи
228,Spur::N,tumaa,мөр
229,Asche::N,arsat,үнс
230,Dreck::N,minguk,хир
231,Eisen::N,savimineq,төмөр
232,Eisen::N,saffiugassaq,төмөр
233,Gold::N,kuulti,алт
234,Silber::N,siilviuvoq,мөнгө
235,Kohle::N,aamarsuit aamaruutissat,нүүрс
236,Glas::N,igalaaq,шил
237,Glas::N,imertarfik,шил
238,Glas::N,igalaamineq,шил
239,Lehm::N,marraq,шавар
240,Sand::N,sioqqat,элс
241,Mensch::N,inuk,хүн
242,Mensch::N,silamiu,хүн
243,Mann::N,angut,эр
244,Mann::N,angut,эрэгтэй
245,Frau::N,arnaq,эмэгтэй
246,Frau::N,arnaq,хатагтай
247,Kind::N,meeraq,хүүхэд
248,Junge::N,nukappiaraq,хүү
249,Mädchen::N,arnannguaq,охин
250,Mädchen::N,arnannguaq,бүсгүй
251,Familie::N,ilaqutakka,айл
252,Familie::N,ilaqutariit,айл
253,Großvater::N,aatak,өвгөн аав
254,Großmutter::N,aanaq,эмэг эх
255,Großmutter::N,aanaq,эмгээ
256,Eltern::N,angajoqqaat,эцэг эх
257,Vater::N,ataata,аав
258,Vater::N,ataata,эцэг
259,Vater::N,ataataq,аав
260,Vater::N,ataataq,эцэг
261,Mutter::N,anaana,эх
262,Mutter::N,anaana,ээж
263,Sohn::N,erneq,хүү
264,Tochter::N,panik,охин
265,Bruder::N,ani,ах
266,Bruder::N,ani,дүү
267,Bruder::N,aqqaluk,ах
268,Bruder::N,aqqaluk,дүү
269,Bruder::N,qatanngut,ах
270,Bruder::N,qatanngut,дүү
271,Schwester::N,naja,эгч
272,Schwester::N,naja,охин дүү
273,Schwester::N,aleqa,эгч
274,Schwester::N,aleqa,охин дүү
275,Schwester::N,qatanngut,эгч
276,Schwester::N,qatanngut,охин дүү
277,Onkel::N,akkak,авга ах
278,Onkel::N,akkak,нагац ах
279,Tante::N,aja,авга эгч
280,Tante::N,aja,нагац эгч
281,Tante::N,ajak,авга эгч
282,Tante::N,ajak,нагац эгч
283,Tante::N,atsak,авга эгч
284,Tante::N,atsak,нагац эгч
285,Ehemann::N,ui,нөхөр
286,Ehefrau::N,nuliaq,эхнэр
287,Ehefrau::N,nuliaq,гэргий
288,Freude::N,tipaatsussuseq,баяр
289,Freude::N,tipaatsussuseq,баясгалан
290,Gelächter::N,illaq,инээдэм
291,Glück::N,usornaat,жаргалан
292,Glück::N,usornarsuseq,жаргалан
293,Wunsch::N,kissaat,ерөөл
294,Lust::N,illigussuseq,дур
295,Lust::N,illigussuseq,хүсэл
296,Lust::N,piummaseq,дур
297,Lust::N,piummaseq,хүсэл
298,Geist::N,anerneq,оюун
299,Geist::N,toornaq,оюун
300,Gedanke::N,isumassaq,сэтгэл
301,Gedächtnis::N,eqqaamannissuseq,ой
302,Gedächtnis::N,eqqaamannissuseq,цээж
303,Verstand::N,isuma,ухаан
304,Verstand::N,sianissut,ухаан
305,Verstand::N,misigissut,ухаан
306,Verstand::N,sianissuseq,ухаан
307,Verstand::N,silaqassuseq,ухаан
308,Sinn::N,isuma,утга
309,Grund::N,patsit,учир
310,Wahrheit::N,sallusuissut,үнэн
311,Märchen::N,oqalualaarut,явган үлгэр
312,Märchen::N,oqaluasaaq,явган үлгэр
313,Erzählung::N,oqaluttuaq,тууж
314,Nachricht::N,oqaassut,мэдээ
315,Nachricht::N,oqqersuut,мэдээ
316,Neuigkeit::N,tusarnartaq,сонин
317,Name::N,ateq,нэр
318,Rätsel::N,nalorsitsaarut,оньсого
319,Rede::N,oqaluuseq,хэлсэн үг
320,Sprache::N,oqaatsit,хэл
321,Stimme::N,erinaq,дуу
322,Stimme::N,qarluuseq,дуу
323,Wort::N,oqaasii,үг
324,Zeichen::N,nalunaaqqut,тамга
325,Zeichen::N,nalunaaqqut,тэмдэг
326,Ruf::N,qaaqqussut,дуудлага
327,Lärm::N,perpaluk,шуугиан
328,Lärm::N,perpaluk,чимээ
329,Laut::N,torsukattak,анир
330,Laut::N,torsukattak,дуу
331,Ton::N,erinaq,авиа
332,Ton::N,erinaq,аялгуу
333,Lied::N,taalliaq,дуу
334,Lied::N,erinarsuut,дуу
335,Ruhe::N,qatsunganeq,энх
336,Ruhe::N,qatsunganeq,тайван
337,Leute::N,inuiak,хүмүүс
338,Leute::N,inuiaqatigiit,хүмүүс
339,Volk::N,inuiaat,улс
340,Arbeit::N,suliaq,ажил
341,Arbeit::N,suliaq,хөдөлмөр
342,Gast::N,qaaqqusaq,зочин
343,Gast::N,qaaqqusaq,айлчин
344,Geschenk::N,pajugut,бэлэг
345,Hilfe::N,annertoqqut,тусламж
346,Freund::N,tiliaq,найз
347,Freund::N,tiliaq,нөхөр
348,Freund::N,ikinngut,найз
349,Freund::N,ikinngut,нөхөр
350,Kamerad::N,tiliaq,хань
351,Kamerad::N,tiliaq,нөхөр
352,Kamerad::N,ikinngut,хань
353,Kamerad::N,ikinngut,нөхөр
354,Art::N,ileqquuseq,төрөл
355,Art::N,ileqquuseq,янз
356,Stück::N,nakkaalaniku,хэсэг
357,Teil::N,tassiaasat,хувь
358,Teil::N,tassiaasat,хэсэг
359,Hälfte::N,affaq,хагас
360,Kreis::N,kaajaluinneq or kaajaluitsoq,тойрог
361,Kreis::N,kaajaluinneq or kaajaluitsoq,хүрээ
362,Kreuz::N,sanningasulik,загалмай
363,Linie::N,tittaq,шугам
364,Linie::N,titarneq,шугам
365,Abstand::N,aku,зай
366,Abstand::N,ikiaq,зай
367,Entfernung::N,asi,зай
368,Entfernung::N,asi,хол ойр
369,Gegend::N,nuna,хавь
370,Gegend::N,nuna,газар
371,Platz::N,ini,зай
372,Platz::N,ini,завсар
373,Platz::N,inissaq,зай
374,Platz::N,inissaq,завсар
375,Ort::N,sumiiffik,газар
376,Ort::N,sumiiffik,байр
377,Seite::N,saneraq,тал
378,Seite::N,saneraq,этгээд
379,Mitte::N,qiteq,төв
380,Mitte::N,qiteq,дунд
381,Sache::N,pigisaq,үйл
382,Sache::N,pigisaq,хэрэг
383,Rand::N,sini,зах
384,Rand::N,sini,хөвөө
385,Rand::N,akerfineq,зах
386,Rand::N,akerfineq,хөвөө
387,Kante::N,akerfineq,ирмэг
388,Ecke::N,teqeqqoq,өнцөг
389,Ecke::N,tikeqqoq,өнцөг
390,Spitze::N,inngik,үзүүр
391,Ende::N,isu,зах
392,Ende::N,isu,үзүүр
393,Loch::N,putu,цоорхой
394,Loch::N,putu,онгорхой
395,Winkel::N,teqeqqorissaat,өнцөг
396,Muster::N,ilisserut,хээ
397,Muster::N,ilisserut,угалз
398,Größe::N,angissuseq,хэмжээ
399,Länge::N,takissuseq,урт
400,Gewicht::N,oqimaalutaq,жин
401,Menge::N,amerlassuseq,тоо
402,Haufen::N,eqimattat,бөөн
403,Reihe::N,allunaasaq,эгнээ
404,Boot::N,qajaq,завь
405,Boot::N,angallat,завь
406,Boot::N,umiatsiaq,завь
407,Ruder::N,iput,сэлүүр
408,Schlitten::N,qamutit,чарга
409,Schlitten::N,qimusseq,чарга
410,Ski::N,ataarut,цана
411,Last::N,nammagaq,ачаа
412,Schritt::N,allorneq,алхам
413,Norden::N,avannaq,умар
414,Süden::N,qava,урд
415,Süden::N,qava,өмнө
416,Süden::N,kujat,урд
417,Süden::N,kujat,өмнө
418,Süden::N,kujataa,урд
419,Süden::N,kujataa,өмнө
420,Westen::N,kitaa,өрнө
421,Westen::N,kitaa,баруун
422,Osten::N,kangi,зүүн
423,Osten::N,kangi,дорно
424,Holz::N,qisuk,мод
425,Brett::N,salliligaq,банз
426,Platte::N,qaateq,хавтан
427,Stütze::N,ajagutaq,тулгуур
428,Stütze::N,ajagutaq,тулга
429,Stütze::N,ajaagutaq,тулгуур
430,Stütze::N,ajaagutaq,тулга
431,Stange::N,kaaviffik,сургааг
432,Stock::N,ajaappissat,саваа
433,Stab::N,ajaappissat,таяг
434,Rohr::N,sullulik,хоолой
435,Haus::N,illu,гэр
436,Haus::N,illu,байшин
437,Ofen::N,kissarsuut,зуух
438,Ofen::N,kissarsuut,пийшин
439,Fußboden::N,nateq,шал
440,Tisch::N,allattarfik,ширээ
441,Stuhl::N,issiavik,сандал
442,Stuhl::N,issiaffik,сандал
443,Wiege::N,uaasoq,өлгий
444,Bett::N,nallavik,ор
445,Regal::N,ilisivik,тавиур
446,Kiste::N,sakissat,авдар
447,Kiste::N,sakissat,хайрцаг
448,Kiste::N,illerfiusaq,авдар
449,Kiste::N,illerfiusaq,хайрцаг
450,Fenster::N,aki,гэгээвч
451,Fenster::N,igalaaq,гэгээвч
452,Tür::N,matu,үүд
453,Tür::N,matu,хаалга
454,Tor::N,isaaffik,хаалга
455,Zaun::N,saputit,хашаа
456,Dach::N,qaliaq,дээвэр
457,Leiter::N,tummeqqat,шат
458,Leiter::N,majuartarfiit,шат
459,Besen::N,saligutit,хамуур
460,Besen::N,saligutit,туужуу
461,Spaten::N,nivaataq,хүрз
462,Schaufel::N,nivaataq,хүрз
463,Gabel::N,qilluaq,сэрээ
464,Gabel::N,ajassaatit,сэрээ
465,Löffel::N,alussaat,халбага
466,Messer::N,savik,хутга
467,Nagel::N,kukik,хадаас
468,Netz::N,anguffaseq,өөш
469,Netz::N,anguffaseq,тор
470,Haken::N,nissik,гох
471,Haken::N,qarsorsaq,гох
472,Haken::N,qarsorsartoq,гох
473,Griff::N,ipi,иш
474,Griff::N,ipi,сэнж
475,Schloss::N,illussaarsuaq,цуурга
476,Schloss::N,illussaarsuaq,цоож
477,Bild::N,assiliaq,зураг
478,Figur::N,kisitsit,баримал
479,Puppe::N,inuusaq,хүүхэлдэй
480,Bündel::N,qilertaq,боодол
481,Tasche::N,pooqattaq,цүнх
482,Deckel::N,matu,таг
483,Deckel::N,matu,хавхаг
484,Geschirr::N,anut,сав суулга
485,Tasse::N,tiitorfik,аяга
486,Tasse::N,tiitorfiup ilorlia,аяга
487,Topf::N,qoqqoq,тогоо
488,Kessel::N,uunnaavik,тогоо
489,Essen::N,igaaq,идээ
490,Nahrung::N,neqissaq,хүнс
491,Speise::N,nerisassat,идээ
492,Fleisch::N,neqi,мах
493,Getreide::N,maannineq,будаа
494,Brot::N,iffit,талх
495,Brot::N,iffiaq,талх
496,Scheibe::N,igalaassiaq,зүсэм
497,Scheibe::N,igalaassiaq,хэрчим
498,Fett::N,tarnutissaq,өөх
499,Fett::N,tarnutissiaq,өөх
500,Butter::N,punneq,тос
501,Öl::N,uulia,тос
502,Salz::N,taratsut,давс
503,Suppe::N,qajoq,шөл
504,Honig::N,tungusunnitsuut,бал
505,Milch::N,immuk,сүү
506,Tee::N,tii,цай
507,Tee::N,teeq,цай
508,Wolle::N,nuersagassiaq,ноос
509,Wolle::N,nuersagassiaq,унгас
510,Stoff::N,milliaq,бөс
511,Stoff::N,qarlissiaq,бөс
512,Nadel::N,meqqut,зүү
513,Faden::N,ujalussiaq,боолт
514,Faden::N,ujalussiaq,утас
515,Knopf::N,attat,товч
516,Knoten::N,akeroq,зангилаа
517,Knoten::N,qilerneq,зангилаа
518,Farbe::N,qalipaat,будаг
519,Kleidung::N,atisat,хувцас
520,Kleidung::N,annoraaq,хувцас
521,Hemd::N,ilupaaq,цамц
522,Kragen::N,qungasiinnaq,зах заам
523,Ärmel::N,aaq,ханцуй
524,Hose::N,qarliit,өмд
525,Gürtel::N,qiterut,бүс
526,Gürtel::N,unngersaq,бүс
527,Mütze::N,nasaq,малгай
528,Mütze::N,nasaq,бүрх
529,Schuh::N,skuu,туфли
530,Schuh::N,ikernuk,туфли
531,Schuh::N,ateraasaq,туфли
532,Stiefel::N,kamik,гутал
533,Ring::N,assammiu,бөгж
534,Band::N,qilerutissiaq,тууз
535,Kamm::N,illaagutit,сам
536,Kamm::N,illaajaatit pl.,сам
537,Spiegel::N,tarrarsuut,толь
538,Riemen::N,allunaaq,тасам
539,Riemen::N,allunaaq,сур
540,Schnur::N,kujaaq,татлага
541,Schnur::N,allunaasaq,татлага
542,Leine::N,aleq,оосор
543,Decke::N,qipik,хөнжил
544,Decke::N,qipik,хучлага
545,Kissen::N,akit,дэр
546,Tuch::N,qarlissiaq,алчуур
547,Tuch::N,qarlissiaq,даавуу
548,Handtuch::N,allarut,алчуур
549,Handtuch::N,allarterut,алчуур
550,Kraft::N,pissak,чадал
551,Kraft::N,pissak,хүч
552,Stärke::N,qerattarsaat,эрч
553,Stärke::N,qerattarsaat,тэнхээ
554,Gesundheit::N,peqqisusseq,бие
555,Gesundheit::N,peqqisusseq,эрүүл мэнд
556,Krankheit::N,nappaat,эмгэг
557,Schmerz::N,anniaat,өвчин
558,Wunde::N,iki,шарх
559,Fieber::N,nappaat qanimanartoq,халуун
560,Arznei::N,imigassaq,эм
561,Brücke::N,ikaartarfik,гүүр
562,Brunnen::N,tissaluttuliaq,худаг
563,Weide::N,masarsuk,бэлчээр
564,Pfad::N,aqqut,жим
565,Pfad::N,aqqut,зөрөг
566,Weg::N,aggerfik,зам
567,Weg::N,aggerfik,харгуй
568,Straße::N,aqqusineq,зам
569,Straße::N,aqqusineq,харгуй
570,Dorf::N,nunaqarfik,тосгон
571,Dorf::N,nunaqarfik,гацаа
572,Stadt::N,illorpaat,хот
573,Stadt::N,illorpalik,хот
574,Brief::N,allagarsiaq,захидал
575,Brief::N,allagarsiaq,захиа
576,Buch::N,atuakkat,ном
577,Buch::N,atuakkat,бичиг
578,Buch::N,mappersagaq,ном
579,Buch::N,mappersagaq,бичиг
580,Buchstabe::N,naqinneq,үсэг
581,Zeitung::N,aviisi,сонин
582,Leben::N,inuussuseq,амь
583,Leben::N,inuussuseq,амьдрал
584,Tod::N,toqu,үхэл
585,Tod::N,toquneq,үхэл
586,Grab::N,iliveq,булш
587,Grab::N,illissat,булш
588,Kirche::N,oqaluffik,сүм
589,Sünde::N,ajorti,нүгэл
590,Sünde::N,ajorti,хилэнц
591,Arbeiter::N,sulisoq,ажилчин
592,Arbeiter::N,sulisoq,хөдөлмөрчин
593,Chef::N,ittoqut,дарга
594,Meister::N,naalagaq,дархан
595,Arzt::N,katsorsaasoq,эмч
596,Lehrer::N,ilinniartitsisoq,багш
597,Geld::N,aningaasat,цаас
598,Geld::N,aningaasat,мөнгө
599,Geschäft::N,niuertarfik,наймаа
600,Laden::N,niuertarfik,дэлгүүр
601,Preis::N,aki,үнэ
602,Ware::N,qaliata pii,таваар
603,Ware::N,qaliata pii,бараа
604,Ware::N,nioqqutissaq,таваар
605,Ware::N,nioqqutissaq,бараа
606,Nutzen::N,iluaqut,ашиг
607,Welt::N,nunarsuaq,дэлхий
608,Welt::N,nunarsuaq,орчлон
609,Land::N,nuna,улс
610,Land::N,nuna,орон
611,König::N,kunngi,ван
612,Macht::N,pissaassuseq,засаг
613,Grenze::N,killik,хил
614,Krieg::N,sorsunneq,дайн
615,Feind::N,akeraq,дайсан
616,Feind::N,akerartorti,дайсан
617,Feind::N,qinngarsuisoq,дайсан
618,Kampf::N,sorsunneq,тэмцэл
619,Kampf::N,sorsunneq,байлдаан
620,Pfeil::N,qalugiusaq,годил
621,Pfeil::N,qalugiusaq,сум
622,Gewehr::N,aallaat,буу
623,Fehler::N,kukkuneq,эндэл
624,Fehler::N,kukkuneq,алдаа
625,Fehler::N,paarlaappaa,эндэл
626,Fehler::N,paarlaappaa,алдаа
627,Unglück::N,perluut,гай
628,Unglück::N,perluut,гамшиг
629,Schuld::N,akiitsugaq,гэм
630,Schuld::N,akiitsugaq,буруу
631,Schuld::N,akiligassaq,гэм
632,Schuld::N,akiligassaq,буруу
633,Alter::N,utoqqaq,нас
634,Schluss::N,isu,эцэс
635,Schluss::N,isu,төгсгөл
636,Zeit::N,ulloq,цаг
637,Zeit::N,akuttoqatigiinneq,цаг
638,Tag::N,ulloq,өдөр
639,Morgen::N,ullaaq,өглөө
640,Mittag::N,ulloqeqqa,үд
641,Abend::N,unnuk,үдэш
642,Nacht::N,unnuaq,шөнө
643,Woche::N,sapaatip akunnera,долоо хоног
644,Monat::N,qaammat,сар
645,Jahr::N,ukioq,жил
646,Frühling::N,upernaaq,хавар
647,Sommer::N,aasaq,зун
648,Herbst::N,ukiaq,намар
649,Winter::N,ukioq,өвөл
650,Januar::N,siulleeq,нэгдүгээр сар
651,Januar::N,qaammaliaq,нэгдүгээр сар
652,Februar::N,aarlaat,хоёрдугаар сар
653,März::N,marsi,гуравдугаар сар
654,März::N,martsi,гуравдугаар сар
655,Mai::N,maaji,тавдугаар сар
656,Juni::N,juuni,зургаадугаар сар
657,Juli::N,juuli,долдугаар сар
658,August::N,aggusti,наймдугаар сар
659,September::N,septembari,есдүгээр сар
660,Oktober::N,oktobari,аравдугаар сар
661,November::N,novembari,арван нэгдүгээр сар
662,Dezember::N,detsembari,арван хоёрдугаар сар
663,Montag::N,ataasinngortoq,даваа
664,Dienstag::N,marlunngorneq,мягмар
665,Mittwoch::N,pingasunngorneq,лхагва
666,Donnerstag::N,sisamanngorneq,пүрэв
667,Freitag::N,tallimanngorneq,баасан
668,Samstag::N,arfininngorneq,бямба
669,Sonntag::N,sapaat,ням
670,Sonntag::N,sapaati,ням
671,groß::A,angivoq,их
672,groß::A,angivoq,том
673,klein::A,mikivoq,бага
674,klein::A,mikivoq,жаахан
675,lang::A,takisooq,урт
676,kurz::A,naatsoq,охор
677,kurz::A,naatsoq,богино
678,breit::A,silippoq,өргөн
679,schmal::A,amitsoq,уйтан
680,schmal::A,amitsoq,нарийн
681,dicht::A,torsusooq,нягт
682,dicht::A,torsusooq,чигжүү
683,dick[Gegenstand]::A,issuvoq,зузаан
684,dick[Gegenstand]::A,issusooq,зузаан
685,dünn::A,amitsoq,нимгэн
686,fein::A,mamarpoq,нарийн
687,fest::A,tangeqarpoq,бөх
688,fest::A,tangeqarpoq,хатуу
689,flach::A,nalimmappoq,хавтгай
690,glatt::A,quasak,цагаан
691,hart::A,mattusooq,хатуу
692,hart::A,manngerpoq,хатуу
693,hart::A,titeqquluppoq,хатуу
694,weich::A,nerumaarpoq,зөөлөн
695,rund::A,ammallorippoq,дугуй
696,rund::A,ammallorippoq,дугариг
697,spitz::A,qummukujooq,шовх
698,spitz::A,qummukujooq,шовгор
699,scharf::A,ipippoq,хурц
700,scharf::A,ipippoq,иртэй
701,stumpf::A,anngerpoq,мохоо
702,schwer::A,oqimaappoq,хүнд
703,schön::A,kusanarpoq,гуа
704,schön::A,kusanarpoq,сайхан
705,heiß::A,kiappoq,халуун
706,warm::A,oqorpoq,дулаан
707,kalt::A,issippoq,хүйтэн
708,kühl::A,pueqqortippoq,сэрүүн
709,feucht::A,isugutavoq,чийгтэй
710,feucht::A,qaasernarpoq,чийгтэй
711,nass::A,imerorpoq,нойтон
712,trocken::A,panerpoq,хатсан
713,voll::A,ulikkaarpoq,дүүрэн
714,leer::A,imaattuarpoq,хоосон
715,offen::A,ammavoq,онгорхой
716,geschlossen::A,matuvoq,битүү
717,geschlossen::A,matuvoq,хаалтай
718,sauber::A,eqqippoq,цэвэр
719,sauber::A,eqqippoq,хиргүй
720,sauber::A,sukuluippoq,цэвэр
721,sauber::A,sukuluippoq,хиргүй
722,sauber::A,ipeqanngilaq,цэвэр
723,sauber::A,ipeqanngilaq,хиргүй
