,Concept_ID,sq,ab
78,Funke::N,xixë,акəиц
79,Funke::N,xixë,ацҧхь
80,Funke::N,shkëndijë,акəиц
81,Funke::N,shkëndijë,ацҧхь
82,Feuer::N,zjarr,амца
83,Licht::N,dritë,алашара
84,Schatten::N,hije,ашəшьыра
85,Wetter::N,mot,амш
86,Nebel::N,mjegull,анаҟəа
87,Wolke::N,re,аҧсҭҳəа
88,Regen::N,shi,ақəа
89,Schnee::N,borë,асы
90,Eis::N,akull,аҵаа
91,Frost::N,ngricë,аҵаа
92,Kälte::N,të ftohtë,ахьҭа
93,Hitze::N,vapë,ашоура
94,Hitze::N,nxehtësi,ашоура
95,Raureif::N,cikmë,аҵааҧшқа
96,Regenbogen::N,ylber,ацəаҟəа
97,Donner::N,gjëmim,адыд
98,Donner::N,bubullimë,адыд
99,Strömung::N,rrymë,аиасра
100,Strömung::N,rrymë,амҩасра
101,Tropfen::N,pikë,ацəыкəбар
102,Schaum::N,shkumë,ашəах
103,Schmutz::N,baltë,алымт
104,See::N,liqen,аӡиа
105,Sumpf::N,batak,аӡмах
106,Moor::N,kënetë,
107,Wiese::N,livadh,адəы
108,Wald::N,pyll,абна
109,Hügel::N,kodër,ахəы
110,Anhöhe::N,bregore,аҳаракыра
111,Berg::N,mal,ашьха
112,Gipfel::N,kulm,ацəқəа
113,Höhle::N,shpellë,аҳаҧы
114,Höhle::N,zgafelle,аҳаҧы
115,Abhang::N,shpat,анаара
116,Abhang::N,tatëpjetë,анаара
117,Quelle::N,krua,аҵҵырҭа
118,Quelle::N,burim,аҵҵырҭа
119,Bach::N,virua,акəараҷҷа
120,Fluss::N,lumë,аӡиас
121,Ufer::N,breg,ахықə
122,Küste::N,anëdet,ахықə
123,Küste::N,bregdet,ахықə
124,Festland::N,kontinent,абарра
125,Meer::N,det,амшын
126,Bucht::N,gji deti,аӡбжьахала
127,Insel::N,ishull,адгьылбжьаха
128,Insel::N,ujdhesë,адгьылбжьаха
129,Blume::N,lule,ашəҭ
130,Gras::N,bar,аҳасакьын
131,Wurzel::N,rrënjë,адац
132,Baum::N,pemë,аҵла
133,Stamm::N,trung,ашьапы
134,Rinde::N,lëvore,ацəа
135,Ast::N,degë,амахə
136,Ast::N,degë,амахəҭа
137,Zweig::N,bisk,амахə
138,Zweig::N,bisk,амахəҭа
139,Blatt::N,fletë,абҕьы
140,Blatt::N,gjethe,абҕьы
141,Birke::N,mështekën,аҵааҵла
142,Kiefer[Baum]::N,pishë,амза
143,Weide[Baum]::N,shelg,аҧслыш
144,Tanne::N,bredh,аҧсаӡ
145,Horn::N,bri,атəыҩа
146,Feder::N,pupël,ахӡы
147,Fell::N,lëkurë,ацəа
148,Flügel::N,krah,амҵəыжəа
149,Flügel::N,fletë,амҵəыжəа
150,Klaue::N,kthetër,ашьапхыц
151,Kralle::N,thua,
152,Kralle::N,kthetër,
153,Schwanz::N,bisht,аҵыхəа
154,Ei::N,vezë,акəтаӷь
155,Nest::N,fole,аҭра
156,Nest::N,fole,аҵысҭра
157,Bau::N,strofkë,аҭыҩра
158,Tier::N,kafshë,аҧстəы
159,Tier::N,kafshë,агыгшəыг
160,Herde::N,kope,агəарҭа
161,Herde::N,grigjë,агəарҭа
162,Kuh::N,lopë,ажə
163,Bulle::N,dem,ацə
164,Pferd::N,kalë,аҽы
165,Schaf::N,dele,ауаса
166,Schwein::N,derr,аҳəа
167,Hund::N,qen,ала
168,Katze::N,mace,ацгəы
169,Bär::N,ari,амшə
170,Eichhörnchen::N,ketër,аеш
171,Elch::N,dre brilopatë,аҽаҩа
172,Fuchs::N,dhelpër,абгахəыҷы
173,Hase::N,lepur,ажьа
174,Maus::N,mi,аҳəынаҧ
175,Wolf::N,ujk,абгаду
176,Vogel::N,zog,аҧсаатə
177,Vogel::N,shpend,аҧсаатə
178,Schwarm::N,luzmë,
179,Huhn::N,pulë,акəты
180,Hahn::N,gjel,арбаҕь
181,Hahn::N,këndes,арбаҕь
182,Gans::N,patë,аҟыз
183,Adler::N,shqiponjë,ауарба
184,Ente::N,rosë,акəата
185,Eule::N,buf,аты
186,Kranich::N,lejlek,апҟа
187,Kranich::N,kurrillë,апҟа
188,Krähe::N,sorrë,аҟəараан
189,Kuckuck::N,qyqe,акəыкəу
190,Schwan::N,mjellmë,агьад
191,Fisch::N,peshk,аҧсыӡ
192,Barsch::N,purtekë,ацəыбла
193,Hecht::N,mlysh,ахиаала
194,Schlange[Tier]::N,gjarpër,амаҭ
195,Wurm::N,krimb,ахəа
196,Wurm::N,krimb,ахəац
197,Spinne::N,marimangë,абызкаҭаҳа
198,Ameise::N,thnegël,ашышкамс
199,Ameise::N,milingonë,ашышкамс
200,Laus::N,morr,аҵа
201,Mücke::N,kunup,акəыбры
202,Mücke::N,mushkonjë,акəыбры
203,Fliege::N,mizë,амҵ
204,Schmetterling::N,flutur,аҧарҧалыкь
205,Beere::N,frutë,аргуц
206,Beere::N,manaferrë,аргуц
207,Apfel::N,mollë,аҵəа
208,Pilz::N,kërpudhë,акəкəбаа
209,Zwiebel::N,qepë,аџьымшьы
210,Zwiebel::N,qepë,аџьымшьхы
211,Saat::N,farë,ажəла
212,Korn::N,grurë,арыц
213,Korn::N,kokërr,арыц
214,Heu::N,sanë,аҭəа
215,Schale::N,lëkurë,ацəа
216,Grube::N,gropë,ажра
217,Grube::N,gropë,атыша
218,Falle::N,kurth,арыҧҟьа
219,Falle::N,grackë,арыҧҟьа
220,Schlinge::N,nyjë,аҟəараҟəантə
221,Spur::N,gjurmë,ашьҭа
222,Asche::N,hi,ахəа
223,Dreck::N,baltë,аҳəынҵəа
224,Dreck::N,baltë,аҟьамсар
225,Eisen::N,hekur,аиха
226,Gold::N,ar,ахьы
227,Gold::N,flori,ахьы
228,Silber::N,argjend,аразны
229,Kohle::N,qymyr,арацəа
230,Glas::N,qelq,асаркьа
231,Lehm::N,argjilë,анышəаҧшь
232,Sand::N,rërë,аҧслымӡ
233,Mensch::N,njeri,ауаҩы
234,Mann::N,burrë,ахаҵа
235,Mann::N,mashkull,ахаҵа
236,Frau::N,grua,аҧҳəыс
237,Frau::N,femër,аҧҳəыс
238,Kind::N,kalama,ахəыҷы
239,Junge::N,djalë,аҷкəын
240,Junge::N,djalë,ахаҵарҧыс
241,Mädchen::N,gocë,аӡӷаб
242,Mädchen::N,vajzë,аӡӷаб
243,Familie::N,familje,аҭаацəа
244,Großvater::N,gjysh,абду
245,Großmutter::N,gjyshe,анду
246,Eltern::N,prindër,ани аби
247,Vater::N,atë,аб
248,Mutter::N,nënë,ан
249,Sohn::N,bir,аҧа
250,Tochter::N,bijë,аҧҳа
251,Bruder::N,vëlla,аиашьа
252,Schwester::N,motër,Аҳəшьа
253,Onkel::N,dajë,абиашьа
254,Onkel::N,dajë,аншьа
255,Onkel::N,xhaxha,абиашьа
256,Onkel::N,xhaxha,аншьа
257,Tante::N,teze,абиаҳəшьа
258,Tante::N,hallë,абиаҳəшьа
259,Ehemann::N,burrë,ахаҵа
260,Ehemann::N,burrë,аҧшəма
261,Ehemann::N,bashkëshort,ахаҵа
262,Ehemann::N,bashkëshort,аҧшəма
263,Ehefrau::N,grua,аҧҳəыс
264,Ehefrau::N,bashkëshorte,аҧҳəыс
265,Freude::N,gaz,агəырӷьара
266,Freude::N,gëzim,агəырӷьара
267,Gelächter::N,qeshje,ачча
268,Gelächter::N,qeshje,аччара
269,Glück::N,lumturi,аразҟы
270,Kummer::N,brengë,агəырҩа
271,Kummer::N,pikëllim,агəырҩа
272,Wunsch::N,dëshirë,агəхəтəы
273,Wunsch::N,dëshirë,аҭахра
274,Lust::N,epsh,агəазыҳəара
275,Lust::N,dashuri,агəазыҳəара
276,Geist::N,frymë,аҧсы
277,Geist::N,shpirt,аҧсы
278,Gedanke::N,ide,ахəыцырҭа
279,Gedanke::N,mendim,ахəыцырҭа
280,Gedächtnis::N,kujtesë,агəынкылара
281,Verstand::N,mend,ахшыҩ
282,Sinn::N,kuptim,аҵакы
283,Grund::N,arsye,амзыз
284,Wahrheit::N,vërtetë,аиаша
285,Gespräch::N,bisedim,аиҿцәажәара
286,Märchen::N,përrallë,алакə
287,Erzählung::N,tregim,ажәабжь
288,Nachricht::N,lajm,адырраҭара
289,Neuigkeit::N,risi,ажәабжь ҿыц
290,Name::N,emër,ахьӡ
291,Rätsel::N,gjëzë,ацуфара
292,Rätsel::N,gjëegjëzë,ацуфара
293,Rede::N,fjalim,ажәа
294,Sprache::N,gjuhë,абызшəа
295,Stimme::N,zë,абжьы
296,Wort::N,fjalë,ажәа
297,Zeichen::N,shenjë,адырга
298,Ruf::N,thirrmë,аҿҭы
299,Lärm::N,zhurmë,ашьҭыбжь
300,Laut::N,tingull,ашьҭыбжь
301,Ton::N,ton,атон
302,Lied::N,këngë,ашəа
303,Ruhe::N,qetësi,аҭынчра
304,Leute::N,botë,ауаа
305,Leute::N,njerëz,ауаа
306,Volk::N,popull,ажəлар
307,Arbeit::N,punë,аусура
308,Gast::N,mik,асас
309,Gast::N,mysafir,асас
310,Geschenk::N,dhuratë,аҳамҭа
311,Geschenk::N,dhuratë,аҿанҵа
312,Geschenk::N,peshqesh,аҳамҭа
313,Geschenk::N,peshqesh,аҿанҵа
314,Spiel::N,lojë,ахəмарра
315,Gesellschaft::N,shoqëri,агəыҧ
316,Hilfe::N,ndihmë,ацхыраара
317,Freund::N,mik,аҩыза
318,Kamerad::N,shok,Аҧхнагьла
319,Angelegenheit::N,punë,аус
320,Anzahl::N,sasi,ахыҧхьаӡара
321,Art::N,lloj,ахкы
322,Stück::N,copë,аҽыҭ
323,Teil::N,pjesë,ахəҭа
324,Hälfte::N,gjysmë,абжа
325,Kreis::N,qark,агьагьа
326,Kreis::N,rreth,агьагьа
327,Kreuz::N,kryq,аџьар
328,Linie::N,vijë,аицтәар
329,Strich::N,vizë,ацəаҳəа
330,Abstand::N,distancë,абжьара
331,Entfernung::N,largim,абжьара
332,Gegend::N,vise,аҭыҧ
333,Gegend::N,krahinë,аҭыҧ
334,Platz::N,shesh,аҭыҧ
335,Ort::N,vend,аҭыҧ
336,Seite::N,anë,аган
337,Mitte::N,mes,агəҭа
338,Gegenstand::N,send,амаҭəар
339,Sache::N,gjë,
340,Sache::N,send,
341,Rand::N,qoshe,аҵкар
342,Kante::N,teh,авардым
343,Ecke::N,qoshe,акəакь
344,Spitze::N,majë,аҧынҵа
345,Ende::N,skaj,анаӡара
346,Ende::N,bisht,анаӡара
347,Loch::N,vrimë,акылҵəара
348,Winkel::N,kënd,агҿаҩра
349,Winkel::N,kënd,акəындхə
350,Winkel::N,kënd,акəакь
351,Muster::N,mostër,аҟҟа
352,Größe::N,madhësi,изаҟароу
353,Länge::N,gjatësi,аура
354,Höhe::N,lartësi,агылара
355,Gewicht::N,peshë,акапан
356,Menge::N,sasi,
357,Haufen::N,grumbull,ачаҟəа
358,Reihe::N,radhë,ацəаҳəа
359,Reihe::N,rresht,ацəаҳəа
360,Boot::N,barkë,анышь
361,Boot::N,lundër,анышь
362,Ruder::N,rrem,ажəҩа
363,Schlitten::N,sajë,ашəаҩауардын
364,Ski::N,ski,ашəаҩа
365,Ski::N,ski,ашьахаха
366,Lagerfeuer::N,flakadan,еиқуу амца
367,Lagerfeuer::N,zjarr i madh,еиқуу амца
368,Last::N,barrë,ахьанҭара
369,Gang::N,ecje,аныҟəара
370,Schritt::N,hap,ашьаҿа
371,Norden::N,veri,аҩада
372,Süden::N,jug,алада
373,Westen::N,perëndim,амраҭашəара
374,Osten::N,lindje,амрагылара
375,Holz::N,dru,амҿымаҭəахə
376,Brett::N,dërrasë,аӷəы
377,Platte::N,pllakë,ахаҳәцәы
378,Stütze::N,shtyllë,аҵаргəа
379,Stütze::N,shtyllë,агəышьаҟа
380,Stütze::N,mbështetesë,аҵаргəа
381,Stütze::N,mbështetesë,агəышьаҟа
382,Stange::N,shufër,акьат
383,Stock::N,dajak,алаба
384,Stab::N,shkop,акьат
385,Rohr::N,tub,абыкь
386,Haus::N,shtëpi,аҩны
387,Heim::N,konak,аҭаацəа
388,Heim::N,shtëpi,аҭаацəа
389,Ofen::N,sobë,аҳақə
390,Ofen::N,sobë,ауаџьаҟ
391,Ofen::N,sobë,афрына
392,Ofen::N,stufë,аҳақə
393,Ofen::N,stufë,ауаџьаҟ
394,Ofen::N,stufë,афрына
395,Fußboden::N,dysheme,адашьма
396,Tisch::N,tryezë,аишәа
397,Stuhl::N,karrige,аҟəардə
398,Wiege::N,djep,агара
399,Bett::N,shtrat,акаруаҭ
400,Regal::N,raft,акыӷəра
401,Kiste::N,kuti,аидчаҧала
402,Fenster::N,dritare,аҧенџьыр
403,Tür::N,derë,ашə
404,Tor::N,portë,агəашə
405,Zaun::N,gardh,аанда
406,Dach::N,çati,ахыб
407,Leiter::N,shkallë,амардуан
408,Besen::N,fshesë,аҧссага
409,Spaten::N,lopatë,ажыга
410,Schaufel::N,qyrek,аҭəарӷəы
411,Gabel::N,pirun,ачқьыҧ
412,Löffel::N,lugë,амҳаҵə
413,Messer::N,thikë,аҳəызба
414,Nagel::N,gozhdë,аҵəымӷ
415,Netz::N,rrjetë,акаҭа
416,Haken::N,grep,аҵəаҳə
417,Haken::N,grremç,аҵəаҳə
418,Griff::N,dorak,амаа
419,Griff::N,dorezë,амаа
420,Schloss::N,bravë,асаҧаҭ
421,Bild::N,tablo,асахьа
422,Bild::N,pikturë,асахьа
423,Figur::N,figurë,афигура
424,Puppe::N,kukull,акьанџьа
425,Beutel::N,qese,асакь
426,Beutel::N,trastë,асакь
427,Bündel::N,deng,аҿаҳəара
428,Tasche::N,çantë,арҭмаҟ
429,Eimer::N,kovë,аведра
430,Deckel::N,kapak,ахҩа
431,Deckel::N,mbulesë,ахҩа
432,Geschirr::N,enë,ачысмаҭəа
433,Sack::N,thes,асакь
434,Sack::N,torbë,асакь
435,Tasse::N,filxhan,аҵəца
436,Topf::N,kusi,акаструлиа
437,Topf::N,tenxhere,акаструлиа
438,Kessel::N,kazan,ачуан
439,Essen::N,ngrënie,
440,Nahrung::N,ushqim,афатə
441,Speise::N,gatesë,афатə
442,Fleisch::N,mish,акəац
443,Getreide::N,drithë,ачакуа
444,Brei::N,qull,ақашь
445,Brot::N,bukë,ача
446,Scheibe::N,fetë,аҽыҭ
447,Scheibe::N,fetë,аҿаҵа
448,Fett::N,lyrë,ашша
449,Fett::N,yndyrë,ашша
450,Butter::N,gjalpë,ахəша
451,Öl::N,vaj,азеҭ
452,Salz::N,kripë,аџьыка
453,Suppe::N,supë,асуҧ
454,Suppe::N,çorbë,асуҧ
455,Honig::N,mjaltë,ацха
456,Milch::N,qumësht,ахш
457,Tee::N,çaj,ачаи
458,Leder::N,lëkurë,ацəа
459,Wolle::N,lesh,аласа
460,Stoff::N,pëlhurë,Аба
461,Nadel::N,gjilpërë,агəыр
462,Faden::N,pe,арахəыц
463,Faden::N,fije,арахəыц
464,Knopf::N,kopsë,аҳəынҵəра
465,Knoten::N,komb,аиқəҳəала
466,Farbe::N,bojë,ашəыга
467,Kleidung::N,veshje,амаҭəа
468,Hemd::N,këmishë,акьаҿ
469,Kragen::N,jakë,ахəда
470,Ärmel::N,mëngë,амаӷра
471,Hose::N,brekë,аиқəа
472,Gürtel::N,rrip,амаҟа
473,Mütze::N,kësulë,ахылҧа
474,Schuh::N,këpucë,аимаа
475,Stiefel::N,çizme,амагə
476,Ring::N,unazë,амацəаз
477,Band::N,shirit,алента
478,Kamm::N,krehër,ахҳəа
479,Spiegel::N,pasqyrë,асаркьа
480,Riemen::N,rrip,аа
481,Schnur::N,litar,ашаха
482,Schnur::N,cikomë,ашаха
483,Leine::N,rrip,аҕура
484,Decke::N,batanije,ахыза
485,Kissen::N,jastëk,ахчы
486,Tuch::N,shami,акасы
487,Handtuch::N,peshqir,ампахьшьы
488,Kraft::N,forcë,амч
489,Stärke::N,koll,амч
490,Gesundheit::N,shëndet,агəабзиара
491,Krankheit::N,sëmundje,ачымазара
492,Schmerz::N,dhimbje,ахьаа
493,Wunde::N,plagë,ахəра
494,Fieber::N,ethe,ашоура
495,Arznei::N,ilaç,ахəшə
496,Brücke::N,urë,ацҳа
497,Brunnen::N,pus,аҵыџь
498,Weide::N,kullotë,аҳəырҭа
499,Pfad::N,ravë,амхəасҭа
500,Pfad::N,shteg,амхəасҭа
501,Weg::N,udhë,амҩа
502,Weg::N,shteg,амҩа
503,Straße::N,rrugë,амҩа
504,Dorf::N,fshat,ақыҭа
505,Dorf::N,katund,ақыҭа
506,Stadt::N,qytet,ақалақь
507,Brief::N,letër,ашəҟəы
508,Buch::N,libër,ашəҟəы
509,Buchstabe::N,shkronjë,анбан
510,Zeitung::N,gazetë,агазеҭ
511,Leben::N,jetë,аҧсҭазаара
512,Tod::N,mortje,аҧсра
513,Grab::N,varr,анышəынҭра
514,Kirche::N,kishë,ауахəама
515,Sünde::N,mëkat,агəнаҳа
516,Sünde::N,gjynah,агəнаҳа
517,Gott::N,hy,анцəа
518,Gott::N,zot,анцəа
519,Arbeiter::N,punëtor,аусуҩ
520,Chef::N,shef,Аиҳабы
521,Chef::N,drejtues,Аиҳабы
522,Meister::N,mjeshtër,аҟаза
523,Arzt::N,mjek,аҳақьым
524,Arzt::N,doktor,аҳақьым
525,Lehrer::N,mësues,арҵаҩы
526,Lehrer::N,arsimtar,арҵаҩы
527,Geld::N,para,аҧара
528,Geld::N,holla,аҧара
529,Geschäft::N,ujdi,
530,Geschäft::N,biznes,
531,Laden::N,dyqan,амагазин
532,Preis::N,çmim,ахə
533,Ware::N,mall,атауар
534,Nutzen::N,dobi,ақьар
535,Nutzen::N,leverdi,ақьар
536,Reichtum::N,kamje,абеиара
537,Reichtum::N,pasuri,абеиара
538,Welt::N,botë,адунеи
539,Land::N,vend,атəыла
540,Staat::N,shtet,аҳəынҭқарра
541,König::N,mbret,акрал
542,Macht::N,fuqi,амчра
543,Macht::N,pushtet,амчра
544,Grenze::N,kufi,аҳəаа
545,Krieg::N,luftë,аибашьра
546,Feind::N,armik,Аҕа
547,Gewalt::N,dhunë,ақəымчра
548,Kampf::N,luftim,ақəҧара
549,Bogen[Waffe]::N,hark,ахыц
550,Pfeil::N,shigjetë,ахəымпал
551,Gewehr::N,pushkë,ашəақь
552,Fehler::N,gafë,агха
553,Fehler::N,gabim,агха
554,Lüge::N,gënjeshtër,амц
555,Schaden::N,dëm,аҧырхага
556,Schaden::N,zarar,аҧырхага
557,Unglück::N,fatkeqësi,арыцҳара
558,Schuld::N,faj,ахара
559,Alter::N,moshë,ақəра
560,Schluss::N,fund,анҵəамҭа
561,Zeit::N,kohë,аамта
562,Tag::N,ditë,амш
563,Morgen::N,mëngjes,ашара
564,Morgen::N,mëngjes,ашьыбжь
565,Mittag::N,mesditë,шьыбжьон
566,Abend::N,mbrëmje,ахəылҧаз
567,Abend::N,mbrëmje,ахəлбыҽха
568,Nacht::N,natë,аҵх
569,Woche::N,javë,амчыбжь
570,Monat::N,muaj,
571,Jahr::N,vit,
572,Frühling::N,pranverë,ааҕын
573,Sommer::N,verë,аҧхын
574,Herbst::N,vjeshtë,ҭагалан
575,Herbst::N,vjeshtë,хкаарачан
576,Winter::N,dimër,аӡын
577,Januar::N,janar,ианвар
578,Februar::N,shkurt,февраль
579,März::N,mars,март
580,April::N,prill,апрель
581,Mai::N,maj,маи
582,Juni::N,qershor,иуун
583,Juli::N,korrik,иууль
584,August::N,gusht,август
585,September::N,shtator,сентиабр
586,Oktober::N,tetor,октиабр
587,November::N,nëntor,ноиабр
588,Dezember::N,dhjetor,декабр
589,Montag::N,hënë,ашəахьа
590,Dienstag::N,martë,аҩаша
591,Mittwoch::N,mërkurë,ахаша
592,Donnerstag::N,enjte,аҧшьаша
593,Freitag::N,premte,ахəаша
594,Samstag::N,shtunë,асабша
595,Sonntag::N,diel,амҽыша
596,groß::A,madh,аду
597,klein::A,vogël,амаҷ
598,lang::A,gjatë,ахəхəа
599,kurz::A,shkurtër,акьаҿ
600,breit::A,gjerë,аиужь
601,breit::A,gjerë,аиҵых
602,schmal::A,ngushtë,аҭшəа
603,dicht::A,dendur,аилач
604,dick[Gegenstand]::A,trashë,ажəпа
605,dünn::A,hollë,
606,fein::A,imët,апа
607,fein::A,imët,аҵаӷа
608,fein::A,imët,аӡа
609,fest::A,fortë,аҟаца
610,fest::A,fortë,аӷəӷəаҟаца
611,flach::A,sheshtë,ақəаҟьа
612,flach::A,sheshtë,аҧаҟьа
613,glatt::A,rrafshët,аимаҩзы
614,hart::A,fortë,акьакьа
615,weich::A,butë,атата
616,rund::A,rrumbullakët,акəмпыл
617,spitz::A,majëmprehtë,аҵар
618,scharf::A,mprehtë,аҵар
619,stumpf::A,topitur,ацагə
620,schwer::A,rëndë,ахьанҭа
621,schön::A,bukur,аҧшӡа
622,heiß::A,nxehtë,ашы
623,warm::A,ngrohtë,аҧха
624,kalt::A,ftohtë,ахьшəашəа
625,kühl::A,freskët,ахьшəашəа
626,kühl::A,freskët,ицәыхьшәашәоу
627,frisch::A,pastër,цқьа
628,feucht::A,lagësht,ацəаак
629,nass::A,lagur,абааӡа
630,trocken::A,thatë,Аба
631,trocken::A,thatë,аҩа
632,voll::A,plotë,азна
633,leer::A,bosh,аҭацəы
634,leer::A,zbrazët,аҭацəы
635,offen::A,hapur,аарта
636,geschlossen::A,mbyllur,ихҩоу
637,geschlossen::A,mbyllur,иаркыу
638,sauber::A,dëlirë,ацқьа
639,schmutzig::A,ndyrë,аҟьашь
640,roh::A,gjallë,
641,reif::A,arrirë,Арҭ
642,reif::A,arrirë,аҟала
643,reif::A,arrirë,иҟалахьоу
644,lecker::A,shijshëm,ахаа
645,süß::A,ëmbël,азла
646,bitter::A,hidhur,аша
647,sauer::A,thartë,аҵəҵəы
648,hell::A,me dritë,алаша
649,dunkel::A,errët,алашьца
650,schwarz::A,i zi,аиқуаҵәа
651,weiß::A,bardhë,ашкəакəа
652,rot::A,kuq,аҟаҧшь
653,gelb::A,verdhë,аҩеижь
654,blau::A,blu,аҽҵәа
655,blau::A,kaltër,аҽҵәа
656,grün::A,blertë,ашьацҧшҭəала
657,grün::A,blertë,аеҵəа
658,grün::A,gjelbër,ашьацҧшҭəала
659,grün::A,gjelbër,аеҵəа
660,grau::A,hirtë,ацəыш
661,grau::A,bojë hiri,ацəыш
662,bunt::A,shumëngjyrëshëm,Аилыҕраа
663,bunt::A,shumëngjyrëshëm,аҕраҷкəын
664,billig::A,lirë,амариа
665,teuer::A,shtrenjtë,амҩан
666,wertvoll::A,çmuar,кыр иаҕсоу
667,wertvoll::A,çmuar,акыр иаҕсоу
668,wertvoll::A,vlershëm,кыр иаҕсоу
669,wertvoll::A,vlershëm,акыр иаҕсоу
670,blind::A,qorr,алашə
671,blind::A,verbër,алашə
672,taub::A,shurdhër,адагəа
673,kräftig::A,fuqishëm,аӷəӷəа
674,stark::A,fortë,абаҟа
675,schwach::A,dobët,акəада
676,fett::A,dhjamur,аҧсыла
677,schlank::A,hollë,акала
678,schlank::A,hollë,акьалантар
679,schlank::A,hollë,аиҿартə
680,hübsch::A,bukur,аҧшӡа
681,hübsch::A,hijshëm,аҧшӡа
682,böse::A,keq,абааҧсы
683,dumm::A,teveqel,агаӡа
684,faul::A,dembel,аашьа
685,fleißig::A,zellshëm,иҟубҷоу
686,geizig::A,kurnac,акы
687,geizig::A,kurnac,акаҷбеи
688,geizig::A,kurnac,аҟəџьыр
689,geizig::A,dorështrënguar,акы
690,geizig::A,dorështrënguar,акаҷбеи
691,geizig::A,dorështrënguar,аҟəџьыр
692,klug::A,mençur,аҟəыш
693,klug::A,mençur,аҟəыӷа
694,geschickt::A,aftë,напҟазала
695,lieb::A,dashur,алашара
696,lustig::A,gëzuar,алах-ҿых
697,lustig::A,gëzuar,игурҕьаччо
698,lustig::A,gëzuar,агурҕьа
699,lustig::A,gëzuar,агурҿыхага
700,sanft::A,butë,атата
701,sanft::A,butë,аҟəымшəышə
702,sanft::A,butë,ақьыҧш
703,hungrig::A,uritur,амлашь
704,krank::A,sëmurë,ачымазаҩ
705,nackt::A,lakuriq,аҟьантаз
706,nackt::A,zhveshur,аҟьантаз
707,traurig::A,trishtuar,алахьеиқəҵага
708,lebendig::A,gjallë,абза
709,gut::A,mirë,абзиа
710,schlecht::A,keq,-хəарҭам
711,richtig::A,drejtë,иашоу
712,schlimm::A,keq,абааҧсы
713,wahr::A,vërtetë,агəҭылса
714,wahr::A,vërtetë,абзиаҵəҟьа
715,alt::A,vjetër,Ажə
716,neu::A,i ri,аҿыц
717,ehemalig::A,dikurshëm,анкьатәи
718,alt[Lebewesen]::A,plak,абырг
719,alt[Lebewesen]::A,plak,ақабада
