,Concept_ID,lt,he
381,Stütze::N,atrama,משען
382,Stütze::N,atspara,משען
383,Stange::N,lazda,מוט
384,Stange::N,kartis,מוט
385,Stock::N,lazda,מקל
386,Stab::N,kartis,מוט
387,Rohr::N,vamzdis,צנור
388,Haus::N,namas,בית
389,Heim::N,namai,בית
390,Ofen::N,krosnis,תנור
391,Fußboden::N,grindys,רצפה
392,Tisch::N,stalas,שלחן
393,Stuhl::N,kėdė,כסא
394,Wiege::N,lopšys,ערש
395,Bett::N,lova,מטה
396,Bett::N,patalai,מטה
397,Regal::N,lentyna,מדף
398,Kiste::N,dėžė,תבה
399,Kiste::N,dėžė,ארגז
400,Fenster::N,langas,חלון
401,Tür::N,durys,דלת
402,Tor::N,vartai,שער
403,Zaun::N,tvora,גדר
404,Dach::N,stogas,גג
405,Leiter::N,kopėčios,סלם
406,Besen::N,šluota,מטאטא
407,Spaten::N,lopeta,את
408,Spaten::N,kastuvas,את
409,Schaufel::N,semtuvas,את
410,Gabel::N,šakutė,מזלג
411,Löffel::N,šaukštas,כף
412,Messer::N,peilis,סכין
413,Nagel::N,vinis,מסמר
414,Netz::N,tinklas,רשת
415,Haken::N,vagis,וו
416,Haken::N,vagis,קרס
417,Haken::N,kablys,וו
418,Haken::N,kablys,קרס
419,Griff::N,kotas,ידית
420,Griff::N,rankena,ידית
421,Schloss::N,spyna,מנעול
422,Schloss::N,užraktas,מנעול
423,Bild::N,paveikslas,תמונה
424,Figur::N,figūra,פסל
425,Puppe::N,lėlė,בבה
426,Beutel::N,krepšys,שק
427,Beutel::N,maišelis,שק
428,Bündel::N,ryšulys,צרור
429,Tasche::N,krepšelis,שקית
430,Eimer::N,kibiras,דלי
431,Deckel::N,dangtis,מכסה
432,Geschirr::N,indai,כלים
433,Sack::N,maišas,שק
434,Tasse::N,puodukas,ספל
435,Topf::N,puodas,סיר
436,Kessel::N,katilas,קנקן
437,Essen::N,valgis,אכל
438,Essen::N,valgis,ארוחה
439,Nahrung::N,penas,הזנה
440,Nahrung::N,penas,תזונה
441,Nahrung::N,maistas,הזנה
442,Nahrung::N,maistas,תזונה
443,Speise::N,patiekalas,מאכל
444,Speise::N,patiekalas,ארוחה
445,Fleisch::N,mėsa,בשר
446,Getreide::N,javai,דגן
447,Brei::N,košė,מחית
448,Brot::N,duona,לחם
449,Scheibe::N,riekė,עגול
450,Scheibe::N,riekė,פרוסה
451,Fett::N,taukai,שמן
452,Fett::N,riebalai,שמן
453,Butter::N,sviestas,חמאה
454,Öl::N,aliejus,שמן
455,Salz::N,druska,מלח
456,Suppe::N,sriuba,מרק
457,Honig::N,medus,דבש
458,Milch::N,pienas,חלב
459,Tee::N,arbata,תה
460,Leder::N,oda,עור
461,Wolle::N,vilna,צמר
462,Stoff::N,audeklas,בד
463,Stoff::N,audeklas,אריג
464,Nadel::N,adata,מחט
465,Faden::N,gija,חוט
466,Faden::N,siūlas,חוט
467,Knopf::N,saga,כפתור
468,Knoten::N,mazgas,קשר
469,Farbe::N,dažai,צבע
470,Kleidung::N,rūbai,בגדים
471,Kleidung::N,drabužiai,בגדים
472,Hemd::N,marškiniai,חלצה
473,Kragen::N,apykaklė,צוארון
474,Ärmel::N,rankovė,שרוול
475,Hose::N,kelnės,מכנסים
476,Gürtel::N,juosta,חגורה
477,Gürtel::N,diržas,חגורה
478,Mütze::N,kepurė,כובע
479,Schuh::N,batas,נעל
480,Stiefel::N,auliniai batai,מגף
481,Ring::N,žiedas,טבעת
482,Band::N,kaspinas,סרט
483,Kamm::N,šukos,מסרק
484,Spiegel::N,veidrodis,מראה
485,Riemen::N,diržas,רצועה
486,Schnur::N,virvė,חבל
487,Leine::N,pavadėlis,מושכות
488,Decke::N,antklodė,שמיכה
489,Kissen::N,pagalvė,כרית
490,Kissen::N,priegalvis,כרית
491,Tuch::N,skarelė,צעיף
492,Handtuch::N,rankšluostis,מגבת
493,Kraft::N,jėga,כוח
494,Stärke::N,stiprumas,און
495,Gesundheit::N,sveikata,בריאות
496,Krankheit::N,liga,מחלה
497,Schmerz::N,skausmas,כאב
498,Wunde::N,žaizda,פציעה
499,Fieber::N,karštis,חם
500,Arznei::N,vaistas,תרופה
501,Brücke::N,tiltas,גשר
502,Brunnen::N,šulinys,באר
503,Weide::N,ganykla,אחו
504,Weide::N,ganykla,מרעה
505,Weide::N,gluosnis,אחו
506,Weide::N,gluosnis,מרעה
507,Pfad::N,takas,שביל
508,Pfad::N,takas,מדרכה
509,Weg::N,kelias,דרך
510,Straße::N,gatvė,כביש
511,Dorf::N,kaimas,כפר
512,Dorf::N,sodžius,כפר
513,Stadt::N,miestas,עיר
514,Brief::N,laiškas,מכתב
515,Buch::N,knyga,ספר
516,Buchstabe::N,raidė,אות
517,Zeitung::N,laikraštis,עתון
518,Leben::N,gyvybė,חיים
519,Leben::N,gyvenimas,חיים
520,Tod::N,mirtis,מות
521,Grab::N,kapas,קבר
522,Kirche::N,bažnyčia,כנסיה
523,Sünde::N,nuodėmė,חטא
524,Sünde::N,nusidėjimas,חטא
525,Gott::N,dievas,אל
526,Arbeiter::N,darbininkas,פועל
527,Chef::N,šefas,ראש
528,Chef::N,šefas,מנהל
529,Chef::N,vadovas,ראש
530,Chef::N,vadovas,מנהל
531,Chef::N,viršininkas,ראש
532,Chef::N,viršininkas,מנהל
533,Meister::N,meistras,ממחה
534,Arzt::N,gydytojas,רופא
535,Lehrer::N,mokytojas,מורה
536,Geld::N,pinigai,כסף
537,Geschäft::N,biznis,עסקה
538,Laden::N,krautuvė,חנות
539,Laden::N,parduotuvė,חנות
540,Preis::N,kaina,מחיר
541,Ware::N,prekė,סחורה
542,Nutzen::N,nauda,תועלת
543,Nutzen::N,pelnas,תועלת
544,Reichtum::N,turtas,עשר
545,Welt::N,pasaulis,עולם
546,Land::N,žemė,ארץ
547,Land::N,šalis,ארץ
548,Staat::N,valstija,מדינה
549,König::N,karalius,מלך
550,Macht::N,galia,כוח
551,Macht::N,valdžia,כוח
552,Grenze::N,riba,גבול
553,Grenze::N,siena,גבול
554,Krieg::N,karas,מלחמה
555,Feind::N,priešas,אויב
556,Gewalt::N,jėga,אלימות
557,Gewalt::N,smurtas,אלימות
558,Gewalt::N,prievarta,אלימות
559,Kampf::N,kova,קרב
560,Kampf::N,kova,לחימה
561,Bogen[Waffe]::N,lankas,קשת
562,Pfeil::N,strėlė,חץ
563,Gewehr::N,šautuvas,רובה
564,Fehler::N,klaida,טעות
565,Lüge::N,melas,שקר
566,Schaden::N,nuostolis,נזק
567,Schaden::N,apgadinimas,נזק
568,Unglück::N,nelaimė,מזל רע
569,Schuld::N,kaltė,אשמה
570,Alter::N,amžius,גיל
571,Schluss::N,pabaiga,סיום
572,Zeit::N,laikas,זמן
573,Tag::N,diena,יום
574,Morgen::N,rytas,בקר
575,Mittag::N,vidurdienis,צהרים
576,Abend::N,vakaras,ערב
577,Nacht::N,naktis,לילה
578,Woche::N,savaitė,שבוע
579,Monat::N,mėnuo,חדש
580,Jahr::N,metai,שנה
581,Frühling::N,pavasaris,אביב
582,Sommer::N,vasara,קיץ
583,Herbst::N,ruduo,סתו
584,Winter::N,žiema,חרף
585,Januar::N,sausis,ינואר
586,Februar::N,vasaris,פברואר
587,März::N,kovas,מרץ
588,April::N,balandis,אפריל
589,Mai::N,gegužė,מאי
590,Juni::N,birželis,יוני
591,Juli::N,liepa,יולי
592,August::N,rugpjūtis,אוגוסט
593,September::N,rugsėjis,ספטמבר
594,Oktober::N,spalis,אוקטובר
595,November::N,lapkritis,נובמבר
596,Dezember::N,gruodis,דצמבר
597,Montag::N,pirmadienis,יום שני
598,Dienstag::N,antradienis,יום שלישי
599,Mittwoch::N,trečiadienis,יום רביעי
600,Donnerstag::N,ketvirtadienis,יום חמישי
601,Freitag::N,penktadienis,יום ששי
602,Samstag::N,šeštadienis,יום שבת
603,Sonntag::N,sekmadienis,יום ראשון
604,groß::A,didis,גדול
605,groß::A,didelis,גדול
606,klein::A,mažas,קטן
607,lang::A,ilgas,ארך
608,kurz::A,trumpas,קצר
609,breit::A,platus,רחב
610,schmal::A,smulkus,צר
611,dicht::A,tankus,צפוף
612,dick[Gegenstand]::A,storas,עבה
613,dünn::A,plonas,דק
614,fein::A,smulkus,מעדן
615,fest::A,kietas,מוצק
616,fest::A,tvirtas,מוצק
617,flach::A,lėkštas,שטוח
618,flach::A,plokščias,שטוח
619,glatt::A,slidus,חלק
620,hart::A,kietas,קשיח
621,weich::A,minkštas,רך
622,rund::A,apvalus,עגל
623,rund::A,apskritas,עגל
624,spitz::A,aštrus,חד
625,spitz::A,smailus,חד
626,scharf::A,aštrus,חד
627,stumpf::A,bukas,קהה
628,stumpf::A,atšipęs,קהה
629,schwer::A,sunkus,כבד
630,schön::A,gražus,יפה
631,heiß::A,karštas,חם
632,warm::A,šiltas,חם
633,kalt::A,šaltas,קר
634,kühl::A,vėsus,צונן
635,kühl::A,bejausmis,צונן
636,frisch::A,šviežias,טרי
