,Concept_ID,et,ru
274,Ruhe::N,rahu,покой
275,Ruhe::N,vaikus,покой
276,Leute::N,inimesed,люди
277,Volk::N,rahvas,народ
278,Arbeit::N,töö,работа
279,Gast::N,külaline,гость
280,Geschenk::N,kingitus,подарок
281,Spiel::N,mäng,игра
282,Gesellschaft::N,selts,общество
283,Hilfe::N,abi,помощь
284,Freund::N,sõber,друг
285,Kamerad::N,sõber,приятель
286,Angelegenheit::N,asi,дело
287,Anzahl::N,arv,количество
288,Anzahl::N,hulk,количество
289,Art::N,liik,вид
290,Stück::N,tükk,кусок
291,Teil::N,osa,часть
292,Hälfte::N,pool,половина
293,Kreis::N,ring,круг
294,Kreuz::N,rist,крест
295,Linie::N,joon,линия
296,Strich::N,joon,черта
297,Abstand::N,vahe,промежуток
298,Entfernung::N,kaugus,расстояние
299,Entfernung::N,vahemaa,расстояние
300,Gegend::N,ümbrus,местность
301,Platz::N,ruum,пространство
302,Ort::N,paik,место
303,Seite::N,pool,сторона
304,Mitte::N,keskpaik,середина
305,Gegenstand::N,ese,предмет
306,Sache::N,ese,вещь
307,Rand::N,äär,край
308,Rand::N,serv,край
309,Kante::N,kant,ребро
310,Ecke::N,nurk,угол
311,Spitze::N,teravik,кончик
312,Ende::N,ots,конец
313,Ende::N,jupp,конец
314,Loch::N,auk,дыра
315,Winkel::N,nurk,угол
316,Muster::N,muster,узор
317,Größe::N,suurus,размер
318,Länge::N,pikkus,длина
319,Höhe::N,kõrgus,высота
320,Gewicht::N,kaal,вес
321,Gewicht::N,raskus,вес
322,Menge::N,arv,количество
323,Menge::N,hulk,количество
324,Haufen::N,hunnik,куча
325,Reihe::N,rivi,ряд
326,Boot::N,paat,лодка
327,Ruder::N,aer,весло
328,Schlitten::N,saan,сани
329,Ski::N,suusk,лыжа
330,Lagerfeuer::N,lõke,костер
331,Last::N,koorem,тяжесть
332,Gang::N,käik,ход
333,Schritt::N,samm,шаг
334,Norden::N,põhi,север
335,Süden::N,lõuna,юг
336,Westen::N,lääs,запад
337,Osten::N,ida,восток
338,Holz::N,puu,древесина
339,Brett::N,saelaud,доска
340,Platte::N,plaat,плита
341,Stütze::N,tugi,подпорка
342,Stange::N,latt,жердь
343,Stange::N,teivas,жердь
344,Stock::N,kepp,палка
345,Stab::N,varras,шест
346,Rohr::N,toru,труба
347,Haus::N,maja,дом
348,Heim::N,kodu,дом
349,Ofen::N,ahi,печь
350,Fußboden::N,põrand,пол
351,Tisch::N,laud,стол
352,Stuhl::N,tool,стул
353,Wiege::N,häll,колыбель
354,Wiege::N,kätki,колыбель
355,Bett::N,voodi,постель
356,Regal::N,riiul,полка
357,Kiste::N,kast,ящик
358,Fenster::N,aken,окно
359,Tür::N,uks,дверь
360,Tor::N,värav,ворота
361,Zaun::N,aed,забор
362,Zaun::N,tara,забор
363,Dach::N,katus,крыша
364,Leiter::N,redel,лестница
365,Besen::N,luud,метла
366,Spaten::N,labidas,лопата
367,Schaufel::N,kühvel,совок
368,Gabel::N,kahvel,вилка
369,Löffel::N,lusikas,ложка
370,Messer::N,nuga,нож
371,Nagel::N,nael,гвоздь
372,Netz::N,võrk,сеть
373,Haken::N,haak,крюк
374,Haken::N,konks,крюк
375,Griff::N,sang,ручка
376,Griff::N,käepide,ручка
377,Schloss::N,lukk,замок
378,Bild::N,pilt,картина
379,Figur::N,kuju,фигура
380,Figur::N,kujund,фигура
381,Puppe::N,nukk,кукла
382,Beutel::N,paun,мешок
383,Bündel::N,kimp,связка
384,Tasche::N,kott,сумка
385,Eimer::N,pang,ведро
386,Eimer::N,ämber,ведро
387,Deckel::N,kaas,крышка
388,Geschirr::N,nõud,посуда
389,Sack::N,kott,мешок
390,Tasse::N,tass,чашка
391,Topf::N,pada,кастрюля
392,Kessel::N,pada,котел
393,Essen::N,söök,еда
394,Nahrung::N,toit,пища
395,Speise::N,roog,блюдо
396,Speise::N,roog,кушанье
397,Fleisch::N,liha,мясо
398,Getreide::N,teravili,хлеб
399,Brei::N,puder,каша
400,Brot::N,sai,хлеб
401,Brot::N,leib,хлеб
402,Scheibe::N,viil,ломоть
403,Scheibe::N,viilukas,ломоть
404,Fett::N,rasv,жир
405,Butter::N,või,масло
406,Öl::N,õli,масло
407,Salz::N,sool,соль
408,Suppe::N,supp,суп
409,Honig::N,mesi,мед
410,Milch::N,piim,молоко
411,Tee::N,tee,чай
412,Leder::N,nahk,кожа
413,Wolle::N,vill,шерсть
414,Stoff::N,kangas,ткань
415,Nadel::N,nõel,игла
416,Faden::N,niit,нитка
417,Knopf::N,nööp,пуговица
418,Knoten::N,sõlm,узел
419,Farbe::N,värv,краска
420,Kleidung::N,riided,одежда
421,Kleidung::N,riietus,одежда
422,Hemd::N,särk,рубашка
423,Kragen::N,krae,воротник
424,Ärmel::N,varrukas,рукав
425,Hose::N,püksid,брюки
426,Gürtel::N,vöö,пояс
427,Mütze::N,müts,шапка
428,Schuh::N,king,ботинок
429,Stiefel::N,saabas,сапог
430,Ring::N,sõrmus,кольцо
431,Band::N,lint,лента
432,Kamm::N,kamm,расческа
433,Spiegel::N,peegel,зеркало
434,Riemen::N,rihm,ремень
435,Schnur::N,nöör,веревка
436,Leine::N,jalutusrihm,поводок
437,Decke::N,tekk,одеяло
438,Kissen::N,padi,подушка
439,Tuch::N,kalev,платок
440,Handtuch::N,käterätik,полотенце
441,Kraft::N,jõud,сила
442,Stärke::N,tugevus,крепость
443,Gesundheit::N,tervis,здоровье
444,Krankheit::N,haigus,болезнь
445,Schmerz::N,valu,боль
446,Wunde::N,haav,рана
447,Fieber::N,palavik,лихорадка
448,Fieber::N,palavik,температура
449,Arznei::N,ravim,лекарство
450,Brücke::N,sild,мост
451,Brunnen::N,kaev,колодец
452,Weide::N,karjamaa,пастбище
453,Pfad::N,rada,тропа
454,Weg::N,tee,путь
455,Weg::N,tee,дорога
456,Straße::N,tee,улица
457,Straße::N,tee,дорога
458,Dorf::N,küla,деревня
459,Stadt::N,linn,город
460,Brief::N,kiri,письмо
461,Buch::N,raamat,книга
462,Buchstabe::N,täht,буква
463,Zeitung::N,ajaleht,газета
464,Leben::N,elu,жизнь
465,Tod::N,surm,смерть
466,Grab::N,haud,могила
467,Kirche::N,kirik,церковь
468,Sünde::N,patt,грех
469,Gott::N,jumal,бог
470,Arbeiter::N,tööline,рабочий
471,Chef::N,ülemus,начальник
472,Chef::N,juhataja,начальник
473,Meister::N,meister,мастер
474,Arzt::N,arst,врач
475,Lehrer::N,õpetaja,учитель
476,Geld::N,raha,деньги
477,Geschäft::N,äri,занятие
478,Laden::N,pood,магазин
479,Laden::N,kauplus,магазин
480,Preis::N,hind,цена
481,Ware::N,kaup,товар
482,Nutzen::N,tulu,выгода
483,Nutzen::N,kasulikkus,выгода
484,Reichtum::N,rikkus,богатство
485,Welt::N,maailm,мир
486,Land::N,maa,страна
487,Staat::N,riik,государство
488,König::N,kuningas,король
489,Macht::N,võim,власть
490,Grenze::N,piir,граница
491,Krieg::N,sõda,война
492,Feind::N,vaenlane,враг
493,Gewalt::N,väevõim,насилие
494,Kampf::N,võitlus,борьба
495,Bogen[Waffe]::N,vibu,лук
496,Pfeil::N,nool,стрела
497,Gewehr::N,püss,ружье
498,Fehler::N,viga,ошибка
499,Lüge::N,vale,ложь
500,Schaden::N,kahju,вред
501,Unglück::N,häda,беда
502,Unglück::N,õnnetus,беда
503,Schuld::N,süü,вина
504,Alter::N,iga,возраст
505,Schluss::N,lõpp,окончание
506,Zeit::N,aeg,время
507,Tag::N,päev,день
508,Morgen::N,hommik,утро
509,Mittag::N,lõuna,полдень
510,Mittag::N,keskpäev,полдень
511,Abend::N,õhtu,вечер
512,Nacht::N,öö,ночь
