,Concept_ID,sv,lbe
64,Traum::N,dröm,макӏру
65,Himmel::N,himmel,ссав
66,Sonne::N,sol,баргъ
67,Mond::N,måne,барз
68,Stern::N,stjärna,цӏуку
69,Luft::N,luft,гьава
70,Wind::N,vind,марч
71,Welle::N,våg,щатӏи
72,Welle::N,bölja,щатӏи
73,Wasser::N,vatten,щин
74,Stein::N,sten,чару
75,Boden::N,mark,аьрщи
76,Erde::N,jord,аьрщи
77,Staub::N,damm,ххит
78,Rauch::N,rök,пуркӏу
79,Funke::N,gnista,пиягь
80,Feuer::N,eld,цӏу
81,Licht::N,ljus,чани
82,Schatten::N,skugga,ххют
83,Wetter::N,väder,гьава
84,Nebel::N,dimma,шархь ттурлу
85,Nebel::N,töcken,шархь ттурлу
86,Wolke::N,sky,ттурлу
87,Wolke::N,moln,ттурлу
88,Regen::N,regn,гъарал
89,Schnee::N,snö,марххала
90,Eis::N,is,микӏ
91,Frost::N,frost,дяркъу
92,Frost::N,frost,замгьар
93,Kälte::N,köld,дяркъу
94,Hitze::N,hetta,кӏиришиву
95,Raureif::N,rimfrost,сил
96,Raureif::N,rimfrost,бурса
97,Regenbogen::N,regnbåge,ссурул ккуртта
98,Donner::N,åska,къув
99,Donner::N,dunder,къув
100,Strömung::N,strömning,экьинанаву
101,Tropfen::N,dropper,кӏунтӏ
102,Schaum::N,skum,хьама
103,Schmutz::N,lort,кьяркьи
104,Schmutz::N,smuts,кьяркьи
105,See::N,sjö,бяр
106,Sumpf::N,träsk,кунцӏа
107,Moor::N,myr,
108,Moor::N,mosse,
109,Wiese::N,äng,кьан
110,Wald::N,skog,вацӏа
111,Hügel::N,höjd,бакӏу
112,Hügel::N,kulle,бакӏу
113,Anhöhe::N,höjd,
114,Anhöhe::N,backe,
115,Berg::N,berg,зунтту
116,Berg::N,fjäll,зунтту
117,Gipfel::N,topp,мицӏ
118,Höhle::N,håla,нух
119,Höhle::N,grotta,нух
120,Abhang::N,slänt,сун
121,Abhang::N,sluttning,сун
122,Quelle::N,källa,дайдихьу
123,Quelle::N,källa,бакӏ
124,Bach::N,bäck,чӏрир нех
125,Fluss::N,älv,нех
126,Fluss::N,flod,нех
127,Ufer::N,strand,зума
128,Küste::N,kust,зумаинхалу
129,Küste::N,kust,зуманицӏалу
130,Festland::N,fastland,кьири
131,Meer::N,hav,хьхьири
132,Bucht::N,vik,
133,Bucht::N,bukt,
134,Insel::N,ö,жазира
135,Blume::N,blomma,тӏутӏи
136,Blume::N,blomster,тӏутӏи
137,Gras::N,gräs,уртту
138,Wurzel::N,rot,мархха
139,Baum::N,träd,мурхь
140,Stamm::N,stam,ттарцӏ
141,Rinde::N,bark,ккамара
142,Ast::N,gren,матӏи
143,Zweig::N,kvist,къяртта
144,Blatt::N,löv,чӏапӏи
145,Blatt::N,blad,чӏапӏи
146,Birke::N,björk,кӏялахӏи
147,Birke::N,björk,кӏялахӏилул мурхь
148,Kiefer[Baum]::N,tall,ттар
149,Kiefer[Baum]::N,tall,ттарлил мурхь
150,Weide[Baum]::N,pil,щавщи
151,Weide[Baum]::N,vide,щавщи
152,Tanne::N,gran,ттарлил мурхь
153,Horn::N,horn,хъи
154,Feder::N,fjäder,лелуххул тӏиму
155,Fell::N,fäll,бурчу
156,Fell::N,skinn,бурчу
157,Flügel::N,vinge,хъа
158,Flügel::N,vinge,ххурупӏайрал тӏиму
159,Klaue::N,klöv,михь
160,Kralle::N,klo,ххяппа
161,Schwanz::N,svans,магъ
162,Schwanz::N,stjärt,магъ
163,Ei::N,ägg,ккунук
164,Nest::N,rede,кюру
165,Nest::N,näste,кюру
166,Bau::N,bo,цукъуккутӏ
167,Tier::N,djur,хӏайван
168,Herde::N,flock,газу
169,Kuh::N,ko,оьл
170,Bulle::N,tjur,ниц
171,Pferd::N,häst,чу
172,Schaf::N,får,тта
173,Schwein::N,svin,дунгъуз
174,Hund::N,hund,ккаччи
175,Katze::N,katt,ччиту
176,Bär::N,björn,цуша
177,Eichhörnchen::N,ekorre,бюрхттукку
178,Elch::N,älg,ниц-бюрин
179,Fuchs::N,räv,цулчӏа
180,Fuchs::N,räv,куча цулчӏа
181,Hase::N,hare,бюрх
182,Maus::N,mus,кӏулу
183,Wolf::N,varg,барцӏ
184,Vogel::N,fågel,лелуххи
185,Schwarm::N,svärm,гьухъала
186,Huhn::N,höns,аьнакӏи
187,Hahn::N,tupp,ажари
188,Gans::N,gås,къаз
189,Adler::N,örn,барзу
190,Ente::N,anka,урдак
191,Eule::N,uggla,ису
192,Eule::N,uggla,ччиккумяв
193,Kranich::N,trana,кьурукь
194,Krähe::N,kråka,хъатӏу
195,Kuckuck::N,gök,ччикку
196,Schwan::N,svan,урттил къаз
197,Fisch::N,fisk,чавахъ
198,Barsch::N,abborre,
199,Hecht::N,gädda,
200,Schlange[Tier]::N,orm,шатта
201,Wurm::N,mask,кьюнукьай шатта
202,Spinne::N,spindel,ххялцу
203,Ameise::N,myra,митӏикьукьу
204,Laus::N,lus,
205,Mücke::N,mygga,мичӏак
206,Fliege::N,fluga,зимиз
207,Schmetterling::N,fjäril,чӏимучӏали
208,Beere::N,bär,хӏаллил ахъулсса
209,Apfel::N,äpple,гьивч
210,Pilz::N,svamp,ттуккул иис
211,Zwiebel::N,lök,лаччул чсмусул бакӏ
212,Saat::N,sådd,гьанна
213,Korn::N,korn,къама
214,Heu::N,hö,ххулув
215,Schale::N,skal,ккиртту
216,Grube::N,grop,кӏаланг
217,Falle::N,fälla,къатӏа
218,Schlinge::N,snara,хӏатӏ
219,Spur::N,spår,ша
220,Asche::N,aska,лах
221,Dreck::N,lort,кьяркьи
222,Dreck::N,lort,венп
223,Eisen::N,järn,мах
224,Gold::N,guld,муси
225,Silber::N,silver,арцу
226,Kohle::N,kol,кӏалаш
227,Kohle::N,kol,хъуручӏ
228,Glas::N,glas,пюрун
229,Lehm::N,lera,сина аьрщи
230,Sand::N,sand,къун
231,Mensch::N,människa,инсан
232,Mann::N,man,чув
233,Mann::N,man,адимина
234,Frau::N,kvinna,щарсса
235,Frau::N,kvinna,хъамитайпа
236,Kind::N,barn,чӏиви оьрчӏ
237,Junge::N,pojke,оьрчӏ
238,Junge::N,pojke,бурхьин оьрчӏ
239,Mädchen::N,flicka,душ
240,Familie::N,familj,кулпат
241,Großvater::N,morfar,ттатта
242,Großvater::N,morfar,ниттил ппу
243,Großmutter::N,farmor,буттал нину
244,Eltern::N,föräldrar,нину-ппу
245,Vater::N,far,ппу
246,Mutter::N,mor,нину
247,Sohn::N,son,арс
248,Tochter::N,dotter,душ
249,Bruder::N,bror,уссу
250,Schwester::N,syster,ссу
251,Onkel::N,morbror,буттауссу
252,Tante::N,tant,буттал ссу
253,Ehemann::N,äkta man,лас
254,Ehefrau::N,hustru,щар
255,Ehefrau::N,hustru,щарсса
256,Freude::N,fröjd,шадшиву
257,Freude::N,fröjd,ххаришиву
258,Freude::N,glädje,шадшиву
259,Freude::N,glädje,ххаришиву
260,Gelächter::N,åtlöje,хъяхъаву
261,Glück::N,lycka,талихӏ
262,Kummer::N,sorg,дард
263,Wunsch::N,önskan,мурад
264,Lust::N,lust,гьавас
265,Lust::N,lust,ччаву
266,Geist::N,ande,рухӏ
267,Gedanke::N,tanke,пикри
268,Gedächtnis::N,minne,дакӏний личӏаву
269,Verstand::N,förstånd,аькьлу
270,Sinn::N,mening,мяъна
271,Sinn::N,betydelse,мяъна
272,Grund::N,skäl,багьана
273,Grund::N,grund,багьана
274,Wahrheit::N,sanning,тӏайламур
275,Wahrheit::N,sanning,хӏакьмур
276,Gespräch::N,samtal,ихтилат
277,Märchen::N,saga,магьа
278,Erzählung::N,berättelse,хавар
279,Nachricht::N,meddelande,хавар
280,Neuigkeit::N,nyhet,хавар
281,Name::N,namn,цӏа
282,Rätsel::N,gåta,ссигьа
283,Rede::N,tal,гъалгъа
284,Sprache::N,språk,маз
285,Stimme::N,stämma,чӏу
286,Stimme::N,stämma,чӏукӏа
287,Wort::N,ord,махъ
288,Zeichen::N,tecken,лишан
289,Ruf::N,rop,
290,Lärm::N,bråk,чӏу
291,Lärm::N,oväsen,чӏу
292,Laut::N,ljud,чӏу
293,Ton::N,ton,чӏу
294,Lied::N,sång,балай
295,Ruhe::N,ro,дигьалагру
296,Ruhe::N,lugn,дигьалагру
297,Leute::N,folk,инсантал
298,Volk::N,folk,ил
299,Volk::N,folk,халкь
300,Arbeit::N,arbete,заву
301,Gast::N,gäst,хъамаличу
302,Geschenk::N,gåva,бухчакарши
303,Geschenk::N,gåva,лажинккакку
304,Geschenk::N,present,бухчакарши
305,Geschenk::N,present,лажинккакку
306,Spiel::N,lek,тӏуркӏу
307,Spiel::N,spel,тӏуркӏу
308,Gesellschaft::N,sällskap,жямат
309,Gesellschaft::N,sällskap,ккуран
310,Hilfe::N,hjälp,кумаг
311,Freund::N,vän,дус
312,Kamerad::N,kamrat,хӏаласу
313,Angelegenheit::N,ärende,иш
314,Angelegenheit::N,angelägenhet,иш
315,Anzahl::N,antal,аьдад
316,Art::N,art,жинс
317,Art::N,slag,жинс
318,Stück::N,stycke,касак
319,Teil::N,del,бутӏа
320,Hälfte::N,halva,дачӏи
321,Kreis::N,krets,кюрщан
322,Kreis::N,cirkel,кюрщан
323,Kreuz::N,kors,ххач
324,Kreuz::N,kryss,ххач
325,Linie::N,linje,щва
326,Strich::N,streck,щва
327,Abstand::N,avstånd,манзил
328,Entfernung::N,avstånd,манзил
329,Gegend::N,trakt,кӏану
330,Platz::N,plats,
331,Ort::N,plats,кӏану
332,Ort::N,ställe,кӏану
333,Seite::N,sida,чул
334,Seite::N,sida,чулухалу
335,Mitte::N,mitt,дя
336,Gegenstand::N,föremål,зат
337,Sache::N,sak,зат
338,Rand::N,rand,зума
339,Kante::N,kant,
340,Ecke::N,vrå,мурцӏу
341,Ecke::N,hörn,мурцӏу
342,Spitze::N,spets,мицӏ
343,Ende::N,ända,зума
344,Loch::N,hål,ккутӏ
345,Winkel::N,vinkel,мурцӏу
346,Muster::N,mönster,накьич
347,Größe::N,storlek,
348,Länge::N,längd,лахъишиву
349,Höhe::N,höjd,лахъшиву
350,Gewicht::N,tyngd,дуццин
351,Gewicht::N,tyngd,кӏушиву
352,Menge::N,mängd,
353,Haufen::N,hög,бакӏу
354,Reihe::N,rad,кьюкьа
355,Boot::N,båt,луткка
356,Ruder::N,åra,весло
357,Ruder::N,åra,чӏатӏа
358,Schlitten::N,släde,чана
359,Schlitten::N,släde,санкка
360,Ski::N,skida,лижарду
361,Lagerfeuer::N,lägereld,къавтӏн
362,Last::N,last,гьиву
363,Last::N,börda,гьиву
364,Gang::N,gång,нанаву
365,Schritt::N,steg,ша
366,Norden::N,norr,ухссав
367,Norden::N,norr,ухссавнил чулухалу
368,Süden::N,söder,кьилва
369,Westen::N,väster,баргълагавал
370,Westen::N,väster,баргълагавал чул
371,Osten::N,öster,баргъбуккай чулухалу
372,Holz::N,trä,тӏама
373,Brett::N,bräda,тахта
374,Platte::N,platta,гъуни
375,Stütze::N,stöd,гьалакӏу
376,Stütze::N,stötta,гьалакӏу
377,Stange::N,stång,къазихъ
378,Stock::N,käpp,ттархь
379,Stock::N,pinne,ттархь
380,Stab::N,stav,ччантӏакъу
381,Rohr::N,rör,бургъу
382,Haus::N,hus,къатта
383,Heim::N,hem,къатта
384,Ofen::N,ugn,пач
385,Fußboden::N,golv,чӏанкъатта
386,Tisch::N,bord,усттул
387,Stuhl::N,stol,кӏану
388,Wiege::N,vagga,оьрчӏал кӏану
389,Bett::N,säng,тах
390,Regal::N,hylla,чӏаму
391,Kiste::N,låda,яшикӏ
392,Kiste::N,låda,къурши
393,Fenster::N,fönster,чӏавахьулу
394,Tür::N,dörr,нуз
395,Tür::N,dörr,нузкьун
396,Tor::N,port,къапу
397,Tor::N,port,дарваза
398,Zaun::N,staket,дайгьузанну
399,Zaun::N,stängsel,дайгьузанну
400,Dach::N,tak,магъи
401,Dach::N,tak,цӏиялу
402,Leiter::N,stege,чуртту
403,Besen::N,kvast,чӏатлу
404,Spaten::N,spade,бил
405,Schaufel::N,skovel,чӏатӏа
406,Schaufel::N,skyffel,чӏатӏа
407,Gabel::N,gaffel,гьиссилу
408,Löffel::N,sked,къуса
409,Messer::N,kniv,чӏила
410,Nagel::N,spik,мяр
411,Netz::N,nät,къери
412,Haken::N,krok,къича
413,Griff::N,tag,куяму
414,Griff::N,handtag,куяму
415,Schloss::N,las,кьункьула
416,Bild::N,bild,сурат
417,Figur::N,figur,
418,Puppe::N,docka,ссихьу
419,Beutel::N,påse,чантай
420,Bündel::N,bunt,гьи
421,Bündel::N,bunt,къар
422,Bündel::N,knippa,гьи
423,Bündel::N,knippa,къар
424,Tasche::N,väska,
425,Eimer::N,hink,бадра
426,Eimer::N,ämbar,бадра
427,Deckel::N,lock,къапаза
428,Geschirr::N,servis,пюрунчӏул
429,Geschirr::N,servis,тӏахӏникӏичӏу
430,Geschirr::N,porslin,пюрунчӏул
431,Geschirr::N,porslin,тӏахӏникӏичӏу
432,Sack::N,säck,къап
433,Sack::N,säck,дарваг
434,Tasse::N,kopp,пижан
435,Tasse::N,kopp,пинжан
436,Tasse::N,kopp,инкираччатӏи
437,Tasse::N,kopp,цинцилттал бушкъап
438,Topf::N,gryta,кӏункӏур
439,Topf::N,kastrull,кӏункӏур
440,Kessel::N,kittel,чаг
441,Kessel::N,kittel,кӏункӏур
442,Essen::N,mål,дукия
443,Essen::N,mål,дукин
444,Nahrung::N,näring,дукра
445,Speise::N,maträtt,дукра
446,Fleisch::N,kött,дикӏ
447,Getreide::N,säd,къама
448,Getreide::N,spannmål,къама
449,Brei::N,gröt,ккурч
450,Brot::N,bröd,ччатӏ
451,Scheibe::N,skiva,парча
452,Fett::N,fett,аьгъушиву
453,Butter::N,smör,нагь
454,Butter::N,smör,лагаву
455,Öl::N,olja,
456,Salz::N,salt,цӏву
457,Suppe::N,soppa,накь
458,Honig::N,honung,ницӏ
459,Milch::N,mjölk,накӏ
460,Tee::N,te,чяй
461,Leder::N,läder,бурчу
462,Wolle::N,ull,ппал
463,Wolle::N,ylle,ппал
464,Stoff::N,tyg,янна
465,Stoff::N,stoff,янна
466,Nadel::N,nål,ххалаххи
467,Faden::N,tråd,ххал
468,Knopf::N,knapp,банд
469,Knoten::N,knut,къурхъ
470,Farbe::N,färg,сир
471,Kleidung::N,klädsel,янна
472,Kleidung::N,klädsel,лаххия
473,Hemd::N,skjorta,гьухъа
474,Kragen::N,krage,дарвач
475,Ärmel::N,ärm,кахха
476,Hose::N,byxor,хӏажак
477,Gürtel::N,bälte,мухӏлу
478,Mütze::N,mössa,кьяпа
479,Schuh::N,sko,
480,Stiefel::N,stövel,чакма
481,Ring::N,ring,кӏисса
482,Band::N,band,линт
483,Kamm::N,kam,ттарал
484,Spiegel::N,spegel,дагьани
485,Riemen::N,rem,эн
486,Schnur::N,snöre,хьхьа
487,Leine::N,lina,
488,Decke::N,täcke,виргъан
489,Kissen::N,dyna,кӏаралу
490,Kissen::N,kudde,кӏаралу
491,Tuch::N,sjal,карщи
492,Handtuch::N,handduk,калихьу
493,Handtuch::N,handduk,лажинлихьу
494,Kraft::N,kraft,эллаж
495,Stärke::N,styrka,гуж
496,Gesundheit::N,hälsa,цӏуллу-сагъшиву
497,Krankheit::N,sjukdom,къашайшиву
498,Schmerz::N,smärta,къюву
499,Wunde::N,sår,щаву
500,Fieber::N,feber,кӏиришиву
501,Arznei::N,medicin,дару
502,Arznei::N,läkemedel,дару
503,Brücke::N,bro,ламу
504,Brunnen::N,brunn,къуй
505,Weide::N,bete,бизантту
506,Pfad::N,stig,жегъир ххуллу
507,Weg::N,väg,ххуллу
508,Straße::N,gata,ххуллу
509,Dorf::N,by,щар
510,Dorf::N,by,шяравалу
511,Stadt::N,stad,шагьру
512,Brief::N,brev,чагъар
513,Buch::N,bok,лу
514,Buchstabe::N,bokstav,хӏарп
515,Zeitung::N,tidning,кказит
516,Leben::N,liv,оьрму
517,Tod::N,död,ажал
518,Tod::N,död,бивкӏу
519,Tod::N,död,ивчӏаву
520,Grab::N,grav,гьав
521,Kirche::N,kyrka,килиса
522,Sünde::N,synd,бунагъ
523,Gott::N,gud,зал
524,Arbeiter::N,arbetare,зузала
525,Chef::N,chef,ялувма
526,Meister::N,mästare,усттар
527,Arzt::N,läkare,хӏакин
528,Lehrer::N,lärare,учитель
529,Geld::N,pengar,арцу
530,Geschäft::N,rörelse,даву
531,Laden::N,affär,ттучан
532,Preis::N,pris,багъа
533,Ware::N,vara,хъус
534,Nutzen::N,gagn,хайр
535,Nutzen::N,gagn,мюнпат
536,Nutzen::N,nytta,хайр
537,Nutzen::N,nytta,мюнпат
538,Reichtum::N,rikedom,давлат
539,Reichtum::N,rikedom,аваданшиву
540,Welt::N,värld,дуниял
541,Land::N,land,билаят
542,Staat::N,stat,паччахӏлугъ
543,König::N,kung,
544,König::N,konung,
545,Macht::N,makt,власть
546,Grenze::N,gräns,дазу
547,Krieg::N,krig,дяъви
548,Feind::N,fiende,душман
549,Gewalt::N,våld,къия
550,Kampf::N,kamp,лачӏуи уккаву
551,Kampf::N,strid,лачӏуи уккаву
552,Bogen[Waffe]::N,båge,ккуртта
553,Pfeil::N,pil,чӏатӏаракӏ
554,Gewehr::N,gevär,ттупанг
555,Fehler::N,fel,гъалатӏ
556,Lüge::N,lögn,щялмахъ
557,Schaden::N,skada,зарал
558,Unglück::N,otur,бала
559,Unglück::N,olycka,бала
560,Schuld::N,skuld,тахсир
561,Alter::N,ålder,оьрму
562,Schluss::N,slut,ахир
563,Zeit::N,tid,чӏун
564,Tag::N,dag,кьини
565,Morgen::N,morgon,кӏюрх
566,Mittag::N,middag,ахттайн
567,Mittag::N,middag,дяахттайн
568,Mittag::N,middag,ахттайн чӏун
569,Abend::N,kväll,маркӏачӏан
570,Nacht::N,natt,хьхьу
571,Woche::N,vecka,нюжмар
572,Monat::N,månad,барз
573,Jahr::N,år,шин
574,Frühling::N,vår,инт
575,Sommer::N,sommar,гъи
576,Herbst::N,höst,ссут
577,Winter::N,vinter,кӏи
578,Januar::N,januari,цалчинмур барз
579,Februar::N,februari,кӏилчинмур барз
580,März::N,mars,шамилчинмур барз
581,April::N,april,апрель
582,April::N,april,мукьилчинмур барз
583,Mai::N,maj,май
584,Mai::N,maj,ххюлчинмур барз
585,Juni::N,juni,июнь
586,Juni::N,juni,ряххилчинмур барз
587,Juli::N,juli,июль
588,Juli::N,juli,Арулчинмур барз
589,August::N,augusti,мяйлчинмур барз
590,September::N,september,урчӏилчинмур барз
591,Oktober::N,oktober,ацӏилчинмур барз
592,November::N,november,ацӏния цалчинмур барз
593,Dezember::N,december,ацӏния кӏилчинмур барз
594,Montag::N,måndag,итин
595,Montag::N,måndag,итин кьини
596,Dienstag::N,tisdag,тталат
597,Dienstag::N,tisdag,тталат кьини
598,Mittwoch::N,onsdag,арвахӏ
599,Donnerstag::N,torsdag,хамис
600,Freitag::N,fredag,нюжмар
601,Freitag::N,fredag,нюжмар кьини
602,Samstag::N,lördag,ххуллун
603,Samstag::N,lördag,ххуллун кьини
604,Sonntag::N,söndag,алхӏат
605,Sonntag::N,söndag,алхӏат кьини
606,groß::A,stor,бугъарасса
607,klein::A,liten,чӏивисса
608,lang::A,lång,лахъисса
609,kurz::A,kort,кутӏасса
610,breit::A,bred,уттасса
611,schmal::A,smal,уттакӏюласса
612,dicht::A,tät,ццунсса
613,dick[Gegenstand]::A,tjock,ганзсса
614,dünn::A,tunn,кӏюласса
615,fein::A,fin,
616,fest::A,fast,цӏакьсса
617,fest::A,fast,кьянкьасса
618,flach::A,platt,баягъисса
619,flach::A,platt,цӏубакъасса
620,flach::A,platt,куртӏ дакъасса
621,glatt::A,glatt,дюрчӏусса
622,hart::A,hård,кьянкьасса
623,weich::A,mjuk,кӏукӏлусса
624,rund::A,rund,ккурккисса
625,spitz::A,toppig,ярксса
626,spitz::A,toppig,дайлсса
627,spitz::A,toppig,мицӏ бусса
628,spitz::A,spetsig,ярксса
629,spitz::A,spetsig,дайлсса
630,spitz::A,spetsig,мицӏ бусса
631,scharf::A,vass,ярксса
632,scharf::A,vass,дайлсса
633,scharf::A,vass,мицӏ бусса
634,scharf::A,skarp,ярксса
635,scharf::A,skarp,дайлсса
636,scharf::A,skarp,мицӏ бусса
637,stumpf::A,slö,къуркъасса
638,schwer::A,tung,кӏусса
639,schön::A,skön,аьнтӏикӏасса
640,schön::A,vacker,аьнтӏикӏасса
641,heiß::A,het,кӏирисса
642,warm::A,varm,гъелисса
643,kalt::A,kall,дяркъусса
644,kühl::A,sval,дюхлулсса
645,kühl::A,kylig,дюхлулсса
646,frisch::A,färsk,цӏусса
647,feucht::A,fuktig,атилсса
648,feucht::A,fuktig,хъавтусса
649,nass::A,våt,атилсса
650,nass::A,våt,хъавтусса
651,trocken::A,torr,кьавкьсса
652,trocken::A,torr,кьакьан бувсса
653,voll::A,full,бувцӏусса
654,leer::A,tom,бачӏвасса
655,offen::A,öppen,тӏивтӏусса
656,geschlossen::A,stängd,лавкьусса
657,sauber::A,ren,марцӏсса
658,schmutzig::A,snuskig,чапалсса
659,roh::A,rå,шакъавхьсса
660,reif::A,mogen,дирсса
661,lecker::A,läcker,нахӏусса
662,lecker::A,läcker,тӏааьнсса
663,süß::A,söt,нацӏусса
664,bitter::A,besk,кьурчӏисса
665,bitter::A,bitter,кьурчӏисса
666,sauer::A,sur,туршсса
667,hell::A,ljus,чаннасса
668,dunkel::A,mörk,цӏансса
669,schwarz::A,svart,лухӏисса
670,weiß::A,vit,кӏяласса
671,rot::A,röd,ятӏулсса
672,gelb::A,gul,хъахъисса
673,blau::A,blå,някӏсса
674,grün::A,grön,щюлисса
675,grau::A,grå,оьрусса
676,bunt::A,brokig,оьрчӏикӏурисса
677,billig::A,billig,кьювкьусса
678,teuer::A,dyr,ххирасса
679,wertvoll::A,värdefull,багьасса
680,blind::A,blind,мурчӏисса
681,taub::A,döv,къюкӏсса
682,kräftig::A,kraftig,гужсса
683,stark::A,stark,кьянкьасса
684,schwach::A,svag,заэвсса
685,fett::A,fet,бучсса
686,schlank::A,slank,бювхъусса
687,hübsch::A,snygg,янусса
688,hübsch::A,vacker,янусса
689,böse::A,ond,оьсса
690,böse::A,elak,оьсса
691,dumm::A,dum,ахӏмакьсса
692,faul::A,lat,танмалсса
693,faul::A,lat,курчӏилсса
694,fleißig::A,flitig,хӏарачат бусса
695,geizig::A,snål,янттарцӏансса
696,geizig::A,girig,янттарцӏансса
697,klug::A,klok,аькьлу бусса
698,geschickt::A,händig,паргалсса
699,geschickt::A,skicklig,паргалсса
700,lieb::A,kär,аьзизсса
701,lieb::A,snäll,аьзизсса
702,lustig::A,rolig,тяхъасса
703,lustig::A,lustig,тяхъасса
704,sanft::A,mild,иминсса
705,hungrig::A,hungrig,ккашилсса
706,krank::A,sjuk,къашавайсса
707,nackt::A,naken,кӏачӏасса
708,traurig::A,ledsen,пашмансса
709,traurig::A,sorgsen,пашмансса
710,lebendig::A,levande,уттавасса
711,gut::A,bra,ххуйсса
712,schlecht::A,dålig,оьккисса
713,richtig::A,riktig,саргъунсса
714,schlimm::A,illa,оьккисса
715,wahr::A,sann,хӏакьсса
716,alt::A,gammal,кугьнасса
717,neu::A,ny,цӏусса
718,ehemalig::A,forn,хъхъичӏвасса
719,ehemalig::A,tidigare,хъхъичӏвасса
720,alt[Lebewesen]::A,gammal,агьилсса
721,jung::A,ung,чӏавасса
722,jung::A,ung,жагьилсса
723,arm::A,fattig,мискинсса
724,reich::A,rik,авадансса
725,bekannt::A,känd,дусъсса
726,berühmt::A,berömd,машгьурсса
727,fremd::A,främmande,чил
728,verschieden::A,åtskillig,личӏи-личӏисса
729,nah::A,nära,гъансса
730,fern::A,fjärran,архсса
731,linker::A,vänster,кияхсса
732,linker::A,vänster,кюччахсса
733,rechter::A,höger,урчӏахсса
734,anderer::A,annan,цамур
735,erster::A,första,цалчинмур
736,erster::A,första,цалчиннсса
737,zweiter::A,andra,кӏилчиимур
738,dritter::A,tredje,шамулчинмур
739,letzter::A,sist,махъва-махъмур
740,allein::ADV,allena,ялгъузну
741,auf einmal::ADV,på en gång,
742,zusammen::ADV,tillsammans,цачӏу
743,zusammen::ADV,tillsammans,архӏал
744,lange::ADV,länge,батӏи къабуклай
745,lange::ADV,länge,хъунмасса хӏаллай
746,plötzlich::ADV,plötsligt,цакуну
747,sofort::ADV,strax,мугьлат бакъа
748,sofort::ADV,genast,мугьлат бакъа
749,später::ADV,senare,махъ
750,jetzt::ADV,nu,утти
751,jetzt::ADV,nu,цӏана
752,heute::ADV,i dag,хӏакьину
753,morgen::ADV,i morgon,гьуит
754,morgen::ADV,i morgon,гьунттий
755,bald::ADV,snart,
756,dann::ADV,då,яла
757,gestern::ADV,i går,лахьхьу
758,einst::ADV,en gång,
759,damals::ADV,då,та чӏумал
760,damals::ADV,den gången,та чӏумал
761,danach::ADV,därefter,яла
762,vorher::ADV,före,хьхьнчӏ
763,vorher::ADV,före,хьхьичӏва
764,vorher::ADV,förut,хьхьнчӏ
765,vorher::ADV,förut,хьхьичӏва
766,zuerst::ADV,först,бакӏрай
767,zuerst::ADV,först,цӏу бутӏуй
768,einmal::ADV,en gång,цал
769,manchmal::ADV,ibland,ваксса-таксса
770,oft::ADV,ofta,чӏявуну
771,immer::ADV,alltid,мудан
