,Concept_ID,ar,ta
52,Träne::N,دمعة,கண்ணீர்
53,Geschmack::N,طعم,நறுமணம்
54,Geschmack::N,مذاق,நறுமணம்
55,Geruch::N,رائحة,துர்நாற்றம்
56,Schlaf::N,نوم,தூக்கம்
57,Schlaf::N,منام,தூக்கம்
58,Traum::N,حلم,கனவு
59,Himmel::N,سماء,வானம்
60,Sonne::N,شمس,சூரியன்
61,Mond::N,قمر,சந்திரன்
62,Stern::N,نجم,நட்சத்திரம்
63,Stern::N,كوكب,நட்சத்திரம்
64,Luft::N,هواء,காறறு
65,Wind::N,ريح,காற்று
66,Welle::N,موجة,அலை
67,Wasser::N,ماء,நீர்
68,Stein::N,حجر,கல்
69,Boden::N,تراب,தரை
70,Erde::N,أرض,மண்
71,Staub::N,غبار,தூசி
72,Rauch::N,دخان,புகை
73,Funke::N,شرارة,தீப்பொறி
74,Feuer::N,نار,தீ
75,Licht::N,نور,வெளிச்சம்
76,Licht::N,ضوء,வெளிச்சம்
77,Schatten::N,ظل,நிழல்
78,Schatten::N,فيء,நிழல்
79,Wetter::N,جو,வானிலை
80,Wetter::N,طقس,வானிலை
81,Nebel::N,ضباب,பனிமூட்டம்
82,Wolke::N,غيمة,மேகம்
83,Wolke::N,سحابة,மேகம்
84,Regen::N,مطر,மழை
85,Schnee::N,ثلج,உறைபனி
86,Eis::N,جليد,பனிக்கட்டி
87,Frost::N,صقيع,உறைபனி
88,Kälte::N,برد,குளிர்ந்த
89,Hitze::N,حر,சூடு
90,Hitze::N,حرارة,சூடு
91,Raureif::N,صقيع,உறைபனி வெண்திரை
92,Regenbogen::N,قوس قزح,வானவில்
93,Donner::N,رعد,இடி
94,Strömung::N,تيار,நீரோட்டம்
95,Tropfen::N,قطرة,துளி
96,Schaum::N,زبد,நுரை
97,Schaum::N,رغوة,நுரை
98,Schmutz::N,وسخ,அழுக்கு
99,See::N,بحيرة,ஏரி
100,Sumpf::N,مستنقع,சதுப்பு நிலம்
101,Moor::N,مستنقع,முட்புதற்காடு
102,Wiese::N,مرج,பசும் புல்தரை
103,Wald::N,غابة,காடு
104,Hügel::N,تل,குன்று
105,Anhöhe::N,تل,பதுக்கை
106,Berg::N,جبل,மலை
107,Gipfel::N,قمة,உச்சி மாநாடு
108,Höhle::N,كهف,குகை
109,Abhang::N,منحدر,சரிவு
110,Quelle::N,منبع,மூலம்
111,Bach::N,مجرى,ஓடை
112,Fluss::N,نهر,ஆறு
113,Ufer::N,ضفة,நீர்க்கரை
114,Küste::N,ساحل,கடற்கரை
115,Festland::N,بر,நிலம்
116,Meer::N,بحر,கடல்
117,Bucht::N,خليج,சிறுகுடா
118,Insel::N,جزيرة,தீவு
119,Blume::N,زهرة,பூ
120,Gras::N,حشيش,புல்தரை
121,Wurzel::N,أصل,வேர்
122,Baum::N,شجرة,மரம்
123,Stamm::N,جذع,அடிமரம்
124,Rinde::N,قشرة,பட்டை
125,Rinde::N,قشرة,மரப்பட்டை
126,Ast::N,فرع,கினை
127,Zweig::N,غصن,குச்சி
128,Blatt::N,ورقة,இலை
129,Birke::N,قضبان,பிர்ச் மரம்
130,Kiefer[Baum]::N,صنوبرة,தேவதாரு மரம்
131,Weide[Baum]::N,صفصاف,மர வகைகளுள் ஒன்று
132,Tanne::N,شوح,சாதிக்கய்
133,Tanne::N,تبوب,சாதிக்கய்
134,Horn::N,قرن,கொம்பு
135,Feder::N,ريشة,இறகு
136,Fell::N,فرو,மென்முடி
137,Flügel::N,جناح,இறக்கை
138,Klaue::N,مخلب,நகம்
139,Kralle::N,مخلب,நகம்
140,Schwanz::N,ذيل,வால்
141,Ei::N,بيض,முட்டை
142,Nest::N,عش,கூடு
143,Bau::N,جحر,குகை
144,Tier::N,حيوان,விலங்கு
145,Herde::N,قطيع,கூட்டம்
146,Kuh::N,بقرة,பசு
147,Bulle::N,ثور,காளை
148,Pferd::N,خيل,குதிரை
149,Schaf::N,شاة,செம்மறிஆடு
150,Schwein::N,خنزير,பன்றி
151,Hund::N,كلب,நாய்
152,Katze::N,قطة,பூனை
153,Bär::N,دب,கரடி
154,Eichhörnchen::N,سنجاب,அணில்
155,Elch::N,موظ,கடம்பை
156,Fuchs::N,ثعلب,நரி
157,Hase::N,أرنب,முயல்
158,Maus::N,فأرة,எலி
159,Wolf::N,ذئب,ஓநாய்
160,Vogel::N,طير,பறவை
161,Schwarm::N,سرب,தொகுதி
162,Huhn::N,دجاجة,கோழிக்குஞசு
163,Hahn::N,ديك,சேவல்
164,Gans::N,وزة,பெண் வாத்து
165,Adler::N,نسر,பருநது
166,Ente::N,بطة,வாத்து
167,Eule::N,بوم,ஆந்தை
168,Kranich::N,كركي,நாரை
169,Krähe::N,غراب,காகம்
170,Kuckuck::N,وقواق,குயில்
171,Schwan::N,إوز عراقي,அன்னம்
172,Fisch::N,سمك,மீன்
173,Barsch::N,فرخ أوربي,பேர்ச்
174,Hecht::N,سمك الكراكي,கோலாச்சி மீன்
175,Schlange[Tier]::N,حية,பாம்பு
176,Schlange[Tier]::N,ثعبان,பாம்பு
177,Wurm::N,دودة,புழு
178,Spinne::N,عنكبوت,சிலந்தி
179,Ameise::N,نملة,எறும்பு
180,Laus::N,قملة,பேன்
181,Mücke::N,ناموسة,கொசுவினப்பூச்சி
182,Fliege::N,ذبابة,ஈ
183,Schmetterling::N,فراشة,வண்ணத்துப்பூச்சி
184,Beere::N,حبة,சதைப்பழம்
185,Apfel::N,تفاح,ஆப்பிள பழம்
186,Pilz::N,فطر,காளான்
187,Zwiebel::N,بصل,வெங்காயம்
188,Saat::N,زرع,விதை
189,Korn::N,حبة,தானியம்
190,Heu::N,دريس,வைக்கோல்
191,Schale::N,قشرة,தோல்
192,Grube::N,نقرة,குழி
193,Falle::N,فخ,பொறி
194,Falle::N,مصيدة,பொறி
195,Schlinge::N,عروة,கண்ணி
196,Spur::N,أثر,சுவடு
197,Asche::N,رماد,சாம்பல்
198,Dreck::N,قذر,அழுக்கு
199,Eisen::N,حديد,இரும்பு
200,Gold::N,ذهب,தங்கம்
201,Silber::N,فضة,வெள்ளி
202,Kohle::N,فحم,நிலக்கரி
203,Glas::N,زجاج,கண்ணாடி
204,Lehm::N,طين,களிமண்
205,Sand::N,رمل,மணல்
206,Mensch::N,إنسان,மனிதர்கள்
207,Mann::N,رجل,மனிதன்
208,Frau::N,امرأة,பெண்
209,Kind::N,طفل,குழந்தை
210,Junge::N,ولد,பையன்
211,Mädchen::N,بنت,சிறுமி
212,Familie::N,عائلة,குடும்பம்
213,Großvater::N,جد,தாத்தா
214,Großmutter::N,جدة,பாட்டி
215,Eltern::N,أبوان,பெற்றோர்
216,Eltern::N,والدان,பெற்றோர்
217,Vater::N,أب,தந்தை
218,Mutter::N,أم,தாய்
219,Sohn::N,إبن,மகன்
220,Tochter::N,بنت,மகள்
221,Tochter::N,إبنة,மகள்
222,Bruder::N,أخ,சகோதரன்
223,Bruder::N,شقيق,சகோதரன்
224,Schwester::N,أخت,அக்கா
225,Onkel::N,عم,தாய் மாமன்
226,Tante::N,عمة,அத்தை
227,Ehemann::N,زوج,கணவன்
228,Ehefrau::N,زوجة,மனைவி
229,Freude::N,فرح,கொண்டாட்டம்
230,Freude::N,سرور,கொண்டாட்டம்
231,Gelächter::N,قهقهة,சிரிப்பு
232,Glück::N,سعادة,மகிழ்ச்சி
233,Kummer::N,غم,துயரம்
234,Wunsch::N,منية,விருப்பம்
235,Lust::N,شهوة,விருப்பம்
236,Geist::N,روح,ஆன்மா
237,Gedanke::N,فكرة,எண்ணம்
238,Gedächtnis::N,ذاكرة,ஞாபகம்
239,Verstand::N,عقل,மனம்
240,Sinn::N,معنى,அர்த்தம்
241,Grund::N,سبب,காரணம்
242,Wahrheit::N,حقيقة,உண்நை
243,Gespräch::N,محادثة,பெசு
244,Märchen::N,خرافة,நம்பத்தகாத கதை
245,Erzählung::N,قصة,கதை
246,Erzählung::N,حكاية,கதை
247,Nachricht::N,خبر,செய்தி
248,Neuigkeit::N,خبر جديد,செய்தி
249,Name::N,اسم,பெயர்
250,Rätsel::N,لغز,புதிர்
251,Rede::N,خطبة,பேச்சு
252,Sprache::N,لغة,மொழி
253,Stimme::N,صوت,குரல்
254,Wort::N,كلمة,வார்த்தை
255,Zeichen::N,رمز,குறி
256,Zeichen::N,إشارة,குறி
257,Ruf::N,نداء,அழைப்பு
258,Lärm::N,صخب,சத்தம்
259,Lärm::N,ضجة,சத்தம்
260,Laut::N,صوت,ஒலி
261,Ton::N,نغمة,குரல்
262,Lied::N,أغنية,பாட்டு
263,Ruhe::N,هدوء,அமைதி
264,Leute::N,ناس,மக்கள்
265,Volk::N,شعب,மக்கள்
266,Arbeit::N,عمل,வேலை
267,Gast::N,ضيف,விருந்தாளி
268,Geschenk::N,هدية,பரிசுப் பொருள்
269,Spiel::N,لعب,விளையாட்டு
270,Gesellschaft::N,صحبة,சமுதாயம்
271,Hilfe::N,عون,உதவி
272,Hilfe::N,مساعدة,உதவி
273,Freund::N,صديق,நண்பன்
274,Kamerad::N,زميل,உடனிருப்பவன்
275,Angelegenheit::N,أمر,செய்தி
276,Angelegenheit::N,شأن,செய்தி
277,Anzahl::N,عدد,எண்ணிக்கை
278,Art::N,نوع,வகை
279,Stück::N,قطعة,துண்டம்
280,Teil::N,قسم,பகுதி
281,Hälfte::N,نصف,பாதி
282,Kreis::N,دائرة,வட்டம்
283,Kreuz::N,صليب,சிலுவை
284,Linie::N,خط,கோடு
285,Strich::N,شرطة,வாத நோய்
286,Abstand::N,مسافة,இடைவெளி
287,Entfernung::N,بعد,தூரம்
288,Gegend::N,ناحية,வட்டாரம்
289,Platz::N,فراغ,வெற்றிடம்
290,Ort::N,مكان,இடம்
291,Seite::N,جانب,பக்கம்
292,Mitte::N,وسط,இடைப்பகுதி
293,Gegenstand::N,موضوع,உருப்படி
294,Sache::N,شيء,பொருள்
295,Rand::N,حافة,தொங்கு
296,Kante::N,حافة,விளிம்பு
297,Ecke::N,ركن,மூலை
298,Spitze::N,سن,முனை
299,Ende::N,طرف,முடிவு
300,Loch::N,ثقب,துளை
301,Winkel::N,زاوية,கோணம்
302,Muster::N,عينة,பாங்கு
303,Größe::N,حجم,அளவு
304,Länge::N,طول,நீளம்
305,Höhe::N,علو,உயரம்
306,Höhe::N,ارتفاع,உயரம்
307,Gewicht::N,وزن,எடை
308,Menge::N,كمية,தொகை
309,Haufen::N,كوم,குவியல்
310,Reihe::N,صف,வரிசை
311,Boot::N,قارب,படகு
312,Boot::N,زورق,படகு
313,Ruder::N,مجذاف,துடுப்பு
314,Schlitten::N,مزلقة,சகடையிலா வண்டி
315,Ski::N,زلاجة,பனிச் சறுக்கல்
316,Lagerfeuer::N,نار المخيم,மூட்டம்
317,Last::N,حمل,பாரம்
318,Gang::N,مشية,நடை
319,Schritt::N,خطوة,காலடி
320,Norden::N,شمال,வடக்கு
321,Süden::N,جنوب,தெற்கு
322,Westen::N,غرب,மேற்கு திசை
323,Osten::N,شرق,கிழக்கு
324,Holz::N,خشب,மரக்கட்டை
325,Brett::N,لوح,பலகை
326,Platte::N,صفيحة,பலகம்
327,Stütze::N,سند,அடைப்புகன்
328,Stütze::N,دعامة,அடைப்புகன்
329,Stange::N,عود,கம்பம்
330,Stock::N,عصا,குச்சி
331,Stab::N,قضيب,கம்பு
332,Rohr::N,أنبوبة,குழாய்
333,Haus::N,دار,வீடு
334,Haus::N,بيت,வீடு
335,Heim::N,بيت,வீடு
336,Heim::N,مسكن,வீடு
337,Ofen::N,مدفأة,அடுப்பு
338,Fußboden::N,أرضية,தரை
339,Tisch::N,مائدة,மேசை
340,Stuhl::N,كرسي,நாற்காலி
341,Wiege::N,مهد,தொட்டில்
342,Bett::N,سرير,படுக்கை
343,Regal::N,رف,அலமாரி
344,Kiste::N,صندوق,பெட்டி
345,Fenster::N,شباك,சாளரம்
346,Fenster::N,نافذة,சாளரம்
347,Tür::N,باب,கதவு
348,Tor::N,بوابة,வாசற்கதவு
349,Zaun::N,سياج,வேலி
350,Dach::N,سطح,கூரை
351,Leiter::N,سلم,ஏணி
352,Besen::N,مكنسة,விளக்குமாறு
353,Spaten::N,مسحاة,மண்வெட்டி
354,Schaufel::N,مجرفة,அடிதண்டா
355,Gabel::N,شوكة,முட்கரண்டி
356,Löffel::N,ملعقة,கரண்டி
357,Messer::N,سكين,கத்தி
358,Nagel::N,مسمار,ஆணி
359,Netz::N,شبكة,வலை
360,Haken::N,خطاف,கொக்கி
361,Haken::N,صنارة,கொக்கி
362,Griff::N,قبضة,கைப்பிடி
363,Schloss::N,قفل,பூட்டு
364,Bild::N,صورة,படம்
365,Figur::N,تمثال,எண்ணிக்கை
366,Puppe::N,دمية,பொம்மை
367,Beutel::N,كيس,பை
368,Bündel::N,ربطة,பொதி
369,Tasche::N,شنطة,பை
370,Tasche::N,محفظة,பை
371,Eimer::N,سطل,வாளி
372,Eimer::N,جردل,வாளி
373,Deckel::N,سداد,உறை
374,Geschirr::N,أوان,பாத்திரம்
375,Sack::N,زكيبة,பை
376,Tasse::N,فنجان,கிண்ணம்
377,Topf::N,قدر,பானை
378,Topf::N,طنجرة,பானை
379,Kessel::N,قدر,கெண்டி
380,Kessel::N,غلاية,கெண்டி
381,Essen::N,طعام,உணவருந்துதல்
382,Nahrung::N,غذاء,உணவு
383,Speise::N,أكل,உணவு வகை
384,Fleisch::N,لحم,இறைச்சி
385,Getreide::N,حبوب,மக்காச்சோளம்
386,Brei::N,عصيدة,கஞ்சி
387,Brot::N,خبز,ரொட்டி
388,Scheibe::N,شريحة,துண்டு
389,Fett::N,سمن,கொழுப்பு
390,Butter::N,زبدة,வெண்ணெய்
391,Öl::N,زيت,எண்ணெய்
392,Salz::N,ملح,உப்பு
393,Suppe::N,حساء,ரசம்
394,Suppe::N,شربة,ரசம்
395,Honig::N,عسل,தேன்
396,Milch::N,حليب,பால்
397,Tee::N,شاي,தெனீர்
398,Leder::N,جلد,பதம் செய்யப்பட்ட தோல்
399,Wolle::N,صوف,கம்பளி
400,Stoff::N,قماش,துணி
401,Nadel::N,إبرة,ஊசி
402,Faden::N,خيط,நூல்
403,Knopf::N,زر,பொத்தான்
404,Knoten::N,عقدة,முடிச்சு
405,Farbe::N,صبغة,வண்ணக் குழம்பு
406,Kleidung::N,ملابس,ஆடைகள்
407,Hemd::N,قميص,சட்டை
408,Kragen::N,ياقة,கழுத்துப் பட்டை
409,Ärmel::N,كم,சட்டைக்கை
410,Hose::N,سروال,கால்சட்டை
411,Hose::N,بنطلون,கால்சட்டை
412,Gürtel::N,حزام,பெல்ட்
413,Mütze::N,طاقية,தொப்பி
414,Schuh::N,حذاء,காலணி
415,Stiefel::N,جزمة,காலணி
416,Stiefel::N,حذاء طويل,காலணி
417,Ring::N,حلقة,மோதிரம்
418,Band::N,شريط,நாடா
419,Kamm::N,مشط,கீப்பு
420,Spiegel::N,مرآة,ஆடி
421,Spiegel::N,مرآة,கண்ணாடி
422,Riemen::N,سير,வார்
423,Schnur::N,حبل,கயிறு
424,Schnur::N,دوبارة,கயிறு
425,Leine::N,قيد,தோல்வார்
426,Decke::N,بطانية,போர்வை
427,Kissen::N,وسادة,தலையணை
428,Tuch::N,منديل,துணி
429,Handtuch::N,فوطة,தண்டு
430,Handtuch::N,منشفة,தண்டு
431,Kraft::N,قدرة,நிர்பந்தம்
432,Stärke::N,قوة,பலம்
433,Gesundheit::N,صحة,ஆரோக்கியம்
434,Krankheit::N,مرض,நோய்
435,Schmerz::N,ألم,வலி
436,Schmerz::N,وجع,வலி
437,Wunde::N,جرح,காயம்
438,Fieber::N,حمى,காய்ச்சல்
439,Arznei::N,دواء,மருந்து
440,Brücke::N,جسر,பாலம்
441,Brunnen::N,بئر,கேணி
442,Weide::N,مرعى,மேய்ச்சல் நிலம்
443,Pfad::N,درب,நடை வழி
444,Weg::N,سكة,வழி
445,Straße::N,طريق,சாலை
446,Dorf::N,قرية,கிராமம்
447,Stadt::N,مدينة,நகரம்
448,Brief::N,خطاب,கடிதம்
449,Brief::N,مكتوب,கடிதம்
450,Buch::N,كتاب,புத்தகம்
451,Buchstabe::N,حرف,எழத்து
452,Zeitung::N,جريدة,செய்தித்தாள்
453,Leben::N,عيش,வாழ்க்கை
454,Leben::N,حياة,வாழ்க்கை
455,Tod::N,موت,மரணம்
456,Tod::N,وفاة,மரணம்
457,Grab::N,قبر,சமாதி
458,Kirche::N,كنيسة,தேவாலயம்
459,Sünde::N,خطيئة,பாவம்
460,Gott::N,إله,கடவுள்
461,Arbeiter::N,عامل,தொழிலாளி
462,Chef::N,رئيس,மேலாளர்
463,Meister::N,أسطى,தலைவன்
464,Arzt::N,طبيب,மருத்துவர்
465,Lehrer::N,مدرس,ஆசிரியர்
466,Geld::N,نقود,பணம்
467,Geschäft::N,صفقة,வாணிபம்
468,Laden::N,دكان,கடை
469,Preis::N,سعر,விலை
470,Ware::N,بضاعة,சாமன்கள்
471,Nutzen::N,فائدة,இலாபம்
472,Reichtum::N,غنى,சொத்து
473,Reichtum::N,ثروة,சொத்து
474,Welt::N,عالم,உலகம்
475,Welt::N,دنيا,உலகம்
476,Land::N,بلد,நாடு
477,Staat::N,دولة,நாடு
478,König::N,ملك,அரசன்
479,Macht::N,سلطة,அதிகாரம்
480,Grenze::N,حدود,எல்லை
481,Krieg::N,حرب,போர்
482,Feind::N,عدو,எதிரி
483,Gewalt::N,عنف,வன்முறை
484,Kampf::N,قتال,போராட்டம்
485,Bogen[Waffe]::N,قوس,வில்
486,Pfeil::N,سهم,அம்பு
487,Gewehr::N,بندقية,துப்பாக்கி
488,Fehler::N,خطأ,தவறு
489,Lüge::N,كذب,பொய்
490,Schaden::N,تلف,சேதாரம்
491,Unglück::N,نحس,இடையூறு
492,Schuld::N,ذنب,குற்றம்
493,Alter::N,سن,வயது
494,Alter::N,عمر,வயது
495,Schluss::N,ختام,முடிவு
496,Schluss::N,نهاية,முடிவு
497,Zeit::N,وقت,காலம்
498,Tag::N,يوم,நாள்
499,Morgen::N,صباح,காலை நேரம்
500,Mittag::N,ظهر,மதியம்
501,Abend::N,مساء,மாலைப் பொழுது
502,Nacht::N,ليلة,இரவு
503,Woche::N,أسبوع,வாரம்
504,Monat::N,شهر,மாதம்
505,Jahr::N,عام,வருடம்
506,Jahr::N,سنة,வருடம்
507,Frühling::N,ربيع,வசந்தம்
508,Sommer::N,صيف,கோடை
509,Herbst::N,خريف,இலையுதிர் காலம்
510,Winter::N,شتاء,குளிர்காலம்
511,Januar::N,يناير,ஜனவரி
512,Januar::N,كانون الثاني,ஜனவரி
513,Februar::N,شباط,பிபரவரி மாதம்
514,Februar::N,فبراير,பிபரவரி மாதம்
515,März::N,آذار,மார்ச் மாதம்
516,März::N,مارس,மார்ச் மாதம்
517,April::N,نيسان,ஏப்ரல் மாதம்
518,Mai::N,مايو,மே மாதம்
519,Juni::N,يونيو,ஜூன் மாதம்
520,Juni::N,حزيران,ஜூன் மாதம்
521,Juli::N,تموز,ஜூலை மாதம்
522,Juli::N,يوليو,ஜூலை மாதம்
523,August::N,آب,ஆகஸ்ட் மாதம்
524,August::N,أغسطس,ஆகஸ்ட் மாதம்
525,September::N,أيلول,செப்டம்பர் மாதம்
526,September::N,سبتمبر,செப்டம்பர் மாதம்
527,Oktober::N,أكتوبر,அக்டோபர் மாதம்
528,Oktober::N,تشرين الأول,அக்டோபர் மாதம்
529,November::N,نوفمبر,நவம்பர் மாதம்
530,November::N,تشرين الثاني,நவம்பர் மாதம்
531,Dezember::N,ديسمبر,டிசம்பர்
532,Dezember::N,كانون الأول,டிசம்பர்
533,Montag::N,يوم الاثنين,திங்கட் கிழமை
534,Dienstag::N,يوم الثلاثاء,செவ்வாய்க்கிழமை
535,Mittwoch::N,يوم الأربعاء,புதன் கிழமை
536,Donnerstag::N,يوم الخميس,வியாழக் கிழமை
537,Freitag::N,يوم الجمعة,வெள்ளிக்கிழமை
538,Samstag::N,يوم السبت,சனிக்கிழமை
539,Sonntag::N,يوم الأحد,ஞாயிறுக் கிழமை
540,groß::A,كبير,பெரிய
541,klein::A,صغير,சிறிய
542,lang::A,طويل,நீண்ட
543,kurz::A,قصير,குட்டையான
544,breit::A,واسع,அகலமான
545,schmal::A,ضيق,குறுகலான
546,dicht::A,كث,அடர்த்தியான
547,dicht::A,كثيف,அடர்த்தியான
548,dick[Gegenstand]::A,غليظ,தடித்த
549,dünn::A,رفيع,சன்னமான
550,fein::A,رقيق,மெல்லிய
551,fest::A,متين,உறுதியாள
552,flach::A,سهل,தட்டையான
553,flach::A,منبسط,தட்டையான
554,glatt::A,ناعم,வழுவழுப்பான
555,hart::A,صلب,கடினமான
556,hart::A,جامد,கடினமான
557,weich::A,لين,மென்மையான
558,rund::A,مستدير,உருண்டையான
559,spitz::A,مدبب,திகந்தமாக
560,scharf::A,حاد,கூரான
561,stumpf::A,ثالم,உளம் திறந்த
562,schwer::A,ثقيل,கனமான
563,schön::A,جميل,அழகான
564,heiß::A,حار,சூடான
565,heiß::A,ساخن,சூடான
566,warm::A,دافئ,இதமான
567,kalt::A,بارد,குளிர்ச்சியான
568,kühl::A,قر,குளிர்ச்சியான
569,frisch::A,طازج,சுத்தமான
570,feucht::A,رطب,ஈரமான
571,nass::A,مبلول,ஈரமான
572,trocken::A,جاف,உலர்ந்த
573,voll::A,ملء,நிரம்பிய
574,leer::A,خال,காலியான
575,leer::A,فارغ,காலியான
576,offen::A,مفتوح,திறந்த
577,geschlossen::A,مغلق,மூடப்பட்ட
578,sauber::A,نظيف,சுத்தமான
579,schmutzig::A,قذر,அழக்கான
580,roh::A,نيء,கச்சா
581,reif::A,ناضج,பழுத்த
582,lecker::A,لذيذ,சுவைமிக்க
583,süß::A,حلو,இனிப்பான
584,bitter::A,مر,கசப்பான
585,sauer::A,حامض,புளிப்பாக
586,hell::A,نير,பளபளப்பான
587,dunkel::A,مظلم,கருமையான
588,schwarz::A,أسود,கருப்பு வண்ண
589,weiß::A,أبيض,வெண்மையன
590,rot::A,أحمر,சிவப்பு
591,gelb::A,أصفر,மஞ்சள் வண்ணம்
592,blau::A,أزرق,நீல வண்ண
593,grün::A,أخضر,பச்சை வண்ண
594,grau::A,رمادي,சாம்பல் நிற
595,bunt::A,ملوب,வண்ண மயமான
596,billig::A,رخيص,மலிவான
597,teuer::A,غال,விலை அதிகமான
598,wertvoll::A,ثمين,மதிப்புள்ள
599,blind::A,أعمى,பார்வையற்ற
600,taub::A,أصم,செவிடான
601,taub::A,أطرش,செவிடான
602,kräftig::A,قوي,வலிமையான
603,stark::A,قوي,பலமான
604,schwach::A,ضعيف,பலவீனமான
605,fett::A,سمين,பருமனாக
606,schlank::A,أهيف,ஒல்லியான
607,hübsch::A,جميل,அழகிய
608,böse::A,رديء,கேடு விளைவிக்கும்
609,dumm::A,أبله,முட்டாள்தனமான
610,dumm::A,أحمق,முட்டாள்தனமான
611,faul::A,كسلان,சோம்பலான
612,fleißig::A,مجتهد,ஊக்கந்தளராத
613,geizig::A,بخيل,கஞேசத்தனமான
614,klug::A,ذكي,சாதுரியமான
615,klug::A,عاقل,சாதுரியமான
616,geschickt::A,ماهر,திறமையள்ள
617,lieb::A,عزيز,அன்புக்குரிய
618,lustig::A,مرح,களிப்புமிக்க
619,sanft::A,حليم,சாதுவான
620,hungrig::A,جائع,பசியுடன்
621,krank::A,مريض,நோயுற்று
622,nackt::A,عار,ஆடையற்ற
623,traurig::A,حزين,சோகமான
624,lebendig::A,حي,பிழைப்பு
625,gut::A,جيد,நல்ல
626,schlecht::A,سيء,கெட்ட
627,richtig::A,صحيح,சரியான
628,schlimm::A,خبيث,அருவருப்பான
629,wahr::A,حق,உண்மையான
630,alt::A,قديم,பழைய
631,neu::A,جديد,புதிய
632,ehemalig::A,سابق,முன்நாள்
633,alt[Lebewesen]::A,مسن,வயதான
634,jung::A,شاب,இளமையான
635,jung::A,صغير,இளமையான
636,arm::A,فقير,ஏழ்மையான
637,reich::A,غني,செல்வம் படைத்த
638,bekannt::A,معلوم,பழக்கப்பட்ட
639,berühmt::A,مشهور,புகழ்பெற்ற
640,fremd::A,أجنبي,அயல் நாட்டு
641,verschieden::A,مختلف,வித்தியாசமான
642,nah::A,قريب,பக்கத்தில் உள்ள
643,fern::A,بعيد,தொலை தூரத்தில்
644,linker::A,يسار,மீந்திருக்கும்
645,rechter::A,يمين,வலதுபக்கம்
646,anderer::A,آخر,மற்ற
647,erster::A,أول,முதனமையான
648,zweiter::A,ثان,இரண்டாவது
649,dritter::A,ثالث,மூன்றாவது
650,letzter::A,أخير,கடைசி
651,allein::ADV,وحده,தனியாக
652,auf einmal::ADV,بالمرة,தடீரென்று
653,zusammen::ADV,معا,சேர்ந்து
654,lange::ADV,مدة طويلة,அதிக நோம்
655,plötzlich::ADV,فجأة,தடீரென்று
656,sofort::ADV,حالا,உடனடியாக
657,sofort::ADV,فورا,உடனடியாக
658,später::ADV,فيما بعد,பிறகு
659,jetzt::ADV,الآن,இப்பொழது
660,jetzt::ADV,حاليا,இப்பொழது
661,heute::ADV,اليوم,இன்று
662,morgen::ADV,غدا,நாளைக்கு
663,bald::ADV,قريبا,சீக்கிரம்
664,dann::ADV,ثم,அப்பொழுது
665,gestern::ADV,أمس,நேற்று
666,gestern::ADV,البارحة,நேற்று
667,einst::ADV,قديما,ஒரே முறை
668,damals::ADV,حينئذ,அப்பொழுது
669,danach::ADV,ثم,பிற்பாடு
670,danach::ADV,بعد ذلك,பிற்பாடு
671,vorher::ADV,من قبل,முன்பாக
672,vorher::ADV,قبل ذلك,முன்பாக
673,zuerst::ADV,أولا,முதலில்
674,einmal::ADV,مرة,ஒரே முறை
675,manchmal::ADV,أحيانا,சில நேரங்களில்
