,Concept_ID,no,la
122,Abhang::N,skråning,declivum
123,Quelle::N,kilde,fons
124,Bach::N,bekk,rivus
125,Fluss::N,elv,flumen
126,Ufer::N,bredd,ripa
127,Küste::N,kyst,litus
128,Festland::N,fastland,continens
129,Meer::N,hav,mare
130,Bucht::N,bukt,sinus
131,Insel::N,øy,insula
132,Blume::N,blomst,flos
133,Gras::N,gress,herba
134,Gras::N,gress,gramen
135,Wurzel::N,rot,radix
136,Baum::N,tre,arbor
137,Stamm::N,stamme,truncus
138,Rinde::N,bark,cortex
139,Ast::N,gren,ramus
140,Zweig::N,kvist,ramus
141,Blatt::N,blad,folium
142,Birke::N,bjørk,betulla
143,Kiefer[Baum]::N,furu,pinus
144,Weide[Baum]::N,selje,salix
145,Weide[Baum]::N,piletre,salix
146,Tanne::N,gran,abies
147,Horn::N,horn,cornu
148,Feder::N,fjær,penna
149,Fell::N,skinn,pellis
150,Flügel::N,vinge,ala
151,Klaue::N,klauv,unguis
152,Kralle::N,klo,unguis
153,Schwanz::N,hale,cauda
154,Ei::N,egg,ovum
155,Nest::N,rede,nidus
156,Bau::N,hi,cavum
157,Bau::N,hi,latibulum
158,Tier::N,dyr,bestia
159,Herde::N,flokk,grex
160,Kuh::N,ku,vacca
161,Bulle::N,tyr,taurus
162,Pferd::N,hest,equus
163,Schaf::N,får,ovis
164,Schwein::N,gris,sus
165,Schwein::N,gris,porcus
166,Hund::N,hund,canis
167,Katze::N,katt,felis
168,Bär::N,bjørn,ursus
169,Eichhörnchen::N,ekorn,sciurus
170,Elch::N,elg,alces
171,Fuchs::N,rev,vulpes
172,Hase::N,hare,lepus
173,Maus::N,mus,mus
174,Wolf::N,ulv,lupus
175,Wolf::N,varg,lupus
176,Vogel::N,fugl,avis
177,Schwarm::N,sverm,examen
178,Huhn::N,høne,gallina
179,Hahn::N,hane,gallus
180,Gans::N,gås,anser
181,Adler::N,ørn,aquila
182,Ente::N,and,anas
183,Eule::N,ugle,ulula
184,Eule::N,ugle,noctua
185,Kranich::N,trane,grus
186,Krähe::N,kråke,cornix
187,Kuckuck::N,gjøk,cuculus
188,Schwan::N,svane,olor
189,Schwan::N,svane,cycnus
190,Fisch::N,fisk,piscis
191,Barsch::N,abbor,perca
192,Hecht::N,gjedde,esox
193,Schlange[Tier]::N,orm,serpens
194,Schlange[Tier]::N,slange,serpens
195,Wurm::N,orm,vermis
196,Wurm::N,mark,vermis
197,Spinne::N,edderkopp,aranea
198,Ameise::N,maur,formica
199,Laus::N,lus,pediculus
200,Mücke::N,mygg,culex
201,Fliege::N,flue,musca
202,Schmetterling::N,sommerfugl,papilio
203,Beere::N,bær,baca
204,Apfel::N,eple,malum
205,Pilz::N,sopp,fungus
206,Zwiebel::N,løk,cepa
207,Saat::N,sæd,seges
208,Korn::N,korn,granum
209,Heu::N,høy,faenum
210,Schale::N,skall,putamen
211,Grube::N,grop,fovea
212,Falle::N,felle,pedica
213,Schlinge::N,snare,laqueus
214,Spur::N,spor,vestigium
215,Asche::N,aske,cinis
216,Dreck::N,møkk,lutum
217,Dreck::N,skitt,lutum
218,Eisen::N,jern,ferrum
219,Gold::N,gull,aurum
220,Silber::N,sølv,argentum
221,Kohle::N,kol,carbo
222,Kohle::N,kull,carbo
223,Glas::N,glass,vitrum
224,Lehm::N,leire,lutum
225,Sand::N,sand,arena
226,Mensch::N,menneske,homo
227,Mann::N,mann,vir
228,Frau::N,kvinne,mulier
229,Kind::N,barn,puer
230,Kind::N,barn,infans
231,Junge::N,gutt,puer
232,Mädchen::N,pike,puella
233,Mädchen::N,jente,puella
234,Familie::N,familie,familia
235,Großvater::N,bestefar,avus
236,Großmutter::N,bestemor,avia
237,Eltern::N,foreldre,parentes
238,Vater::N,far,pater
239,Mutter::N,mor,mater
240,Sohn::N,sønn,filius
241,Tochter::N,datter,filia
242,Bruder::N,bror,frater
243,Schwester::N,søster,soror
244,Onkel::N,onkel,patruus
245,Onkel::N,onkel,avunculus
246,Tante::N,tante,amita
247,Ehemann::N,ektemann,maritus
248,Ehefrau::N,hustru,uxor
249,Freude::N,glede,gaudium
250,Freude::N,glede,laetitia
251,Gelächter::N,latter,risus
252,Glück::N,lykke,felicitas
253,Kummer::N,sorg,aegritudo
254,Wunsch::N,ønske,voluntas
255,Wunsch::N,ønske,desiderium
256,Lust::N,lyst,libido
257,Lust::N,lyst,voluptas
258,Geist::N,ånd,mens
259,Geist::N,ånd,animus
260,Gedanke::N,tanke,sententia
261,Gedächtnis::N,minne,memoria
262,Gedächtnis::N,hukommelse,memoria
263,Verstand::N,forstand,ratio
264,Verstand::N,forstand,ingenium
265,Sinn::N,mening,sensus
266,Sinn::N,betydning,sensus
267,Grund::N,grunn,causa
268,Wahrheit::N,sannhet,veritas
269,Gespräch::N,samtale,sermo
270,Märchen::N,eventyr,fabula
271,Erzählung::N,fortelling,fabula
272,Erzählung::N,fortelling,narratio
273,Nachricht::N,melding,nuntius
274,Neuigkeit::N,nyhet,novitas
275,Name::N,navn,nomen
276,Rätsel::N,gåte,aenigma
277,Rede::N,tale,oratio
278,Sprache::N,språk,lingua
279,Stimme::N,stemme,vox
280,Wort::N,ord,verbum
281,Wort::N,ord,vocabulum
282,Zeichen::N,tegn,signum
283,Ruf::N,rop,clamor
284,Lärm::N,bråk,strepitus
285,Laut::N,lyd,sonus
286,Ton::N,tone,sonus
287,Lied::N,vise,carmen
288,Ruhe::N,ro,quies
289,Leute::N,folk,homines
290,Volk::N,folk,populus
291,Arbeit::N,arbeid,labor
292,Gast::N,gjest,hospes
293,Gast::N,gjest,conviva
294,Geschenk::N,gave,munus
295,Spiel::N,lek,ludus
296,Spiel::N,spill,ludus
297,Gesellschaft::N,selskap,societas
298,Hilfe::N,hjelp,auxilium
299,Hilfe::N,hjelp,subsidium
300,Freund::N,venn,amicus
301,Kamerad::N,kamerat,socius
302,Angelegenheit::N,sak,res
303,Angelegenheit::N,anliggende,res
304,Anzahl::N,antall,numerus
305,Art::N,art,genus
306,Art::N,slag,genus
307,Stück::N,stykke,frustum
308,Stück::N,stykke,fragmentum
309,Teil::N,del,pars
310,Hälfte::N,halvdel,dimidium
311,Kreis::N,ring,orbis
312,Kreis::N,ring,circus
313,Kreis::N,sirkel,orbis
314,Kreis::N,sirkel,circus
315,Kreuz::N,kors,crux
316,Kreuz::N,kryss,crux
317,Linie::N,linje,linea
318,Strich::N,strek,lineamentum
319,Abstand::N,avstand,intervallum
320,Entfernung::N,avstand,spatium
321,Gegend::N,strøk,loca
322,Gegend::N,strøk,regio
323,Platz::N,plass,locus
324,Ort::N,sted,locus
325,Seite::N,side,latus
326,Mitte::N,midte,medium
327,Gegenstand::N,gjenstand,res
328,Sache::N,sak,res
329,Rand::N,rand,margo
330,Kante::N,kant,angulus
331,Ecke::N,hjørne,angulus
332,Spitze::N,spiss,cacumen
333,Ende::N,ende,caput
334,Loch::N,hull,foramen
335,Winkel::N,vinkel,angulus
336,Muster::N,mønster,exemplum
337,Größe::N,størrelse,magnitudo
338,Länge::N,lengde,longitudo
339,Höhe::N,høyde,altitudo
340,Gewicht::N,vekt,pondus
341,Menge::N,mengde,copia
342,Haufen::N,haug,acervus
343,Haufen::N,bunke,acervus
344,Reihe::N,rekke,ordo
345,Boot::N,båt,navicula
346,Ruder::N,åre,remus
347,Schlitten::N,slede,sclodia
348,Schlitten::N,kjelke,sclodia
349,Ski::N,ski,narta
350,Lagerfeuer::N,leirbål,ignis
351,Last::N,bør,onus
352,Last::N,last,onus
353,Gang::N,gang,cursus
354,Schritt::N,steg,gradus
355,Schritt::N,skritt,gradus
356,Norden::N,nord,septentriones
357,Süden::N,sør,meridies
358,Westen::N,vest,occidens
359,Osten::N,øst,oriens
360,Holz::N,tre,lignum
361,Brett::N,fjøl,tabula
362,Brett::N,brett,tabula
363,Platte::N,plate,lamina
364,Stütze::N,støtte,adminiculum
365,Stange::N,stang,pertica
366,Stock::N,pinne,baculum
367,Stab::N,stav,scipio
368,Stab::N,kjepp,scipio
369,Rohr::N,rør,tubus
370,Haus::N,hus,aedes
371,Heim::N,hjem,domicilium
372,Ofen::N,ovn,fornax
373,Fußboden::N,gulv,solum
374,Tisch::N,bord,mensa
375,Stuhl::N,stol,sella
376,Wiege::N,vogge,cunae
377,Bett::N,seng,lectus
378,Regal::N,reol,foruli
379,Regal::N,hylle,foruli
380,Kiste::N,kasse,cista
381,Fenster::N,vindu,fenestra
382,Tür::N,dør,ianua
383,Tor::N,port,porta
384,Zaun::N,gjerde,saepes
385,Dach::N,tak,tectum
386,Leiter::N,stige,scalae
387,Besen::N,kost,scopae
388,Spaten::N,spade,pala
389,Schaufel::N,skuffe,pala
390,Gabel::N,gaffel,fuscinula
391,Löffel::N,skje,coclear
392,Messer::N,kniv,culter
393,Nagel::N,spiker,clavus
394,Netz::N,nett,rete
395,Haken::N,krok,hamus
396,Griff::N,tak,manubrium
397,Griff::N,håndtak,manubrium
398,Schloss::N,lås,claustra
399,Bild::N,bilde,tabula
400,Bild::N,bilde,pictura
401,Figur::N,figur,statunculum
402,Puppe::N,dukke,pupa
403,Beutel::N,pose,sacculus
404,Bündel::N,bylt,fascis
405,Tasche::N,veske,sacculus
406,Eimer::N,bøtte,situla
407,Deckel::N,lokk,operculum
408,Geschirr::N,kjøkkentøy,vasa
409,Sack::N,sekk,saccus
410,Tasse::N,kopp,pocillum
411,Topf::N,gryte,olla
412,Kessel::N,kjele,aenum
413,Essen::N,mål,cena
414,Nahrung::N,mat,cibus
415,Nahrung::N,mat,alimenta
416,Nahrung::N,næring,cibus
417,Nahrung::N,næring,alimenta
418,Speise::N,matrett,cibus
419,Fleisch::N,kjøtt,caro
420,Getreide::N,korn,frumentum
421,Brei::N,grøt,puls
422,Brot::N,brød,panis
423,Scheibe::N,skive,frustum
424,Fett::N,fett,pingue
425,Butter::N,smør,butȳrum
426,Öl::N,olje,oleum
427,Salz::N,salt,sal
428,Suppe::N,suppe,ius
429,Honig::N,honning,mel
430,Milch::N,melk,lac
431,Tee::N,te,thea
432,Leder::N,lær,corium
433,Leder::N,skinn,corium
434,Wolle::N,ull,lana
435,Stoff::N,tøy,textum
436,Stoff::N,stoff,textum
437,Nadel::N,nål,acus
438,Faden::N,tråd,filum
439,Knopf::N,knapp,bulla
440,Knoten::N,knute,nodus
441,Farbe::N,farge,pigmentum
442,Kleidung::N,påkledning,vestimenta
443,Hemd::N,skjorte,tunica
444,Kragen::N,krage,collare
445,Ärmel::N,erme,manica
446,Hose::N,bukse,bracae
447,Gürtel::N,belte,cingulum
448,Mütze::N,lue,pilleus
449,Schuh::N,sko,calceus
450,Stiefel::N,støvel,pero
451,Stiefel::N,støvel,caliga
452,Ring::N,ring,anulus
453,Band::N,band,redimiculum
454,Kamm::N,kam,pecten
455,Spiegel::N,speil,speculum
456,Riemen::N,rem,lorum
457,Schnur::N,snor,linum
458,Leine::N,line,retinaculum
459,Decke::N,teppe,lodix
460,Kissen::N,pute,pulvinus
461,Tuch::N,tøy,velum
462,Handtuch::N,håndkle,mantele
463,Kraft::N,kraft,vis
464,Stärke::N,styrke,robur
465,Gesundheit::N,helse,valetudo
466,Gesundheit::N,sunnhet,valetudo
467,Krankheit::N,syke,morbus
468,Krankheit::N,sykdom,morbus
469,Schmerz::N,smerte,dolor
470,Wunde::N,sår,vulnus
471,Fieber::N,feber,febris
472,Arznei::N,medisin,remedium
473,Arznei::N,legemiddel,remedium
474,Brücke::N,bro,pons
475,Brunnen::N,brønn,puteus
476,Weide::N,beite,pascua
477,Pfad::N,sti,semita
478,Weg::N,vei,iter
479,Straße::N,gate,via
480,Dorf::N,landsby,vicus
481,Stadt::N,by,urbs
482,Stadt::N,by,oppidum
483,Brief::N,brev,epistula
484,Buch::N,bok,liber
485,Buchstabe::N,bokstav,littera
486,Zeitung::N,avis,diurnum
487,Leben::N,liv,vita
488,Tod::N,død,mors
489,Grab::N,grav,sepulcrum
490,Kirche::N,kirke,ecclesia
491,Sünde::N,synd,peccatum
492,Gott::N,gud,deus
493,Arbeiter::N,arbeider,operarius
494,Chef::N,sjef,praefectus
495,Meister::N,mester,magister
496,Arzt::N,lege,medicus
497,Lehrer::N,lærer,magister
498,Geld::N,penger,aes
499,Geld::N,penger,pecunia
500,Geschäft::N,forretning,negotium
501,Laden::N,butikk,taberna
502,Preis::N,pris,pretium
503,Ware::N,vare,merx
504,Nutzen::N,nytte,utilitas
505,Reichtum::N,rikdom,opes
506,Reichtum::N,rikdom,divitiae
507,Welt::N,verden,mundus
508,Land::N,land,terra
509,Staat::N,stat,res publica
510,König::N,konge,rex
511,Macht::N,makt,potestas
512,Grenze::N,grense,limes
513,Krieg::N,krig,bellum
514,Feind::N,fiende,inimicus
515,Gewalt::N,vold,vis
516,Kampf::N,kamp,pugna
517,Bogen[Waffe]::N,bue,arcus
518,Pfeil::N,pil,sagitta
519,Gewehr::N,gevær,sclopetum
520,Fehler::N,feil,error
521,Lüge::N,løgn,mendacium
522,Schaden::N,skade,damnum
523,Schaden::N,skade,detrimentum
524,Unglück::N,uhell,miseria
525,Unglück::N,uhell,calamitas
526,Schuld::N,skyld,culpa
527,Alter::N,alder,aetas
528,Schluss::N,slutt,finis
529,Zeit::N,tid,tempus
530,Tag::N,dag,dies
531,Morgen::N,morgen,mane
532,Mittag::N,middag,meridies
533,Abend::N,aften,vesper
534,Nacht::N,natt,nox
535,Woche::N,uke,septimana
536,Monat::N,måned,mensis
537,Jahr::N,år,annus
538,Frühling::N,vår,ver
539,Sommer::N,sommer,aestas
540,Herbst::N,høst,autumnus
541,Winter::N,vinter,hiems
542,Januar::N,januar,Ianuarius
543,Februar::N,februar,Februarius
544,März::N,mars,Martius
545,April::N,april,Aprilis
546,Mai::N,mai,Maius
547,Juni::N,juni,Iunius
548,Juli::N,juli,Iulius
549,August::N,august,Augustus
550,September::N,september,September
551,Oktober::N,oktober,Octobris
552,November::N,november,Novembris
553,Dezember::N,desember,December
554,Montag::N,mandag,dies lunae
555,Dienstag::N,tirsdag,dies Martis 
556,Mittwoch::N,onsdag,dies Mercurii
557,Donnerstag::N,torsdag,dies Iovis
558,Freitag::N,fredag,dies Veneris
559,Samstag::N,lørdag,dies Saturni
560,Sonntag::N,søndag,dominicus
561,Sonntag::N,søndag,dies solis
562,groß::A,stor,magnus
563,klein::A,liten,parvus
564,lang::A,lang,longus
565,kurz::A,kort,brevis
566,breit::A,bred,latus
567,schmal::A,smal,angustus
568,dicht::A,tett,densus
569,dick[Gegenstand]::A,tykk,crassus
570,dünn::A,tynn,tenuis
571,fein::A,fin,subtilis
572,fest::A,fast,solidus
573,fest::A,fast,stabilis
574,flach::A,flat,planus
575,glatt::A,glatt,levis
576,hart::A,hard,durus
577,weich::A,myk,mollis
578,weich::A,bløt,mollis
579,rund::A,rund,rotundus
580,spitz::A,spiss,acutus
581,scharf::A,kvass,acer
582,stumpf::A,stubb,hebes
583,schwer::A,tung,gravis
584,schön::A,pen,pulcher
585,schön::A,pen,formosus
586,schön::A,vakker,pulcher
587,schön::A,vakker,formosus
588,heiß::A,het,fervidus
589,warm::A,varm,calidus
590,kalt::A,kald,frigidus
591,kühl::A,kjølig,frigidus
592,frisch::A,fersk,recens
593,feucht::A,fuktig,umidus
594,nass::A,våt,madidus
595,trocken::A,tørr,aridus
596,voll::A,full,plenus
597,leer::A,tom,vacuus
598,offen::A,åpen,apertus
599,geschlossen::A,lukket,clausus
600,sauber::A,ren,lautus
601,schmutzig::A,skitten,sordidus
602,roh::A,rå,crudus
603,reif::A,moden,maturus
604,lecker::A,lekker,delicatus
605,süß::A,søt,dulcis
606,bitter::A,besk,amarus
607,bitter::A,besk,acerbus
608,bitter::A,bitter,amarus
609,bitter::A,bitter,acerbus
610,sauer::A,sur,acidus
611,hell::A,lys,clarus
612,dunkel::A,mørk,obscurus
613,schwarz::A,svart,niger
614,weiß::A,hvit,albus
615,rot::A,rød,ruber
616,gelb::A,gul,flavus
617,blau::A,blå,caeruleus
618,grün::A,grønn,viridis
619,grau::A,grå,canus
620,bunt::A,broket,varius
621,billig::A,billig,vilis
622,teuer::A,dyr,carus
623,wertvoll::A,verdifull,pretiosus
624,blind::A,blind,caecus
625,taub::A,døv,surdus
626,kräftig::A,kraftig,robustus
627,stark::A,sterk,firmus
628,stark::A,sterk,validus
629,schwach::A,svak,debilis
630,schwach::A,svak,infirmus
631,fett::A,fet,crassus
632,schlank::A,slank,procerus
633,hübsch::A,pen,pulcher
634,böse::A,slem,improbus
635,dumm::A,dum,stultus
636,dumm::A,dum,stupidus
637,faul::A,lat,piger
638,faul::A,doven,piger
639,fleißig::A,flittig,sedulus
640,geizig::A,gjerrig,avarus
641,klug::A,klok,prudens
642,geschickt::A,hendig,sollers
643,geschickt::A,skikket,sollers
644,lieb::A,kjær,carus
645,lieb::A,snill,carus
646,lustig::A,morsom,iocosus
647,sanft::A,blid,clemens
648,hungrig::A,sulten,impastus
649,krank::A,syk,aeger
650,nackt::A,naken,nudus
651,traurig::A,sørgmodig,maestus
652,lebendig::A,levende,vivus
653,gut::A,god,bonus
654,schlecht::A,dårlig,malus
655,richtig::A,riktig,rectus
656,schlimm::A,slem,malus
657,wahr::A,sann,verus
658,alt::A,gammel,antiquus
659,neu::A,ny,novus
660,ehemalig::A,forhenværende,pristinus
661,alt[Lebewesen]::A,gammel,vetus
662,jung::A,ung,iuvenis
663,arm::A,fattig,pauper
664,reich::A,rik,dives
665,bekannt::A,kjent,notus
666,berühmt::A,berømt,celeber
667,berühmt::A,berømt,illustris
668,fremd::A,fremmed,peregrinus
669,verschieden::A,forskjellig,varius
670,nah::A,nær,propinquus
671,fern::A,fjern,longinquus
672,linker::A,venstre,sinister
673,rechter::A,høyre,dexter
674,anderer::A,annen,alius
675,erster::A,første,primus
676,zweiter::A,annen,secundus
677,dritter::A,tredje,tertius
678,letzter::A,sist,ultimus
679,allein::ADV,alene,solum
680,auf einmal::ADV,med ett,simul
681,zusammen::ADV,sammen,una
682,lange::ADV,lenge,diu
683,plötzlich::ADV,plutselig,subito
684,plötzlich::ADV,plutselig,repente
685,sofort::ADV,straks,statim
686,später::ADV,senere,postea
687,jetzt::ADV,nå,nunc
688,heute::ADV,i dag,hodie
689,morgen::ADV,i morgen,cras
690,bald::ADV,snart,mox
691,dann::ADV,så,deinde
692,gestern::ADV,i går,heri
693,einst::ADV,engang,olim
694,damals::ADV,den gang,tum
695,danach::ADV,deretter,postea
696,vorher::ADV,før,antea
697,vorher::ADV,i forveien,antea
698,zuerst::ADV,først,primo
699,einmal::ADV,en gang,semel
700,manchmal::ADV,somme tider,interdum
701,oft::ADV,ofte,saepe
702,immer::ADV,alltid,semper
703,niemals::ADV,aldri,numquam
704,hier::ADV,her,hic
705,hierhin::ADV,hit,huc
706,von hier::ADV,herfra,hinc
707,dort::ADV,der,ibi
708,dorthin::ADV,dit,eo
709,geradeaus::ADV,rett fram,recte
710,vorwärts::ADV,fram,porro
711,vorwärts::ADV,framover,porro
712,rückwärts::ADV,baklengs,retro
713,zurück::ADV,tilbake,retro
714,unten::ADV,nede,infra
715,hinab::ADV,ned,pessum
716,hinab::ADV,nedover,pessum
717,oben::ADV,oppe,supra
718,oben::ADV,ovenpå,supra
719,hinauf::ADV,opp,sursum
720,hinauf::ADV,oppover,sursum
721,überall::ADV,overalt,ubique
722,nicht::ADV,ikke,non
723,ein wenig::ADV,litt,paulum
724,kaum::ADV,neppe,vix
725,kaum::ADV,neppe,aegre
726,sehr::ADV,svært,valde
727,sehr::ADV,svært,magnopere
728,so::ADV,så,ita
729,noch::ADV,enda,etiam
730,nur::ADV,bare,solum
731,nur::ADV,bare,tantum
732,schon::ADV,alt,iam
733,schon::ADV,allerede,iam
734,wieder::ADV,igjen,rursus
735,vergebens::ADV,forgjeves,frustra
736,vor::PRP,foran,ante
737,vor::PRP,utenfor,ante
738,hinter::PRP,bak,post
739,hinter::PRP,bakom,post
740,unter::PRP,under,sub
741,durch::PRP,gjennom,per
742,durch::PRP,igjennom,per
743,neben::PRP,ved siden av,iuxta
744,zwischen::PRP,mellom,inter
745,wegen::PRP,på grunn av,propter
746,dies::PRN,dette,hoc
747,das::PRN,det,id
748,alles::PRN,alt,omnia
749,ich::PRN,jeg,ego
750,du::PRN,du,tu
751,er::PRN,han,is
752,er::PRN,han,ille
753,wir::PRN,vi,nos
754,ihr::PRN,dere,vos
755,sie::PRN,de,ii
756,sie::PRN,de,illi
757,was::FPRN,hva,quid
758,wer::FPRN,hvem,quis
759,wo::FADV,hvor,ubi
760,wohin::FADV,hvor ... hen,quo
761,wie::FADV,hvordan,quomodo
762,warum::FADV,hvorfor,cur
763,wieviel::FNUM,hvor mye,quantum
764,eins::NUM,en,unus
765,eins::NUM,ett,unus
766,zwei::NUM,to,duo
767,drei::NUM,tre,tres
768,vier::NUM,fire,quattuor
769,fünf::NUM,fem,quinque
770,sechs::NUM,seks,sex
771,sieben::NUM,sju,septem
772,acht::NUM,åtte,octo
773,neun::NUM,ni,novem
774,zehn::NUM,ti,decem
775,elf::NUM,elleve,undecim
776,zwölf::NUM,tolv,duodecim
777,zwanzig::NUM,tjue,viginti
778,dreißig::NUM,tretti,triginta
779,vierzig::NUM,førti,quadraginta
780,fünfzig::NUM,femti,quinquaginta
781,sechzig::NUM,seksti,sexaginta
782,siebzig::NUM,sytti,septuaginta
783,achtzig::NUM,åtti,octoginta
784,neunzig::NUM,nitti,nonaginta
785,hundert::NUM,hundre,centum
786,tausend::NUM,tusen,mille
787,und::CNJ,og,et
788,und::CNJ,og,-que
789,oder::CNJ,eller,vel
790,stehen::V,stå,stare
791,sitzen::V,sitte,sedere
792,liegen::V,ligge,iacere
793,hängen::V,henge,pendere
794,werden::V,bli,fieri
795,passieren::V,skje,accidere
796,passieren::V,hende,accidere
797,beginnen::V,begynne,incipere
798,enden::V,ende,finem habere
799,enden::V,slutte,finem habere
800,wechseln::V,veksle,mutari
801,aufgehen[Sonne]::V,stå opp,oriri
802,untergehen[Sonne]::V,gå ned,occidere
803,scheinen[Sonne]::V,skinne,lucere
804,donnern::V,tordne,tonare
805,wehen::V,blåse,flare
806,strömen::V,strømme,fluere
807,fließen::V,flyte,manare
808,sich drehen::V,dreie seg,torqueri
809,schwanken::V,svaie,vacillare
810,schwingen::V,svinge,vibrare
811,fallen::V,falle,cadere
812,brennen::V,brenne,ardere
813,rauchen::V,ryke,fumare
814,regnen::V,regne,pluere
815,gefrieren::V,fryse,congelari
816,tauen::V,tine,rorare
817,schmelzen::V,smelte,liquescere
818,trocknen::V,tørre,arescere
819,sieden::V,koke,fervere
820,faulen::V,råtne,putescere
821,verfaulen::V,råtne,putescere
822,reißen::V,briste,scindi
823,versinken::V,synke,mergi
824,versinken::V,synke ned,mergi
825,vergehen::V,forløpe,praeterire
826,erscheinen::V,synes,apparere
827,verschwinden::V,forsvinne,discedere
828,sinken::V,synke,labi
829,abnehmen::V,avta,deminui
830,abnehmen::V,minske,deminui
831,zunehmen::V,tilta,augeri
832,steigen::V,stige,augescere
833,wachsen::V,gro,crescere
834,wachsen::V,vokse,crescere
835,glänzen::V,skinne,splendere
836,funkeln::V,tindre,micare
837,lärmen::V,bråke,strepere
838,läuten::V,ringe,sonare
839,klingeln::V,ringe,tinnire
840,klirren::V,klirre,crepare
841,brausen::V,bruse,saevire
842,rauschen::V,suse,crepare
843,klingen::V,lyde,sonare
844,klingen::V,klinge,sonare
845,bellen::V,gjø,latrare
846,bellen::V,bjeffe,latrare
847,heulen::V,ule,ululare
848,blasen::V,blåse,flare
849,pfeifen::V,plystre,sibilare
850,schreien::V,skrike,clamare
851,stöhnen::V,stønne,gemere
852,zittern::V,dirre,tremere
853,zittern::V,dirre,trepidare
854,zittern::V,skjelve,tremere
855,zittern::V,skjelve,trepidare
856,leben::V,leve,vivere
