,Concept_ID,uk,eu
307,Ton::N,тон,tonu
308,Ton::N,тон,soinu
309,Lied::N,пісня,abesti
310,Ruhe::N,спокій,nasaitasun
311,Leute::N,люди,jende
312,Volk::N,народ,herri
313,Volk::N,народ,populu
314,Arbeit::N,робота,lan
315,Gast::N,гість,arrotz
316,Gast::N,гість,apopilo
317,Geschenk::N,подарунок,opari
318,Spiel::N,гра,jolas
319,Gesellschaft::N,товариство,gizarte
320,Hilfe::N,допомога,helpide
321,Hilfe::N,допомога,laguntza
322,Freund::N,друг,lagun
323,Freund::N,приятель,lagun
324,Kamerad::N,товариш,adiskide
325,Kamerad::N,товариш,lagunkide
326,Angelegenheit::N,справа,afera
327,Anzahl::N,число,kopuru
328,Art::N,рід,mota
329,Stück::N,кусок,puska
330,Teil::N,частина,atal
331,Hälfte::N,половина,erdi
332,Kreis::N,круг,biribilki
333,Kreis::N,коло,biribilki
334,Kreuz::N,хрест,gurutze
335,Linie::N,лінія,linea
336,Strich::N,штрих,marra
337,Abstand::N,проміжок,tarte
338,Entfernung::N,відстань,urrunera
339,Gegend::N,місцевість,alderdi
340,Gegend::N,місцевість,eskualde
341,Platz::N,площа,leku
342,Ort::N,місце,toki
343,Seite::N,сторона,albo
344,Mitte::N,середина,erdi
345,Gegenstand::N,предмет,gauzaki
346,Sache::N,річ,gauza
347,Rand::N,край,ertz
348,Kante::N,ребро,ertz
349,Ecke::N,ріг,kantoi
350,Spitze::N,кінчик,punta
351,Ende::N,кінець,buru
352,Ende::N,кінець,mutur
353,Loch::N,діра,zulo
354,Winkel::N,куток,zoko
355,Winkel::N,куток,bazter
356,Muster::N,узор,eredu
357,Muster::N,узор,marrazki
358,Größe::N,розмір,kaizu
359,Größe::N,розмір,tamaina
360,Länge::N,довжина,luzera
361,Höhe::N,висота,goiera
362,Höhe::N,висота,garaiera
363,Gewicht::N,вага,hazta
364,Menge::N,кількість,kopuru
365,Haufen::N,купа,pila
366,Haufen::N,купа,mendoi
367,Reihe::N,ряд,ilara
368,Reihe::N,ряд,errenkada
369,Boot::N,човен,potin
370,Boot::N,човен,txalupa
371,Ruder::N,весло,arraun
372,Schlitten::N,сани,lera
373,Schlitten::N,сани,narra
374,Ski::N,лижа,eski
375,Lagerfeuer::N,вогнище,su
376,Last::N,тягар,zama
377,Last::N,тягар,karga
378,Last::N,вантаж,zama
379,Last::N,вантаж,karga
380,Gang::N,хід,ibilera
381,Schritt::N,крок,pauso
382,Schritt::N,крок,urrats
383,Norden::N,північ,ipar
384,Norden::N,північ,iparralde
385,Süden::N,південь,hego
386,Süden::N,південь,hegoalde
387,Westen::N,захід,sartalde
388,Westen::N,захід,mendebalde
389,Osten::N,схід,ekialde
390,Osten::N,схід,sortalde
391,Holz::N,дрова,zur
392,Brett::N,дошка,ohol
393,Platte::N,плита,lauza
394,Stütze::N,підпірка,irozgarri
395,Stütze::N,підпірка,bermagailu
396,Stange::N,жердина,haga
397,Stock::N,палиця,makila
398,Stab::N,палиця,makila
399,Rohr::N,труба,hodi
400,Haus::N,дім,etxe
401,Haus::N,хата,etxe
402,Heim::N,житло,etxe
403,Heim::N,житло,etxaleku
404,Ofen::N,піч,berogailu
405,Fußboden::N,підлога,zoru
406,Tisch::N,стіл,mahai
407,Stuhl::N,стілець,aulki
408,Wiege::N,колиска,kuma
409,Wiege::N,колиска,sehaska
410,Bett::N,ліжко,ohe
411,Bett::N,ліжко,ohatze
412,Bett::N,постіль,ohe
413,Bett::N,постіль,ohatze
414,Regal::N,полиця,apalategi
415,Kiste::N,ящик,kutxa
416,Fenster::N,вікно,leiho
417,Tür::N,двері,ate
418,Tor::N,ворота,atari
419,Zaun::N,паркан,hesi
420,Zaun::N,огорожа,hesi
421,Dach::N,дах,teilatu
422,Leiter::N,драбина,zurubi
423,Besen::N,мітла,erratz
424,Spaten::N,заступ,burdinpala
425,Schaufel::N,совок,pala
426,Schaufel::N,лопата,pala
427,Gabel::N,виделка,sardexka
428,Löffel::N,ложка,koilara
429,Messer::N,ніж,aizto
430,Nagel::N,цвях,iltze
431,Netz::N,сіть,sare
432,Haken::N,крюк,mako
433,Griff::N,ручка,eskutoki
434,Griff::N,держак,eskutoki
435,Schloss::N,замок,sarraila
436,Bild::N,картина,irudi
437,Figur::N,фігура,figura
438,Puppe::N,лялька,panpina
439,Puppe::N,лялька,andrakila
440,Beutel::N,мішечок,zorro
441,Beutel::N,торбинка,zorro
442,Bündel::N,в’язка,azao
443,Bündel::N,в’язка,espal
444,Tasche::N,сумка,poltsa
445,Eimer::N,відро,treska
446,Deckel::N,кришка,tapa
447,Deckel::N,кришка,estalki
448,Geschirr::N,посуд,baxera
449,Geschirr::N,посуд,ontziteria
450,Sack::N,мішок,zaku
451,Tasse::N,чашка,kikara
452,Topf::N,горщик,ontzi
453,Topf::N,горщик,lapiko
454,Kessel::N,котел,pazia
455,Essen::N,їжа,janaldi
456,Nahrung::N,харч,jan
457,Speise::N,страва,jaki
458,Fleisch::N,м’ясо,okela
459,Fleisch::N,м’ясо,haragi
460,Getreide::N,хліб,labore
461,Getreide::N,збіжжя,labore
462,Brei::N,каша,ahi
463,Brei::N,каша,pure
464,Brot::N,хліб,ogi
465,Scheibe::N,скибочка,xerra
466,Scheibe::N,скибочка,pirripita
467,Fett::N,жир,urin
468,Fett::N,жир,koipe
469,Butter::N,масло,gurin
470,Öl::N,олія,olio
471,Salz::N,сіль,gatz
472,Suppe::N,суп,zopa
473,Suppe::N,суп,salda
474,Honig::N,мед,ezti
475,Milch::N,молоко,esne
476,Tee::N,чай,te
477,Leder::N,шкіра,larru
478,Wolle::N,шерсть,artile
479,Stoff::N,тканина,ehun
480,Nadel::N,голка,orratz
481,Nadel::N,голка,jostorratz
482,Faden::N,нитка,hari
483,Knopf::N,ґудзик,botoi
484,Knoten::N,вузол,korapilo
485,Farbe::N,фарба,pintura
486,Kleidung::N,одяг,arropa
487,Kleidung::N,одяг,jantziak
488,Kleidung::N,убрання,arropa
489,Kleidung::N,убрання,jantziak
490,Hemd::N,сорочка,atorra
491,Hemd::N,сорочка,alkandora
492,Kragen::N,комір,idun
493,Ärmel::N,рукав,mahuka
494,Hose::N,брюки,prakak
495,Hose::N,брюки,galtzak
496,Gürtel::N,пояс,gerriko
497,Mütze::N,шапка,txano
498,Mütze::N,шапка,txapel
499,Schuh::N,ботинок,oski
500,Schuh::N,ботинок,oinetako
501,Stiefel::N,чобіт,bota
502,Ring::N,кільце,uztai
503,Band::N,стрічка,zinta
504,Band::N,стрічка,xingola
505,Kamm::N,гребінець,orrazi
506,Spiegel::N,дзеркало,mirail
507,Riemen::N,ремінь,uhal
508,Schnur::N,вірьовка,lokailu
509,Leine::N,шворка,lotura
510,Decke::N,ковдра,burusi
511,Kissen::N,подушка,kuxin
512,Tuch::N,хустка,zapi
513,Tuch::N,хустка,oihal
514,Handtuch::N,рушник,eskuzapi
515,Handtuch::N,рушник,eskuoihal
516,Kraft::N,сила,indar
517,Stärke::N,сила,indar
518,Gesundheit::N,здоров’я,osasun
519,Krankheit::N,хвороба,eritasun
520,Krankheit::N,хвороба,gaixotasun
521,Schmerz::N,біль,min
522,Wunde::N,рана,zauri
523,Fieber::N,гарячка,sukar
524,Arznei::N,ліки,osagai
525,Arznei::N,ліки,sendagai
526,Brücke::N,міст,zubi
527,Brunnen::N,колодязь,putzu
528,Weide::N,пасовище,alha
529,Weide::N,пасовище,bazkaleku
530,Pfad::N,стежка,zidor
531,Pfad::N,стежка,bidexka
532,Weg::N,шлях,bide
533,Weg::N,дорога,bide
534,Straße::N,вулиця,errepide
535,Dorf::N,село,herri
536,Stadt::N,місто,hiri
537,Brief::N,лист,gutun
538,Brief::N,лист,eskutitz
539,Buch::N,книга,liburu
540,Buch::N,книжка,liburu
541,Buchstabe::N,буква,hizki
542,Buchstabe::N,літера,hizki
543,Zeitung::N,газета,egunkari
544,Leben::N,життя,bizi
545,Leben::N,життя,bizitza
546,Tod::N,смерть,herio
547,Tod::N,смерть,heriotza
548,Grab::N,могила,hobi
549,Grab::N,могила,hilobi
550,Kirche::N,церква,eliza
551,Sünde::N,гріх,hoben
552,Sünde::N,гріх,bekatu
553,Gott::N,бог,jainko
554,Arbeiter::N,робітник,langile
555,Arbeiter::N,робітник,behargin
556,Chef::N,хазяїн,nagusi
557,Meister::N,умілець,maisu
558,Arzt::N,лікар,osagile
559,Arzt::N,лікар,sendagile
560,Lehrer::N,вчитель,irakasle
561,Geld::N,гроші,diru
562,Geschäft::N,заняття,negozio
563,Laden::N,магазин,denda
564,Laden::N,магазин,saltegi
565,Laden::N,крамниця,denda
566,Laden::N,крамниця,saltegi
567,Preis::N,ціна,prezio
568,Preis::N,ціна,salneurri
569,Ware::N,товар,salgai
570,Nutzen::N,вигода,onura
571,Nutzen::N,вигода,probetxu
572,Nutzen::N,користь,onura
573,Nutzen::N,користь,probetxu
574,Reichtum::N,багатство,aberastasun
575,Welt::N,світ,ludi
576,Welt::N,світ,mundu
577,Land::N,країна,herrialde
578,Staat::N,держава,estatu
579,König::N,король,errege
580,Macht::N,влада,botere
581,Grenze::N,кордон,muga
582,Krieg::N,війна,guda
583,Feind::N,ворог,etsai
584,Feind::N,ворог,arerio
585,Gewalt::N,насильство,bortxa
586,Gewalt::N,насильство,bortizkeria
587,Kampf::N,бій,gudu
588,Kampf::N,бій,auska
589,Kampf::N,боротьба,gudu
590,Kampf::N,боротьба,auska
591,Bogen[Waffe]::N,лук,arku
592,Pfeil::N,стріла,gezi
593,Gewehr::N,рушниця,fusil
594,Gewehr::N,гвинтівка,fusil
595,Fehler::N,помилка,huts
596,Fehler::N,помилка,hutsegin
597,Lüge::N,брехня,gezur
598,Schaden::N,шкода,kalte
599,Schaden::N,збиток,kalte
600,Unglück::N,нещастя,zoritxar
601,Unglück::N,нещастя,zorigaitz
602,Schuld::N,провина,erru
603,Alter::N,вік,adin
604,Alter::N,літа,adin
605,Schluss::N,кінець,bukaera
606,Zeit::N,час,aldi
607,Zeit::N,час,denbora
608,Tag::N,день,egun
609,Morgen::N,ранок,goiz
610,Mittag::N,південь,eguerdi
611,Abend::N,вечір,arrats
612,Nacht::N,ніч,gau
613,Woche::N,тиждень,aste
614,Monat::N,місяць,hil
615,Jahr::N,рік,urte
616,Frühling::N,весна,udalehen
617,Sommer::N,літо,uda
618,Herbst::N,осінь,udazken
619,Herbst::N,осінь,neguantz
620,Winter::N,зима,negu
621,Januar::N,січень,urtarril
622,Februar::N,лютий,otsail
623,März::N,березень,martxo
624,April::N,квітень,apiril
625,Mai::N,травень,maiatz
626,Juni::N,червень,ekain
627,Juli::N,липень,uztail
628,August::N,серпень,abuztu
629,September::N,вересень,irail
630,Oktober::N,жовтень,urri
631,November::N,листопад,azaro
632,Dezember::N,грудень,abendu
633,Montag::N,понеділок,astelehen
634,Dienstag::N,вівторок,astearte
635,Mittwoch::N,середа,asteazken
636,Donnerstag::N,четвер,ostegun
637,Freitag::N,п’ятниця,ostiral
638,Samstag::N,субота,larunbat
639,Sonntag::N,неділя,igande
640,groß::A,великий,handi
641,klein::A,малий,txiki
642,klein::A,маленький,txiki
643,lang::A,довгий,luze
644,kurz::A,короткий,labur
645,breit::A,широкий,zabal
646,schmal::A,вузький,mehar
647,dicht::A,густий,sarri
648,dicht::A,густий,trinko
649,dick[Gegenstand]::A,товстий,lodi
650,dünn::A,тонкий,mehe
651,fein::A,дрібний,fin
652,fest::A,міцний,tinko
653,flach::A,плоский,lau
654,flach::A,плоский,ordoki
655,glatt::A,рівний,leun
656,glatt::A,гладенький,leun
657,hart::A,твердий,gogor
658,weich::A,м’який,bigun
659,weich::A,м’який,beratz
660,rund::A,круглий,biribil
661,spitz::A,гострокінцевий,puntadun
662,scharf::A,гострий,zorrotz
663,stumpf::A,тупий,kamuts
664,schwer::A,важкий,astun
665,schwer::A,важкий,pisutsu
666,schön::A,вродливий,eder
667,heiß::A,жаркий,bero
668,heiß::A,жаркий,oso bero
669,heiß::A,гарячий,bero
670,heiß::A,гарячий,oso bero
671,warm::A,теплий,bero
672,kalt::A,холодний,hotz
673,kühl::A,прохолодний,hotzil
674,frisch::A,свіжий,fresko
675,frisch::A,свіжий,hozkirri
676,feucht::A,вогкий,heze
677,nass::A,мокрий,busti
678,trocken::A,сухий,siku
679,trocken::A,сухий,lehor
680,voll::A,повний,bete
681,leer::A,пустий,huts
682,offen::A,відкритий,ireki
683,geschlossen::A,закритий,itxita
684,geschlossen::A,зачинений,itxita
685,sauber::A,чистий,xahu
686,sauber::A,чистий,garbi
687,sauber::A,охайний,xahu
688,sauber::A,охайний,garbi
689,schmutzig::A,брудний,lohi
690,schmutzig::A,брудний,zikin
691,roh::A,сирий,gordin
692,reif::A,зрілий,umo
693,reif::A,зрілий,heldu
694,lecker::A,смачний,goxo
695,süß::A,солодкий,goxo
696,bitter::A,гіркий,karmin
697,bitter::A,гіркий,garratz
698,sauer::A,кислий,mingots
699,hell::A,світлий,argi
700,dunkel::A,темний,ilun
701,schwarz::A,чорний,beltz
702,weiß::A,сивий,zuri
703,rot::A,червоний,gorri
704,gelb::A,жовтий,hori
705,blau::A,синій,urdin
706,grün::A,зелений,berde
707,grün::A,зелений,musker
708,grau::A,сірий,urdin
709,grau::A,сірий,urdinabar
710,bunt::A,барвистий,koloretsu
711,billig::A,дешевий,merke
712,teuer::A,дорогий,garesti
713,wertvoll::A,цінний,baliotsu
714,blind::A,сліпий,itsu
715,taub::A,глухий,gor
716,kräftig::A,могутній,kementsu
717,stark::A,сильний,bizkor
718,stark::A,сильний,indartsu
719,schwach::A,слабкий,ahul
720,schwach::A,слабкий,indargabe
721,fett::A,жирний,gizen
722,fett::A,товстий,gizen
723,schlank::A,тонкий,lerden
724,schlank::A,стрункий,lerden
725,hübsch::A,чарівний,polit
726,böse::A,злий,tzar
727,böse::A,злий,gaizto
728,böse::A,лихий,tzar
729,böse::A,лихий,gaizto
730,dumm::A,дурний,lelo
731,dumm::A,дурний,pello
732,faul::A,ледачий,nagi
733,faul::A,ледачий,alfer
734,fleißig::A,старанний,maratz
735,fleißig::A,старанний,lanzale
736,geizig::A,скупий,zeken
737,geizig::A,скупий,zikoitz
738,klug::A,мудрий,zuhur
739,klug::A,розумний,zuhur
740,geschickt::A,умілий,trebe
741,geschickt::A,умілий,antzetsu
742,lieb::A,милий,maite
743,lieb::A,милий,laztan
744,lustig::A,веселий,alaitsu
745,sanft::A,лагідний,eme
746,sanft::A,лагідний,ezti
747,hungrig::A,голодний,gose
748,krank::A,слабий,eri
749,krank::A,слабий,gaixo
750,nackt::A,голий,biluzi
751,traurig::A,сумний,itun
752,traurig::A,сумний,betilun
753,lebendig::A,живий,bizirik
754,gut::A,добрий,on
755,schlecht::A,поганий,txar
756,schlecht::A,кепський,txar
757,richtig::A,правильний,zuzen
758,schlimm::A,бридкий,larri
759,wahr::A,справжній,egiazko
760,alt::A,старий,zahar
761,neu::A,новий,berri
762,ehemalig::A,колишній,lehengo
763,alt[Lebewesen]::A,старий,adindun
764,jung::A,молодий,gazte
765,arm::A,бідний,txiro
766,arm::A,бідний,behartsu
767,reich::A,багатий,dirudun
768,bekannt::A,знайомий,ezagun
769,berühmt::A,славетний,entzun
770,berühmt::A,славетний,ospetsu
771,fremd::A,чужий,arrotz
772,verschieden::A,різний,ezberdin
773,verschieden::A,різний,desberdin
774,nah::A,близький,hurre
775,nah::A,близький,hurbil
776,fern::A,далекий,urrun
777,linker::A,лівий,ezker
778,rechter::A,правий,eskuin
779,anderer::A,інакший,beste
780,erster::A,перший,lehen
781,erster::A,перший,aurren
782,zweiter::A,другий,bigarren
783,dritter::A,третій,hirugarren
784,letzter::A,останній,azken
785,letzter::A,останній,hondar
786,allein::ADV,сам,bakarrik
787,allein::ADV,один,bakarrik
788,auf einmal::ADV,відразу,batera
789,zusammen::ADV,разом,elkarrekin
790,zusammen::ADV,спільно,elkarrekin
791,lange::ADV,довго,luzaro
792,plötzlich::ADV,раптом,bat-batean
793,sofort::ADV,зараз,berehala
794,später::ADV,пізніше,gero
795,jetzt::ADV,тепер,orain
796,heute::ADV,сьогодні,gaur
797,morgen::ADV,завтра,bihar
798,bald::ADV,незабаром,aurki
799,bald::ADV,незабаром,laster
800,dann::ADV,потім,ondoren
801,gestern::ADV,вчора,atzo
802,einst::ADV,колись,antzina
803,damals::ADV,тоді,orduan
804,danach::ADV,згодом,gerora
805,danach::ADV,згодом,ondoren
806,vorher::ADV,раніше,lehenago
807,zuerst::ADV,спершу,aurrena
808,zuerst::ADV,спершу,lehenbizi
809,zuerst::ADV,спочатку,aurrena
810,zuerst::ADV,спочатку,lehenbizi
811,einmal::ADV,один раз,behin
812,einmal::ADV,один раз,aldi bat
813,manchmal::ADV,іноді,batzuetan
814,manchmal::ADV,іноді,zenbaitetan
815,manchmal::ADV,інколи,batzuetan
816,manchmal::ADV,інколи,zenbaitetan
817,oft::ADV,часто,maiz
818,oft::ADV,часто,askotan
819,immer::ADV,завжди,beti
820,niemals::ADV,ніколи,inoiz ez
821,niemals::ADV,ніколи,sekula ez
822,hier::ADV,тут,hemen
823,hierhin::ADV,сюди,hona
824,von hier::ADV,звідси,hemendik
825,von hier::ADV,звідси,honetatik
826,dort::ADV,там,han
827,dorthin::ADV,туди,hara
828,geradeaus::ADV,прямо,artez
829,vorwärts::ADV,вперед,aurrera
830,rückwärts::ADV,назад,atzera
831,rückwärts::ADV,назад,atzerantz
832,zurück::ADV,назад,atzera
