,Concept_ID,la,ba
102,Sumpf::N,palus,һаҙлык
103,Moor::N,palus,һаҙ
104,Wiese::N,pratum,болон
105,Wald::N,silva,урман
106,Hügel::N,collis,түбә
107,Anhöhe::N,specula,түбә
108,Anhöhe::N,specula,ҡалҡыулыҡ
109,Berg::N,mons,тау
110,Gipfel::N,vertex,түбә
111,Höhle::N,caverna,мәмерйә
112,Höhle::N,spelunca,мәмерйә
113,Abhang::N,declivum,ипкен
114,Quelle::N,fons,шишмә
115,Bach::N,rivus,шишмә
116,Fluss::N,flumen,йылға
117,Ufer::N,ripa,яр
118,Küste::N,litus,яр буйы
119,Festland::N,continens,ҡоро ер
120,Meer::N,mare,диңгез
121,Bucht::N,sinus,бухта
122,Insel::N,insula,үтрау
123,Blume::N,flos,сәскә
124,Gras::N,herba,үлән
125,Gras::N,gramen,үлән
126,Wurzel::N,radix,тамыр
127,Baum::N,arbor,ағас
128,Stamm::N,truncus,олон
129,Stamm::N,truncus,көбәк
130,Rinde::N,cortex,ҡабыҡ
131,Ast::N,ramus,ботаҡ
132,Zweig::N,ramus,ботаҡ
133,Zweig::N,ramus,тармаҡ
134,Blatt::N,folium,япраҡ
135,Birke::N,betulla,ҡайын
136,Kiefer[Baum]::N,pinus,ҡарғай
137,Weide[Baum]::N,salix,тал
138,Tanne::N,abies,шыршы
139,Horn::N,cornu,мөғөҙ
140,Feder::N,penna,ҡауырһын
141,Fell::N,pellis,тире
142,Flügel::N,ala,ҡанат
143,Klaue::N,unguis,тырнаҡ
144,Kralle::N,unguis,аяҡ
145,Schwanz::N,cauda,ҡойроҡ
146,Ei::N,ovum,йомортҡа
147,Nest::N,nidus,оя
148,Bau::N,cavum,оң
149,Bau::N,latibulum,оң
150,Tier::N,bestia,жайуан
151,Tier::N,bestia,йыртҡыс
152,Herde::N,grex,көтөү
153,Kuh::N,vacca,һыйыр
154,Bulle::N,taurus,үгеҙ
155,Pferd::N,equus,ат
156,Schaf::N,ovis,һарыҡ
157,Schwein::N,sus,сусҡа
158,Schwein::N,porcus,сусҡа
159,Hund::N,canis,эт
160,Katze::N,felis,бесәй
161,Bär::N,ursus,айыу
162,Eichhörnchen::N,sciurus,тейен
163,Elch::N,alces,мышы
164,Fuchs::N,vulpes,төлкө
165,Hase::N,lepus,ҡуян
166,Maus::N,mus,сысҡан
167,Wolf::N,lupus,бүре
168,Vogel::N,avis,ҡош
169,Schwarm::N,examen,көтөү
170,Huhn::N,gallina,тауыҡ
171,Hahn::N,gallus,әтәс
172,Gans::N,anser,ҡаҙ
173,Adler::N,aquila,бөркөт
174,Ente::N,anas,өйрәк
175,Eule::N,ulula,өкө
176,Eule::N,ulula,ябалаҡ
177,Eule::N,noctua,өкө
178,Eule::N,noctua,ябалаҡ
179,Kranich::N,grus,торна
180,Krähe::N,cornix,ҡарға
181,Kuckuck::N,cuculus,кәкүк
182,Schwan::N,olor,аҡҡош
183,Schwan::N,cycnus,аҡҡош
184,Fisch::N,piscis,балыҡ
185,Barsch::N,perca,алабуға
186,Hecht::N,esox,суртан
187,Schlange[Tier]::N,serpens,йылан
188,Wurm::N,vermis,селяүсен
189,Spinne::N,aranea,үрмәксе
190,Ameise::N,formica,ҡырмыҫҡа
191,Laus::N,pediculus,бет
192,Mücke::N,culex,серәкәй
193,Fliege::N,musca,себен
194,Schmetterling::N,papilio,күбәләк
195,Beere::N,baca,еләк
196,Apfel::N,malum,алма
197,Pilz::N,fungus,бәшмәк
198,Zwiebel::N,cepa,һуган
199,Saat::N,seges,орлоҡ
200,Korn::N,granum,иген
201,Heu::N,faenum,бесән
202,Schale::N,putamen,ҡабыҡ
203,Grube::N,fovea,соҡор
204,Falle::N,pedica,тоҙак
205,Falle::N,pedica,ҡапҡан
206,Schlinge::N,laqueus,тоҙак
207,Spur::N,vestigium,әҫер
208,Asche::N,cinis,көл
209,Dreck::N,lutum,батҡаҡ
210,Eisen::N,ferrum,тимер
211,Gold::N,aurum,алтын
212,Silber::N,argentum,көмөш
213,Kohle::N,carbo,күмер
214,Glas::N,vitrum,быяла
215,Lehm::N,lutum,балсыҡ
216,Sand::N,arena,ҡом
217,Mensch::N,homo,кеше
218,Mann::N,vir,ир
219,Frau::N,mulier,ҡатын
220,Kind::N,puer,бала
221,Kind::N,infans,бала
222,Junge::N,puer,малай
223,Mädchen::N,puella,ҡыҙ
224,Mädchen::N,puella,ҡыҙыҡай
225,Familie::N,familia,ғаилә
226,Großvater::N,avus,олатай
227,Großmutter::N,avia,әбәй
228,Eltern::N,parentes,ата-әсә
229,Vater::N,pater,атай
230,Mutter::N,mater,әсә
231,Sohn::N,filius,ул
232,Tochter::N,filia,ҡыҙ
233,Bruder::N,frater,агай
234,Schwester::N,soror,алай
235,Schwester::N,soror,һеңле
236,Onkel::N,patruus,ағай
237,Onkel::N,avunculus,ағай
238,Tante::N,amita,апай
239,Ehemann::N,maritus,ир
240,Ehefrau::N,uxor,ҡатын
241,Freude::N,gaudium,шатлыҡ
242,Freude::N,gaudium,ҡыуаныс
243,Freude::N,laetitia,шатлыҡ
244,Freude::N,laetitia,ҡыуаныс
245,Gelächter::N,risus,көлөү
246,Glück::N,felicitas,бәхет
247,Kummer::N,aegritudo,ҡайғы
248,Wunsch::N,voluntas,теләк
249,Wunsch::N,desiderium,теләк
250,Lust::N,libido,әүәҫлек
251,Lust::N,voluptas,әүәҫлек
252,Geist::N,mens,аң
253,Geist::N,mens,рух
254,Geist::N,animus,аң
255,Geist::N,animus,рух
256,Gedanke::N,sententia,уй
257,Gedanke::N,sententia,фекер
258,Gedächtnis::N,memoria,хәтер
259,Verstand::N,ratio,аҡыл
260,Verstand::N,ingenium,аҡыл
261,Sinn::N,sensus,мәғәня
262,Grund::N,causa,сәбәп
263,Wahrheit::N,veritas,дөрөҫлөк
264,Gespräch::N,sermo,әңгәмә
265,Märchen::N,fabula,әкиәт
266,Erzählung::N,fabula,хикәйә
267,Erzählung::N,narratio,хикәйә
268,Nachricht::N,nuntius,хәбәр
269,Neuigkeit::N,novitas,яңылыҡ
270,Name::N,nomen,исем
271,Rätsel::N,aenigma,йомаҡ
272,Rede::N,oratio,телмәр
273,Sprache::N,lingua,тел
274,Sprache::N,lingua,телмәр
275,Stimme::N,vox,тауыш
276,Wort::N,verbum,һүҙ
277,Wort::N,vocabulum,һүҙ
278,Zeichen::N,signum,билдә
279,Ruf::N,clamor,саҡырыу
280,Lärm::N,strepitus,шаулау
281,Laut::N,sonus,тауыш
282,Ton::N,sonus,яңғырау
283,Lied::N,carmen,йыр
284,Ruhe::N,quies,ял
285,Ruhe::N,quies,тыныслыҡ
286,Leute::N,homines,кешеләр
287,Volk::N,populus,халҡ
288,Arbeit::N,labor,эш
289,Gast::N,hospes,ҡунаҡ
290,Gast::N,conviva,ҡунаҡ
291,Geschenk::N,munus,бүләк
292,Spiel::N,ludus,уйын
293,Gesellschaft::N,societas,йәмғиәт
294,Hilfe::N,auxilium,ярҙам
295,Hilfe::N,subsidium,ярҙам
296,Freund::N,amicus,дуҫ
297,Kamerad::N,socius,иптәш
298,Angelegenheit::N,res,әш
299,Anzahl::N,numerus,һан
300,Art::N,genus,төр
301,Stück::N,frustum,киҫәк
302,Stück::N,fragmentum,киҫәк
303,Teil::N,pars,өлөш
304,Hälfte::N,dimidium,ярты
305,Kreis::N,orbis,түңәрәк
306,Kreis::N,circus,түңәрәк
307,Kreuz::N,crux,тәре
308,Linie::N,linea,һыҙыҡ
309,Strich::N,lineamentum,һыҙат
310,Abstand::N,intervallum,ара
311,Entfernung::N,spatium,алыҫлыҡ
312,Gegend::N,loca,урын
313,Gegend::N,regio,урын
314,Platz::N,locus,арауыҡ
315,Ort::N,locus,ерҙәр
316,Ort::N,locus,урындар
317,Ort::N,locus,эш урыны
318,Seite::N,latus,яҡ
319,Mitte::N,medium,урталыҡ
320,Gegenstand::N,res,нәмә
321,Sache::N,res,нәмә
322,Sache::N,res,әйбер
323,Rand::N,margo,сит
324,Kante::N,angulus,ҡабырға
325,Kante::N,angulus,ян
326,Ecke::N,angulus,мөйөш
327,Spitze::N,cacumen,ос
328,Ende::N,caput,аҙаҡ
329,Loch::N,foramen,тишек
330,Winkel::N,angulus,мөйөш
331,Muster::N,exemplum,биҙәк
332,Größe::N,magnitudo,ҙурлыҡ
333,Länge::N,longitudo,оҙонлоҡ
334,Höhe::N,altitudo,бейеклек
335,Gewicht::N,pondus,үлсәү
336,Menge::N,copia,һан
337,Haufen::N,acervus,өйөм
338,Reihe::N,ordo,рәт
339,Boot::N,navicula,кәмә
340,Ruder::N,remus,ишкәк
341,Schlitten::N,sclodia,сана
342,Ski::N,narta,саңгы
343,Lagerfeuer::N,ignis,костер
344,Last::N,onus,ауырлыҡ
345,Gang::N,cursus,барыу
346,Schritt::N,gradus,аҙым
347,Norden::N,septentriones,төньяҡ
348,Süden::N,meridies,көньяҡ
349,Westen::N,occidens,көнбайыш
350,Osten::N,oriens,көнсығыш
351,Holz::N,lignum,үағас
352,Brett::N,tabula,таҡта
353,Platte::N,lamina,плита
354,Stütze::N,adminiculum,терәк
355,Stange::N,pertica,кәртә
356,Stock::N,baculum,таяҡ
357,Stab::N,scipio,ҡолға
358,Rohr::N,tubus,торба
359,Haus::N,aedes,өй
360,Haus::N,aedes,йорт
361,Heim::N,domicilium,өй
362,Ofen::N,fornax,мейес
363,Fußboden::N,solum,енес
364,Tisch::N,mensa,өҫтәл
365,Stuhl::N,sella,ултырғыс
366,Wiege::N,cunae,бишек
367,Bett::N,lectus,карауат
368,Regal::N,foruli,кәштә
369,Kiste::N,cista,йәшинк
370,Fenster::N,fenestra,тәҙрә
371,Tür::N,ianua,ишек
372,Tor::N,porta,ҡапҡа
373,Zaun::N,saepes,ҡойма
374,Dach::N,tectum,түбә
375,Dach::N,tectum,ҡыйыҡ
376,Leiter::N,scalae,баҫҡыс
377,Besen::N,scopae,һепертке
378,Spaten::N,pala,көрәк
379,Schaufel::N,pala,көрәк
380,Gabel::N,fuscinula,сәнске
381,Löffel::N,coclear,ҡалаҡ
382,Messer::N,culter,бысаҡ
383,Nagel::N,clavus,сөй
384,Netz::N,rete,ау
385,Haken::N,hamus,ыргаҡ
386,Griff::N,manubrium,тотҡа
387,Schloss::N,claustra,йоҙаҡ
388,Bild::N,tabula,картина
389,Bild::N,pictura,картина
390,Figur::N,statunculum,һын
391,Puppe::N,pupa,ҡурсаҡ
392,Beutel::N,sacculus,тоҡ
393,Bündel::N,fascis,төргәк
394,Tasche::N,sacculus,сумка
395,Eimer::N,situla,биҙрә
396,Deckel::N,operculum,ҡапҡас
397,Geschirr::N,vasa,һауыт-һаба
398,Sack::N,saccus,тоҡ
399,Tasse::N,pocillum,сынаяҡ
400,Topf::N,olla,кәстрүл
401,Kessel::N,aenum,ҡаҙан
402,Essen::N,cena,ашау
403,Nahrung::N,cibus,аҙыҡ
404,Nahrung::N,alimenta,аҙыҡ
405,Speise::N,cibus,аш
406,Fleisch::N,caro,ит
407,Getreide::N,frumentum,иген
408,Getreide::N,frumentum,ашлыҡ
409,Brei::N,puls,бутҡа
410,Brot::N,panis,икмәк
411,Scheibe::N,frustum,телем
412,Fett::N,pingue,май
413,Butter::N,butȳrum,май
414,Öl::N,oleum,май буяуы
415,Salz::N,sal,тоҙ
416,Suppe::N,ius,һурпа
417,Honig::N,mel,бал
418,Milch::N,lac,һөт
419,Tee::N,thea,сәй
420,Leder::N,corium,күн
421,Wolle::N,lana,йөн
422,Stoff::N,textum,туҡыма
423,Nadel::N,acus,энә
424,Faden::N,filum,еп
425,Knopf::N,bulla,төймә
426,Knoten::N,nodus,төйөн
427,Farbe::N,pigmentum,буяу
428,Kleidung::N,vestimenta,кейем
429,Hemd::N,tunica,күлдәк
430,Kragen::N,collare,яға
431,Ärmel::N,manica,ең
432,Hose::N,bracae,салбар
433,Gürtel::N,cingulum,ҡайыш
434,Mütze::N,pilleus,бүрк
435,Schuh::N,calceus,туфли
436,Stiefel::N,pero,итек
437,Stiefel::N,caliga,итек
438,Ring::N,anulus,йөҙөк
439,Ring::N,anulus,балдаҡ
440,Band::N,redimiculum,таҫма
441,Kamm::N,pecten,тараҡ
442,Spiegel::N,speculum,көзгө
443,Riemen::N,lorum,ҡайыш
444,Schnur::N,linum,бау
445,Leine::N,retinaculum,бау
446,Decke::N,lodix,одеяд
447,Kissen::N,pulvinus,мендәр
448,Tuch::N,velum,яулыҡ
449,Handtuch::N,mantele,таҫтамал
450,Kraft::N,vis,көс
451,Stärke::N,robur,көс
452,Gesundheit::N,valetudo,һаулыҡ
453,Krankheit::N,morbus,сир
454,Krankheit::N,morbus,ауырыу
455,Schmerz::N,dolor,һыҙлау
456,Schmerz::N,dolor,әрнеү
457,Wunde::N,vulnus,йәрәхәт
458,Fieber::N,febris,тапма
459,Fieber::N,febris,биҙгәк
460,Arznei::N,remedium,дарыу
461,Brücke::N,pons,күпер
462,Brunnen::N,puteus,ҡоҙоҡ
463,Weide::N,pascua,көтөүлек
464,Pfad::N,semita,һуҡмаҡ
465,Weg::N,iter,юл
466,Straße::N,via,урам
467,Dorf::N,vicus,ауыл
468,Stadt::N,urbs,ҡала
469,Stadt::N,oppidum,ҡала
470,Brief::N,epistula,хат
471,Buch::N,liber,китап
472,Buch::N,liber,кенәгә
473,Buchstabe::N,littera,хәреф
474,Zeitung::N,diurnum,гәзит
475,Leben::N,vita,йәшәү
476,Tod::N,mors,үлем
477,Grab::N,sepulcrum,ҡәбер
478,Kirche::N,ecclesia,сиркәү
479,Sünde::N,peccatum,гөнаһ
480,Gott::N,deus,алла
481,Gott::N,deus,хоҙай
482,Arbeiter::N,operarius,эшсе
483,Chef::N,praefectus,башлыҡ
484,Meister::N,magister,оҫта
485,Arzt::N,medicus,врач
486,Lehrer::N,magister,уҡытыусы
487,Geld::N,aes,аҡса
488,Geld::N,pecunia,аҡса
489,Geschäft::N,negotium,эш
490,Laden::N,taberna,магазин
491,Preis::N,pretium,хаҡ
492,Ware::N,merx,тауар
493,Nutzen::N,utilitas,файҙа
494,Reichtum::N,opes,байлыҡ
495,Reichtum::N,divitiae,байлыҡ
496,Welt::N,mundus,донъя
497,Land::N,terra,ил
498,Staat::N,res publica,дәүләт
499,König::N,rex,король
500,Macht::N,potestas,власть
501,Grenze::N,limes,сик
502,Krieg::N,bellum,һуғыш
503,Feind::N,inimicus,йылан
504,Gewalt::N,vis,көслөк
505,Kampf::N,pugna,көрәш
506,Bogen[Waffe]::N,arcus,йәйә
507,Pfeil::N,sagitta,уҡ
508,Gewehr::N,sclopetum,мылтыҡ
509,Fehler::N,error,хата
510,Lüge::N,mendacium,ялған
511,Schaden::N,damnum,зыян
512,Schaden::N,damnum,зарар
513,Schaden::N,detrimentum,зыян
514,Schaden::N,detrimentum,зарар
515,Unglück::N,miseria,ҡаза
516,Unglück::N,calamitas,ҡаза
517,Schuld::N,culpa,ғәйеп
518,Alter::N,aetas,йәш
519,Schluss::N,finis,һуң
520,Schluss::N,finis,аҙаҡ
521,Zeit::N,tempus,мәл
522,Zeit::N,tempus,заман
523,Tag::N,dies,көн
524,Morgen::N,mane,иртә
525,Morgen::N,mane,иртәнсәк
526,Mittag::N,meridies,төш
527,Abend::N,vesper,кис
528,Nacht::N,nox,төн
529,Woche::N,septimana,аҙна
530,Monat::N,mensis,ай
531,Jahr::N,annus,йыл
532,Frühling::N,ver,яҙ
533,Sommer::N,aestas,йәй
534,Herbst::N,autumnus,көз
535,Winter::N,hiems,ҡыш
536,Januar::N,Ianuarius,ғинуар
537,Februar::N,Februarius,февраль
538,März::N,Martius,март
539,April::N,Aprilis,апрель
540,Mai::N,Maius,май
541,Juni::N,Iunius,июнь
542,Juli::N,Iulius,июль
543,August::N,Augustus,август
544,September::N,September,сентябрь
545,Oktober::N,Octobris,октябрь
546,November::N,Novembris,ноябрь
547,Dezember::N,December,декабрь
548,Montag::N,dies lunae,дүшәмбе
549,Dienstag::N,dies Martis ,шишәмбе
550,Mittwoch::N,dies Mercurii,шаршамбы
551,Donnerstag::N,dies Iovis,кесаҙна
552,Freitag::N,dies Veneris,йома
553,Samstag::N,dies Saturni,шәмбе
554,Sonntag::N,dominicus,йәкшәмбе
555,Sonntag::N,dies solis,йәкшәмбе
556,groß::A,magnus,ҙур
557,klein::A,parvus,бәләкәс
558,lang::A,longus,оҙон
559,kurz::A,brevis,ҡыҫҡа
560,breit::A,latus,киң
561,schmal::A,angustus,тар
562,dicht::A,densus,йыш
563,dicht::A,densus,ҡуйы
564,dick[Gegenstand]::A,crassus,ҡалын
565,dünn::A,tenuis,йоҡа
566,dünn::A,tenuis,нәҙек
567,fein::A,subtilis,нескә
568,fest::A,solidus,ныҡ
569,fest::A,stabilis,ныҡ
570,flach::A,planus,яҫы
571,flach::A,planus,ялпаҡ
572,glatt::A,levis,шыма
573,hart::A,durus,ҡаты
574,weich::A,mollis,йомшаҡ
575,rund::A,rotundus,түңәрәк
576,spitz::A,acutus,осло түбәле
577,scharf::A,acer,үткер
578,stumpf::A,hebes,утмәҫ
579,schwer::A,gravis,ауыр
580,schön::A,pulcher,матур
581,schön::A,formosus,матур
582,heiß::A,fervidus,эҫе
583,warm::A,calidus,йылы
584,kalt::A,frigidus,һыуыҡ
585,kühl::A,frigidus,һалҡынса
586,frisch::A,recens,һалҡынса
587,feucht::A,umidus,еүеш
588,feucht::A,umidus,дымлы
589,nass::A,madidus,еүеш
590,trocken::A,aridus,кипкән
591,voll::A,plenus,тулы
592,leer::A,vacuus,буш
593,offen::A,apertus,асыҡ
594,geschlossen::A,clausus,ябыҡ
595,sauber::A,lautus,таҙа
596,schmutzig::A,sordidus,бысраҡ
597,roh::A,crudus,сей
598,reif::A,maturus,өлгөрғән
599,lecker::A,delicatus,тәмле
600,süß::A,dulcis,тямле
601,süß::A,dulcis,тәм-том
602,bitter::A,amarus,әсе
603,bitter::A,acerbus,әсе
604,sauer::A,acidus,әсе
605,hell::A,clarus,яҡты
606,dunkel::A,obscurus,ҡараңғы
607,schwarz::A,niger,ҡара
608,weiß::A,albus,аҡ
609,rot::A,ruber,матур
610,rot::A,ruber,һылыу
611,rot::A,ruber,сибәр
612,gelb::A,flavus,һары
613,blau::A,caeruleus,күк
614,grün::A,viridis,йәшел
615,grau::A,canus,буҙ
616,bunt::A,varius,сыбар
617,bunt::A,varius,ала-ҡола
618,billig::A,vilis,арзан
619,teuer::A,carus,ҡыйбатлы
620,wertvoll::A,pretiosus,ҡиммәтле
621,blind::A,caecus,һуҡыр
622,taub::A,surdus,һаңғырау
623,kräftig::A,robustus,көслө
624,kräftig::A,robustus,ҡеүәтле
625,stark::A,firmus,көслө
626,stark::A,firmus,ҡеүәтле
627,stark::A,validus,көслө
628,stark::A,validus,ҡеүәтле
629,schwach::A,debilis,көсһөҙ
630,schwach::A,infirmus,көсһөҙ
631,fett::A,crassus,һимеҙ
632,schlank::A,procerus,зифа
633,hübsch::A,pulcher,матур
634,böse::A,improbus,асыулы
635,dumm::A,stultus,иҫәр
636,dumm::A,stupidus,иҫәр
637,faul::A,piger,иренсәк
638,fleißig::A,sedulus,тырыш
639,geizig::A,avarus,һаран
640,klug::A,prudens,аҡыллы
641,geschickt::A,sollers,оҫта
642,lieb::A,carus,яғымлы
643,lustig::A,iocosus,күңелле
644,sanft::A,clemens,йыуаш
645,hungrig::A,impastus,ас
646,krank::A,aeger,сирле
647,krank::A,aeger,ауырыу
648,nackt::A,nudus,яланғас
649,traurig::A,maestus,яманһыу
650,lebendig::A,vivus,тере
651,lebendig::A,vivus,йәнле
652,gut::A,bonus,яҡшы
653,schlecht::A,malus,хөрт
654,schlecht::A,malus,алама
655,richtig::A,rectus,дөрөҫ
656,schlimm::A,malus,хөрт
657,schlimm::A,malus,алама
658,wahr::A,verus,дөрөҫ
659,alt::A,antiquus,иҫке
660,alt::A,antiquus,боронғо
661,neu::A,novus,яңы
662,ehemalig::A,pristinus,элекке
663,alt[Lebewesen]::A,vetus,ҡарт
664,jung::A,iuvenis,йәш
665,arm::A,pauper,фәҡир
666,reich::A,dives,бай
667,bekannt::A,notus,таныш
668,berühmt::A,celeber,атаҡлы
669,berühmt::A,celeber,данлыҡлы
670,berühmt::A,illustris,атаҡлы
671,berühmt::A,illustris,данлыҡлы
672,fremd::A,peregrinus,ят
673,fremd::A,peregrinus,сит
674,verschieden::A,varius,төрлө
675,nah::A,propinquus,яҡын
676,fern::A,longinquus,алыҫ
677,fern::A,longinquus,йыраҡ
678,linker::A,sinister,һул
679,rechter::A,dexter,уң
680,anderer::A,alius,бутән
681,erster::A,primus,тәүге
682,zweiter::A,secundus,икенсе
683,dritter::A,tertius,өсөнсө
684,letzter::A,ultimus,һуңғы
685,allein::ADV,solum,бер үҙе
686,allein::ADV,solum,яңғыҙ
687,auf einmal::ADV,simul,бер юлы
688,zusammen::ADV,una,бергә
689,lange::ADV,diu,оҙаҡ
690,plötzlich::ADV,subito,ҡапыл
691,plötzlich::ADV,repente,ҡапыл
692,sofort::ADV,statim,шунда уҡ
693,später::ADV,postea,һуңыраҡ
694,jetzt::ADV,nunc,хәҙер
695,heute::ADV,hodie,бөгөн
696,morgen::ADV,cras,иртәгә
697,bald::ADV,mox,тиҙҙән
698,dann::ADV,deinde,һуңынан
699,gestern::ADV,heri,кисә
700,einst::ADV,olim,ҡасандыр
701,einst::ADV,olim,бер баҡыт
702,damals::ADV,tum,ул саҡта
703,danach::ADV,postea,һуңынан
704,vorher::ADV,antea,элек
705,zuerst::ADV,primo,башта
706,einmal::ADV,semel,бер
707,manchmal::ADV,interdum,ҡайһы берҙә
708,oft::ADV,saepe,йыш
709,immer::ADV,semper,һәр ҡасан
710,niemals::ADV,numquam,бер ҡасан да
711,niemals::ADV,numquam,бер ваҡытта ла
712,hier::ADV,hic,бында
713,hierhin::ADV,huc,бында
714,von hier::ADV,hinc,бынан
715,von hier::ADV,hinc,ошонан
716,dort::ADV,ibi,шунда
717,dort::ADV,ibi,тегендә
718,dorthin::ADV,eo,шунда
719,dorthin::ADV,eo,тегеләй
720,geradeaus::ADV,recte,тура
721,vorwärts::ADV,porro,алға
722,rückwärts::ADV,retro,кирегә
723,zurück::ADV,retro,кирегә
724,unten::ADV,infra,түбәндә
725,hinab::ADV,pessum,түбәнгә
726,oben::ADV,supra,юғарыла
727,hinauf::ADV,sursum,юғарыға
728,überall::ADV,ubique,бөтә урында
729,nicht::ADV,non,тугел
730,ein wenig::ADV,paulum,аҙ
731,kaum::ADV,vix,көскә
732,kaum::ADV,vix,саҡ-саҡ
733,kaum::ADV,aegre,көскә
734,kaum::ADV,aegre,саҡ-саҡ
735,sehr::ADV,valde,ифат
736,sehr::ADV,magnopere,ифат
737,so::ADV,ita,шулай
738,noch::ADV,etiam,йәнә
739,nur::ADV,solum,бары
740,nur::ADV,tantum,бары
741,schon::ADV,iam,инде
742,wieder::ADV,rursus,тағы
743,vergebens::ADV,frustra,бушҡа
744,vor::PRP,ante,алдында
745,hinter::PRP,post,артында
746,unter::PRP,sub,аҫтында
747,durch::PRP,per,үтә
748,neben::PRP,iuxta,эргәһендә
749,zwischen::PRP,inter,араһында
750,wegen::PRP,propter,өсөн
751,wegen::PRP,propter,сәбәпле
752,dies::PRN,hoc,был
753,dies::PRN,hoc,ошо
754,das::PRN,id,ул
755,alles::PRN,omnia,бөтә
756,ich::PRN,ego,мин
757,du::PRN,tu,һин
758,er::PRN,is,ул
759,er::PRN,ille,ул
760,wir::PRN,nos,беҙ
761,ihr::PRN,vos,һеҙ
762,sie::PRN,ii,улар
763,sie::PRN,illi,улар
764,was::FPRN,quid,ә
765,was::FPRN,quid,ни
766,was::FPRN,quid,нәмә
767,wer::FPRN,quis,ҡем
768,wo::FADV,ubi,ҡайҙа
769,wohin::FADV,quo,ҡайҙа
770,wie::FADV,quomodo,инидәй
771,warum::FADV,cur,ин өсөн
772,wieviel::FNUM,quantum,күпме
773,eins::NUM,unus,бер
774,zwei::NUM,duo,ике
775,zwei::NUM,duo,икәү
776,drei::NUM,tres,өс
777,vier::NUM,quattuor,дүрт
