,Concept_ID,no,hr
237,Grube::N,grop,jama
238,Falle::N,felle,zamka
239,Falle::N,felle,klopka
240,Schlinge::N,snare,uzao
241,Schlinge::N,snare,petlja
242,Spur::N,spor,trag
243,Spur::N,spor,slijed
244,Asche::N,aske,pepeo
245,Dreck::N,møkk,blato
246,Dreck::N,skitt,blato
247,Eisen::N,jern,željezo
248,Gold::N,gull,zlato
249,Silber::N,sølv,srebro
250,Kohle::N,kol,ugalj
251,Kohle::N,kol,ugljen
252,Kohle::N,kull,ugalj
253,Kohle::N,kull,ugljen
254,Glas::N,glass,staklo
255,Lehm::N,leire,glina
256,Lehm::N,leire,ilovača
257,Sand::N,sand,pijesak
258,Mensch::N,menneske,čovjek
259,Mann::N,mann,muškarac
260,Frau::N,kvinne,žena
261,Kind::N,barn,čedo
262,Kind::N,barn,dijete
263,Junge::N,gutt,momče
264,Junge::N,gutt,dječak
265,Mädchen::N,pike,djevojka
266,Mädchen::N,pike,djevojčica
267,Mädchen::N,jente,djevojka
268,Mädchen::N,jente,djevojčica
269,Familie::N,familie,obitelj
270,Familie::N,familie,porodica
271,Großvater::N,bestefar,djed
272,Großmutter::N,bestemor,baka
273,Eltern::N,foreldre,roditelji
274,Vater::N,far,otac
275,Mutter::N,mor,majka
276,Sohn::N,sønn,sin
277,Tochter::N,datter,kći
278,Tochter::N,datter,kćerka
279,Bruder::N,bror,brat
280,Schwester::N,søster,sestra
281,Onkel::N,onkel,čika
282,Onkel::N,onkel,ujak
283,Tante::N,tante,ujna
284,Tante::N,tante,tetka
285,Ehemann::N,ektemann,muž
286,Ehemann::N,ektemann,suprug
287,Ehefrau::N,hustru,žena
288,Ehefrau::N,hustru,supruga
289,Freude::N,glede,radost
290,Gelächter::N,latter,grohot
291,Glück::N,lykke,sreća
292,Kummer::N,sorg,jad
293,Kummer::N,sorg,briga
294,Wunsch::N,ønske,želja
295,Lust::N,lyst,volja
296,Geist::N,ånd,duh
297,Gedanke::N,tanke,misao
298,Gedächtnis::N,minne,pamćenje
299,Gedächtnis::N,hukommelse,pamćenje
300,Verstand::N,forstand,um
301,Verstand::N,forstand,razum
302,Sinn::N,mening,smisao
303,Sinn::N,mening,značenje
304,Sinn::N,betydning,smisao
305,Sinn::N,betydning,značenje
306,Grund::N,grunn,razlog
307,Wahrheit::N,sannhet,istina
308,Gespräch::N,samtale,razgovor
309,Märchen::N,eventyr,bajka
310,Erzählung::N,fortelling,priča
311,Erzählung::N,fortelling,pripovijest
312,Nachricht::N,melding,vijest
313,Neuigkeit::N,nyhet,novost
314,Name::N,navn,ime
315,Rätsel::N,gåte,zagonetka
316,Rede::N,tale,govor
317,Rede::N,tale,besjeda
318,Sprache::N,språk,jezik
319,Stimme::N,stemme,glas
320,Wort::N,ord,riječ
321,Zeichen::N,tegn,znak
322,Ruf::N,rop,povik
323,Ruf::N,rop,poklik
324,Lärm::N,bråk,buka
325,Lärm::N,bråk,galama
326,Laut::N,lyd,zvuk
327,Ton::N,tone,ton
328,Lied::N,vise,pjesma
329,Ruhe::N,ro,tišina
330,Ruhe::N,ro,počinak
331,Leute::N,folk,ljudi
332,Volk::N,folk,puk
333,Volk::N,folk,narod
334,Arbeit::N,arbeid,rad
335,Arbeit::N,arbeid,posao
336,Gast::N,gjest,gost
337,Geschenk::N,gave,dar
338,Geschenk::N,gave,poklon
339,Spiel::N,lek,igra
340,Spiel::N,spill,igra
341,Gesellschaft::N,selskap,društvo
342,Gesellschaft::N,selskap,kompanija
343,Hilfe::N,hjelp,pomoć
344,Freund::N,venn,prijatelj
345,Kamerad::N,kamerat,drug
346,Kamerad::N,kamerat,drugar
347,Angelegenheit::N,sak,posao
348,Angelegenheit::N,anliggende,posao
349,Anzahl::N,antall,broj
350,Anzahl::N,antall,brojnost
351,Art::N,art,vid
352,Art::N,art,vrst
353,Art::N,slag,vid
354,Art::N,slag,vrst
355,Stück::N,stykke,komad
356,Teil::N,del,dio
357,Hälfte::N,halvdel,polovina
358,Kreis::N,ring,krug
359,Kreis::N,sirkel,krug
360,Kreuz::N,kors,križ
361,Kreuz::N,kryss,križ
362,Linie::N,linje,crta
363,Strich::N,strek,crta
364,Abstand::N,avstand,razmak
365,Abstand::N,avstand,odstojanje
366,Entfernung::N,avstand,udaljenost
367,Gegend::N,strøk,kraj
368,Gegend::N,strøk,predeo
369,Platz::N,plass,mjesto
370,Ort::N,sted,mjesto
371,Seite::N,side,bok
372,Seite::N,side,strana
373,Mitte::N,midte,sredina
374,Gegenstand::N,gjenstand,predmet
375,Sache::N,sak,posao
376,Rand::N,rand,rub
377,Rand::N,rand,kraj
378,Kante::N,kant,brid
379,Kante::N,kant,ivica
380,Ecke::N,hjørne,ugao
381,Spitze::N,spiss,vrh
382,Spitze::N,spiss,šiljak
383,Ende::N,ende,konac
384,Loch::N,hull,rupa
385,Winkel::N,vinkel,kut
386,Winkel::N,vinkel,ugao
387,Muster::N,mønster,uzor
388,Größe::N,størrelse,veličina
389,Länge::N,lengde,duljina
390,Höhe::N,høyde,visina
391,Gewicht::N,vekt,težina
392,Menge::N,mengde,mnoštvo
393,Menge::N,mengde,količina
394,Haufen::N,haug,hrpa
395,Haufen::N,haug,gomila
396,Haufen::N,bunke,hrpa
397,Haufen::N,bunke,gomila
398,Reihe::N,rekke,red
399,Boot::N,båt,čun
400,Boot::N,båt,čamac
401,Ruder::N,åre,veslo
402,Schlitten::N,slede,saone
403,Schlitten::N,kjelke,saone
404,Ski::N,ski,ski
405,Ski::N,ski,smučka
406,Lagerfeuer::N,leirbål,logorska vatra
407,Last::N,bør,tovar
408,Last::N,last,tovar
409,Gang::N,gang,hod
410,Schritt::N,steg,korak
411,Schritt::N,skritt,korak
412,Norden::N,nord,sjever
413,Süden::N,sør,jug
414,Westen::N,vest,zapad
415,Osten::N,øst,istok
416,Holz::N,tre,drvo
417,Brett::N,fjøl,daska
418,Brett::N,brett,daska
419,Platte::N,plate,ploča
420,Stütze::N,støtte,potpora
421,Stange::N,stang,motka
422,Stock::N,pinne,štap
423,Stock::N,pinne,palica
424,Stab::N,stav,štap
425,Stab::N,stav,šipka
426,Stab::N,kjepp,štap
427,Stab::N,kjepp,šipka
428,Rohr::N,rør,cijev
429,Haus::N,hus,kuća
430,Heim::N,hjem,dom
431,Ofen::N,ovn,peć
432,Fußboden::N,gulv,pod
433,Tisch::N,bord,stol
434,Tisch::N,bord,trpeza
435,Stuhl::N,stol,stolac
436,Stuhl::N,stol,stolica
437,Wiege::N,vogge,kolijevka
438,Bett::N,seng,krevet
439,Bett::N,seng,postelja
440,Regal::N,reol,polica
441,Regal::N,hylle,polica
442,Kiste::N,kasse,sanduk
443,Fenster::N,vindu,prozor
444,Tür::N,dør,vrata
445,Tor::N,port,vrata
446,Tor::N,port,kapija
447,Zaun::N,gjerde,plot
448,Zaun::N,gjerde,ograda
449,Dach::N,tak,krov
450,Leiter::N,stige,ljestve
451,Leiter::N,stige,ljestvice
452,Besen::N,kost,metla
453,Spaten::N,spade,ašov
454,Schaufel::N,skuffe,lopata
455,Gabel::N,gaffel,viljuška
456,Löffel::N,skje,žlica
457,Messer::N,kniv,nož
458,Nagel::N,spiker,čavao
459,Netz::N,nett,mreža
460,Haken::N,krok,kuka
461,Griff::N,tak,držak
462,Griff::N,tak,ručica
463,Griff::N,håndtak,držak
464,Griff::N,håndtak,ručica
465,Schloss::N,lås,brava
466,Bild::N,bilde,slika
467,Figur::N,figur,figura
468,Puppe::N,dukke,lutka
469,Beutel::N,pose,kesa
470,Bündel::N,bylt,snop
471,Bündel::N,bylt,svežanj
472,Tasche::N,veske,torba
473,Tasche::N,veske,taška
474,Eimer::N,bøtte,kabao
475,Deckel::N,lokk,poklopac
476,Geschirr::N,kjøkkentøy,suđe
477,Geschirr::N,kjøkkentøy,posuđe
478,Sack::N,sekk,džak
479,Sack::N,sekk,vreća
480,Tasse::N,kopp,šalica
481,Topf::N,gryte,lonac
482,Kessel::N,kjele,kazan
483,Essen::N,mål,obrok
484,Nahrung::N,mat,hrana
485,Nahrung::N,næring,hrana
486,Speise::N,matrett,jelo
487,Fleisch::N,kjøtt,meso
488,Getreide::N,korn,žito
489,Getreide::N,korn,žitarice
490,Brei::N,grøt,kaša
491,Brot::N,brød,kruh
492,Scheibe::N,skive,kriška
493,Fett::N,fett,mast
494,Fett::N,fett,salo
495,Butter::N,smør,buter
496,Butter::N,smør,maslac
497,Öl::N,olje,ulje
498,Salz::N,salt,sol
499,Suppe::N,suppe,supa
500,Honig::N,honning,med
501,Milch::N,melk,mlijeko
502,Tee::N,te,čaj
503,Leder::N,lær,koža
504,Leder::N,skinn,koža
505,Wolle::N,ull,vuna
506,Stoff::N,tøy,štof
507,Stoff::N,tøy,tkanina
508,Stoff::N,stoff,štof
509,Stoff::N,stoff,tkanina
510,Nadel::N,nål,igla
511,Faden::N,tråd,nit
512,Faden::N,tråd,konac
513,Knopf::N,knapp,dugme
514,Knoten::N,knute,čvor
515,Knoten::N,knute,uzao
516,Farbe::N,farge,farba
517,Kleidung::N,påkledning,odjeća
518,Hemd::N,skjorte,košulja
519,Kragen::N,krage,ovratnik
520,Ärmel::N,erme,rukav
521,Hose::N,bukse,hlače
522,Gürtel::N,belte,pas
523,Gürtel::N,belte,pojas
524,Mütze::N,lue,kapa
525,Schuh::N,sko,cipela
526,Stiefel::N,støvel,čizma
527,Ring::N,ring,prsten
528,Band::N,band,vrpca
529,Kamm::N,kam,češalj
530,Spiegel::N,speil,zrcalo
531,Spiegel::N,speil,ogledalo
532,Riemen::N,rem,kaiš
533,Riemen::N,rem,remen
534,Schnur::N,snor,vrpca
535,Leine::N,line,uzica
536,Decke::N,teppe,ćebe
537,Decke::N,teppe,pokrivač
538,Kissen::N,pute,jastuk
539,Tuch::N,tøy,rubac
540,Tuch::N,tøy,marama
541,Handtuch::N,håndkle,ručnik
542,Kraft::N,kraft,snaga
543,Stärke::N,styrke,jakost
544,Gesundheit::N,helse,zdravlje
545,Gesundheit::N,sunnhet,zdravlje
546,Krankheit::N,syke,bolest
547,Krankheit::N,sykdom,bolest
548,Schmerz::N,smerte,bol
549,Wunde::N,sår,rana
550,Fieber::N,feber,groznica
551,Arznei::N,medisin,lijek
552,Arznei::N,legemiddel,lijek
553,Brücke::N,bro,most
554,Brücke::N,bro,ćuprija
555,Brunnen::N,brønn,bunar
556,Brunnen::N,brønn,zdenac
557,Weide::N,beite,paša
558,Weide::N,beite,pašnjak
559,Pfad::N,sti,staza
560,Weg::N,vei,put
561,Straße::N,gate,drum
562,Straße::N,gate,cesta
563,Dorf::N,landsby,selo
564,Stadt::N,by,grad
565,Stadt::N,by,varoš
566,Brief::N,brev,list
567,Brief::N,brev,pismo
568,Buch::N,bok,knjiga
569,Buchstabe::N,bokstav,slovo
570,Zeitung::N,avis,novine
571,Leben::N,liv,život
572,Tod::N,død,smrt
573,Grab::N,grav,raka
574,Kirche::N,kirke,crkva
575,Sünde::N,synd,grijeh
576,Gott::N,gud,bog
577,Arbeiter::N,arbeider,radnik
578,Chef::N,sjef,šef
579,Meister::N,mester,majstor
580,Arzt::N,lege,liječnik
581,Lehrer::N,lærer,učitelj
582,Geld::N,penger,novac
583,Geschäft::N,forretning,posao
584,Geschäft::N,forretning,trgovina
585,Laden::N,butikk,dućan
586,Preis::N,pris,cijena
587,Ware::N,vare,roba
588,Nutzen::N,nytte,korist
589,Reichtum::N,rikdom,bogatstvo
590,Welt::N,verden,svijet
591,Land::N,land,zemlja
592,Staat::N,stat,država
593,König::N,konge,kralj
594,Macht::N,makt,moć
595,Macht::N,makt,vlast
596,Grenze::N,grense,granica
597,Krieg::N,krig,rat
598,Feind::N,fiende,neprijatelj
599,Gewalt::N,vold,sila
600,Gewalt::N,vold,nasilje
601,Kampf::N,kamp,boj
602,Kampf::N,kamp,borba
603,Bogen[Waffe]::N,bue,luk
604,Pfeil::N,pil,strijela
605,Gewehr::N,gevær,puška
606,Fehler::N,feil,pogreška
607,Fehler::N,feil,griješka
608,Lüge::N,løgn,laž
609,Schaden::N,skade,šteta
610,Unglück::N,uhell,nesreća
611,Schuld::N,skyld,krivnja
612,Alter::N,alder,dob
613,Schluss::N,slutt,kraj
614,Schluss::N,slutt,konac
615,Zeit::N,tid,doba
616,Zeit::N,tid,vrijeme
617,Tag::N,dag,dan
618,Morgen::N,morgen,jutro
619,Mittag::N,middag,podne
620,Abend::N,aften,veče
621,Abend::N,aften,večer
622,Nacht::N,natt,noć
623,Woche::N,uke,sedmica
624,Monat::N,måned,mjesec
625,Jahr::N,år,godina
626,Frühling::N,vår,proljeće
627,Sommer::N,sommer,ljeto
628,Herbst::N,høst,jesen
629,Winter::N,vinter,zima
630,Januar::N,januar,januar
631,Januar::N,januar,siječanj
632,Februar::N,februar,veljača
633,Februar::N,februar,februar
634,März::N,mars,mart
635,März::N,mars,ožujak
636,April::N,april,april
637,April::N,april,travanj
638,Mai::N,mai,maj
639,Mai::N,mai,svibanj
640,Juni::N,juni,juni
641,Juni::N,juni,lipanj
642,Juli::N,juli,juli
643,Juli::N,juli,srpanj
644,August::N,august,august
645,August::N,august,kolovoz
646,September::N,september,rujan
647,September::N,september,septembar
648,Oktober::N,oktober,oktobar
649,Oktober::N,oktober,listopad
650,November::N,november,studeni
651,November::N,november,novembar
652,Dezember::N,desember,prosinac
653,Montag::N,mandag,ponedjeljak
654,Montag::N,mandag,ponedjeljnik
655,Dienstag::N,tirsdag,utorak
656,Dienstag::N,tirsdag,utornik
657,Mittwoch::N,onsdag,srijeda
658,Donnerstag::N,torsdag,četvrtak
659,Freitag::N,fredag,petak
660,Samstag::N,lørdag,subota
661,Sonntag::N,søndag,nedjelja
662,groß::A,stor,velik
663,klein::A,liten,mali
664,klein::A,liten,malen
665,lang::A,lang,dug
666,lang::A,lang,dugačak
667,kurz::A,kort,kratak
668,breit::A,bred,širok
669,schmal::A,smal,uski
670,schmal::A,smal,uzak
671,dicht::A,tett,gust
672,dick[Gegenstand]::A,tykk,debeo
673,dünn::A,tynn,tanak
674,fein::A,fin,fin
675,fein::A,fin,tanak
676,fest::A,fast,čvrst
677,flach::A,flat,ravan
678,flach::A,flat,plosnat
679,glatt::A,glatt,gladak
680,hart::A,hard,tvrd
681,weich::A,myk,mek
682,weich::A,myk,mekan
683,weich::A,bløt,mek
684,weich::A,bløt,mekan
685,rund::A,rund,okrugao
686,spitz::A,spiss,oštar
687,spitz::A,spiss,šiljast
688,scharf::A,kvass,oštar
689,scharf::A,kvass,bridak
690,stumpf::A,stubb,tup
691,schwer::A,tung,težak
692,schön::A,pen,krasan
693,schön::A,vakker,krasan
694,heiß::A,het,vruć
695,warm::A,varm,topao
696,kalt::A,kald,hladan
697,kühl::A,kjølig,hladan
698,frisch::A,fersk,svjež
699,feucht::A,fuktig,vlažan
700,nass::A,våt,mokar
701,trocken::A,tørr,suh
702,voll::A,full,pun
703,leer::A,tom,prazan
704,offen::A,åpen,otvoren
705,geschlossen::A,lukket,zatvoren
706,sauber::A,ren,čist
707,schmutzig::A,skitten,nečist
708,schmutzig::A,skitten,blatan
709,roh::A,rå,sirov
710,reif::A,moden,zreo
711,lecker::A,lekker,tečan
712,lecker::A,lekker,ukusan
713,süß::A,søt,sladak
714,bitter::A,besk,gorak
715,bitter::A,bitter,gorak
716,sauer::A,sur,kiseo
717,hell::A,lys,vedar
718,hell::A,lys,svijetao
719,dunkel::A,mørk,taman
720,schwarz::A,svart,crn
721,weiß::A,hvit,bio
722,weiß::A,hvit,bijel
723,rot::A,rød,crven
724,gelb::A,gul,žut
725,blau::A,blå,plav
726,blau::A,blå,modar
727,grün::A,grønn,zelen
728,grau::A,grå,siv
729,bunt::A,broket,šaren
730,billig::A,billig,jeftin
731,teuer::A,dyr,skup
732,wertvoll::A,verdifull,vrijedan
733,wertvoll::A,verdifull,dragocjen
734,blind::A,blind,slijep
735,taub::A,døv,gluh
736,kräftig::A,kraftig,snažan
737,stark::A,sterk,jak
738,stark::A,sterk,snažan
739,schwach::A,svak,slab
740,fett::A,fet,pretio
741,schlank::A,slank,vitak
742,hübsch::A,pen,zgodan
743,böse::A,slem,zao
744,böse::A,slem,opak
745,dumm::A,dum,glup
746,faul::A,lat,lijen
747,faul::A,doven,lijen
748,fleißig::A,flittig,radin
749,fleißig::A,flittig,marljiv
750,geizig::A,gjerrig,škrt
751,klug::A,klok,razborit
752,geschickt::A,hendig,vješt
753,geschickt::A,skikket,vješt
754,lieb::A,kjær,drag
755,lieb::A,snill,drag
756,lustig::A,morsom,veseo
757,sanft::A,blid,blag
758,hungrig::A,sulten,gladan
759,krank::A,syk,bolestan
760,nackt::A,naken,nag
761,traurig::A,sørgmodig,tužan
762,traurig::A,sørgmodig,žalostan
763,lebendig::A,levende,živ
764,gut::A,god,dobar
765,schlecht::A,dårlig,loš
766,schlecht::A,dårlig,rđav
767,richtig::A,riktig,tačan
768,richtig::A,riktig,ispravan
769,schlimm::A,slem,zao
770,schlimm::A,slem,zločest
771,wahr::A,sann,istinit
772,alt::A,gammel,star
773,neu::A,ny,nov
774,ehemalig::A,forhenværende,bivši
775,alt[Lebewesen]::A,gammel,star
776,jung::A,ung,mlad
777,arm::A,fattig,ubog
778,arm::A,fattig,siromašan
779,reich::A,rik,bogat
780,bekannt::A,kjent,poznat
781,berühmt::A,berømt,čuven
782,berühmt::A,berømt,slavan
783,fremd::A,fremmed,tuđ
784,fremd::A,fremmed,stran
785,verschieden::A,forskjellig,razan
786,verschieden::A,forskjellig,različan
787,nah::A,nær,blizak
788,fern::A,fjern,dalek
789,fern::A,fjern,daljnji
790,linker::A,venstre,lijevi
791,rechter::A,høyre,desni
792,anderer::A,annen,drugi
793,anderer::A,annen,drugačiji
794,erster::A,første,prvi
795,zweiter::A,annen,drugi
796,dritter::A,tredje,treći
797,letzter::A,sist,zadnji
798,allein::ADV,alene,sam
799,auf einmal::ADV,med ett,istodobno
800,zusammen::ADV,sammen,skupa
801,zusammen::ADV,sammen,zajedno
802,lange::ADV,lenge,dugo
803,plötzlich::ADV,plutselig,naglo
804,plötzlich::ADV,plutselig,iznenada
805,sofort::ADV,straks,odmah
806,später::ADV,senere,kasnije
807,jetzt::ADV,nå,sad
808,jetzt::ADV,nå,sada
809,heute::ADV,i dag,danas
810,morgen::ADV,i morgen,sutra
811,bald::ADV,snart,skoro
812,bald::ADV,snart,doskora
813,dann::ADV,så,zatim
814,gestern::ADV,i går,juče
815,gestern::ADV,i går,jučer
816,einst::ADV,engang,negda
817,einst::ADV,engang,nekada
818,damals::ADV,den gang,tada
819,damals::ADV,den gang,onda
820,danach::ADV,deretter,poslije
821,danach::ADV,deretter,nakon toga
822,vorher::ADV,før,prije
823,vorher::ADV,før,prije toga
824,vorher::ADV,i forveien,prije
825,vorher::ADV,i forveien,prije toga
826,zuerst::ADV,først,prvo
827,zuerst::ADV,først,najprije
828,einmal::ADV,en gang,jednom
829,einmal::ADV,en gang,jedanput
830,manchmal::ADV,somme tider,katkad
831,manchmal::ADV,somme tider,katkada
832,oft::ADV,ofte,često
833,immer::ADV,alltid,vazda
834,immer::ADV,alltid,uvijek
835,niemals::ADV,aldri,nikad
836,niemals::ADV,aldri,nikada
837,hier::ADV,her,tu
838,hier::ADV,her,ovdje
839,hierhin::ADV,hit,amo
840,hierhin::ADV,hit,ovamo
841,von hier::ADV,herfra,odavde
842,dort::ADV,der,ondje
843,dorthin::ADV,dit,onamo
844,geradeaus::ADV,rett fram,ravno
845,vorwärts::ADV,fram,naprijed
846,vorwärts::ADV,framover,naprijed
847,rückwärts::ADV,baklengs,natrag
848,zurück::ADV,tilbake,nazad
849,zurück::ADV,tilbake,natrag
850,unten::ADV,nede,dolje
851,hinab::ADV,ned,nizbrdo
852,hinab::ADV,nedover,nizbrdo
853,oben::ADV,oppe,gore
854,oben::ADV,ovenpå,gore
855,hinauf::ADV,opp,uzbrdo
856,hinauf::ADV,oppover,uzbrdo
857,überall::ADV,overalt,svuda
858,überall::ADV,overalt,svagdje
