,Concept_ID,lez,en
735,zwölf::NUM,цӏикьвед,twelve
736,zwanzig::NUM,къад,twenty
737,dreißig::NUM,къанницӏуд,thirty
738,vierzig::NUM,яхцӏур,forty
739,fünfzig::NUM,яхцӏурни цӏуд,fifty
740,sechzig::NUM,пудкъад,sixty
741,siebzig::NUM,пудкъанни цӏуд,seventy
742,achtzig::NUM,кьудкъад,eighty
743,neunzig::NUM,кьудкъанни цӏуд,ninety
744,hundert::NUM,виш,a hundred
745,tausend::NUM,агъзур,a thousand
746,und::CNJ,ва,and
747,oder::CNJ,я,or
748,stehen::V,акъвазун,stand
749,sitzen::V,ацукьун,sit
750,liegen::V,къаткун,lie
751,hängen::V,куьрс хьун,hang
752,werden::V,хьун,become
753,passieren::V,хьун,happen
754,beginnen::V,башламиш хьун,begin
755,enden::V,куьтягь хьун,end
756,wechseln::V,дегиш хьун,change
757,aufgehen[Sonne]::V,экъечӏун,rise
758,untergehen[Sonne]::V,акӏун,set
759,scheinen[Sonne]::V,ишигь гун,shine
760,donnern::V,къукърумар авун,thunder
761,strömen::V,авахьун,stream
762,fließen::V,авахьун,flow
763,sich drehen::V,элкъуьн,revolve
764,schwanken::V,юзун,sway
765,schwingen::V,галтад хьун,swing
766,fallen::V,аватун,fall
767,brennen::V,кун,burn
768,brennen::V,ккун,burn
769,regnen::V,къун,rain
770,gefrieren::V,муркӏади кьун,freeze
771,tauen::V,цӏурун,thaw
772,schmelzen::V,цӏурун,melt
773,trocknen::V,кьурун,dry
774,sieden::V,ругун,boil
775,faulen::V,кутӏун,rot
776,verfaulen::V,чуьруьтмиш хьун,decay
777,verfaulen::V,кутӏун,decay
778,reißen::V,атӏун,snap
779,reißen::V,къазунун,snap
780,versinken::V,батмиш хьун,sink
781,vergehen::V,алатун,pass
782,erscheinen::V,майдандиз акъатун,appear
783,verschwinden::V,квахьун,disappear
784,sinken::V,элекьун,drop
785,abnehmen::V,тӏимил хьун,decrease
786,abnehmen::V,гъвечӏи хьун,decrease
787,zunehmen::V,артух хьун,increase
788,steigen::V,хкаж хьун,rise
789,wachsen::V,экъечӏун,grow
790,glänzen::V,цӏарцӏар гун,shine
791,funkeln::V,нур гун,sparkle
792,lärmen::V,ван авун,be noisy
793,läuten::V,зенг ягъун,chime
794,klingeln::V,зенг ягъун,ring
795,klirren::V,зигринг авун,tinkle
796,brausen::V,къати хьун,roar
797,rauschen::V,вишриш авун,rustle
798,klingen::V,ван авун,sound
799,bellen::V,элуькьун,bark
800,heulen::V,къув ягъун,howl
801,blasen::V,уф гун,blow
802,pfeifen::V,уьфт ягъун,whistle
803,schreien::V,гьараюн,shout
804,stöhnen::V,суза авун,groan
805,zittern::V,зурзун,tremble
806,leben::V,яшамиш хьун,be alive
807,geboren werden::V,хьун,be born
808,atmen::V,нефес чӏугун,breathe
809,trinken::V,хъун,drink
810,essen::V,тӏуьн,eat
811,schlucken::V,туькьуьнун,swallow
812,müde werden::V,галатун,get tired
813,müde werden::V,юргъун хьун,get tired
814,einschlafen::V,ксун,fall asleep
815,schlafen::V,ксун,sleep
816,aufwachen::V,ахварай аватун,wake up
817,aufstehen::V,къарагъун,get up
818,sich erholen::V,ял ягъун,relax
819,krank werden::V,кефсуз хьун,fall ill
820,krank sein::V,тӏа хьун,be ill
821,schmerzen::V,тӏа хьун,ache
822,husten::V,уьгьуь ягъун,cough
823,genesen::V,сагъ хъхьун,recover
824,sterben::V,кьин,die
825,umkommen::V,терг хьун,perish
826,sich bewegen::V,юзун,move
827,sich rühren::V,юзун,budge
