,Concept_ID,ps,et
255,Onkel::N,ماما,onu
256,Tante::N,خاله,tädi
257,Ehemann::N,مېړه,mees
258,Ehemann::N,مېړه,abikaasa
259,Ehefrau::N,مېرمن,naine
260,Ehefrau::N,مېرمن,abikaasa
261,Freude::N,خوشحالي,rõõm
262,Gelächter::N,خندا,naer
263,Glück::N,بخت,õnn
264,Kummer::N,غم,mure
265,Kummer::N,غم,kurbus
266,Wunsch::N,هيله,soov
267,Wunsch::N,غوښتنه,soov
268,Lust::N,شوق,himu
269,Lust::N,مینه,himu
270,Geist::N,روح,vaim
271,Gedanke::N,فکر,mõte
272,Gedächtnis::N,یاد,mälu
273,Gedächtnis::N,حافظه,mälu
274,Verstand::N,عقل,aru
275,Verstand::N,عقل,mõistus
276,Verstand::N,شعور,aru
277,Verstand::N,شعور,mõistus
278,Sinn::N,معنی,tähendus
279,Grund::N,علت,põhjus
280,Grund::N,اساس,põhjus
281,Wahrheit::N,حقیقت,tõde
282,Gespräch::N,مرکه,kõne
283,Gespräch::N,مرکه,vestlus
284,Gespräch::N,خبرې اترې,kõne
285,Gespräch::N,خبرې اترې,vestlus
286,Märchen::N,افسانه,muinasjutt
287,Erzählung::N,قصه,jutustus
288,Erzählung::N,کیسه,jutustus
289,Nachricht::N,خبر,teade
290,Neuigkeit::N,نوی خبر,uudis
291,Name::N,نوم,nimi
292,Rätsel::N,کیسۍ,mõistatus
293,Rätsel::N,چیستان,mõistatus
294,Rede::N,وینا,kõne
295,Sprache::N,ژبه,keel
296,Stimme::N,غږ,hääl
297,Stimme::N,اواز,hääl
298,Wort::N,لغت,sõna
299,Wort::N,کلمه,sõna
300,Zeichen::N,نښه,märk
301,Zeichen::N,اشاره,märk
302,Ruf::N,ږغ,hüüe
303,Ruf::N,بلنه,hüüe
304,Lärm::N,غالمغال,müra
305,Laut::N,ږغ,hääl
306,Ton::N,اواز,toon
307,Lied::N,غزله,laul
308,Lied::N,سندره,laul
309,Ruhe::N,ارامي,rahu
310,Ruhe::N,ارامي,vaikus
311,Leute::N,خلک,inimesed
312,Volk::N,ولس,rahvas
313,Arbeit::N,کار,töö
314,Gast::N,مېلمه,külaline
315,Geschenk::N,تحفه,kingitus
316,Geschenk::N,سوغات,kingitus
317,Spiel::N,لوبه,mäng
318,Gesellschaft::N,ډله,selts
319,Hilfe::N,کومک,abi
320,Hilfe::N,مرسته,abi
321,Freund::N,ملګری,sõber
322,Kamerad::N,انډيوال,sõber
323,Angelegenheit::N,موضوع,asi
324,Anzahl::N,شمېر,arv
325,Anzahl::N,شمېر,hulk
326,Anzahl::N,تعداد,arv
327,Anzahl::N,تعداد,hulk
328,Art::N,ډول,liik
329,Stück::N,ټوټه,tükk
330,Teil::N,برخه,osa
331,Hälfte::N,نیم,pool
332,Kreis::N,دایره,ring
333,Kreuz::N,صلیب,rist
334,Linie::N,خط,joon
335,Linie::N,لیکه,joon
336,Strich::N,کرښه,joon
337,Abstand::N,فاصله,vahe
338,Entfernung::N,واټن,kaugus
