,Concept_ID,ml,lez
152,Katze::N,പൂച്ച,кац
153,Bär::N,കരടി,сев
154,Eichhörnchen::N,അണ്ണാൻ,белка
155,Elch::N,കടമാന്,лось
156,Fuchs::N,കുറുക്കൻ,сикӏ
157,Hase::N,മുയൽ,къуьр
158,Maus::N,ചുണ്ടലി,кьиф
159,Wolf::N,ചെന്നായ,жанавур
160,Vogel::N,പക്ഷി,луван ничхир
161,Schwarm::N,കൂട്ടം,луж
162,Huhn::N,കോഴി,верч
163,Hahn::N,പൂവൻകോഴി,кӏек
164,Gans::N,അരയന്നം,къаз
165,Adler::N,കഴുകൻ,лекь
166,Ente::N,താറാവ്,пӏатӏ
167,Eule::N,മൂങ്ങ,тӏиб
168,Kranich::N,കൊക്ക്,дурна
169,Krähe::N,കാക്ക,къаргъа
170,Kuckuck::N,കുയിൽ,кукупӏ
171,Schwan::N,അരയന്നം,къугь
172,Fisch::N,മത്സ്യം,гъед
173,Barsch::N,ഒരിനം മത്സ്യം,окунь
174,Hecht::N,ഒരു മത്സ്യം,щука
175,Schlange[Tier]::N,പാമ്പ്,илан
176,Schlange[Tier]::N,പാമ്പ്,гъуьлягъ
177,Wurm::N,വിര,квак
178,Spinne::N,ചിലന്തി,хуьшрекан
179,Ameise::N,ഉറുമ്പ്,цегв
180,Laus::N,പേന്,нет
181,Mücke::N,മശകം,ветӏ
182,Fliege::N,ഈച്ച,тӏветӏ
183,Schmetterling::N,ചിത്രശലഭം,чепелукь
184,Beere::N,ബെറി,куьлуь емиш
185,Apfel::N,ആപ്പിൾ,ич
186,Pilz::N,കൂൺ,къарникъуз
187,Zwiebel::N,സവാള,чичӏек
188,Saat::N,വിത്ത്,тумар
189,Korn::N,ധാന്യം,твар
190,Heu::N,വയ്ക്കോൽ,векь
191,Heu::N,വയ്ക്കോൽ,векьер
192,Schale::N,തൊലി,пириш
193,Schale::N,തൊലി,хъуьруьш
194,Grube::N,കുഴി,фур
195,Falle::N,കെണി,ракьар
196,Schlinge::N,കുടുക്ക്,гьалкъа
197,Spur::N,ചുവട്,гел
198,Asche::N,ചാരം,руьхъ
199,Dreck::N,അഴുക്ക്,чирк
200,Dreck::N,അഴുക്ക്,кьуруш
201,Eisen::N,ഇരുമ്പ്,ракь
202,Gold::N,സ്വർണ്ണം,алтун
203,Silber::N,വെള്ളി,гимиш
204,Kohle::N,കൽക്കരി,цӏивин
205,Glas::N,ഗ്ലാസ്,шуьше
206,Lehm::N,കളിമണ്ണ്,ччеб
207,Sand::N,മണൽ,къум
208,Mensch::N,മനുഷ്യർ,инсан
209,Mann::N,പുരുഷൻ,итим
210,Frau::N,സ്ത്രീ,паб
211,Frau::N,സ്ത്രീ,дишегьли
212,Kind::N,കുഞ്ഞ്,аял
213,Junge::N,ആൺകുട്ടി,гада
214,Mädchen::N,പെൺകുട്ടി,руш
215,Familie::N,കുടുംബം,хзан
216,Familie::N,കുടുംബം,килфет
217,Großvater::N,അപ്പൂപ്പൻ,чӏехи буба
218,Großmutter::N,അമ്മുമ്മ,чӏехи диде
219,Eltern::N,മാതാപിതാക്കള്,диде-буба
220,Vater::N,അച്ഛൻ,буба
221,Mutter::N,അമ്മ,диде
222,Sohn::N,മകൻ,хва
223,Tochter::N,മകൾ,руш
224,Bruder::N,ചേട്ടൻ,стха
225,Bruder::N,അനിയൻ,стха
226,Schwester::N,ചേച്ചി,вах
227,Schwester::N,അനിയത്തി,вах
228,Onkel::N,അമ്മാവൻ,ими
229,Onkel::N,അമ്മാവൻ,халу
230,Tante::N,മാമി,эме
231,Tante::N,മാമി,хала
232,Ehemann::N,ഭർത്താവ്,гъуьл
233,Ehefrau::N,ഭാര്യ,паб
234,Freude::N,ആഹ്ലാദം,шадвал
235,Gelächter::N,ചിരിയുടെ ശബ്ദം,хъвер
236,Glück::N,സന്തോഷം,бахт
237,Glück::N,സന്തുഷ്ടി,бахт
238,Kummer::N,ശോകം,дерт
239,Kummer::N,ശോകം,хажалат
240,Wunsch::N,ആഗ്രഹം,мурад
241,Lust::N,ആഗ്രഹം,гьевес
242,Geist::N,ചുറുചുറുക്ക്,руьгь
243,Gedanke::N,ചിന്ത,фикир
244,Gedächtnis::N,ഓർമ്മശക്തി,
245,Verstand::N,മനസ്സ്,акьул
246,Sinn::N,അർത്ഥം,мана
247,Grund::N,കാരണം,себеб
248,Wahrheit::N,സത്യം,керчек
249,Wahrheit::N,സത്യം,гьакъикъат
250,Gespräch::N,സല്ലാപം,ихтилат
251,Märchen::N,യക്ഷിക്കഥ,мах
252,Erzählung::N,കഥ,кьиса
253,Nachricht::N,സന്ദേശം,хабар
254,Neuigkeit::N,വാർത്ത,цӏийи хабар
255,Name::N,പേര്,тӏвар
256,Rätsel::N,പ്രഹേളിക,мискӏал
257,Rede::N,സംസാരം,рахун
258,Sprache::N,ഭാഷ,чӏал
259,Stimme::N,സ്വരം,ван
260,Wort::N,വാക്ക്,гаф
261,Zeichen::N,സംജ്ഞ,ишара
262,Ruf::N,വിളി,эвер
263,Lärm::N,ആരവം,ван-сес
264,Laut::N,ശബ്ദം,ван
265,Laut::N,ശബ്ദം,сес
266,Ton::N,സ്വരഭേദം,ван-сес
267,Lied::N,പാട്ട്,мани
268,Ruhe::N,നിശ്ചലത,ласвал
269,Ruhe::N,നിശ്ചലത,фаракъат
270,Ruhe::N,നിശ്ചലത,асайиш
271,Leute::N,ജനങ്ങൾ,инсанар
272,Volk::N,രാഷ്ടം,халкь
273,Arbeit::N,ജോലി,кӏвалах
274,Gast::N,അതിലി,мугьман
275,Geschenk::N,സമ്മാനം,савкьат
276,Spiel::N,കളി,къугъун
277,Gesellschaft::N,കൂട്ടായ്മ,жемят
278,Gesellschaft::N,കൂട്ടായ്മ,общество
279,Hilfe::N,സഹായം,куьмек
280,Freund::N,സുഹൃത്ത്,дуст
281,Kamerad::N,കൂട്ടാളി,яр-дуст
282,Angelegenheit::N,കാര്യം,кар
283,Anzahl::N,എണ്ണം,сан
284,Anzahl::N,എണ്ണം,кьадар
285,Art::N,തരം,жуьре
286,Stück::N,കഷണം,кӏус
287,Teil::N,ഭാഗം,пай
288,Hälfte::N,പകുതി,зур
289,Hälfte::N,പകുതി,зур пай
290,Kreis::N,വൃത്തം,круг
291,Kreis::N,വൃത്തം,чкаяр
292,Kreis::N,വൃത്തം,элкъвей цӏар
293,Kreuz::N,കുരിശടയാളം,хаш
294,Linie::N,വര,цӏар
295,Linie::N,രേഖ,цӏар
296,Strich::N,പക്ഷാഘാതം,цӏар
297,Abstand::N,വിടവ്,ара
298,Entfernung::N,അകലം,мензил
299,Gegend::N,പ്രദേശം,чка
300,Platz::N,ഇടം,ара
301,Ort::N,സ്ഥലം,чка
302,Seite::N,വശം,пад
303,Mitte::N,മധ്യസ്ഥാനം,юкь
304,Gegenstand::N,സാധനം,затӏ
305,Sache::N,വസ്തു,шей
306,Sache::N,വസ്തു,затӏ
307,Rand::N,തൊങ്ങൽ,къерех
308,Kante::N,അറ്റം,син
309,Ecke::N,മൂല,пӏипӏ
310,Spitze::N,അഗ്രം,кӏвенкӏв
311,Ende::N,അവസാനം,кьил
312,Loch::N,ദ്വാരം,тӏеквен
313,Winkel::N,കോൺ,пӏипӏ
314,Muster::N,ക്രമം,гишир
315,Größe::N,വലുപ്പം,кьадар
316,Länge::N,നീളം,яргъивал
317,Höhe::N,ഉയരം,кьакьанвал
318,Gewicht::N,കട്ടി,заланвал
319,Menge::N,അളവ്,кьадар
320,Haufen::N,കൂമ്പാരം,хара
321,Reihe::N,വരി,жерге
322,Boot::N,ബോട്ട്,луьткве
323,Ruder::N,പങ്കായം,кьусу
324,Schlitten::N,ഉരുളില്ലാവണ്ടി,гъелерар
325,Ski::N,ഹിമപാദുകം,
326,Lagerfeuer::N,തീ,цӏай
327,Last::N,ഭാരം,заланвал
328,Gang::N,നടത്തം,ериш
329,Schritt::N,ചുവട്,къадам
330,Norden::N,വടക്ക്,кефер
331,Norden::N,വടക്ക്,кефер пад
332,Süden::N,തെക്ക്,кьибле
333,Westen::N,പടിഞ്ഞാറ്,рагъакӏидай пад
334,Osten::N,കിഴക്ക്,рагъэкъечӏдай пад
335,Holz::N,തടി,кӏарас
336,Brett::N,ബോർഡ്,кьул
337,Brett::N,ബോർഡ്,тахта
338,Platte::N,തകിട്,
339,Stütze::N,താങ്ങ്,даях
340,Stange::N,കമ്പ്,юрк
341,Stock::N,വടി,лаш
342,Stab::N,കുറുവടി,юрк
343,Rohr::N,കുഴൽ,турба
344,Haus::N,വീട്,ужагъ
345,Heim::N,വീട്,кӏвал
346,Ofen::N,സ്റ്റൌ,пич
347,Fußboden::N,തറ,кӏвалин ччил
348,Tisch::N,മേശ,стол
349,Stuhl::N,കസേര,стул
350,Wiege::N,തൊട്ടിൽ,кьеб
351,Bett::N,കിടക്ക,тахт
352,Regal::N,ഷെൽഫ്,кьацӏ
353,Kiste::N,പെട്ടി,ящик
354,Fenster::N,ജനൽ,дакӏар
355,Tür::N,വാതിൽ,рак
356,Tor::N,കവാടം,варар
357,Zaun::N,വേലി,пару
358,Dach::N,മേൽക്കുര,къав
359,Leiter::N,ഏണി,гурар
360,Besen::N,ചൂല്,таран кул
361,Spaten::N,തൂമ്പ,ппер
362,Schaufel::N,തൂമ്പ,хекендаз
363,Gabel::N,മുൾക്കത്തി,шиш
364,Löffel::N,സ്പൂൺ,тӏур
365,Messer::N,കത്തി,чукӏул
366,Nagel::N,ആണി,мих
367,Netz::N,വല,чил
368,Haken::N,കൊളുത്ത്,къармах
369,Griff::N,കൈപ്പിടി,ттум
370,Schloss::N,പൂട്ട്,куьлег
371,Bild::N,ചിത്രം,шикил
372,Bild::N,ചിത്രം,суьрет
373,Figur::N,കണക്ക്,фигура
374,Puppe::N,പാവ,нини
375,Beutel::N,ബാഗ്,тагъар
376,Bündel::N,കെട്ട്,галгам
377,Tasche::N,ബാഗ്,чанта
378,Eimer::N,ബക്കറ്റ്,ведре
379,Deckel::N,ഉറ,кьил
380,Deckel::N,ഉറ,къалпагъ
381,Geschirr::N,പിഞ്ഞാണം,къаб-къажах
382,Sack::N,ചാക്ക്,чувал
383,Tasse::N,കപ്പ്,сукӏра
384,Topf::N,പാത്രം,къажгъан
385,Kessel::N,കെറ്റ്ല്,къажгъан
386,Essen::N,ആഹാരസമയം,тӏуьн
387,Nahrung::N,ഭക്ഷണം,тӏуьн
388,Speise::N,ഡിഷ്,хуьрек
389,Fleisch::N,മാംസം,як
390,Getreide::N,ചോളം,техил
391,Brei::N,കഞ്ഞി,хапӏа
392,Brei::N,കഞ്ഞി,хешил
393,Brot::N,റോട്ടി,фу
394,Scheibe::N,തുണ്ട്,чӏук
395,Fett::N,കൊഴുപ്പ്,ягълу
396,Butter::N,വെണ്ണ,гъери
397,Öl::N,എണ്ണ,ягълу
398,Salz::N,ഉപ്പ്,кьел
399,Suppe::N,സൂപ്പ്,суп
400,Suppe::N,സൂപ്പ്,шурпа
401,Honig::N,തേൻ,вирт
402,Milch::N,പാൽ,нек
403,Tee::N,ചായ,чай
404,Leder::N,തുകൽ,тумаж
405,Wolle::N,കമ്പിളി,йис
406,Stoff::N,തുണി,парча
407,Nadel::N,സൂചി,раб
408,Faden::N,നൂല്,гъал
409,Knopf::N,ബട്ടൺ,дуьгме
410,Knoten::N,കുരുക്ക്,тӏвал
411,Farbe::N,പെയിൻറ്,ранг
412,Kleidung::N,വസ്ത്രങ്ങൾ,партал
413,Hemd::N,ഷർട്ട്,перем
414,Kragen::N,കുപ്പായക്കഴുത്ത്,хев
415,Ärmel::N,കുപ്പായക്കൈ,хел
416,Hose::N,ട്രൌസർ,шалвар
417,Gürtel::N,ബെൽറ്റ്,чӏул
418,Mütze::N,തൊപ്പി,бармак
419,Mütze::N,തൊപ്പി,бапӏах
420,Schuh::N,ഷൂ,ботинка
421,Stiefel::N,ബൂട്ട്,чекме
422,Ring::N,മോതിരം,тупӏал
423,Band::N,റിബൺ,тасма
424,Kamm::N,ചീപ്പ്,регъ
425,Spiegel::N,കണ്ണാടി,гуьзгуь
426,Riemen::N,സ്ട്രാപ്പ്,къайиш
427,Schnur::N,ചരട്,еб
428,Leine::N,കെട്ടാനുള്ള തോൽവാർ,
429,Decke::N,പുതപ്പ്,яргъан
430,Kissen::N,തലയിണ,хъуьцуьган
431,Tuch::N,സ്കാർഫ്,шал
432,Handtuch::N,തോർത്ത്,дасмал
433,Kraft::N,ശക്തി,гуж
434,Stärke::N,ശക്തി,къуват
435,Gesundheit::N,ആരോഗ്യം,сагъвал
436,Krankheit::N,അസുഖം,тӏал
437,Schmerz::N,വേദന,тӏал
438,Schmerz::N,വേദന,тӏарвал
439,Wunde::N,മുറിവ്,хер
440,Fieber::N,പനി,ифин
441,Arznei::N,മരുന്ന്,дарман
442,Brücke::N,പാലം,муьгъ
443,Brunnen::N,കിണർ,къуй
444,Weide::N,മേച്ചൽ,уьруьш
445,Pfad::N,വഴി,рехъ
446,Weg::N,വഴി,рехъ
447,Straße::N,റോഡ്,рехъ
448,Dorf::N,ഗ്രാമം,хуьр
449,Stadt::N,നഗരം,шегьер
450,Brief::N,കത്ത്,кагъаз
451,Buch::N,പുസ്തകം,улуб
452,Buchstabe::N,അക്ഷരം,гьарф
453,Zeitung::N,വർത്തമാനപത്രം,газета
454,Leben::N,ജീവൻ,уьмуьр
455,Tod::N,മരണം,кьиникь
456,Grab::N,ശവക്കുഴി,сур
457,Kirche::N,പള്ളി,килиса
458,Sünde::N,പാപം,гунагь
459,Gott::N,ദൈവം,аллагь
460,Arbeiter::N,ജോലിക്കാരൻ,фяле
461,Chef::N,മേധാവി,гьаким
462,Meister::N,യജമാനൻ,устӏар
463,Arzt::N,ഡോക്ടർ,доктор
464,Lehrer::N,അധ്യാപകൻ,муаллим
465,Geld::N,പണം,пул
466,Geschäft::N,ബിസിനസ്,
467,Laden::N,കട,магазин
468,Preis::N,വില,къимет
469,Ware::N,ചരക്ക്,мал
470,Ware::N,ചരക്ക്,товар
471,Nutzen::N,ലാഭം,хийир
472,Nutzen::N,ലാഭം,менфят
473,Reichtum::N,ധനം,девлет
474,Welt::N,ലോകം,дуьнья
475,Land::N,രാജ്യം,уьлкве
476,Staat::N,രാജ്യം,пачагьлугъ
477,Staat::N,രാജ്യം,государство
478,König::N,രാജാവ്,пачагь
479,Macht::N,അധികാരം,власть
480,Grenze::N,അതിർത്തി,сергьят
481,Krieg::N,യുദ്ധം,дяве
482,Feind::N,ശത്രു,душман
483,Gewalt::N,അക്രമം,гуж
484,Kampf::N,പോരാട്ടം,женг
485,Bogen[Waffe]::N,വില്ല്,чӏемерук
486,Pfeil::N,അമ്പ്,хьел
487,Gewehr::N,തോക്ക്,тфенг
488,Fehler::N,പിശക്,гъалатӏ
489,Lüge::N,കള്ളം,ттаб
490,Schaden::N,കേടുപാട്,зиян
491,Schaden::N,കേടുപാട്,зарар
492,Unglück::N,ദൌർഭാഗ്യം,бала
493,Unglück::N,ദൌർഭാഗ്യം,бедбахтвал
494,Schuld::N,തെറ്റ്,тахсир
495,Alter::N,വയസ്സ്,яш
496,Schluss::N,നിഗമനം,эхир
497,Zeit::N,സമയം,вяде
498,Tag::N,ദിവസം,югъ
499,Morgen::N,പ്രഭാതം,пакама
500,Mittag::N,ഉച്ച,нисин
501,Abend::N,സായാഹ്നം,няни
502,Nacht::N,രാത്രി,йиф
503,Woche::N,ആഴ്ച,гьафте
504,Monat::N,മാസം,варз
505,Jahr::N,വർഷം,йис
506,Frühling::N,വസന്തം,гатфар
507,Sommer::N,വേനൽ,гад
508,Herbst::N,ശരത്കാലം,зул
509,Winter::N,ശൈത്യം,кьуьд
510,Januar::N,ജനുവരി,январь
511,Februar::N,ഫെബ്രുവരി,февраль
512,März::N,മാർച്ച്,март
513,April::N,ഏപ്രിൾ മാസം,апрель
514,Mai::N,മെയ് മാസം,май
515,Juni::N,ജൂൺ,июнь
516,Juli::N,ജൂലൈ,июль
517,August::N,ആഗസ്റ്റ്,август
518,September::N,സെപ്തംബർ,сентябрь
519,Oktober::N,ഒക്ടോബർ,октябрь
520,November::N,നവംബർ,ноябрь
521,Dezember::N,ഡിസംബർ,декабрь
522,Montag::N,തിങ്കളാഴ്ച,ислен
523,Dienstag::N,ചൊവ്വ,саласа
524,Mittwoch::N,ബുധനാഴ്ച,арбе
525,Donnerstag::N,വ്യാഴാഴ്ച,хемис югъ
526,Freitag::N,വെള്ളിയാഴ്ച,жуьмя
527,Freitag::N,വെള്ളിയാഴ്ച,жуьмя югъ
528,Samstag::N,ശനിയാഴ്ച,киш
529,Sonntag::N,ഞായറാഴ്ച,гьяд
530,groß::A,വലിയ,еке
531,groß::A,വലിയ,чӏехи
532,klein::A,ചെറിയ,гъвечӏи
533,lang::A,നീണ്ട,яргъи
534,kurz::A,ഹ്രസ്വമായ,куьруь
535,breit::A,വിശാലമായ,гьяркьуь
536,schmal::A,ഇടുങ്ങിയ,гуьтӏуь
537,dicht::A,നിബിഡമായ,къалин
538,dick[Gegenstand]::A,തടിച്ച,
539,dünn::A,മെലിഞ്ഞ,кьелечӏ
540,fein::A,നേർത്ത,шуькӏуь
541,fest::A,ഉറപ്പുള്ള,кӏеви
542,flach::A,പരന്ന,кьулу
543,glatt::A,മിനുസമുള്ള,цӏалцӏам
544,hart::A,കട്ടിയുള്ള,кӏеви
545,weich::A,മൃദുവായ,хъуьтуьл
546,rund::A,വട്ടത്തിലുള്ള,элкъвей
547,spitz::A,മുനയുള്ള,хци
548,scharf::A,മൂർച്ചയുള്ള,хци
549,stumpf::A,തുറന്നടിക്കുന്ന,къуьруь
550,schwer::A,ഭാരമുള്ള,залан
551,schön::A,മനോഹരമായ,иер
552,heiß::A,ചൂടുള്ള,кудай
553,warm::A,ചൂടുള്ള,чими
554,kalt::A,തണുത്ത,мекьи
555,kühl::A,തണുപ്പുള്ള,къайи
556,frisch::A,ശുദ്ധമായ,таза
557,frisch::A,ശുദ്ധമായ,михьи
558,feucht::A,ഈറനുള്ള,ламу
559,nass::A,നനഞ്ഞ,кьежей
560,trocken::A,വരണ്ട,кьуру
561,voll::A,നിറയെ,ацӏай
562,leer::A,ഒഴിഞ്ഞ,буш
563,leer::A,ഒഴിഞ്ഞ,ичӏи
564,offen::A,തുറന്ന,ахъа
565,geschlossen::A,അടച്ച,кӏеви
566,sauber::A,വൃത്തിയുള്ള,михьи
567,schmutzig::A,അഴുക്കുനിറഞ്ഞ,чиркин
568,schmutzig::A,അഴുക്കുനിറഞ്ഞ,кьацӏай
569,roh::A,അസംസ്കൃതമായ,чиг
570,roh::A,അസംസ്കൃതമായ,ицӏи
571,reif::A,പഴുത്ത,дигмиш хьайи
572,lecker::A,രുചികരമായ,дадлу
573,süß::A,മധുരമുള്ള,ширин
574,bitter::A,കടുത്ത,туькьуьл
575,sauer::A,പുളിപ്പുള്ള,цуру
576,hell::A,ജ്വലിക്കുന്ന,экуь
577,dunkel::A,ഇരുണ്ട,мичӏи
578,schwarz::A,കറുത്ത,чӏулав
579,weiß::A,വെളുത്ത,лацу
580,rot::A,ചുവന്ന,яру
581,gelb::A,മഞ്ഞനിറമായ,хъипи
582,blau::A,നീലനിറമുള്ള,вили
583,grün::A,പച്ചനിറമുള്ള,къацу
584,grau::A,ചാരനിറത്തിലുള്ള,рехи
585,bunt::A,വർണ്ണശബളമായ,цӏару
586,bunt::A,വർണ്ണശബളമായ,яру-цӏару
587,billig::A,വിലകുറഞ്ഞ,ужуз
588,teuer::A,ചെലവേറിയ,багьа
589,wertvoll::A,വിലപിടിപ്പുള്ള,масан
590,blind::A,അന്ധനായ,буьркьуь
591,taub::A,കേൾവിക്കുറവുള്ള,биши
592,kräftig::A,ശക്തിയുള്ള,гужлу
593,stark::A,ബലമുള്ള,къуватлу
594,schwach::A,ക്ഷീണിച്ച,такьатсуз
595,fett::A,കൊഴുപ്പുള്ള,куьк
596,schlank::A,മെലിഞ്ഞ,шумал
597,hübsch::A,മനോഹരമായ,гуьрчег
598,böse::A,പാപിയായ,пис
599,dumm::A,വിവരംകെട്ട,ахмакь
600,faul::A,അലസനായ,тенпел
601,fleißig::A,അദ്ധ്വാനശീലമുള്ള,сяй ийидай
602,fleißig::A,അദ്ധ്വാനശീലമുള്ള,сяйи ийидай
603,geizig::A,പിശുക്കനായ,мискьи
604,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,акьуллу
605,geschickt::A,പ്രതിഭാശാലി,магьир
606,lieb::A,പ്രിയപ്പെട്ട,играми
607,lustig::A,ആനന്ദകരമായ,шад
608,sanft::A,സൌമ്യമായ,назик
609,sanft::A,സൌമ്യമായ,милайим
610,hungrig::A,വിശപ്പുള്ള,гишин
611,krank::A,അസുഖമുള്ള,кефсуз
612,nackt::A,നഡമായ,кьецӏил
613,traurig::A,വിഷമമുള്ള,пашман
614,lebendig::A,ഉപജീവനം,ччан алай
615,gut::A,നല്ല,хъсан
616,gut::A,നല്ല,вижевай
617,schlecht::A,മോശമായ,пис
618,richtig::A,ശരിയായ,дуьз
619,schlimm::A,വൃത്തികെട്ട,нифретлу
620,wahr::A,ശരിയായ,гьакъикъи
621,alt::A,പഴയ,эски
622,alt::A,പഴയ,куьгьне
623,neu::A,പുതിയ,цӏийи
624,ehemalig::A,മുൻ,виликан
625,alt[Lebewesen]::A,വയസ്സുള്ള,кьуьзуь
