,Concept_ID,tt,ce
55,Geschmack::N,тәм,чам
56,Geschmack::N,зәвык,чам
57,Geruch::N,ис,хьожа
58,Schlaf::N,йокы,наб
59,Traum::N,төш,гӏан
60,Himmel::N,күк,стигал
61,Sonne::N,кояш,малх
62,Mond::N,ай,бутт
63,Stern::N,йолдыз,седа
64,Luft::N,һава,xӏаваъ
65,Wind::N,җил,мох
66,Welle::N,дулкын,тулгӏе
67,Wasser::N,су,хи
68,Stein::N,таш,тӏулг
69,Boden::N,туфрак,цӏенкъа
70,Erde::N,җир,латта
71,Staub::N,тузан,чан
72,Rauch::N,төтен,кӏур
73,Funke::N,очкын,суй
74,Feuer::N,ут,цӏе
75,Licht::N,якты,серло
76,Schatten::N,күләгә,ӏиндагӏ
77,Wetter::N,һава,хенан хӏоттам
78,Nebel::N,томан,дохк
79,Wolke::N,болыт,марха
80,Regen::N,яңгыр,догӏа
81,Schnee::N,кар,ло
82,Eis::N,боз,ша
83,Frost::N,суык,шело
84,Frost::N,салкын,шело
85,Kälte::N,суык,шело
86,Kälte::N,салкын,шело
87,Hitze::N,эсселек,йовхо
88,Raureif::N,бәс,йис
89,Raureif::N,сыкы,йис
90,Regenbogen::N,салават күпере,стелаӏад
91,Donner::N,күкрәү,ткъес
92,Strömung::N,агыш'агым,дӏаэхар
93,Strömung::N,агыш'агым,дӏасалелар
94,Tropfen::N,тамчы,тӏадам
95,Schaum::N,күбек,чопа
96,Schmutz::N,пычрак,хатт
97,See::N,күл,ӏам
98,Sumpf::N,саз,уьшал
99,Moor::N,торфлык,уьшал
100,Wiese::N,болын,бай
101,Wald::N,урман,хьун
102,Hügel::N,калку,гу
103,Hügel::N,калку,шу
104,Hügel::N,калку,барз
105,Anhöhe::N,үр,акъари
106,Berg::N,тау,лам
107,Gipfel::N,оч,бохь
108,Höhle::N,мәгарә,хьех
109,Abhang::N,кабырга,басе
110,Quelle::N,чишмә,шовда
111,Bach::N,елга,татол
112,Fluss::N,дәрья,хи
113,Ufer::N,су кырые,хийист
114,Küste::N,яр буе,йист
115,Festland::N,коры җир,латта
116,Meer::N,диңгез,xӏорд
117,Bucht::N,бухта,чож
118,Bucht::N,култык,чож
119,Insel::N,атау,гӏайре
120,Insel::N,утрау,гӏайре
121,Blume::N,чәчкә,зезаг
122,Gras::N,үлән,буц
123,Wurzel::N,тамыр,орам
124,Baum::N,агач,дитт
125,Stamm::N,кәүсә,гӏад
126,Stamm::N,кәүсә,тайпа
127,Rinde::N,кабык,кевстиг
128,Ast::N,ботак,га
129,Zweig::N,ботак,га
130,Zweig::N,тармак,га
131,Blatt::N,яфрак,гӏа
132,Birke::N,каен,дакх
133,Kiefer[Baum]::N,нарат,бага
134,Weide[Baum]::N,тал,дак
135,Tanne::N,чыршы,база
136,Horn::N,мөгез,маӏа
137,Feder::N,йон,пелаг
138,Fell::N,тире,цӏока
139,Flügel::N,канат,тӏам
140,Klaue::N,тырнак,мӏара
141,Kralle::N,тырнак,тlод
142,Schwanz::N,койрык,цӏога
143,Ei::N,күкәй,xӏoa
144,Ei::N,йомырка,xӏoa
145,Nest::N,оя,бен
146,Bau::N,өн,lуьрг
147,Tier::N,хайван,дийнат
148,Herde::N,көтү,жа
149,Kuh::N,сыер,етт
150,Bulle::N,үгез,сту
151,Pferd::N,ат,говр
152,Schaf::N,сарык,жий
153,Schaf::N,сарык,уьстагӏ
154,Schwein::N,дуңгыз,хьакха
155,Hund::N,эт,жӏаьла
156,Katze::N,песи,цициг
157,Bär::N,аю,ча
158,Eichhörnchen::N,тиен,тарсал
159,Elch::N,поши,сай
160,Fuchs::N,төлке,цхьогал
161,Hase::N,куян,пхьагал
162,Maus::N,тычкан,дахка
163,Wolf::N,бүре,борз
164,Vogel::N,кош,олхазар
165,Schwarm::N,көтү,
166,Huhn::N,тавык,котам
167,Hahn::N,әтәч,нӏаьна
168,Hahn::N,әтәч,боргӏал
169,Gans::N,каз,гӏаз
170,Adler::N,каракош,aьрзу
171,Ente::N,үрдәк,бад
172,Eule::N,ябалак,бухӏа
173,Kranich::N,торна,гӏаргӏули
174,Krähe::N,карга,къиг
175,Kuckuck::N,күке,aттйокх
176,Kuckuck::N,кәккүк,aттйокх
177,Schwan::N,аккош,гӏургӏаз
178,Fisch::N,балык,чӏара
179,Barsch::N,алабуга,окунь
180,Hecht::N,чуртан,гӏазкхийн чӏара
181,Schlange[Tier]::N,елан,лаьхьа
182,Wurm::N,корт,нӏаьна
183,Spinne::N,үрмәкүч,гезг
184,Ameise::N,кырмыска,зингат
185,Laus::N,бет,меза
186,Laus::N,бет,гӏениг
187,Mücke::N,черки,чуьрк
188,Mücke::N,озынборын,чуьрк
189,Fliege::N,чебен,моза
190,Schmetterling::N,күбәләк,полла
191,Beere::N,җиләк,цӏазам
192,Apfel::N,алма,ӏаж
193,Pilz::N,гөмбә,жӏаьлин нускал
194,Zwiebel::N,суган,xох
195,Zwiebel::N,суганбаш,xох
196,Saat::N,орлык,чlу
197,Korn::N,иген,буьртиг
198,Korn::N,орлык,буьртиг
199,Heu::N,печән,йол
200,Schale::N,кабык,пардо
201,Grube::N,баз,ор
202,Grube::N,чокыр,ор
203,Falle::N,тозак,кӏело
204,Falle::N,капкын,кӏело
205,Schlinge::N,элмәк,
206,Spur::N,эз,лар
207,Asche::N,көл,чим
208,Dreck::N,пычрак,мода
209,Eisen::N,тимер,эчиг
210,Gold::N,алтын,деши
211,Silber::N,көмеш,дети
212,Kohle::N,күмер,кӏора
213,Glas::N,пыяла,aнгали
214,Lehm::N,балчык,поппар
215,Sand::N,ком,гӏум
216,Mensch::N,адәм,адам
217,Mensch::N,инсан,адам
218,Mann::N,ир,майра
219,Frau::N,хатын,зуда
220,Kind::N,бала,бер
221,Junge::N,малай,жимха
222,Mädchen::N,кыз,жима йоӏ
223,Familie::N,гаилә,доьзал
224,Großvater::N,бабай,ненада
225,Großmutter::N,әби,денана
226,Eltern::N,ата-ана,да-нана
227,Vater::N,ата,да
228,Mutter::N,ана,нана
229,Sohn::N,ул,кӏант
230,Tochter::N,кыз,йоӏ
231,Bruder::N,кардәш,ваша
232,Schwester::N,апа,йиша
233,Schwester::N,сеңел,йиша
234,Onkel::N,дәдә,деваша
235,Onkel::N,дәдәй,деваша
236,Tante::N,түти,дейиша
237,Tante::N,тәтәй,дейиша
238,Ehemann::N,ир,майра
239,Ehefrau::N,хатын,зуда
240,Freude::N,сөенеч,самукъа
241,Freude::N,сөенеч,хазахетар
242,Gelächter::N,көлү,белам
243,Gelächter::N,көлеш,белам
244,Glück::N,бәхет,ирс
245,Kummer::N,хәсрәт,бала
246,Wunsch::N,теләк,лаам
247,Lust::N,теләк,лаам
248,Lust::N,теләү,лаам
249,Geist::N,рух,са
250,Gedanke::N,уй,ойла
251,Gedanke::N,фикер,ойла
252,Gedächtnis::N,хәтер,диццадалар
253,Verstand::N,акыл,хьекъал
254,Sinn::N,мәгънә,маьӏна
255,Grund::N,сәбәп,бахьана
256,Wahrheit::N,хак,бакъдерг
257,Gespräch::N,әңгәмә,къамел
258,Märchen::N,әкият,туьйра
259,Erzählung::N,хикәя,дийцар
260,Nachricht::N,хәбәр,хаам
261,Neuigkeit::N,яңалык,керланиг
262,Name::N,исем,цӏе
263,Rätsel::N,табышмак,хӏетал-метал
264,Rede::N,нотык,къамел
265,Sprache::N,тел,мотт
266,Stimme::N,тавыш,aз
267,Wort::N,сүз,дош
268,Zeichen::N,ишарә,билгало
269,Ruf::N,дәшү,кхайкхар
270,Lärm::N,шау,гӏовгӏа
271,Laut::N,аваз,аз
272,Ton::N,шалтырату,aз
273,Lied::N,җыр,илли
274,Ruhe::N,тынлык,тийналла
275,Leute::N,халык,нах
276,Volk::N,халык,халкъ
277,Arbeit::N,эш,болх
278,Arbeit::N,хезмәт,болх
279,Gast::N,кунак,хьаша
280,Geschenk::N,бүләк,совгӏат
281,Spiel::N,уен,ловзар
282,Gesellschaft::N,җәмгыять,юкъаралла
283,Hilfe::N,ярдәм,гӏо
284,Hilfe::N,булышлык,гӏо
285,Freund::N,дус,доттагl
286,Kamerad::N,иптәш,накъост
287,Angelegenheit::N,эш,гӏуллакх
288,Anzahl::N,микъдар,терахь
289,Art::N,төр,
290,Stück::N,кисәк,юьхк
291,Teil::N,өлеш,дакъа
292,Hälfte::N,ярым,ах
293,Kreis::N,түгәрәк,го
294,Kreuz::N,хач,жӏара
295,Kreuz::N,тәре,жӏара
296,Linie::N,сызык,сиз
297,Strich::N,сызык,сиз
298,Abstand::N,ара,юкъ
299,Entfernung::N,ераклык,
300,Gegend::N,урын,мeттиг
301,Platz::N,бушлык,майда
302,Ort::N,урын,меттиг
303,Seite::N,як,aгӏo
304,Mitte::N,урта,юкъ
305,Gegenstand::N,нәрсә,хӏума
306,Sache::N,нәрсә,хӏума
307,Rand::N,чит,йист
308,Kante::N,кырый,йист
309,Ecke::N,почмак,са
310,Spitze::N,оч,ралла
311,Ende::N,азак,юьхьиг
312,Loch::N,тишек,ӏуьрг
313,Winkel::N,почмак,са
314,Muster::N,парча,дагар
315,Muster::N,парча,тӏамар
316,Größe::N,зурлык,барам
317,Länge::N,озынлык,йохалла
318,Höhe::N,биеклек,локхалла
319,Gewicht::N,авырлык,йозалла
320,Menge::N,микъдар,дукхалла
321,Haufen::N,өем,сал
322,Haufen::N,өем,оьла
323,Reihe::N,рәт,рагӏ
324,Reihe::N,рәт,могӏа
325,Boot::N,каек,кема
326,Boot::N,көймә,кема
327,Ruder::N,ишкәк,пийсиг
328,Schlitten::N,чана,салаз
329,Ski::N,чаңгы,когсалаз
330,Lagerfeuer::N,костёр,цӏе
331,Last::N,йөк,дукъ
332,Gang::N,йөреш,лелар
333,Schritt::N,адым,гӏулч
334,Norden::N,төньяк,къилбаседе
335,Süden::N,көньяк,къилбе
336,Westen::N,көнбатыш,малхбузе
337,Osten::N,шәрык,малхбале
338,Osten::N,көнчыгыш,малхбале
339,Holz::N,агач,дечиг
340,Brett::N,такта,у
341,Platte::N,плитә,у
342,Stütze::N,таяу,гӏopтоp
343,Stange::N,колга,гӏуркх
344,Stock::N,таяк,ӏаса
345,Stab::N,таяк,гӏаж
346,Rohr::N,торба,биргӏа
347,Haus::N,өй,цӏа
348,Haus::N,йорт,цӏа
349,Heim::N,гаилә,кхерч
350,Heim::N,нәсел,кхерч
351,Ofen::N,мич,кхерч
352,Fußboden::N,идән,цӏенкъа
353,Tisch::N,өстәл,шун
354,Stuhl::N,утыргыч,гӏант
355,Wiege::N,бишек,ага
356,Bett::N,ятак,маьнга
357,Bett::N,урын-җир,маьнга
358,Regal::N,киштә,терхи
359,Regal::N,шүрлек,терхи
360,Kiste::N,әрҗә,яьшка
361,Fenster::N,тәрәзә,кор
362,Tür::N,ишек,неӏ
363,Tor::N,капка,ков
364,Zaun::N,койма,керт
365,Dach::N,түбә,тхов
366,Leiter::N,баскыч,лами
367,Besen::N,себерке,нуй
368,Spaten::N,көрәк,бел
369,Schaufel::N,көрәк,аьшкал
370,Gabel::N,чәннечке,мӏара
371,Löffel::N,кашык,ӏайг
372,Messer::N,пычак,урс
373,Nagel::N,кадак,хьостам
374,Netz::N,челтәр,бой
375,Haken::N,ыргак,мӏара
376,Griff::N,тотка,
377,Schloss::N,йозак,чӏега
378,Bild::N,рәсем,сурт
379,Bild::N,картина,сурт
380,Figur::N,сын,
381,Figur::N,фигура,
382,Puppe::N,курчак,тайниг
383,Beutel::N,луза,гали
384,Bündel::N,бәйләм,кочар
385,Tasche::N,букча,тӏоьрмиг
386,Eimer::N,чиләк,чийлик
387,Deckel::N,капкач,негӏар
388,Geschirr::N,савыт-саба,пхьегӏа
389,Geschirr::N,кашык-аяк,пхьегӏа
390,Sack::N,капчык,гали
391,Tasse::N,чынаяк,кад
392,Topf::N,чүлмәк,яй
393,Kessel::N,казан,яй
394,Essen::N,ашау,юург
395,Nahrung::N,азык,кхача
396,Nahrung::N,тәгам,кхача
397,Nahrung::N,ашамлык,кхача
398,Speise::N,ризык,юург
399,Fleisch::N,ит,жижиг
400,Getreide::N,ашлык,буьртиг
401,Brei::N,ботка,xудар
402,Brot::N,ипи,бепиг
403,Brot::N,ипи,кхаллар
404,Brot::N,икмәк,бепиг
405,Brot::N,икмәк,кхаллар
406,Scheibe::N,телем,цастар
407,Fett::N,май,мохь
408,Butter::N,май,налха
409,Öl::N,май,даьтта
410,Salz::N,тоз,туьха
411,Suppe::N,шулпа,чорпа
412,Honig::N,бал,моз
413,Milch::N,сөт,шура
414,Tee::N,чәй,чай
415,Leder::N,күн,цӏока
416,Wolle::N,йон,тӏapгӏa
417,Stoff::N,тукыма,кӏади
418,Nadel::N,энә,маха
419,Faden::N,җеп,тай
420,Knopf::N,төймә,нуьйда
421,Knoten::N,төен,шад
422,Farbe::N,буяу,сир
423,Farbe::N,буяу,басар
424,Kleidung::N,кием,бедар
425,Hemd::N,күлмәк,коч
426,Kragen::N,яка,кач
427,Ärmel::N,җиң,пхьош
428,Hose::N,чалбар,хеча
429,Gürtel::N,билбау,доьхка
430,Mütze::N,бүрек,куй
431,Schuh::N,башмак,мача
432,Stiefel::N,итек,этка
433,Ring::N,балдак,чӏуг
434,Band::N,тасма,лента
435,Kamm::N,тарак,ехк
436,Spiegel::N,көзге,куьзга
437,Riemen::N,каеш,доьхка
438,Schnur::N,бау,муш
439,Leine::N,тезген,кочатосу доьхка
440,Decke::N,юрган,юргӏа
441,Kissen::N,мендәр,гIайба
442,Tuch::N,яулык,исхар
443,Handtuch::N,сөлгә,гата
444,Kraft::N,егәр,гӏора
445,Kraft::N,дәрман,гӏора
446,Stärke::N,көч,гӏап
447,Stärke::N,дәрман,гӏап
448,Gesundheit::N,саулык,могашалла
449,Krankheit::N,чир,цамгар
450,Krankheit::N,хаста,цамгар
451,Krankheit::N,сырхау,цамгар
452,Schmerz::N,авырту,лазар
453,Wunde::N,яра,чов
454,Wunde::N,җәрәхәт,чов
455,Fieber::N,бизгәк,xорша
456,Arznei::N,дару,молха
457,Brücke::N,күпер,тӏай
458,Brunnen::N,кое,гӏу
459,Weide::N,утлавык,дак
460,Pfad::N,сукмак,тача
461,Weg::N,юл,некъ
462,Straße::N,урам,урам
463,Dorf::N,авыл,юрт
464,Stadt::N,шәһәр,гӏала
465,Brief::N,хат,кехат
466,Buch::N,китап,жайна
467,Buchstabe::N,хәреф,элп
468,Zeitung::N,газет,газет
469,Zeitung::N,газета,газет
470,Leben::N,гомер,дахар
471,Leben::N,тормыш,дахар
472,Leben::N,тереклек,дахар
473,Tod::N,үлем,далар
474,Tod::N,үлем,ӏожалла
475,Grab::N,гүр,каш
476,Grab::N,кабер,каш
477,Kirche::N,чиркәү,килс
478,Sünde::N,язык,къа
479,Sünde::N,гөнаһ,къа
480,Gott::N,алла,дела
481,Gott::N,ходай,дела
482,Arbeiter::N,эшче,белхало
483,Chef::N,башлык,хьаькам
484,Meister::N,оста,говзанча
485,Arzt::N,врач,лор
486,Arzt::N,табиб,лор
487,Lehrer::N,укытучы,хьехархо
488,Lehrer::N,мөгаллим,хьехархо
489,Geld::N,акча,aхча
490,Geschäft::N,эш,туька
491,Laden::N,кибет,туька
492,Laden::N,магазин,туька
493,Preis::N,бәя,мах
494,Preis::N,бәһа,мах
495,Ware::N,товар,хlума
496,Nutzen::N,файда,пайда
497,Reichtum::N,байлык,хьал
498,Welt::N,дөнья,дуьне
499,Land::N,ил,мохк
500,Staat::N,дәүләт,пачхьалкх
501,König::N,патша,паччахь
502,Macht::N,хакимият,ӏедал
503,Grenze::N,чик,доза
504,Krieg::N,сугыш,тӏом
505,Feind::N,дошман,мостагӏ
506,Gewalt::N,көчләү,гӏело
507,Kampf::N,көрәш,къийсам
508,Bogen[Waffe]::N,җәя,
509,Pfeil::N,ук,пха
510,Gewehr::N,мылтык,топ
511,Fehler::N,хата,гӏалат
512,Lüge::N,ялган,аьшпаш
513,Schaden::N,зыян,зен
514,Schaden::N,зарар,зен
515,Unglück::N,бәла,бала
516,Schuld::N,гаеп,бехк
517,Alter::N,яшь,хан
518,Schluss::N,ахыр,чакхе
519,Zeit::N,заман,хан
520,Tag::N,көн,де
521,Morgen::N,иртә,ӏуьйре
522,Mittag::N,өйлә,делкъе
523,Abend::N,кич,суьйре
524,Nacht::N,төн,буьйса
525,Woche::N,атна,кӏира
526,Monat::N,ай,бутт
527,Jahr::N,ел,шо
528,Frühling::N,яз,бӏаьсте
529,Sommer::N,җәй,аьхке
530,Herbst::N,көз,гуьйре
531,Winter::N,кыш,ӏа
532,Januar::N,гыйнвар,январь
533,Februar::N,февраль,февраль
534,März::N,март,март
535,April::N,апрель,апрель
536,Mai::N,май,май
537,Juni::N,июнь,июнь
538,Juli::N,июль,июль
539,August::N,август,август
540,September::N,сентябрь,сентябрь
541,Oktober::N,октябрь,октябрь
542,November::N,ноябрь,ноябрь
543,Dezember::N,декабрь,декабрь
544,Montag::N,дүшәмбе,оршот
545,Dienstag::N,сишәмбе,шинара
546,Mittwoch::N,чәршәмбе,кхаара
547,Donnerstag::N,атнакич,еара
548,Donnerstag::N,пәнҗешәмбе,еара
549,Freitag::N,җомга,пӏераска
550,Samstag::N,шимбә,шот
551,Sonntag::N,якшәмбе,кӏиранде
552,groß::A,зур,доккха
553,klein::A,кечкенә,кегий
554,lang::A,озын,еха
555,kurz::A,кыска,доца
556,breit::A,киң,шуьйра
557,schmal::A,кысык,готта
558,dicht::A,куе,луьста
559,dick[Gegenstand]::A,калын,стомма
560,dünn::A,нечкә,дуткъа
561,fein::A,нәзакәтле,ховха
562,fest::A,нык,чӏогӏа
563,flach::A,яссы,чӏапа
564,flach::A,ялпак,чӏапа
565,glatt::A,шома,шера
566,hart::A,каты,чӏогӏa
567,weich::A,йомшак,кӏеда
568,rund::A,түгәрәк,горга
569,spitz::A,очлы,ира
570,scharf::A,үткен,ира
571,stumpf::A,үтмәс,аьртa
572,schwer::A,салмак,деза
573,schön::A,гүзәл,хаза
574,heiß::A,эссе,довха
575,warm::A,җылы,довха
576,kalt::A,суык,шийла
577,kalt::A,салкын,шийла
578,kühl::A,салкынча,шийла
579,frisch::A,салкынча,керла
580,feucht::A,юеш,тӏуьна
581,nass::A,дымлы,тӏеда
582,trocken::A,коры,eкъа
583,voll::A,тулы,дуьзна
584,leer::A,буш,яьсса
585,offen::A,ачык,диллина
586,geschlossen::A,йомык,дӏакъевлина
587,geschlossen::A,йомык,дӏачӏагӏдина
588,sauber::A,пакь,цӏена
589,sauber::A,чиста,цӏена
590,schmutzig::A,керле,боьха
591,schmutzig::A,пычрак,боьха
592,roh::A,чи,буьйда
593,reif::A,өлгергән,хилла
594,lecker::A,тәмле,чоме
595,süß::A,татлы,мерза
596,bitter::A,ачы,къаьхьа
597,sauer::A,әче,муьста
598,hell::A,якты,сирла
599,dunkel::A,кара,бодане
600,schwarz::A,кара,ӏаьржа
601,weiß::A,ак,кӏайн
602,rot::A,кызыл,цӏен
603,gelb::A,сары,можа
604,blau::A,күк,сийна
605,grün::A,яшел,баьццара
606,grau::A,соры,cира
607,grau::A,соры,мокха
608,bunt::A,чуар,къорза
609,billig::A,арзан,дораха
610,teuer::A,хаклы,деза
611,wertvoll::A,кыйммәтле,мехала
612,blind::A,сукыр,бӏаьрзе
613,blind::A,күзсез,бӏаьрзе
614,taub::A,чукрак,къора
615,taub::A,саңгырау,къора
616,kräftig::A,егәрле,нуьцкъала
617,stark::A,нык,зоьртала
618,stark::A,нык,нуьцкъала
619,stark::A,базык,зоьртала
620,stark::A,базык,нуьцкъала
621,schwach::A,зәгыйфь,гӏорасиза
622,fett::A,симез,дерстана
623,schlank::A,нәзек,куц долу
624,hübsch::A,чибәр,хаза
625,böse::A,усал,вон
626,dumm::A,акылсыз,сонта
627,faul::A,ялкау,мало ен
628,faul::A,иренчәк,мало ен
629,fleißig::A,тырыш,тӏера
630,fleißig::A,тырышучан,тӏера
631,geizig::A,саран,пис
632,geizig::A,саран,сутара
633,klug::A,акыллы,хьекъале
634,geschickt::A,маһир,тӏахъаьлла
635,lieb::A,сөекле,хьоме
636,lustig::A,күңелле,самукъане
637,sanft::A,басынкы,кlеда
638,hungrig::A,ач,меца
639,krank::A,чирле,цомгуш долу
640,krank::A,сырхау,цомгуш долу
641,nackt::A,шәрә,дерзана
642,traurig::A,ямансу,самукъане воцу
643,lebendig::A,тере,дийна
644,gut::A,яхшы,дика
645,schlecht::A,начар,вон
646,richtig::A,дөрес,нийса
647,schlimm::A,әшәкә,вон
648,wahr::A,чып-чын,бакъдолу
649,alt::A,иске,къена
650,neu::A,яңа,керла
651,ehemalig::A,элекке,хилла
652,alt[Lebewesen]::A,карт,къена
653,jung::A,яшь,къона
654,arm::A,фәкыйрь,къен
655,reich::A,бай,хьоле
656,bekannt::A,таныш,девзаш долу
657,berühmt::A,атаклы,цӏеяхана
658,fremd::A,ят,нехан
659,verschieden::A,төрле,тайп-тайпанара
660,nah::A,якын,гергара
661,fern::A,ерак,гена
662,fern::A,ерак,генара
663,linker::A,сул,аьрру
664,rechter::A,уң,аьтту
665,anderer::A,бүтән,кхин
666,erster::A,беренче,хьалхара
667,zweiter::A,икенче,шолгIа
668,dritter::A,өченче,кхоалгӏа
669,letzter::A,ахыргы,тӏаьххьара
670,allein::ADV,ялгыз,цхьаъ
671,auf einmal::ADV,бердән,цу сохьтта
672,zusammen::ADV,бергә,цхьана
673,lange::ADV,озак,дукха
674,plötzlich::ADV,искәрмәстән,цIеххьана
675,sofort::ADV,хәзер,цу сохьтта
676,später::ADV,соңрак,тӏаьхьо
677,jetzt::ADV,хәзер,хӏинца
678,heute::ADV,бүген,тахана
679,morgen::ADV,иртәгә,кхана
680,bald::ADV,тиздән,кеста
681,dann::ADV,аннары,тӏаккха
682,gestern::ADV,кичә,селхана
683,einst::ADV,берчак,цкъа
684,damals::ADV,ул вакытта,хӏетахьь
685,damals::ADV,ул чакта,хӏетахьь
686,danach::ADV,да,тӏаккха
687,vorher::ADV,элек,хьалхa
688,zuerst::ADV,башта,хьалха
689,einmal::ADV,бер,цкъа
690,einmal::ADV,бер мәртәбә,цкъа
691,manchmal::ADV,кайчакта,цкъаццкъа
692,oft::ADV,еш,кест-кеста
693,immer::ADV,һәркайчан,даим
694,niemals::ADV,hичбер вакыт,цкъа а
695,hier::ADV,монда,кхузахь
696,hier::ADV,биредә,кхузахь
697,hierhin::ADV,монда,кхуза
698,von hier::ADV,моннан,кхузара
699,dort::ADV,анда,цигахь
700,dorthin::ADV,тегеләй,цига
701,geradeaus::ADV,турыдан-туры,нийса дӏа
702,vorwärts::ADV,алга,хьалха
703,rückwärts::ADV,кире,юха
704,zurück::ADV,кире,юха
705,unten::ADV,түбәндә,лахахь
706,hinab::ADV,аска,охьа
707,oben::ADV,өстә,лакхахь
708,oben::ADV,югарыда,лакхахь
709,hinauf::ADV,өскә,хьала
710,überall::ADV,hәркайда,массанхьа
711,nicht::ADV,түгел,ца
712,ein wenig::ADV,бераз,кӏеззиг
713,kaum::ADV,көчкә,халла
714,sehr::ADV,бик,вуно
715,so::ADV,алай,
716,noch::ADV,янә,кхин
717,noch::ADV,тагын,кхин
718,nur::ADV,фәкать,бен ...ца
719,schon::ADV,инде,хӏинцале
720,wieder::ADV,янә,юха а
721,wieder::ADV,тагын,юха а
722,vergebens::ADV,юкка,эрна
723,vor::PRP,алдыннан,хьалха
724,hinter::PRP,арттан,тӏехьа
725,unter::PRP,астында,кIелахь
726,durch::PRP,аша,чекх
727,neben::PRP,тирәсендә,юххе
728,zwischen::PRP,арасында,юккъехь
729,wegen::PRP,сәбәпле,дуьхьа
730,dies::PRN,бу,и
731,dies::PRN,бу,иза
732,das::PRN,ул,и
733,das::PRN,ул,иза
734,alles::PRN,һәммә,дерриг
735,ich::PRN,мин,cо
736,du::PRN,син,хьо
737,er::PRN,ул,и
738,er::PRN,ул,иза
739,wir::PRN,без,тхо
740,wir::PRN,без,вай
741,ihr::PRN,сез,шу
742,sie::PRN,ул,уьш
743,was::FPRN,ни,хӏун
744,was::FPRN,нәрсә,хӏун
745,wer::FPRN,кем,мила
746,wo::FADV,кайда,мичaхь
747,wohin::FADV,кая,мича
748,wie::FADV,ничек,муха
749,warum::FADV,нигә,хӏунда
750,wieviel::FNUM,ничә,мел
751,wieviel::FNUM,ничә,маса
752,eins::NUM,бер,цхьаъ
753,zwei::NUM,ике,шиъ
754,drei::NUM,өч,кхоъ
755,vier::NUM,дүрт,диъ
756,fünf::NUM,биш,пхиъ
757,sechs::NUM,алты,ялх
758,sieben::NUM,җиде,ворхӏ
759,acht::NUM,сигез,бархӏ
760,neun::NUM,тугыз,исс
761,zehn::NUM,ун,итт
762,elf::NUM,унбер,цхьайтта
763,zwölf::NUM,унике,шийтта
764,zwanzig::NUM,егерме,ткъа
765,dreißig::NUM,утыз,ткъе итт
766,vierzig::NUM,кырык,шовзткъа
767,fünfzig::NUM,илле,шовзткъе итт
768,sechzig::NUM,алтмыш,кхузткъа
769,siebzig::NUM,җитмеш,кхузткъе итт
770,achtzig::NUM,сиксән,дезткъа
771,neunzig::NUM,туксан,дезткъе итт
772,hundert::NUM,йөз,бӏе
773,tausend::NUM,мең,эзар
774,und::CNJ,вә,a
775,oder::CNJ,яки,я
776,oder::CNJ,яисә,я
777,stehen::V,тору,латта
778,sitzen::V,утыру,хиъна ӏан
779,liegen::V,яту,ӏилла
780,hängen::V,эленү,кхаза
781,werden::V,булу,хила
782,passieren::V,булу,хила
783,beginnen::V,башлану,доло
784,enden::V,бетү,дӏадерза
785,wechseln::V,үзгәртү,хийца
786,aufgehen[Sonne]::V,чыгу,кхета
787,untergehen[Sonne]::V,бату,чубуза
788,scheinen[Sonne]::V,яктырту,серло яла
789,donnern::V,күкрәү,къекъа
790,wehen::V,исү,хьекха
