,Concept_ID,kv,ba
89,Schaum::N,быг,күбек
90,Schmutz::N,нять,батҡаҡ
91,See::N,ты,күл
92,Sumpf::N,арай,һаҙлык
93,Moor::N,нюр,һаҙ
94,Wiese::N,видз,болон
95,Wald::N,вӧр,урман
96,Hügel::N,мыльк,түбә
97,Anhöhe::N,вывтас,түбә
98,Anhöhe::N,вывтас,ҡалҡыулыҡ
99,Anhöhe::N,вылынін,түбә
100,Anhöhe::N,вылынін,ҡалҡыулыҡ
101,Berg::N,керӧс,тау
102,Gipfel::N,йыв,түбә
103,Höhle::N,нора,мәмерйә
104,Abhang::N,покат,ипкен
105,Quelle::N,больган,шишмә
106,Bach::N,шор,шишмә
107,Fluss::N,ю,йылға
108,Ufer::N,берег,яр
109,Küste::N,берег,яр буйы
110,Festland::N,му,ҡоро ер
111,Meer::N,море,диңгез
112,Bucht::N,курья,бухта
113,Blume::N,цветок,сәскә
114,Gras::N,турун,үлән
115,Wurzel::N,вуж,тамыр
116,Baum::N,пу,ағас
117,Stamm::N,мыр,олон
118,Stamm::N,мыр,көбәк
119,Stamm::N,кер,олон
120,Stamm::N,кер,көбәк
121,Rinde::N,кач,ҡабыҡ
122,Ast::N,ув,ботаҡ
123,Zweig::N,ув,ботаҡ
124,Zweig::N,ув,тармаҡ
125,Blatt::N,лист,япраҡ
126,Birke::N,кыдз,ҡайын
127,Kiefer[Baum]::N,пожум,ҡарғай
128,Weide[Baum]::N,бадь,тал
129,Tanne::N,кӧз,шыршы
130,Horn::N,сюр,мөғөҙ
131,Feder::N,гӧн,ҡауырһын
132,Fell::N,кучик,тире
133,Flügel::N,борд,ҡанат
134,Klaue::N,гыж,тырнаҡ
135,Kralle::N,кабыр,аяҡ
136,Schwanz::N,бӧж,ҡойроҡ
137,Ei::N,кольть,йомортҡа
138,Nest::N,поз,оя
139,Bau::N,осьта,оң
140,Bau::N,нора,оң
141,Tier::N,зверь,жайуан
142,Tier::N,зверь,йыртҡыс
143,Herde::N,гурт,көтөү
144,Kuh::N,мӧс,һыйыр
145,Bulle::N,ӧшка,үгеҙ
146,Pferd::N,вӧв,ат
147,Schaf::N,баля,һарыҡ
148,Schwein::N,порсь,сусҡа
149,Hund::N,пон,эт
150,Katze::N,кань,бесәй
151,Bär::N,ош,айыу
152,Eichhörnchen::N,ур,тейен
153,Elch::N,вӧр мӧс,мышы
154,Fuchs::N,руч,төлкө
155,Hase::N,кӧч,ҡуян
156,Maus::N,шыр,сысҡан
157,Wolf::N,кӧин,бүре
158,Vogel::N,кай,ҡош
159,Schwarm::N,стая,көтөү
160,Schwarm::N,чукӧр,көтөү
161,Huhn::N,курӧг,тауыҡ
162,Hahn::N,петух,әтәс
163,Hahn::N,ай курӧг,әтәс
164,Gans::N,дзодзог,ҡаҙ
165,Adler::N,куч,бөркөт
166,Adler::N,кутш,бөркөт
167,Ente::N,утка,өйрәк
168,Eule::N,тупка,өкө
169,Eule::N,тупка,ябалаҡ
170,Kranich::N,тури,торна
171,Krähe::N,рака,ҡарға
172,Kuckuck::N,кӧк,кәкүк
173,Schwan::N,юсь,аҡҡош
174,Fisch::N,чери,балыҡ
175,Barsch::N,ёкыш,алабуға
176,Hecht::N,сирпинь,суртан
177,Schlange[Tier]::N,змей,йылан
178,Wurm::N,номыр,селяүсен
179,Spinne::N,черань,үрмәксе
180,Ameise::N,кӧдзывкар,ҡырмыҫҡа
181,Laus::N,ляпа той,бет
182,Mücke::N,ном,серәкәй
183,Fliege::N,гут,себен
184,Schmetterling::N,бабыв,күбәләк
185,Beere::N,ягӧд,еләк
186,Apfel::N,яблоко,алма
187,Pilz::N,тшак,бәшмәк
188,Zwiebel::N,грез,һуган
189,Saat::N,кӧдзыс,орлоҡ
190,Korn::N,сю,иген
191,Heu::N,турун,бесән
192,Schale::N,кыш,ҡабыҡ
193,Schale::N,киль,ҡабыҡ
194,Grube::N,яма,соҡор
195,Falle::N,нальк,тоҙак
196,Falle::N,нальк,ҡапҡан
197,Falle::N,кляпча,тоҙак
198,Falle::N,кляпча,ҡапҡан
199,Schlinge::N,лӧч,тоҙак
200,Spur::N,туй,әҫер
201,Asche::N,пӧим,көл
202,Dreck::N,нять,батҡаҡ
203,Eisen::N,кӧрт,тимер
204,Gold::N,зарни,алтын
205,Silber::N,язісь,көмөш
206,Kohle::N,шом,күмер
207,Kohle::N,уголь,күмер
208,Glas::N,стекло,быяла
209,Lehm::N,сёй,балсыҡ
210,Sand::N,лыа,ҡом
211,Mensch::N,морт,кеше
212,Mann::N,мужик,ир
213,Frau::N,инька,ҡатын
214,Kind::N,кага,бала
215,Junge::N,зонка,малай
216,Mädchen::N,нывкаок,ҡыҙ
217,Mädchen::N,нывкаок,ҡыҙыҡай
218,Familie::N,семья,ғаилә
219,Großvater::N,дед,олатай
220,Großmutter::N,баб,әбәй
221,Eltern::N,ай-мам,ата-әсә
222,Vater::N,ай,атай
223,Mutter::N,мам,әсә
224,Sohn::N,зон,ул
225,Tochter::N,ныв,ҡыҙ
226,Bruder::N,вон,агай
227,Schwester::N,сой,алай
228,Schwester::N,сой,һеңле
229,Onkel::N,дядь,ағай
230,Tante::N,айӧлӧн сой,апай
231,Tante::N,ичинь,апай
232,Ehemann::N,жӧник,ир
233,Ehefrau::N,инь,ҡатын
234,Freude::N,гаж,шатлыҡ
235,Freude::N,гаж,ҡыуаныс
236,Freude::N,радъялӧм,шатлыҡ
237,Freude::N,радъялӧм,ҡыуаныс
238,Gelächter::N,сералӧм,көлөү
239,Glück::N,мичлун,бәхет
240,Kummer::N,шог,ҡайғы
241,Wunsch::N,мӧдӧм,теләк
242,Wunsch::N,охотитӧм,теләк
243,Lust::N,охота,әүәҫлек
244,Geist::N,лов,аң
245,Geist::N,лов,рух
246,Gedanke::N,дума,уй
247,Gedanke::N,дума,фекер
248,Gedächtnis::N,тӧдвыв,хәтер
249,Verstand::N,вежӧр,аҡыл
250,Sinn::N,ылӧс,мәғәня
251,Grund::N,мог,сәбәп
252,Wahrheit::N,правда,дөрөҫлөк
253,Gespräch::N,сёрни,әңгәмә
254,Märchen::N,сказка,әкиәт
255,Erzählung::N,висьт,хикәйә
256,Nachricht::N,юӧр,хәбәр
257,Nachricht::N,висьталӧм,хәбәр
258,Neuigkeit::N,новость,яңылыҡ
259,Name::N,ним,исем
260,Rätsel::N,загадка,йомаҡ
261,Rede::N,сёрни,телмәр
262,Sprache::N,кыв,тел
263,Sprache::N,кыв,телмәр
264,Stimme::N,голос,тауыш
265,Wort::N,кыв,һүҙ
266,Zeichen::N,пас,билдә
267,Ruf::N,чуксӧм,саҡырыу
268,Ruf::N,чукӧстӧм,саҡырыу
269,Lärm::N,шум,шаулау
270,Laut::N,шы,тауыш
271,Ton::N,гор,яңғырау
272,Lied::N,сьыланкыв,йыр
273,Ruhe::N,спокой,ял
274,Ruhe::N,спокой,тыныслыҡ
275,Leute::N,йӧз,кешеләр
276,Volk::N,йӧз,халҡ
277,Volk::N,народ,халҡ
278,Arbeit::N,удж,эш
279,Gast::N,гӧсь,ҡунаҡ
280,Geschenk::N,гӧснеч,бүләк
281,Geschenk::N,подарок,бүләк
282,Spiel::N,орсӧм,уйын
283,Gesellschaft::N,компания,йәмғиәт
284,Hilfe::N,отсӧт,ярҙам
285,Freund::N,модз,дуҫ
286,Freund::N,дружок,дуҫ
287,Kamerad::N,тӧдса,иптәш
288,Angelegenheit::N,дело,әш
289,Anzahl::N,лыд,һан
290,Art::N,пӧлӧс,төр
291,Stück::N,тор,киҫәк
292,Teil::N,юкӧм,өлөш
293,Hälfte::N,джын,ярты
294,Kreis::N,круг,түңәрәк
295,Kreuz::N,перна,тәре
296,Linie::N,визь,һыҙыҡ
297,Strich::N,кырӧв,һыҙат
298,Abstand::N,колас,ара
299,Entfernung::N,ылына,алыҫлыҡ
300,Gegend::N,места,урын
301,Platz::N,места,арауыҡ
302,Ort::N,места,ерҙәр
303,Ort::N,места,урындар
304,Ort::N,места,эш урыны
305,Seite::N,ладор,яҡ
306,Mitte::N,шӧр,урталыҡ
307,Gegenstand::N,тор,нәмә
308,Sache::N,тор,нәмә
309,Sache::N,тор,әйбер
310,Rand::N,дор,сит
311,Kante::N,ордлы,ҡабырға
312,Kante::N,ордлы,ян
313,Ecke::N,пельӧс,мөйөш
314,Spitze::N,йыв,ос
315,Ende::N,йыв,аҙаҡ
316,Loch::N,осьта,тишек
317,Winkel::N,пельӧс,мөйөш
318,Muster::N,сер,биҙәк
319,Größe::N,ыжда,ҙурлыҡ
320,Länge::N,кузя,оҙонлоҡ
321,Höhe::N,сувда,бейеклек
322,Höhe::N,вылына,бейеклек
323,Gewicht::N,сьӧкта,үлсәү
324,Haufen::N,куча,өйөм
325,Reihe::N,лёдз,рәт
326,Boot::N,пыж,кәмә
327,Ruder::N,пелыс,ишкәк
328,Schlitten::N,додь,сана
329,Ski::N,лямпа,саңгы
330,Lagerfeuer::N,бипур,костер
331,Last::N,тягота,ауырлыҡ
332,Gang::N,мунӧм,барыу
333,Schritt::N,вожмӧв,аҙым
334,Norden::N,ой,төньяҡ
335,Süden::N,лун,көньяҡ
336,Westen::N,рытвыв,көнбайыш
337,Osten::N,асыв,көнсығыш
338,Holz::N,пу,үағас
339,Brett::N,пӧв,таҡта
340,Platte::N,плита,плита
341,Stütze::N,пика,терәк
342,Stange::N,зор,кәртә
343,Stange::N,потш,кәртә
344,Stock::N,бедь,таяҡ
345,Stab::N,шест,ҡолға
346,Rohr::N,труба,торба
347,Haus::N,керку,өй
348,Haus::N,керку,йорт
349,Heim::N,керку,өй
350,Ofen::N,пӧжавны,мейес
351,Fußboden::N,джодж,енес
352,Tisch::N,пызан,өҫтәл
353,Stuhl::N,стул,ултырғыс
354,Wiege::N,зыбка,бишек
355,Bett::N,кровать,карауат
356,Regal::N,джадж,кәштә
357,Kiste::N,ящик,йәшинк
358,Fenster::N,ӧшын,тәҙрә
359,Tür::N,ыбӧс,ишек
360,Tor::N,ворота,ҡапҡа
361,Zaun::N,забор,ҡойма
362,Dach::N,крыша,түбә
363,Dach::N,крыша,ҡыйыҡ
364,Leiter::N,лиснич,баҫҡыс
365,Besen::N,рос,һепертке
366,Spaten::N,зыр,көрәк
367,Schaufel::N,зыр,көрәк
368,Gabel::N,вила,сәнске
369,Löffel::N,пань,ҡалаҡ
370,Messer::N,пурт,бысаҡ
371,Nagel::N,кӧрттув,сөй
372,Netz::N,кыйӧт,ау
373,Haken::N,ем,ыргаҡ
374,Griff::N,пу,тотҡа
375,Schloss::N,замок,йоҙаҡ
376,Bild::N,картина,картина
377,Figur::N,мыгӧр,һын
378,Puppe::N,акань,ҡурсаҡ
379,Beutel::N,мешӧк,тоҡ
380,Bündel::N,нин,төргәк
381,Tasche::N,сумка,сумка
382,Eimer::N,ведра,биҙрә
383,Deckel::N,вевт,ҡапҡас
384,Geschirr::N,доз,һауыт-һаба
385,Geschirr::N,бекӧрпань,һауыт-һаба
386,Sack::N,мешӧк,тоҡ
387,Tasse::N,бекӧр,сынаяҡ
388,Topf::N,кастрюля,кәстрүл
389,Kessel::N,пӧрт,ҡаҙан
390,Essen::N,сёйӧм,ашау
391,Nahrung::N,вердан,аҙыҡ
392,Speise::N,сёян,аш
393,Fleisch::N,яй,ит
394,Getreide::N,сю,иген
395,Getreide::N,сю,ашлыҡ
396,Brei::N,каша,бутҡа
397,Brot::N,нянь,икмәк
398,Scheibe::N,шӧрӧм,телем
399,Fett::N,гос,май
400,Butter::N,ви,май
401,Öl::N,ви,май буяуы
402,Salz::N,сов,тоҙ
403,Suppe::N,шыд,һурпа
404,Honig::N,ма,бал
405,Milch::N,йӧв,һөт
406,Tee::N,чай,сәй
407,Leder::N,кучик,күн
408,Wolle::N,гӧн,йөн
409,Stoff::N,дӧра,туҡыма
410,Nadel::N,ем,энә
411,Faden::N,сунис,еп
412,Knopf::N,кизь,төймә
413,Knoten::N,узӧв,төйөн
414,Knoten::N,гӧрӧд,төйөн
415,Farbe::N,краска,буяу
416,Kleidung::N,паськӧм,кейем
417,Hemd::N,йӧрнӧс,күлдәк
418,Kragen::N,воротник,яға
419,Ärmel::N,сос,ең
420,Hose::N,вешьян,салбар
421,Gürtel::N,йи,ҡайыш
422,Mütze::N,шапка,бүрк
423,Schuh::N,ботинки,туфли
424,Stiefel::N,сапог,итек
425,Ring::N,чунькытш,йөҙөк
426,Ring::N,чунькытш,балдаҡ
427,Band::N,ленточка,таҫма
428,Kamm::N,сынан,тараҡ
429,Spiegel::N,зеркало,көзгө
430,Riemen::N,ремень,ҡайыш
431,Schnur::N,гез,бау
432,Leine::N,повод,бау
433,Decke::N,одеяло,одеяд
434,Kissen::N,подушка,мендәр
435,Tuch::N,чышьян,яулыҡ
436,Handtuch::N,чышкӧт,таҫтамал
437,Kraft::N,прак,көс
438,Stärke::N,вын,көс
439,Gesundheit::N,здоровье,һаулыҡ
440,Krankheit::N,шог,сир
441,Krankheit::N,шог,ауырыу
442,Schmerz::N,зубыт,һыҙлау
443,Schmerz::N,зубыт,әрнеү
444,Wunde::N,рана,йәрәхәт
445,Fieber::N,лёк тресся,тапма
446,Fieber::N,лёк тресся,биҙгәк
447,Fieber::N,кынтан шогӧт,тапма
448,Fieber::N,кынтан шогӧт,биҙгәк
449,Arznei::N,лекарство,дарыу
450,Brücke::N,пос,күпер
451,Brunnen::N,колодец ,ҡоҙоҡ
452,Weide::N,пода йирсян,көтөүлек
453,Pfad::N,туй,һуҡмаҡ
454,Weg::N,туй,юл
455,Straße::N,туй,урам
456,Dorf::N,деревня,ауыл
457,Stadt::N,город,ҡала
458,Brief::N,гижӧт,хат
459,Buch::N,книга,китап
460,Buch::N,книга,кенәгә
461,Buchstabe::N,буква,хәреф
462,Zeitung::N,газета,гәзит
463,Leben::N,олан,йәшәү
464,Tod::N,кулӧм,үлем
465,Grab::N,гу,ҡәбер
466,Kirche::N,вичку,сиркәү
467,Sünde::N,грек,гөнаһ
468,Gott::N,ен,алла
469,Gott::N,ен,хоҙай
470,Arbeiter::N,уджалiсь,эшсе
471,Chef::N,начальник,башлыҡ
472,Meister::N,мастер,оҫта
473,Arzt::N,врач,врач
474,Lehrer::N,велӧтісь,уҡытыусы
475,Geld::N,деньга,аҡса
476,Geschäft::N,удж,эш
477,Laden::N,магазин,магазин
478,Preis::N,дон,хаҡ
479,Ware::N,товар,тауар
480,Nutzen::N,путь,файҙа
481,Reichtum::N,богатство,байлыҡ
482,Welt::N,му,донъя
483,Land::N,страна,ил
484,Staat::N,государство,дәүләт
485,König::N,кан,король
486,Macht::N,власть,власть
487,Grenze::N,граница,сик
488,Krieg::N,война,һуғыш
489,Feind::N,враг,йылан
490,Kampf::N,нярасьӧм,көрәш
491,Kampf::N,вермасьӧм,көрәш
492,Bogen[Waffe]::N,лук,йәйә
493,Pfeil::N,ньӧв,уҡ
494,Gewehr::N,ружьё,мылтыҡ
495,Fehler::N,ошибка,хата
496,Lüge::N,ылӧтӧм,ялған
497,Lüge::N,пӧрьялӧм,ялған
498,Schaden::N,лёк,зыян
499,Schaden::N,лёк,зарар
500,Unglück::N,пик,ҡаза
501,Unglück::N,оказзё,ҡаза
502,Schuld::N,вина,ғәйеп
503,Schluss::N,ком,һуң
504,Schluss::N,ком,аҙаҡ
505,Zeit::N,кад,мәл
506,Zeit::N,кад,заман
507,Tag::N,лун,көн
508,Morgen::N,асыв,иртә
509,Morgen::N,асыв,иртәнсәк
510,Mittag::N,луншӧр кад,төш
511,Abend::N,рыт,кис
512,Nacht::N,ой,төн
513,Woche::N,неделя,аҙна
514,Monat::N,тӧлicь,ай
515,Jahr::N,год,йыл
516,Frühling::N,тулыс,яҙ
517,Sommer::N,гожум,йәй
518,Herbst::N,ар,көз
519,Winter::N,тӧв,ҡыш
520,Januar::N,январ,ғинуар
521,Februar::N,февраль,февраль
522,März::N,март,март
523,April::N,апрель,апрель
524,Mai::N,май,май
525,Juni::N,юнь,июнь
526,Juli::N,юль,июль
527,August::N,август,август
528,September::N,сентяб,сентябрь
529,Oktober::N,октяб,октябрь
530,November::N,нояб,ноябрь
531,Dezember::N,декаб,декабрь
532,Montag::N,вильлун,дүшәмбе
533,Dienstag::N,мӧдӧдзлун,шишәмбе
534,Mittwoch::N,шӧрлун,шаршамбы
535,Donnerstag::N,нёльӧдзлун,кесаҙна
536,Freitag::N,витӧдзлун,йома
537,Samstag::N,пывсянлун,шәмбе
538,Sonntag::N,кресення,йәкшәмбе
539,groß::A,ыджыт,ҙур
540,klein::A,учӧтик,бәләкәс
541,lang::A,кузь,оҙон
542,kurz::A,дженыт,ҡыҫҡа
543,breit::A,ота,киң
544,schmal::A,векнит,тар
545,dicht::A,тшӧк,йыш
546,dicht::A,тшӧк,ҡуйы
547,dick[Gegenstand]::A,кыз,ҡалын
548,dünn::A,вӧснит,йоҡа
549,dünn::A,вӧснит,нәҙек
550,fein::A,вӧснит,нескә
551,fest::A,крепыт,ныҡ
552,flach::A,лапкӧса,яҫы
553,flach::A,лапкӧса,ялпаҡ
554,glatt::A,волькыт,шыма
555,hart::A,чӧрыт,ҡаты
556,weich::A,небыт,йомшаҡ
557,rund::A,гӧгрӧса,түңәрәк
558,spitz::A,ёся,осло түбәле
559,scharf::A,лэчыт,үткер
560,stumpf::A,ныж,утмәҫ
561,schwer::A,сьӧкыт,ауыр
562,schön::A,басӧк,матур
563,heiß::A,жар,эҫе
564,warm::A,шоныт,йылы
565,kalt::A,кӧдзыт,һыуыҡ
566,kühl::A,сайкыт,һалҡынса
567,frisch::A,виль,һалҡынса
568,feucht::A,вакодь,еүеш
569,feucht::A,вакодь,дымлы
570,nass::A,ва,еүеш
571,trocken::A,кӧс,кипкән
572,voll::A,тыра,тулы
573,leer::A,тыртӧм,буш
574,offen::A,оссьӧм,асыҡ
575,geschlossen::A,игана,ябыҡ
576,geschlossen::A,пӧдана,ябыҡ
577,sauber::A,сӧдз,таҙа
578,sauber::A,сӧстӧм,таҙа
579,schmutzig::A,нятьӧсь,бысраҡ
580,roh::A,путӧм,сей
581,reif::A,кисьмалӧм,өлгөрғән
582,lecker::A,кӧра ,тәмле
583,süß::A,чӧскыт,тямле
584,süß::A,чӧскыт,тәм-том
585,bitter::A,курыт,әсе
586,sauer::A,шӧма ,әсе
587,hell::A,югыт,яҡты
588,dunkel::A,пемыт,ҡараңғы
589,schwarz::A,сьӧд,ҡара
590,weiß::A,чочком,аҡ
591,rot::A,гӧрд,матур
592,rot::A,гӧрд,һылыу
593,rot::A,гӧрд,сибәр
594,gelb::A,веж,һары
595,blau::A,лӧз,күк
596,grün::A,веж,йәшел
597,grau::A,руд,буҙ
598,grau::A,бусӧй,буҙ
599,bunt::A,быдрӧма,сыбар
600,bunt::A,быдрӧма,ала-ҡола
601,billig::A,донтӧм,арзан
602,teuer::A,дона,ҡыйбатлы
603,wertvoll::A,дона,ҡиммәтле
604,blind::A,синтӧм,һуҡыр
605,taub::A,пельтӧм,һаңғырау
606,kräftig::A,вына,көслө
607,kräftig::A,вына,ҡеүәтле
608,stark::A,вына,көслө
609,stark::A,вына,ҡеүәтле
610,schwach::A,некодя,көсһөҙ
611,fett::A,госа,һимеҙ
612,schlank::A,статя,зифа
613,hübsch::A,басӧк,матур
614,böse::A,лёк,асыулы
615,dumm::A,бӧбӧв,иҫәр
616,dumm::A,вежӧртӧм,иҫәр
617,faul::A,дыш,иренсәк
618,fleißig::A,уджалicь,тырыш
619,geizig::A,жикмӧра,һаран
620,geizig::A,горшаліcь,һаран
621,klug::A,авья,аҡыллы
622,klug::A,вежӧра,аҡыллы
623,geschickt::A,кипода,оҫта
624,lieb::A,муса,яғымлы
625,lieb::A,дзулиньӧй,яғымлы
626,lustig::A,гажа,күңелле
627,sanft::A,лебезнӧй,йыуаш
628,hungrig::A,тшыг,ас
629,krank::A,шогалiсь,сирле
630,krank::A,шогалiсь,ауырыу
631,nackt::A,куш,яланғас
632,traurig::A,жугыль,яманһыу
633,lebendig::A,ловья,тере
634,lebendig::A,ловья,йәнле
635,gut::A,бур,яҡшы
636,schlecht::A,умӧль,хөрт
637,schlecht::A,умӧль,алама
638,schlimm::A,нештӧм,хөрт
639,schlimm::A,нештӧм,алама
640,alt::A,важ,иҫке
641,alt::A,важ,боронғо
642,neu::A,виль,яңы
643,ehemalig::A,вӧвлӧм,элекке
644,alt[Lebewesen]::A,года,ҡарт
645,alt[Lebewesen]::A,годдэза,ҡарт
646,jung::A,том,йәш
647,arm::A,гов,фәҡир
648,arm::A,беднӧй,фәҡир
649,reich::A,эма,бай
650,bekannt::A,тӧдса,таныш
651,fremd::A,чужӧй,ят
652,fremd::A,чужӧй,сит
653,verschieden::A,быдкодь,төрлө
654,nah::A,матiсь,яҡын
655,fern::A,ылicь,алыҫ
656,fern::A,ылicь,йыраҡ
657,linker::A,шульга,һул
658,rechter::A,веськытланись,уң
659,anderer::A,мукӧд,бутән
660,erster::A,медодзза,тәүге
661,zweiter::A,кыкӧт,икенсе
662,dritter::A,куимӧт,өсөнсө
663,dritter::A,куимӧдз,өсөнсө
664,letzter::A,бӧрья,һуңғы
665,letzter::A,мёдбӧрья,һуңғы
666,auf einmal::ADV,тшӧтш,бер юлы
667,zusammen::ADV,ӧтлаын,бергә
668,lange::ADV,дыр,оҙаҡ
669,plötzlich::ADV,друг,ҡапыл
670,sofort::ADV,тшӧтш,шунда уҡ
671,später::ADV,медбӧрын,һуңыраҡ
672,jetzt::ADV,ӧні,хәҙер
673,heute::ADV,талун,бөгөн
674,morgen::ADV,ашын,иртәгә
675,bald::ADV,чожа,тиҙҙән
676,dann::ADV,сыбӧрын,һуңынан
677,gestern::ADV,тӧн,кисә
678,einst::ADV,ӧтпыр,ҡасандыр
679,einst::ADV,ӧтпыр,бер баҡыт
680,damals::ADV,сэк,ул саҡта
681,damals::ADV,сэки,ул саҡта
682,danach::ADV,сэсся,һуңынан
683,vorher::ADV,одзжык,элек
684,zuerst::ADV,наперво,башта
685,einmal::ADV,ӧтпыр,бер
686,manchmal::ADV,мукӧдпыр,ҡайһы берҙә
687,oft::ADV,-лы-,йыш
688,immer::ADV,быдпыр,һәр ҡасан
689,immer::ADV,быдпырся,һәр ҡасан
690,niemals::ADV,некӧр,бер ҡасан да
691,niemals::ADV,некӧр,бер ваҡытта ла
692,hier::ADV,татӧн,бында
693,hierhin::ADV,татчӧ,бында
694,von hier::ADV,тасянь,бынан
695,von hier::ADV,тасянь,ошонан
696,dort::ADV,сэтӧн,шунда
697,dort::ADV,сэтӧн,тегендә
698,dorthin::ADV,сэтчин,шунда
699,dorthin::ADV,сэтчин,тегеләй
700,geradeaus::ADV,веськыта,тура
701,vorwärts::ADV,одзӧ,алға
702,rückwärts::ADV,бӧр,кирегә
703,zurück::ADV,бӧр,кирегә
704,unten::ADV,увтын,түбәндә
705,hinab::ADV,увтас,түбәнгә
706,oben::ADV,вевдӧрас,юғарыла
707,hinauf::ADV,вывлань,юғарыға
708,hinauf::ADV,вывланьӧ,юғарыға
709,überall::ADV,быдлан,бөтә урында
710,nicht::ADV,ог,тугел
711,ein wenig::ADV,-ышт,аҙ
712,ein wenig::ADV,невна,аҙ
713,kaum::ADV,ӧдва,көскә
714,kaum::ADV,ӧдва,саҡ-саҡ
715,sehr::ADV,вывтi,ифат
716,so::ADV,сiдз,шулай
717,noch::ADV,эшӧ,йәнә
718,nur::ADV,только,бары
719,schon::ADV,ни,инде
720,wieder::ADV,бӧра,тағы
721,vergebens::ADV,весись,бушҡа
722,vor::PRP,одзас,алдында
723,hinter::PRP,бӧрӧ,артында
724,unter::PRP,увтын,аҫтында
725,durch::PRP,пыр,үтә
726,neben::PRP,бокам,эргәһендә
727,neben::PRP,боксиным,эргәһендә
728,zwischen::PRP,коласас,араһында
729,wegen::PRP,понда,өсөн
730,wegen::PRP,понда,сәбәпле
731,dies::PRN,эта,был
732,dies::PRN,эта,ошо
733,das::PRN,сiя,ул
734,alles::PRN,быдӧс,бөтә
735,ich::PRN,ме,мин
736,du::PRN,тэ,һин
737,er::PRN,сiя,ул
738,wir::PRN,мийӧ,беҙ
739,ihr::PRN,ті,һеҙ
740,sie::PRN,нія,улар
741,was::FPRN,мый,ә
742,was::FPRN,мый,ни
743,was::FPRN,мый,нәмә
744,wer::FPRN,кин,ҡем
745,wo::FADV,кытӧн,ҡайҙа
746,wohin::FADV,кытчӧ,ҡайҙа
747,wie::FADV,дзик,инидәй
748,warum::FADV,мыля,ин өсөн
