,Concept_ID,kk,no
155,Feder::N,қаламұш,fjær
156,Fell::N,тері,skinn
157,Flügel::N,қанат,vinge
158,Klaue::N,тырнақ,klauv
159,Kralle::N,аяқ,klo
160,Schwanz::N,құйрық,hale
161,Ei::N,жұмыртқа,egg
162,Nest::N,ұя,rede
163,Bau::N,жатақ,hi
164,Tier::N,айуан,dyr
165,Tier::N,жануар,dyr
166,Herde::N,пада,flokk
167,Kuh::N,сиыр,ku
168,Bulle::N,өгіз,tyr
169,Pferd::N,жылқы,hest
170,Schaf::N,қой,får
171,Schwein::N,шошқа,gris
172,Hund::N,ит,hund
173,Katze::N,мысық,katt
174,Bär::N,аю,bjørn
175,Eichhörnchen::N,тиін,ekorn
176,Elch::N,бұғы,elg
177,Fuchs::N,түлкі,rev
178,Hase::N,қоян,hare
179,Maus::N,қаптесер,mus
180,Wolf::N,бөрі,ulv
181,Wolf::N,бөрі,varg
182,Wolf::N,қасқыр,ulv
183,Wolf::N,қасқыр,varg
184,Vogel::N,құс,fugl
185,Schwarm::N,топ,sverm
186,Schwarm::N,үйір,sverm
187,Huhn::N,тауық,høne
188,Huhn::N,мекиен,høne
189,Hahn::N,әтеш,hane
190,Hahn::N,қораз,hane
191,Gans::N,қаз,gås
192,Adler::N,бүркіт,ørn
193,Ente::N,үйрек,and
194,Eule::N,жапалақ,ugle
195,Kranich::N,тырна,trane
196,Krähe::N,қарға,kråke
197,Kuckuck::N,көкек,gjøk
198,Schwan::N,аққу,svane
199,Fisch::N,балық,fisk
200,Barsch::N,алабұға,abbor
201,Hecht::N,шортан,gjedde
202,Schlange[Tier]::N,жылан,orm
203,Schlange[Tier]::N,жылан,slange
204,Wurm::N,шұбалшаң,orm
205,Wurm::N,шұбалшаң,mark
206,Spinne::N,өрмекші,edderkopp
207,Ameise::N,қүмырска,maur
208,Laus::N,бит,lus
209,Mücke::N,маса,mygg
210,Fliege::N,шыбын,flue
211,Schmetterling::N,көбелек,sommerfugl
212,Beere::N,жидек,bær
213,Apfel::N,алма,eple
214,Pilz::N,қозықұйрық,sopp
215,Pilz::N,саңыраукулақ,sopp
216,Zwiebel::N,жуа,løk
217,Saat::N,тұқым,sæd
218,Korn::N,дән,korn
219,Heu::N,шөп,høy
220,Schale::N,қабық,skall
221,Schale::N,қабығы,skall
222,Grube::N,ор,grop
223,Falle::N,дұзақ,felle
224,Falle::N,қақпан,felle
225,Schlinge::N,ілмек,snare
226,Spur::N,із,spor
227,Asche::N,күл,aske
228,Dreck::N,былғаныш,møkk
229,Dreck::N,былғаныш,skitt
230,Eisen::N,темір,jern
231,Gold::N,алтын,gull
232,Silber::N,күміс,sølv
233,Kohle::N,көмір,kol
234,Kohle::N,көмір,kull
235,Glas::N,шыны,glass
236,Lehm::N,балшық,leire
237,Sand::N,құм,sand
238,Mensch::N,адам,menneske
239,Mann::N,еркек,mann
240,Mann::N,ер адам,mann
241,Frau::N,бике,kvinne
242,Frau::N,қатын,kvinne
243,Kind::N,бала,barn
244,Kind::N,перзент,barn
245,Junge::N,бала,gutt
246,Junge::N,ер бала,gutt
247,Mädchen::N,қыз,pike
248,Mädchen::N,қыз,jente
249,Familie::N,жанұя,familie
250,Großvater::N,ата,bestefar
251,Großmutter::N,әже,bestemor
252,Großmutter::N,әжей,bestemor
253,Eltern::N,ата-аналар,foreldre
254,Vater::N,әке,far
255,Mutter::N,ана,mor
256,Sohn::N,ұл,sønn
257,Tochter::N,қызым,datter
258,Bruder::N,бауырым,bror
259,Schwester::N,әпке,søster
260,Onkel::N,көке,onkel
261,Tante::N,тәте,tante
262,Ehemann::N,ер,ektemann
263,Ehefrau::N,зайып,hustru
264,Freude::N,қуаныш,glede
265,Freude::N,сүйініш,glede
266,Freude::N,шат-думан,glede
267,Freude::N,қуаныштылық,glede
268,Gelächter::N,күлу,latter
269,Glück::N,бақыт,lykke
270,Glück::N,бақыттылық,lykke
271,Kummer::N,аза,sorg
272,Kummer::N,қайғы,sorg
273,Kummer::N,қасырет,sorg
274,Wunsch::N,мүдде,ønske
275,Lust::N,тәбет,lyst
276,Lust::N,ынтызар,lyst
277,Lust::N,құштарлық,lyst
278,Geist::N,рух,ånd
279,Gedanke::N,ой,tanke
280,Gedächtnis::N,ес,minne
281,Gedächtnis::N,ес,hukommelse
282,Gedächtnis::N,жады,minne
283,Gedächtnis::N,жады,hukommelse
284,Gedächtnis::N,ақыл-ес,minne
285,Gedächtnis::N,ақыл-ес,hukommelse
286,Verstand::N,ақыл,forstand
287,Verstand::N,парасат,forstand
288,Sinn::N,мән,mening
289,Sinn::N,мән,betydning
290,Sinn::N,маныз,mening
291,Sinn::N,маныз,betydning
292,Sinn::N,мағына,mening
293,Sinn::N,мағына,betydning
294,Sinn::N,мән-мағына,mening
295,Sinn::N,мән-мағына,betydning
296,Grund::N,себеп,grunn
297,Wahrheit::N,рас,sannhet
298,Gespräch::N,әңгіме,samtale
299,Märchen::N,ертеп,eventyr
300,Märchen::N,ертек,eventyr
301,Erzählung::N,әңгіме,fortelling
302,Nachricht::N,хабар,melding
303,Neuigkeit::N,жаңалық,nyhet
304,Name::N,ат,navn
305,Name::N,атау,navn
306,Rätsel::N,жұмбақ,gåte
307,Rede::N,сөз,tale
308,Sprache::N,тіл,språk
309,Stimme::N,үн,stemme
310,Stimme::N,әуен,stemme
311,Stimme::N,дауыс,stemme
312,Wort::N,сөз,ord
313,Zeichen::N,ишара,tegn
314,Ruf::N,айғай,rop
315,Lärm::N,айғай-шу,bråk
316,Lärm::N,айғай-ұйғай,bråk
317,Laut::N,дыбыс,lyd
318,Laut::N,дауыс,lyd
319,Ton::N,әуен,tone
320,Lied::N,ән,vise
321,Lied::N,жыр,vise
322,Lied::N,ән-жыр,vise
323,Ruhe::N,тыныштық,ro
324,Leute::N,кісілер,folk
325,Volk::N,халық,folk
326,Arbeit::N,еңбек,arbeid
327,Gast::N,қонақ,gjest
328,Gast::N,мейман,gjest
329,Geschenk::N,қадия,gave
330,Spiel::N,ойын,lek
331,Spiel::N,ойын,spill
332,Gesellschaft::N,қауым,selskap
333,Gesellschaft::N,жұртшылық,selskap
334,Hilfe::N,жэрдем,hjelp
335,Freund::N,дос,venn
336,Kamerad::N,дос-жар,kamerat
337,Angelegenheit::N,жұмыс,sak
338,Angelegenheit::N,жұмыс,anliggende
339,Anzahl::N,сан,antall
340,Anzahl::N,саны,antall
341,Art::N,түр,art
342,Art::N,түр,slag
343,Stück::N,тілім,stykke
344,Teil::N,үлес,del
345,Teil::N,бөлшек,del
346,Hälfte::N,жарты,halvdel
347,Kreis::N,шеңбер,ring
348,Kreis::N,шеңбер,sirkel
349,Kreuz::N,крест,kors
350,Kreuz::N,крест,kryss
351,Linie::N,сызық,linje
352,Strich::N,сызық,strek
353,Abstand::N,ара,avstand
354,Abstand::N,аралық,avstand
355,Entfernung::N,аралық,avstand
356,Gegend::N,өңір,strøk
357,Platz::N,орны,plass
358,Ort::N,орын,sted
359,Seite::N,жақ,side
360,Seite::N,бүйір,side
361,Mitte::N,ортасы,midte
362,Gegenstand::N,зат,gjenstand
363,Gegenstand::N,нәрсе,gjenstand
364,Sache::N,бұйым,sak
365,Rand::N,шет,rand
366,Rand::N,шеті,rand
367,Kante::N,қыр,kant
368,Kante::N,қыры,kant
369,Ecke::N,қыры,hjørne
370,Ecke::N,бұрыш,hjørne
371,Spitze::N,ұшы,spiss
372,Ende::N,аяқ,ende
373,Ende::N,соңы,ende
374,Loch::N,тесік,hull
375,Winkel::N,мүйіс,vinkel
376,Muster::N,мәнер,mønster
377,Größe::N,ауқым,størrelse
378,Größe::N,көлемдік,størrelse
379,Länge::N,бой,lengde
380,Länge::N,ұзындық,lengde
381,Höhe::N,жоғарылық,høyde
382,Höhe::N,биіктік,høyde
383,Gewicht::N,салмақ,vekt
384,Menge::N,мөлшер,mengde
385,Haufen::N,үйме,haug
386,Haufen::N,үйме,bunke
387,Haufen::N,үйінді,haug
388,Haufen::N,үйінді,bunke
389,Reihe::N,сап,rekke
390,Boot::N,қайық,båt
391,Ruder::N,ескек,åre
392,Schlitten::N,шана,slede
393,Schlitten::N,шана,kjelke
394,Ski::N,шаңғы,ski
395,Lagerfeuer::N,алау,leirbål
396,Last::N,ауырлық,bør
397,Last::N,ауырлық,last
398,Last::N,ауыр зат,bør
399,Last::N,ауыр зат,last
400,Gang::N,жүріс,gang
401,Schritt::N,адым,steg
402,Schritt::N,адым,skritt
403,Norden::N,солтүстік,nord
404,Norden::N,терістік,nord
405,Süden::N,оңтүстік,sør
406,Westen::N,батыс,vest
407,Osten::N,күншығыс,øst
408,Holz::N,ағаш,tre
409,Holz::N,сүрек,tre
410,Brett::N,тақта,fjøl
411,Brett::N,тақта,brett
412,Platte::N,тақта,plate
413,Stütze::N,тіреу,støtte
414,Stange::N,қада,stang
415,Stock::N,сойыл,pinne
416,Stab::N,сырық,stav
417,Stab::N,сырық,kjepp
418,Rohr::N,құбыр,rør
419,Haus::N,үй,hus
420,Heim::N,үйлі,hjem
421,Heim::N,шаңырақ,hjem
422,Ofen::N,ошақ,ovn
423,Ofen::N,пеш,ovn
424,Fußboden::N,еден,gulv
425,Tisch::N,үстел,bord
426,Stuhl::N,орындық,stol
427,Wiege::N,бесік,vogge
428,Bett::N,кереует,seng
429,Regal::N,сөре,reol
430,Regal::N,сөре,hylle
431,Kiste::N,жәшік,kasse
432,Fenster::N,терезе,vindu
433,Tür::N,есік,dør
434,Tor::N,дарбаза,port
435,Zaun::N,дуал,gjerde
436,Dach::N,шатыр,tak
437,Leiter::N,саты,stige
438,Leiter::N,басқыш,stige
439,Besen::N,сыпырғыш,kost
440,Spaten::N,күрек,spade
441,Schaufel::N,қалақ,skuffe
442,Gabel::N,аша,gaffel
443,Gabel::N,шанышқы,gaffel
444,Löffel::N,қасық,skje
445,Messer::N,пышақ,kniv
446,Nagel::N,мық,spiker
447,Nagel::N,шеге,spiker
448,Netz::N,керегекөз,nett
449,Haken::N,ілмек,krok
450,Griff::N,сап,tak
451,Griff::N,сап,håndtak
452,Griff::N,тұтқа,tak
453,Griff::N,тұтқа,håndtak
454,Schloss::N,құлып,lås
455,Schloss::N,бекіткіш,lås
456,Bild::N,сурет,bilde
457,Figur::N,тұлға,figur
458,Puppe::N,қуыршақ,dukke
459,Beutel::N,қапшық,pose
460,Bündel::N,байлам,bylt
461,Tasche::N,дорба,veske
462,Eimer::N,шелек,bøtte
463,Deckel::N,жапқыш,lokk
464,Geschirr::N,ыдыс,kjøkkentøy
465,Sack::N,қап,sekk
466,Tasse::N,шыныаяқ,kopp
467,Topf::N,кәстрөл,gryte
468,Kessel::N,қазан,kjele
469,Essen::N,ас,mål
470,Nahrung::N,ас,mat
471,Nahrung::N,ас,næring
472,Nahrung::N,тамақ,mat
473,Nahrung::N,тамақ,næring
474,Speise::N,тағам,matrett
475,Fleisch::N,ет,kjøtt
476,Getreide::N,дәнді,korn
477,Brei::N,ботқа,grøt
478,Brot::N,күлше,brød
479,Scheibe::N,тілім,skive
480,Fett::N,май,fett
481,Butter::N,май,smør
482,Öl::N,май,olje
483,Salz::N,тұз,salt
484,Suppe::N,көже,suppe
485,Honig::N,бал,honning
486,Milch::N,сүт,melk
487,Tee::N,шай,te
488,Leder::N,көн,lær
489,Leder::N,көн,skinn
490,Wolle::N,жүн,ull
491,Stoff::N,мата,tøy
492,Stoff::N,мата,stoff
493,Stoff::N,кездеме,tøy
494,Stoff::N,кездеме,stoff
495,Nadel::N,ине,nål
496,Faden::N,жіп,tråd
497,Knopf::N,түйме,knapp
498,Knoten::N,түйін,knute
499,Farbe::N,рең,farge
500,Kleidung::N,киім,påkledning
501,Hemd::N,жейде,skjorte
502,Kragen::N,жаға,krage
503,Ärmel::N,жең,erme
504,Hose::N,шалбар,bukse
505,Gürtel::N,белбеу,belte
506,Mütze::N,қалпақ,lue
507,Schuh::N,кебіс,sko
508,Stiefel::N,етік,støvel
509,Ring::N,жүзік,ring
510,Band::N,таспа,band
511,Kamm::N,тарақ,kam
512,Spiegel::N,айна,speil
513,Riemen::N,қайыс,rem
514,Schnur::N,жіп,snor
515,Leine::N,тізгін,line
516,Decke::N,көрпе,teppe
517,Kissen::N,жастық,pute
518,Tuch::N,орамал,tøy
519,Handtuch::N,сүлгі,håndkle
520,Kraft::N,қуат,kraft
521,Kraft::N,қарқын,kraft
522,Kraft::N,әл-шама,kraft
523,Kraft::N,әл-дәрмен,kraft
524,Stärke::N,әл,styrke
525,Stärke::N,күш,styrke
526,Gesundheit::N,денсаулык,helse
527,Gesundheit::N,денсаулык,sunnhet
528,Krankheit::N,ауру,syke
529,Krankheit::N,ауру,sykdom
530,Schmerz::N,ауру,smerte
531,Wunde::N,зақым,sår
532,Wunde::N,жарақат,sår
533,Fieber::N,безгек,feber
534,Fieber::N,қалтырау,feber
535,Fieber::N,қызу көтерілуі,feber
536,Arznei::N,дәрі,medisin
537,Arznei::N,дәрі,legemiddel
538,Arznei::N,дәрі-дәрмек,medisin
539,Arznei::N,дәрі-дәрмек,legemiddel
540,Brücke::N,көпір,bro
541,Brunnen::N,құдық,brønn
542,Weide::N,өріс,beite
543,Weide::N,жайылым,beite
544,Pfad::N,жол,sti
545,Weg::N,жол,vei
546,Straße::N,жол,gate
547,Dorf::N,ауыл,landsby
548,Stadt::N,қала,by
549,Stadt::N,шаһар,by
550,Brief::N,хат,brev
551,Brief::N,жазу,brev
552,Buch::N,кітап,bok
553,Buchstabe::N,әріп,bokstav
554,Buchstabe::N,қаріп,bokstav
555,Zeitung::N,газет,avis
556,Leben::N,өмір,liv
557,Leben::N,тіршілік,liv
558,Tod::N,опат,død
559,Grab::N,мола,grav
560,Grab::N,мазар,grav
561,Kirche::N,шіркеу,kirke
562,Sünde::N,күнә,synd
563,Gott::N,алла,gud
564,Gott::N,құдай,gud
565,Gott::N,тәңірі,gud
566,Gott::N,пәруардігер,gud
567,Gott::N,жаратқан тәңірі,gud
568,Arbeiter::N,жүмысшы,arbeider
569,Chef::N,басшы,sjef
570,Chef::N,жұмыс басқарушысы,sjef
571,Meister::N,шебер,mester
572,Meister::N,өнерпаз,mester
573,Arzt::N,дәрігер,lege
574,Lehrer::N,мұғалім,lærer
575,Geld::N,пұл,penger
576,Geschäft::N,бизнес,forretning
577,Laden::N,дүкен,butikk
578,Preis::N,ақы,pris
579,Preis::N,құны,pris
580,Preis::N,нарық,pris
581,Ware::N,тауар,vare
582,Nutzen::N,пайда,nytte
583,Reichtum::N,бақ-дәулет,rikdom
584,Welt::N,әлем,verden
585,Welt::N,жиһан,verden
586,Land::N,аймақ,land
587,Staat::N,мемлекет,stat
588,König::N,патша,konge
589,Macht::N,өкімет,makt
590,Macht::N,қожалық,makt
591,Grenze::N,шек,grense
592,Krieg::N,соғыс,krig
593,Feind::N,жау,fiende
594,Feind::N,дұшпан,fiende
595,Gewalt::N,зорлык,vold
596,Gewalt::N,зорлық-зомбылык,vold
597,Kampf::N,күрес,kamp
598,Kampf::N,алыспақ,kamp
599,Bogen[Waffe]::N,саржа,bue
600,Pfeil::N,жебе,pil
601,Gewehr::N,қару,gevær
602,Fehler::N,әбес,feil
603,Fehler::N,қаталық,feil
604,Lüge::N,өтірік,løgn
605,Schaden::N,зиян,skade
606,Schaden::N,зарар,skade
607,Unglück::N,пәле,uhell
608,Unglück::N,қасырет,uhell
609,Unglück::N,ауыртпалық,uhell
610,Schuld::N,айыптылық,skyld
611,Alter::N,жас,alder
612,Alter::N,жас шамасы,alder
613,Schluss::N,ада,slutt
614,Schluss::N,бітуі,slutt
615,Zeit::N,уақыт,tid
616,Tag::N,күн,dag
617,Morgen::N,таң,morgen
618,Morgen::N,таңертең,morgen
619,Mittag::N,талтүс,middag
620,Abend::N,кеш,aften
621,Nacht::N,түн,natt
622,Woche::N,апта,uke
623,Monat::N,ай,måned
624,Jahr::N,жыл,år
625,Frühling::N,көктем,vår
626,Sommer::N,жаз,sommer
627,Herbst::N,күз,høst
628,Winter::N,қыс,vinter
629,Januar::N,каңтар,januar
630,Februar::N,ақпан,februar
631,März::N,наурыз,mars
632,April::N,сәуір,april
633,Mai::N,мамыр,mai
634,Juni::N,маусым,juni
635,Juli::N,шілде,juli
636,August::N,сүмбіле,august
637,August::N,тамыз,august
638,September::N,қыркүйек,september
639,Oktober::N,ақырап,oktober
640,November::N,қараша,november
641,Dezember::N,желтоқсан,desember
642,Montag::N,дүйсенбі,mandag
643,Dienstag::N,сейсенбі,tirsdag
644,Mittwoch::N,сәрсенбі,onsdag
645,Donnerstag::N,бейсенбі,torsdag
646,Freitag::N,жұма,fredag
647,Samstag::N,сенбі,lørdag
648,Sonntag::N,жексембі,søndag
649,groß::A,алпамсадай,stor
650,klein::A,кішкене,liten
651,klein::A,қарғадай,liten
652,lang::A,сопақ,lang
653,lang::A,сорайған,lang
654,kurz::A,кеспелтек,kort
655,breit::A,айдынды,bred
656,schmal::A,қысық,smal
657,dicht::A,жиі,tett
658,dick[Gegenstand]::A,шомбал,tykk
659,dünn::A,жұқа,tynn
660,dünn::A,жіңішке,tynn
661,fein::A,қаңылтақ,fin
662,fest::A,берік,fast
663,fest::A,мызғымас,fast
664,flach::A,жалпак,flat
665,glatt::A,типыл,glatt
666,hart::A,қатты,hard
667,weich::A,жұмсақ,myk
668,weich::A,жұмсақ,bløt
669,rund::A,домалақ,rund
670,spitz::A,үшкір,spiss
671,scharf::A,сүйрік,kvass
672,stumpf::A,доғал,stubb
673,stumpf::A,өтпейтін,stubb
674,schwer::A,салмақты,tung
675,schön::A,сұлу,pen
676,schön::A,сұлу,vakker
677,heiß::A,ыссы,het
678,warm::A,жылы,varm
679,kalt::A,аязды,kald
680,kühl::A,салқын,kjølig
681,frisch::A,таза,fersk
682,frisch::A,жаңа,fersk
683,feucht::A,нам,fuktig
684,feucht::A,дымқылды,fuktig
685,nass::A,сулы,våt
686,trocken::A,құрғақ,tørr
687,voll::A,толы,full
688,leer::A,бос,tom
689,offen::A,ашып қойылған,åpen
690,geschlossen::A,жабулы,lukket
691,sauber::A,дақсыз,ren
692,sauber::A,мұнтаздай,ren
693,schmutzig::A,айғыз,skitten
694,schmutzig::A,сатпақ,skitten
695,schmutzig::A,сатал-сатал,skitten
696,roh::A,шикі,rå
697,reif::A,піскен,moden
698,lecker::A,дәмді,lekker
699,süß::A,тәтті,søt
700,bitter::A,ащы,besk
701,bitter::A,ащы,bitter
702,sauer::A,қышқыл,sur
703,hell::A,жарық,lys
704,hell::A,жарқын,lys
705,dunkel::A,қараңғы,mørk
706,schwarz::A,қара,svart
707,weiß::A,ақ,hvit
708,rot::A,қызыл,rød
709,gelb::A,сары,gul
710,blau::A,көк,blå
711,grün::A,жасыл,grønn
712,grau::A,бозамық,grå
713,bunt::A,алабажак,broket
714,billig::A,арзан,billig
715,teuer::A,бағалы,dyr
716,wertvoll::A,құнды,verdifull
717,wertvoll::A,қымбат,verdifull
718,blind::A,көзсіз,blind
719,blind::A,көр,blind
720,blind::A,көр_соқыр,blind
721,taub::A,керең,døv
722,taub::A,саңырау,døv
723,kräftig::A,қуатты,kraftig
724,kräftig::A,қарымды,kraftig
725,stark::A,білекті,sterk
726,schwach::A,әлсіз,svak
727,schwach::A,күшсіз,svak
728,schwach::A,қайратсыз,svak
729,fett::A,семіз,fet
730,schlank::A,ашаң,slank
731,hübsch::A,ажарлы,pen
732,hübsch::A,шырайлы,pen
733,böse::A,өш,slem
734,böse::A,сұм,slem
735,böse::A,жауыз,slem
736,dumm::A,көкми,dum
737,dumm::A,ақымақ,dum
738,dumm::A,миы жоқ,dum
739,faul::A,жалқау,lat
740,faul::A,жалқау,doven
741,faul::A,еріншек,lat
742,faul::A,еріншек,doven
743,fleißig::A,ұқыпты,flittig
744,geizig::A,сараң,gjerrig
745,klug::A,жетік,klok
746,klug::A,ақылды,klok
747,geschickt::A,шебер,hendig
748,geschickt::A,шебер,skikket
749,lieb::A,абзал,kjær
750,lieb::A,абзал,snill
751,lieb::A,айналайын,kjær
752,lieb::A,айналайын,snill
753,lustig::A,көңілді,morsom
754,sanft::A,жуас,blid
755,hungrig::A,аш,sulten
756,krank::A,кеселді,syk
757,nackt::A,жалаңаш,naken
758,traurig::A,қапа,sørgmodig
759,lebendig::A,тірі,levende
760,lebendig::A,жанды,levende
761,gut::A,жақсы,god
762,schlecht::A,жаман,dårlig
763,richtig::A,дұрыс,riktig
764,schlimm::A,жаман,slem
765,wahr::A,нағыз,sann
766,alt::A,ескі,gammel
767,neu::A,жаңа,ny
768,ehemalig::A,өткен,forhenværende
769,ehemalig::A,бұрынғы,forhenværende
770,alt[Lebewesen]::A,кексе,gammel
771,jung::A,науша,ung
772,arm::A,кедей,fattig
773,arm::A,дәулетсіз,fattig
774,reich::A,малды,rik
775,bekannt::A,таныс,kjent
776,bekannt::A,көзтаныс,kjent
777,berühmt::A,атақты,berømt
778,fremd::A,бөтен,fremmed
779,verschieden::A,түрлі,forskjellig
780,nah::A,жуық,nær
781,nah::A,етене,nær
782,fern::A,алыс,fjern
783,fern::A,алыстағы,fjern
784,linker::A,сол,venstre
785,linker::A,солшыл,venstre
786,rechter::A,оң,høyre
787,anderer::A,өзге,annen
788,anderer::A,былайғы,annen
789,erster::A,алғашқы,første
790,zweiter::A,екінші,annen
791,dritter::A,үшінші,tredje
792,letzter::A,артқы,sist
793,letzter::A,кейінгі,sist
794,allein::ADV,серіксіз,alene
795,auf einmal::ADV,бірден,med ett
796,zusammen::ADV,бірлесіп,sammen
797,lange::ADV,ұзақ,lenge
798,plötzlich::ADV,кенет,plutselig
799,sofort::ADV,әне-міне дегенше,straks
800,später::ADV,артынан,senere
801,jetzt::ADV,енді,nå
802,jetzt::ADV,қазір,nå
803,heute::ADV,бүгін,i dag
804,morgen::ADV,ертең,i morgen
805,bald::ADV,тез,snart
806,dann::ADV,онан соң,så
807,dann::ADV,сонан соң,så
808,gestern::ADV,кеше,i går
809,einst::ADV,бірде,engang
810,einst::ADV,бір кезде,engang
811,damals::ADV,анада,den gang
812,danach::ADV,онан соң,deretter
813,danach::ADV,сонан соң,deretter
814,vorher::ADV,бұрын,før
815,vorher::ADV,бұрын,i forveien
816,zuerst::ADV,әуелі,først
817,zuerst::ADV,алдымен,først
818,einmal::ADV,бір жолы,en gang
819,manchmal::ADV,кейде,somme tider
820,oft::ADV,ылғи,ofte
821,immer::ADV,өнебойы,alltid
822,niemals::ADV,ешуақытта,aldri
823,hier::ADV,бұнда,her
824,hier::ADV,осында,her
825,hierhin::ADV,бермен,hit
