,Concept_ID,uk,ady
120,Wurzel::N,корінь,лъапсэ́
121,Baum::N,дерево,чъыгы́
122,Stamm::N,стовбур,пкъы
123,Rinde::N,кора,пхъашъо́
124,Ast::N,гілка,куамэ
125,Zweig::N,галузь,къутамэ́
126,Blatt::N,лист,тхьап
127,Birke::N,береза,пчэн
128,Kiefer[Baum]::N,сосна,сэснэй
129,Weide[Baum]::N,верба,пце́л
130,Tanne::N,ялиця,ель
131,Horn::N,ріг,бжъэ
132,Feder::N,перо,къамӏы́й
133,Fell::N,хутро,шъо
134,Flügel::N,крило,тамэ́
135,Klaue::N,кіготь,лъэбжъа́н
136,Kralle::N,лапа,лъакъо
137,Schwanz::N,хвіст,кӏэ
138,Ei::N,яйце,кӏэнкӏэ́
139,Nest::N,гніздо,набгъо́
140,Bau::N,лігво,гъу
141,Bau::N,лігво,бы
142,Tier::N,тварина,псэу́шъхь
143,Herde::N,стадо,ӏэхъогъу
144,Kuh::N,корова,чэмы́
145,Bulle::N,бик,цу
146,Bulle::N,бугай,цу
147,Pferd::N,кінь,шы
148,Schaf::N,вівця,мэлы́
149,Schwein::N,свиня,къо
150,Hund::N,собака,бьэ
151,Katze::N,кішка,чэты́у
152,Bär::N,ведмідь,мышъэ́
153,Eichhörnchen::N,білка,цызэ́
154,Elch::N,лось,лось
155,Fuchs::N,лисиця,баджэ́
156,Hase::N,заєць,тхьакӏумкӏы́хь
157,Maus::N,миша,цыгъо́
158,Wolf::N,вовк,тыгъу́жъ
159,Vogel::N,птах,бзы́у
160,Schwarm::N,зграя,отэр
161,Huhn::N,курка,чэты́
162,Hahn::N,півень,атакъэ́
163,Gans::N,гуска,къа́з
164,Adler::N,орел,
165,Ente::N,качка,псычэ́т
166,Eule::N,сова,тыгъурыгъу
167,Kranich::N,журавель,къэрэ́у
168,Krähe::N,ворона,къолэ́жъ
169,Kuckuck::N,зозуля,куку́у
170,Schwan::N,лебідь,
171,Fisch::N,риба,пцэжъы́й
172,Barsch::N,окунь,тхыкъэц
173,Hecht::N,щука,лэнд
174,Schlange[Tier]::N,змія,блэ́
175,Wurm::N,черв’як,хьамлыу
176,Spinne::N,павук,бэдж
177,Ameise::N,мурашка,къамзэ́гу
178,Laus::N,воша,цӏэ
179,Mücke::N,комар,аргъо́й
180,Fliege::N,муха,бадзэ́
181,Schmetterling::N,метелик,хьампӏыра́шъу
182,Beere::N,ягода,маткӏо
183,Apfel::N,яблуко,мыӏэры́с
184,Pilz::N,гриб,хьаӏу
185,Zwiebel::N,цибуля,бжьыны́
186,Saat::N,сім’я,чылапхъ
187,Korn::N,зерно,цэ
188,Heu::N,сіно,мэкъу
189,Schale::N,шкірка,кӏы́шъу
190,Grube::N,яма,машэ́
191,Falle::N,пастка,зэраубытырэ́ ӏэмэпсы́м
192,Schlinge::N,петля,бзыуубыт
193,Spur::N,слід,ужы
194,Spur::N,слід,лъэуж
195,Asche::N,зола,яжьэ́
196,Asche::N,попіл,яжьэ́
197,Dreck::N,бруд,псынжъы
198,Eisen::N,залізо,гыучӏы́
199,Eisen::N,залізо,къэнджа́л
200,Gold::N,золото,дышъэ́
201,Silber::N,срібло,тыжьы́н
202,Kohle::N,вугілля,шӏомыкӏ
203,Glas::N,скло,апч
204,Lehm::N,глина,етӏагъо́
205,Sand::N,пісок,пшахъо
206,Mensch::N,людина,цӏыфы́
207,Mann::N,чоловік,хъулъфы́гъ
208,Frau::N,жінка,бӏылъфыгъэ́
209,Kind::N,дитина,кӏэлэцӏы́кӏу
210,Junge::N,хлопець,кӏэлэцӏы́кӏу
211,Mädchen::N,дівчина,пшъэшъэжъый
212,Familie::N,сім’я,быны́
213,Familie::N,сім’я,уна́гъу
214,Familie::N,родина,быны́
215,Familie::N,родина,уна́гъу
216,Großvater::N,дідусь,тэтэ́жъ
217,Großmutter::N,бабуся,нэнэ́жъ
218,Eltern::N,батьки,ны-тыхэ́р
219,Vater::N,батько,ты
220,Mutter::N,мати,ны
221,Sohn::N,син,къо
222,Tochter::N,дочка,пхъу
223,Bruder::N,брат,шы
224,Schwester::N,сестра,шы́пхъу
225,Onkel::N,дядько,янэ́ш
226,Tante::N,тітка,атэшыпхъу
227,Ehemann::N,чоловік,лӏы
228,Ehefrau::N,жінка,шъу́з
229,Ehefrau::N,дружина,шъу́з
230,Freude::N,радощі,гушӏуа́гъу
231,Gelächter::N,сміх,щхыныр
232,Glück::N,щастя,насы́п
233,Kummer::N,горе,тхьамыкӏагъу
234,Wunsch::N,бажання,шӏонгъоны́гъ
235,Lust::N,бажання,шӏонгъоны́гъ
236,Geist::N,дух,гу
237,Gedanke::N,думка,гупшыс
238,Gedächtnis::N,пам’ять,память
239,Verstand::N,розум,акъы́л
240,Sinn::N,зміст,мэхьанэ
241,Sinn::N,значення,мэхьанэ
242,Grund::N,причина,ушъхьагъу
243,Wahrheit::N,правда,шъыпкъэ́
244,Gespräch::N,розмова,гущыӏ
245,Märchen::N,байка,пшысэ
246,Erzählung::N,повість,къэба́р
247,Erzählung::N,оповідання,къэба́р
248,Nachricht::N,повідомлення,къэба́р
249,Neuigkeit::N,новина,къэбарыкӏ
250,Name::N,ім’я,цӏэ
251,Rätsel::N,загадка,коджэхь-къоджэшх
252,Rede::N,промова,гущыӏ
253,Sprache::N,мова,бзэ
254,Stimme::N,голос,макъэ́
255,Wort::N,слово,гущыӏ
256,Zeichen::N,знак,тамы́гъ
257,Ruf::N,оклик,джэ макъ
258,Lärm::N,шум,макъэ
259,Laut::N,звук,макъэ
260,Ton::N,тон,
261,Lied::N,пісня,орэ́д
262,Ruhe::N,спокій,самбырыныгъ
263,Leute::N,люди,цӏыфхэ́р
264,Volk::N,народ,цӏыф лъэпкъ
265,Arbeit::N,робота,ӏофшӏакӏэ́н
266,Gast::N,гість,хьакӏэ́
267,Geschenk::N,подарунок,шӏухьафтын
268,Spiel::N,гра,еоны́р
269,Spiel::N,гра,джэгуны́р
270,Spiel::N,гра,къегъэӏоны́р
271,Gesellschaft::N,товариство,обществ
272,Hilfe::N,допомога,ӏэпыӏэгъу
273,Freund::N,друг,ныбджэгъу
274,Freund::N,приятель,ныбджэгъу
275,Kamerad::N,товариш,ныбджэгъу
276,Angelegenheit::N,справа,ӏофы́
277,Anzahl::N,число,пчъагъэ́
278,Art::N,рід,изэрэщы́т
279,Art::N,рід,лъэпкъ
280,Stück::N,кусок,такъы́р
281,Teil::N,частина,щыщ
282,Teil::N,частина,ӏахь
283,Hälfte::N,половина,ныкъо́
284,Kreis::N,круг,хъура́й
285,Kreis::N,коло,хъура́й
286,Kreuz::N,хрест,къащ
287,Linie::N,лінія,хъахъ
288,Linie::N,лінія,итхъа́гъ
289,Strich::N,штрих,хъахъ
290,Strich::N,штрих,итхъагъ
291,Abstand::N,проміжок,азыфагу
292,Entfernung::N,відстань,чӏыгууанэ
293,Gegend::N,місцевість,чӏыпӏэ́
294,Platz::N,площа,азыфагу
295,Ort::N,місце,чӏыпӏэ́
296,Seite::N,сторона,лъэны́къу
297,Mitte::N,середина,гузэ́гу
298,Gegenstand::N,предмет,пкъыгъо
299,Sache::N,річ,
300,Rand::N,край,цакӏэ́
301,Kante::N,ребро,цэгэналъ
302,Ecke::N,ріг,къогъу
303,Spitze::N,кінчик,пакӏэ
304,Ende::N,кінець,кӏэ
305,Loch::N,діра,гъуа́н
306,Winkel::N,куток,къогъу
307,Muster::N,узор,тхыпхъэ
308,Größe::N,розмір,иина́гъ
309,Länge::N,довжина,икӏыхьа́гъ
310,Höhe::N,висота,лъэгагъ
311,Gewicht::N,вага,онтэгъугъэ́
312,Menge::N,кількість,пчъагъэ́
313,Haufen::N,купа,ӏат
314,Reihe::N,ряд,саты́р
315,Boot::N,човен,къуашъо́
316,Ruder::N,весло,къошъобэ́щ
317,Schlitten::N,сани,
318,Ski::N,лижа,лыжэхэр
319,Lagerfeuer::N,вогнище,пхъэмашӏу
320,Last::N,тягар,
321,Last::N,вантаж,
322,Gang::N,хід,кӏоныр
323,Schritt::N,крок,лъэубэ́къу
324,Norden::N,північ,темы́р
325,Süden::N,південь,къыблэ́
326,Westen::N,захід,тыгъэкъохьа́пӏ
327,Osten::N,схід,тыгьэкъокӏы́пӏ
328,Holz::N,дрова,чъыгы́
329,Brett::N,дошка,пхъэ́мбгъу
330,Platte::N,плита,упсыхьагъ
331,Stütze::N,підпірка,кӏэгъэкъон
332,Stange::N,жердина,къорэ́гъ
333,Stock::N,палиця,бэщ
334,Stab::N,палиця,бэщ кӏы́хь
335,Rohr::N,труба,онджэкъ
336,Haus::N,дім,унэ́
337,Haus::N,хата,унэ́
338,Heim::N,житло,унэ́
339,Ofen::N,піч,гъэжъэн
340,Fußboden::N,підлога,джэхашъу
341,Tisch::N,стіл,стол
342,Stuhl::N,стілець,пхъэнтӏэ́кӏу
343,Wiege::N,колиска,кушъэ́
344,Bett::N,ліжко,пӏэкӏо́р
345,Bett::N,постіль,пӏэкӏо́р
346,Regal::N,полиця,мэкӏай
347,Kiste::N,ящик,ящык
348,Fenster::N,вікно,шъхьаныгъу́пчъ
349,Tür::N,двері,пчъэ
350,Tor::N,ворота,къэла́пчъ
351,Zaun::N,паркан,шӏыхьагъэ́
352,Zaun::N,огорожа,шӏыхьагъэ́
353,Dach::N,дах,шъхьэ́
354,Leiter::N,драбина,лъэо́й
355,Leiter::N,драбина,дэкӏояпӏэ́
356,Besen::N,мітла,пхъэнкӏы́пхъ
357,Spaten::N,заступ,къазгъы́р
358,Schaufel::N,совок,хэӏалъ
359,Schaufel::N,лопата,хэӏалъ
360,Gabel::N,виделка,цацэ
361,Löffel::N,ложка,джэмы́шх
362,Messer::N,ніж,шъэжъы́й
363,Nagel::N,цвях,гъучӏыӏу́н
364,Netz::N,сіть,хъытыу
365,Haken::N,крюк,хьажтӏаркъу
366,Griff::N,ручка,къопс
367,Griff::N,держак,къопс
368,Schloss::N,замок,ӏункӏы́бз
369,Bild::N,картина,сурэ́т
370,Figur::N,фігура,
371,Puppe::N,лялька,нысхъа́п
372,Beutel::N,мішечок,дзыо́
373,Beutel::N,торбинка,дзыо́
374,Bündel::N,в’язка,
375,Tasche::N,сумка,ӏэлъмэ́къ
376,Eimer::N,відро,щалъ
377,Deckel::N,кришка,шъхьэ
378,Geschirr::N,посуд,хьакъу-шыкъу
379,Sack::N,мішок,дзыо́
380,Tasse::N,чашка,чашк
381,Topf::N,горщик,кастрюль
382,Kessel::N,котел,шыуа́н
383,Essen::N,їжа,шхэн
384,Nahrung::N,харч,шхэн
385,Speise::N,страва,шхыныгъу
386,Fleisch::N,м’ясо,лы
387,Getreide::N,хліб,лэжьыгъацэ́
388,Getreide::N,збіжжя,лэжьыгъацэ́
389,Brei::N,каша,пӏастэ́
390,Brot::N,хліб,хьалыгъу
391,Scheibe::N,скибочка,такъы́р
392,Fett::N,жир,дагъэ́
393,Butter::N,масло,тхъу
394,Öl::N,олія,тхъу
395,Salz::N,сіль,щыгъу
396,Suppe::N,суп,хьантхъупс
397,Honig::N,мед,шъоу́
398,Milch::N,молоко,щэ
399,Tee::N,чай,щай
400,Leder::N,шкіра,кӏы́шъу
401,Wolle::N,шерсть,цы
402,Stoff::N,тканина,шэкӏы
403,Nadel::N,голка,бгъэ́хаӏу
404,Faden::N,нитка,ӏуда́н
405,Knopf::N,ґудзик,занкӏэу
406,Knoten::N,вузол,зэкъодзапӏэ
407,Farbe::N,фарба,краск
408,Kleidung::N,одяг,щыгъы́ны
409,Kleidung::N,убрання,щыгъы́ны
410,Hemd::N,сорочка,джан
411,Kragen::N,комір,пшъапӏ
412,Ärmel::N,рукав,гъуап
413,Hose::N,брюки,гъончэ́дж
414,Gürtel::N,пояс,бгыры́пх
415,Mütze::N,шапка,паӏо́
416,Schuh::N,ботинок,
417,Stiefel::N,чобіт,щазым
418,Ring::N,кільце,ӏэлъы́н
419,Band::N,стрічка,лент
420,Kamm::N,гребінець,мажь
421,Spiegel::N,дзеркало,гъундж
422,Riemen::N,ремінь,бгыры́пх
423,Schnur::N,вірьовка,кӏапсэ́
424,Leine::N,шворка,шъокӏапс
425,Decke::N,ковдра,чыхӏэн
426,Kissen::N,подушка,шъхьант
427,Tuch::N,хустка,шъхьэтехъу
428,Handtuch::N,рушник,ӏаплъэкӏ
429,Kraft::N,сила,къары́у
430,Kraft::N,сила,кӏуачӏэ́
431,Stärke::N,сила,кӏуачӏэ́
432,Gesundheit::N,здоров’я,псауныгъ
433,Krankheit::N,хвороба,узы
434,Schmerz::N,біль,узы
435,Wunde::N,рана,уӏагъэ́
436,Fieber::N,гарячка,техьа́гъу
437,Fieber::N,гарячка,жъоку
438,Arznei::N,ліки,ӏэзэ́гъу
439,Brücke::N,міст,лъэмы́д ж
440,Brunnen::N,колодязь,псынэ́
441,Weide::N,пасовище,хъупӏэ́
442,Pfad::N,стежка,лъагъу
443,Weg::N,шлях,гъо́гу
444,Weg::N,дорога,гъо́гу
445,Straße::N,вулиця,гъо́гу
446,Dorf::N,село,къуа́дж
447,Stadt::N,місто,къалэ́
448,Brief::N,лист,тхэн
449,Brief::N,лист,письмэ
450,Buch::N,книга,тхы́лъ
451,Buch::N,книжка,тхы́лъ
452,Buchstabe::N,буква,хьары́ф
453,Buchstabe::N,літера,хьары́ф
454,Zeitung::N,газета,газет
455,Leben::N,життя,гъашӏэ́
456,Tod::N,смерть,аджал
457,Grab::N,могила,бэны́
458,Kirche::N,церква,чылы́с
459,Sünde::N,гріх,гунахь
460,Gott::N,бог,тхьэ
461,Arbeiter::N,робітник,рабоч
462,Chef::N,хазяїн,гъэр
463,Meister::N,умілець,ӏэпыӏа́с
464,Arzt::N,лікар,
465,Lehrer::N,вчитель,кӏэлэегъа́дж
466,Geld::N,гроші,ахъщ
467,Geschäft::N,заняття,ӏофшӏэн
468,Laden::N,магазин,туча́н
469,Laden::N,крамниця,туча́н
470,Preis::N,ціна,уасэ́
471,Ware::N,товар,хьап-щып
472,Nutzen::N,вигода,чар
473,Nutzen::N,вигода,федэ́
474,Nutzen::N,користь,чар
475,Nutzen::N,користь,федэ́
476,Reichtum::N,багатство,байныгъ
477,Welt::N,світ,дуна́й
478,Land::N,країна,хэгъэ́́гу
479,Staat::N,держава,къэралыгъу
480,König::N,король,пачъы́хь
481,Macht::N,влада,шынэгъакзэ́
482,Grenze::N,кордон,гъуна́пкъ
483,Krieg::N,війна,зао́
484,Feind::N,ворог,пы́и
485,Gewalt::N,насильство,егъэзыгъэныгъ
486,Kampf::N,бій,бэнэныгъ
487,Kampf::N,боротьба,бэнэныгъ
488,Bogen[Waffe]::N,лук,щабз
489,Pfeil::N,стріла,щэбза́щ
490,Gewehr::N,рушниця,шхонч
491,Gewehr::N,гвинтівка,шхонч
492,Fehler::N,помилка,хэукъоныгъ
493,Lüge::N,брехня,пцӏы
494,Schaden::N,шкода,зэра́р
495,Schaden::N,збиток,зэра́р
496,Unglück::N,нещастя,тхьамыкӏагъу
497,Schuld::N,провина,мысагъэ́
498,Alter::N,вік,ныбжь
499,Alter::N,літа,ныбжь
500,Schluss::N,кінець,кӏэ
501,Zeit::N,час,уахътэ́
502,Tag::N,день,мафэ́
503,Morgen::N,ранок,пчэды́жь
504,Mittag::N,південь,щэджагьу́
505,Abend::N,вечір,пчыхьэ́
506,Nacht::N,ніч,чэщы́
507,Woche::N,тиждень,тхьамафэ́
508,Monat::N,місяць,мазэ́
509,Jahr::N,рік,илъэ́с
510,Frühling::N,весна,гъатхэ́
511,Sommer::N,літо,гъэмафэ́
512,Herbst::N,осінь,бжыхьэ́
513,Winter::N,зима,кӏыма́ф
514,Januar::N,січень,январь
515,Februar::N,лютий,февраль
516,März::N,березень,март
517,April::N,квітень,апрель
518,Mai::N,травень,май
519,Juni::N,червень,июнь
520,Juli::N,липень,июль
521,August::N,серпень,август
522,September::N,вересень,сентябрь
523,Oktober::N,жовтень,октябрь
524,November::N,листопад,ноябрь
525,Dezember::N,грудень,декабрь
526,Montag::N,понеділок,блыпэ́
527,Dienstag::N,вівторок,гъубдж
528,Mittwoch::N,середа,бэрэскэжъый
529,Donnerstag::N,четвер,мэфэ́ку
530,Freitag::N,п’ятниця,бэрэскэшху
531,Samstag::N,субота,шэмбэ́т
532,Sonntag::N,неділя,тхьаума́ф
533,groß::A,великий,ины́
534,klein::A,малий,цӏы́кӏу
535,klein::A,маленький,цӏы́кӏу
536,lang::A,довгий,кӏыхьэ́
537,kurz::A,короткий,кӏэкӏы́
538,breit::A,широкий,шъуамбгъо́
539,schmal::A,вузький,бгъузэ́
540,dicht::A,густий,ӏужъу́
541,dick[Gegenstand]::A,товстий,ӏужъу́
542,dünn::A,тонкий,пӏуакӏэ́
543,fein::A,дрібний,пӏуакӏэ́
544,fest::A,міцний,пытэ́
545,flach::A,плоский,тешъо́
546,glatt::A,рівний,зэны́бжь
547,glatt::A,гладенький,зэны́бжь
548,hart::A,твердий,пытэ́
549,weich::A,м’який,шъабэ́
550,rund::A,круглий,хъура́й
551,spitz::A,гострокінцевий,папцӏэ́
552,scharf::A,гострий,чан
553,stumpf::A,тупий,цако́
554,schwer::A,важкий,онтэ́гъу
555,schön::A,вродливий,дахэ́
556,heiß::A,жаркий,жъо́ркъ
557,heiß::A,гарячий,жъо́ркъ
558,warm::A,теплий,фабэ́у
559,kalt::A,холодний,чъыӏэ́
560,kühl::A,прохолодний,чъыӏэтагъ
561,frisch::A,свіжий,чъыӏэтагъ
562,feucht::A,вогкий,шынагъэ зиӏэ
563,feucht::A,вогкий,шынэгъакӏэ зиӏэ
564,nass::A,мокрий,цӏынэ́
565,trocken::A,сухий,гъушъ
566,trocken::A,сухий,чъэпхъыгъ
567,voll::A,повний,из
568,voll::A,повний,изыбз
569,leer::A,пустий,нэкӏы́
570,offen::A,відкритий,зэдэхыгъэ
571,geschlossen::A,закритий,зэфэшӏыгъ
572,geschlossen::A,зачинений,зэфэшӏыгъ
573,sauber::A,чистий,къабзэ́
574,sauber::A,охайний,къабзэ́
575,schmutzig::A,брудний,шӏо́и
576,roh::A,сирий,мыжъо́
577,reif::A,зрілий,чъэпхъыгъ
578,lecker::A,смачний,го́хьы
579,süß::A,солодкий,ӏэшӏу
580,bitter::A,гіркий,дыджы́
581,sauer::A,кислий,хафэ́
582,hell::A,світлий,нэфын
583,dunkel::A,темний,мэзэхэ
584,schwarz::A,чорний,шӏуцӏэ
585,weiß::A,сивий,фыжьы́
586,rot::A,червоний,плъыжьы́
587,gelb::A,жовтий,гъожьы́
588,blau::A,синій,шхъуантӏэ
589,grün::A,зелений,шхъуантӏэ
590,grau::A,сірий,шхъо
591,bunt::A,барвистий,къолэны
592,billig::A,дешевий,пыут
593,teuer::A,дорогий,сикӏа́с
594,teuer::A,дорогий,силъа́пӏ
595,wertvoll::A,цінний,пкӏэ зиӏ
596,wertvoll::A,цінний,уасэ́ зыфа́шӏ
597,blind::A,сліпий,нэшъу́
598,taub::A,глухий,дэгу
599,kräftig::A,могутній,лъэ́ш
600,stark::A,сильний,лъэ́ш
601,schwach::A,слабкий,хъыбэй
602,fett::A,жирний,пщэры́
603,fett::A,товстий,пщэры́
604,schlank::A,тонкий,ищыгъэ
605,schlank::A,стрункий,ищыгъэ
606,hübsch::A,чарівний,дахэ́
607,böse::A,злий,ябгэ
608,böse::A,лихий,ябгэ
609,dumm::A,дурний,делэ
610,faul::A,ледачий,шъхьахы́нэ
611,fleißig::A,старанний,егугъурэ
612,geizig::A,скупий,тхьацэ
613,klug::A,мудрий,акъылышӏу́
614,klug::A,розумний,акъылышӏу́
615,geschickt::A,умілий,ӏэпэӏэсэ́
616,geschickt::A,умілий,шо́у шӏыгъэ́
617,lieb::A,милий,псэм фэд
618,lustig::A,веселий,чэф
619,sanft::A,лагідний,ӏушъа́б
620,hungrig::A,голодний,гъаблэ́
621,krank::A,слабий,сыма́дж
622,nackt::A,голий,пцӏанэ́
623,traurig::A,сумний,нэшхъэй
624,lebendig::A,живий,
625,gut::A,добрий,дэгъу́
626,schlecht::A,поганий,дэи
627,schlecht::A,кепський,дэи
628,richtig::A,правильний,тэрэз
629,schlimm::A,бридкий,щынэгъо
630,wahr::A,справжній,шъыпкъэ́
631,alt::A,старий,жъы
632,neu::A,новий,кӏэ
633,ehemalig::A,колишній,-щтыгъэ
634,ehemalig::A,колишній,-гъэ
635,alt[Lebewesen]::A,старий,жъы
636,jung::A,молодий,ныбжьыкӏэ́
637,arm::A,бідний,тхьамы́кӏ
638,reich::A,багатий,бай
639,bekannt::A,знайомий,нэӏуа́с
640,berühmt::A,славетний,цӏэры́ӏу
641,fremd::A,чужий,хымэ
642,verschieden::A,різний,зэфэшъхьафы
643,nah::A,близький,благъэ́
644,fern::A,далекий,чыжьэ
645,linker::A,лівий,сэмэ́гу
646,rechter::A,правий,джабгъу
647,anderer::A,інакший,нэмы́кӏ
648,erster::A,перший,апэр
649,zweiter::A,другий,я́тӏонэр
650,dritter::A,третій,ящэнэр
651,letzter::A,останній,аужыр
652,allein::ADV,сам,зы
653,allein::ADV,один,зы
654,auf einmal::ADV,відразу,ардэдэм
655,auf einmal::ADV,відразу,асыхьатым
656,zusammen::ADV,разом,зэгъусэхэ́у
657,zusammen::ADV,спільно,зэгъусэхэ́у
658,lange::ADV,довго,бэрэ́
659,plötzlich::ADV,раптом,зэкӏэм
660,sofort::ADV,зараз,ардэдэм
661,sofort::ADV,зараз,асыхьатым
662,später::ADV,пізніше,нэужым
663,jetzt::ADV,тепер,джы
664,heute::ADV,сьогодні,непэ́
665,morgen::ADV,завтра,неу́щы
666,bald::ADV,незабаром,псынкӏэу
667,dann::ADV,потім,нэужым
668,gestern::ADV,вчора,тыгъуа́с
669,einst::ADV,колись,зэгорэ́м
670,damals::ADV,тоді,армэ
671,damals::ADV,тоді,ащыгъум
672,danach::ADV,згодом,нэужым
673,vorher::ADV,раніше,нахьыпэм
674,zuerst::ADV,спершу,
675,zuerst::ADV,спочатку,
676,einmal::ADV,один раз,зэ
677,manchmal::ADV,іноді,
678,manchmal::ADV,інколи,
679,oft::ADV,часто,бэрэ
680,immer::ADV,завжди,ренэ́у
681,niemals::ADV,ніколи,
682,hier::ADV,тут,
683,hierhin::ADV,сюди,
684,von hier::ADV,звідси,
685,dort::ADV,там,модэ
686,dorthin::ADV,туди,модэ́
687,geradeaus::ADV,прямо,занкӏэу
688,vorwärts::ADV,вперед,ыпэкӏэ
689,rückwärts::ADV,назад,ыужыкӏэ́
690,zurück::ADV,назад,ыужыкӏэ́
691,unten::ADV,внизу,ычӏэкӏэ́
692,hinab::ADV,вниз,ычӏэгъы́
693,hinab::ADV,вниз,ычӏэкӏэ́
694,oben::ADV,вгорі,ышъхьагъы
695,hinauf::ADV,вгору,ышъхьагъыкӏэ
696,überall::ADV,скрізь,тыди́
697,überall::ADV,скрізь,тыдэкӏи́
698,nicht::ADV,не,-п
699,nicht::ADV,не,мы-
700,ein wenig::ADV,трохи,тӏэкӏу
701,ein wenig::ADV,небагато,тӏэкӏу
702,kaum::ADV,ледве,къоды́й
703,sehr::ADV,дуже,дэд
