,Concept_ID,ba,bn
64,Welle::N,тулҡын,তরঙ্গ
65,Wasser::N,һыу,জল
66,Stein::N,таш,ঢিল
67,Stein::N,таш,প্রস্তর
68,Boden::N,тупраҡ,ভূতল
69,Erde::N,балсҡ,ভূমি
70,Staub::N,туҙан,ধুলা
71,Rauch::N,төтөн,ধোঁয়া
72,Funke::N,осҡон,স্ফুলিঙ্গ
73,Feuer::N,ут,অগ্নি
74,Licht::N,яҡтылыҡ,আলো
75,Schatten::N,күләгә,ছায়া
76,Wetter::N,һауа торошо,আবহাওয়া
77,Nebel::N,төман,কুহেলিকা
78,Wolke::N,болот,মেঘ
79,Regen::N,ямғыр,বৃষ্টি
80,Schnee::N,ҡар,তুষার
81,Eis::N,боҙ,বরফ
82,Frost::N,һалҡын,তুষার
83,Kälte::N,һыуыҡ,শৈত্য
84,Hitze::N,томра,তাপ
85,Hitze::N,эҫелек,তাপ
86,Raureif::N,ҡырау,তুহিন
87,Regenbogen::N,йәйғор,রামধনু
88,Donner::N,күк күкрәү,বজ্রধ্বনি
89,Strömung::N,ағым,স্রোত
90,Tropfen::N,тамсы,ফোঁটা
91,Schaum::N,күбек,ফেনা
92,Schmutz::N,батҡаҡ,ধুলা
93,See::N,күл,হ্রদ
94,Sumpf::N,һаҙлык,জলা
95,Moor::N,һаҙ,মাঠ
96,Wiese::N,болон,তৃণভূমি
97,Wald::N,урман,বন
98,Hügel::N,түбә,পাহাড়
99,Anhöhe::N,түбә,টিলা
100,Anhöhe::N,ҡалҡыулыҡ,টিলা
101,Berg::N,тау,পর্বত
102,Gipfel::N,түбә,শীর্ষ
103,Höhle::N,мәмерйә,গুহা
104,Abhang::N,ипкен,ঢাল
105,Quelle::N,шишмә,উৎস
106,Bach::N,шишмә,ক্ষুদ্র নদী
107,Fluss::N,йылға,নদী
108,Ufer::N,яр,উপকূল
109,Küste::N,яр буйы,তীর
110,Festland::N,ҡоро ер,ভূমি
111,Meer::N,диңгез,সমুদ্র
112,Bucht::N,бухта,উপসাগর
113,Insel::N,үтрау,দ্বীপ
114,Blume::N,сәскә,ফুল
115,Gras::N,үлән,ঘাস
116,Wurzel::N,тамыр,শিকড়
117,Baum::N,ағас,গাছ
118,Stamm::N,олон,স্কন্ধ
119,Stamm::N,көбәк,স্কন্ধ
120,Rinde::N,ҡабыҡ,বল্কল
121,Ast::N,ботаҡ,শাখা
122,Zweig::N,ботаҡ,ডাল
123,Zweig::N,тармаҡ,ডাল
124,Blatt::N,япраҡ,পর্ণ
125,Birke::N,ҡайын,ভুর্জ
126,Kiefer[Baum]::N,ҡарғай,পাইন গাছ
127,Weide[Baum]::N,тал,উইলো
128,Tanne::N,шыршы,দেবদারূ গাছ
129,Horn::N,мөғөҙ,শিং
130,Feder::N,ҡауырһын,পালক
131,Fell::N,тире,রোম
132,Flügel::N,ҡанат,ডানা
133,Klaue::N,тырнаҡ,নখর
134,Kralle::N,аяҡ,নখর
135,Schwanz::N,ҡойроҡ,লেজ
136,Ei::N,йомортҡа,ডিম
137,Nest::N,оя,কুলায়
138,Bau::N,оң,ডেরা
139,Tier::N,жайуан,জন্তু
140,Tier::N,йыртҡыс,জন্তু
141,Herde::N,көтөү,ঝাঁক
142,Kuh::N,һыйыр,গোরু
143,Bulle::N,үгеҙ,বৃষ
144,Pferd::N,ат,ঘোড়া
145,Schaf::N,һарыҡ,ভেড়া
146,Schwein::N,сусҡа,শূকর
147,Hund::N,эт,কুকুর
148,Katze::N,бесәй,বেড়াল
149,Bär::N,айыу,ভল্লুক
150,Eichhörnchen::N,тейен,কাঠবিড়াল
151,Elch::N,мышы,হরিণবিশেষ
152,Fuchs::N,төлкө,পাঁতিশিয়াল
153,Hase::N,ҡуян,শশক
154,Maus::N,сысҡан,নেংটি ইঁদুর
155,Wolf::N,бүре,নেকড়ে
156,Vogel::N,ҡош,পক্ষী
157,Schwarm::N,көтөү,ঝাঁক
158,Huhn::N,тауыҡ,মোরগ
159,Hahn::N,әтәс,কুক্কুট
160,Gans::N,ҡаҙ,হংসী
161,Adler::N,бөркөт,ইগল
162,Ente::N,өйрәк,হংসী
163,Eule::N,өкө,পেচক
164,Eule::N,ябалаҡ,পেচক
165,Kranich::N,торна,সারস
166,Krähe::N,ҡарға,কাক
167,Kuckuck::N,кәкүк,কোকিল
168,Schwan::N,аҡҡош,মরাল
169,Fisch::N,балыҡ,মাছ
170,Barsch::N,алабуға,মৎন্যবিশেষ
171,Hecht::N,суртан,বানমাছ
172,Schlange[Tier]::N,йылан,সর্প
173,Wurm::N,селяүсен,কীট
174,Spinne::N,үрмәксе,মাকড়সা
175,Ameise::N,ҡырмыҫҡа,পিপীলিকা
176,Laus::N,бет,উকুন
177,Mücke::N,серәкәй,মশা
178,Fliege::N,себен,মাছি
179,Schmetterling::N,күбәләк,প্রজাপতি
180,Beere::N,еләк,বেরি
181,Apfel::N,алма,আপেল
182,Pilz::N,бәшмәк,ছত্রক
183,Zwiebel::N,һуган,পিয়াজ
184,Saat::N,орлоҡ,বীজ
185,Korn::N,иген,শস্য
186,Heu::N,бесән,খড়
187,Schale::N,ҡабыҡ,খোসা
188,Grube::N,соҡор,গর্ত
189,Falle::N,тоҙак,ফাঁদ
190,Falle::N,ҡапҡан,ফাঁদ
191,Schlinge::N,тоҙак,পাশ
192,Spur::N,әҫер,চিহ্ন
193,Asche::N,көл,ভস্ম
194,Dreck::N,батҡаҡ,ময়লা
195,Eisen::N,тимер,লোহা
196,Gold::N,алтын,স্বর্ণ
197,Silber::N,көмөш,রৌপ্য
198,Kohle::N,күмер,অঙ্গার
199,Glas::N,быяла,কাচ
200,Lehm::N,балсыҡ,মৃত্তিকা
201,Sand::N,ҡом,বালি
202,Mensch::N,кеше,নর
203,Mensch::N,кеше,মানুষ
204,Mann::N,ир,মানুষ
205,Frau::N,ҡатын,নারী
206,Kind::N,бала,বাচ্চা
207,Junge::N,малай,ছেলে
208,Mädchen::N,ҡыҙ,মেয়ে
209,Mädchen::N,ҡыҙыҡай,মেয়ে
210,Familie::N,ғаилә,পরিবার
211,Großvater::N,олатай,মাতামহ
212,Großmutter::N,әбәй,মাতামহী
213,Eltern::N,ата-әсә,মাতাপিতা
214,Vater::N,атай,পিতা
215,Mutter::N,әсә,মাতা
216,Sohn::N,ул,ছেলে
217,Tochter::N,ҡыҙ,মেয়ে
218,Bruder::N,агай,দাদা
219,Schwester::N,алай,বোন
220,Schwester::N,алай,দিদি
221,Schwester::N,һеңле,বোন
222,Schwester::N,һеңле,দিদি
223,Onkel::N,ағай,মামা
224,Tante::N,апай,মাসী
225,Ehemann::N,ир,স্বামী
226,Ehefrau::N,ҡатын,পত্নী
227,Freude::N,шатлыҡ,উল্লাস
228,Freude::N,ҡыуаныс,উল্লাস
229,Gelächter::N,көлөү,হাসি
230,Glück::N,бәхет,সুখ
231,Kummer::N,ҡайғы,দুঃখ
232,Wunsch::N,теләк,আকাঙ্ক্ষা
233,Lust::N,әүәҫлек,বাসনা
234,Geist::N,аң,আত্না
235,Geist::N,рух,আত্না
236,Gedanke::N,уй,চিন্তা
237,Gedanke::N,фекер,চিন্তা
238,Gedächtnis::N,хәтер,স্মরণশক্তি
239,Verstand::N,аҡыл,মন
240,Sinn::N,мәғәня,পদার্থ
241,Grund::N,сәбәп,কারণ
242,Wahrheit::N,дөрөҫлөк,সত্য
243,Gespräch::N,әңгәмә,কথাবার্তা
244,Märchen::N,әкиәт,রূপকথা
245,Erzählung::N,хикәйә,গল্প
246,Nachricht::N,хәбәр,তথ্য
247,Neuigkeit::N,яңылыҡ,খবরাখবর
248,Name::N,исем,নাম
249,Rätsel::N,йомаҡ,ধাঁধা
250,Rede::N,телмәр,বক্তৃতা
251,Sprache::N,тел,ভাষা
252,Sprache::N,телмәр,ভাষা
253,Stimme::N,тауыш,স্বর
254,Wort::N,һүҙ,শব্দ
255,Zeichen::N,билдә,প্রতীক
256,Ruf::N,саҡырыу,ডাক
257,Lärm::N,шаулау,হৈচৈ
258,Laut::N,тауыш,ধ্বনি
259,Ton::N,яңғырау,স্বর
260,Lied::N,йыр,গান
261,Ruhe::N,ял,শান্তি
262,Ruhe::N,тыныслыҡ,শান্তি
263,Leute::N,кешеләр,প্রজাপুঞ্জ
264,Volk::N,халҡ,জাতি
265,Arbeit::N,эш,চাকরি
266,Gast::N,ҡунаҡ,অতিথি
267,Geschenk::N,бүләк,উপহার
268,Spiel::N,уйын,খেলা
269,Gesellschaft::N,йәмғиәт,সঙ্গিগণ
270,Hilfe::N,ярҙам,সাহায্য
271,Freund::N,дуҫ,বন্ধু
272,Kamerad::N,иптәш,সঙ্গী
273,Angelegenheit::N,әш,বিষয়
274,Anzahl::N,һан,পরিমাণ
275,Art::N,төр,রকম
276,Stück::N,киҫәк,টুকরো
277,Teil::N,өлөш,অংশ
278,Hälfte::N,ярты,অর্ধেক
279,Kreis::N,түңәрәк,বৃত্ত
280,Kreuz::N,тәре,ক্রুশ
281,Linie::N,һыҙыҡ,রেখা
282,Strich::N,һыҙат,কষি
283,Abstand::N,ара,ফাঁক
284,Entfernung::N,алыҫлыҡ,ব্যবধান
285,Gegend::N,урын,ক্ষেত্র
286,Platz::N,арауыҡ,জায়গা
287,Ort::N,ерҙәр,স্থান
288,Ort::N,урындар,স্থান
289,Ort::N,эш урыны,স্থান
290,Seite::N,яҡ,পার্শ্ব
291,Mitte::N,урталыҡ,মধ্য
292,Gegenstand::N,нәмә,জিনিস
293,Sache::N,нәмә,বস্তু
294,Sache::N,әйбер,বস্তু
295,Rand::N,сит,কানা
296,Kante::N,ҡабырға,ধার
297,Kante::N,ян,ধার
298,Ecke::N,мөйөш,কোণ
299,Spitze::N,ос,ডগা
300,Ende::N,аҙаҡ,প্রান্ত
301,Loch::N,тишек,গর্ত
302,Winkel::N,мөйөш,কোণ
303,Muster::N,биҙәк,নমুন্
304,Größe::N,ҙурлыҡ,আয়তন
305,Länge::N,оҙонлоҡ,দৈর্ঘ্য
306,Höhe::N,бейеклек,উচ্চতা
307,Gewicht::N,үлсәү,ওজন
308,Menge::N,һан,পরিমাণ
309,Haufen::N,өйөм,পুঞ্জ
310,Reihe::N,рәт,শ্রেণী
311,Boot::N,кәмә,নৌকা
312,Ruder::N,ишкәк,দাঁড়
313,Schlitten::N,сана,স্নেজ্-গাড়ি
314,Ski::N,саңгы,শী
315,Lagerfeuer::N,костер,অগ্নি
316,Last::N,ауырлыҡ,বোঝা
317,Gang::N,барыу,হণ্টন
318,Schritt::N,аҙым,পদ
319,Norden::N,төньяҡ,উত্তরদিক্
320,Süden::N,көньяҡ,দক্ষিণদিক
321,Westen::N,көнбайыш,পশ্চিমদিক্
322,Osten::N,көнсығыш,পূর্বদিক
323,Holz::N,үағас,কাঠ
324,Brett::N,таҡта,তক্তা
325,Platte::N,плита,ফলক
326,Stütze::N,терәк,নাগদণ্ড
327,Stange::N,кәртә,দণ্ড
328,Stock::N,таяҡ,ছড়ি
329,Stab::N,ҡолға,যষ্টি
330,Rohr::N,торба,নল
331,Haus::N,өй,ঘর
332,Haus::N,йорт,ঘর
333,Heim::N,өй,বাসা
334,Ofen::N,мейес,স্টোভ্
335,Fußboden::N,енес,গহতল
336,Tisch::N,өҫтәл,মেজ
337,Tisch::N,өҫтәл,টেবিল
338,Stuhl::N,ултырғыс,চেয়ার
339,Stuhl::N,ултырғыс,কেদারা
340,Wiege::N,бишек,দোলনা
341,Bett::N,карауат,শয্যা
342,Regal::N,кәштә,তাক
343,Kiste::N,йәшинк,বাক্স
344,Fenster::N,тәҙрә,জানালা
345,Tür::N,ишек,দ্বার
346,Tor::N,ҡапҡа,দ্বার
347,Zaun::N,ҡойма,বেড়া
348,Dach::N,түбә,ছাদ
349,Dach::N,ҡыйыҡ,ছাদ
350,Leiter::N,баҫҡыс,মই
351,Besen::N,һепертке,গুল্মবিশেষ
352,Spaten::N,көрәк,কোদাল
353,Schaufel::N,көрәк,বেলচা
354,Gabel::N,сәнске,কাঁটা
355,Löffel::N,ҡалаҡ,চামচ
356,Messer::N,бысаҡ,ছুরি
357,Nagel::N,сөй,পেরেক
358,Netz::N,ау,জাল
359,Haken::N,ыргаҡ,কাচি
360,Griff::N,тотҡа,হাতল
361,Schloss::N,йоҙаҡ,তালা
362,Bild::N,картина,ছবি
363,Bild::N,картина,চিত্র
364,Figur::N,һын,আকার
365,Puppe::N,ҡурсаҡ,পুতুল
366,Beutel::N,тоҡ,বটুয়া
367,Bündel::N,төргәк,আঁটি
368,Tasche::N,сумка,থলি
369,Eimer::N,биҙрә,বাল্তি
370,Deckel::N,ҡапҡас,আবরণ
371,Geschirr::N,һауыт-һаба,থালা-বাসন
372,Sack::N,тоҡ,বস্তা
373,Tasse::N,сынаяҡ,কাপ
374,Topf::N,кәстрүл,পাত্র
375,Kessel::N,ҡаҙан,কেটলি
376,Essen::N,ашау,আহার
377,Nahrung::N,аҙыҡ,খাদ্য
378,Speise::N,аш,খাদ্য
379,Fleisch::N,ит,মাংস
380,Getreide::N,иген,শস্য
381,Getreide::N,ашлыҡ,শস্য
382,Brei::N,бутҡа,মণ্ড
383,Brot::N,икмәк,রুটি
384,Scheibe::N,телем,ফালি
385,Fett::N,май,মেদ
386,Butter::N,май,মাখন
387,Öl::N,май буяуы,তৈল
388,Salz::N,тоҙ,নুন
389,Suppe::N,һурпа,শুরুয়া
390,Honig::N,бал,মধু
391,Milch::N,һөт,দুধ
392,Tee::N,сәй,চা
393,Leder::N,күн,পাকা চামড়া
394,Wolle::N,йөн,পশম
395,Stoff::N,туҡыма,বস্ত্র
396,Nadel::N,энә,সুচ
397,Faden::N,еп,সূত্র
398,Knopf::N,төймә,বোতাম
399,Knoten::N,төйөн,গিঁট
400,Farbe::N,буяу,রং
401,Kleidung::N,кейем,কাপড়
402,Hemd::N,күлдәк,শার্ট
403,Kragen::N,яға,গলবন্ধ
404,Ärmel::N,ең,আস্তিন্
405,Hose::N,салбар,ট্রাউজার
406,Gürtel::N,ҡайыш,কটিবন্ধ
407,Mütze::N,бүрк,টুপি
408,Schuh::N,туфли,জুতো
409,Stiefel::N,итек,বুট
410,Ring::N,йөҙөк,আংটি
411,Ring::N,балдаҡ,আংটি
412,Band::N,таҫма,ফিতা
413,Kamm::N,тараҡ,চিরুনি
414,Spiegel::N,көзгө,আয়না
415,Riemen::N,ҡайыш,চাবুক
416,Schnur::N,бау,দড়ি
417,Leine::N,бау,শিকল
418,Decke::N,одеяд,কম্বল
419,Kissen::N,мендәр,উপাধান
420,Tuch::N,яулыҡ,বস্ত্র
421,Handtuch::N,таҫтамал,তোয়ালে
422,Kraft::N,көс,জোর
423,Stärke::N,көс,শক্তি
424,Gesundheit::N,һаулыҡ,স্বাস্থ্য
425,Krankheit::N,сир,অসুখ
426,Krankheit::N,сир,ব্যামো
427,Krankheit::N,ауырыу,অসুখ
428,Krankheit::N,ауырыу,ব্যামো
429,Schmerz::N,һыҙлау,যন্ত্রণা
430,Schmerz::N,әрнеү,যন্ত্রণা
431,Wunde::N,йәрәхәт,ক্ষত
432,Fieber::N,тапма,জ্বর
433,Fieber::N,биҙгәк,জ্বর
434,Arznei::N,дарыу,ঔষধ
435,Brücke::N,күпер,সেতু
436,Brunnen::N,ҡоҙоҡ,কূপ
437,Weide::N,көтөүлек,পশুচারণভূমি
438,Pfad::N,һуҡмаҡ,পথ
439,Weg::N,юл,পথ
440,Straße::N,урам,রাস্তা
441,Dorf::N,ауыл,গ্রাম
442,Stadt::N,ҡала,শহর
443,Brief::N,хат,চিঠি
444,Buch::N,китап,বই
445,Buch::N,кенәгә,বই
446,Buchstabe::N,хәреф,অক্ষর
447,Zeitung::N,гәзит,সংবাদপত্র
448,Leben::N,йәшәү,জীবন
449,Tod::N,үлем,মৃত্যু
450,Grab::N,ҡәбер,কবর
451,Kirche::N,сиркәү,গির্জা
452,Sünde::N,гөнаһ,পাপ
453,Gott::N,алла,দেবতা
454,Gott::N,хоҙай,দেবতা
455,Arbeiter::N,эшсе,শ্রমিক
456,Chef::N,башлыҡ,নেতা
457,Meister::N,оҫта,ব্যক্তি
458,Arzt::N,врач,চিকিৎসক
459,Lehrer::N,уҡытыусы,অধ্যাপক
460,Geld::N,аҡса,মুদ্রা
461,Geld::N,аҡса,টাকাপয়সা
462,Geschäft::N,эш,ব্যস্ততা
463,Laden::N,магазин,দোকান
464,Preis::N,хаҡ,মূল্য
465,Ware::N,тауар,পণ্যদ্রব্য
466,Nutzen::N,файҙа,সুবিধা
467,Reichtum::N,байлыҡ,ধনদৌলত
468,Welt::N,донъя,জগৎ
469,Land::N,ил,খেত
470,Staat::N,дәүләт,রাষ্ট্র
471,König::N,король,রাজা
472,Macht::N,власть,প্রভাব
473,Grenze::N,сик,সীমা
474,Krieg::N,һуғыш,যুদ্ধ
475,Feind::N,йылан,শত্রু
476,Gewalt::N,көслөк,জোর
477,Kampf::N,көрәш,লড়াই
478,Bogen[Waffe]::N,йәйә,ধনুক
479,Pfeil::N,уҡ,বাণ
480,Gewehr::N,мылтыҡ,বন্দুক
481,Fehler::N,хата,ভুল
482,Lüge::N,ялған,মিথ্যা
483,Schaden::N,зыян,ক্ষতি
484,Schaden::N,зарар,ক্ষতি
485,Unglück::N,ҡаза,দুর্ভাগ্য
486,Schuld::N,ғәйеп,অপরাধ
487,Alter::N,йәш,আয়ু
488,Schluss::N,һуң,শেষ
489,Schluss::N,аҙаҡ,শেষ
490,Zeit::N,мәл,সময়
491,Zeit::N,заман,সময়
492,Tag::N,көн,দিন
493,Morgen::N,иртә,সকাল
494,Morgen::N,иртәнсәк,সকাল
495,Mittag::N,төш,মধ্যাহু
496,Abend::N,кис,সন্ধ্যা
497,Nacht::N,төн,রাত্রি
498,Woche::N,аҙна,সপ্তাহ
499,Monat::N,ай,মাস
500,Jahr::N,йыл,সৌরবর্ষ
501,Frühling::N,яҙ,বসন্তকাল
502,Sommer::N,йәй,গ্রীষ্মকাল
503,Herbst::N,көз,শরংঋতু
504,Winter::N,ҡыш,শীতকাল
505,Januar::N,ғинуар,জানুয়ারী
506,Februar::N,февраль,ফেব্রুয়ারী
507,März::N,март,মার্চ
508,April::N,апрель,এপ্রিল
509,Mai::N,май,মে
510,Juni::N,июнь,জুন
511,Juli::N,июль,জুলাই
512,August::N,август,অগাস্ট
513,September::N,сентябрь,সেপ্টেম্বর
514,Oktober::N,октябрь,অক্টোবর
515,November::N,ноябрь,নভেম্বর
516,Dezember::N,декабрь,ডিসেম্বর
517,Montag::N,дүшәмбе,সোমবার
518,Dienstag::N,шишәмбе,মঙ্গলবার
519,Mittwoch::N,шаршамбы,বুধবার
520,Donnerstag::N,кесаҙна,বৃহম্পতিবার
521,Freitag::N,йома,শুক্রবার
522,Samstag::N,шәмбе,শনিবার
523,Sonntag::N,йәкшәмбе,রবিবার
524,groß::A,ҙур,বৃহৎ
525,klein::A,бәләкәс,ছোট
526,lang::A,оҙон,দীর্ঘ
527,kurz::A,ҡыҫҡа,খর্ব
528,kurz::A,ҡыҫҡа,হ্রস্ব
529,breit::A,киң,চওড়া
530,schmal::A,тар,সরু
531,dicht::A,йыш,ঘন
532,dicht::A,ҡуйы,ঘন
533,dick[Gegenstand]::A,ҡалын,পুরু
534,dünn::A,йоҡа,কৃশ
535,dünn::A,нәҙек,কৃশ
536,fein::A,нескә,সূক্ষ্ম
537,fest::A,ныҡ,দৃঢ়
538,flach::A,яҫы,সমতল
539,flach::A,ялпаҡ,সমতল
540,glatt::A,шыма,মসৃণ
541,hart::A,ҡаты,শক্ত
542,weich::A,йомшаҡ,নরম
543,rund::A,түңәрәк,গোলাকার
544,spitz::A,осло түбәле,তীক্ষ্ন
545,scharf::A,үткер,শাণিত
546,stumpf::A,утмәҫ,ভোঁতা
547,schwer::A,ауыр,ভারী
548,schön::A,матур,সুন্দর
549,heiß::A,эҫе,গরম
550,warm::A,йылы,ঈষদুষ্ণ
551,kalt::A,һыуыҡ,ঠাণ্ডা
552,kühl::A,һалҡынса,শীতল
553,frisch::A,һалҡынса,তাজা
554,feucht::A,еүеш,ভিজা
555,feucht::A,дымлы,ভিজা
556,nass::A,еүеш,ভিজা
557,trocken::A,кипкән,শুষ্ক
558,voll::A,тулы,পূর্ণ
559,leer::A,буш,খালি
560,offen::A,асыҡ,খোলা
561,geschlossen::A,ябыҡ,বন্ধ
562,sauber::A,таҙа,নির্মল
563,schmutzig::A,бысраҡ,নোংরা
564,roh::A,сей,কাঁচা
565,reif::A,өлгөрғән,পাকা
566,lecker::A,тәмле,সুস্বাদ
567,süß::A,тямле,মিষ্ট
568,süß::A,тәм-том,মিষ্ট
569,bitter::A,әсе,তিক্ত
570,sauer::A,әсе,টক
571,hell::A,яҡты,উজ্জ্বল
572,dunkel::A,ҡараңғы,অন্ধকারময়
573,schwarz::A,ҡара,কালো
574,weiß::A,аҡ,সাদা
575,rot::A,матур,লাল
576,rot::A,һылыу,লাল
577,rot::A,сибәр,লাল
578,gelb::A,һары,হলদে
579,blau::A,күк,নীল
580,grün::A,йәшел,সবুজ
581,grau::A,буҙ,ছাই-রঙা
582,bunt::A,сыбар,রঙিন
583,bunt::A,ала-ҡола,রঙিন
584,billig::A,арзан,সস্তা
585,teuer::A,ҡыйбатлы,আক্রা
586,wertvoll::A,ҡиммәтле,মহার্ঘ
587,blind::A,һуҡыр,কানা
588,taub::A,һаңғырау,বধির
589,kräftig::A,көслө,বিশাল
590,kräftig::A,ҡеүәтле,বিশাল
591,stark::A,көслө,শক্তিশালী
592,stark::A,ҡеүәтле,শক্তিশালী
593,schwach::A,көсһөҙ,দুর্বল
594,fett::A,һимеҙ,মোটা
595,schlank::A,зифа,কৃশ
596,hübsch::A,матур,সুন্দর
597,böse::A,асыулы,খারাপ
598,dumm::A,иҫәр,মূর্খ
599,faul::A,иренсәк,শ্রমবিমুখ
600,fleißig::A,тырыш,পরিশ্রমী
601,geizig::A,һаран,ব্যয়কুণ্ঠ
602,klug::A,аҡыллы,দক্ষ
603,geschickt::A,оҫта,পটু
604,lieb::A,яғымлы,প্রেয়
605,lustig::A,күңелле,প্রফুল্ল
606,sanft::A,йыуаш,নম্র
607,hungrig::A,ас,ক্ষুধার্ত
608,krank::A,сирле,অসুস্থ
609,krank::A,ауырыу,অসুস্থ
610,nackt::A,яланғас,উলঙ্গ
611,traurig::A,яманһыу,দুঃখিত
612,lebendig::A,тере,জীবিত
613,lebendig::A,йәнле,জীবিত
614,gut::A,яҡшы,ভালো
615,schlecht::A,хөрт,মন্দ
616,schlecht::A,алама,মন্দ
617,richtig::A,дөрөҫ,ঠিক
618,schlimm::A,хөрт,কদর্য
619,schlimm::A,алама,কদর্য
620,wahr::A,дөрөҫ,বাস্তব
621,alt::A,иҫке,পুরাতন
622,alt::A,боронғо,পুরাতন
623,neu::A,яңы,নব
624,neu::A,яңы,নূতন
625,ehemalig::A,элекке,পূর্বকালীন
626,alt[Lebewesen]::A,ҡарт,বৃদ্ধ
627,jung::A,йәш,তরুণ
628,arm::A,фәҡир,ক্ষুদ্র
629,reich::A,бай,ধনবান্
630,bekannt::A,таныш,সুপরিচিত
631,berühmt::A,атаҡлы,বিখ্যাত
632,berühmt::A,данлыҡлы,বিখ্যাত
633,fremd::A,ят,বিদেশি
634,fremd::A,сит,বিদেশি
635,verschieden::A,төрлө,বিসদৃশ
636,nah::A,яҡын,নিকটবতী
637,fern::A,алыҫ,দুরবতী
638,fern::A,йыраҡ,দুরবতী
639,linker::A,һул,বাম
640,rechter::A,уң,ডান
641,rechter::A,уң,ডাইন
642,anderer::A,бутән,অন্যতর
643,erster::A,тәүге,প্রথম
644,zweiter::A,икенсе,দ্বিতীয়
645,dritter::A,өсөнсө,তৃতীয়
646,letzter::A,һуңғы,সর্বশেষ
647,allein::ADV,бер үҙе,একক
648,allein::ADV,яңғыҙ,একক
649,auf einmal::ADV,бер юлы,জলদি
650,zusammen::ADV,бергә,একসঙ্গে
651,lange::ADV,оҙаҡ,লম্বা
652,plötzlich::ADV,ҡапыл,হঠাৎ
653,sofort::ADV,шунда уҡ,মুহ্ণর্তমধ্যে
654,später::ADV,һуңыраҡ,পশ্চাতে
655,jetzt::ADV,хәҙер,এখন
656,heute::ADV,бөгөн,আজ
657,morgen::ADV,иртәгә,আগামিকাল
658,bald::ADV,тиҙҙән,অস্পকালমধ্যে
659,dann::ADV,һуңынан,তখন
660,gestern::ADV,кисә,গতকাল
661,einst::ADV,ҡасандыр,একবার মাত্র
662,einst::ADV,бер баҡыт,একবার মাত্র
663,damals::ADV,ул саҡта,তখন
664,danach::ADV,һуңынан,পরে
665,vorher::ADV,элек,আগে
666,zuerst::ADV,башта,আগে
667,einmal::ADV,бер,একবার
668,manchmal::ADV,ҡайһы берҙә,কখনও কখনও
669,oft::ADV,йыш,ঘনঘন
670,immer::ADV,һәр ҡасан,সর্বদা
671,niemals::ADV,бер ҡасан да,কখলও নহে
672,niemals::ADV,бер ваҡытта ла,কখলও নহে
673,hier::ADV,бында,এখানে
674,hierhin::ADV,бында,এখানে
675,von hier::ADV,бынан,ত্রই স্তান হইতে
