,Concept_ID,ba,ml
266,Leute::N,кешеләр,ജനങ്ങൾ
267,Volk::N,халҡ,രാഷ്ടം
268,Arbeit::N,эш,ജോലി
269,Gast::N,ҡунаҡ,അതിലി
270,Geschenk::N,бүләк,സമ്മാനം
271,Spiel::N,уйын,കളി
272,Gesellschaft::N,йәмғиәт,കൂട്ടായ്മ
273,Hilfe::N,ярҙам,സഹായം
274,Freund::N,дуҫ,സുഹൃത്ത്
275,Kamerad::N,иптәш,കൂട്ടാളി
276,Angelegenheit::N,әш,കാര്യം
277,Anzahl::N,һан,എണ്ണം
278,Art::N,төр,തരം
279,Stück::N,киҫәк,കഷണം
280,Teil::N,өлөш,ഭാഗം
281,Hälfte::N,ярты,പകുതി
282,Kreis::N,түңәрәк,വൃത്തം
283,Kreuz::N,тәре,കുരിശടയാളം
284,Linie::N,һыҙыҡ,വര
285,Linie::N,һыҙыҡ,രേഖ
286,Strich::N,һыҙат,പക്ഷാഘാതം
287,Abstand::N,ара,വിടവ്
288,Entfernung::N,алыҫлыҡ,അകലം
289,Gegend::N,урын,പ്രദേശം
290,Platz::N,арауыҡ,ഇടം
291,Ort::N,ерҙәр,സ്ഥലം
292,Ort::N,урындар,സ്ഥലം
293,Ort::N,эш урыны,സ്ഥലം
294,Seite::N,яҡ,വശം
295,Mitte::N,урталыҡ,മധ്യസ്ഥാനം
296,Gegenstand::N,нәмә,സാധനം
297,Sache::N,нәмә,വസ്തു
298,Sache::N,әйбер,വസ്തു
299,Rand::N,сит,തൊങ്ങൽ
300,Kante::N,ҡабырға,അറ്റം
301,Kante::N,ян,അറ്റം
302,Ecke::N,мөйөш,മൂല
303,Spitze::N,ос,അഗ്രം
304,Ende::N,аҙаҡ,അവസാനം
305,Loch::N,тишек,ദ്വാരം
306,Winkel::N,мөйөш,കോൺ
307,Muster::N,биҙәк,ക്രമം
308,Größe::N,ҙурлыҡ,വലുപ്പം
309,Länge::N,оҙонлоҡ,നീളം
310,Höhe::N,бейеклек,ഉയരം
311,Gewicht::N,үлсәү,കട്ടി
312,Menge::N,һан,അളവ്
313,Haufen::N,өйөм,കൂമ്പാരം
314,Reihe::N,рәт,വരി
315,Boot::N,кәмә,ബോട്ട്
316,Ruder::N,ишкәк,പങ്കായം
317,Schlitten::N,сана,ഉരുളില്ലാവണ്ടി
318,Ski::N,саңгы,ഹിമപാദുകം
319,Lagerfeuer::N,костер,തീ
320,Last::N,ауырлыҡ,ഭാരം
321,Gang::N,барыу,നടത്തം
322,Schritt::N,аҙым,ചുവട്
323,Norden::N,төньяҡ,വടക്ക്
324,Süden::N,көньяҡ,തെക്ക്
325,Westen::N,көнбайыш,പടിഞ്ഞാറ്
326,Osten::N,көнсығыш,കിഴക്ക്
327,Holz::N,үағас,തടി
328,Brett::N,таҡта,ബോർഡ്
329,Platte::N,плита,തകിട്
330,Stütze::N,терәк,താങ്ങ്
331,Stange::N,кәртә,കമ്പ്
332,Stock::N,таяҡ,വടി
333,Stab::N,ҡолға,കുറുവടി
334,Rohr::N,торба,കുഴൽ
335,Haus::N,өй,വീട്
336,Haus::N,йорт,വീട്
337,Heim::N,өй,വീട്
338,Ofen::N,мейес,സ്റ്റൌ
339,Fußboden::N,енес,തറ
340,Tisch::N,өҫтәл,മേശ
341,Stuhl::N,ултырғыс,കസേര
342,Wiege::N,бишек,തൊട്ടിൽ
343,Bett::N,карауат,കിടക്ക
344,Regal::N,кәштә,ഷെൽഫ്
345,Kiste::N,йәшинк,പെട്ടി
346,Fenster::N,тәҙрә,ജനൽ
347,Tür::N,ишек,വാതിൽ
348,Tor::N,ҡапҡа,കവാടം
349,Zaun::N,ҡойма,വേലി
350,Dach::N,түбә,മേൽക്കുര
351,Dach::N,ҡыйыҡ,മേൽക്കുര
352,Leiter::N,баҫҡыс,ഏണി
353,Besen::N,һепертке,ചൂല്
354,Spaten::N,көрәк,തൂമ്പ
355,Schaufel::N,көрәк,തൂമ്പ
356,Gabel::N,сәнске,മുൾക്കത്തി
357,Löffel::N,ҡалаҡ,സ്പൂൺ
358,Messer::N,бысаҡ,കത്തി
359,Nagel::N,сөй,ആണി
360,Netz::N,ау,വല
361,Haken::N,ыргаҡ,കൊളുത്ത്
362,Griff::N,тотҡа,കൈപ്പിടി
363,Schloss::N,йоҙаҡ,പൂട്ട്
364,Bild::N,картина,ചിത്രം
365,Figur::N,һын,കണക്ക്
366,Puppe::N,ҡурсаҡ,പാവ
367,Beutel::N,тоҡ,ബാഗ്
368,Bündel::N,төргәк,കെട്ട്
369,Tasche::N,сумка,ബാഗ്
370,Eimer::N,биҙрә,ബക്കറ്റ്
371,Deckel::N,ҡапҡас,ഉറ
372,Geschirr::N,һауыт-һаба,പിഞ്ഞാണം
373,Sack::N,тоҡ,ചാക്ക്
374,Tasse::N,сынаяҡ,കപ്പ്
375,Topf::N,кәстрүл,പാത്രം
376,Kessel::N,ҡаҙан,കെറ്റ്ല്
377,Essen::N,ашау,ആഹാരസമയം
378,Nahrung::N,аҙыҡ,ഭക്ഷണം
379,Speise::N,аш,ഡിഷ്
