,Concept_ID,ml,he
210,Großmutter::N,അമ്മുമ്മ,סבתא
211,Eltern::N,മാതാപിതാക്കള്,הורים
212,Vater::N,അച്ഛൻ,אב
213,Mutter::N,അമ്മ,אם
214,Sohn::N,മകൻ,בן
215,Tochter::N,മകൾ,בת
216,Bruder::N,ചേട്ടൻ,אח
217,Bruder::N,അനിയൻ,אח
218,Schwester::N,ചേച്ചി,אחות
219,Schwester::N,അനിയത്തി,אחות
220,Onkel::N,അമ്മാവൻ,דוד
221,Tante::N,മാമി,דודה
222,Ehemann::N,ഭർത്താവ്,איש
223,Ehemann::N,ഭർത്താവ്,בעל
224,Ehefrau::N,ഭാര്യ,אשה
225,Freude::N,ആഹ്ലാദം,שמחה
226,Gelächter::N,ചിരിയുടെ ശബ്ദം,צחוק
227,Glück::N,സന്തോഷം,אשר
228,Glück::N,സന്തുഷ്ടി,אשר
229,Kummer::N,ശോകം,יגון
230,Kummer::N,ശോകം,עגמה
231,Wunsch::N,ആഗ്രഹം,אחול
232,Wunsch::N,ആഗ്രഹം,משאלה
233,Lust::N,ആഗ്രഹം,חשק
234,Lust::N,ആഗ്രഹം,תשוקה
235,Geist::N,ചുറുചുറുക്ക്,רוח
236,Gedanke::N,ചിന്ത,מחשבה
237,Gedächtnis::N,ഓർമ്മശക്തി,זכרון
238,Verstand::N,മനസ്സ്,שכל
239,Sinn::N,അർത്ഥം,מובן
240,Sinn::N,അർത്ഥം,משמעות
241,Grund::N,കാരണം,סבה
242,Wahrheit::N,സത്യം,אמת
243,Gespräch::N,സല്ലാപം,דיון
244,Märchen::N,യക്ഷിക്കഥ,אגדה
245,Erzählung::N,കഥ,ספור
246,Nachricht::N,സന്ദേശം,ידיעה
247,Neuigkeit::N,വാർത്ത,חדשה
248,Name::N,പേര്,שם
249,Rätsel::N,പ്രഹേളിക,תעלומה
250,Rede::N,സംസാരം,נאום
251,Sprache::N,ഭാഷ,לשון
252,Stimme::N,സ്വരം,קול
253,Wort::N,വാക്ക്,מלה
254,Zeichen::N,സംജ്ഞ,סימן
255,Ruf::N,വിളി,קריאה
256,Lärm::N,ആരവം,רעש
257,Laut::N,ശബ്ദം,הגה
258,Ton::N,സ്വരഭേദം,צליל
259,Lied::N,പാട്ട്,שיר
260,Ruhe::N,നിശ്ചലത,שלוה
261,Leute::N,ജനങ്ങൾ,אנשים
262,Volk::N,രാഷ്ടം,עם
263,Arbeit::N,ജോലി,עבודה
264,Gast::N,അതിലി,אורח
265,Geschenk::N,സമ്മാനം,מתנה
266,Spiel::N,കളി,משחק
267,Gesellschaft::N,കൂട്ടായ്മ,חברה
268,Hilfe::N,സഹായം,עזרה
269,Freund::N,സുഹൃത്ത്,חבר
270,Freund::N,സുഹൃത്ത്,ידיד
271,Kamerad::N,കൂട്ടാളി,רע
272,Angelegenheit::N,കാര്യം,ענין
273,Anzahl::N,എണ്ണം,מספר
274,Art::N,തരം,סוג
275,Stück::N,കഷണം,חתיכה
276,Teil::N,ഭാഗം,פרק
277,Hälfte::N,പകുതി,חצי
278,Kreis::N,വൃത്തം,מעגל
279,Kreuz::N,കുരിശടയാളം,צלב
280,Linie::N,വര,קו
281,Linie::N,രേഖ,קו
282,Strich::N,പക്ഷാഘാതം,קו קצר
283,Abstand::N,വിടവ്,מרחק
284,Entfernung::N,അകലം,מרחק
285,Gegend::N,പ്രദേശം,נוף
286,Platz::N,ഇടം,שטח
287,Ort::N,സ്ഥലം,אתר
288,Ort::N,സ്ഥലം,מקום
289,Seite::N,വശം,צד
290,Mitte::N,മധ്യസ്ഥാനം,אמצע
291,Gegenstand::N,സാധനം,אוביקט
292,Sache::N,വസ്തു,דבר
293,Rand::N,തൊങ്ങൽ,פרור
294,Kante::N,അറ്റം,קצה
295,Ecke::N,മൂല,פנה
296,Spitze::N,അഗ്രം,קצה
297,Ende::N,അവസാനം,סוף
298,Loch::N,ദ്വാരം,חר
299,Winkel::N,കോൺ,פנה
300,Muster::N,ക്രമം,תבנית
301,Größe::N,വലുപ്പം,גדל
302,Länge::N,നീളം,ארך
303,Höhe::N,ഉയരം,קומה
304,Höhe::N,ഉയരം,גבה
305,Gewicht::N,കട്ടി,משקל
306,Menge::N,അളവ്,כמות
307,Haufen::N,കൂമ്പാരം,ערמה
308,Reihe::N,വരി,רצף
309,Boot::N,ബോട്ട്,סירה
310,Ruder::N,പങ്കായം,משוט
311,Schlitten::N,ഉരുളില്ലാവണ്ടി,מזחלת
312,Ski::N,ഹിമപാദുകം,מגלשים
313,Lagerfeuer::N,തീ,מדורה
314,Last::N,ഭാരം,משא
315,Gang::N,നടത്തം,הליכה
316,Schritt::N,ചുവട്,צעד
317,Norden::N,വടക്ക്,צפון
318,Süden::N,തെക്ക്,דרום
319,Westen::N,പടിഞ്ഞാറ്,מערב
320,Osten::N,കിഴക്ക്,מזרח
321,Holz::N,തടി,עץ
322,Brett::N,ബോർഡ്,קרש
323,Platte::N,തകിട്,לוח
324,Stütze::N,താങ്ങ്,משען
325,Stange::N,കമ്പ്,מוט
326,Stock::N,വടി,מקל
327,Stab::N,കുറുവടി,מוט
328,Rohr::N,കുഴൽ,צנור
329,Haus::N,വീട്,בית
330,Heim::N,വീട്,בית
331,Ofen::N,സ്റ്റൌ,תנור
332,Fußboden::N,തറ,רצפה
333,Tisch::N,മേശ,שלחן
334,Stuhl::N,കസേര,כסא
335,Wiege::N,തൊട്ടിൽ,ערש
336,Bett::N,കിടക്ക,מטה
337,Regal::N,ഷെൽഫ്,מדף
338,Kiste::N,പെട്ടി,תבה
339,Kiste::N,പെട്ടി,ארגז
340,Fenster::N,ജനൽ,חלון
341,Tür::N,വാതിൽ,דלת
342,Tor::N,കവാടം,שער
343,Zaun::N,വേലി,גדר
344,Dach::N,മേൽക്കുര,גג
345,Leiter::N,ഏണി,סלם
346,Besen::N,ചൂല്,מטאטא
347,Spaten::N,തൂമ്പ,את
348,Schaufel::N,തൂമ്പ,את
349,Gabel::N,മുൾക്കത്തി,מזלג
350,Löffel::N,സ്പൂൺ,כף
351,Messer::N,കത്തി,סכין
352,Nagel::N,ആണി,מסמר
353,Netz::N,വല,רשת
354,Haken::N,കൊളുത്ത്,וו
355,Haken::N,കൊളുത്ത്,קרס
356,Griff::N,കൈപ്പിടി,ידית
357,Schloss::N,പൂട്ട്,מנעול
358,Bild::N,ചിത്രം,תמונה
359,Figur::N,കണക്ക്,פסל
360,Puppe::N,പാവ,בבה
361,Beutel::N,ബാഗ്,שק
362,Bündel::N,കെട്ട്,צרור
363,Tasche::N,ബാഗ്,שקית
364,Eimer::N,ബക്കറ്റ്,דלי
365,Deckel::N,ഉറ,מכסה
366,Geschirr::N,പിഞ്ഞാണം,כלים
367,Sack::N,ചാക്ക്,שק
368,Tasse::N,കപ്പ്,ספל
369,Topf::N,പാത്രം,סיר
370,Kessel::N,കെറ്റ്ല്,קנקן
371,Essen::N,ആഹാരസമയം,אכל
372,Essen::N,ആഹാരസമയം,ארוחה
373,Nahrung::N,ഭക്ഷണം,הזנה
374,Nahrung::N,ഭക്ഷണം,תזונה
375,Speise::N,ഡിഷ്,מאכל
376,Speise::N,ഡിഷ്,ארוחה
377,Fleisch::N,മാംസം,בשר
378,Getreide::N,ചോളം,דגן
379,Brei::N,കഞ്ഞി,מחית
380,Brot::N,റോട്ടി,לחם
381,Scheibe::N,തുണ്ട്,עגול
382,Scheibe::N,തുണ്ട്,פרוסה
383,Fett::N,കൊഴുപ്പ്,שמן
384,Butter::N,വെണ്ണ,חמאה
385,Öl::N,എണ്ണ,שמן
386,Salz::N,ഉപ്പ്,מלח
387,Suppe::N,സൂപ്പ്,מרק
388,Honig::N,തേൻ,דבש
389,Milch::N,പാൽ,חלב
390,Tee::N,ചായ,תה
391,Leder::N,തുകൽ,עור
392,Wolle::N,കമ്പിളി,צמר
393,Stoff::N,തുണി,בד
394,Stoff::N,തുണി,אריג
395,Nadel::N,സൂചി,מחט
396,Faden::N,നൂല്,חוט
397,Knopf::N,ബട്ടൺ,כפתור
398,Knoten::N,കുരുക്ക്,קשר
399,Farbe::N,പെയിൻറ്,צבע
400,Kleidung::N,വസ്ത്രങ്ങൾ,בגדים
401,Hemd::N,ഷർട്ട്,חלצה
402,Kragen::N,കുപ്പായക്കഴുത്ത്,צוארון
403,Ärmel::N,കുപ്പായക്കൈ,שרוול
404,Hose::N,ട്രൌസർ,מכנסים
405,Gürtel::N,ബെൽറ്റ്,חגורה
406,Mütze::N,തൊപ്പി,כובע
407,Schuh::N,ഷൂ,נעל
408,Stiefel::N,ബൂട്ട്,מגף
409,Ring::N,മോതിരം,טבעת
410,Band::N,റിബൺ,סרט
411,Kamm::N,ചീപ്പ്,מסרק
412,Spiegel::N,കണ്ണാടി,מראה
413,Riemen::N,സ്ട്രാപ്പ്,רצועה
414,Schnur::N,ചരട്,חבל
415,Leine::N,കെട്ടാനുള്ള തോൽവാർ,מושכות
416,Decke::N,പുതപ്പ്,שמיכה
417,Kissen::N,തലയിണ,כרית
418,Tuch::N,സ്കാർഫ്,צעיף
419,Handtuch::N,തോർത്ത്,מגבת
420,Kraft::N,ശക്തി,כוח
421,Stärke::N,ശക്തി,און
422,Gesundheit::N,ആരോഗ്യം,בריאות
423,Krankheit::N,അസുഖം,מחלה
424,Schmerz::N,വേദന,כאב
425,Wunde::N,മുറിവ്,פציעה
426,Fieber::N,പനി,חם
427,Arznei::N,മരുന്ന്,תרופה
428,Brücke::N,പാലം,גשר
429,Brunnen::N,കിണർ,באר
430,Weide::N,മേച്ചൽ,אחו
431,Weide::N,മേച്ചൽ,מרעה
432,Pfad::N,വഴി,שביל
433,Pfad::N,വഴി,מדרכה
434,Weg::N,വഴി,דרך
435,Straße::N,റോഡ്,כביש
436,Dorf::N,ഗ്രാമം,כפר
437,Stadt::N,നഗരം,עיר
438,Brief::N,കത്ത്,מכתב
439,Buch::N,പുസ്തകം,ספר
440,Buchstabe::N,അക്ഷരം,אות
441,Zeitung::N,വർത്തമാനപത്രം,עתון
442,Leben::N,ജീവൻ,חיים
443,Tod::N,മരണം,מות
444,Grab::N,ശവക്കുഴി,קבר
445,Kirche::N,പള്ളി,כנסיה
446,Sünde::N,പാപം,חטא
447,Gott::N,ദൈവം,אל
448,Arbeiter::N,ജോലിക്കാരൻ,פועל
449,Chef::N,മേധാവി,ראש
450,Chef::N,മേധാവി,מנהל
451,Meister::N,യജമാനൻ,ממחה
452,Arzt::N,ഡോക്ടർ,רופא
453,Lehrer::N,അധ്യാപകൻ,מורה
454,Geld::N,പണം,כסף
455,Geschäft::N,ബിസിനസ്,עסקה
456,Laden::N,കട,חנות
457,Preis::N,വില,מחיר
458,Ware::N,ചരക്ക്,סחורה
459,Nutzen::N,ലാഭം,תועלת
460,Reichtum::N,ധനം,עשר
461,Welt::N,ലോകം,עולם
462,Land::N,രാജ്യം,ארץ
463,Staat::N,രാജ്യം,מדינה
464,König::N,രാജാവ്,מלך
465,Macht::N,അധികാരം,כוח
466,Grenze::N,അതിർത്തി,גבול
467,Krieg::N,യുദ്ധം,מלחמה
468,Feind::N,ശത്രു,אויב
469,Gewalt::N,അക്രമം,אלימות
470,Kampf::N,പോരാട്ടം,קרב
471,Kampf::N,പോരാട്ടം,לחימה
472,Bogen[Waffe]::N,വില്ല്,קשת
473,Pfeil::N,അമ്പ്,חץ
474,Gewehr::N,തോക്ക്,רובה
475,Fehler::N,പിശക്,טעות
476,Lüge::N,കള്ളം,שקר
477,Schaden::N,കേടുപാട്,נזק
478,Unglück::N,ദൌർഭാഗ്യം,מזל רע
479,Schuld::N,തെറ്റ്,אשמה
480,Alter::N,വയസ്സ്,גיל
481,Schluss::N,നിഗമനം,סיום
482,Zeit::N,സമയം,זמן
483,Tag::N,ദിവസം,יום
484,Morgen::N,പ്രഭാതം,בקר
485,Mittag::N,ഉച്ച,צהרים
486,Abend::N,സായാഹ്നം,ערב
487,Nacht::N,രാത്രി,לילה
488,Woche::N,ആഴ്ച,שבוע
489,Monat::N,മാസം,חדש
490,Jahr::N,വർഷം,שנה
491,Frühling::N,വസന്തം,אביב
492,Sommer::N,വേനൽ,קיץ
493,Herbst::N,ശരത്കാലം,סתו
494,Winter::N,ശൈത്യം,חרף
495,Januar::N,ജനുവരി,ינואר
496,Februar::N,ഫെബ്രുവരി,פברואר
497,März::N,മാർച്ച്,מרץ
498,April::N,ഏപ്രിൾ മാസം,אפריל
499,Mai::N,മെയ് മാസം,מאי
500,Juni::N,ജൂൺ,יוני
501,Juli::N,ജൂലൈ,יולי
502,August::N,ആഗസ്റ്റ്,אוגוסט
503,September::N,സെപ്തംബർ,ספטמבר
504,Oktober::N,ഒക്ടോബർ,אוקטובר
505,November::N,നവംബർ,נובמבר
506,Dezember::N,ഡിസംബർ,דצמבר
507,Montag::N,തിങ്കളാഴ്ച,יום שני
508,Dienstag::N,ചൊവ്വ,יום שלישי
509,Mittwoch::N,ബുധനാഴ്ച,יום רביעי
510,Donnerstag::N,വ്യാഴാഴ്ച,יום חמישי
511,Freitag::N,വെള്ളിയാഴ്ച,יום ששי
512,Samstag::N,ശനിയാഴ്ച,יום שבת
513,Sonntag::N,ഞായറാഴ്ച,יום ראשון
514,groß::A,വലിയ,גדול
515,klein::A,ചെറിയ,קטן
516,lang::A,നീണ്ട,ארך
517,kurz::A,ഹ്രസ്വമായ,קצר
518,breit::A,വിശാലമായ,רחב
519,schmal::A,ഇടുങ്ങിയ,צר
520,dicht::A,നിബിഡമായ,צפוף
521,dick[Gegenstand]::A,തടിച്ച,עבה
522,dünn::A,മെലിഞ്ഞ,דק
523,fein::A,നേർത്ത,מעדן
524,fest::A,ഉറപ്പുള്ള,מוצק
525,flach::A,പരന്ന,שטוח
526,glatt::A,മിനുസമുള്ള,חלק
527,hart::A,കട്ടിയുള്ള,קשיח
528,weich::A,മൃദുവായ,רך
529,rund::A,വട്ടത്തിലുള്ള,עגל
530,spitz::A,മുനയുള്ള,חד
531,scharf::A,മൂർച്ചയുള്ള,חד
532,stumpf::A,തുറന്നടിക്കുന്ന,קהה
533,schwer::A,ഭാരമുള്ള,כבד
534,schön::A,മനോഹരമായ,יפה
535,heiß::A,ചൂടുള്ള,חם
536,warm::A,ചൂടുള്ള,חם
537,kalt::A,തണുത്ത,קר
538,kühl::A,തണുപ്പുള്ള,צונן
539,frisch::A,ശുദ്ധമായ,טרי
540,feucht::A,ഈറനുള്ള,לח
541,nass::A,നനഞ്ഞ,רטוב
542,trocken::A,വരണ്ട,יבש
543,voll::A,നിറയെ,מלא
544,leer::A,ഒഴിഞ്ഞ,ריק
545,offen::A,തുറന്ന,פתוח
546,geschlossen::A,അടച്ച,סגור
547,sauber::A,വൃത്തിയുള്ള,נקי
548,schmutzig::A,അഴുക്കുനിറഞ്ഞ,מלכלך
549,roh::A,അസംസ്കൃതമായ,חי
550,reif::A,പഴുത്ത,בשל
551,lecker::A,രുചികരമായ,טעים
552,süß::A,മധുരമുള്ള,מתוק
553,bitter::A,കടുത്ത,מר
554,sauer::A,പുളിപ്പുള്ള,חמוץ
555,hell::A,ജ്വലിക്കുന്ന,בהיר
556,dunkel::A,ഇരുണ്ട,עמום
557,schwarz::A,കറുത്ത,שחר
558,weiß::A,വെളുത്ത,לבן
559,rot::A,ചുവന്ന,אדם
560,gelb::A,മഞ്ഞനിറമായ,צהב
561,blau::A,നീലനിറമുള്ള,כחל
562,grün::A,പച്ചനിറമുള്ള,ירק
563,grau::A,ചാരനിറത്തിലുള്ള,אפר
564,bunt::A,വർണ്ണശബളമായ,צבעוני
565,billig::A,വിലകുറഞ്ഞ,זול
566,teuer::A,ചെലവേറിയ,יקר
567,wertvoll::A,വിലപിടിപ്പുള്ള,יקר ערך
568,blind::A,അന്ധനായ,עור
569,taub::A,കേൾവിക്കുറവുള്ള,חרש
570,kräftig::A,ശക്തിയുള്ള,חסן
571,stark::A,ബലമുള്ള,חזק
572,schwach::A,ക്ഷീണിച്ച,חלש
573,fett::A,കൊഴുപ്പുള്ള,שמן
574,schlank::A,മെലിഞ്ഞ,רזה
575,hübsch::A,മനോഹരമായ,יפה תאר
576,böse::A,പാപിയായ,רשע
577,dumm::A,വിവരംകെട്ട,טפש
578,faul::A,അലസനായ,עצלן
579,fleißig::A,അദ്ധ്വാനശീലമുള്ള,חרוץ
580,geizig::A,പിശുക്കനായ,קמצן
581,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,נבון
582,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,פקח
583,geschickt::A,പ്രതിഭാശാലി,מימן
584,lieb::A,പ്രിയപ്പെട്ട,יקר
585,lieb::A,പ്രിയപ്പെട്ട,אהוב
586,lustig::A,ആനന്ദകരമായ,עליז
587,sanft::A,സൌമ്യമായ,עדין
588,hungrig::A,വിശപ്പുള്ള,רעב
589,krank::A,അസുഖമുള്ള,חולה
590,nackt::A,നഡമായ,ערום
591,traurig::A,വിഷമമുള്ള,עצוב
592,lebendig::A,ഉപജീവനം,חי
593,gut::A,നല്ല,טוב
594,schlecht::A,മോശമായ,גרוע
595,richtig::A,ശരിയായ,נכון
596,schlimm::A,വൃത്തികെട്ട,רע
597,wahr::A,ശരിയായ,אמתי
598,alt::A,പഴയ,ישן
599,neu::A,പുതിയ,חדש
600,ehemalig::A,മുൻ,לשעבר
601,alt[Lebewesen]::A,വയസ്സുള്ള,זקן
602,jung::A,കൌമാരമായ,צעיר
603,arm::A,പാവപ്പെട്ട,עני
604,reich::A,സമ്പന്നമായ,עשיר
605,bekannt::A,പരിചിതമായ,ידוע
606,berühmt::A,പ്രശസ്തനായ,מפרסם
607,fremd::A,വൈദേശികമായ,זר
608,verschieden::A,വ്യത്യസ്തമായ,שונה
609,nah::A,അരികത്തുള്ള,קרוב
610,fern::A,അകലെയുള്ള,רחוק
611,linker::A,അവശേഷിച്ച,שמאלי
612,rechter::A,വലത്തേ,ימין
613,anderer::A,മറ്റുള്ള,אחר
614,erster::A,ആദ്യത്തെ,ראשון
615,zweiter::A,രണ്ടാം,שני
616,dritter::A,മൂന്നാമത്,שלישי
617,letzter::A,അവസാനത്തെ,אחרון
618,allein::ADV,തനിച്ചുള്ള,לבד
619,auf einmal::ADV,ഉടന്,בו-זמנית
620,zusammen::ADV,ഒരുമിച്ച,ביחד
621,lange::ADV,നീണ്ട_കാലത്തേയ്ക്ക്,הרבה זמן
622,plötzlich::ADV,പെട്ടെന്ന്,לפתע
623,plötzlich::ADV,പെട്ടെന്ന്,פתאום
624,sofort::ADV,തത്ക്ഷണം,מיד
625,später::ADV,പിന്നീട്,לאחר זמן
626,später::ADV,പിന്നീട്,יותר מאחר
627,jetzt::ADV,ഇപ്പോൾ,עכשיו
628,heute::ADV,ഇന്ന്,היום
629,morgen::ADV,നാളെ,מחר
630,bald::ADV,ഉടനെ,בקרוב
